year,region_type,region_year_spec,region_id,region_level,arxiv_count
438,2010,NUTS,2010,ITC,1,782
439,2010,NUTS,2010,ITC1,2,240
440,2010,NUTS,2010,ITC11,3,236
441,2010,NUTS,2010,ITC12,3,4
442,2010,NUTS,2010,ITC3,2,84
443,2010,NUTS,2010,ITC33,3,84
444,2010,NUTS,2010,ITC4,2,458
445,2010,NUTS,2010,ITC41,3,7
446,2010,NUTS,2010,ITC46,3,3
447,2010,NUTS,2010,ITC47,3,14
448,2010,NUTS,2010,ITC48,3,81
449,2010,NUTS,2010,ITC4C,3,353
450,2010,NUTS,2010,ITF,1,544
451,2010,NUTS,2010,ITF1,2,35
452,2010,NUTS,2010,ITF11,3,29
453,2010,NUTS,2010,ITF12,3,1
454,2010,NUTS,2010,ITF14,3,5
455,2010,NUTS,2010,ITF3,2,136
456,2010,NUTS,2010,ITF32,3,12
457,2010,NUTS,2010,ITF33,3,50
458,2010,NUTS,2010,ITF35,3,74
459,2010,NUTS,2010,ITF4,2,350
460,2010,NUTS,2010,ITF45,3,10
461,2010,NUTS,2010,ITF47,3,340
462,2010,NUTS,2010,ITF5,2,2
463,2010,NUTS,2010,ITF51,3,2
464,2010,NUTS,2010,ITF6,2,21
465,2010,NUTS,2010,ITF61,3,21
466,2010,NUTS,2010,ITG,1,148
467,2010,NUTS,2010,ITG1,2,89
468,2010,NUTS,2010,ITG12,3,13
469,2010,NUTS,2010,ITG13,3,13
470,2010,NUTS,2010,ITG17,3,63
471,2010,NUTS,2010,ITG2,2,59
472,2010,NUTS,2010,ITG25,3,7
473,2010,NUTS,2010,ITG27,3,52
474,2010,NUTS,2010,ITH,1,1329
475,2010,NUTS,2010,ITH1,2,2
476,2010,NUTS,2010,ITH10,3,2
477,2010,NUTS,2010,ITH2,2,102
478,2010,NUTS,2010,ITH20,3,102
479,2010,NUTS,2010,ITH3,2,376
480,2010,NUTS,2010,ITH31,3,5
481,2010,NUTS,2010,ITH36,3,371
482,2010,NUTS,2010,ITH4,2,532
483,2010,NUTS,2010,ITH42,3,56
484,2010,NUTS,2010,ITH44,3,476
485,2010,NUTS,2010,ITH5,2,317
486,2010,NUTS,2010,ITH52,3,39
487,2010,NUTS,2010,ITH54,3,10
488,2010,NUTS,2010,ITH55,3,212
489,2010,NUTS,2010,ITH56,3,56
490,2010,NUTS,2010,ITI,1,1575
491,2010,NUTS,2010,ITI1,2,631
492,2010,NUTS,2010,ITI12,3,2
493,2010,NUTS,2010,ITI14,3,305
494,2010,NUTS,2010,ITI17,3,274
495,2010,NUTS,2010,ITI19,3,50
496,2010,NUTS,2010,ITI2,2,91
497,2010,NUTS,2010,ITI21,3,91
498,2010,NUTS,2010,ITI3,2,47
499,2010,NUTS,2010,ITI31,3,8
500,2010,NUTS,2010,ITI33,3,39
501,2010,NUTS,2010,ITI4,2,806
502,2010,NUTS,2010,ITI43,3,803
503,2010,NUTS,2010,ITI45,3,3
504,2010,NUTS,2010,LT,0,37
505,2010,NUTS,2010,LT0,1,37
506,2010,NUTS,2010,LT00,2,37
507,2010,NUTS,2010,LT00A,3,37
508,2010,NUTS,2010,LU,0,56
509,2010,NUTS,2010,LU0,1,56
510,2010,NUTS,2010,LU00,2,56
511,2010,NUTS,2010,LU000,3,56
512,2010,NUTS,2010,LV,0,20
513,2010,NUTS,2010,LV0,1,20
514,2010,NUTS,2010,LV00,2,20
515,2010,NUTS,2010,LV006,3,20
516,2010,NUTS,2010,ME,0,11
517,2010,NUTS,2010,ME0,1,11
518,2010,NUTS,2010,ME00,2,11
519,2010,NUTS,2010,ME000,3,11
520,2010,NUTS,2010,MT,0,5
521,2010,NUTS,2010,MT0,1,5
522,2010,NUTS,2010,MT00,2,5
523,2010,NUTS,2010,MT001,3,5
