,year,nuts_id,nuts_year_spec,biorxiv_count
354,2016.0,EL41,2016,1
355,2016.0,EL43,2016,5
356,2016.0,EL51,2016,2
357,2016.0,EL52,2016,2
358,2016.0,EL63,2016,1
359,2016.0,ES11,2016,3
360,2016.0,ES21,2016,1
361,2016.0,ES22,2016,1
362,2016.0,ES24,2016,1
363,2016.0,ES30,2016,55
364,2016.0,ES41,2016,12
365,2016.0,ES51,2016,47
366,2016.0,ES52,2016,13
367,2016.0,ES61,2016,10
368,2016.0,ES62,2016,5
369,2016.0,ES70,2016,2
370,2016.0,FI19,2016,2
371,2016.0,FI1B,2016,80
372,2016.0,FI1C,2016,14
373,2016.0,FI1D,2016,16
374,2016.0,FR10,2016,109
375,2016.0,FRB0,2016,1
376,2016.0,FRC1,2016,2
377,2016.0,FRE1,2016,2
378,2016.0,FRE2,2016,1
379,2016.0,FRF1,2016,6
380,2016.0,FRF3,2016,2
381,2016.0,FRG0,2016,12
382,2016.0,FRH0,2016,8
383,2016.0,FRI1,2016,5
384,2016.0,FRI3,2016,2
385,2016.0,FRJ1,2016,17
386,2016.0,FRJ2,2016,8
387,2016.0,FRK2,2016,8
388,2016.0,FRL0,2016,11
389,2016.0,HR03,2016,2
390,2016.0,HR04,2016,4
391,2016.0,HU11,2016,12
392,2016.0,HU31,2016,1
393,2016.0,HU32,2016,3
394,2016.0,HU33,2016,1
395,2016.0,IE04,2016,7
396,2016.0,IE05,2016,9
397,2016.0,IE06,2016,19
398,2016.0,IS00,2016,16
399,2016.0,ITC1,2016,6
400,2016.0,ITC3,2016,2
401,2016.0,ITC4,2016,18
402,2016.0,ITF1,2016,2
403,2016.0,ITF3,2016,7
404,2016.0,ITF4,2016,2
405,2016.0,ITF6,2016,1
406,2016.0,ITG1,2016,1
407,2016.0,ITG2,2016,4
408,2016.0,ITH1,2016,1
409,2016.0,ITH2,2016,11
410,2016.0,ITH3,2016,9
411,2016.0,ITH4,2016,8
412,2016.0,ITH5,2016,13
413,2016.0,ITI1,2016,61
414,2016.0,ITI2,2016,3
415,2016.0,ITI3,2016,1
416,2016.0,ITI4,2016,11
417,2016.0,LT01,2016,3
418,2016.0,LU00,2016,6
419,2016.0,NL11,2016,29
420,2016.0,NL22,2016,56
421,2016.0,NL31,2016,26
422,2016.0,NL32,2016,60
423,2016.0,NL33,2016,52
424,2016.0,NL41,2016,2
425,2016.0,NL42,2016,11
426,2016.0,NO01,2016,47
427,2016.0,NO03,2016,1
428,2016.0,NO04,2016,1
429,2016.0,NO05,2016,9
430,2016.0,NO06,2016,7
431,2016.0,PL21,2016,10
432,2016.0,PL22,2016,1
433,2016.0,PL41,2016,7
434,2016.0,PL42,2016,1
435,2016.0,PL51,2016,8
436,2016.0,PL71,2016,3
437,2016.0,PL84,2016,1
438,2016.0,PL91,2016,13
439,2016.0,PT11,2016,6
440,2016.0,PT16,2016,5
441,2016.0,PT17,2016,12
442,2016.0,RO21,2016,1
443,2016.0,RO32,2016,2
444,2016.0,SE11,2016,74
445,2016.0,SE12,2016,42
446,2016.0,SE21,2016,1
447,2016.0,SE22,2016,6
448,2016.0,SE23,2016,14
449,2016.0,SE33,2016,5
450,2016.0,SI03,2016,1
451,2016.0,SI04,2016,3
452,2016.0,SK01,2016,1
453,2016.0,SK02,2016,1
454,2016.0,TR31,2016,1
455,2016.0,TR51,2016,5
456,2016.0,TR52,2016,1
457,2016.0,TR61,2016,1
458,2016.0,TR90,2016,1
459,2016.0,TRC1,2016,3
460,2016.0,UKC1,2016,5
461,2016.0,UKC2,2016,4
462,2016.0,UKD3,2016,24
463,2016.0,UKD4,2016,8
464,2016.0,UKD7,2016,16
465,2016.0,UKE1,2016,2
466,2016.0,UKE2,2016,12
467,2016.0,UKE3,2016,23
468,2016.0,UKE4,2016,13
469,2016.0,UKF1,2016,22
470,2016.0,UKF2,2016,13
471,2016.0,UKF3,2016,1
472,2016.0,UKG1,2016,29
473,2016.0,UKG3,2016,24
474,2016.0,UKH1,2016,343
475,2016.0,UKH2,2016,13
476,2016.0,UKH3,2016,2
477,2016.0,UKI3,2016,178
478,2016.0,UKI4,2016,14
479,2016.0,UKI6,2016,2
480,2016.0,UKI7,2016,1
481,2016.0,UKJ1,2016,182
482,2016.0,UKJ2,2016,32
483,2016.0,UKJ3,2016,12
484,2016.0,UKJ4,2016,4
485,2016.0,UKK1,2016,50
486,2016.0,UKK3,2016,2
487,2016.0,UKK4,2016,17
488,2016.0,UKL1,2016,13
489,2016.0,UKL2,2016,16
490,2016.0,UKM5,2016,14
491,2016.0,UKM7,2016,141
492,2016.0,UKM8,2016,36
493,2016.0,UKN0,2016,4
494,2017.0,AT12,2016,18
495,2017.0,AT13,2016,93
496,2017.0,AT22,2016,16
497,2017.0,AT31,2016,5
498,2017.0,AT32,2016,8
499,2017.0,AT33,2016,11
500,2017.0,BE10,2016,40
501,2017.0,BE21,2016,22
502,2017.0,BE22,2016,3
503,2017.0,BE23,2016,42
504,2017.0,BE24,2016,10
505,2017.0,BE31,2016,19
506,2017.0,BE33,2016,17
507,2017.0,BG41,2016,22
508,2017.0,CH01,2016,200
509,2017.0,CH02,2016,55
510,2017.0,CH03,2016,83
511,2017.0,CH04,2016,187
512,2017.0,CH05,2016,1
513,2017.0,CH07,2016,1
514,2017.0,CY00,2016,2
515,2017.0,CZ01,2016,23
516,2017.0,CZ02,2016,6
517,2017.0,CZ03,2016,3
518,2017.0,CZ05,2016,6
519,2017.0,CZ06,2016,22
520,2017.0,CZ07,2016,2
521,2017.0,CZ08,2016,3
522,2017.0,DE11,2016,12
523,2017.0,DE12,2016,109
524,2017.0,DE13,2016,47
525,2017.0,DE14,2016,60
526,2017.0,DE21,2016,388
527,2017.0,DE22,2016,1
528,2017.0,DE23,2016,6
529,2017.0,DE24,2016,2
530,2017.0,DE25,2016,8
531,2017.0,DE26,2016,15
532,2017.0,DE30,2016,173
533,2017.0,DE40,2016,4
534,2017.0,DE50,2016,6
535,2017.0,DE60,2016,23
536,2017.0,DE71,2016,38
537,2017.0,DE72,2016,15
538,2017.0,DE73,2016,28
539,2017.0,DE80,2016,16
540,2017.0,DE91,2016,45
541,2017.0,DE92,2016,8
542,2017.0,DE94,2016,5
543,2017.0,DEA1,2016,11
544,2017.0,DEA2,2016,117
545,2017.0,DEA3,2016,13
546,2017.0,DEA4,2016,8
547,2017.0,DEA5,2016,7
548,2017.0,DEB3,2016,3
549,2017.0,DEC0,2016,9
