year,region_type,region_year_spec,region_id,region_level,detection_sequencing_lq
202,2020,NUTS,2016,DE11,2,0.0
203,2020,NUTS,2016,DE12,2,0.0
204,2020,NUTS,2016,DE13,2,1.76
205,2020,NUTS,2016,DE14,2,0.0
206,2020,NUTS,2016,DE21,2,1.08
207,2020,NUTS,2016,DE22,2,0.0
208,2020,NUTS,2016,DE23,2,5.25
209,2020,NUTS,2016,DE24,2,0.0
210,2020,NUTS,2016,DE25,2,0.0
211,2020,NUTS,2016,DE26,2,0.0
212,2020,NUTS,2016,DE27,2,0.0
213,2020,NUTS,2016,DE30,2,0.47
214,2020,NUTS,2016,DE40,2,0.0
215,2020,NUTS,2016,DE50,2,0.0
216,2020,NUTS,2016,DE60,2,0.0
217,2020,NUTS,2016,DE71,2,3.59
218,2020,NUTS,2016,DE72,2,0.0
219,2020,NUTS,2016,DE73,2,0.0
220,2020,NUTS,2016,DE80,2,0.0
221,2020,NUTS,2016,DE91,2,0.0
222,2020,NUTS,2016,DE92,2,0.0
223,2020,NUTS,2016,DE94,2,0.0
224,2020,NUTS,2016,DEA1,2,0.0
225,2020,NUTS,2016,DEA2,2,2.52
226,2020,NUTS,2016,DEA3,2,0.0
227,2020,NUTS,2016,DEA4,2,0.0
228,2020,NUTS,2016,DEA5,2,2.6
229,2020,NUTS,2016,DEB1,2,0.0
230,2020,NUTS,2016,DEB2,2,0.0
231,2020,NUTS,2016,DEB3,2,6.0
232,2020,NUTS,2016,DEC0,2,0.0
233,2020,NUTS,2016,DED2,2,0.0
234,2020,NUTS,2016,DED4,2,0.0
235,2020,NUTS,2016,DED5,2,7.3
236,2020,NUTS,2016,DEE0,2,0.0
237,2020,NUTS,2016,DEF0,2,0.0
238,2020,NUTS,2016,DEG0,2,0.0
239,2020,NUTS,2016,DK01,2,0.0
240,2020,NUTS,2016,DK02,2,0.0
241,2020,NUTS,2016,DK03,2,0.0
242,2020,NUTS,2016,DK04,2,0.0
243,2020,NUTS,2016,DK05,2,0.0
244,2020,NUTS,2016,EE00,2,0.0
245,2020,NUTS,2016,EL30,2,1.11
246,2020,NUTS,2016,EL41,2,0.0
247,2020,NUTS,2016,EL43,2,0.0
248,2020,NUTS,2016,EL51,2,0.0
249,2020,NUTS,2016,EL52,2,0.0
250,2020,NUTS,2016,EL53,2,0.0
251,2020,NUTS,2016,EL54,2,0.0
252,2020,NUTS,2016,EL61,2,0.0
253,2020,NUTS,2016,EL63,2,0.0
254,2020,NUTS,2016,EL65,2,0.0
255,2020,NUTS,2016,ES11,2,9.13
256,2020,NUTS,2016,ES12,2,0.0
257,2020,NUTS,2016,ES21,2,0.0
258,2020,NUTS,2016,ES22,2,0.0
259,2020,NUTS,2016,ES23,2,0.0
260,2020,NUTS,2016,ES24,2,0.0
261,2020,NUTS,2016,ES30,2,0.91
262,2020,NUTS,2016,ES41,2,0.0
263,2020,NUTS,2016,ES42,2,0.0
264,2020,NUTS,2016,ES43,2,0.0
265,2020,NUTS,2016,ES51,2,0.51
266,2020,NUTS,2016,ES52,2,2.52
267,2020,NUTS,2016,ES53,2,0.0
268,2020,NUTS,2016,ES61,2,0.0
269,2020,NUTS,2016,ES62,2,0.0
270,2020,NUTS,2016,ES70,2,5.59
271,2020,NUTS,2016,FI19,2,0.0
272,2020,NUTS,2016,FI1B,2,1.33
273,2020,NUTS,2016,FI1C,2,0.0
274,2020,NUTS,2016,FI1D,2,0.0
275,2020,NUTS,2016,FR10,2,1.76
276,2020,NUTS,2016,FRB0,2,0.0
277,2020,NUTS,2016,FRC1,2,0.0
278,2020,NUTS,2016,FRC2,2,0.0
279,2020,NUTS,2016,FRD1,2,0.0
280,2020,NUTS,2016,FRD2,2,0.0
281,2020,NUTS,2016,FRE1,2,0.0
282,2020,NUTS,2016,FRE2,2,0.0
283,2020,NUTS,2016,FRF1,2,2.68
284,2020,NUTS,2016,FRF2,2,0.0
285,2020,NUTS,2016,FRF3,2,0.0
286,2020,NUTS,2016,FRG0,2,0.0
287,2020,NUTS,2016,FRH0,2,0.0
288,2020,NUTS,2016,FRI1,2,0.0
289,2020,NUTS,2016,FRI2,2,0.0
290,2020,NUTS,2016,FRI3,2,0.0
291,2020,NUTS,2016,FRJ1,2,0.0
292,2020,NUTS,2016,FRJ2,2,0.0
293,2020,NUTS,2016,FRK2,2,1.74
294,2020,NUTS,2016,FRL0,2,0.0
295,2020,NUTS,2016,FRM0,2,0.0
296,2020,NUTS,2016,FRY1,2,0.0
297,2020,NUTS,2016,FRY3,2,0.0
298,2020,NUTS,2016,FRY4,2,0.0
299,2020,NUTS,2016,HR03,2,0.0
300,2020,NUTS,2016,HR04,2,0.0
301,2020,NUTS,2016,HU11,2,8.64
302,2020,NUTS,2016,HU12,2,0.0
303,2020,NUTS,2016,HU21,2,0.0
304,2020,NUTS,2016,HU22,2,0.0
305,2020,NUTS,2016,HU23,2,0.0
306,2020,NUTS,2016,HU31,2,0.0
307,2020,NUTS,2016,HU32,2,0.0
308,2020,NUTS,2016,HU33,2,0.0
309,2020,NUTS,2016,IE04,2,0.0
310,2020,NUTS,2016,IE05,2,0.0
311,2020,NUTS,2016,IE06,2,0.0
312,2020,NUTS,2016,IS00,2,0.0
313,2020,NUTS,2016,ITC1,2,0.0
314,2020,NUTS,2016,ITC3,2,0.0
315,2020,NUTS,2016,ITC4,2,1.4
316,2020,NUTS,2016,ITF1,2,0.0
317,2020,NUTS,2016,ITF2,2,0.0
318,2020,NUTS,2016,ITF3,2,0.0
319,2020,NUTS,2016,ITF4,2,1.02
320,2020,NUTS,2016,ITF5,2,0.0
321,2020,NUTS,2016,ITF6,2,0.0
322,2020,NUTS,2016,ITG1,2,0.0
323,2020,NUTS,2016,ITG2,2,2.56
324,2020,NUTS,2016,ITH1,2,0.0
325,2020,NUTS,2016,ITH2,2,0.0
326,2020,NUTS,2016,ITH3,2,0.63
327,2020,NUTS,2016,ITH4,2,3.3
328,2020,NUTS,2016,ITH5,2,1.24
329,2020,NUTS,2016,ITI1,2,1.13
330,2020,NUTS,2016,ITI2,2,0.0
