year,region_type,region_year_spec,region_id,region_level,image_detection_count
170,2020,NUTS,2016,UKJ,1,4
171,2020,NUTS,2016,UKJ1,2,3
172,2020,NUTS,2016,UKJ13,3,1
173,2020,NUTS,2016,UKJ14,3,2
174,2020,NUTS,2016,UKJ2,2,1
175,2020,NUTS,2016,UKJ25,3,1
176,2020,NUTS,2016,UKM,1,1
177,2020,NUTS,2016,UKM7,2,1
178,2020,NUTS,2016,UKM75,3,1
179,2021,NUTS,2021,CY,0,1
180,2021,NUTS,2021,CY0,1,1
181,2021,NUTS,2021,CY00,2,1
182,2021,NUTS,2021,CY000,3,1
183,2021,NUTS,2021,DE,0,4
184,2021,NUTS,2021,DE2,1,3
185,2021,NUTS,2021,DE21,2,3
186,2021,NUTS,2021,DE212,3,3
187,2021,NUTS,2021,DE3,1,1
188,2021,NUTS,2021,DE30,2,1
189,2021,NUTS,2021,DE300,3,1
190,2021,NUTS,2021,ES,0,1
191,2021,NUTS,2021,ES6,1,1
192,2021,NUTS,2021,ES61,2,1
193,2021,NUTS,2021,ES614,3,1
194,2021,NUTS,2021,IT,0,2
195,2021,NUTS,2021,ITC,1,2
196,2021,NUTS,2021,ITC1,2,1
197,2021,NUTS,2021,ITC11,3,1
198,2021,NUTS,2021,ITC4,2,1
199,2021,NUTS,2021,ITC4C,3,1
200,2021,NUTS,2021,SK,0,2
201,2021,NUTS,2021,SK0,1,2
202,2021,NUTS,2021,SK04,2,2
203,2021,NUTS,2021,SK042,3,2
204,2021,NUTS,2021,TR,0,1
205,2021,NUTS,2021,TR2,1,1
206,2021,NUTS,2021,TR22,2,1
207,2021,NUTS,2021,TR222,3,1
208,2021,NUTS,2021,UK,0,5
209,2021,NUTS,2021,UKG,1,1
210,2021,NUTS,2021,UKG1,2,1
211,2021,NUTS,2021,UKG13,3,1
212,2021,NUTS,2021,UKH,1,1
213,2021,NUTS,2021,UKH1,2,1
214,2021,NUTS,2021,UKH12,3,1
215,2021,NUTS,2021,UKI,1,3
216,2021,NUTS,2021,UKI3,2,3
217,2021,NUTS,2021,UKI31,3,2
218,2021,NUTS,2021,UKI33,3,1
