year,region_type,region_year_spec,region_id,region_level,covid_lq
94,2020.0,NUTS,2016,HU3,1,0.577302473944574
95,2020.0,NUTS,2016,IE0,1,1.1170228700193385
96,2020.0,NUTS,2016,IS0,1,0.6685212631176344
97,2020.0,NUTS,2016,ITC,1,1.7526682168386571
98,2020.0,NUTS,2016,ITF,1,0.5943428763881434
99,2020.0,NUTS,2016,ITG,1,0.9980067427970399
100,2020.0,NUTS,2016,ITH,1,0.9855076956148717
101,2020.0,NUTS,2016,ITI,1,0.8677969499779867
102,2020.0,NUTS,2016,LT0,1,1.0261024038549735
103,2020.0,NUTS,2016,LU0,1,0.9412779384696294
104,2020.0,NUTS,2016,LV0,1,1.6044510314823224
105,2020.0,NUTS,2016,ME0,1,0.0
106,2020.0,NUTS,2016,MK0,1,2.647344201945832
107,2020.0,NUTS,2016,MT0,1,1.430996865916666
