,year,nuts_id,nuts_year_spec,impact_studies_2_lq
221,2021,TR5,2016,0.0
222,2021,TR6,2016,0.0
223,2021,TR7,2016,0.0
224,2021,TR8,2016,0.0
225,2021,TRA,2016,0.0
226,2021,TRB,2016,0.0
227,2021,TRC,2016,0.0
228,2021,UKC,2016,0.0
229,2021,UKD,2016,4.045901639344262
230,2021,UKE,2016,0.0
231,2021,UKF,2016,0.0
232,2021,UKG,2016,0.0
233,2021,UKH,2016,3.5941747572815532
234,2021,UKI,2016,1.4489236790606654
235,2021,UKJ,2016,1.4489236790606654
236,2021,UKK,2016,0.0
237,2021,UKL,2016,0.0
238,2021,UKM,2016,2.7524163568773234
239,2021,UKN,2016,0.0
