,year,nuts_id,nuts_year_spec,arxiv_count
373,2011.0,AT,2016,815
374,2011.0,BE,2016,975
375,2011.0,BG,2016,96
376,2011.0,CH,2016,1597
377,2011.0,CY,2016,89
378,2011.0,CZ,2016,563
379,2011.0,DE,2016,8130
380,2011.0,DK,2016,564
381,2011.0,EE,2016,72
382,2011.0,EL,2016,497
383,2011.0,ES,2016,3540
384,2011.0,FI,2016,604
385,2011.0,FR,2016,4908
386,2011.0,HR,2016,127
387,2011.0,HU,2016,499
388,2011.0,IE,2016,393
389,2011.0,IS,2016,95
390,2011.0,IT,2016,4133
391,2011.0,LT,2016,39
392,2011.0,LU,2016,72
393,2011.0,LV,2016,15
394,2011.0,ME,2016,11
395,2011.0,MK,2016,1
396,2011.0,MT,2016,7
397,2011.0,NL,2016,1793
398,2011.0,NO,2016,282
399,2011.0,PL,2016,1272
400,2011.0,PT,2016,486
401,2011.0,RO,2016,139
402,2011.0,RS,2016,126
403,2011.0,SE,2016,1074
404,2011.0,SI,2016,158
405,2011.0,SK,2016,277
406,2011.0,TR,2016,372
407,2011.0,UK,2016,7016
408,2012.0,AL,2016,1
409,2012.0,AT,2016,920
410,2012.0,BE,2016,1164
411,2012.0,BG,2016,126
412,2012.0,CH,2016,1806
413,2012.0,CY,2016,99
414,2012.0,CZ,2016,724
415,2012.0,DE,2016,9255
416,2012.0,DK,2016,626
417,2012.0,EE,2016,112
418,2012.0,EL,2016,512
419,2012.0,ES,2016,3906
420,2012.0,FI,2016,743
421,2012.0,FR,2016,5582
422,2012.0,HR,2016,131
423,2012.0,HU,2016,620
424,2012.0,IE,2016,343
425,2012.0,IS,2016,110
426,2012.0,IT,2016,4566
427,2012.0,LT,2016,35
428,2012.0,LU,2016,96
429,2012.0,LV,2016,19
430,2012.0,ME,2016,12
431,2012.0,MK,2016,4
432,2012.0,MT,2016,6
433,2012.0,NL,2016,2025
434,2012.0,NO,2016,369
435,2012.0,PL,2016,1406
436,2012.0,PT,2016,535
437,2012.0,RO,2016,161
438,2012.0,RS,2016,121
439,2012.0,SE,2016,1289
440,2012.0,SI,2016,229
441,2012.0,SK,2016,263
442,2012.0,TR,2016,484
443,2012.0,UK,2016,8026
444,2013.0,AL,2016,1
445,2013.0,AT,2016,1069
446,2013.0,BE,2016,1303
447,2013.0,BG,2016,100
448,2013.0,CH,2016,2097
449,2013.0,CY,2016,115
450,2013.0,CZ,2016,705
451,2013.0,DE,2016,9778
452,2013.0,DK,2016,820
453,2013.0,EE,2016,106
454,2013.0,EL,2016,574
455,2013.0,ES,2016,4088
456,2013.0,FI,2016,852
457,2013.0,FR,2016,6112
458,2013.0,HR,2016,145
459,2013.0,HU,2016,737
460,2013.0,IE,2016,451
461,2013.0,IS,2016,129
462,2013.0,IT,2016,5001
463,2013.0,LT,2016,43
464,2013.0,LU,2016,109
465,2013.0,LV,2016,20
466,2013.0,ME,2016,8
467,2013.0,MK,2016,2
468,2013.0,MT,2016,10
469,2013.0,NL,2016,2098
470,2013.0,NO,2016,409
471,2013.0,PL,2016,1632
472,2013.0,PT,2016,583
473,2013.0,RO,2016,172
474,2013.0,RS,2016,151
475,2013.0,SE,2016,1328
476,2013.0,SI,2016,224
477,2013.0,SK,2016,279
478,2013.0,TR,2016,394
479,2013.0,UK,2016,8910
480,2014.0,AT,2016,1248
481,2014.0,BE,2016,1258
482,2014.0,BG,2016,105
483,2014.0,CH,2016,2264
484,2014.0,CY,2016,103
485,2014.0,CZ,2016,849
486,2014.0,DE,2016,10160
487,2014.0,DK,2016,879
488,2014.0,EE,2016,114
489,2014.0,EL,2016,622
490,2014.0,ES,2016,4185
491,2014.0,FI,2016,860
492,2014.0,FR,2016,6134
493,2014.0,HR,2016,164
494,2014.0,HU,2016,814
495,2014.0,IE,2016,366
496,2014.0,IS,2016,98
497,2014.0,IT,2016,5493
498,2014.0,LT,2016,47
499,2014.0,LU,2016,136
500,2014.0,LV,2016,23
501,2014.0,ME,2016,10
502,2014.0,MT,2016,18
503,2014.0,NL,2016,2225
504,2014.0,NO,2016,434
505,2014.0,PL,2016,1757
506,2014.0,PT,2016,593
507,2014.0,RO,2016,208
508,2014.0,RS,2016,135
509,2014.0,SE,2016,1561
510,2014.0,SI,2016,199
511,2014.0,SK,2016,303
512,2014.0,TR,2016,526
513,2014.0,UK,2016,9684
514,2015.0,AT,2016,1275
515,2015.0,BE,2016,1264
516,2015.0,BG,2016,170
517,2015.0,CH,2016,2410
518,2015.0,CY,2016,99
519,2015.0,CZ,2016,888
520,2015.0,DE,2016,10958
521,2015.0,DK,2016,958
522,2015.0,EE,2016,108
523,2015.0,EL,2016,601
524,2015.0,ES,2016,4449
525,2015.0,FI,2016,944
526,2015.0,FR,2016,6393
527,2015.0,HR,2016,157
528,2015.0,HU,2016,833
529,2015.0,IE,2016,383
530,2015.0,IS,2016,133
531,2015.0,IT,2016,5651
532,2015.0,LI,2016,1
533,2015.0,LT,2016,62
534,2015.0,LU,2016,116
535,2015.0,LV,2016,29
536,2015.0,ME,2016,11
537,2015.0,MK,2016,8
538,2015.0,MT,2016,15
539,2015.0,NL,2016,2419
540,2015.0,NO,2016,530
541,2015.0,PL,2016,1825
542,2015.0,PT,2016,580
543,2015.0,RO,2016,194
544,2015.0,RS,2016,130
545,2015.0,SE,2016,1804
546,2015.0,SI,2016,221
547,2015.0,SK,2016,310
548,2015.0,TR,2016,485
549,2015.0,UK,2016,10165
550,2016.0,AL,2016,1
551,2016.0,AT,2016,1393
552,2016.0,BE,2016,1302
553,2016.0,BG,2016,153
554,2016.0,CH,2016,2630
555,2016.0,CY,2016,94
556,2016.0,CZ,2016,865
557,2016.0,DE,2016,11374
558,2016.0,DK,2016,998
559,2016.0,EE,2016,135
560,2016.0,EL,2016,596
561,2016.0,ES,2016,4512
562,2016.0,FI,2016,886
563,2016.0,FR,2016,6694
564,2016.0,HR,2016,171
565,2016.0,HU,2016,792
566,2016.0,IE,2016,414
567,2016.0,IS,2016,109
568,2016.0,IT,2016,5697
569,2016.0,LI,2016,1
570,2016.0,LT,2016,58
571,2016.0,LU,2016,120
572,2016.0,LV,2016,35
573,2016.0,ME,2016,5
574,2016.0,MK,2016,14
575,2016.0,MT,2016,14
576,2016.0,NL,2016,2762
577,2016.0,NO,2016,513
578,2016.0,PL,2016,1987
579,2016.0,PT,2016,594
580,2016.0,RO,2016,164
581,2016.0,RS,2016,133
582,2016.0,SE,2016,1796
583,2016.0,SI,2016,254
584,2016.0,SK,2016,279
585,2016.0,TR,2016,462
586,2016.0,UK,2016,10683
587,2017.0,AL,2016,1
588,2017.0,AT,2016,1317
589,2017.0,BE,2016,1158
590,2017.0,BG,2016,150
591,2017.0,CH,2016,2535
592,2017.0,CY,2016,130
593,2017.0,CZ,2016,874
594,2017.0,DE,2016,10758
595,2017.0,DK,2016,932
596,2017.0,EE,2016,136
597,2017.0,EL,2016,607
598,2017.0,ES,2016,3935
599,2017.0,FI,2016,836
600,2017.0,FR,2016,5690
601,2017.0,HR,2016,185
602,2017.0,HU,2016,791
603,2017.0,IE,2016,377
604,2017.0,IS,2016,123
605,2017.0,IT,2016,5239
606,2017.0,LI,2016,2
607,2017.0,LT,2016,61
608,2017.0,LU,2016,133
609,2017.0,LV,2016,22
610,2017.0,ME,2016,8
611,2017.0,MK,2016,6
612,2017.0,MT,2016,30
613,2017.0,NL,2016,2509
614,2017.0,NO,2016,521
615,2017.0,PL,2016,1695
616,2017.0,PT,2016,511
617,2017.0,RO,2016,189
618,2017.0,RS,2016,145
619,2017.0,SE,2016,1733
620,2017.0,SI,2016,226
621,2017.0,SK,2016,240
622,2017.0,TR,2016,613
623,2017.0,UK,2016,9431
624,2018.0,AL,2016,1
625,2018.0,AT,2016,896
626,2018.0,BE,2016,826
627,2018.0,BG,2016,144
628,2018.0,CH,2016,1894
629,2018.0,CY,2016,134
630,2018.0,CZ,2016,656
631,2018.0,DE,2016,7922
632,2018.0,DK,2016,725
633,2018.0,EE,2016,92
634,2018.0,EL,2016,552
635,2018.0,ES,2016,3066
636,2018.0,FI,2016,607
637,2018.0,FR,2016,3951
638,2018.0,HR,2016,133
639,2018.0,HU,2016,545
640,2018.0,IE,2016,290
641,2018.0,IS,2016,85
642,2018.0,IT,2016,4094
643,2018.0,LT,2016,46
644,2018.0,LU,2016,97
645,2018.0,LV,2016,16
646,2018.0,ME,2016,9
647,2018.0,MK,2016,14
648,2018.0,MT,2016,21
649,2018.0,NL,2016,1977
650,2018.0,NO,2016,355
651,2018.0,PL,2016,1103
652,2018.0,PT,2016,341
653,2018.0,RO,2016,117
654,2018.0,RS,2016,119
655,2018.0,SE,2016,1292
656,2018.0,SI,2016,163
657,2018.0,SK,2016,236
658,2018.0,TR,2016,585
659,2018.0,UK,2016,7642
660,2019.0,AL,2016,1
661,2019.0,AT,2016,887
662,2019.0,BE,2016,521
663,2019.0,BG,2016,78
664,2019.0,CH,2016,1729
665,2019.0,CY,2016,83
666,2019.0,CZ,2016,675
667,2019.0,DE,2016,6476
668,2019.0,DK,2016,680
669,2019.0,EE,2016,60
670,2019.0,EL,2016,458
671,2019.0,ES,2016,2216
672,2019.0,FI,2016,327
673,2019.0,FR,2016,2613
674,2019.0,HR,2016,58
675,2019.0,HU,2016,410
676,2019.0,IE,2016,254
677,2019.0,IS,2016,100
678,2019.0,IT,2016,3504
679,2019.0,LT,2016,35
680,2019.0,LU,2016,70
681,2019.0,LV,2016,12
682,2019.0,MK,2016,7
683,2019.0,MT,2016,24
684,2019.0,NL,2016,1720
685,2019.0,NO,2016,403
686,2019.0,PL,2016,790
687,2019.0,PT,2016,360
688,2019.0,RO,2016,79
689,2019.0,RS,2016,84
690,2019.0,SE,2016,1131
691,2019.0,SI,2016,120
692,2019.0,SK,2016,158
693,2019.0,TR,2016,398
694,2019.0,UK,2016,6099
695,2020.0,AL,2016,2
696,2020.0,AT,2016,1004
697,2020.0,BE,2016,463
698,2020.0,BG,2016,65
699,2020.0,CH,2016,1735
700,2020.0,CY,2016,92
701,2020.0,CZ,2016,687
702,2020.0,DE,2016,6660
703,2020.0,DK,2016,704
704,2020.0,EE,2016,59
705,2020.0,EL,2016,444
706,2020.0,ES,2016,2332
707,2020.0,FI,2016,265
708,2020.0,FR,2016,2657
709,2020.0,HR,2016,73
710,2020.0,HU,2016,277
711,2020.0,IE,2016,290
712,2020.0,IS,2016,93
713,2020.0,IT,2016,3507
714,2020.0,LT,2016,19
715,2020.0,LU,2016,90
716,2020.0,LV,2016,16
717,2020.0,ME,2016,2
718,2020.0,MK,2016,8
719,2020.0,MT,2016,27
720,2020.0,NL,2016,1984
721,2020.0,NO,2016,412
722,2020.0,PL,2016,759
723,2020.0,PT,2016,364
724,2020.0,RO,2016,85
725,2020.0,RS,2016,68
726,2020.0,SE,2016,1205
727,2020.0,SI,2016,111
728,2020.0,SK,2016,114
729,2020.0,TR,2016,437
730,2020.0,UK,2016,6259
731,2021.0,AT,2016,225
732,2021.0,BE,2016,99
733,2021.0,BG,2016,6
734,2021.0,CH,2016,351
735,2021.0,CY,2016,23
736,2021.0,CZ,2016,146
737,2021.0,DE,2016,1293
738,2021.0,DK,2016,145
739,2021.0,EE,2016,17
740,2021.0,EL,2016,83
741,2021.0,ES,2016,443
742,2021.0,FI,2016,60
743,2021.0,FR,2016,543
744,2021.0,HR,2016,11
745,2021.0,HU,2016,63
746,2021.0,IE,2016,45
747,2021.0,IS,2016,21
748,2021.0,IT,2016,748
749,2021.0,LT,2016,3
750,2021.0,LU,2016,34
751,2021.0,LV,2016,2
752,2021.0,MK,2016,1
753,2021.0,MT,2016,8
754,2021.0,NL,2016,381
755,2021.0,NO,2016,90
756,2021.0,PL,2016,147
757,2021.0,PT,2016,94
758,2021.0,RO,2016,13
759,2021.0,RS,2016,12
760,2021.0,SE,2016,255
761,2021.0,SI,2016,24
762,2021.0,SK,2016,18
763,2021.0,TR,2016,91
764,2021.0,UK,2016,1178
