,year,nuts_id,nuts_year_spec,deep_learning_count
89,2009.0,UKF,2016,2
90,2009.0,UKH,2016,1
91,2009.0,UKI,2016,2
92,2010.0,AT1,2016,1
93,2010.0,BE1,2016,1
94,2010.0,CH0,2016,2
95,2010.0,DE1,2016,1
96,2010.0,DE2,2016,1
97,2010.0,DE3,2016,1
98,2010.0,DE4,2016,1
99,2010.0,EL4,2016,1
100,2010.0,FI1,2016,1
101,2010.0,FR1,2016,1
102,2010.0,FRI,2016,1
103,2010.0,FRK,2016,2
104,2010.0,HU1,2016,1
105,2010.0,ITH,2016,1
106,2010.0,PL6,2016,1
107,2010.0,PT1,2016,1
108,2010.0,PT3,2016,1
109,2010.0,TR5,2016,1
110,2010.0,UKG,2016,1
111,2010.0,UKH,2016,1
112,2010.0,UKI,2016,1
113,2010.0,UKK,2016,1
114,2011.0,BE1,2016,1
115,2011.0,BE2,2016,1
116,2011.0,CH0,2016,2
117,2011.0,DE7,2016,1
118,2011.0,DEA,2016,2
119,2011.0,DED,2016,2
120,2011.0,ES3,2016,1
121,2011.0,ES6,2016,1
122,2011.0,FI1,2016,1
123,2011.0,FR1,2016,7
124,2011.0,FRC,2016,1
125,2011.0,ITC,2016,1
126,2011.0,ITH,2016,3
127,2011.0,ITI,2016,1
128,2011.0,NL2,2016,1
129,2011.0,NL3,2016,1
130,2011.0,PT1,2016,2
131,2011.0,RO3,2016,2
132,2011.0,SE1,2016,1
133,2011.0,UKH,2016,1
134,2011.0,UKJ,2016,1
135,2011.0,UKK,2016,1
136,2011.0,UKM,2016,2
137,2012.0,AT2,2016,1
138,2012.0,BE1,2016,1
139,2012.0,BE2,2016,2
140,2012.0,BE3,2016,2
141,2012.0,CH0,2016,10
142,2012.0,CZ0,2016,1
143,2012.0,DE2,2016,5
144,2012.0,DE3,2016,3
145,2012.0,DE7,2016,1
146,2012.0,DE9,2016,1
147,2012.0,DEC,2016,2
148,2012.0,DK0,2016,2
149,2012.0,EL4,2016,1
150,2012.0,ES5,2016,1
151,2012.0,ES6,2016,1
152,2012.0,FI1,2016,2
153,2012.0,FR1,2016,8
154,2012.0,FRH,2016,1
155,2012.0,FRY,2016,1
156,2012.0,ITC,2016,2
157,2012.0,ITI,2016,3
158,2012.0,NL2,2016,2
159,2012.0,NL3,2016,6
160,2012.0,PT1,2016,2
161,2012.0,TR1,2016,1
162,2012.0,UKE,2016,1
163,2012.0,UKF,2016,2
164,2012.0,UKH,2016,1
165,2012.0,UKJ,2016,1
166,2012.0,UKK,2016,3
167,2012.0,UKM,2016,3
168,2013.0,BE1,2016,1
169,2013.0,BE3,2016,2
170,2013.0,CH0,2016,9
171,2013.0,CZ0,2016,1
172,2013.0,DE1,2016,1
173,2013.0,DE2,2016,8
174,2013.0,DE3,2016,2
175,2013.0,DE7,2016,2
176,2013.0,DEA,2016,1
177,2013.0,DED,2016,2
178,2013.0,DK0,2016,4
179,2013.0,EL5,2016,2
180,2013.0,ES2,2016,1
181,2013.0,ES3,2016,1
182,2013.0,ES5,2016,2
183,2013.0,ES6,2016,1
184,2013.0,FI1,2016,12
185,2013.0,FR1,2016,12
186,2013.0,FRH,2016,1
187,2013.0,FRJ,2016,1
188,2013.0,FRK,2016,1
189,2013.0,ITG,2016,2
190,2013.0,ITH,2016,1
191,2013.0,ITI,2016,9
192,2013.0,LU0,2016,1
193,2013.0,NL3,2016,6
194,2013.0,NO0,2016,2
195,2013.0,PT1,2016,4
196,2013.0,SE2,2016,1
197,2013.0,TR1,2016,2
198,2013.0,UKE,2016,1
199,2013.0,UKF,2016,3
200,2013.0,UKG,2016,1
201,2013.0,UKH,2016,4
202,2013.0,UKI,2016,5
