year,region_type,region_year_spec,region_id,region_level,variants_count
248,2020,NUTS,2016,UKL22,3,2
249,2020,NUTS,2016,UKM,1,15
250,2020,NUTS,2016,UKM7,2,12
251,2020,NUTS,2016,UKM72,3,1
252,2020,NUTS,2016,UKM75,3,11
253,2020,NUTS,2016,UKM8,2,3
254,2020,NUTS,2016,UKM82,3,3
255,2021,NUTS,2021,CH,0,12
256,2021,NUTS,2021,CH0,1,12
257,2021,NUTS,2021,CH01,2,3
258,2021,NUTS,2021,CH011,3,1
259,2021,NUTS,2021,CH013,3,2
260,2021,NUTS,2021,CH02,2,2
261,2021,NUTS,2021,CH021,3,2
262,2021,NUTS,2021,CH03,2,3
263,2021,NUTS,2021,CH031,3,3
264,2021,NUTS,2021,CH04,2,4
265,2021,NUTS,2021,CH040,3,4
266,2021,NUTS,2021,CY,0,1
267,2021,NUTS,2021,CY0,1,1
268,2021,NUTS,2021,CY00,2,1
269,2021,NUTS,2021,CY000,3,1
270,2021,NUTS,2021,DE,0,7
271,2021,NUTS,2021,DE3,1,1
272,2021,NUTS,2021,DE30,2,1
273,2021,NUTS,2021,DE300,3,1
274,2021,NUTS,2021,DE4,1,2
275,2021,NUTS,2021,DE40,2,2
276,2021,NUTS,2021,DE404,3,2
277,2021,NUTS,2021,DE7,1,1
278,2021,NUTS,2021,DE73,2,1
279,2021,NUTS,2021,DE731,3,1
280,2021,NUTS,2021,DE9,1,2
281,2021,NUTS,2021,DE92,2,2
282,2021,NUTS,2021,DE929,3,2
283,2021,NUTS,2021,DEA,1,1
284,2021,NUTS,2021,DEA4,2,1
285,2021,NUTS,2021,DEA41,3,1
286,2021,NUTS,2021,DK,0,1
287,2021,NUTS,2021,DK0,1,1
288,2021,NUTS,2021,DK03,2,1
289,2021,NUTS,2021,DK031,3,1
290,2021,NUTS,2021,EL,0,4
291,2021,NUTS,2021,EL3,1,1
292,2021,NUTS,2021,EL30,2,1
293,2021,NUTS,2021,EL303,3,1
294,2021,NUTS,2021,EL5,1,2
295,2021,NUTS,2021,EL51,2,1
296,2021,NUTS,2021,EL512,3,1
297,2021,NUTS,2021,EL52,2,1
298,2021,NUTS,2021,EL522,3,1
299,2021,NUTS,2021,EL6,1,1
300,2021,NUTS,2021,EL65,2,1
301,2021,NUTS,2021,EL651,3,1
302,2021,NUTS,2021,ES,0,1
303,2021,NUTS,2021,ES3,1,1
304,2021,NUTS,2021,ES30,2,1
305,2021,NUTS,2021,ES300,3,1
306,2021,NUTS,2021,FR,0,1
307,2021,NUTS,2021,FRY,1,1
308,2021,NUTS,2021,FRY4,2,1
309,2021,NUTS,2021,FRY40,3,1
310,2021,NUTS,2021,IE,0,3
311,2021,NUTS,2021,IE0,1,3
312,2021,NUTS,2021,IE05,2,1
313,2021,NUTS,2021,IE052,3,1
314,2021,NUTS,2021,IE06,2,2
315,2021,NUTS,2021,IE061,3,2
316,2021,NUTS,2021,IT,0,3
317,2021,NUTS,2021,ITC,1,1
318,2021,NUTS,2021,ITC1,2,1
319,2021,NUTS,2021,ITC11,3,1
320,2021,NUTS,2021,ITH,1,1
321,2021,NUTS,2021,ITH3,2,1
322,2021,NUTS,2021,ITH31,3,1
323,2021,NUTS,2021,ITI,1,1
324,2021,NUTS,2021,ITI4,2,1
325,2021,NUTS,2021,ITI43,3,1
326,2021,NUTS,2021,NL,0,1
327,2021,NUTS,2021,NL2,1,1
328,2021,NUTS,2021,NL22,2,1
329,2021,NUTS,2021,NL226,3,1
330,2021,NUTS,2021,PL,0,2
331,2021,NUTS,2021,PL9,1,2
332,2021,NUTS,2021,PL91,2,2
333,2021,NUTS,2021,PL911,3,2
334,2021,NUTS,2021,SE,0,2
335,2021,NUTS,2021,SE2,1,1
336,2021,NUTS,2021,SE23,2,1
337,2021,NUTS,2021,SE232,3,1
338,2021,NUTS,2021,SE3,1,1
339,2021,NUTS,2021,SE33,2,1
340,2021,NUTS,2021,SE331,3,1
341,2021,NUTS,2021,UK,0,27
342,2021,NUTS,2021,UKD,1,1
343,2021,NUTS,2021,UKD3,2,1
344,2021,NUTS,2021,UKD33,3,1
345,2021,NUTS,2021,UKF,1,1
346,2021,NUTS,2021,UKF2,2,1
347,2021,NUTS,2021,UKF21,3,1
348,2021,NUTS,2021,UKG,1,1
349,2021,NUTS,2021,UKG1,2,1
350,2021,NUTS,2021,UKG13,3,1
351,2021,NUTS,2021,UKH,1,4
352,2021,NUTS,2021,UKH1,2,2
353,2021,NUTS,2021,UKH12,3,2
354,2021,NUTS,2021,UKH2,2,2
355,2021,NUTS,2021,UKH23,3,2
356,2021,NUTS,2021,UKI,1,5
357,2021,NUTS,2021,UKI3,2,5
358,2021,NUTS,2021,UKI31,3,3
359,2021,NUTS,2021,UKI32,3,1
360,2021,NUTS,2021,UKI33,3,1
361,2021,NUTS,2021,UKJ,1,4
362,2021,NUTS,2021,UKJ1,2,4
363,2021,NUTS,2021,UKJ14,3,4
364,2021,NUTS,2021,UKK,1,1
365,2021,NUTS,2021,UKK1,2,1
366,2021,NUTS,2021,UKK12,3,1
367,2021,NUTS,2021,UKL,1,1
368,2021,NUTS,2021,UKL2,2,1
369,2021,NUTS,2021,UKL21,3,1
370,2021,NUTS,2021,UKM,1,9
371,2021,NUTS,2021,UKM7,2,6
372,2021,NUTS,2021,UKM72,3,1
373,2021,NUTS,2021,UKM75,3,5
374,2021,NUTS,2021,UKM8,2,3
375,2021,NUTS,2021,UKM82,3,3
