,year,nuts_id,nuts_year_spec,cord_count
563,2006.0,ES43,2016,1
564,2006.0,ES51,2016,12
565,2006.0,ES52,2016,3
566,2006.0,ES61,2016,2
567,2006.0,ES62,2016,1
568,2006.0,ES70,2016,1
569,2006.0,FI19,2016,1
570,2006.0,FI1B,2016,9
571,2006.0,FI1C,2016,7
572,2006.0,FI1D,2016,2
573,2006.0,FR10,2016,14
574,2006.0,FRF1,2016,1
575,2006.0,FRG0,2016,1
576,2006.0,FRI1,2016,2
577,2006.0,FRI3,2016,1
578,2006.0,FRJ1,2016,4
579,2006.0,FRJ2,2016,2
580,2006.0,FRK2,2016,6
581,2006.0,FRL0,2016,5
582,2006.0,HU11,2016,2
583,2006.0,HU23,2016,2
584,2006.0,HU33,2016,1
585,2006.0,IE05,2016,2
586,2006.0,IE06,2016,10
587,2006.0,IS00,2016,2
588,2006.0,ITC1,2016,2
589,2006.0,ITC3,2016,1
590,2006.0,ITC4,2016,10
591,2006.0,ITF1,2016,4
592,2006.0,ITF3,2016,4
593,2006.0,ITF4,2016,9
594,2006.0,ITH3,2016,2
595,2006.0,ITH5,2016,6
596,2006.0,ITI1,2016,4
597,2006.0,ITI2,2016,2
598,2006.0,ITI4,2016,20
599,2006.0,NL11,2016,3
600,2006.0,NL21,2016,1
601,2006.0,NL22,2016,14
602,2006.0,NL31,2016,23
603,2006.0,NL32,2016,29
604,2006.0,NL33,2016,35
605,2006.0,NL41,2016,7
606,2006.0,NO01,2016,2
607,2006.0,NO05,2016,1
608,2006.0,NO06,2016,1
609,2006.0,NO07,2016,2
610,2006.0,PL41,2016,1
611,2006.0,PL71,2016,1
612,2006.0,PL91,2016,4
613,2006.0,PT17,2016,3
614,2006.0,PT30,2016,1
615,2006.0,RS11,2016,1
616,2006.0,SE11,2016,25
617,2006.0,SE12,2016,13
618,2006.0,SE22,2016,3
619,2006.0,SE23,2016,3
620,2006.0,SE33,2016,3
621,2006.0,SI04,2016,2
622,2006.0,SK01,2016,1
623,2006.0,TR31,2016,1
624,2006.0,TR83,2016,1
625,2006.0,TRB1,2016,1
626,2006.0,UKC1,2016,8
627,2006.0,UKC2,2016,2
628,2006.0,UKD3,2016,7
629,2006.0,UKD7,2016,6
630,2006.0,UKE1,2016,1
631,2006.0,UKE2,2016,5
632,2006.0,UKE3,2016,4
633,2006.0,UKE4,2016,17
634,2006.0,UKF1,2016,2
635,2006.0,UKF2,2016,6
636,2006.0,UKG1,2016,1
637,2006.0,UKG3,2016,5
638,2006.0,UKH1,2016,27
639,2006.0,UKH2,2016,2
640,2006.0,UKI3,2016,52
641,2006.0,UKI4,2016,4
642,2006.0,UKI5,2016,1
643,2006.0,UKI7,2016,2
644,2006.0,UKJ1,2016,50
645,2006.0,UKJ2,2016,4
646,2006.0,UKJ3,2016,10
647,2006.0,UKJ4,2016,1
648,2006.0,UKK1,2016,15
649,2006.0,UKK4,2016,1
650,2006.0,UKL2,2016,5
651,2006.0,UKM5,2016,2
652,2006.0,UKM7,2016,16
653,2006.0,UKM8,2016,9
654,2006.0,UKN0,2016,8
655,2007.0,AT12,2016,1
656,2007.0,AT13,2016,18
657,2007.0,AT22,2016,2
658,2007.0,AT33,2016,1
659,2007.0,BE10,2016,2
660,2007.0,BE21,2016,3
661,2007.0,BE23,2016,6
662,2007.0,BE24,2016,12
663,2007.0,BE31,2016,1
664,2007.0,BE33,2016,2
665,2007.0,BE35,2016,1
666,2007.0,CH01,2016,23
667,2007.0,CH02,2016,3
668,2007.0,CH03,2016,1
669,2007.0,CH04,2016,9
670,2007.0,CH05,2016,4
671,2007.0,CZ01,2016,3
672,2007.0,CZ06,2016,1
673,2007.0,CZ07,2016,1
674,2007.0,DE12,2016,3
675,2007.0,DE13,2016,13
676,2007.0,DE14,2016,6
677,2007.0,DE21,2016,19
678,2007.0,DE23,2016,1
679,2007.0,DE25,2016,2
680,2007.0,DE26,2016,3
681,2007.0,DE30,2016,28
682,2007.0,DE50,2016,2
683,2007.0,DE60,2016,5
684,2007.0,DE71,2016,7
685,2007.0,DE72,2016,9
686,2007.0,DE73,2016,3
687,2007.0,DE80,2016,2
688,2007.0,DE91,2016,1
689,2007.0,DE92,2016,4
690,2007.0,DEA2,2016,13
691,2007.0,DEA5,2016,3
692,2007.0,DEC0,2016,1
693,2007.0,DED4,2016,2
694,2007.0,DED5,2016,4
695,2007.0,DEE0,2016,1
696,2007.0,DEF0,2016,3
697,2007.0,DK01,2016,8
698,2007.0,DK03,2016,3
699,2007.0,DK04,2016,6
700,2007.0,DK05,2016,1
701,2007.0,EE00,2016,1
702,2007.0,EL30,2016,5
703,2007.0,EL43,2016,1
704,2007.0,EL52,2016,7
705,2007.0,ES12,2016,3
706,2007.0,ES21,2016,2
707,2007.0,ES22,2016,2
708,2007.0,ES30,2016,25
709,2007.0,ES41,2016,5
710,2007.0,ES42,2016,1
711,2007.0,ES43,2016,1
712,2007.0,ES51,2016,9
713,2007.0,ES52,2016,3
714,2007.0,ES61,2016,2
715,2007.0,ES62,2016,2
716,2007.0,FI1B,2016,8
717,2007.0,FI1C,2016,13
718,2007.0,FI1D,2016,1
719,2007.0,FR10,2016,21
720,2007.0,FRB0,2016,1
721,2007.0,FRF1,2016,3
722,2007.0,FRJ1,2016,6
723,2007.0,FRK2,2016,7
724,2007.0,FRL0,2016,1
725,2007.0,HU11,2016,5
726,2007.0,HU12,2016,1
727,2007.0,HU33,2016,1
728,2007.0,IE04,2016,1
729,2007.0,IE06,2016,2
730,2007.0,IS00,2016,1
731,2007.0,ITC1,2016,3
732,2007.0,ITC4,2016,17
733,2007.0,ITF1,2016,1
734,2007.0,ITF4,2016,12
735,2007.0,ITG1,2016,1
736,2007.0,ITG2,2016,2
737,2007.0,ITH3,2016,4
738,2007.0,ITH4,2016,1
739,2007.0,ITH5,2016,5
740,2007.0,ITI1,2016,8
741,2007.0,ITI4,2016,6
742,2007.0,LT01,2016,1
743,2007.0,NL11,2016,3
744,2007.0,NL21,2016,1
745,2007.0,NL22,2016,6
746,2007.0,NL31,2016,24
747,2007.0,NL32,2016,11
748,2007.0,NL33,2016,31
749,2007.0,NL41,2016,2
750,2007.0,NL42,2016,1
751,2007.0,NO01,2016,2
752,2007.0,NO02,2016,2
753,2007.0,PL22,2016,1
754,2007.0,PL41,2016,1
755,2007.0,PL42,2016,2
756,2007.0,PL51,2016,1
757,2007.0,PL63,2016,2
758,2007.0,PL81,2016,1
759,2007.0,PL91,2016,6
760,2007.0,PT11,2016,2
761,2007.0,PT17,2016,2
762,2007.0,RS11,2016,3
763,2007.0,SE11,2016,11
764,2007.0,SE12,2016,8
765,2007.0,SE22,2016,4
766,2007.0,SE23,2016,1
767,2007.0,SE33,2016,2
768,2007.0,SI04,2016,1
769,2007.0,SK01,2016,1
770,2007.0,TR10,2016,1
771,2007.0,TR31,2016,1
772,2007.0,TR41,2016,2
773,2007.0,TR51,2016,2
774,2007.0,UKC1,2016,2
775,2007.0,UKC2,2016,1
776,2007.0,UKD3,2016,5
777,2007.0,UKD7,2016,12
778,2007.0,UKE1,2016,6
779,2007.0,UKE3,2016,2
780,2007.0,UKE4,2016,14
781,2007.0,UKF1,2016,8
782,2007.0,UKF2,2016,2
783,2007.0,UKG1,2016,3
784,2007.0,UKG2,2016,3
785,2007.0,UKG3,2016,3
786,2007.0,UKH1,2016,21
787,2007.0,UKH2,2016,3
788,2007.0,UKI3,2016,41
789,2007.0,UKI4,2016,7
790,2007.0,UKJ1,2016,23
