,year,region_type,region_year_spec,region_id,region_level,policy_fund_amount
342,2015,NUTS,2013,ES2,1,1617278.25
343,2015,NUTS,2013,ES21,2,1107453.25
344,2015,NUTS,2013,ES211,3,104801.0
345,2015,NUTS,2013,ES212,3,52906.0
346,2015,NUTS,2013,ES213,3,949746.25
347,2015,NUTS,2013,ES22,2,153625.0
348,2015,NUTS,2013,ES220,3,153625.0
349,2015,NUTS,2013,ES24,2,356200.0
350,2015,NUTS,2013,ES243,3,356200.0
351,2015,NUTS,2013,ES3,1,5746034.2
352,2015,NUTS,2013,ES30,2,5746034.2
353,2015,NUTS,2013,ES300,3,5746034.2
354,2015,NUTS,2013,ES5,1,4488083.86
355,2015,NUTS,2013,ES51,2,3113719.06
356,2015,NUTS,2013,ES511,3,3113719.06
357,2015,NUTS,2013,ES52,2,1374364.8
358,2015,NUTS,2013,ES522,3,1239364.8
359,2015,NUTS,2013,ES523,3,135000.0
360,2015,NUTS,2013,ES6,1,464456.75
361,2015,NUTS,2013,ES61,2,260993.75
362,2015,NUTS,2013,ES617,3,161993.75
363,2015,NUTS,2013,ES618,3,99000.0
364,2015,NUTS,2013,ES62,2,203463.0
365,2015,NUTS,2013,ES620,3,203463.0
366,2015,NUTS,2013,FI,0,5936811.74
367,2015,NUTS,2013,FI1,1,5936811.74
368,2015,NUTS,2013,FI19,2,488538.75
369,2015,NUTS,2013,FI197,3,488538.75
370,2015,NUTS,2013,FI1B,2,4319974.66
371,2015,NUTS,2013,FI1B1,3,4319974.66
372,2015,NUTS,2013,FI1C,2,217904.75
373,2015,NUTS,2013,FI1C1,3,217904.75
374,2015,NUTS,2013,FI1D,2,910393.58
375,2015,NUTS,2013,FI1D6,3,910393.58
376,2015,NUTS,2013,FR,0,17346210.15
377,2015,NUTS,2013,FR1,1,13154128.29
378,2015,NUTS,2013,FR10,2,13154128.29
379,2015,NUTS,2013,FR101,3,12814154.79
380,2015,NUTS,2013,FR102,3,128310.0
381,2015,NUTS,2013,FR104,3,45000.0
382,2015,NUTS,2013,FR107,3,43997.5
383,2015,NUTS,2013,FR108,3,122666.0
384,2015,NUTS,2013,FR4,1,453245.0
385,2015,NUTS,2013,FR42,2,320625.0
386,2015,NUTS,2013,FR422,3,320625.0
387,2015,NUTS,2013,FR43,2,132620.0
388,2015,NUTS,2013,FR431,3,132620.0
389,2015,NUTS,2013,FR5,1,445000.0
390,2015,NUTS,2013,FR52,2,445000.0
391,2015,NUTS,2013,FR522,3,445000.0
392,2015,NUTS,2013,FR6,1,1000204.5
393,2015,NUTS,2013,FR61,2,456618.5
394,2015,NUTS,2013,FR612,3,324562.5
395,2015,NUTS,2013,FR614,3,132056.0
396,2015,NUTS,2013,FR62,2,543586.0
397,2015,NUTS,2013,FR623,3,543586.0
398,2015,NUTS,2013,FR7,1,1613882.36
399,2015,NUTS,2013,FR71,2,562379.96
400,2015,NUTS,2013,FR714,3,304094.0
401,2015,NUTS,2013,FR716,3,181910.96
402,2015,NUTS,2013,FR718,3,76375.0
403,2015,NUTS,2013,FR72,2,1051502.4
404,2015,NUTS,2013,FR724,3,1051502.4
405,2015,NUTS,2013,FR8,1,679750.0
406,2015,NUTS,2013,FR82,2,679750.0
407,2015,NUTS,2013,FR824,3,679750.0
408,2015,NUTS,2013,HR,0,2183317.64
409,2015,NUTS,2013,HR0,1,2183317.64
410,2015,NUTS,2013,HR04,2,2183317.64
411,2015,NUTS,2013,HR041,3,1693718.26
412,2015,NUTS,2013,HR042,3,415661.88
413,2015,NUTS,2013,HR04B,3,73937.5
414,2015,NUTS,2013,HU,0,3623876.75
415,2015,NUTS,2013,HU1,1,2487707.0
416,2015,NUTS,2013,HU10,2,2487707.0
417,2015,NUTS,2013,HU101,3,2332182.0
418,2015,NUTS,2013,HU102,3,155525.0
419,2015,NUTS,2013,HU3,1,1136169.75
420,2015,NUTS,2013,HU31,2,142250.0
421,2015,NUTS,2013,HU311,3,142250.0
422,2015,NUTS,2013,HU32,2,217341.75
423,2015,NUTS,2013,HU321,3,217341.75
424,2015,NUTS,2013,HU33,2,776578.0
425,2015,NUTS,2013,HU331,3,56105.0
426,2015,NUTS,2013,HU333,3,720473.0
427,2015,NUTS,2013,IE,0,9528871.85
428,2015,NUTS,2013,IE0,1,9528871.85
429,2015,NUTS,2013,IE01,2,709570.01
430,2015,NUTS,2013,IE013,3,709570.01
431,2015,NUTS,2013,IE02,2,8819301.84
432,2015,NUTS,2013,IE021,3,7018031.94
433,2015,NUTS,2013,IE024,3,353216.0
434,2015,NUTS,2013,IE025,3,1448053.9
435,2015,NUTS,2013,IT,0,37954775.18
436,2015,NUTS,2013,ITC,1,6798729.42
437,2015,NUTS,2013,ITC1,2,4027832.42
438,2015,NUTS,2013,ITC11,3,3795539.82
439,2015,NUTS,2013,ITC12,3,225750.0
440,2015,NUTS,2013,ITC18,3,6542.6
441,2015,NUTS,2013,ITC3,2,691993.25
