,year,region_type,region_year_spec,region_id,region_level,products_proj_spec
258,2015,NUTS,2013,FR71,2,1.38
259,2015,NUTS,2013,FR82,2,0.61
260,2015,NUTS,2013,HU10,2,0.68
261,2015,NUTS,2013,IE01,2,0.56
262,2015,NUTS,2013,IE02,2,0.94
263,2015,NUTS,2013,ITC1,2,1.6
264,2015,NUTS,2013,ITC3,2,3.59
265,2015,NUTS,2013,ITC4,2,1.62
266,2015,NUTS,2013,ITF1,2,1.22
267,2015,NUTS,2013,ITF3,2,0.87
268,2015,NUTS,2013,ITF4,2,1.22
269,2015,NUTS,2013,ITG1,2,0.76
270,2015,NUTS,2013,ITG2,2,3.05
271,2015,NUTS,2013,ITH1,2,3.05
272,2015,NUTS,2013,ITH3,2,3.05
273,2015,NUTS,2013,ITH4,2,1.53
274,2015,NUTS,2013,ITH5,2,2.52
275,2015,NUTS,2013,ITI1,2,0.28
276,2015,NUTS,2013,ITI4,2,0.52
277,2015,NUTS,2013,LT00,2,0.98
278,2015,NUTS,2013,LU00,2,0.57
279,2015,NUTS,2013,LV00,2,0.27
280,2015,NUTS,2013,NL12,2,2.04
281,2015,NUTS,2013,NL13,2,1.53
282,2015,NUTS,2013,NL21,2,1.36
283,2015,NUTS,2013,NL22,2,0.7
284,2015,NUTS,2013,NL31,2,0.8
285,2015,NUTS,2013,NL32,2,0.53
286,2015,NUTS,2013,NL33,2,0.85
287,2015,NUTS,2013,NL41,2,1.95
288,2015,NUTS,2013,NL42,2,1.91
289,2015,NUTS,2013,PL12,2,0.84
290,2015,NUTS,2013,PL22,2,6.11
291,2015,NUTS,2013,PL51,2,3.05
292,2015,NUTS,2013,PT11,2,0.94
293,2015,NUTS,2013,PT16,2,1.02
294,2015,NUTS,2013,PT17,2,0.1
295,2015,NUTS,2013,RO21,2,2.04
296,2015,NUTS,2013,RO32,2,1.22
297,2015,NUTS,2013,RO41,2,6.11
298,2015,NUTS,2013,SE11,2,1.08
299,2015,NUTS,2013,SE12,2,0.45
300,2015,NUTS,2013,SE22,2,0.34
301,2015,NUTS,2013,SE23,2,1.67
302,2015,NUTS,2013,SE33,2,2.44
303,2015,NUTS,2013,SI03,2,2.29
304,2015,NUTS,2013,SI04,2,1.11
305,2015,NUTS,2013,UKC1,2,3.05
306,2015,NUTS,2013,UKC2,2,3.05
307,2015,NUTS,2013,UKD3,2,0.51
308,2015,NUTS,2013,UKE3,2,4.07
309,2015,NUTS,2013,UKE4,2,1.44
310,2015,NUTS,2013,UKF1,2,0.47
311,2015,NUTS,2013,UKF2,2,2.44
312,2015,NUTS,2013,UKG3,2,1.67
313,2015,NUTS,2013,UKH1,2,0.56
314,2015,NUTS,2013,UKI3,2,0.31
315,2015,NUTS,2013,UKI4,2,0.56
316,2015,NUTS,2013,UKI5,2,1.53
317,2015,NUTS,2013,UKI7,2,2.22
318,2015,NUTS,2013,UKJ1,2,0.51
319,2015,NUTS,2013,UKK1,2,1.88
320,2015,NUTS,2013,UKL1,2,3.05
321,2015,NUTS,2013,UKL2,2,0.61
322,2015,NUTS,2013,UKM3,2,1.29
323,2015,NUTS,2013,AT122,3,6.11
324,2015,NUTS,2013,AT130,3,0.69
325,2015,NUTS,2013,AT211,3,6.11
326,2015,NUTS,2013,AT221,3,0.99
327,2015,NUTS,2013,AT223,3,6.11
328,2015,NUTS,2013,AT226,3,6.11
329,2015,NUTS,2013,AT311,3,6.11
330,2015,NUTS,2013,AT322,3,6.11
331,2015,NUTS,2013,AT323,3,2.04
332,2015,NUTS,2013,AT335,3,6.11
333,2015,NUTS,2013,BE100,3,0.7
334,2015,NUTS,2013,BE212,3,3.05
335,2015,NUTS,2013,BE213,3,2.72
336,2015,NUTS,2013,BE221,3,6.11
337,2015,NUTS,2013,BE234,3,0.83
338,2015,NUTS,2013,BE235,3,2.04
339,2015,NUTS,2013,BE241,3,2.04
340,2015,NUTS,2013,BE242,3,1.22
341,2015,NUTS,2013,BE310,3,1.53
342,2015,NUTS,2013,BE332,3,0.76
343,2015,NUTS,2013,BE352,3,1.53
344,2015,NUTS,2013,BG411,3,3.05
345,2015,NUTS,2013,CY000,3,0.76
346,2015,NUTS,2013,CZ010,3,0.21
347,2015,NUTS,2013,CZ052,3,6.11
348,2015,NUTS,2013,CZ064,3,0.87
349,2015,NUTS,2013,DE111,3,1.53
350,2015,NUTS,2013,DE112,3,3.05
351,2015,NUTS,2013,DE113,3,3.05
352,2015,NUTS,2013,DE122,3,1.53
353,2015,NUTS,2013,DE125,3,0.15
354,2015,NUTS,2013,DE129,3,6.11
355,2015,NUTS,2013,DE131,3,0.94
356,2015,NUTS,2013,DE134,3,6.11
357,2015,NUTS,2013,DE139,3,3.05
358,2015,NUTS,2013,DE141,3,3.05
359,2015,NUTS,2013,DE212,3,1.73
360,2015,NUTS,2013,DE21H,3,0.87
361,2015,NUTS,2013,DE21K,3,6.11
362,2015,NUTS,2013,DE21L,3,3.05
363,2015,NUTS,2013,DE239,3,6.11
364,2015,NUTS,2013,DE242,3,3.05
365,2015,NUTS,2013,DE251,3,3.05
366,2015,NUTS,2013,DE252,3,0.56
367,2015,NUTS,2013,DE257,3,6.11
368,2015,NUTS,2013,DE263,3,6.11
369,2015,NUTS,2013,DE268,3,6.11
370,2015,NUTS,2013,DE27C,3,6.11
371,2015,NUTS,2013,DE300,3,0.68
372,2015,NUTS,2013,DE502,3,3.05
373,2015,NUTS,2013,DE600,3,2.16
374,2015,NUTS,2013,DE711,3,0.94
375,2015,NUTS,2013,DE712,3,1.61
376,2015,NUTS,2013,DE732,3,6.11
377,2015,NUTS,2013,DE803,3,3.05
378,2015,NUTS,2013,DE804,3,6.11
379,2015,NUTS,2013,DE911,3,0.76
380,2015,NUTS,2013,DE916,3,6.11
381,2015,NUTS,2013,DE929,3,1.67
382,2015,NUTS,2013,DE943,3,2.04
383,2015,NUTS,2013,DE94E,3,6.11
384,2015,NUTS,2013,DEA12,3,2.04
385,2015,NUTS,2013,DEA13,3,2.44
386,2015,NUTS,2013,DEA1C,3,6.11
387,2015,NUTS,2013,DEA1E,3,6.11
388,2015,NUTS,2013,DEA23,3,0.8
389,2015,NUTS,2013,DEA24,3,4.58
390,2015,NUTS,2013,DEA26,3,0.92
391,2015,NUTS,2013,DEA2D,3,3.49
392,2015,NUTS,2013,DEA35,3,6.11
393,2015,NUTS,2013,DEA38,3,6.11
394,2015,NUTS,2013,DEA47,3,4.58
395,2015,NUTS,2013,DEA51,3,6.11
396,2015,NUTS,2013,DEA52,3,1.11
397,2015,NUTS,2013,DEA58,3,6.11
398,2015,NUTS,2013,DEB34,3,6.11
399,2015,NUTS,2013,DEC01,3,6.11
400,2015,NUTS,2013,DED21,3,3.29
401,2015,NUTS,2013,DED2D,3,6.11
402,2015,NUTS,2013,DED41,3,2.44
403,2015,NUTS,2013,DED43,3,6.11
404,2015,NUTS,2013,DED51,3,0.47
405,2015,NUTS,2013,DEF06,3,2.04
406,2015,NUTS,2013,DEF0F,3,6.11
407,2015,NUTS,2013,DEG03,3,1.22
408,2015,NUTS,2013,DEG0F,3,6.11
409,2015,NUTS,2013,DEG0J,3,6.11
410,2015,NUTS,2013,DK011,3,0.27
411,2015,NUTS,2013,DK012,3,0.68
412,2015,NUTS,2013,DK022,3,6.11
413,2015,NUTS,2013,DK042,3,0.81
414,2015,NUTS,2013,DK050,3,1.53
415,2015,NUTS,2013,EE001,3,0.38
416,2015,NUTS,2013,ES212,3,4.07
417,2015,NUTS,2013,ES213,3,2.04
418,2015,NUTS,2013,ES220,3,1.53
419,2015,NUTS,2013,ES230,3,2.04
420,2015,NUTS,2013,ES243,3,1.36
421,2015,NUTS,2013,ES300,3,0.86
422,2015,NUTS,2013,ES412,3,6.11
423,2015,NUTS,2013,ES422,3,3.05
424,2015,NUTS,2013,ES511,3,1.02
425,2015,NUTS,2013,ES514,3,3.05
426,2015,NUTS,2013,ES521,3,2.04
427,2015,NUTS,2013,ES532,3,3.05
428,2015,NUTS,2013,FI193,3,6.11
429,2015,NUTS,2013,FI197,3,1.02
430,2015,NUTS,2013,FI1B1,3,2.21
431,2015,NUTS,2013,FI1C1,3,1.53
432,2015,NUTS,2013,FI1C3,3,3.05
433,2015,NUTS,2013,FI1D1,3,6.11
434,2015,NUTS,2013,FI1D2,3,1.22
435,2015,NUTS,2013,FI1D3,3,6.11
436,2015,NUTS,2013,FI1D6,3,2.62
437,2015,NUTS,2013,FR101,3,0.51
438,2015,NUTS,2013,FR103,3,3.05
439,2015,NUTS,2013,FR104,3,2.04
440,2015,NUTS,2013,FR105,3,2.55
441,2015,NUTS,2013,FR232,3,6.11
442,2015,NUTS,2013,FR246,3,2.04
443,2015,NUTS,2013,FR251,3,6.11
444,2015,NUTS,2013,FR261,3,6.11
445,2015,NUTS,2013,FR301,3,0.87
446,2015,NUTS,2013,FR411,3,6.11
