,year,region_type,region_year_spec,region_id,region_level,products_fund_spec
198,2015,NUTS,2013,DE14,2,2.11
199,2015,NUTS,2013,DE21,2,2.21
200,2015,NUTS,2013,DE23,2,6.25
201,2015,NUTS,2013,DE24,2,0.49
202,2015,NUTS,2013,DE25,2,3.48
203,2015,NUTS,2013,DE26,2,6.25
204,2015,NUTS,2013,DE27,2,6.25
205,2015,NUTS,2013,DE30,2,0.41
206,2015,NUTS,2013,DE50,2,0.46
207,2015,NUTS,2013,DE60,2,1.31
208,2015,NUTS,2013,DE71,2,1.16
209,2015,NUTS,2013,DE73,2,0.18
210,2015,NUTS,2013,DE80,2,1.62
211,2015,NUTS,2013,DE91,2,1.26
212,2015,NUTS,2013,DE92,2,1.46
213,2015,NUTS,2013,DE94,2,1.39
214,2015,NUTS,2013,DEA1,2,1.41
215,2015,NUTS,2013,DEA2,2,1.79
216,2015,NUTS,2013,DEA3,2,1.52
217,2015,NUTS,2013,DEA4,2,4.5
218,2015,NUTS,2013,DEA5,2,1.47
219,2015,NUTS,2013,DEB3,2,1.59
220,2015,NUTS,2013,DEC0,2,0.9
221,2015,NUTS,2013,DED2,2,4.5
222,2015,NUTS,2013,DED4,2,5.3
223,2015,NUTS,2013,DED5,2,0.28
224,2015,NUTS,2013,DEF0,2,1.68
225,2015,NUTS,2013,DEG0,2,1.23
226,2015,NUTS,2013,DK01,2,0.41
227,2015,NUTS,2013,DK02,2,2.14
228,2015,NUTS,2013,DK04,2,0.45
229,2015,NUTS,2013,DK05,2,3.54
230,2015,NUTS,2013,EE00,2,0.04
231,2015,NUTS,2013,ES21,2,3.16
232,2015,NUTS,2013,ES22,2,2.15
233,2015,NUTS,2013,ES23,2,3.7
234,2015,NUTS,2013,ES24,2,1.14
235,2015,NUTS,2013,ES30,2,1.95
236,2015,NUTS,2013,ES41,2,6.25
237,2015,NUTS,2013,ES42,2,5.99
238,2015,NUTS,2013,ES51,2,0.76
239,2015,NUTS,2013,ES52,2,1.03
240,2015,NUTS,2013,ES53,2,2.71
241,2015,NUTS,2013,FI19,2,2.49
242,2015,NUTS,2013,FI1B,2,3.37
243,2015,NUTS,2013,FI1C,2,4.94
244,2015,NUTS,2013,FI1D,2,3.29
245,2015,NUTS,2013,FR10,2,0.49
246,2015,NUTS,2013,FR23,2,6.25
247,2015,NUTS,2013,FR24,2,0.95
248,2015,NUTS,2013,FR25,2,6.25
249,2015,NUTS,2013,FR26,2,6.25
250,2015,NUTS,2013,FR30,2,1.45
251,2015,NUTS,2013,FR41,2,6.25
252,2015,NUTS,2013,FR42,2,2.97
253,2015,NUTS,2013,FR43,2,4.84
254,2015,NUTS,2013,FR51,2,5.58
255,2015,NUTS,2013,FR53,2,6.25
256,2015,NUTS,2013,FR61,2,4.91
257,2015,NUTS,2013,FR62,2,1.07
258,2015,NUTS,2013,FR71,2,1.55
259,2015,NUTS,2013,FR82,2,0.29
260,2015,NUTS,2013,HU10,2,0.72
261,2015,NUTS,2013,IE01,2,0.34
262,2015,NUTS,2013,IE02,2,0.71
263,2015,NUTS,2013,ITC1,2,2.21
264,2015,NUTS,2013,ITC3,2,4.17
265,2015,NUTS,2013,ITC4,2,1.71
266,2015,NUTS,2013,ITF1,2,1.62
267,2015,NUTS,2013,ITF3,2,1.05
268,2015,NUTS,2013,ITF4,2,1.23
269,2015,NUTS,2013,ITG1,2,0.25
270,2015,NUTS,2013,ITG2,2,4.0
271,2015,NUTS,2013,ITH1,2,4.75
