year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_mio_pps_kp05_total
2013,NUTS,2010,AT22,2,1612.878
2015,NUTS,2010,AT22,2,1722.409
2017,NUTS,2010,AT22,2,1738.164
2019,NUTS,2010,AT22,2,1895.544
1998,NUTS,2010,AT3,1,846.292
2002,NUTS,2010,AT3,1,1187.123
2004,NUTS,2010,AT3,1,1381.557
2006,NUTS,2010,AT3,1,1710.577
2007,NUTS,2010,AT3,1,1784.37
2009,NUTS,2010,AT3,1,1943.443
2011,NUTS,2010,AT3,1,2101.205
2013,NUTS,2010,AT3,1,2614.913
2015,NUTS,2010,AT3,1,2695.502
2017,NUTS,2010,AT3,1,2936.708
2019,NUTS,2010,AT3,1,3086.565
1998,NUTS,2010,AT31,2,406.179
2002,NUTS,2010,AT31,2,588.01
2004,NUTS,2010,AT31,2,679.596
2006,NUTS,2010,AT31,2,879.308
2007,NUTS,2010,AT31,2,931.208
2009,NUTS,2010,AT31,2,973.258
2011,NUTS,2010,AT31,2,1082.606
2013,NUTS,2010,AT31,2,1399.841
2015,NUTS,2010,AT31,2,1422.814
2017,NUTS,2010,AT31,2,1641.402
2019,NUTS,2010,AT31,2,1728.45
1998,NUTS,2010,AT32,2,95.632
2002,NUTS,2010,AT32,2,133.673
2004,NUTS,2010,AT32,2,158.101
2006,NUTS,2010,AT32,2,183.09
2007,NUTS,2010,AT32,2,187.232
2009,NUTS,2010,AT32,2,208.215
2011,NUTS,2010,AT32,2,240.314
2013,NUTS,2010,AT32,2,287.517
2015,NUTS,2010,AT32,2,296.438
2017,NUTS,2010,AT32,2,331.867
2019,NUTS,2010,AT32,2,366.493
1998,NUTS,2010,AT33,2,266.33
2002,NUTS,2010,AT33,2,334.225
2004,NUTS,2010,AT33,2,411.7
2006,NUTS,2010,AT33,2,507.278
2007,NUTS,2010,AT33,2,511.503
2009,NUTS,2010,AT33,2,586.231
2011,NUTS,2010,AT33,2,608.835
2013,NUTS,2010,AT33,2,728.446
2015,NUTS,2010,AT33,2,743.867
2017,NUTS,2010,AT33,2,725.311
2019,NUTS,2010,AT33,2,741.626
1998,NUTS,2010,AT34,2,78.151
2002,NUTS,2010,AT34,2,131.215
2004,NUTS,2010,AT34,2,132.16
2006,NUTS,2010,AT34,2,140.899
2007,NUTS,2010,AT34,2,154.428
2009,NUTS,2010,AT34,2,175.738
2011,NUTS,2010,AT34,2,169.449
2013,NUTS,2010,AT34,2,199.109
2015,NUTS,2010,AT34,2,232.383
2017,NUTS,2010,AT34,2,238.128
2019,NUTS,2010,AT34,2,249.996
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,61.099
2013,NUTS,2010,BA,0,75.731
2014,NUTS,2010,BA,0,62.523
2019,NUTS,2010,BA,0,53.749
1995,NUTS,2010,BE,0,3698.657
1996,NUTS,2010,BE,0,3965.253
1997,NUTS,2010,BE,0,4273.265
1998,NUTS,2010,BE,0,4425.775
1999,NUTS,2010,BE,0,4750.593
2000,NUTS,2010,BE,0,5006.146
2001,NUTS,2010,BE,0,5313.708
2002,NUTS,2010,BE,0,5059.987
2003,NUTS,2010,BE,0,4945.821
2004,NUTS,2010,BE,0,5064.919
2005,NUTS,2010,BE,0,5097.377
2006,NUTS,2010,BE,0,5321.137
2007,NUTS,2010,BE,0,5599.45
2008,NUTS,2010,BE,0,5888.494
2009,NUTS,2010,BE,0,5953.487
2010,NUTS,2010,BE,0,6317.894
2011,NUTS,2010,BE,0,6772.21
2012,NUTS,2010,BE,0,7160.755
2013,NUTS,2010,BE,0,7350.004
2014,NUTS,2010,BE,0,7591.892
2015,NUTS,2010,BE,0,7936.937
2016,NUTS,2010,BE,0,8352.592
2017,NUTS,2010,BE,0,8969.876
2018,NUTS,2010,BE,0,9796.297
2019,NUTS,2010,BE,0,11055.307
2020,NUTS,2010,BE,0,11476.518
2002,NUTS,2010,BE1,1,635.065
2003,NUTS,2010,BE1,1,599.209
2004,NUTS,2010,BE1,1,613.921
2005,NUTS,2010,BE1,1,605.838
2006,NUTS,2010,BE1,1,761.524
2007,NUTS,2010,BE1,1,758.377
2008,NUTS,2010,BE1,1,842.708
2009,NUTS,2010,BE1,1,854.597
2010,NUTS,2010,BE1,1,794.904
2011,NUTS,2010,BE1,1,793.092
2012,NUTS,2010,BE1,1,834.485
2013,NUTS,2010,BE1,1,874.5
2014,NUTS,2010,BE1,1,981.816
2015,NUTS,2010,BE1,1,1049.775
2016,NUTS,2010,BE1,1,1173.761
2017,NUTS,2010,BE1,1,1270.877
2018,NUTS,2010,BE1,1,1411.401
2019,NUTS,2010,BE1,1,1488.966
2002,NUTS,2010,BE10,2,635.065
2003,NUTS,2010,BE10,2,599.209
2004,NUTS,2010,BE10,2,613.921
2005,NUTS,2010,BE10,2,605.838
2006,NUTS,2010,BE10,2,761.524
2007,NUTS,2010,BE10,2,758.377
2008,NUTS,2010,BE10,2,842.708
2009,NUTS,2010,BE10,2,854.597
2010,NUTS,2010,BE10,2,794.904
2011,NUTS,2010,BE10,2,793.092
2012,NUTS,2010,BE10,2,834.485
2013,NUTS,2010,BE10,2,874.5
2014,NUTS,2010,BE10,2,981.816
2015,NUTS,2010,BE10,2,1049.775
2016,NUTS,2010,BE10,2,1173.761
2017,NUTS,2010,BE10,2,1270.877
2018,NUTS,2010,BE10,2,1411.401
2019,NUTS,2010,BE10,2,1488.966
2002,NUTS,2010,BE2,1,3239.967
2003,NUTS,2010,BE2,1,3126.923
2004,NUTS,2010,BE2,1,3172.995
2005,NUTS,2010,BE2,1,3289.63
2006,NUTS,2010,BE2,1,3223.563
2007,NUTS,2010,BE2,1,3401.218
2008,NUTS,2010,BE2,1,3589.026
2009,NUTS,2010,BE2,1,3564.007
2010,NUTS,2010,BE2,1,3900.314
2011,NUTS,2010,BE2,1,4175.56
2012,NUTS,2010,BE2,1,4535.634
2013,NUTS,2010,BE2,1,4649.439
2014,NUTS,2010,BE2,1,4803.685
2015,NUTS,2010,BE2,1,5046.214
2016,NUTS,2010,BE2,1,5295.048
2017,NUTS,2010,BE2,1,5650.715
2018,NUTS,2010,BE2,1,5886.15
2019,NUTS,2010,BE2,1,6841.368
2006,NUTS,2010,BE21,2,1214.689
2007,NUTS,2010,BE21,2,1228.552
2008,NUTS,2010,BE21,2,1261.219
2009,NUTS,2010,BE21,2,1232.646
2010,NUTS,2010,BE21,2,1413.661
2011,NUTS,2010,BE21,2,1565.74
2012,NUTS,2010,BE21,2,1583.48
2013,NUTS,2010,BE21,2,1603.233
2014,NUTS,2010,BE21,2,1822.278
2015,NUTS,2010,BE21,2,1942.982
2016,NUTS,2010,BE21,2,2054.115
2017,NUTS,2010,BE21,2,2218.118
2006,NUTS,2010,BE22,2,169.281
2007,NUTS,2010,BE22,2,203.318
2008,NUTS,2010,BE22,2,186.901
2009,NUTS,2010,BE22,2,190.325
2010,NUTS,2010,BE22,2,195.467
2011,NUTS,2010,BE22,2,229.306
2012,NUTS,2010,BE22,2,239.752
2013,NUTS,2010,BE22,2,255.508
2014,NUTS,2010,BE22,2,267.411
2015,NUTS,2010,BE22,2,275.716
2016,NUTS,2010,BE22,2,307.358
2017,NUTS,2010,BE22,2,333.497
2006,NUTS,2010,BE23,2,620.394
2007,NUTS,2010,BE23,2,666.079
2008,NUTS,2010,BE23,2,723.213
2009,NUTS,2010,BE23,2,732.344
2010,NUTS,2010,BE23,2,797.604
2011,NUTS,2010,BE23,2,844.222
2012,NUTS,2010,BE23,2,962.118
2013,NUTS,2010,BE23,2,1014.37
2014,NUTS,2010,BE23,2,953.728
2015,NUTS,2010,BE23,2,982.12
2016,NUTS,2010,BE23,2,1094.802
2017,NUTS,2010,BE23,2,1108.688
2006,NUTS,2010,BE24,2,924.311
2007,NUTS,2010,BE24,2,987.856
2008,NUTS,2010,BE24,2,1107.972
2009,NUTS,2010,BE24,2,1112.433
2010,NUTS,2010,BE24,2,1193.845
2011,NUTS,2010,BE24,2,1203.93
2012,NUTS,2010,BE24,2,1314.89
2013,NUTS,2010,BE24,2,1336.731
2014,NUTS,2010,BE24,2,1415.223
2015,NUTS,2010,BE24,2,1475.284
2016,NUTS,2010,BE24,2,1434.431
2017,NUTS,2010,BE24,2,1534.154
2006,NUTS,2010,BE25,2,294.888
2007,NUTS,2010,BE25,2,315.414
2008,NUTS,2010,BE25,2,309.721
2009,NUTS,2010,BE25,2,296.26
2010,NUTS,2010,BE25,2,299.737
2011,NUTS,2010,BE25,2,332.361
2012,NUTS,2010,BE25,2,435.393
2013,NUTS,2010,BE25,2,439.596
2014,NUTS,2010,BE25,2,345.046
2015,NUTS,2010,BE25,2,370.111
2016,NUTS,2010,BE25,2,404.342
2017,NUTS,2010,BE25,2,456.259
2002,NUTS,2010,BE3,1,1184.956
2003,NUTS,2010,BE3,1,1219.689
2004,NUTS,2010,BE3,1,1278.003
2005,NUTS,2010,BE3,1,1201.908
2006,NUTS,2010,BE3,1,1336.051
2007,NUTS,2010,BE3,1,1439.855
2008,NUTS,2010,BE3,1,1456.76
2009,NUTS,2010,BE3,1,1534.883
2010,NUTS,2010,BE3,1,1622.711
2011,NUTS,2010,BE3,1,1803.566
2012,NUTS,2010,BE3,1,1790.657
2013,NUTS,2010,BE3,1,1826.091
2014,NUTS,2010,BE3,1,1806.391
2015,NUTS,2010,BE3,1,1840.95
2016,NUTS,2010,BE3,1,1883.783
2017,NUTS,2010,BE3,1,2048.284
2018,NUTS,2010,BE3,1,2498.746
2019,NUTS,2010,BE3,1,2724.973
2006,NUTS,2010,BE31,2,667.028
2007,NUTS,2010,BE31,2,745.174
2008,NUTS,2010,BE31,2,738.597
2009,NUTS,2010,BE31,2,792.457
2010,NUTS,2010,BE31,2,818.945
2011,NUTS,2010,BE31,2,941.921
2012,NUTS,2010,BE31,2,1040.094
2013,NUTS,2010,BE31,2,1045.533
2014,NUTS,2010,BE31,2,834.929
2015,NUTS,2010,BE31,2,808.543
2016,NUTS,2010,BE31,2,986.618
2017,NUTS,2010,BE31,2,1061.523
2006,NUTS,2010,BE32,2,236.522
2007,NUTS,2010,BE32,2,244.299
2008,NUTS,2010,BE32,2,282.628
2009,NUTS,2010,BE32,2,302.1
2010,NUTS,2010,BE32,2,351.477
2011,NUTS,2010,BE32,2,371.766
2012,NUTS,2010,BE32,2,324.442
2013,NUTS,2010,BE32,2,337.177
2014,NUTS,2010,BE32,2,398.306
2015,NUTS,2010,BE32,2,399.021
2016,NUTS,2010,BE32,2,314.336
2017,NUTS,2010,BE32,2,361.306
2006,NUTS,2010,BE33,2,314.847
2007,NUTS,2010,BE33,2,330.071
2008,NUTS,2010,BE33,2,309.337
2009,NUTS,2010,BE33,2,309.218
2010,NUTS,2010,BE33,2,327.434
2011,NUTS,2010,BE33,2,354.95
2012,NUTS,2010,BE33,2,337.888
2013,NUTS,2010,BE33,2,357.035
2014,NUTS,2010,BE33,2,418.802
2015,NUTS,2010,BE33,2,471.046
2016,NUTS,2010,BE33,2,475.95
2017,NUTS,2010,BE33,2,510.409
2006,NUTS,2010,BE34,2,25.285
2007,NUTS,2010,BE34,2,25.917
2008,NUTS,2010,BE34,2,16.718
2009,NUTS,2010,BE34,2,14.787
2010,NUTS,2010,BE34,2,15.747
2011,NUTS,2010,BE34,2,19.687
2012,NUTS,2010,BE34,2,13.265
2013,NUTS,2010,BE34,2,11.615
2014,NUTS,2010,BE34,2,36.043
2015,NUTS,2010,BE34,2,41.287
2016,NUTS,2010,BE34,2,13.938
2017,NUTS,2010,BE34,2,14.505
2006,NUTS,2010,BE35,2,92.368
2007,NUTS,2010,BE35,2,94.394
2008,NUTS,2010,BE35,2,109.48
2009,NUTS,2010,BE35,2,116.321
2010,NUTS,2010,BE35,2,109.109
2011,NUTS,2010,BE35,2,115.242
2012,NUTS,2010,BE35,2,74.969
2013,NUTS,2010,BE35,2,74.731
2014,NUTS,2010,BE35,2,118.312
2015,NUTS,2010,BE35,2,121.053
2016,NUTS,2010,BE35,2,92.94
2017,NUTS,2010,BE35,2,100.542
2012,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2012,NUTS,2010,BEZZ,2,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1995,NUTS,2010,BG,0,232.566
1996,NUTS,2010,BG,0,239.643
1997,NUTS,2010,BG,0,229.05
1998,NUTS,2010,BG,0,246.283
1999,NUTS,2010,BG,0,251.174
2000,NUTS,2010,BG,0,242.287
2001,NUTS,2010,BG,0,227.129
2002,NUTS,2010,BG,0,249.949
2003,NUTS,2010,BG,0,267.279
2004,NUTS,2010,BG,0,283.86
2005,NUTS,2010,BG,0,285.713
2006,NUTS,2010,BG,0,304.784
2007,NUTS,2010,BG,0,316.157
2008,NUTS,2010,BG,0,349.03
2009,NUTS,2010,BG,0,372.085
2010,NUTS,2010,BG,0,431.191
2011,NUTS,2010,BG,0,414.019
2012,NUTS,2010,BG,0,472.958
2013,NUTS,2010,BG,0,496.912
2014,NUTS,2010,BG,0,624.884
2015,NUTS,2010,BG,0,776.476
2016,NUTS,2010,BG,0,648.847
2017,NUTS,2010,BG,0,640.953
2018,NUTS,2010,BG,0,670.471
2019,NUTS,2010,BG,0,770.253
2020,NUTS,2010,BG,0,755.161
2002,NUTS,2010,BG3,1,38.713
2003,NUTS,2010,BG3,1,40.867
2004,NUTS,2010,BG3,1,37.309
2005,NUTS,2010,BG3,1,32.129
2006,NUTS,2010,BG3,1,45.889
2007,NUTS,2010,BG3,1,41.65
2008,NUTS,2010,BG3,1,47.215
2009,NUTS,2010,BG3,1,53.805
2010,NUTS,2010,BG3,1,50.217
2011,NUTS,2010,BG3,1,44.833
2012,NUTS,2010,BG3,1,49.572
2013,NUTS,2010,BG3,1,63.62
2014,NUTS,2010,BG3,1,78.749
2015,NUTS,2010,BG3,1,130.071
2016,NUTS,2010,BG3,1,128.875
2017,NUTS,2010,BG3,1,128.346
2018,NUTS,2010,BG3,1,126.131
2019,NUTS,2010,BG3,1,133.906
2002,NUTS,2010,BG31,2,5.686
2003,NUTS,2010,BG31,2,5.766
2004,NUTS,2010,BG31,2,6.734
2005,NUTS,2010,BG31,2,6.246
2006,NUTS,2010,BG31,2,7.801
2007,NUTS,2010,BG31,2,8.31
2008,NUTS,2010,BG31,2,7.023
2009,NUTS,2010,BG31,2,8.371
2010,NUTS,2010,BG31,2,6.759
2011,NUTS,2010,BG31,2,6.91
2012,NUTS,2010,BG31,2,8.75
2013,NUTS,2010,BG31,2,10.164
2014,NUTS,2010,BG31,2,11.185
2015,NUTS,2010,BG31,2,30.371
2016,NUTS,2010,BG31,2,26.291
2017,NUTS,2010,BG31,2,26.376
2018,NUTS,2010,BG31,2,30.282
2019,NUTS,2010,BG31,2,24.677
2002,NUTS,2010,BG32,2,11.607
2003,NUTS,2010,BG32,2,9.538
2004,NUTS,2010,BG32,2,9.053
2005,NUTS,2010,BG32,2,4.482
2006,NUTS,2010,BG32,2,6.258
2007,NUTS,2010,BG32,2,4.672
2008,NUTS,2010,BG32,2,5.675
2009,NUTS,2010,BG32,2,7.337
2010,NUTS,2010,BG32,2,7.312
2011,NUTS,2010,BG32,2,7.642
2012,NUTS,2010,BG32,2,7.095
2013,NUTS,2010,BG32,2,9.334
2014,NUTS,2010,BG32,2,10.021
2015,NUTS,2010,BG32,2,33.98
2016,NUTS,2010,BG32,2,27.088
2017,NUTS,2010,BG32,2,25.484
2018,NUTS,2010,BG32,2,21.526
2019,NUTS,2010,BG32,2,23.414
2002,NUTS,2010,BG33,2,10.738
2003,NUTS,2010,BG33,2,14.57
2004,NUTS,2010,BG33,2,13.606
2005,NUTS,2010,BG33,2,14.183
2006,NUTS,2010,BG33,2,19.281
2007,NUTS,2010,BG33,2,15.286
2008,NUTS,2010,BG33,2,18.376
2009,NUTS,2010,BG33,2,22.682
2010,NUTS,2010,BG33,2,17.346
2011,NUTS,2010,BG33,2,17.091
2012,NUTS,2010,BG33,2,18.971
2013,NUTS,2010,BG33,2,28.329
2014,NUTS,2010,BG33,2,31.734
2015,NUTS,2010,BG33,2,32.472
2016,NUTS,2010,BG33,2,45.548
2017,NUTS,2010,BG33,2,43.526
2018,NUTS,2010,BG33,2,40.241
2019,NUTS,2010,BG33,2,49.078
2002,NUTS,2010,BG34,2,10.681
2003,NUTS,2010,BG34,2,10.993
2004,NUTS,2010,BG34,2,7.916
2005,NUTS,2010,BG34,2,7.219
2006,NUTS,2010,BG34,2,12.55
2007,NUTS,2010,BG34,2,13.382
2008,NUTS,2010,BG34,2,16.141
2009,NUTS,2010,BG34,2,15.415
2010,NUTS,2010,BG34,2,18.799
2011,NUTS,2010,BG34,2,13.19
2012,NUTS,2010,BG34,2,14.757
2013,NUTS,2010,BG34,2,15.793
2014,NUTS,2010,BG34,2,25.809
2015,NUTS,2010,BG34,2,33.247
2016,NUTS,2010,BG34,2,29.949
2017,NUTS,2010,BG34,2,32.96
2018,NUTS,2010,BG34,2,34.083
2019,NUTS,2010,BG34,2,36.738
2002,NUTS,2010,BG4,1,211.236
2003,NUTS,2010,BG4,1,226.411
2004,NUTS,2010,BG4,1,246.473
2005,NUTS,2010,BG4,1,253.584
2006,NUTS,2010,BG4,1,258.895
2007,NUTS,2010,BG4,1,274.507
2008,NUTS,2010,BG4,1,301.815
2009,NUTS,2010,BG4,1,318.28
2010,NUTS,2010,BG4,1,380.974
2011,NUTS,2010,BG4,1,369.187
2012,NUTS,2010,BG4,1,423.387
2013,NUTS,2010,BG4,1,433.292
2014,NUTS,2010,BG4,1,546.135
2015,NUTS,2010,BG4,1,646.405
2016,NUTS,2010,BG4,1,519.972
2017,NUTS,2010,BG4,1,512.607
2018,NUTS,2010,BG4,1,544.34
2019,NUTS,2010,BG4,1,636.347
1999,NUTS,2010,BG41,2,208.845
2000,NUTS,2010,BG41,2,200.5
2002,NUTS,2010,BG41,2,200.845
2003,NUTS,2010,BG41,2,213.162
2004,NUTS,2010,BG41,2,234.831
2005,NUTS,2010,BG41,2,239.761
2006,NUTS,2010,BG41,2,245.071
2007,NUTS,2010,BG41,2,252.562
2008,NUTS,2010,BG41,2,264.46
2009,NUTS,2010,BG41,2,297.1
2010,NUTS,2010,BG41,2,357.86
2011,NUTS,2010,BG41,2,347.499
2012,NUTS,2010,BG41,2,397.443
2013,NUTS,2010,BG41,2,409.873
2014,NUTS,2010,BG41,2,517.732
2015,NUTS,2010,BG41,2,586.952
2016,NUTS,2010,BG41,2,461.873
2017,NUTS,2010,BG41,2,454.136
2018,NUTS,2010,BG41,2,488.435
2019,NUTS,2010,BG41,2,565.729
2002,NUTS,2010,BG42,2,10.391
2003,NUTS,2010,BG42,2,13.249
2004,NUTS,2010,BG42,2,11.641
2005,NUTS,2010,BG42,2,13.823
2006,NUTS,2010,BG42,2,13.824
2007,NUTS,2010,BG42,2,21.944
2008,NUTS,2010,BG42,2,37.355
2009,NUTS,2010,BG42,2,21.18
2010,NUTS,2010,BG42,2,23.115
2011,NUTS,2010,BG42,2,21.688
2012,NUTS,2010,BG42,2,25.943
2013,NUTS,2010,BG42,2,23.419
2014,NUTS,2010,BG42,2,28.403
2015,NUTS,2010,BG42,2,59.453
2016,NUTS,2010,BG42,2,58.099
2017,NUTS,2010,BG42,2,58.471
2018,NUTS,2010,BG42,2,55.905
2019,NUTS,2010,BG42,2,70.618
2002,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2002,NUTS,2010,BGZZ,2,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1981,NUTS,2010,CH,0,3277.995
1983,NUTS,2010,CH,0,3280.273
1986,NUTS,2010,CH,0,4529.92
1989,NUTS,2010,CH,0,4925.842
1992,NUTS,2010,CH,0,4796.581
1996,NUTS,2010,CH,0,5040.116
2000,NUTS,2010,CH,0,5347.591
2004,NUTS,2010,CH,0,6419.907
2008,NUTS,2010,CH,0,7457.604
2012,NUTS,2010,CH,0,8404.802
2015,NUTS,2010,CH,0,9513.437
2017,NUTS,2010,CH,0,9832.722
2019,NUTS,2010,CH,0,10622.628
1981,NUTS,2010,CH0,1,3277.995
1983,NUTS,2010,CH0,1,3280.273
1986,NUTS,2010,CH0,1,4529.92
1989,NUTS,2010,CH0,1,4925.842
1992,NUTS,2010,CH0,1,4796.581
1996,NUTS,2010,CH0,1,5040.116
2000,NUTS,2010,CH0,1,5347.591
2004,NUTS,2010,CH0,1,6419.907
2008,NUTS,2010,CH0,1,7457.604
2012,NUTS,2010,CH0,1,8404.802
2015,NUTS,2010,CH0,1,9513.437
2017,NUTS,2010,CH0,1,9832.722
2019,NUTS,2010,CH0,1,10622.628
1991,NUTS,2010,CN_X_HK,5,10106.438
1992,NUTS,2010,CN_X_HK,5,11606.963
1993,NUTS,2010,CN_X_HK,5,12600.671
1994,NUTS,2010,CN_X_HK,5,12933.908
1995,NUTS,2010,CN_X_HK,5,12965.036
1996,NUTS,2010,CN_X_HK,5,14105.786
1997,NUTS,2010,CN_X_HK,5,17474.306
1998,NUTS,2010,CN_X_HK,5,19088.681
1999,NUTS,2010,CN_X_HK,5,23826.39
2000,NUTS,2010,CN_X_HK,5,30797.085
2001,NUTS,2010,CN_X_HK,5,35107.245
2002,NUTS,2010,CN_X_HK,5,43059.003
2003,NUTS,2010,CN_X_HK,5,50092.53
2004,NUTS,2010,CN_X_HK,5,59908.148
2005,NUTS,2010,CN_X_HK,5,71507.008
2006,NUTS,2010,CN_X_HK,5,84531.07
2007,NUTS,2010,CN_X_HK,5,97109.668
