year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_fte_total_bes_t
2013,NUTS,2010,AT21,2,2788.0
2015,NUTS,2010,AT21,2,2974.0
2017,NUTS,2010,AT21,2,2994.0
2019,NUTS,2010,AT21,2,3434.0
1981,NUTS,2010,AT22,2,2059.0
1989,NUTS,2010,AT22,2,2165.0
1993,NUTS,2010,AT22,2,2165.0
1998,NUTS,2010,AT22,2,3733.0
2002,NUTS,2010,AT22,2,4889.0
2004,NUTS,2010,AT22,2,5411.0
2006,NUTS,2010,AT22,2,6452.0
2007,NUTS,2010,AT22,2,7027.0
2009,NUTS,2010,AT22,2,7379.0
2011,NUTS,2010,AT22,2,8630.0
2013,NUTS,2010,AT22,2,10157.0
2015,NUTS,2010,AT22,2,11345.0
2017,NUTS,2010,AT22,2,12067.0
2019,NUTS,2010,AT22,2,13461.0
1981,NUTS,2010,AT3,1,3661.0
1989,NUTS,2010,AT3,1,4222.0
1993,NUTS,2010,AT3,1,4026.0
1998,NUTS,2010,AT3,1,5672.0
2002,NUTS,2010,AT3,1,8113.0
2004,NUTS,2010,AT3,1,9274.0
2006,NUTS,2010,AT3,1,10916.0
2007,NUTS,2010,AT3,1,12060.0
2009,NUTS,2010,AT3,1,13659.0
2011,NUTS,2010,AT3,1,15148.0
2013,NUTS,2010,AT3,1,17837.0
2015,NUTS,2010,AT3,1,19596.0
2017,NUTS,2010,AT3,1,21020.0
2019,NUTS,2010,AT3,1,23247.0
1981,NUTS,2010,AT31,2,2610.0
1989,NUTS,2010,AT31,2,2532.0
1993,NUTS,2010,AT31,2,2154.0
1998,NUTS,2010,AT31,2,3187.0
2002,NUTS,2010,AT31,2,4446.0
2004,NUTS,2010,AT31,2,5169.0
2006,NUTS,2010,AT31,2,6291.0
2007,NUTS,2010,AT31,2,7046.0
2009,NUTS,2010,AT31,2,7885.0
2011,NUTS,2010,AT31,2,8794.0
2013,NUTS,2010,AT31,2,10636.0
2015,NUTS,2010,AT31,2,11738.0
2017,NUTS,2010,AT31,2,12135.0
2019,NUTS,2010,AT31,2,13611.0
1981,NUTS,2010,AT32,2,192.0
1989,NUTS,2010,AT32,2,337.0
1993,NUTS,2010,AT32,2,342.0
1998,NUTS,2010,AT32,2,470.0
2002,NUTS,2010,AT32,2,801.0
2004,NUTS,2010,AT32,2,947.0
2006,NUTS,2010,AT32,2,1154.0
2007,NUTS,2010,AT32,2,1223.0
2009,NUTS,2010,AT32,2,1393.0
2011,NUTS,2010,AT32,2,1676.0
2013,NUTS,2010,AT32,2,1979.0
2015,NUTS,2010,AT32,2,2107.0
2017,NUTS,2010,AT32,2,2532.0
2019,NUTS,2010,AT32,2,2848.0
1981,NUTS,2010,AT33,2,606.0
1989,NUTS,2010,AT33,2,809.0
1993,NUTS,2010,AT33,2,899.0
1998,NUTS,2010,AT33,2,1240.0
2002,NUTS,2010,AT33,2,1716.0
2004,NUTS,2010,AT33,2,1969.0
2006,NUTS,2010,AT33,2,2091.0
2007,NUTS,2010,AT33,2,2271.0
2009,NUTS,2010,AT33,2,2628.0
2011,NUTS,2010,AT33,2,2987.0
2013,NUTS,2010,AT33,2,3340.0
2015,NUTS,2010,AT33,2,3515.0
2017,NUTS,2010,AT33,2,3977.0
2019,NUTS,2010,AT33,2,4123.0
1981,NUTS,2010,AT34,2,252.0
1989,NUTS,2010,AT34,2,544.0
1993,NUTS,2010,AT34,2,631.0
1998,NUTS,2010,AT34,2,775.0
2002,NUTS,2010,AT34,2,1150.0
2004,NUTS,2010,AT34,2,1189.0
2006,NUTS,2010,AT34,2,1380.0
2007,NUTS,2010,AT34,2,1520.0
2009,NUTS,2010,AT34,2,1753.0
2011,NUTS,2010,AT34,2,1691.0
2013,NUTS,2010,AT34,2,1882.0
2015,NUTS,2010,AT34,2,2235.0
2017,NUTS,2010,AT34,2,2376.0
2019,NUTS,2010,AT34,2,2666.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,363.0
2013,NUTS,2010,BA,0,363.0
2014,NUTS,2010,BA,0,236.0
2019,NUTS,2010,BA,0,381.0
1981,NUTS,2010,BE,0,18604.0
1982,NUTS,2010,BE,0,18799.0
1983,NUTS,2010,BE,0,18810.0
1984,NUTS,2010,BE,0,19190.0
1985,NUTS,2010,BE,0,20547.0
1986,NUTS,2010,BE,0,21815.0
1987,NUTS,2010,BE,0,22503.0
1988,NUTS,2010,BE,0,22474.0
1989,NUTS,2010,BE,0,22071.0
1991,NUTS,2010,BE,0,22313.0
1992,NUTS,2010,BE,0,21115.0
1993,NUTS,2010,BE,0,21932.0
1994,NUTS,2010,BE,0,23402.0
1995,NUTS,2010,BE,0,24346.0
1996,NUTS,2010,BE,0,27252.0
1997,NUTS,2010,BE,0,28161.0
1998,NUTS,2010,BE,0,29264.0
1999,NUTS,2010,BE,0,30868.0
2000,NUTS,2010,BE,0,33493.0
2001,NUTS,2010,BE,0,35490.0
2002,NUTS,2010,BE,0,31686.0
2003,NUTS,2010,BE,0,31375.0
2004,NUTS,2010,BE,0,30741.0
2005,NUTS,2010,BE,0,31613.0
2006,NUTS,2010,BE,0,32750.0
2007,NUTS,2010,BE,0,34011.0
2008,NUTS,2010,BE,0,32905.0
2009,NUTS,2010,BE,0,32969.0
2010,NUTS,2010,BE,0,32692.0
2011,NUTS,2010,BE,0,35011.0
2012,NUTS,2010,BE,0,38108.0
2013,NUTS,2010,BE,0,38497.0
2014,NUTS,2010,BE,0,42391.0
2015,NUTS,2010,BE,0,44508.0
2016,NUTS,2010,BE,0,46564.0
2017,NUTS,2010,BE,0,50106.0
2018,NUTS,2010,BE,0,53503.0
2019,NUTS,2010,BE,0,57661.0
2020,NUTS,2010,BE,0,64269.0
1985,NUTS,2010,BE1,1,3874.0
1986,NUTS,2010,BE1,1,3740.0
1987,NUTS,2010,BE1,1,3433.0
1988,NUTS,2010,BE1,1,3555.0
1989,NUTS,2010,BE1,1,3648.0
1991,NUTS,2010,BE1,1,3715.0
1993,NUTS,2010,BE1,1,3546.0
1994,NUTS,2010,BE1,1,3817.0
1995,NUTS,2010,BE1,1,3913.0
1996,NUTS,2010,BE1,1,4446.0
1997,NUTS,2010,BE1,1,4468.0
1998,NUTS,2010,BE1,1,3025.0
1999,NUTS,2010,BE1,1,3111.0
2000,NUTS,2010,BE1,1,3637.0
2001,NUTS,2010,BE1,1,3818.0
2002,NUTS,2010,BE1,1,3000.0
2003,NUTS,2010,BE1,1,2905.0
2004,NUTS,2010,BE1,1,3100.0
2005,NUTS,2010,BE1,1,3167.0
2006,NUTS,2010,BE1,1,3845.0
2007,NUTS,2010,BE1,1,4128.0
2008,NUTS,2010,BE1,1,3815.0
2009,NUTS,2010,BE1,1,3872.0
2010,NUTS,2010,BE1,1,3190.0
2011,NUTS,2010,BE1,1,3415.0
2013,NUTS,2010,BE1,1,4368.0
2014,NUTS,2010,BE1,1,4890.0
2015,NUTS,2010,BE1,1,5118.0
2016,NUTS,2010,BE1,1,5842.0
2017,NUTS,2010,BE1,1,6123.0
2018,NUTS,2010,BE1,1,7326.0
2019,NUTS,2010,BE1,1,7939.0
1985,NUTS,2010,BE10,2,3874.0
1986,NUTS,2010,BE10,2,3740.0
1987,NUTS,2010,BE10,2,3433.0
1988,NUTS,2010,BE10,2,3555.0
1989,NUTS,2010,BE10,2,3648.0
1991,NUTS,2010,BE10,2,3715.0
1993,NUTS,2010,BE10,2,3546.0
1994,NUTS,2010,BE10,2,3817.0
1995,NUTS,2010,BE10,2,3913.0
1996,NUTS,2010,BE10,2,4446.0
1997,NUTS,2010,BE10,2,4468.0
1998,NUTS,2010,BE10,2,3025.0
1999,NUTS,2010,BE10,2,3111.0
2000,NUTS,2010,BE10,2,3637.0
2001,NUTS,2010,BE10,2,3818.0
2002,NUTS,2010,BE10,2,3000.0
2003,NUTS,2010,BE10,2,2905.0
2004,NUTS,2010,BE10,2,3100.0
2005,NUTS,2010,BE10,2,3167.0
2006,NUTS,2010,BE10,2,3845.0
2007,NUTS,2010,BE10,2,4128.0
2008,NUTS,2010,BE10,2,3815.0
2009,NUTS,2010,BE10,2,3872.0
2010,NUTS,2010,BE10,2,3190.0
2011,NUTS,2010,BE10,2,3415.0
2013,NUTS,2010,BE10,2,4368.0
2014,NUTS,2010,BE10,2,4890.0
2015,NUTS,2010,BE10,2,5118.0
2016,NUTS,2010,BE10,2,5842.0
2017,NUTS,2010,BE10,2,6123.0
2018,NUTS,2010,BE10,2,7326.0
2019,NUTS,2010,BE10,2,7939.0
1985,NUTS,2010,BE2,1,12068.0
1986,NUTS,2010,BE2,1,13251.0
1987,NUTS,2010,BE2,1,14126.0
1988,NUTS,2010,BE2,1,13869.0
1989,NUTS,2010,BE2,1,13367.0
1991,NUTS,2010,BE2,1,13493.0
1993,NUTS,2010,BE2,1,13206.0
1994,NUTS,2010,BE2,1,14231.0
1995,NUTS,2010,BE2,1,14854.0
1996,NUTS,2010,BE2,1,16550.0
1997,NUTS,2010,BE2,1,17449.0
1998,NUTS,2010,BE2,1,19328.0
1999,NUTS,2010,BE2,1,20321.0
2000,NUTS,2010,BE2,1,22384.0
2001,NUTS,2010,BE2,1,23726.0
2002,NUTS,2010,BE2,1,20865.0
2003,NUTS,2010,BE2,1,20454.0
2004,NUTS,2010,BE2,1,19925.0
2005,NUTS,2010,BE2,1,20506.0
2006,NUTS,2010,BE2,1,21030.0
2007,NUTS,2010,BE2,1,21577.0
2008,NUTS,2010,BE2,1,21231.0
2009,NUTS,2010,BE2,1,21131.0
2010,NUTS,2010,BE2,1,21237.0
2011,NUTS,2010,BE2,1,22530.0
2013,NUTS,2010,BE2,1,23994.0
2014,NUTS,2010,BE2,1,26008.0
2015,NUTS,2010,BE2,1,27494.0
2016,NUTS,2010,BE2,1,29274.0
2017,NUTS,2010,BE2,1,31677.0
2018,NUTS,2010,BE2,1,34179.0
2019,NUTS,2010,BE2,1,38379.0
1985,NUTS,2010,BE3,1,4165.0
1986,NUTS,2010,BE3,1,4372.0
1987,NUTS,2010,BE3,1,4503.0
1988,NUTS,2010,BE3,1,4620.0
1989,NUTS,2010,BE3,1,4146.0
1991,NUTS,2010,BE3,1,4163.0
1993,NUTS,2010,BE3,1,5180.0
1994,NUTS,2010,BE3,1,5354.0
1995,NUTS,2010,BE3,1,5580.0
1996,NUTS,2010,BE3,1,6216.0
1997,NUTS,2010,BE3,1,6244.0
1998,NUTS,2010,BE3,1,6910.0
1999,NUTS,2010,BE3,1,7437.0
2000,NUTS,2010,BE3,1,7473.0
2001,NUTS,2010,BE3,1,7946.0
2002,NUTS,2010,BE3,1,7820.0
2003,NUTS,2010,BE3,1,8017.0
2004,NUTS,2010,BE3,1,7715.0
2005,NUTS,2010,BE3,1,7940.0
2006,NUTS,2010,BE3,1,7875.0
2007,NUTS,2010,BE3,1,8306.0
2008,NUTS,2010,BE3,1,7858.0
2009,NUTS,2010,BE3,1,7966.0
2010,NUTS,2010,BE3,1,8264.0
2011,NUTS,2010,BE3,1,9066.0
2013,NUTS,2010,BE3,1,10135.0
2014,NUTS,2010,BE3,1,11492.0
2015,NUTS,2010,BE3,1,11897.0
2016,NUTS,2010,BE3,1,11449.0
2017,NUTS,2010,BE3,1,12306.0
2018,NUTS,2010,BE3,1,11998.0
2019,NUTS,2010,BE3,1,11343.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1993,NUTS,2010,BG,0,9684.0
1994,NUTS,2010,BG,0,4278.0
1995,NUTS,2010,BG,0,4009.0
1996,NUTS,2010,BG,0,3700.0
1997,NUTS,2010,BG,0,3322.0
1998,NUTS,2010,BG,0,3402.0
1999,NUTS,2010,BG,0,2443.0
2000,NUTS,2010,BG,0,2137.0
2001,NUTS,2010,BG,0,1882.0
2002,NUTS,2010,BG,0,1671.0
2003,NUTS,2010,BG,0,2091.0
2004,NUTS,2010,BG,0,2158.0
2005,NUTS,2010,BG,0,2062.0
2006,NUTS,2010,BG,0,2463.0
2007,NUTS,2010,BG,0,2422.0
2008,NUTS,2010,BG,0,2851.0
2009,NUTS,2010,BG,0,3335.0
2010,NUTS,2010,BG,0,2778.0
2011,NUTS,2010,BG,0,2439.0
2012,NUTS,2010,BG,0,3007.0
2013,NUTS,2010,BG,0,3853.0
2014,NUTS,2010,BG,0,5431.0
2015,NUTS,2010,BG,0,9480.0
2016,NUTS,2010,BG,0,11253.0
2017,NUTS,2010,BG,0,10735.0
2018,NUTS,2010,BG,0,13110.0
2019,NUTS,2010,BG,0,13826.0
2020,NUTS,2010,BG,0,13663.0
2003,NUTS,2010,BG3,1,588.0
2004,NUTS,2010,BG3,1,613.0
2005,NUTS,2010,BG3,1,426.0
2006,NUTS,2010,BG3,1,820.0
2007,NUTS,2010,BG3,1,826.0
2008,NUTS,2010,BG3,1,1107.0
2009,NUTS,2010,BG3,1,1078.0
2010,NUTS,2010,BG3,1,810.0
2011,NUTS,2010,BG3,1,674.0
2012,NUTS,2010,BG3,1,777.0
2013,NUTS,2010,BG3,1,983.0
2014,NUTS,2010,BG3,1,1206.0
2015,NUTS,2010,BG3,1,2874.0
2016,NUTS,2010,BG3,1,2926.0
2017,NUTS,2010,BG3,1,2830.0
2018,NUTS,2010,BG3,1,3543.0
2019,NUTS,2010,BG3,1,3616.0
2008,NUTS,2010,BG31,2,164.0
2015,NUTS,2010,BG31,2,652.0
2016,NUTS,2010,BG31,2,729.0
2017,NUTS,2010,BG31,2,700.0
2018,NUTS,2010,BG31,2,925.0
2019,NUTS,2010,BG31,2,792.0
2002,NUTS,2010,BG32,2,159.0
2003,NUTS,2010,BG32,2,193.0
2004,NUTS,2010,BG32,2,210.0
2005,NUTS,2010,BG32,2,119.0
2008,NUTS,2010,BG32,2,242.0
2009,NUTS,2010,BG32,2,248.0
2010,NUTS,2010,BG32,2,201.0
2012,NUTS,2010,BG32,2,168.0
2013,NUTS,2010,BG32,2,255.0
2014,NUTS,2010,BG32,2,341.0
2015,NUTS,2010,BG32,2,663.0
2016,NUTS,2010,BG32,2,611.0
2017,NUTS,2010,BG32,2,746.0
2018,NUTS,2010,BG32,2,861.0
2019,NUTS,2010,BG32,2,950.0
2006,NUTS,2010,BG33,2,229.0
2007,NUTS,2010,BG33,2,176.0
2008,NUTS,2010,BG33,2,322.0
2011,NUTS,2010,BG33,2,186.0
2013,NUTS,2010,BG33,2,234.0
2015,NUTS,2010,BG33,2,580.0
2016,NUTS,2010,BG33,2,651.0
2017,NUTS,2010,BG33,2,570.0
2018,NUTS,2010,BG33,2,697.0
2019,NUTS,2010,BG33,2,758.0
2002,NUTS,2010,BG34,2,165.0
2003,NUTS,2010,BG34,2,242.0
2004,NUTS,2010,BG34,2,203.0
2005,NUTS,2010,BG34,2,133.0
2006,NUTS,2010,BG34,2,323.0
2007,NUTS,2010,BG34,2,319.0
2008,NUTS,2010,BG34,2,379.0
2009,NUTS,2010,BG34,2,452.0
2010,NUTS,2010,BG34,2,266.0
2012,NUTS,2010,BG34,2,212.0
2014,NUTS,2010,BG34,2,372.0
2015,NUTS,2010,BG34,2,979.0
2016,NUTS,2010,BG34,2,935.0
2017,NUTS,2010,BG34,2,814.0
2018,NUTS,2010,BG34,2,1060.0
2019,NUTS,2010,BG34,2,1116.0
2003,NUTS,2010,BG4,1,1503.0
2004,NUTS,2010,BG4,1,1545.0
2005,NUTS,2010,BG4,1,1636.0
2006,NUTS,2010,BG4,1,1643.0
2007,NUTS,2010,BG4,1,1596.0
2008,NUTS,2010,BG4,1,1744.0
2009,NUTS,2010,BG4,1,2257.0
2010,NUTS,2010,BG4,1,1968.0
2011,NUTS,2010,BG4,1,1765.0
2012,NUTS,2010,BG4,1,2230.0
2013,NUTS,2010,BG4,1,2870.0
2014,NUTS,2010,BG4,1,4225.0
2015,NUTS,2010,BG4,1,6606.0
2016,NUTS,2010,BG4,1,8327.0
2017,NUTS,2010,BG4,1,7905.0
2018,NUTS,2010,BG4,1,9567.0
2019,NUTS,2010,BG4,1,10210.0
1999,NUTS,2010,BG41,2,1416.0
2000,NUTS,2010,BG41,2,1408.0
2002,NUTS,2010,BG41,2,1146.0
2003,NUTS,2010,BG41,2,1356.0
2004,NUTS,2010,BG41,2,1426.0
2005,NUTS,2010,BG41,2,1416.0
2006,NUTS,2010,BG41,2,1405.0
2007,NUTS,2010,BG41,2,1305.0
2008,NUTS,2010,BG41,2,1336.0
2009,NUTS,2010,BG41,2,1831.0
2010,NUTS,2010,BG41,2,1592.0
2011,NUTS,2010,BG41,2,1403.0
2012,NUTS,2010,BG41,2,1853.0
2014,NUTS,2010,BG41,2,3774.0
2015,NUTS,2010,BG41,2,5473.0
2016,NUTS,2010,BG41,2,6829.0
2017,NUTS,2010,BG41,2,6601.0
2018,NUTS,2010,BG41,2,7891.0
2019,NUTS,2010,BG41,2,8524.0
2003,NUTS,2010,BG42,2,147.0
2004,NUTS,2010,BG42,2,119.0
2005,NUTS,2010,BG42,2,220.0
2006,NUTS,2010,BG42,2,238.0
2007,NUTS,2010,BG42,2,291.0
2008,NUTS,2010,BG42,2,408.0
2009,NUTS,2010,BG42,2,426.0
2010,NUTS,2010,BG42,2,376.0
2011,NUTS,2010,BG42,2,362.0
2012,NUTS,2010,BG42,2,377.0
2014,NUTS,2010,BG42,2,451.0
2015,NUTS,2010,BG42,2,1133.0
2016,NUTS,2010,BG42,2,1498.0
2017,NUTS,2010,BG42,2,1304.0
2018,NUTS,2010,BG42,2,1676.0
2019,NUTS,2010,BG42,2,1686.0
2002,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2002,NUTS,2010,BGZZ,2,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1983,NUTS,2010,CH,0,23109.0
1986,NUTS,2010,CH,0,35000.0
1989,NUTS,2010,CH,0,39300.0
1992,NUTS,2010,CH,0,33900.0
1996,NUTS,2010,CH,0,34450.0
2000,NUTS,2010,CH,0,36190.0
2004,NUTS,2010,CH,0,33085.0
2008,NUTS,2010,CH,0,39832.0
2012,NUTS,2010,CH,0,47750.0
2015,NUTS,2010,CH,0,50825.0
2017,NUTS,2010,CH,0,46510.0
2019,NUTS,2010,CH,0,51623.0
2008,NUTS,2010,CH01,2,7102.0
2012,NUTS,2010,CH01,2,5447.0
2015,NUTS,2010,CH01,2,7162.0
2017,NUTS,2010,CH01,2,6127.0
2019,NUTS,2010,CH01,2,6801.0
2008,NUTS,2010,CH02,2,6395.0
2012,NUTS,2010,CH02,2,8273.0
2015,NUTS,2010,CH02,2,8232.0
2017,NUTS,2010,CH02,2,7935.0
2019,NUTS,2010,CH02,2,7993.0
2008,NUTS,2010,CH03,2,12450.0
2012,NUTS,2010,CH03,2,14773.0
2015,NUTS,2010,CH03,2,14941.0
2017,NUTS,2010,CH03,2,14070.0
2019,NUTS,2010,CH03,2,14813.0
2008,NUTS,2010,CH04,2,5262.0
2012,NUTS,2010,CH04,2,7540.0
2015,NUTS,2010,CH04,2,8208.0
2017,NUTS,2010,CH04,2,7240.0
2019,NUTS,2010,CH04,2,8623.0
2008,NUTS,2010,CH05,2,4550.0
2012,NUTS,2010,CH05,2,6211.0
2015,NUTS,2010,CH05,2,6513.0
2017,NUTS,2010,CH05,2,4738.0
2019,NUTS,2010,CH05,2,7969.0
2008,NUTS,2010,CH06,2,3145.0
2012,NUTS,2010,CH06,2,4131.0
2015,NUTS,2010,CH06,2,5131.0
2017,NUTS,2010,CH06,2,5019.0
2019,NUTS,2010,CH06,2,4550.0
2008,NUTS,2010,CH07,2,928.0
2012,NUTS,2010,CH07,2,1376.0
2015,NUTS,2010,CH07,2,638.0
2017,NUTS,2010,CH07,2,1379.0
2019,NUTS,2010,CH07,2,873.0
1991,NUTS,2010,CN_X_HK,5,206000.0
1992,NUTS,2010,CN_X_HK,5,222000.0
1993,NUTS,2010,CN_X_HK,5,256500.0
1994,NUTS,2010,CN_X_HK,5,306900.0
1995,NUTS,2010,CN_X_HK,5,317500.0
1996,NUTS,2010,CN_X_HK,5,376700.0
1997,NUTS,2010,CN_X_HK,5,361300.0
1998,NUTS,2010,CN_X_HK,5,309900.0
1999,NUTS,2010,CN_X_HK,5,350500.0
2000,NUTS,2010,CN_X_HK,5,480791.0
2001,NUTS,2010,CN_X_HK,5,532114.0
2002,NUTS,2010,CN_X_HK,5,601345.0
2003,NUTS,2010,CN_X_HK,5,656097.0
2004,NUTS,2010,CN_X_HK,5,696840.0
2005,NUTS,2010,CN_X_HK,5,883130.0
2006,NUTS,2010,CN_X_HK,5,987834.0
2007,NUTS,2010,CN_X_HK,5,1186751.0
2008,NUTS,2010,CN_X_HK,5,1395943.0
2009,NUTS,2010,CN_X_HK,5,1647454.0
2010,NUTS,2010,CN_X_HK,5,1873913.0
2011,NUTS,2010,CN_X_HK,5,2169291.0
2012,NUTS,2010,CN_X_HK,5,2486400.0
2013,NUTS,2010,CN_X_HK,5,2740563.0
2014,NUTS,2010,CN_X_HK,5,2896352.0
2015,NUTS,2010,CN_X_HK,5,2910799.0
2016,NUTS,2010,CN_X_HK,5,3012081.0
2017,NUTS,2010,CN_X_HK,5,3119809.0
2018,NUTS,2010,CN_X_HK,5,3424780.0
2019,NUTS,2010,CN_X_HK,5,3668433.0
