year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_pc_emp_hc_total_f
2011,NUTS,2010,BE35,2,0.4078
2013,NUTS,2010,BE35,2,0.7917
2015,NUTS,2010,BE35,2,1.1888
2011,NUTS,2010,BG,0,0.7943
2012,NUTS,2010,BG,0,0.8268
2013,NUTS,2010,BG,0,0.8504
2014,NUTS,2010,BG,0,0.9356
2015,NUTS,2010,BG,0,1.0251
2016,NUTS,2010,BG,0,1.1287
2017,NUTS,2010,BG,0,1.063
2018,NUTS,2010,BG,0,1.141
2019,NUTS,2010,BG,0,1.1398
2011,NUTS,2010,BG3,1,0.4354
2012,NUTS,2010,BG3,1,0.4737
2013,NUTS,2010,BG3,1,0.5047
2014,NUTS,2010,BG3,1,0.5867
2015,NUTS,2010,BG3,1,0.6903
2016,NUTS,2010,BG3,1,0.6538
2017,NUTS,2010,BG3,1,0.6432
2018,NUTS,2010,BG3,1,0.725
2019,NUTS,2010,BG3,1,0.7158
2011,NUTS,2010,BG31,2,0.2383
2012,NUTS,2010,BG31,2,0.3615
2013,NUTS,2010,BG31,2,0.3336
2014,NUTS,2010,BG31,2,0.3187
2015,NUTS,2010,BG31,2,0.4469
2016,NUTS,2010,BG31,2,0.5409
2017,NUTS,2010,BG31,2,0.496
2018,NUTS,2010,BG31,2,0.5553
2019,NUTS,2010,BG31,2,0.5337
2011,NUTS,2010,BG32,2,0.4774
2012,NUTS,2010,BG32,2,0.4476
2013,NUTS,2010,BG32,2,0.5045
2014,NUTS,2010,BG32,2,0.6083
2015,NUTS,2010,BG32,2,0.7384
2016,NUTS,2010,BG32,2,0.593
2017,NUTS,2010,BG32,2,0.6503
2018,NUTS,2010,BG32,2,0.7073
2019,NUTS,2010,BG32,2,0.6439
2011,NUTS,2010,BG33,2,0.6124
2012,NUTS,2010,BG33,2,0.6681
2013,NUTS,2010,BG33,2,0.7197
2014,NUTS,2010,BG33,2,0.8989
2015,NUTS,2010,BG33,2,1.0011
2016,NUTS,2010,BG33,2,0.9403
2017,NUTS,2010,BG33,2,0.9224
2018,NUTS,2010,BG33,2,1.0697
2019,NUTS,2010,BG33,2,1.0349
2011,NUTS,2010,BG34,2,0.388
2012,NUTS,2010,BG34,2,0.4034
2013,NUTS,2010,BG34,2,0.4327
2014,NUTS,2010,BG34,2,0.4633
2015,NUTS,2010,BG34,2,0.5228
2016,NUTS,2010,BG34,2,0.5082
2017,NUTS,2010,BG34,2,0.4742
2018,NUTS,2010,BG34,2,0.5428
2019,NUTS,2010,BG34,2,0.602
2011,NUTS,2010,BG4,1,1.0716
2012,NUTS,2010,BG4,1,1.0933
2013,NUTS,2010,BG4,1,1.1005
2014,NUTS,2010,BG4,1,1.1807
2015,NUTS,2010,BG4,1,1.2547
2016,NUTS,2010,BG4,1,1.4684
2017,NUTS,2010,BG4,1,1.3438
2018,NUTS,2010,BG4,1,1.4087
2019,NUTS,2010,BG4,1,1.41
2011,NUTS,2010,BG41,2,1.4577
2012,NUTS,2010,BG41,2,1.5085
2013,NUTS,2010,BG41,2,1.5182
2014,NUTS,2010,BG41,2,1.6122
2015,NUTS,2010,BG41,2,1.662
2016,NUTS,2010,BG41,2,1.9943
2017,NUTS,2010,BG41,2,1.8037
2018,NUTS,2010,BG41,2,1.8737
2019,NUTS,2010,BG41,2,1.8318
2011,NUTS,2010,BG42,2,0.3714
2012,NUTS,2010,BG42,2,0.3763
2013,NUTS,2010,BG42,2,0.399
2014,NUTS,2010,BG42,2,0.4451
2015,NUTS,2010,BG42,2,0.5311
2016,NUTS,2010,BG42,2,0.5352
2017,NUTS,2010,BG42,2,0.554
2018,NUTS,2010,BG42,2,0.5872
2019,NUTS,2010,BG42,2,0.6785
2012,NUTS,2010,CH,0,2.1087
2015,NUTS,2010,CH,0,2.0677
2017,NUTS,2010,CH,0,2.1259
2019,NUTS,2010,CH,0,2.2374
2011,NUTS,2010,CY,0,0.6124
2012,NUTS,2010,CY,0,0.6221
2013,NUTS,2010,CY,0,0.7191
2014,NUTS,2010,CY,0,0.7074
2015,NUTS,2010,CY,0,0.7076
2016,NUTS,2010,CY,0,0.743
2017,NUTS,2010,CY,0,0.767
2018,NUTS,2010,CY,0,0.7989
2019,NUTS,2010,CY,0,0.8646
2011,NUTS,2010,CZ,0,1.2952
2012,NUTS,2010,CZ,0,1.3346
2013,NUTS,2010,CZ,0,1.421
2014,NUTS,2010,CZ,0,1.4207
2015,NUTS,2010,CZ,0,1.4415
2016,NUTS,2010,CZ,0,1.3696
2017,NUTS,2010,CZ,0,1.4472
2018,NUTS,2010,CZ,0,1.5073
2019,NUTS,2010,CZ,0,1.5464
2020,NUTS,2010,CZ,0,1.6121
2011,NUTS,2010,CZ0,1,1.2759
2012,NUTS,2010,CZ0,1,1.314
2013,NUTS,2010,CZ0,1,1.3951
2014,NUTS,2010,CZ0,1,1.3962
2015,NUTS,2010,CZ0,1,1.4117
2016,NUTS,2010,CZ0,1,1.3382
2017,NUTS,2010,CZ0,1,1.4128
2018,NUTS,2010,CZ0,1,1.4673
2019,NUTS,2010,CZ0,1,1.5041
2020,NUTS,2010,CZ0,1,1.569
2011,NUTS,2010,CZ01,2,4.1961
2012,NUTS,2010,CZ01,2,4.1221
2013,NUTS,2010,CZ01,2,4.5119
2014,NUTS,2010,CZ01,2,4.4394
2015,NUTS,2010,CZ01,2,4.337
2016,NUTS,2010,CZ01,2,4.0083
2017,NUTS,2010,CZ01,2,4.2986
2018,NUTS,2010,CZ01,2,4.3278
2019,NUTS,2010,CZ01,2,4.3877
2020,NUTS,2010,CZ01,2,4.5553
2011,NUTS,2010,CZ02,2,0.638
2012,NUTS,2010,CZ02,2,0.6156
2013,NUTS,2010,CZ02,2,0.6085
2014,NUTS,2010,CZ02,2,0.6117
2015,NUTS,2010,CZ02,2,0.7118
2016,NUTS,2010,CZ02,2,0.7346
2017,NUTS,2010,CZ02,2,0.756
2018,NUTS,2010,CZ02,2,0.7817
2019,NUTS,2010,CZ02,2,0.7742
2020,NUTS,2010,CZ02,2,0.7946
2011,NUTS,2010,CZ03,2,0.8695
2012,NUTS,2010,CZ03,2,0.8672
2013,NUTS,2010,CZ03,2,0.9058
2014,NUTS,2010,CZ03,2,0.9556
2015,NUTS,2010,CZ03,2,0.9165
2016,NUTS,2010,CZ03,2,0.9512
2017,NUTS,2010,CZ03,2,1.0049
2018,NUTS,2010,CZ03,2,1.0595
2019,NUTS,2010,CZ03,2,1.089
2020,NUTS,2010,CZ03,2,1.0928
2011,NUTS,2010,CZ04,2,0.2401
2012,NUTS,2010,CZ04,2,0.2609
2013,NUTS,2010,CZ04,2,0.2961
2014,NUTS,2010,CZ04,2,0.3039
2015,NUTS,2010,CZ04,2,0.3216
2016,NUTS,2010,CZ04,2,0.2901
2017,NUTS,2010,CZ04,2,0.2934
2018,NUTS,2010,CZ04,2,0.3156
2019,NUTS,2010,CZ04,2,0.3385
2020,NUTS,2010,CZ04,2,0.3439
2011,NUTS,2010,CZ05,2,0.786
2012,NUTS,2010,CZ05,2,0.8046
2013,NUTS,2010,CZ05,2,0.9171
2014,NUTS,2010,CZ05,2,0.8928
2015,NUTS,2010,CZ05,2,0.8782
2016,NUTS,2010,CZ05,2,0.8177
2017,NUTS,2010,CZ05,2,0.8903
2018,NUTS,2010,CZ05,2,0.8992
2019,NUTS,2010,CZ05,2,0.9002
2020,NUTS,2010,CZ05,2,0.9406
2011,NUTS,2010,CZ06,2,1.4544
2012,NUTS,2010,CZ06,2,1.6
2013,NUTS,2010,CZ06,2,1.6642
2014,NUTS,2010,CZ06,2,1.706
2015,NUTS,2010,CZ06,2,1.8198
2016,NUTS,2010,CZ06,2,1.698
2017,NUTS,2010,CZ06,2,1.7828
2018,NUTS,2010,CZ06,2,1.8932
2019,NUTS,2010,CZ06,2,1.9537
2020,NUTS,2010,CZ06,2,2.1032
2011,NUTS,2010,CZ07,2,0.7655
2012,NUTS,2010,CZ07,2,0.8507
2013,NUTS,2010,CZ07,2,0.9296
2014,NUTS,2010,CZ07,2,0.9415
2015,NUTS,2010,CZ07,2,1.0024
2016,NUTS,2010,CZ07,2,0.9786
2017,NUTS,2010,CZ07,2,0.9274
2018,NUTS,2010,CZ07,2,0.9609
2019,NUTS,2010,CZ07,2,1.0761
2020,NUTS,2010,CZ07,2,1.1169
2011,NUTS,2010,CZ08,2,0.7554
2012,NUTS,2010,CZ08,2,0.8107
2013,NUTS,2010,CZ08,2,0.7115
2014,NUTS,2010,CZ08,2,0.7041
2015,NUTS,2010,CZ08,2,0.7328
2016,NUTS,2010,CZ08,2,0.7173
2017,NUTS,2010,CZ08,2,0.7507
2018,NUTS,2010,CZ08,2,0.8517
2019,NUTS,2010,CZ08,2,0.8318
2020,NUTS,2010,CZ08,2,0.8318
2011,NUTS,2010,DE,0,1.5016
2013,NUTS,2010,DE,0,1.5601
2015,NUTS,2010,DE,0,1.6171
2017,NUTS,2010,DE,0,1.6535
2019,NUTS,2010,DE,0,1.7318
2011,NUTS,2010,DK,0,2.4913
2012,NUTS,2010,DK,0,2.6233
2013,NUTS,2010,DK,0,2.6572
2015,NUTS,2010,DK,0,2.5948
2017,NUTS,2010,DK,0,2.6016
2019,NUTS,2010,DK,0,2.5962
2011,NUTS,2010,DK0,1,2.4163
2012,NUTS,2010,DK0,1,2.6458
2013,NUTS,2010,DK0,1,2.7141
2015,NUTS,2010,DK0,1,2.5419
2017,NUTS,2010,DK0,1,2.5442
2019,NUTS,2010,DK0,1,2.5408
2011,NUTS,2010,DK01,2,4.6125
2013,NUTS,2010,DK01,2,4.8541
2015,NUTS,2010,DK01,2,4.5211
2017,NUTS,2010,DK01,2,4.6079
2019,NUTS,2010,DK01,2,4.5702
2011,NUTS,2010,DK02,2,0.9111
2013,NUTS,2010,DK02,2,0.9331
2015,NUTS,2010,DK02,2,0.9203
2017,NUTS,2010,DK02,2,1.0709
2019,NUTS,2010,DK02,2,0.9989
2011,NUTS,2010,DK03,2,1.113
2013,NUTS,2010,DK03,2,1.2865
2015,NUTS,2010,DK03,2,1.524
2017,NUTS,2010,DK03,2,1.0146
2019,NUTS,2010,DK03,2,1.0606
2011,NUTS,2010,DK04,2,1.8158
2013,NUTS,2010,DK04,2,2.3656
2015,NUTS,2010,DK04,2,1.8493
2017,NUTS,2010,DK04,2,1.82
2019,NUTS,2010,DK04,2,1.8401
2011,NUTS,2010,DK05,2,1.2274
2013,NUTS,2010,DK05,2,1.657
2015,NUTS,2010,DK05,2,1.5491
2017,NUTS,2010,DK05,2,1.9984
2019,NUTS,2010,DK05,2,2.1699
2011,NUTS,2010,EA19,2,1.4844
2013,NUTS,2010,EA19,2,1.5628
2015,NUTS,2010,EA19,2,1.6294
2017,NUTS,2010,EA19,2,1.6889
2019,NUTS,2010,EA19,2,1.7801
2011,NUTS,2010,EE,0,1.6569
2012,NUTS,2010,EE,0,1.6242
2013,NUTS,2010,EE,0,1.6426
2014,NUTS,2010,EE,0,1.6912
2015,NUTS,2010,EE,0,1.566
2016,NUTS,2010,EE,0,1.4575
2017,NUTS,2010,EE,0,1.4351
2018,NUTS,2010,EE,0,1.4549
2019,NUTS,2010,EE,0,1.5199
2011,NUTS,2010,EL,0,1.8398
2013,NUTS,2010,EL,0,2.6682
2015,NUTS,2010,EL,0,2.7999
2017,NUTS,2010,EL,0,2.5993
2019,NUTS,2010,EL,0,2.8249
2011,NUTS,2010,EL3,1,1.8831
2011,NUTS,2010,EL30,2,1.8831
2011,NUTS,2010,EL4,1,2.1141
2011,NUTS,2010,EL41,2,2.9289
2011,NUTS,2010,EL42,2,1.1709
2011,NUTS,2010,EL43,2,2.3838
2011,NUTS,2010,EL5,1,1.9075
2011,NUTS,2010,EL51,2,1.9076
2011,NUTS,2010,EL52,2,1.7877
2011,NUTS,2010,EL53,2,1.6105
2011,NUTS,2010,EL54,2,2.7773
2011,NUTS,2010,EL6,1,1.3755
2011,NUTS,2010,EL61,2,2.5464
2011,NUTS,2010,EL62,2,0.8398
2011,NUTS,2010,EL63,2,1.6937
2011,NUTS,2010,EL64,2,0.4671
2011,NUTS,2010,EL65,2,0.6397
2011,NUTS,2010,ES,0,1.724
2012,NUTS,2010,ES,0,1.7225
2013,NUTS,2010,ES,0,1.7231
2014,NUTS,2010,ES,0,1.7052
2015,NUTS,2010,ES,0,1.714
2016,NUTS,2010,ES,0,1.6783
2017,NUTS,2010,ES,0,1.7052
2018,NUTS,2010,ES,0,1.731
2019,NUTS,2010,ES,0,1.748
2011,NUTS,2010,ES1,1,1.3939
2012,NUTS,2010,ES1,1,1.4407
2013,NUTS,2010,ES1,1,1.5011
2014,NUTS,2010,ES1,1,1.4346
2015,NUTS,2010,ES1,1,1.4343
2016,NUTS,2010,ES1,1,1.3802
2017,NUTS,2010,ES1,1,1.4427
2018,NUTS,2010,ES1,1,1.4568
2019,NUTS,2010,ES1,1,1.5386
2011,NUTS,2010,ES11,2,1.3897
2012,NUTS,2010,ES11,2,1.4637
2013,NUTS,2010,ES11,2,1.5239
2014,NUTS,2010,ES11,2,1.4842
2015,NUTS,2010,ES11,2,1.4866
2016,NUTS,2010,ES11,2,1.4427
2017,NUTS,2010,ES11,2,1.5249
2018,NUTS,2010,ES11,2,1.5559
2019,NUTS,2010,ES11,2,1.6333
2011,NUTS,2010,ES12,2,1.369
2012,NUTS,2010,ES12,2,1.3744
2013,NUTS,2010,ES12,2,1.4839
2014,NUTS,2010,ES12,2,1.3263
2015,NUTS,2010,ES12,2,1.2666
2016,NUTS,2010,ES12,2,1.1873
2017,NUTS,2010,ES12,2,1.2549
2018,NUTS,2010,ES12,2,1.1627
2019,NUTS,2010,ES12,2,1.3083
2011,NUTS,2010,ES13,2,1.4557
2012,NUTS,2010,ES13,2,1.4454
2013,NUTS,2010,ES13,2,1.422
2014,NUTS,2010,ES13,2,1.3952
2015,NUTS,2010,ES13,2,1.4894
2016,NUTS,2010,ES13,2,1.4327
2017,NUTS,2010,ES13,2,1.3948
2018,NUTS,2010,ES13,2,1.4927
2019,NUTS,2010,ES13,2,1.4808
2011,NUTS,2010,ES2,1,2.0665
2012,NUTS,2010,ES2,1,2.1709
2013,NUTS,2010,ES2,1,2.1954
2014,NUTS,2010,ES2,1,2.2008
2015,NUTS,2010,ES2,1,2.2211
2016,NUTS,2010,ES2,1,2.1611
2017,NUTS,2010,ES2,1,2.2225
2018,NUTS,2010,ES2,1,2.235
2019,NUTS,2010,ES2,1,2.2
2011,NUTS,2010,ES21,2,2.3214
2012,NUTS,2010,ES21,2,2.5569
2013,NUTS,2010,ES21,2,2.5835
2014,NUTS,2010,ES21,2,2.571
2015,NUTS,2010,ES21,2,2.6387
2016,NUTS,2010,ES21,2,2.5444
2017,NUTS,2010,ES21,2,2.6598
2018,NUTS,2010,ES21,2,2.6769
2019,NUTS,2010,ES21,2,2.661
2011,NUTS,2010,ES22,2,2.2524
2012,NUTS,2010,ES22,2,2.1076
2013,NUTS,2010,ES22,2,2.1744
2014,NUTS,2010,ES22,2,2.083
2015,NUTS,2010,ES22,2,2.0915
2016,NUTS,2010,ES22,2,2.1204
2017,NUTS,2010,ES22,2,2.2013
2018,NUTS,2010,ES22,2,2.1848
2019,NUTS,2010,ES22,2,2.0853
2011,NUTS,2010,ES23,2,1.5956
2012,NUTS,2010,ES23,2,1.7495
2013,NUTS,2010,ES23,2,1.6184
2014,NUTS,2010,ES23,2,1.7396
2015,NUTS,2010,ES23,2,1.6644
2016,NUTS,2010,ES23,2,1.7366
2017,NUTS,2010,ES23,2,1.7326
2018,NUTS,2010,ES23,2,1.6844
2019,NUTS,2010,ES23,2,1.6271
2011,NUTS,2010,ES24,2,1.6245
2012,NUTS,2010,ES24,2,1.6316
2013,NUTS,2010,ES24,2,1.6591
2014,NUTS,2010,ES24,2,1.7189
2015,NUTS,2010,ES24,2,1.6912
2016,NUTS,2010,ES24,2,1.6229
2017,NUTS,2010,ES24,2,1.6107
2018,NUTS,2010,ES24,2,1.6453
2019,NUTS,2010,ES24,2,1.6169
2011,NUTS,2010,ES3,1,2.4516
2012,NUTS,2010,ES3,1,2.2573
2013,NUTS,2010,ES3,1,2.3043
2014,NUTS,2010,ES3,1,2.3331
2015,NUTS,2010,ES3,1,2.3051
2016,NUTS,2010,ES3,1,2.2627
2017,NUTS,2010,ES3,1,2.2543
2018,NUTS,2010,ES3,1,2.3197
2019,NUTS,2010,ES3,1,2.3365
2011,NUTS,2010,ES30,2,2.4516
2012,NUTS,2010,ES30,2,2.2573
2013,NUTS,2010,ES30,2,2.3043
2014,NUTS,2010,ES30,2,2.3331
2015,NUTS,2010,ES30,2,2.3051
2016,NUTS,2010,ES30,2,2.2627
2017,NUTS,2010,ES30,2,2.2543
2018,NUTS,2010,ES30,2,2.3197
2019,NUTS,2010,ES30,2,2.3365
2011,NUTS,2010,ES4,1,1.4393
2012,NUTS,2010,ES4,1,1.4379
2013,NUTS,2010,ES4,1,1.2564
2014,NUTS,2010,ES4,1,1.2406
2015,NUTS,2010,ES4,1,1.2961
2016,NUTS,2010,ES4,1,1.2516
2017,NUTS,2010,ES4,1,1.2822
2018,NUTS,2010,ES4,1,1.3421
2019,NUTS,2010,ES4,1,1.3271
2011,NUTS,2010,ES41,2,1.8585
2012,NUTS,2010,ES41,2,1.842
2013,NUTS,2010,ES41,2,1.7141
2014,NUTS,2010,ES41,2,1.7244
2015,NUTS,2010,ES41,2,1.7492
2016,NUTS,2010,ES41,2,1.6658
2017,NUTS,2010,ES41,2,1.7119
2018,NUTS,2010,ES41,2,1.8171
2019,NUTS,2010,ES41,2,1.8613
2011,NUTS,2010,ES42,2,1.0856
2012,NUTS,2010,ES42,2,1.0527
2013,NUTS,2010,ES42,2,0.7306
2014,NUTS,2010,ES42,2,0.7372
2015,NUTS,2010,ES42,2,0.8453
2016,NUTS,2010,ES42,2,0.8536
2017,NUTS,2010,ES42,2,0.8525
2018,NUTS,2010,ES42,2,0.8753
2019,NUTS,2010,ES42,2,0.8498
2011,NUTS,2010,ES43,2,0.9993
2012,NUTS,2010,ES43,2,1.0724
2013,NUTS,2010,ES43,2,1.0464
2014,NUTS,2010,ES43,2,0.9103
2015,NUTS,2010,ES43,2,0.9422
2016,NUTS,2010,ES43,2,0.8879
2017,NUTS,2010,ES43,2,0.9669
2018,NUTS,2010,ES43,2,0.9929
2019,NUTS,2010,ES43,2,0.8741
2011,NUTS,2010,ES5,1,1.7097
2012,NUTS,2010,ES5,1,1.7539
2013,NUTS,2010,ES5,1,1.7655
2014,NUTS,2010,ES5,1,1.7352
2015,NUTS,2010,ES5,1,1.72
2016,NUTS,2010,ES5,1,1.7102
2017,NUTS,2010,ES5,1,1.7448
2018,NUTS,2010,ES5,1,1.753
2019,NUTS,2010,ES5,1,1.794
2011,NUTS,2010,ES51,2,1.907
2012,NUTS,2010,ES51,2,1.9963
2013,NUTS,2010,ES51,2,2.0285
2014,NUTS,2010,ES51,2,1.9371
2015,NUTS,2010,ES51,2,1.9764
2016,NUTS,2010,ES51,2,1.9461
2017,NUTS,2010,ES51,2,1.9791
2018,NUTS,2010,ES51,2,2.0091
2019,NUTS,2010,ES51,2,2.0175
2011,NUTS,2010,ES52,2,1.5944
2012,NUTS,2010,ES52,2,1.5952
2013,NUTS,2010,ES52,2,1.5943
2014,NUTS,2010,ES52,2,1.6673
2015,NUTS,2010,ES52,2,1.5676
2016,NUTS,2010,ES52,2,1.5952
2017,NUTS,2010,ES52,2,1.6199
2018,NUTS,2010,ES52,2,1.6071
2019,NUTS,2010,ES52,2,1.6883
2011,NUTS,2010,ES53,2,0.7964
2012,NUTS,2010,ES53,2,0.7536
2013,NUTS,2010,ES53,2,0.699
2014,NUTS,2010,ES53,2,0.6937
2015,NUTS,2010,ES53,2,0.7157
2016,NUTS,2010,ES53,2,0.6838
2017,NUTS,2010,ES53,2,0.732
2018,NUTS,2010,ES53,2,0.7113
2019,NUTS,2010,ES53,2,0.7686
2011,NUTS,2010,ES6,1,1.3781
2012,NUTS,2010,ES6,1,1.3722
2013,NUTS,2010,ES6,1,1.4158
2014,NUTS,2010,ES6,1,1.3983
2015,NUTS,2010,ES6,1,1.4428
2016,NUTS,2010,ES6,1,1.4005
2017,NUTS,2010,ES6,1,1.4181
2018,NUTS,2010,ES6,1,1.4319
2019,NUTS,2010,ES6,1,1.4113
2011,NUTS,2010,ES61,2,1.4169
2012,NUTS,2010,ES61,2,1.4043
2013,NUTS,2010,ES61,2,1.4517
2014,NUTS,2010,ES61,2,1.4255
2015,NUTS,2010,ES61,2,1.452
2016,NUTS,2010,ES61,2,1.4068
2017,NUTS,2010,ES61,2,1.4222
2018,NUTS,2010,ES61,2,1.426
2019,NUTS,2010,ES61,2,1.3995
2011,NUTS,2010,ES62,2,1.2731
2012,NUTS,2010,ES62,2,1.295
2013,NUTS,2010,ES62,2,1.3387
2014,NUTS,2010,ES62,2,1.3542
2015,NUTS,2010,ES62,2,1.4895
2016,NUTS,2010,ES62,2,1.4582
2017,NUTS,2010,ES62,2,1.486
2018,NUTS,2010,ES62,2,1.5445
2019,NUTS,2010,ES62,2,1.5511
2011,NUTS,2010,ES63,2,0.1477
2012,NUTS,2010,ES63,2,0.1687
2013,NUTS,2010,ES63,2,0.1364
2014,NUTS,2010,ES63,2,0.3081
2015,NUTS,2010,ES63,2,0.3053
2011,NUTS,2010,ES64,2,0.2871
2012,NUTS,2010,ES64,2,0.3011
2013,NUTS,2010,ES64,2,0.2596
2014,NUTS,2010,ES64,2,0.2526
2015,NUTS,2010,ES64,2,0.25
2011,NUTS,2010,ES7,1,0.7203
2012,NUTS,2010,ES7,1,0.7069
2013,NUTS,2010,ES7,1,0.6555
2014,NUTS,2010,ES7,1,0.6317
2015,NUTS,2010,ES7,1,0.6232
2016,NUTS,2010,ES7,1,0.6246
2017,NUTS,2010,ES7,1,0.6353
2018,NUTS,2010,ES7,1,0.638
2019,NUTS,2010,ES7,1,0.6241
2011,NUTS,2010,ES70,2,0.7203
2012,NUTS,2010,ES70,2,0.7069
2013,NUTS,2010,ES70,2,0.6555
2014,NUTS,2010,ES70,2,0.6317
2015,NUTS,2010,ES70,2,0.6232
2016,NUTS,2010,ES70,2,0.6246
2017,NUTS,2010,ES70,2,0.6353
2018,NUTS,2010,ES70,2,0.638
2019,NUTS,2010,ES70,2,0.6241
2011,NUTS,2010,EU27_2020,7,1.4101
2013,NUTS,2010,EU27_2020,7,1.4817
2015,NUTS,2010,EU27_2020,7,1.5318
2017,NUTS,2010,EU27_2020,7,1.6087
2019,NUTS,2010,EU27_2020,7,1.7072
2011,NUTS,2010,FI,0,2.3678
