year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_pc_pop_hrste
2002,NUTS,2010,AT12,2,12.8
2003,NUTS,2010,AT12,2,11.5
2004,NUTS,2010,AT12,2,13.9
2005,NUTS,2010,AT12,2,13.7
2006,NUTS,2010,AT12,2,12.5
2007,NUTS,2010,AT12,2,12.2
2008,NUTS,2010,AT12,2,13.1
2009,NUTS,2010,AT12,2,14.5
2010,NUTS,2010,AT12,2,14.7
2011,NUTS,2010,AT12,2,14.3
2012,NUTS,2010,AT12,2,14.5
2013,NUTS,2010,AT12,2,14.6
2014,NUTS,2010,AT12,2,25.1
2015,NUTS,2010,AT12,2,26.6
2016,NUTS,2010,AT12,2,27.2
2017,NUTS,2010,AT12,2,27.8
2018,NUTS,2010,AT12,2,28.3
2019,NUTS,2010,AT12,2,28.8
2020,NUTS,2010,AT12,2,29.3
1999,NUTS,2010,AT13,2,16.2
2000,NUTS,2010,AT13,2,17.0
2001,NUTS,2010,AT13,2,16.7
2002,NUTS,2010,AT13,2,17.9
2003,NUTS,2010,AT13,2,18.1
2004,NUTS,2010,AT13,2,21.6
2005,NUTS,2010,AT13,2,19.6
2006,NUTS,2010,AT13,2,19.7
2007,NUTS,2010,AT13,2,18.8
2008,NUTS,2010,AT13,2,20.0
2009,NUTS,2010,AT13,2,21.7
2010,NUTS,2010,AT13,2,22.7
2011,NUTS,2010,AT13,2,22.2
2012,NUTS,2010,AT13,2,23.1
2013,NUTS,2010,AT13,2,25.5
2014,NUTS,2010,AT13,2,34.1
2015,NUTS,2010,AT13,2,34.3
2016,NUTS,2010,AT13,2,35.0
2017,NUTS,2010,AT13,2,36.3
2018,NUTS,2010,AT13,2,36.3
2019,NUTS,2010,AT13,2,37.0
2020,NUTS,2010,AT13,2,37.0
1999,NUTS,2010,AT2,1,10.5
2000,NUTS,2010,AT2,1,9.8
2001,NUTS,2010,AT2,1,10.3
2002,NUTS,2010,AT2,1,12.9
2003,NUTS,2010,AT2,1,12.5
2004,NUTS,2010,AT2,1,13.2
2005,NUTS,2010,AT2,1,13.3
2006,NUTS,2010,AT2,1,13.0
2007,NUTS,2010,AT2,1,13.0
2008,NUTS,2010,AT2,1,12.9
2009,NUTS,2010,AT2,1,13.8
2010,NUTS,2010,AT2,1,13.2
2011,NUTS,2010,AT2,1,13.8
2012,NUTS,2010,AT2,1,14.8
2013,NUTS,2010,AT2,1,14.6
2014,NUTS,2010,AT2,1,23.6
2015,NUTS,2010,AT2,1,24.4
2016,NUTS,2010,AT2,1,25.1
2017,NUTS,2010,AT2,1,25.4
2018,NUTS,2010,AT2,1,26.6
2019,NUTS,2010,AT2,1,27.2
2020,NUTS,2010,AT2,1,27.6
1999,NUTS,2010,AT21,2,9.8
2000,NUTS,2010,AT21,2,10.3
2001,NUTS,2010,AT21,2,10.9
2002,NUTS,2010,AT21,2,13.2
2003,NUTS,2010,AT21,2,12.1
2004,NUTS,2010,AT21,2,13.4
2005,NUTS,2010,AT21,2,13.2
2006,NUTS,2010,AT21,2,13.2
2007,NUTS,2010,AT21,2,12.8
2008,NUTS,2010,AT21,2,13.2
2009,NUTS,2010,AT21,2,14.2
2010,NUTS,2010,AT21,2,13.8
2011,NUTS,2010,AT21,2,13.5
2012,NUTS,2010,AT21,2,14.5
2013,NUTS,2010,AT21,2,14.5
2014,NUTS,2010,AT21,2,25.2
2015,NUTS,2010,AT21,2,25.2
2016,NUTS,2010,AT21,2,26.2
2017,NUTS,2010,AT21,2,26.7
2018,NUTS,2010,AT21,2,27.2
2019,NUTS,2010,AT21,2,27.7
2020,NUTS,2010,AT21,2,28.4
1999,NUTS,2010,AT22,2,10.9
2000,NUTS,2010,AT22,2,9.5
2001,NUTS,2010,AT22,2,10.0
2002,NUTS,2010,AT22,2,12.8
2003,NUTS,2010,AT22,2,12.7
2004,NUTS,2010,AT22,2,13.1
2005,NUTS,2010,AT22,2,13.3
2006,NUTS,2010,AT22,2,13.0
2007,NUTS,2010,AT22,2,13.1
2008,NUTS,2010,AT22,2,12.8
2009,NUTS,2010,AT22,2,13.6
2010,NUTS,2010,AT22,2,12.9
2011,NUTS,2010,AT22,2,13.9
2012,NUTS,2010,AT22,2,15.0
2013,NUTS,2010,AT22,2,14.6
2014,NUTS,2010,AT22,2,22.8
2015,NUTS,2010,AT22,2,24.1
2016,NUTS,2010,AT22,2,24.6
2017,NUTS,2010,AT22,2,24.8
2018,NUTS,2010,AT22,2,26.3
2019,NUTS,2010,AT22,2,26.9
2020,NUTS,2010,AT22,2,27.2
1999,NUTS,2010,AT3,1,10.8
2000,NUTS,2010,AT3,1,11.0
2001,NUTS,2010,AT3,1,11.4
2002,NUTS,2010,AT3,1,13.6
2003,NUTS,2010,AT3,1,13.3
2004,NUTS,2010,AT3,1,13.9
2005,NUTS,2010,AT3,1,13.1
2006,NUTS,2010,AT3,1,13.0
2007,NUTS,2010,AT3,1,13.3
2008,NUTS,2010,AT3,1,13.6
2009,NUTS,2010,AT3,1,14.1
2010,NUTS,2010,AT3,1,14.5
2011,NUTS,2010,AT3,1,14.7
2012,NUTS,2010,AT3,1,15.0
2013,NUTS,2010,AT3,1,15.4
2014,NUTS,2010,AT3,1,23.8
2015,NUTS,2010,AT3,1,24.2
2016,NUTS,2010,AT3,1,25.6
2017,NUTS,2010,AT3,1,25.8
2018,NUTS,2010,AT3,1,26.2
2019,NUTS,2010,AT3,1,27.6
2020,NUTS,2010,AT3,1,27.1
1999,NUTS,2010,AT31,2,10.5
2000,NUTS,2010,AT31,2,10.3
2001,NUTS,2010,AT31,2,10.7
2002,NUTS,2010,AT31,2,13.2
2003,NUTS,2010,AT31,2,12.6
2004,NUTS,2010,AT31,2,12.7
2005,NUTS,2010,AT31,2,12.7
2006,NUTS,2010,AT31,2,12.9
2007,NUTS,2010,AT31,2,13.0
2008,NUTS,2010,AT31,2,13.3
2009,NUTS,2010,AT31,2,13.5
2010,NUTS,2010,AT31,2,14.3
2011,NUTS,2010,AT31,2,13.7
2012,NUTS,2010,AT31,2,14.0
2013,NUTS,2010,AT31,2,14.4
2014,NUTS,2010,AT31,2,23.2
2015,NUTS,2010,AT31,2,24.0
2016,NUTS,2010,AT31,2,25.7
2017,NUTS,2010,AT31,2,25.7
2018,NUTS,2010,AT31,2,25.7
2019,NUTS,2010,AT31,2,28.1
2020,NUTS,2010,AT31,2,26.8
1999,NUTS,2010,AT32,2,13.5
2000,NUTS,2010,AT32,2,12.9
2001,NUTS,2010,AT32,2,13.3
2002,NUTS,2010,AT32,2,13.8
2003,NUTS,2010,AT32,2,14.2
2004,NUTS,2010,AT32,2,16.5
2005,NUTS,2010,AT32,2,15.6
2006,NUTS,2010,AT32,2,14.7
2007,NUTS,2010,AT32,2,14.8
2008,NUTS,2010,AT32,2,14.7
2009,NUTS,2010,AT32,2,16.2
2010,NUTS,2010,AT32,2,16.4
2011,NUTS,2010,AT32,2,16.8
2012,NUTS,2010,AT32,2,17.1
2013,NUTS,2010,AT32,2,18.3
2014,NUTS,2010,AT32,2,26.7
2015,NUTS,2010,AT32,2,26.8
2016,NUTS,2010,AT32,2,27.9
2017,NUTS,2010,AT32,2,27.9
2018,NUTS,2010,AT32,2,28.6
2019,NUTS,2010,AT32,2,28.9
2020,NUTS,2010,AT32,2,28.5
1999,NUTS,2010,AT33,2,9.5
2000,NUTS,2010,AT33,2,10.6
2001,NUTS,2010,AT33,2,11.1
2002,NUTS,2010,AT33,2,14.2
2003,NUTS,2010,AT33,2,13.9
2004,NUTS,2010,AT33,2,14.2
2005,NUTS,2010,AT33,2,12.3
2006,NUTS,2010,AT33,2,12.2
2007,NUTS,2010,AT33,2,13.1
2008,NUTS,2010,AT33,2,13.7
2009,NUTS,2010,AT33,2,14.3
2010,NUTS,2010,AT33,2,14.6
2011,NUTS,2010,AT33,2,15.4
2012,NUTS,2010,AT33,2,15.5
2013,NUTS,2010,AT33,2,15.4
2014,NUTS,2010,AT33,2,23.6
2015,NUTS,2010,AT33,2,23.4
2016,NUTS,2010,AT33,2,24.6
2017,NUTS,2010,AT33,2,25.3
2018,NUTS,2010,AT33,2,26.6
2019,NUTS,2010,AT33,2,26.9
2020,NUTS,2010,AT33,2,27.7
1999,NUTS,2010,AT34,2,10.3
2000,NUTS,2010,AT34,2,11.3
2001,NUTS,2010,AT34,2,12.2
2002,NUTS,2010,AT34,2,13.5
2003,NUTS,2010,AT34,2,14.2
2004,NUTS,2010,AT34,2,14.2
2005,NUTS,2010,AT34,2,12.9
2006,NUTS,2010,AT34,2,13.0
2007,NUTS,2010,AT34,2,13.0
2008,NUTS,2010,AT34,2,13.1
2009,NUTS,2010,AT34,2,13.5
2010,NUTS,2010,AT34,2,12.7
2011,NUTS,2010,AT34,2,13.9
2012,NUTS,2010,AT34,2,15.2
2013,NUTS,2010,AT34,2,15.3
2014,NUTS,2010,AT34,2,21.7
2015,NUTS,2010,AT34,2,22.8
2016,NUTS,2010,AT34,2,23.7
2017,NUTS,2010,AT34,2,24.4
2018,NUTS,2010,AT34,2,24.1
2019,NUTS,2010,AT34,2,25.0
2020,NUTS,2010,AT34,2,25.1
1999,NUTS,2010,BE,0,21.3
2000,NUTS,2010,BE,0,21.8
2001,NUTS,2010,BE,0,22.4
2002,NUTS,2010,BE,0,22.8
2003,NUTS,2010,BE,0,22.8
2004,NUTS,2010,BE,0,24.5
2005,NUTS,2010,BE,0,25.4
2006,NUTS,2010,BE,0,26.1
2007,NUTS,2010,BE,0,26.6
2008,NUTS,2010,BE,0,27.0
2009,NUTS,2010,BE,0,27.9
2010,NUTS,2010,BE,0,29.3
2011,NUTS,2010,BE,0,29.0
2012,NUTS,2010,BE,0,29.8
2013,NUTS,2010,BE,0,30.0
2014,NUTS,2010,BE,0,31.2
2015,NUTS,2010,BE,0,31.3
2016,NUTS,2010,BE,0,31.9
2017,NUTS,2010,BE,0,34.2
2018,NUTS,2010,BE,0,34.5
2019,NUTS,2010,BE,0,34.5
2020,NUTS,2010,BE,0,35.8
1999,NUTS,2010,BE1,1,28.2
2000,NUTS,2010,BE1,1,30.9
2001,NUTS,2010,BE1,1,27.5
2002,NUTS,2010,BE1,1,29.9
2003,NUTS,2010,BE1,1,29.7
2004,NUTS,2010,BE1,1,33.4
2005,NUTS,2010,BE1,1,34.3
2006,NUTS,2010,BE1,1,34.2
2007,NUTS,2010,BE1,1,34.0
2008,NUTS,2010,BE1,1,33.8
2009,NUTS,2010,BE1,1,35.7
2010,NUTS,2010,BE1,1,35.6
2011,NUTS,2010,BE1,1,36.1
2012,NUTS,2010,BE1,1,36.4
2013,NUTS,2010,BE1,1,35.3
2014,NUTS,2010,BE1,1,37.2
2015,NUTS,2010,BE1,1,37.2
2016,NUTS,2010,BE1,1,37.8
2017,NUTS,2010,BE1,1,40.2
2018,NUTS,2010,BE1,1,41.0
2019,NUTS,2010,BE1,1,40.4
2020,NUTS,2010,BE1,1,42.6
1999,NUTS,2010,BE10,2,28.2
2000,NUTS,2010,BE10,2,30.9
2001,NUTS,2010,BE10,2,27.5
2002,NUTS,2010,BE10,2,29.9
2003,NUTS,2010,BE10,2,29.7
2004,NUTS,2010,BE10,2,33.4
2005,NUTS,2010,BE10,2,34.3
2006,NUTS,2010,BE10,2,34.2
2007,NUTS,2010,BE10,2,34.0
2008,NUTS,2010,BE10,2,33.8
2009,NUTS,2010,BE10,2,35.7
2010,NUTS,2010,BE10,2,35.6
2011,NUTS,2010,BE10,2,36.1
2012,NUTS,2010,BE10,2,36.4
2013,NUTS,2010,BE10,2,35.3
2014,NUTS,2010,BE10,2,37.2
2015,NUTS,2010,BE10,2,37.2
2016,NUTS,2010,BE10,2,37.8
2017,NUTS,2010,BE10,2,40.2
2018,NUTS,2010,BE10,2,41.0
2019,NUTS,2010,BE10,2,40.4
2020,NUTS,2010,BE10,2,42.6
1999,NUTS,2010,BE2,1,20.8
2000,NUTS,2010,BE2,1,21.6
2001,NUTS,2010,BE2,1,22.7
2002,NUTS,2010,BE2,1,22.2
2003,NUTS,2010,BE2,1,22.5
2004,NUTS,2010,BE2,1,24.1
2005,NUTS,2010,BE2,1,25.0
2006,NUTS,2010,BE2,1,26.0
2007,NUTS,2010,BE2,1,26.3
2008,NUTS,2010,BE2,1,27.2
2009,NUTS,2010,BE2,1,28.0
2010,NUTS,2010,BE2,1,29.2
2011,NUTS,2010,BE2,1,28.8
2012,NUTS,2010,BE2,1,29.9
2013,NUTS,2010,BE2,1,30.3
2014,NUTS,2010,BE2,1,31.5
2015,NUTS,2010,BE2,1,31.6
2016,NUTS,2010,BE2,1,32.1
2017,NUTS,2010,BE2,1,34.5
2018,NUTS,2010,BE2,1,34.8
2019,NUTS,2010,BE2,1,34.8
2020,NUTS,2010,BE2,1,36.0
1999,NUTS,2010,BE21,2,21.2
2000,NUTS,2010,BE21,2,21.4
2001,NUTS,2010,BE21,2,23.7
2002,NUTS,2010,BE21,2,22.6
2003,NUTS,2010,BE21,2,23.7
2004,NUTS,2010,BE21,2,23.4
2005,NUTS,2010,BE21,2,24.3
2006,NUTS,2010,BE21,2,25.9
2007,NUTS,2010,BE21,2,25.6
2008,NUTS,2010,BE21,2,27.1
2009,NUTS,2010,BE21,2,26.6
2010,NUTS,2010,BE21,2,29.4
2011,NUTS,2010,BE21,2,28.2
2012,NUTS,2010,BE21,2,29.8
2013,NUTS,2010,BE21,2,30.1
2014,NUTS,2010,BE21,2,32.1
2015,NUTS,2010,BE21,2,31.9
2016,NUTS,2010,BE21,2,29.6
2017,NUTS,2010,BE21,2,32.4
2018,NUTS,2010,BE21,2,33.7
2019,NUTS,2010,BE21,2,33.8
2020,NUTS,2010,BE21,2,34.9
1999,NUTS,2010,BE22,2,15.7
2000,NUTS,2010,BE22,2,18.7
2001,NUTS,2010,BE22,2,19.2
2002,NUTS,2010,BE22,2,18.5
2003,NUTS,2010,BE22,2,18.9
2004,NUTS,2010,BE22,2,22.9
2005,NUTS,2010,BE22,2,20.6
2006,NUTS,2010,BE22,2,22.6
2007,NUTS,2010,BE22,2,23.0
2008,NUTS,2010,BE22,2,23.4
2009,NUTS,2010,BE22,2,24.1
2010,NUTS,2010,BE22,2,24.9
2011,NUTS,2010,BE22,2,24.7
2012,NUTS,2010,BE22,2,26.5
2013,NUTS,2010,BE22,2,24.6
2014,NUTS,2010,BE22,2,26.7
2015,NUTS,2010,BE22,2,27.8
2016,NUTS,2010,BE22,2,28.1
2017,NUTS,2010,BE22,2,29.9
2018,NUTS,2010,BE22,2,29.9
2019,NUTS,2010,BE22,2,31.2
2020,NUTS,2010,BE22,2,31.6
1999,NUTS,2010,BE23,2,19.7
2000,NUTS,2010,BE23,2,23.0
2001,NUTS,2010,BE23,2,20.1
2002,NUTS,2010,BE23,2,22.5
2003,NUTS,2010,BE23,2,22.2
2004,NUTS,2010,BE23,2,22.5
2005,NUTS,2010,BE23,2,24.6
2006,NUTS,2010,BE23,2,25.2
2007,NUTS,2010,BE23,2,26.0
2008,NUTS,2010,BE23,2,26.4
2009,NUTS,2010,BE23,2,28.5
2010,NUTS,2010,BE23,2,28.8
2011,NUTS,2010,BE23,2,29.3
2012,NUTS,2010,BE23,2,29.4
2013,NUTS,2010,BE23,2,31.2
2014,NUTS,2010,BE23,2,31.4
2015,NUTS,2010,BE23,2,31.9
2016,NUTS,2010,BE23,2,33.5
2017,NUTS,2010,BE23,2,35.6
2018,NUTS,2010,BE23,2,36.1
2019,NUTS,2010,BE23,2,34.7
2020,NUTS,2010,BE23,2,37.0
1999,NUTS,2010,BE24,2,26.2
2000,NUTS,2010,BE24,2,26.6
2001,NUTS,2010,BE24,2,29.1
2002,NUTS,2010,BE24,2,25.3
2003,NUTS,2010,BE24,2,28.2
2004,NUTS,2010,BE24,2,32.3
2005,NUTS,2010,BE24,2,32.4
2006,NUTS,2010,BE24,2,33.1
2007,NUTS,2010,BE24,2,33.3
2008,NUTS,2010,BE24,2,34.3
2009,NUTS,2010,BE24,2,36.8
2010,NUTS,2010,BE24,2,36.9
2011,NUTS,2010,BE24,2,35.2
2012,NUTS,2010,BE24,2,36.6
2013,NUTS,2010,BE24,2,37.3
2014,NUTS,2010,BE24,2,38.2
2015,NUTS,2010,BE24,2,37.4
2016,NUTS,2010,BE24,2,39.5
2017,NUTS,2010,BE24,2,42.6
2018,NUTS,2010,BE24,2,41.4
2019,NUTS,2010,BE24,2,41.6
2020,NUTS,2010,BE24,2,42.7
1999,NUTS,2010,BE25,2,20.5
2000,NUTS,2010,BE25,2,17.6
2001,NUTS,2010,BE25,2,21.0
2002,NUTS,2010,BE25,2,21.2
2003,NUTS,2010,BE25,2,18.6
2004,NUTS,2010,BE25,2,20.6
2005,NUTS,2010,BE25,2,23.1
2006,NUTS,2010,BE25,2,23.1
2007,NUTS,2010,BE25,2,24.0
2008,NUTS,2010,BE25,2,24.6
2009,NUTS,2010,BE25,2,24.4
2010,NUTS,2010,BE25,2,25.3
2011,NUTS,2010,BE25,2,26.3
2012,NUTS,2010,BE25,2,27.1
2013,NUTS,2010,BE25,2,27.1
2014,NUTS,2010,BE25,2,28.2
2015,NUTS,2010,BE25,2,27.9
2016,NUTS,2010,BE25,2,30.5
2017,NUTS,2010,BE25,2,32.2
2018,NUTS,2010,BE25,2,32.1
2019,NUTS,2010,BE25,2,32.7
2020,NUTS,2010,BE25,2,33.5
1999,NUTS,2010,BE3,1,20.1
2000,NUTS,2010,BE3,1,19.6
2001,NUTS,2010,BE3,1,20.3
2002,NUTS,2010,BE3,1,22.0
2003,NUTS,2010,BE3,1,21.3
2004,NUTS,2010,BE3,1,22.4
2005,NUTS,2010,BE3,1,23.4
2006,NUTS,2010,BE3,1,23.8
2007,NUTS,2010,BE3,1,24.7
2008,NUTS,2010,BE3,1,24.5
2009,NUTS,2010,BE3,1,25.2
2010,NUTS,2010,BE3,1,27.4
2011,NUTS,2010,BE3,1,27.1
2012,NUTS,2010,BE3,1,27.6
2013,NUTS,2010,BE3,1,27.8
2014,NUTS,2010,BE3,1,28.6
2015,NUTS,2010,BE3,1,28.9
2016,NUTS,2010,BE3,1,29.5
2017,NUTS,2010,BE3,1,31.5
2018,NUTS,2010,BE3,1,31.9
2019,NUTS,2010,BE3,1,32.0
2020,NUTS,2010,BE3,1,33.1
1999,NUTS,2010,BE31,2,30.7
2000,NUTS,2010,BE31,2,31.8
2001,NUTS,2010,BE31,2,32.9
2002,NUTS,2010,BE31,2,32.0
2003,NUTS,2010,BE31,2,36.9
2004,NUTS,2010,BE31,2,34.8
2005,NUTS,2010,BE31,2,36.8
2006,NUTS,2010,BE31,2,37.2
2007,NUTS,2010,BE31,2,38.9
2008,NUTS,2010,BE31,2,39.2
2009,NUTS,2010,BE31,2,40.2
2010,NUTS,2010,BE31,2,41.9
2011,NUTS,2010,BE31,2,45.9
2012,NUTS,2010,BE31,2,42.8
2013,NUTS,2010,BE31,2,43.1
2014,NUTS,2010,BE31,2,43.3
2015,NUTS,2010,BE31,2,46.0
2016,NUTS,2010,BE31,2,43.8
2017,NUTS,2010,BE31,2,47.9
2018,NUTS,2010,BE31,2,49.4
2019,NUTS,2010,BE31,2,47.9
2020,NUTS,2010,BE31,2,49.8
1999,NUTS,2010,BE32,2,16.9
2000,NUTS,2010,BE32,2,16.9
2001,NUTS,2010,BE32,2,16.6
2002,NUTS,2010,BE32,2,18.9
2003,NUTS,2010,BE32,2,17.1
2004,NUTS,2010,BE32,2,20.1
2005,NUTS,2010,BE32,2,18.7
2006,NUTS,2010,BE32,2,18.9
2007,NUTS,2010,BE32,2,20.6
2008,NUTS,2010,BE32,2,20.6
2009,NUTS,2010,BE32,2,19.9
2010,NUTS,2010,BE32,2,24.0
2011,NUTS,2010,BE32,2,21.8
2012,NUTS,2010,BE32,2,23.0
2013,NUTS,2010,BE32,2,23.6
2014,NUTS,2010,BE32,2,23.7
2015,NUTS,2010,BE32,2,23.3
2016,NUTS,2010,BE32,2,25.8
2017,NUTS,2010,BE32,2,26.6
2018,NUTS,2010,BE32,2,26.9
2019,NUTS,2010,BE32,2,27.1
2020,NUTS,2010,BE32,2,27.2
1999,NUTS,2010,BE33,2,20.3
2000,NUTS,2010,BE33,2,17.7
2001,NUTS,2010,BE33,2,20.2
2002,NUTS,2010,BE33,2,22.3
2003,NUTS,2010,BE33,2,22.8
2004,NUTS,2010,BE33,2,21.7
2005,NUTS,2010,BE33,2,24.4
2006,NUTS,2010,BE33,2,23.9
2007,NUTS,2010,BE33,2,25.1
2008,NUTS,2010,BE33,2,23.9
2009,NUTS,2010,BE33,2,25.6
2010,NUTS,2010,BE33,2,26.2
2011,NUTS,2010,BE33,2,26.9
2012,NUTS,2010,BE33,2,26.8
2013,NUTS,2010,BE33,2,27.5
2014,NUTS,2010,BE33,2,28.0
2015,NUTS,2010,BE33,2,28.6
2016,NUTS,2010,BE33,2,28.8
2017,NUTS,2010,BE33,2,30.2
2018,NUTS,2010,BE33,2,30.8
2019,NUTS,2010,BE33,2,31.4
2020,NUTS,2010,BE33,2,33.3
1999,NUTS,2010,BE34,2,17.8
2000,NUTS,2010,BE34,2,20.1
2001,NUTS,2010,BE34,2,21.0
2002,NUTS,2010,BE34,2,22.9
2003,NUTS,2010,BE34,2,17.7
2004,NUTS,2010,BE34,2,20.4
2005,NUTS,2010,BE34,2,22.1
2006,NUTS,2010,BE34,2,26.3
2007,NUTS,2010,BE34,2,23.7
2008,NUTS,2010,BE34,2,25.3
2009,NUTS,2010,BE34,2,27.2
2010,NUTS,2010,BE34,2,27.0
2011,NUTS,2010,BE34,2,25.6
2012,NUTS,2010,BE34,2,28.4
2013,NUTS,2010,BE34,2,26.7
2014,NUTS,2010,BE34,2,29.7
2015,NUTS,2010,BE34,2,30.8
2016,NUTS,2010,BE34,2,29.5
2017,NUTS,2010,BE34,2,31.8
2018,NUTS,2010,BE34,2,32.8
2019,NUTS,2010,BE34,2,34.0
2020,NUTS,2010,BE34,2,35.2
1999,NUTS,2010,BE35,2,22.0
2000,NUTS,2010,BE35,2,21.4
2001,NUTS,2010,BE35,2,20.8
2002,NUTS,2010,BE35,2,21.6
2003,NUTS,2010,BE35,2,19.4
2004,NUTS,2010,BE35,2,21.7
2005,NUTS,2010,BE35,2,24.5
2006,NUTS,2010,BE35,2,25.2
2007,NUTS,2010,BE35,2,24.8
2008,NUTS,2010,BE35,2,24.3
2009,NUTS,2010,BE35,2,25.9
2010,NUTS,2010,BE35,2,28.1
2011,NUTS,2010,BE35,2,27.7
2012,NUTS,2010,BE35,2,29.3
2013,NUTS,2010,BE35,2,28.1
2014,NUTS,2010,BE35,2,31.1
2015,NUTS,2010,BE35,2,29.8
2016,NUTS,2010,BE35,2,29.6
2017,NUTS,2010,BE35,2,34.1
2018,NUTS,2010,BE35,2,33.4
2019,NUTS,2010,BE35,2,32.6
2020,NUTS,2010,BE35,2,34.1
2000,NUTS,2010,BG,0,14.4
2001,NUTS,2010,BG,0,16.9
2002,NUTS,2010,BG,0,16.6
2003,NUTS,2010,BG,0,16.6
2004,NUTS,2010,BG,0,16.8
2005,NUTS,2010,BG,0,17.2
2006,NUTS,2010,BG,0,17.6
2007,NUTS,2010,BG,0,17.9
2008,NUTS,2010,BG,0,18.3
2009,NUTS,2010,BG,0,18.7
2010,NUTS,2010,BG,0,19.2
2011,NUTS,2010,BG,0,19.5
2012,NUTS,2010,BG,0,20.0
2013,NUTS,2010,BG,0,21.5
2014,NUTS,2010,BG,0,22.7
2015,NUTS,2010,BG,0,23.1
2016,NUTS,2010,BG,0,23.4
2017,NUTS,2010,BG,0,23.6
2018,NUTS,2010,BG,0,23.8
2019,NUTS,2010,BG,0,23.7
2020,NUTS,2010,BG,0,24.7
2003,NUTS,2010,BG3,1,14.7
2004,NUTS,2010,BG3,1,15.1
2005,NUTS,2010,BG3,1,14.8
2006,NUTS,2010,BG3,1,14.8
2007,NUTS,2010,BG3,1,14.8
2008,NUTS,2010,BG3,1,15.0
2009,NUTS,2010,BG3,1,15.3
2010,NUTS,2010,BG3,1,15.9
2011,NUTS,2010,BG3,1,16.5
2012,NUTS,2010,BG3,1,17.1
2013,NUTS,2010,BG3,1,18.3
2014,NUTS,2010,BG3,1,19.1
2015,NUTS,2010,BG3,1,19.4
2016,NUTS,2010,BG3,1,19.4
2017,NUTS,2010,BG3,1,19.5
2018,NUTS,2010,BG3,1,19.6
2019,NUTS,2010,BG3,1,19.1
2020,NUTS,2010,BG3,1,19.6
2003,NUTS,2010,BG31,2,15.2
2004,NUTS,2010,BG31,2,15.1
2005,NUTS,2010,BG31,2,14.2
2006,NUTS,2010,BG31,2,14.5
2007,NUTS,2010,BG31,2,14.0
2008,NUTS,2010,BG31,2,14.0
2009,NUTS,2010,BG31,2,13.9
2010,NUTS,2010,BG31,2,15.2
2011,NUTS,2010,BG31,2,14.9
2012,NUTS,2010,BG31,2,15.3
