year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_t_pc_emp_fte_rse
2012,NUTS,2010,CH,0,0.4452
2015,NUTS,2010,CH,0,0.489
2017,NUTS,2010,CH,0,0.5102
2019,NUTS,2010,CH,0,0.5306
1991,NUTS,2010,CN_X_HK,5,0.0203
1992,NUTS,2010,CN_X_HK,5,0.0178
1993,NUTS,2010,CN_X_HK,5,0.0191
1994,NUTS,2010,CN_X_HK,5,0.0234
1995,NUTS,2010,CN_X_HK,5,0.0194
1996,NUTS,2010,CN_X_HK,5,0.0191
1997,NUTS,2010,CN_X_HK,5,0.0225
1998,NUTS,2010,CN_X_HK,5,0.0228
1999,NUTS,2010,CN_X_HK,5,0.0236
2000,NUTS,2010,CN_X_HK,5,0.0205
2001,NUTS,2010,CN_X_HK,5,0.023
2002,NUTS,2010,CN_X_HK,5,0.0242
2003,NUTS,2010,CN_X_HK,5,0.025
2004,NUTS,2010,CN_X_HK,5,0.0274
2005,NUTS,2010,CN_X_HK,5,0.0293
2006,NUTS,2010,CN_X_HK,5,0.031
2007,NUTS,2010,CN_X_HK,5,0.0322
1998,NUTS,2010,CY,0,0.038
1999,NUTS,2010,CY,0,0.0428
2000,NUTS,2010,CY,0,0.0444
2001,NUTS,2010,CY,0,0.046
2002,NUTS,2010,CY,0,0.0631
2003,NUTS,2010,CY,0,0.0805
2004,NUTS,2010,CY,0,0.1066
2005,NUTS,2010,CY,0,0.1225
2006,NUTS,2010,CY,0,0.1249
2007,NUTS,2010,CY,0,0.1263
2008,NUTS,2010,CY,0,0.1182
2009,NUTS,2010,CY,0,0.1326
2010,NUTS,2010,CY,0,0.138
2011,NUTS,2010,CY,0,0.1447
2012,NUTS,2010,CY,0,0.1404
2013,NUTS,2010,CY,0,0.1538
2014,NUTS,2010,CY,0,0.1513
2015,NUTS,2010,CY,0,0.151
2016,NUTS,2010,CY,0,0.1488
2017,NUTS,2010,CY,0,0.1625
2018,NUTS,2010,CY,0,0.1661
2019,NUTS,2010,CY,0,0.1776
2020,NUTS,2010,CY,0,0.1802
1998,NUTS,2010,CZ,0,0.0606
1999,NUTS,2010,CZ,0,0.0726
2000,NUTS,2010,CZ,0,0.0815
2001,NUTS,2010,CZ,0,0.0918
2002,NUTS,2010,CZ,0,0.0916
2003,NUTS,2010,CZ,0,0.0929
2004,NUTS,2010,CZ,0,0.0921
2005,NUTS,2010,CZ,0,0.1648
2006,NUTS,2010,CZ,0,0.1791
2007,NUTS,2010,CZ,0,0.1812
2008,NUTS,2010,CZ,0,0.1934
2009,NUTS,2010,CZ,0,0.2018
2010,NUTS,2010,CZ,0,0.2103
2011,NUTS,2010,CZ,0,0.2145
2012,NUTS,2010,CZ,0,0.2391
2013,NUTS,2010,CZ,0,0.2269
2014,NUTS,2010,CZ,0,0.2246
2015,NUTS,2010,CZ,0,0.2302
2016,NUTS,2010,CZ,0,0.2096
2017,NUTS,2010,CZ,0,0.2135
2018,NUTS,2010,CZ,0,0.2332
2019,NUTS,2010,CZ,0,0.2458
2020,NUTS,2010,CZ,0,0.2621
1999,NUTS,2010,CZ0,1,0.0717
2000,NUTS,2010,CZ0,1,0.0806
2001,NUTS,2010,CZ0,1,0.0908
2002,NUTS,2010,CZ0,1,0.0905
2003,NUTS,2010,CZ0,1,0.0918
2004,NUTS,2010,CZ0,1,0.0913
2005,NUTS,2010,CZ0,1,0.1629
2006,NUTS,2010,CZ0,1,0.1769
2007,NUTS,2010,CZ0,1,0.1788
2008,NUTS,2010,CZ0,1,0.1907
2009,NUTS,2010,CZ0,1,0.1987
2010,NUTS,2010,CZ0,1,0.207
2011,NUTS,2010,CZ0,1,0.2112
2012,NUTS,2010,CZ0,1,0.2351
2013,NUTS,2010,CZ0,1,0.2227
2014,NUTS,2010,CZ0,1,0.2204
2015,NUTS,2010,CZ0,1,0.2253
2016,NUTS,2010,CZ0,1,0.2046
2017,NUTS,2010,CZ0,1,0.2083
2018,NUTS,2010,CZ0,1,0.2267
2019,NUTS,2010,CZ0,1,0.2388
2020,NUTS,2010,CZ0,1,0.2547
2001,NUTS,2010,CZ01,2,0.3304
2002,NUTS,2010,CZ01,2,0.3637
2003,NUTS,2010,CZ01,2,0.3945
2004,NUTS,2010,CZ01,2,0.3577
2005,NUTS,2010,CZ01,2,0.5135
2006,NUTS,2010,CZ01,2,0.5693
2007,NUTS,2010,CZ01,2,0.647
2008,NUTS,2010,CZ01,2,0.6446
2009,NUTS,2010,CZ01,2,0.6574
2010,NUTS,2010,CZ01,2,0.6645
2011,NUTS,2010,CZ01,2,0.6888
2012,NUTS,2010,CZ01,2,0.6523
2013,NUTS,2010,CZ01,2,0.7348
2014,NUTS,2010,CZ01,2,0.6805
2015,NUTS,2010,CZ01,2,0.6845
2016,NUTS,2010,CZ01,2,0.5639
2017,NUTS,2010,CZ01,2,0.6232
2018,NUTS,2010,CZ01,2,0.7016
2019,NUTS,2010,CZ01,2,0.7693
2020,NUTS,2010,CZ01,2,0.8097
2001,NUTS,2010,CZ02,2,0.0
2002,NUTS,2010,CZ02,2,0.0
2003,NUTS,2010,CZ02,2,0.0
2004,NUTS,2010,CZ02,2,0.0
2005,NUTS,2010,CZ02,2,0.0014
2006,NUTS,2010,CZ02,2,0.0043
2007,NUTS,2010,CZ02,2,0.0045
2008,NUTS,2010,CZ02,2,0.0067
2009,NUTS,2010,CZ02,2,0.0052
2010,NUTS,2010,CZ02,2,0.005
2011,NUTS,2010,CZ02,2,0.0127
2012,NUTS,2010,CZ02,2,0.0141
2013,NUTS,2010,CZ02,2,0.0145
2014,NUTS,2010,CZ02,2,0.0205
2015,NUTS,2010,CZ02,2,0.0253
2016,NUTS,2010,CZ02,2,0.0201
2017,NUTS,2010,CZ02,2,0.0236
2018,NUTS,2010,CZ02,2,0.0251
2019,NUTS,2010,CZ02,2,0.0277
2020,NUTS,2010,CZ02,2,0.0269
2001,NUTS,2010,CZ03,2,0.0844
2002,NUTS,2010,CZ03,2,0.0767
2003,NUTS,2010,CZ03,2,0.0468
2004,NUTS,2010,CZ03,2,0.0418
2005,NUTS,2010,CZ03,2,0.1199
2006,NUTS,2010,CZ03,2,0.0995
2007,NUTS,2010,CZ03,2,0.091
2008,NUTS,2010,CZ03,2,0.0933
2009,NUTS,2010,CZ03,2,0.1055
2010,NUTS,2010,CZ03,2,0.144
2011,NUTS,2010,CZ03,2,0.1716
2012,NUTS,2010,CZ03,2,0.1602
2013,NUTS,2010,CZ03,2,0.18
2014,NUTS,2010,CZ03,2,0.1948
2015,NUTS,2010,CZ03,2,0.1729
2016,NUTS,2010,CZ03,2,0.1665
2017,NUTS,2010,CZ03,2,0.1731
2018,NUTS,2010,CZ03,2,0.1831
2019,NUTS,2010,CZ03,2,0.1891
2020,NUTS,2010,CZ03,2,0.1997
2001,NUTS,2010,CZ04,2,0.0218
2002,NUTS,2010,CZ04,2,0.0174
2003,NUTS,2010,CZ04,2,0.013
2004,NUTS,2010,CZ04,2,0.0175
2005,NUTS,2010,CZ04,2,0.0225
2006,NUTS,2010,CZ04,2,0.0329
2007,NUTS,2010,CZ04,2,0.0299
2008,NUTS,2010,CZ04,2,0.0273
2009,NUTS,2010,CZ04,2,0.0278
2010,NUTS,2010,CZ04,2,0.0288
2011,NUTS,2010,CZ04,2,0.0266
2012,NUTS,2010,CZ04,2,0.032
2013,NUTS,2010,CZ04,2,0.0404
2014,NUTS,2010,CZ04,2,0.0401
2015,NUTS,2010,CZ04,2,0.0452
2016,NUTS,2010,CZ04,2,0.0404
2017,NUTS,2010,CZ04,2,0.0471
2018,NUTS,2010,CZ04,2,0.0579
2019,NUTS,2010,CZ04,2,0.042
2020,NUTS,2010,CZ04,2,0.0343
2001,NUTS,2010,CZ05,2,0.0374
2002,NUTS,2010,CZ05,2,0.0409
2003,NUTS,2010,CZ05,2,0.043
2004,NUTS,2010,CZ05,2,0.0579
2005,NUTS,2010,CZ05,2,0.1044
2006,NUTS,2010,CZ05,2,0.1442
2007,NUTS,2010,CZ05,2,0.125
2008,NUTS,2010,CZ05,2,0.1049
2009,NUTS,2010,CZ05,2,0.0876
2010,NUTS,2010,CZ05,2,0.0907
2011,NUTS,2010,CZ05,2,0.1471
2012,NUTS,2010,CZ05,2,0.1269
2013,NUTS,2010,CZ05,2,0.122
2014,NUTS,2010,CZ05,2,0.1244
2015,NUTS,2010,CZ05,2,0.1284
2016,NUTS,2010,CZ05,2,0.1222
2017,NUTS,2010,CZ05,2,0.1308
2018,NUTS,2010,CZ05,2,0.1397
2019,NUTS,2010,CZ05,2,0.1473
2020,NUTS,2010,CZ05,2,0.1506
2001,NUTS,2010,CZ06,2,0.0994
2002,NUTS,2010,CZ06,2,0.0876
2003,NUTS,2010,CZ06,2,0.0945
2004,NUTS,2010,CZ06,2,0.1019
2005,NUTS,2010,CZ06,2,0.1956
2006,NUTS,2010,CZ06,2,0.2076
2007,NUTS,2010,CZ06,2,0.2039
2008,NUTS,2010,CZ06,2,0.2905
2009,NUTS,2010,CZ06,2,0.3038
2010,NUTS,2010,CZ06,2,0.3068
2011,NUTS,2010,CZ06,2,0.2386
2012,NUTS,2010,CZ06,2,0.3423
2013,NUTS,2010,CZ06,2,0.2411
2014,NUTS,2010,CZ06,2,0.2416
2015,NUTS,2010,CZ06,2,0.2565
2016,NUTS,2010,CZ06,2,0.2506
2017,NUTS,2010,CZ06,2,0.2504
2018,NUTS,2010,CZ06,2,0.2537
2019,NUTS,2010,CZ06,2,0.2417
2020,NUTS,2010,CZ06,2,0.2934
2001,NUTS,2010,CZ07,2,0.0585
2002,NUTS,2010,CZ07,2,0.0391
2003,NUTS,2010,CZ07,2,0.0466
2004,NUTS,2010,CZ07,2,0.0596
2005,NUTS,2010,CZ07,2,0.1647
2006,NUTS,2010,CZ07,2,0.1512
2007,NUTS,2010,CZ07,2,0.1137
2008,NUTS,2010,CZ07,2,0.1211
2009,NUTS,2010,CZ07,2,0.1171
2010,NUTS,2010,CZ07,2,0.1377
2011,NUTS,2010,CZ07,2,0.1444
2012,NUTS,2010,CZ07,2,0.1948
2013,NUTS,2010,CZ07,2,0.2271
2014,NUTS,2010,CZ07,2,0.24
2015,NUTS,2010,CZ07,2,0.2593
2016,NUTS,2010,CZ07,2,0.2553
2017,NUTS,2010,CZ07,2,0.1869
2018,NUTS,2010,CZ07,2,0.1902
2019,NUTS,2010,CZ07,2,0.2239
2020,NUTS,2010,CZ07,2,0.2193
2001,NUTS,2010,CZ08,2,0.0688
2002,NUTS,2010,CZ08,2,0.0755
2003,NUTS,2010,CZ08,2,0.0688
2004,NUTS,2010,CZ08,2,0.0651
2005,NUTS,2010,CZ08,2,0.132
2006,NUTS,2010,CZ08,2,0.145
2007,NUTS,2010,CZ08,2,0.1575
2008,NUTS,2010,CZ08,2,0.1613
2009,NUTS,2010,CZ08,2,0.1924
2010,NUTS,2010,CZ08,2,0.1861
2011,NUTS,2010,CZ08,2,0.1992
2012,NUTS,2010,CZ08,2,0.2807
2013,NUTS,2010,CZ08,2,0.1619
2014,NUTS,2010,CZ08,2,0.1743
2015,NUTS,2010,CZ08,2,0.1871
2016,NUTS,2010,CZ08,2,0.1768
2017,NUTS,2010,CZ08,2,0.175
2018,NUTS,2010,CZ08,2,0.1965
2019,NUTS,2010,CZ08,2,0.1997
2020,NUTS,2010,CZ08,2,0.2237
1993,NUTS,2010,DE,0,0.1874
1995,NUTS,2010,DE,0,0.1818
1996,NUTS,2010,DE,0,0.1877
1997,NUTS,2010,DE,0,0.1875
1998,NUTS,2010,DE,0,0.1867
1999,NUTS,2010,DE,0,0.1864
2000,NUTS,2010,DE,0,0.1865
2001,NUTS,2010,DE,0,0.1888
2002,NUTS,2010,DE,0,0.1993
2003,NUTS,2010,DE,0,0.1924
2004,NUTS,2010,DE,0,0.1862
2005,NUTS,2010,DE,0,0.1823
2006,NUTS,2010,DE,0,0.1836
2007,NUTS,2010,DE,0,0.1952
2008,NUTS,2010,DE,0,0.2032
2009,NUTS,2010,DE,0,0.2274
2010,NUTS,2010,DE,0,0.2453
2011,NUTS,2010,DE,0,0.2499
2012,NUTS,2010,DE,0,0.257
2013,NUTS,2010,DE,0,0.26
2014,NUTS,2010,DE,0,0.263
2015,NUTS,2010,DE,0,0.2668
2016,NUTS,2010,DE,0,0.2772
2017,NUTS,2010,DE,0,0.2807
2018,NUTS,2010,DE,0,0.2865
2019,NUTS,2010,DE,0,0.2826
2020,NUTS,2010,DE,0,0.299
1999,NUTS,2010,DE1,1,0.1817
2000,NUTS,2010,DE1,1,0.1796
2003,NUTS,2010,DE1,1,0.1926
2004,NUTS,2010,DE1,1,0.1883
2005,NUTS,2010,DE1,1,0.1818
2006,NUTS,2010,DE1,1,0.1742
2007,NUTS,2010,DE1,1,0.1889
2008,NUTS,2010,DE1,1,0.2002
2009,NUTS,2010,DE1,1,0.2275
2010,NUTS,2010,DE1,1,0.2503
2011,NUTS,2010,DE1,1,0.2443
2012,NUTS,2010,DE1,1,0.2595
2013,NUTS,2010,DE1,1,0.2596
2014,NUTS,2010,DE1,1,0.2581
2015,NUTS,2010,DE1,1,0.2542
2016,NUTS,2010,DE1,1,0.2713
2017,NUTS,2010,DE1,1,0.2749
2018,NUTS,2010,DE1,1,0.2771
2019,NUTS,2010,DE1,1,0.2694
1999,NUTS,2010,DE11,2,0.1182
2000,NUTS,2010,DE11,2,0.1189
2003,NUTS,2010,DE11,2,0.125
2004,NUTS,2010,DE11,2,0.1221
2005,NUTS,2010,DE11,2,0.1159
2006,NUTS,2010,DE11,2,0.109
2007,NUTS,2010,DE11,2,0.1127
2008,NUTS,2010,DE11,2,0.1163
2009,NUTS,2010,DE11,2,0.13
2010,NUTS,2010,DE11,2,0.1475
2011,NUTS,2010,DE11,2,0.1429
2012,NUTS,2010,DE11,2,0.1558
2013,NUTS,2010,DE11,2,0.157
2014,NUTS,2010,DE11,2,0.1517
2015,NUTS,2010,DE11,2,0.1519
2016,NUTS,2010,DE11,2,0.1693
2017,NUTS,2010,DE11,2,0.1697
2018,NUTS,2010,DE11,2,0.1661
2019,NUTS,2010,DE11,2,0.162
1999,NUTS,2010,DE12,2,0.2517
2000,NUTS,2010,DE12,2,0.2319
2003,NUTS,2010,DE12,2,0.2618
2004,NUTS,2010,DE12,2,0.268
2005,NUTS,2010,DE12,2,0.2607
2006,NUTS,2010,DE12,2,0.2601
2007,NUTS,2010,DE12,2,0.2751
2008,NUTS,2010,DE12,2,0.2946
2009,NUTS,2010,DE12,2,0.3492
2010,NUTS,2010,DE12,2,0.3879
2011,NUTS,2010,DE12,2,0.3798
2012,NUTS,2010,DE12,2,0.3923
2013,NUTS,2010,DE12,2,0.3855
2014,NUTS,2010,DE12,2,0.3833
