year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_avi_p_mhab
2011,NUTS,2010,DE21K,3,15.614
2012,NUTS,2010,DE21K,3,5.974
2011,NUTS,2010,DE21L,3,3.838
2012,NUTS,2010,DE21L,3,8.207
2011,NUTS,2010,DE21M,3,1.935
2011,NUTS,2010,DE21N,3,3.819
2012,NUTS,2010,DE21N,3,5.105
2011,NUTS,2010,DE22,2,1.614
2012,NUTS,2010,DE22,2,1.325
2011,NUTS,2010,DE221,3,5.217
2012,NUTS,2010,DE224,3,2.814
2011,NUTS,2010,DE226,3,2.21
2011,NUTS,2010,DE227,3,8.939
2012,NUTS,2010,DE227,3,1.673
2012,NUTS,2010,DE22C,3,10.932
2012,NUTS,2010,DE23,2,0.231
2012,NUTS,2010,DE231,3,5.743
2011,NUTS,2010,DE24,2,0.775
2011,NUTS,2010,DE241,3,7.142
2011,NUTS,2010,DE242,3,4.54
2011,NUTS,2010,DE25,2,0.339
2012,NUTS,2010,DE25,2,1.646
2011,NUTS,2010,DE252,3,3.124
2012,NUTS,2010,DE252,3,6.301
2011,NUTS,2010,DE254,3,0.494
2012,NUTS,2010,DE254,3,0.979
2012,NUTS,2010,DE257,3,12.647
2011,NUTS,2010,DE27,2,4.493
2012,NUTS,2010,DE27,2,3.353
2011,NUTS,2010,DE271,3,8.727
2012,NUTS,2010,DE271,3,1.875
2011,NUTS,2010,DE275,3,1.094
2011,NUTS,2010,DE276,3,4.665
2011,NUTS,2010,DE279,3,4.533
2012,NUTS,2010,DE279,3,1.505
2011,NUTS,2010,DE27A,3,16.673
2012,NUTS,2010,DE27A,3,12.516
2011,NUTS,2010,DE27C,3,1.477
2011,NUTS,2010,DE27D,3,16.839
2012,NUTS,2010,DE27D,3,32.914
2011,NUTS,2010,DE3,1,1.3
2012,NUTS,2010,DE3,1,0.951
2011,NUTS,2010,DE30,2,1.3
2012,NUTS,2010,DE30,2,0.951
2011,NUTS,2010,DE300,3,1.3
2012,NUTS,2010,DE300,3,0.951
2011,NUTS,2010,DE4,1,0.399
2012,NUTS,2010,DE4,1,0.1
2011,NUTS,2010,DE40,2,0.399
2012,NUTS,2010,DE40,2,0.1
2011,NUTS,2010,DE406,3,6.18
2012,NUTS,2010,DE408,3,1.611
2011,NUTS,2010,DE5,1,16.482
2012,NUTS,2010,DE5,1,8.544
2011,NUTS,2010,DE50,2,16.482
2012,NUTS,2010,DE50,2,8.544
2011,NUTS,2010,DE501,3,19.896
2012,NUTS,2010,DE501,3,10.304
2011,NUTS,2010,DE6,1,23.835
2012,NUTS,2010,DE6,1,30.648
2011,NUTS,2010,DE60,2,23.835
2012,NUTS,2010,DE60,2,30.648
2011,NUTS,2010,DE600,3,23.835
2012,NUTS,2010,DE600,3,30.648
2011,NUTS,2010,DE7,1,0.92
2012,NUTS,2010,DE7,1,2.042
2011,NUTS,2010,DE71,2,0.612
2012,NUTS,2010,DE71,2,1.173
2012,NUTS,2010,DE711,3,6.709
2012,NUTS,2010,DE712,3,1.446
2012,NUTS,2010,DE714,3,1.793
2012,NUTS,2010,DE718,3,2.19
2011,NUTS,2010,DE71C,3,2.958
2012,NUTS,2010,DE71C,3,2.94
2011,NUTS,2010,DE71E,3,4.463
2012,NUTS,2010,DE71E,3,1.675
2011,NUTS,2010,DE72,2,0.96
2012,NUTS,2010,DE72,2,3.068
2012,NUTS,2010,DE721,3,7.77
2011,NUTS,2010,DE722,3,3.944
2012,NUTS,2010,DE722,3,4.713
2011,NUTS,2010,DE73,2,1.844
2012,NUTS,2010,DE73,2,3.903
2011,NUTS,2010,DE731,3,5.984
2012,NUTS,2010,DE731,3,9.312
2011,NUTS,2010,DE732,3,1.151
2012,NUTS,2010,DE732,3,1.154
2011,NUTS,2010,DE734,3,3.502
2012,NUTS,2010,DE734,3,9.18
2012,NUTS,2010,DE737,3,4.849
2012,NUTS,2010,DE8,1,0.122
2012,NUTS,2010,DE80,2,0.122
2012,NUTS,2010,DE803,3,0.979
2011,NUTS,2010,DE9,1,3.078
2012,NUTS,2010,DE9,1,4.605
2011,NUTS,2010,DE91,2,2.641
2012,NUTS,2010,DE91,2,2.26
2011,NUTS,2010,DE911,3,13.059
2012,NUTS,2010,DE911,3,11.055
2012,NUTS,2010,DE913,3,3.018
2011,NUTS,2010,DE915,3,2.904
2011,NUTS,2010,DE91B,3,2.049
2012,NUTS,2010,DE91B,3,4.111
2011,NUTS,2010,DE92,2,0.444
2012,NUTS,2010,DE92,2,2.957
2011,NUTS,2010,DE922,3,4.448
2012,NUTS,2010,DE922,3,18.37
2012,NUTS,2010,DE925,3,0.391
2012,NUTS,2010,DE929,3,2.007
2011,NUTS,2010,DE93,2,10.619
2012,NUTS,2010,DE93,2,14.298
2012,NUTS,2010,DE932,3,2.507
2011,NUTS,2010,DE933,3,25.317
2012,NUTS,2010,DE933,3,29.719
2012,NUTS,2010,DE935,3,6.57
2011,NUTS,2010,DE936,3,4.469
2012,NUTS,2010,DE936,3,11.905
2011,NUTS,2010,DE937,3,1.221
2012,NUTS,2010,DE937,3,10.555
2011,NUTS,2010,DE939,3,52.503
2012,NUTS,2010,DE939,3,48.856
2011,NUTS,2010,DE93B,3,5.024
2012,NUTS,2010,DE93B,3,18.191
2011,NUTS,2010,DE94,2,0.484
2012,NUTS,2010,DE94,2,0.939
2011,NUTS,2010,DE943,3,3.083
2012,NUTS,2010,DE943,3,2.031
2012,NUTS,2010,DE949,3,0.797
2011,NUTS,2010,DE94D,3,5.5
2012,NUTS,2010,DE94D,3,13.715
2011,NUTS,2010,DEA,1,0.458
2012,NUTS,2010,DEA,1,0.303
2012,NUTS,2010,DEA1,2,0.078
2012,NUTS,2010,DEA1A,3,0.572
2012,NUTS,2010,DEA1C,3,0.404
2011,NUTS,2010,DEA2,2,0.569
2012,NUTS,2010,DEA2,2,0.454
2011,NUTS,2010,DEA22,3,6.156
2012,NUTS,2010,DEA23,3,1.18
2012,NUTS,2010,DEA24,3,1.241
2012,NUTS,2010,DEA2C,3,0.333
2011,NUTS,2010,DEA2D,3,0.884
2012,NUTS,2010,DEA2D,3,0.706
2011,NUTS,2010,DEA4,2,0.407
2012,NUTS,2010,DEA4,2,0.737
2011,NUTS,2010,DEA42,3,0.933
2012,NUTS,2010,DEA42,3,1.41
2011,NUTS,2010,DEA47,3,1.668
2012,NUTS,2010,DEA47,3,3.321
2011,NUTS,2010,DEA5,2,1.32
2012,NUTS,2010,DEA5,2,0.411
2011,NUTS,2010,DEA5A,3,4.705
2011,NUTS,2010,DEA5B,3,9.863
2012,NUTS,2010,DEA5B,3,4.939
2011,NUTS,2010,DEA5C,3,1.214
2011,NUTS,2010,DEB,1,1.706
2012,NUTS,2010,DEB,1,0.083
2011,NUTS,2010,DEB1,2,3.593
2011,NUTS,2010,DEB11,3,40.689
2011,NUTS,2010,DEB1A,3,4.045
2011,NUTS,2010,DEB1B,3,2.518
2011,NUTS,2010,DEB3,2,0.747
2012,NUTS,2010,DEB3,2,0.164
2011,NUTS,2010,DEB35,3,1.656
2011,NUTS,2010,DEB38,3,3.41
2012,NUTS,2010,DEB3F,3,3.155
2011,NUTS,2010,DEB3K,3,10.113
2011,NUTS,2010,DEC,1,0.983
2011,NUTS,2010,DED,1,0.241
2012,NUTS,2010,DED,1,0.321
2011,NUTS,2010,DED2,2,0.615
2012,NUTS,2010,DED2,2,0.616
2011,NUTS,2010,DED21,3,0.956
2012,NUTS,2010,DED21,3,1.265
2012,NUTS,2010,DED2C,3,1.036
2011,NUTS,2010,DED2F,3,1.982
2012,NUTS,2010,DED4,2,0.218
2012,NUTS,2010,DED44,3,1.366
2012,NUTS,2010,DEE,1,0.173
2012,NUTS,2010,DEE0,2,0.173
2012,NUTS,2010,DEE07,3,2.256
2011,NUTS,2010,DEF,1,3.687
2012,NUTS,2010,DEF,1,8.134
2011,NUTS,2010,DEF0,2,3.687
2012,NUTS,2010,DEF0,2,8.134
2011,NUTS,2010,DEF03,3,2.378
2012,NUTS,2010,DEF03,3,4.132
2011,NUTS,2010,DEF06,3,10.702
2012,NUTS,2010,DEF06,3,21.717
2011,NUTS,2010,DEF08,3,15.065
2012,NUTS,2010,DEF08,3,35.18
2011,NUTS,2010,DEF09,3,11.533
2012,NUTS,2010,DEF09,3,11.472
2011,NUTS,2010,DEF0B,3,1.223
2012,NUTS,2010,DEF0D,3,20.492
2012,NUTS,2010,DEF0E,3,14.969
2011,NUTS,2010,DEF0F,3,4.483
2012,NUTS,2010,DEF0F,3,0.736
2011,NUTS,2010,DEG,1,0.671
2012,NUTS,2010,DEG,1,0.149
2011,NUTS,2010,DEG0,2,0.671
2012,NUTS,2010,DEG0,2,0.149
2012,NUTS,2010,DEG03,3,3.129
2011,NUTS,2010,DEG0F,3,4.45
2011,NUTS,2010,DEG0J,3,11.52
2011,NUTS,2010,DK,0,1.349
2012,NUTS,2010,DK,0,0.179
2011,NUTS,2010,DK0,1,1.349
2012,NUTS,2010,DK0,1,0.179
2011,NUTS,2010,DK01,2,0.294
2011,NUTS,2010,DK011,3,0.722
2011,NUTS,2010,DK02,2,1.83
2011,NUTS,2010,DK022,3,2.567
2011,NUTS,2010,DK03,2,2.915
2012,NUTS,2010,DK03,2,0.832
2011,NUTS,2010,DK032,3,4.89
2012,NUTS,2010,DK032,3,1.396
2011,NUTS,2010,DK04,2,1.586
2011,NUTS,2010,DK042,3,2.398
2011,NUTS,2010,ES,0,0.582
2012,NUTS,2010,ES,0,0.776
2011,NUTS,2010,ES2,1,0.223
2012,NUTS,2010,ES2,1,0.149
2012,NUTS,2010,ES21,2,0.307
2012,NUTS,2010,ES212,3,0.946
2011,NUTS,2010,ES22,2,1.57
2011,NUTS,2010,ES220,3,1.57
2011,NUTS,2010,ES3,1,3.624
2012,NUTS,2010,ES3,1,4.773
2011,NUTS,2010,ES30,2,3.624
2012,NUTS,2010,ES30,2,4.773
2011,NUTS,2010,ES300,3,3.624
2012,NUTS,2010,ES300,3,4.773
2011,NUTS,2010,ES4,1,0.174
2012,NUTS,2010,ES4,1,0.087
2012,NUTS,2010,ES41,2,0.197
2012,NUTS,2010,ES418,3,0.939
2011,NUTS,2010,ES42,2,0.476
2011,NUTS,2010,ES425,3,1.426
2011,NUTS,2010,ES5,1,0.147
2012,NUTS,2010,ES5,1,0.147
2011,NUTS,2010,ES51,2,0.267
2012,NUTS,2010,ES51,2,0.266
2011,NUTS,2010,ES511,3,0.363
2012,NUTS,2010,ES511,3,0.362
2012,NUTS,2010,ES6,1,0.217
2012,NUTS,2010,ES61,2,0.14
2012,NUTS,2010,ES612,3,0.233
2012,NUTS,2010,ES618,3,0.455
2012,NUTS,2010,ES62,2,0.684
2012,NUTS,2010,ES620,3,0.684
2011,NUTS,2010,FI,0,0.372
2012,NUTS,2010,FI,0,0.133
2011,NUTS,2010,FI1,1,0.374
2012,NUTS,2010,FI1,1,0.125
2011,NUTS,2010,FI1B,2,0.653
2012,NUTS,2010,FI1B,2,0.433
2011,NUTS,2010,FI1B1,3,0.653
2012,NUTS,2010,FI1B1,3,0.433
2011,NUTS,2010,FI1C,2,0.864
2011,NUTS,2010,FI1C3,3,4.956
2011,NUTS,2010,FR,0,3.889
2012,NUTS,2010,FR,0,3.011
2011,NUTS,2010,FR1,1,5.849
2012,NUTS,2010,FR1,1,4.977
2011,NUTS,2010,FR10,2,5.849
2012,NUTS,2010,FR10,2,4.977
2011,NUTS,2010,FR101,3,5.44
2012,NUTS,2010,FR101,3,2.852
2011,NUTS,2010,FR102,3,12.208
2012,NUTS,2010,FR102,3,7.57
2011,NUTS,2010,FR103,3,15.612
2012,NUTS,2010,FR103,3,17.092
2011,NUTS,2010,FR104,3,3.469
2012,NUTS,2010,FR104,3,2.958
2011,NUTS,2010,FR105,3,5.014
2012,NUTS,2010,FR105,3,7.129
2011,NUTS,2010,FR106,3,0.438
2012,NUTS,2010,FR106,3,1.189
2011,NUTS,2010,FR107,3,1.5
2012,NUTS,2010,FR107,3,0.745
2011,NUTS,2010,FR108,3,3.245
2012,NUTS,2010,FR108,3,0.539
2011,NUTS,2010,FR2,1,2.956
2012,NUTS,2010,FR2,1,1.558
2011,NUTS,2010,FR22,2,0.261
2012,NUTS,2010,FR22,2,0.39
2011,NUTS,2010,FR222,3,0.621
2012,NUTS,2010,FR222,3,0.926
2011,NUTS,2010,FR23,2,10.781
2012,NUTS,2010,FR23,2,4.752
2011,NUTS,2010,FR231,3,5.526
2012,NUTS,2010,FR231,3,2.992
2011,NUTS,2010,FR232,3,13.25
2012,NUTS,2010,FR232,3,5.582
2011,NUTS,2010,FR24,2,3.716
2012,NUTS,2010,FR24,2,2.844
2011,NUTS,2010,FR241,3,11.229
2012,NUTS,2010,FR241,3,9.619
2012,NUTS,2010,FR242,3,2.314
2011,NUTS,2010,FR243,3,18.812
2012,NUTS,2010,FR243,3,14.386
2011,NUTS,2010,FR244,3,2.24
2011,NUTS,2010,FR245,3,0.996
2011,NUTS,2010,FR25,2,0.339
2011,NUTS,2010,FR251,3,0.73
2011,NUTS,2010,FR26,2,0.913
2011,NUTS,2010,FR262,3,2.29
2011,NUTS,2010,FR263,3,1.799
2011,NUTS,2010,FR3,1,0.322
2011,NUTS,2010,FR30,2,0.322
2011,NUTS,2010,FR301,3,0.407
2011,NUTS,2010,FR302,3,0.171
2011,NUTS,2010,FR4,1,0.046
2011,NUTS,2010,FR41,2,0.106
2011,NUTS,2010,FR414,3,0.66
2011,NUTS,2010,FR5,1,1.157
2012,NUTS,2010,FR5,1,0.46
2011,NUTS,2010,FR51,2,1.652
2012,NUTS,2010,FR51,2,0.661
2011,NUTS,2010,FR511,3,4.59
2012,NUTS,2010,FR511,3,1.827
2011,NUTS,2010,FR52,2,0.311
2012,NUTS,2010,FR52,2,0.154
2011,NUTS,2010,FR521,3,1.682
2012,NUTS,2010,FR522,3,0.555
2011,NUTS,2010,FR53,2,1.688
2012,NUTS,2010,FR53,2,0.605
2011,NUTS,2010,FR532,3,3.197
2012,NUTS,2010,FR532,3,1.718
2011,NUTS,2010,FR534,3,2.334
2011,NUTS,2010,FR6,1,12.927
2012,NUTS,2010,FR6,1,9.283
2011,NUTS,2010,FR61,2,2.56
2012,NUTS,2010,FR61,2,3.22
2011,NUTS,2010,FR612,3,3.471
2012,NUTS,2010,FR612,3,3.255
2012,NUTS,2010,FR613,3,1.273
2012,NUTS,2010,FR614,3,0.994
2011,NUTS,2010,FR615,3,4.95
2012,NUTS,2010,FR615,3,7.445
2011,NUTS,2010,FR62,2,27.846
2012,NUTS,2010,FR62,2,18.349
2011,NUTS,2010,FR622,3,3.626
2012,NUTS,2010,FR622,3,0.905
2011,NUTS,2010,FR623,3,56.522
2012,NUTS,2010,FR623,3,35.409
2011,NUTS,2010,FR624,3,18.529
2012,NUTS,2010,FR624,3,1.794
2011,NUTS,2010,FR625,3,9.556
2012,NUTS,2010,FR625,3,24.836
2012,NUTS,2010,FR626,3,10.924
2011,NUTS,2010,FR627,3,3.098
2012,NUTS,2010,FR627,3,1.319
2011,NUTS,2010,FR628,3,9.323
2012,NUTS,2010,FR628,3,1.944
2012,NUTS,2010,FR63,2,0.338
2012,NUTS,2010,FR633,3,0.665
2011,NUTS,2010,FR7,1,0.786
2012,NUTS,2010,FR7,1,0.62
2011,NUTS,2010,FR71,2,0.637
2012,NUTS,2010,FR71,2,0.752
2012,NUTS,2010,FR711,3,0.817
2011,NUTS,2010,FR712,3,0.536
2011,NUTS,2010,FR713,3,3.074
2012,NUTS,2010,FR713,3,2.035
2011,NUTS,2010,FR714,3,1.234
2012,NUTS,2010,FR714,3,2.555
2011,NUTS,2010,FR717,3,1.599
2011,NUTS,2010,FR718,3,0.228
2012,NUTS,2010,FR718,3,0.185
2011,NUTS,2010,FR72,2,1.481
2011,NUTS,2010,FR724,3,3.147
2011,NUTS,2010,FR8,1,5.677
2012,NUTS,2010,FR8,1,5.897
2011,NUTS,2010,FR81,2,0.375
2011,NUTS,2010,FR812,3,0.459
2011,NUTS,2010,FR813,3,0.631
2011,NUTS,2010,FR82,2,8.92
2012,NUTS,2010,FR82,2,9.399
2011,NUTS,2010,FR823,3,6.012
2012,NUTS,2010,FR823,3,11.09
2011,NUTS,2010,FR824,3,17.638
2012,NUTS,2010,FR824,3,17.004
2011,NUTS,2010,FR825,3,1.481
2012,NUTS,2010,FR825,3,0.137
2011,NUTS,2010,FR826,3,1.829
2012,NUTS,2010,FR826,3,0.915
2012,NUTS,2010,FR83,2,1.581
2012,NUTS,2010,FR831,3,3.438
2011,NUTS,2010,HU,0,0.025
2011,NUTS,2010,HU1,1,0.084
2011,NUTS,2010,HU10,2,0.084
2011,NUTS,2010,HU101,3,0.144
2011,NUTS,2010,IT,0,0.497
2012,NUTS,2010,IT,0,0.32
2011,NUTS,2010,ITC,1,1.314
2012,NUTS,2010,ITC,1,0.889
2011,NUTS,2010,ITC1,2,1.528
2011,NUTS,2010,ITC11,3,2.524
2011,NUTS,2010,ITC15,3,2.737
2011,NUTS,2010,ITC3,2,1.271
2012,NUTS,2010,ITC3,2,0.638
2011,NUTS,2010,ITC34,3,9.106
2012,NUTS,2010,ITC34,3,4.572
2011,NUTS,2010,ITC4,2,1.242
2012,NUTS,2010,ITC4,2,1.34
2011,NUTS,2010,ITC41,3,10.549
2012,NUTS,2010,ITC41,3,8.607
2011,NUTS,2010,ITC42,3,1.54
2012,NUTS,2010,ITC43,3,2.975
2011,NUTS,2010,ITC46,3,0.924
2011,NUTS,2010,ITC48,3,0.374
2011,NUTS,2010,ITC4C,3,0.242
2012,NUTS,2010,ITC4C,3,1.482
2011,NUTS,2010,ITF,1,0.072
2012,NUTS,2010,ITF,1,0.143
2011,NUTS,2010,ITF3,2,0.173
2012,NUTS,2010,ITF3,2,0.347
2012,NUTS,2010,ITF31,3,1.105
2011,NUTS,2010,ITF33,3,0.327
2012,NUTS,2010,ITF33,3,0.328
2011,NUTS,2010,ITG,1,0.15
2012,NUTS,2010,ITG,1,0.151
2011,NUTS,2010,ITG1,2,0.2
2012,NUTS,2010,ITG1,2,0.2
2011,NUTS,2010,ITG13,3,1.535
2012,NUTS,2010,ITG14,3,2.24
2011,NUTS,2010,ITH,1,0.284
2012,NUTS,2010,ITH,1,0.087
2011,NUTS,2010,ITH1,2,1.993
2011,NUTS,2010,ITH10,3,1.993
2011,NUTS,2010,ITH3,2,0.052
2011,NUTS,2010,ITH32,3,0.291
2012,NUTS,2010,ITH4,2,0.821
2012,NUTS,2010,ITH41,3,3.219
2011,NUTS,2010,ITH5,2,0.462
2011,NUTS,2010,ITH52,3,0.469
2011,NUTS,2010,ITH53,3,0.775
2011,NUTS,2010,ITH55,3,0.411
2011,NUTS,2010,ITH56,3,2.823
2011,NUTS,2010,ITI,1,0.223
2012,NUTS,2010,ITI,1,0.086
2011,NUTS,2010,ITI1,2,0.068
2011,NUTS,2010,ITI11,3,1.25
2011,NUTS,2010,ITI2,2,0.373
2011,NUTS,2010,ITI21,3,0.504
2011,NUTS,2010,ITI4,2,0.365
2012,NUTS,2010,ITI4,2,0.182
2011,NUTS,2010,ITI43,3,0.251
2012,NUTS,2010,ITI43,3,0.25
2011,NUTS,2010,ITI44,3,1.846
2012,NUTS,2010,LU,0,1.905
2012,NUTS,2010,LU0,1,1.905
2012,NUTS,2010,LU00,2,1.905
2012,NUTS,2010,LU000,3,1.905
2012,NUTS,2010,LV,0,0.489
2012,NUTS,2010,LV0,1,0.489
2012,NUTS,2010,LV00,2,0.489
2012,NUTS,2010,LV006,3,1.539
2011,NUTS,2010,NL,0,0.312
2012,NUTS,2010,NL,0,0.622
2011,NUTS,2010,NL2,1,0.34
2012,NUTS,2010,NL2,1,0.615
2012,NUTS,2010,NL21,2,0.439
2012,NUTS,2010,NL211,3,1.396
2011,NUTS,2010,NL22,2,0.599
2012,NUTS,2010,NL22,2,0.587
2011,NUTS,2010,NL221,3,0.305
2012,NUTS,2010,NL224,3,5.0
2011,NUTS,2010,NL226,3,1.406
2012,NUTS,2010,NL23,2,1.264
2012,NUTS,2010,NL230,3,1.264
2011,NUTS,2010,NL3,1,0.358
2012,NUTS,2010,NL3,1,0.915
2012,NUTS,2010,NL31,2,0.339
2012,NUTS,2010,NL310,3,0.339
2011,NUTS,2010,NL32,2,0.568
2012,NUTS,2010,NL32,2,1.731
2012,NUTS,2010,NL321,3,12.069
2011,NUTS,2010,NL324,3,0.905
2012,NUTS,2010,NL324,3,0.9
2011,NUTS,2010,NL326,3,0.26
2011,NUTS,2010,NL327,3,4.09
2011,NUTS,2010,NL33,2,0.36
2012,NUTS,2010,NL33,2,0.591
2011,NUTS,2010,NL332,3,0.247
2012,NUTS,2010,NL332,3,0.927
2011,NUTS,2010,NL333,3,1.53
2012,NUTS,2010,NL333,3,1.827
2012,NUTS,2010,NL338,3,2.514
2011,NUTS,2010,NL339,3,0.52
2012,NUTS,2010,NL339,3,0.142
2011,NUTS,2010,NL4,1,0.335
2012,NUTS,2010,NL4,1,0.279
2011,NUTS,2010,NL41,2,0.489
2012,NUTS,2010,NL41,2,0.406
2011,NUTS,2010,NL413,3,0.313
2011,NUTS,2010,NL414,3,1.353
2012,NUTS,2010,NL414,3,1.347
2011,NUTS,2010,NO,0,0.813
