year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_hc_rse_t
2018,NUTS,2010,CZ07,2,2533.0
2019,NUTS,2010,CZ07,2,2713.0
2020,NUTS,2010,CZ07,2,2491.0
2011,NUTS,2010,CZ08,2,1107.0
2012,NUTS,2010,CZ08,2,1174.0
2013,NUTS,2010,CZ08,2,1194.0
2014,NUTS,2010,CZ08,2,1323.0
2015,NUTS,2010,CZ08,2,1600.0
2016,NUTS,2010,CZ08,2,1760.0
2017,NUTS,2010,CZ08,2,1965.0
2018,NUTS,2010,CZ08,2,1913.0
2019,NUTS,2010,CZ08,2,1875.0
2020,NUTS,2010,CZ08,2,1806.0
2015,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2015,NUTS,2010,CZZZ,2,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,216320.0
2013,NUTS,2010,DE,0,221362.0
2015,NUTS,2010,DE,0,252897.0
2017,NUTS,2010,DE,0,280095.0
2019,NUTS,2010,DE,0,309204.0
2011,NUTS,2010,DE1,1,61175.0
2013,NUTS,2010,DE1,1,63739.0
2015,NUTS,2010,DE1,1,72337.0
2017,NUTS,2010,DE1,1,86821.0
2019,NUTS,2010,DE1,1,93845.0
2011,NUTS,2010,DE11,2,34662.0
2013,NUTS,2010,DE11,2,37515.0
2015,NUTS,2010,DE11,2,42895.0
2017,NUTS,2010,DE11,2,52684.0
2019,NUTS,2010,DE11,2,55641.0
2011,NUTS,2010,DE12,2,11448.0
2013,NUTS,2010,DE12,2,11018.0
2015,NUTS,2010,DE12,2,12863.0
2017,NUTS,2010,DE12,2,16183.0
2019,NUTS,2010,DE12,2,17520.0
2011,NUTS,2010,DE13,2,5825.0
2013,NUTS,2010,DE13,2,5631.0
2015,NUTS,2010,DE13,2,6304.0
2017,NUTS,2010,DE13,2,6989.0
2019,NUTS,2010,DE13,2,8102.0
2011,NUTS,2010,DE14,2,9239.0
2013,NUTS,2010,DE14,2,9575.0
2015,NUTS,2010,DE14,2,10274.0
2017,NUTS,2010,DE14,2,10964.0
2019,NUTS,2010,DE14,2,12581.0
2011,NUTS,2010,DE2,1,48700.0
2013,NUTS,2010,DE2,1,49824.0
2015,NUTS,2010,DE2,1,58166.0
2017,NUTS,2010,DE2,1,61693.0
2019,NUTS,2010,DE2,1,71404.0
2011,NUTS,2010,DE21,2,28965.0
2013,NUTS,2010,DE21,2,30235.0
2015,NUTS,2010,DE21,2,34678.0
2017,NUTS,2010,DE21,2,34699.0
2019,NUTS,2010,DE21,2,40407.0
2011,NUTS,2010,DE22,2,1800.0
2013,NUTS,2010,DE22,2,1839.0
2015,NUTS,2010,DE22,2,2125.0
2017,NUTS,2010,DE22,2,2797.0
2019,NUTS,2010,DE22,2,3263.0
2011,NUTS,2010,DE23,2,2390.0
2013,NUTS,2010,DE23,2,2178.0
2015,NUTS,2010,DE23,2,2766.0
2017,NUTS,2010,DE23,2,3587.0
2019,NUTS,2010,DE23,2,4384.0
2011,NUTS,2010,DE24,2,1907.0
2013,NUTS,2010,DE24,2,1972.0
2015,NUTS,2010,DE24,2,2250.0
2017,NUTS,2010,DE24,2,2534.0
2019,NUTS,2010,DE24,2,3692.0
2011,NUTS,2010,DE25,2,7166.0
2013,NUTS,2010,DE25,2,6156.0
2015,NUTS,2010,DE25,2,7539.0
2017,NUTS,2010,DE25,2,7438.0
2019,NUTS,2010,DE25,2,8689.0
2011,NUTS,2010,DE26,2,3626.0
2013,NUTS,2010,DE26,2,3910.0
2015,NUTS,2010,DE26,2,4081.0
2017,NUTS,2010,DE26,2,5865.0
2019,NUTS,2010,DE26,2,6096.0
2011,NUTS,2010,DE27,2,2847.0
2013,NUTS,2010,DE27,2,3534.0
2015,NUTS,2010,DE27,2,4728.0
2017,NUTS,2010,DE27,2,4773.0
2019,NUTS,2010,DE27,2,4874.0
2011,NUTS,2010,DE3,1,7777.0
2013,NUTS,2010,DE3,1,7710.0
2015,NUTS,2010,DE3,1,9418.0
2017,NUTS,2010,DE3,1,9450.0
2019,NUTS,2010,DE3,1,10371.0
2011,NUTS,2010,DE30,2,7777.0
2013,NUTS,2010,DE30,2,7710.0
2015,NUTS,2010,DE30,2,9418.0
2017,NUTS,2010,DE30,2,9450.0
2019,NUTS,2010,DE30,2,10371.0
2011,NUTS,2010,DE4,1,1873.0
2013,NUTS,2010,DE4,1,2095.0
2015,NUTS,2010,DE4,1,2381.0
2017,NUTS,2010,DE4,1,2925.0
2019,NUTS,2010,DE4,1,2992.0
2011,NUTS,2010,DE40,2,1873.0
2013,NUTS,2010,DE40,2,2095.0
2015,NUTS,2010,DE40,2,2381.0
2017,NUTS,2010,DE40,2,2925.0
2019,NUTS,2010,DE40,2,2992.0
2011,NUTS,2010,DE5,1,2619.0
2013,NUTS,2010,DE5,1,1479.0
2015,NUTS,2010,DE5,1,1769.0
2017,NUTS,2010,DE5,1,1661.0
2019,NUTS,2010,DE5,1,2082.0
2011,NUTS,2010,DE50,2,2619.0
2013,NUTS,2010,DE50,2,1479.0
2015,NUTS,2010,DE50,2,1769.0
2017,NUTS,2010,DE50,2,1661.0
2019,NUTS,2010,DE50,2,2082.0
2011,NUTS,2010,DE6,1,3547.0
2013,NUTS,2010,DE6,1,4683.0
2015,NUTS,2010,DE6,1,5051.0
2017,NUTS,2010,DE6,1,6191.0
2019,NUTS,2010,DE6,1,6444.0
2011,NUTS,2010,DE60,2,3547.0
2013,NUTS,2010,DE60,2,4683.0
2015,NUTS,2010,DE60,2,5051.0
2017,NUTS,2010,DE60,2,6191.0
2019,NUTS,2010,DE60,2,6444.0
2011,NUTS,2010,DE7,1,18680.0
2013,NUTS,2010,DE7,1,17396.0
2015,NUTS,2010,DE7,1,22488.0
2017,NUTS,2010,DE7,1,23160.0
2019,NUTS,2010,DE7,1,24177.0
2011,NUTS,2010,DE71,2,15620.0
2013,NUTS,2010,DE71,2,13800.0
2015,NUTS,2010,DE71,2,18011.0
2017,NUTS,2010,DE71,2,18820.0
2019,NUTS,2010,DE71,2,19873.0
2011,NUTS,2010,DE72,2,2021.0
2013,NUTS,2010,DE72,2,2174.0
2015,NUTS,2010,DE72,2,2228.0
2017,NUTS,2010,DE72,2,2288.0
2019,NUTS,2010,DE72,2,2367.0
2011,NUTS,2010,DE73,2,1038.0
2013,NUTS,2010,DE73,2,1422.0
2015,NUTS,2010,DE73,2,2248.0
2017,NUTS,2010,DE73,2,2052.0
2019,NUTS,2010,DE73,2,1937.0
2011,NUTS,2010,DE8,1,1843.0
2013,NUTS,2010,DE8,1,1329.0
2015,NUTS,2010,DE8,1,1337.0
2017,NUTS,2010,DE8,1,1534.0
2019,NUTS,2010,DE8,1,1678.0
2011,NUTS,2010,DE80,2,1843.0
2013,NUTS,2010,DE80,2,1329.0
2015,NUTS,2010,DE80,2,1337.0
2017,NUTS,2010,DE80,2,1534.0
2019,NUTS,2010,DE80,2,1678.0
2011,NUTS,2010,DE9,1,15968.0
2013,NUTS,2010,DE9,1,17530.0
2015,NUTS,2010,DE9,1,18067.0
2017,NUTS,2010,DE9,1,19123.0
2019,NUTS,2010,DE9,1,21326.0
2011,NUTS,2010,DE91,2,8595.0
2013,NUTS,2010,DE91,2,9595.0
2015,NUTS,2010,DE91,2,9464.0
2017,NUTS,2010,DE91,2,10226.0
2019,NUTS,2010,DE91,2,11073.0
2011,NUTS,2010,DE92,2,4694.0
2013,NUTS,2010,DE92,2,4484.0
2015,NUTS,2010,DE92,2,4973.0
2017,NUTS,2010,DE92,2,4587.0
2019,NUTS,2010,DE92,2,5119.0
2011,NUTS,2010,DE93,2,1142.0
2013,NUTS,2010,DE93,2,1401.0
2015,NUTS,2010,DE93,2,1480.0
2017,NUTS,2010,DE93,2,1649.0
2019,NUTS,2010,DE93,2,1804.0
2011,NUTS,2010,DE94,2,1537.0
2013,NUTS,2010,DE94,2,2050.0
2015,NUTS,2010,DE94,2,2151.0
2017,NUTS,2010,DE94,2,2661.0
2019,NUTS,2010,DE94,2,3330.0
2011,NUTS,2010,DEA,1,30382.0
2013,NUTS,2010,DEA,1,31331.0
2015,NUTS,2010,DEA,1,36042.0
2017,NUTS,2010,DEA,1,38815.0
2019,NUTS,2010,DEA,1,42465.0
2011,NUTS,2010,DEA1,2,8909.0
2013,NUTS,2010,DEA1,2,8482.0
2015,NUTS,2010,DEA1,2,10744.0
2017,NUTS,2010,DEA1,2,11393.0
2019,NUTS,2010,DEA1,2,11917.0
2011,NUTS,2010,DEA2,2,9919.0
2013,NUTS,2010,DEA2,2,9043.0
2015,NUTS,2010,DEA2,2,10750.0
2017,NUTS,2010,DEA2,2,11992.0
2019,NUTS,2010,DEA2,2,13605.0
2011,NUTS,2010,DEA3,2,1722.0
2013,NUTS,2010,DEA3,2,1964.0
2015,NUTS,2010,DEA3,2,2037.0
2017,NUTS,2010,DEA3,2,2226.0
2019,NUTS,2010,DEA3,2,2719.0
2011,NUTS,2010,DEA4,2,4614.0
2013,NUTS,2010,DEA4,2,5614.0
2015,NUTS,2010,DEA4,2,5953.0
2017,NUTS,2010,DEA4,2,6364.0
2019,NUTS,2010,DEA4,2,7132.0
2011,NUTS,2010,DEA5,2,5218.0
2013,NUTS,2010,DEA5,2,6228.0
2015,NUTS,2010,DEA5,2,6558.0
2017,NUTS,2010,DEA5,2,6840.0
2019,NUTS,2010,DEA5,2,7092.0
2011,NUTS,2010,DEB,1,6180.0
2013,NUTS,2010,DEB,1,6597.0
2015,NUTS,2010,DEB,1,7713.0
2017,NUTS,2010,DEB,1,7861.0
2019,NUTS,2010,DEB,1,9600.0
2011,NUTS,2010,DEB1,2,1379.0
2013,NUTS,2010,DEB1,2,1297.0
2015,NUTS,2010,DEB1,2,1122.0
2017,NUTS,2010,DEB1,2,1348.0
2019,NUTS,2010,DEB1,2,1776.0
2011,NUTS,2010,DEB2,2,477.0
2013,NUTS,2010,DEB2,2,504.0
2015,NUTS,2010,DEB2,2,425.0
2017,NUTS,2010,DEB2,2,415.0
2019,NUTS,2010,DEB2,2,441.0
2011,NUTS,2010,DEB3,2,4325.0
2013,NUTS,2010,DEB3,2,4796.0
2015,NUTS,2010,DEB3,2,6166.0
2017,NUTS,2010,DEB3,2,6098.0
2019,NUTS,2010,DEB3,2,7383.0
2011,NUTS,2010,DEC,1,1053.0
2013,NUTS,2010,DEC,1,1134.0
2015,NUTS,2010,DEC,1,1125.0
2017,NUTS,2010,DEC,1,1782.0
2019,NUTS,2010,DEC,1,1896.0
2011,NUTS,2010,DEC0,2,1053.0
2013,NUTS,2010,DEC0,2,1134.0
2015,NUTS,2010,DEC0,2,1125.0
2017,NUTS,2010,DEC0,2,1782.0
2019,NUTS,2010,DEC0,2,1896.0
2011,NUTS,2010,DED,1,7873.0
2013,NUTS,2010,DED,1,7810.0
2015,NUTS,2010,DED,1,8344.0
2017,NUTS,2010,DED,1,9279.0
2019,NUTS,2010,DED,1,10266.0
2011,NUTS,2010,DED2,2,4271.0
2013,NUTS,2010,DED2,2,3935.0
2015,NUTS,2010,DED2,2,4490.0
2017,NUTS,2010,DED2,2,5095.0
2019,NUTS,2010,DED2,2,5581.0
2011,NUTS,2010,DED4,2,2642.0
2013,NUTS,2010,DED4,2,3036.0
2015,NUTS,2010,DED4,2,2847.0
2017,NUTS,2010,DED4,2,3058.0
2019,NUTS,2010,DED4,2,3536.0
2011,NUTS,2010,DED5,2,960.0
2013,NUTS,2010,DED5,2,839.0
2015,NUTS,2010,DED5,2,1006.0
2017,NUTS,2010,DED5,2,1125.0
2019,NUTS,2010,DED5,2,1148.0
2011,NUTS,2010,DEE,1,1794.0
2013,NUTS,2010,DEE,1,1894.0
2015,NUTS,2010,DEE,1,1579.0
2017,NUTS,2010,DEE,1,1698.0
2019,NUTS,2010,DEE,1,1913.0
2011,NUTS,2010,DEE0,2,1794.0
2013,NUTS,2010,DEE0,2,1894.0
2015,NUTS,2010,DEE0,2,1579.0
2017,NUTS,2010,DEE0,2,1698.0
2019,NUTS,2010,DEE0,2,1913.0
2011,NUTS,2010,DEF,1,2885.0
2013,NUTS,2010,DEF,1,3046.0
2015,NUTS,2010,DEF,1,3283.0
2017,NUTS,2010,DEF,1,3682.0
2019,NUTS,2010,DEF,1,3764.0
2011,NUTS,2010,DEF0,2,2885.0
2013,NUTS,2010,DEF0,2,3046.0
2015,NUTS,2010,DEF0,2,3283.0
2017,NUTS,2010,DEF0,2,3682.0
2019,NUTS,2010,DEF0,2,3764.0
2011,NUTS,2010,DEG,1,3971.0
2013,NUTS,2010,DEG,1,3764.0
2015,NUTS,2010,DEG,1,3799.0
2017,NUTS,2010,DEG,1,4421.0
2019,NUTS,2010,DEG,1,4983.0
2011,NUTS,2010,DEG0,2,3971.0
2013,NUTS,2010,DEG0,2,3764.0
2015,NUTS,2010,DEG0,2,3799.0
2017,NUTS,2010,DEG0,2,4421.0
2019,NUTS,2010,DEG0,2,4983.0
2017,NUTS,2010,DEZ,1,0.0
2019,NUTS,2010,DEZ,1,0.0
2017,NUTS,2010,DEZZ,2,0.0
2019,NUTS,2010,DEZZ,2,0.0
2011,NUTS,2010,DK,0,28719.0
2012,NUTS,2010,DK,0,29279.0
2013,NUTS,2010,DK,0,28252.0
2014,NUTS,2010,DK,0,28649.0
2015,NUTS,2010,DK,0,29648.0
2016,NUTS,2010,DK,0,31474.0
2017,NUTS,2010,DK,0,31391.0
2018,NUTS,2010,DK,0,29942.0
2019,NUTS,2010,DK,0,31008.0
2020,NUTS,2010,DK,0,30747.0
2011,NUTS,2010,DK0,1,27861.0
2012,NUTS,2010,DK0,1,29279.0
2013,NUTS,2010,DK0,1,28252.0
2014,NUTS,2010,DK0,1,28649.0
2015,NUTS,2010,DK0,1,29648.0
2016,NUTS,2010,DK0,1,31474.0
2017,NUTS,2010,DK0,1,31391.0
2018,NUTS,2010,DK0,1,29942.0
2019,NUTS,2010,DK0,1,31008.0
2011,NUTS,2010,DK01,2,18489.0
2012,NUTS,2010,DK01,2,18604.0
