year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_fte_total_f
2019,NUTS,2010,ES,0,22031.0
2011,NUTS,2010,FR,0,20961.0
2012,NUTS,2010,FR,0,21119.0
2013,NUTS,2010,FR,0,21358.0
2014,NUTS,2010,FR,0,21395.0
2016,NUTS,2010,FR,0,21376.0
2017,NUTS,2010,FR,0,21365.0
2011,NUTS,2010,HR,0,2016.0
2012,NUTS,2010,HR,0,1959.0
2013,NUTS,2010,HR,0,1944.0
2014,NUTS,2010,HR,0,1874.0
2015,NUTS,2010,HR,0,1831.0
2016,NUTS,2010,HR,0,1749.0
2017,NUTS,2010,HR,0,1778.0
2018,NUTS,2010,HR,0,1836.0
2019,NUTS,2010,HR,0,1868.0
2020,NUTS,2010,HR,0,2150.0
2011,NUTS,2010,HU,0,4106.0
2012,NUTS,2010,HU,0,3745.0
2013,NUTS,2010,HU,0,3435.0
2014,NUTS,2010,HU,0,3374.0
2015,NUTS,2010,HU,0,3831.0
2016,NUTS,2010,HU,0,3450.0
2017,NUTS,2010,HU,0,3467.0
2018,NUTS,2010,HU,0,3738.0
2019,NUTS,2010,HU,0,4643.0
2011,NUTS,2010,IE,0,383.0
2012,NUTS,2010,IE,0,350.0
2013,NUTS,2010,IE,0,293.0
2014,NUTS,2010,IE,0,304.0
2015,NUTS,2010,IE,0,369.0
2017,NUTS,2010,IE,0,425.0
2019,NUTS,2010,IE,0,495.0
2011,NUTS,2010,IS,0,265.0
2011,NUTS,2010,IT,0,17042.0
2012,NUTS,2010,IT,0,18015.0
2013,NUTS,2010,IT,0,18646.0
2014,NUTS,2010,IT,0,18266.0
2015,NUTS,2010,IT,0,18881.0
2016,NUTS,2010,IT,0,18736.0
2017,NUTS,2010,IT,0,18761.0
2018,NUTS,2010,IT,0,19183.0
2019,NUTS,2010,IT,0,19652.0
2011,NUTS,2010,LT,0,1248.0
2012,NUTS,2010,LT,0,1191.0
2013,NUTS,2010,LT,0,1179.0
2014,NUTS,2010,LT,0,1240.0
2015,NUTS,2010,LT,0,1135.0
2016,NUTS,2010,LT,0,1282.0
2017,NUTS,2010,LT,0,1247.0
2018,NUTS,2010,LT,0,1295.0
2019,NUTS,2010,LT,0,1192.0
2011,NUTS,2010,LU,0,494.0
2012,NUTS,2010,LU,0,509.0
2013,NUTS,2010,LU,0,547.0
2014,NUTS,2010,LU,0,548.0
2015,NUTS,2010,LU,0,529.0
2017,NUTS,2010,LU,0,508.0
2019,NUTS,2010,LU,0,546.0
2011,NUTS,2010,LV,0,693.0
2012,NUTS,2010,LV,0,678.0
2013,NUTS,2010,LV,0,664.0
2014,NUTS,2010,LV,0,661.0
2015,NUTS,2010,LV,0,690.0
2016,NUTS,2010,LV,0,645.0
2017,NUTS,2010,LV,0,562.0
2018,NUTS,2010,LV,0,592.0
2019,NUTS,2010,LV,0,585.0
2011,NUTS,2010,ME,0,97.0
2013,NUTS,2010,ME,0,83.0
2014,NUTS,2010,ME,0,113.0
2015,NUTS,2010,ME,0,84.0
2017,NUTS,2010,ME,0,101.0
2018,NUTS,2010,ME,0,106.0
2019,NUTS,2010,ME,0,171.0
2011,NUTS,2010,MK,0,196.0
2012,NUTS,2010,MK,0,412.0
2015,NUTS,2010,MK,0,107.0
2016,NUTS,2010,MK,0,136.0
2017,NUTS,2010,MK,0,135.0
2018,NUTS,2010,MK,0,130.0
2019,NUTS,2010,MK,0,123.0
2011,NUTS,2010,MT,0,12.0
2012,NUTS,2010,MT,0,8.0
2013,NUTS,2010,MT,0,6.0
2014,NUTS,2010,MT,0,6.0
2015,NUTS,2010,MT,0,7.0
2016,NUTS,2010,MT,0,7.0
2017,NUTS,2010,MT,0,13.0
2018,NUTS,2010,MT,0,15.0
2019,NUTS,2010,MT,0,3.0
2011,NUTS,2010,NL,0,3888.0
2012,NUTS,2010,NL,0,5697.0
2015,NUTS,2010,PL,0,10024.0
2016,NUTS,2010,PL,0,2267.0
2017,NUTS,2010,PL,0,2480.0
2018,NUTS,2010,PL,0,2332.0
2019,NUTS,2010,PL,0,1970.0
2011,NUTS,2010,PT,0,1990.0
2012,NUTS,2010,PT,0,1329.0
2013,NUTS,2010,PT,0,1152.0
2014,NUTS,2010,PT,0,1208.0
2015,NUTS,2010,PT,0,1234.0
2016,NUTS,2010,PT,0,1275.0
2017,NUTS,2010,PT,0,1350.0
2018,NUTS,2010,PT,0,1375.0
2019,NUTS,2010,PT,0,1384.0
2020,NUTS,2010,PT,0,1566.0
2011,NUTS,2010,RO,0,5097.0
2012,NUTS,2010,RO,0,5549.0
2013,NUTS,2010,RO,0,6064.0
2014,NUTS,2010,RO,0,5826.0
2015,NUTS,2010,RO,0,5973.0
2016,NUTS,2010,RO,0,6226.0
2017,NUTS,2010,RO,0,6132.0
2018,NUTS,2010,RO,0,5749.0
2019,NUTS,2010,RO,0,6017.0
2011,NUTS,2010,RS,0,2865.0
2012,NUTS,2010,RS,0,2919.0
2013,NUTS,2010,RS,0,2956.0
2014,NUTS,2010,RS,0,2651.0
2015,NUTS,2010,RS,0,2876.0
2016,NUTS,2010,RS,0,2818.0
2017,NUTS,2010,RS,0,2832.0
2018,NUTS,2010,RS,0,2967.0
2019,NUTS,2010,RS,0,2999.0
2020,NUTS,2010,RS,0,3057.0
2011,NUTS,2010,SE,0,1372.0
2013,NUTS,2010,SE,0,1522.0
2015,NUTS,2010,SE,0,1996.0
2017,NUTS,2010,SE,0,2551.0
2019,NUTS,2010,SE,0,2521.0
2011,NUTS,2010,SI,0,1322.0
2012,NUTS,2010,SI,0,1295.0
2013,NUTS,2010,SI,0,1315.0
2014,NUTS,2010,SI,0,1279.0
2015,NUTS,2010,SI,0,1263.0
2016,NUTS,2010,SI,0,1273.0
2017,NUTS,2010,SI,0,1170.0
2018,NUTS,2010,SI,0,1272.0
2019,NUTS,2010,SI,0,1395.0
2011,NUTS,2010,SK,0,2156.0
2012,NUTS,2010,SK,0,2219.0
2013,NUTS,2010,SK,0,1871.0
2014,NUTS,2010,SK,0,2220.0
2015,NUTS,2010,SK,0,2385.0
2016,NUTS,2010,SK,0,2418.0
2017,NUTS,2010,SK,0,2282.0
2018,NUTS,2010,SK,0,2215.0
2019,NUTS,2010,SK,0,2232.0
2020,NUTS,2010,SK,0,2260.0
2011,NUTS,2010,TR,0,2912.0
2012,NUTS,2010,TR,0,3064.0
2013,NUTS,2010,TR,0,3029.0
2014,NUTS,2010,TR,0,3145.0
2015,NUTS,2010,TR,0,3178.0
2016,NUTS,2010,TR,0,3166.0
2017,NUTS,2010,TR,0,3246.0
2018,NUTS,2010,TR,0,3204.0
2019,NUTS,2010,TR,0,2531.0
2020,NUTS,2010,TR,0,2838.0
2011,NUTS,2010,UK,0,5904.0
2012,NUTS,2010,UK,0,5892.0
2013,NUTS,2010,UK,0,5650.0
2014,NUTS,2010,UK,0,5580.0
2015,NUTS,2010,UK,0,5667.0
2016,NUTS,2010,UK,0,5654.0
2017,NUTS,2010,UK,0,5681.0
2018,NUTS,2010,UK,0,5711.0
