year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_hes_mio_pps
2018,NUTS,2010,CZ04,2,12.995
2019,NUTS,2010,CZ04,2,11.532
2020,NUTS,2010,CZ04,2,14.726
2011,NUTS,2010,CZ05,2,77.02
2012,NUTS,2010,CZ05,2,83.512
2013,NUTS,2010,CZ05,2,94.687
2014,NUTS,2010,CZ05,2,81.363
2015,NUTS,2010,CZ05,2,80.338
2016,NUTS,2010,CZ05,2,65.132
2017,NUTS,2010,CZ05,2,78.961
2018,NUTS,2010,CZ05,2,106.026
2019,NUTS,2010,CZ05,2,107.549
2020,NUTS,2010,CZ05,2,100.762
2011,NUTS,2010,CZ06,2,244.009
2012,NUTS,2010,CZ06,2,372.863
2013,NUTS,2010,CZ06,2,381.539
2014,NUTS,2010,CZ06,2,357.142
2015,NUTS,2010,CZ06,2,396.244
2016,NUTS,2010,CZ06,2,238.834
2017,NUTS,2010,CZ06,2,265.239
2018,NUTS,2010,CZ06,2,300.393
2019,NUTS,2010,CZ06,2,332.457
2020,NUTS,2010,CZ06,2,351.785
2011,NUTS,2010,CZ07,2,68.617
2012,NUTS,2010,CZ07,2,151.573
2013,NUTS,2010,CZ07,2,114.249
2014,NUTS,2010,CZ07,2,142.564
2015,NUTS,2010,CZ07,2,105.228
2016,NUTS,2010,CZ07,2,89.096
2017,NUTS,2010,CZ07,2,89.452
2018,NUTS,2010,CZ07,2,111.725
2019,NUTS,2010,CZ07,2,115.672
2020,NUTS,2010,CZ07,2,107.268
2011,NUTS,2010,CZ08,2,95.197
2012,NUTS,2010,CZ08,2,99.69
2013,NUTS,2010,CZ08,2,114.724
2014,NUTS,2010,CZ08,2,102.684
2015,NUTS,2010,CZ08,2,97.892
2016,NUTS,2010,CZ08,2,68.142
2017,NUTS,2010,CZ08,2,63.628
2018,NUTS,2010,CZ08,2,92.896
2019,NUTS,2010,CZ08,2,110.008
2020,NUTS,2010,CZ08,2,99.586
2015,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2015,NUTS,2010,CZZZ,2,0.0
2016,NUTS,2010,CZZZ,2,0.0
