year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_rse_pc_act_hc_gov
2009,NUTS,2010,BG34,2,0.0197
2010,NUTS,2010,BG34,2,0.0215
2011,NUTS,2010,BG34,2,0.0211
2012,NUTS,2010,BG34,2,0.0238
2013,NUTS,2010,BG34,2,0.0202
2014,NUTS,2010,BG34,2,0.0192
2016,NUTS,2010,BG34,2,0.0177
2018,NUTS,2010,BG34,2,0.0168
2003,NUTS,2010,BG4,1,0.363
2004,NUTS,2010,BG4,1,0.3566
2005,NUTS,2010,BG4,1,0.3585
2006,NUTS,2010,BG4,1,0.3487
2007,NUTS,2010,BG4,1,0.3361
2008,NUTS,2010,BG4,1,0.3163
2009,NUTS,2010,BG4,1,0.3101
2010,NUTS,2010,BG4,1,0.299
2011,NUTS,2010,BG4,1,0.3142
2012,NUTS,2010,BG4,1,0.2864
2013,NUTS,2010,BG4,1,0.2775
2014,NUTS,2010,BG4,1,0.2666
2015,NUTS,2010,BG4,1,0.2543
2016,NUTS,2010,BG4,1,0.2683
2017,NUTS,2010,BG4,1,0.2558
2018,NUTS,2010,BG4,1,0.2506
2000,NUTS,2010,BG41,2,0.6327
2002,NUTS,2010,BG41,2,0.5938
2003,NUTS,2010,BG41,2,0.5899
2005,NUTS,2010,BG41,2,0.576
2006,NUTS,2010,BG41,2,0.5527
2007,NUTS,2010,BG41,2,0.5335
2008,NUTS,2010,BG41,2,0.4962
2009,NUTS,2010,BG41,2,0.4869
2010,NUTS,2010,BG41,2,0.4549
2011,NUTS,2010,BG41,2,0.4737
2012,NUTS,2010,BG41,2,0.4355
2013,NUTS,2010,BG41,2,0.4269
2014,NUTS,2010,BG41,2,0.4073
2015,NUTS,2010,BG41,2,0.3839
2016,NUTS,2010,BG41,2,0.4012
2018,NUTS,2010,BG41,2,0.3744
2019,NUTS,2010,BG41,2,0.3769
2003,NUTS,2010,BG42,2,0.0241
2005,NUTS,2010,BG42,2,0.0287
2006,NUTS,2010,BG42,2,0.0273
2007,NUTS,2010,BG42,2,0.0278
2008,NUTS,2010,BG42,2,0.0372
2009,NUTS,2010,BG42,2,0.031
2010,NUTS,2010,BG42,2,0.0429
2011,NUTS,2010,BG42,2,0.0512
2012,NUTS,2010,BG42,2,0.0453
2013,NUTS,2010,BG42,2,0.0402
2014,NUTS,2010,BG42,2,0.0454
2015,NUTS,2010,BG42,2,0.0433
2016,NUTS,2010,BG42,2,0.0478
2018,NUTS,2010,BG42,2,0.045
2010,NUTS,2010,CH,0,0.0222
2012,NUTS,2010,CH,0,0.0222
2014,NUTS,2010,CH,0,0.024
2015,NUTS,2010,CH,0,0.0238
2017,NUTS,2010,CH,0,0.0224
2019,NUTS,2010,CH,0,0.0281
1998,NUTS,2010,CY,0,0.054
1999,NUTS,2010,CY,0,0.055
2000,NUTS,2010,CY,0,0.0584
2001,NUTS,2010,CY,0,0.064
2002,NUTS,2010,CY,0,0.0684
2003,NUTS,2010,CY,0,0.0654
2004,NUTS,2010,CY,0,0.0616
2005,NUTS,2010,CY,0,0.0622
2006,NUTS,2010,CY,0,0.0641
2007,NUTS,2010,CY,0,0.0587
2008,NUTS,2010,CY,0,0.058
2009,NUTS,2010,CY,0,0.0511
2010,NUTS,2010,CY,0,0.0504
2011,NUTS,2010,CY,0,0.0512
2012,NUTS,2010,CY,0,0.0474
2013,NUTS,2010,CY,0,0.0442
2014,NUTS,2010,CY,0,0.0409
2015,NUTS,2010,CY,0,0.0429
2016,NUTS,2010,CY,0,0.0431
2017,NUTS,2010,CY,0,0.0458
2018,NUTS,2010,CY,0,0.0458
2019,NUTS,2010,CY,0,0.0485
1998,NUTS,2010,CZ,0,0.1666
1999,NUTS,2010,CZ,0,0.1457
2000,NUTS,2010,CZ,0,0.1548
2001,NUTS,2010,CZ,0,0.1568
2002,NUTS,2010,CZ,0,0.1555
2003,NUTS,2010,CZ,0,0.1585
2004,NUTS,2010,CZ,0,0.1622
2005,NUTS,2010,CZ,0,0.1764
2006,NUTS,2010,CZ,0,0.1838
2007,NUTS,2010,CZ,0,0.1859
2008,NUTS,2010,CZ,0,0.1901
2009,NUTS,2010,CZ,0,0.1685
2010,NUTS,2010,CZ,0,0.1675
2011,NUTS,2010,CZ,0,0.1736
2012,NUTS,2010,CZ,0,0.1681
2013,NUTS,2010,CZ,0,0.1759
2014,NUTS,2010,CZ,0,0.1827
2015,NUTS,2010,CZ,0,0.1904
2016,NUTS,2010,CZ,0,0.1888
2017,NUTS,2010,CZ,0,0.2014
2018,NUTS,2010,CZ,0,0.2052
2019,NUTS,2010,CZ,0,0.2057
2020,NUTS,2010,CZ,0,0.2121
1999,NUTS,2010,CZ0,1,0.1442
2000,NUTS,2010,CZ0,1,0.1534
2001,NUTS,2010,CZ0,1,0.1555
2002,NUTS,2010,CZ0,1,0.1542
2003,NUTS,2010,CZ0,1,0.1572
2004,NUTS,2010,CZ0,1,0.161
2005,NUTS,2010,CZ0,1,0.1745
2006,NUTS,2010,CZ0,1,0.1817
2007,NUTS,2010,CZ0,1,0.1835
2008,NUTS,2010,CZ0,1,0.1876
2009,NUTS,2010,CZ0,1,0.166
2010,NUTS,2010,CZ0,1,0.1651
2011,NUTS,2010,CZ0,1,0.171
2012,NUTS,2010,CZ0,1,0.1655
2013,NUTS,2010,CZ0,1,0.1728
2014,NUTS,2010,CZ0,1,0.1795
2015,NUTS,2010,CZ0,1,0.1865
2016,NUTS,2010,CZ0,1,0.1844
2017,NUTS,2010,CZ0,1,0.1966
2018,NUTS,2010,CZ0,1,0.1996
2019,NUTS,2010,CZ0,1,0.1999
2020,NUTS,2010,CZ0,1,0.2063
2001,NUTS,2010,CZ01,2,0.7998
2002,NUTS,2010,CZ01,2,0.8003
2003,NUTS,2010,CZ01,2,0.801
2004,NUTS,2010,CZ01,2,0.8515
2005,NUTS,2010,CZ01,2,1.0096
2006,NUTS,2010,CZ01,2,1.0275
2007,NUTS,2010,CZ01,2,1.0489
2008,NUTS,2010,CZ01,2,1.0552
2009,NUTS,2010,CZ01,2,0.9338
2010,NUTS,2010,CZ01,2,0.92
2011,NUTS,2010,CZ01,2,0.9753
2012,NUTS,2010,CZ01,2,0.9635
2013,NUTS,2010,CZ01,2,0.9561
2014,NUTS,2010,CZ01,2,1.0267
2015,NUTS,2010,CZ01,2,0.999
2016,NUTS,2010,CZ01,2,0.9508
2017,NUTS,2010,CZ01,2,1.0029
2018,NUTS,2010,CZ01,2,0.9821
2019,NUTS,2010,CZ01,2,0.9636
2020,NUTS,2010,CZ01,2,1.0029
2001,NUTS,2010,CZ02,2,0.0805
2002,NUTS,2010,CZ02,2,0.0848
2003,NUTS,2010,CZ02,2,0.1217
2004,NUTS,2010,CZ02,2,0.1313
2005,NUTS,2010,CZ02,2,0.1198
2006,NUTS,2010,CZ02,2,0.1281
2007,NUTS,2010,CZ02,2,0.1201
2008,NUTS,2010,CZ02,2,0.1233
2009,NUTS,2010,CZ02,2,0.0965
2010,NUTS,2010,CZ02,2,0.0999
2011,NUTS,2010,CZ02,2,0.0947
2012,NUTS,2010,CZ02,2,0.0806
2013,NUTS,2010,CZ02,2,0.1043
2014,NUTS,2010,CZ02,2,0.1029
2015,NUTS,2010,CZ02,2,0.152
2016,NUTS,2010,CZ02,2,0.1744
2017,NUTS,2010,CZ02,2,0.1712
2018,NUTS,2010,CZ02,2,0.1806
2019,NUTS,2010,CZ02,2,0.171
2020,NUTS,2010,CZ02,2,0.1663
2001,NUTS,2010,CZ03,2,0.0664
2002,NUTS,2010,CZ03,2,0.069
2003,NUTS,2010,CZ03,2,0.0658
2004,NUTS,2010,CZ03,2,0.0607
2005,NUTS,2010,CZ03,2,0.0784
2006,NUTS,2010,CZ03,2,0.0917
2007,NUTS,2010,CZ03,2,0.087
2008,NUTS,2010,CZ03,2,0.0924
2009,NUTS,2010,CZ03,2,0.0695
2010,NUTS,2010,CZ03,2,0.069
2011,NUTS,2010,CZ03,2,0.0578
2012,NUTS,2010,CZ03,2,0.0498
2013,NUTS,2010,CZ03,2,0.0686
2014,NUTS,2010,CZ03,2,0.0777
2015,NUTS,2010,CZ03,2,0.0746
2016,NUTS,2010,CZ03,2,0.0825
2017,NUTS,2010,CZ03,2,0.0917
2018,NUTS,2010,CZ03,2,0.09
2019,NUTS,2010,CZ03,2,0.102
2020,NUTS,2010,CZ03,2,0.1006
2001,NUTS,2010,CZ04,2,0.0232
2002,NUTS,2010,CZ04,2,0.0078
2003,NUTS,2010,CZ04,2,0.0101
2004,NUTS,2010,CZ04,2,0.0117
2005,NUTS,2010,CZ04,2,0.0052
2006,NUTS,2010,CZ04,2,0.0107
2007,NUTS,2010,CZ04,2,0.01
2008,NUTS,2010,CZ04,2,0.0133
2009,NUTS,2010,CZ04,2,0.0155
2010,NUTS,2010,CZ04,2,0.0086
2011,NUTS,2010,CZ04,2,0.0109
2012,NUTS,2010,CZ04,2,0.0134
2013,NUTS,2010,CZ04,2,0.0098
2014,NUTS,2010,CZ04,2,0.0104
2015,NUTS,2010,CZ04,2,0.0084
2016,NUTS,2010,CZ04,2,0.0099
2017,NUTS,2010,CZ04,2,0.0135
2018,NUTS,2010,CZ04,2,0.0153
2019,NUTS,2010,CZ04,2,0.016
2020,NUTS,2010,CZ04,2,0.0115
2001,NUTS,2010,CZ05,2,0.0196
2002,NUTS,2010,CZ05,2,0.0142
2003,NUTS,2010,CZ05,2,0.0163
2004,NUTS,2010,CZ05,2,0.03
2005,NUTS,2010,CZ05,2,0.0156
2006,NUTS,2010,CZ05,2,0.0169
2007,NUTS,2010,CZ05,2,0.0186
2008,NUTS,2010,CZ05,2,0.0178
2009,NUTS,2010,CZ05,2,0.017
2010,NUTS,2010,CZ05,2,0.0164
2011,NUTS,2010,CZ05,2,0.0208
2012,NUTS,2010,CZ05,2,0.0165
2013,NUTS,2010,CZ05,2,0.0158
2014,NUTS,2010,CZ05,2,0.0161
2015,NUTS,2010,CZ05,2,0.0183
2016,NUTS,2010,CZ05,2,0.017
2017,NUTS,2010,CZ05,2,0.0171
2018,NUTS,2010,CZ05,2,0.018
2019,NUTS,2010,CZ05,2,0.0205
2020,NUTS,2010,CZ05,2,0.0199
2001,NUTS,2010,CZ06,2,0.1903
2002,NUTS,2010,CZ06,2,0.1929
2003,NUTS,2010,CZ06,2,0.1849
2004,NUTS,2010,CZ06,2,0.1689
2005,NUTS,2010,CZ06,2,0.1335
2006,NUTS,2010,CZ06,2,0.139
2007,NUTS,2010,CZ06,2,0.1339
2008,NUTS,2010,CZ06,2,0.1367
2009,NUTS,2010,CZ06,2,0.1187
2010,NUTS,2010,CZ06,2,0.1219
2011,NUTS,2010,CZ06,2,0.1442
2012,NUTS,2010,CZ06,2,0.1318
2013,NUTS,2010,CZ06,2,0.1592
2014,NUTS,2010,CZ06,2,0.1416
2015,NUTS,2010,CZ06,2,0.1645
2016,NUTS,2010,CZ06,2,0.1611
2017,NUTS,2010,CZ06,2,0.1651
2018,NUTS,2010,CZ06,2,0.1764
2019,NUTS,2010,CZ06,2,0.1799
2020,NUTS,2010,CZ06,2,0.1928
2001,NUTS,2010,CZ07,2,0.0214
2002,NUTS,2010,CZ07,2,0.019
2003,NUTS,2010,CZ07,2,0.0164
2004,NUTS,2010,CZ07,2,0.0052
2005,NUTS,2010,CZ07,2,0.0074
2006,NUTS,2010,CZ07,2,0.0073
2007,NUTS,2010,CZ07,2,0.0086
2008,NUTS,2010,CZ07,2,0.0117
2009,NUTS,2010,CZ07,2,0.0122
2010,NUTS,2010,CZ07,2,0.0101
2011,NUTS,2010,CZ07,2,0.0101
2012,NUTS,2010,CZ07,2,0.007
2013,NUTS,2010,CZ07,2,0.0046
2014,NUTS,2010,CZ07,2,0.0072
2015,NUTS,2010,CZ07,2,0.0075
2016,NUTS,2010,CZ07,2,0.0095
2017,NUTS,2010,CZ07,2,0.0171
2018,NUTS,2010,CZ07,2,0.0185
2019,NUTS,2010,CZ07,2,0.0181
2020,NUTS,2010,CZ07,2,0.0184
2001,NUTS,2010,CZ08,2,0.0181
2002,NUTS,2010,CZ08,2,0.02
2003,NUTS,2010,CZ08,2,0.0201
2004,NUTS,2010,CZ08,2,0.0198
2005,NUTS,2010,CZ08,2,0.0244
2006,NUTS,2010,CZ08,2,0.0236
2007,NUTS,2010,CZ08,2,0.0238
2008,NUTS,2010,CZ08,2,0.0244
2009,NUTS,2010,CZ08,2,0.0194
2010,NUTS,2010,CZ08,2,0.02
2011,NUTS,2010,CZ08,2,0.0134
2012,NUTS,2010,CZ08,2,0.0158
2013,NUTS,2010,CZ08,2,0.0164
2014,NUTS,2010,CZ08,2,0.0173
2015,NUTS,2010,CZ08,2,0.0208
2016,NUTS,2010,CZ08,2,0.0193
2017,NUTS,2010,CZ08,2,0.0198
2018,NUTS,2010,CZ08,2,0.0203
2019,NUTS,2010,CZ08,2,0.0209
2020,NUTS,2010,CZ08,2,0.0212
2003,NUTS,2010,DE,0,0.1114
2004,NUTS,2010,DE,0,0.1193
2005,NUTS,2010,DE,0,0.1111
2006,NUTS,2010,DE,0,0.1169
2007,NUTS,2010,DE,0,0.1208
2008,NUTS,2010,DE,0,0.1303
2009,NUTS,2010,DE,0,0.1441
2010,NUTS,2010,DE,0,0.1554
2011,NUTS,2010,DE,0,0.1616
2012,NUTS,2010,DE,0,0.1644
2013,NUTS,2010,DE,0,0.165
2014,NUTS,2010,DE,0,0.1518
2015,NUTS,2010,DE,0,0.1552
2016,NUTS,2010,DE,0,0.1522
2017,NUTS,2010,DE,0,0.1541
2018,NUTS,2010,DE,0,0.1616
2019,NUTS,2010,DE,0,0.166
2003,NUTS,2010,DE1,1,0.1305
2005,NUTS,2010,DE1,1,0.1333
2006,NUTS,2010,DE1,1,0.1321
2007,NUTS,2010,DE1,1,0.14
2008,NUTS,2010,DE1,1,0.1571
2009,NUTS,2010,DE1,1,0.1715
2010,NUTS,2010,DE1,1,0.1835
2011,NUTS,2010,DE1,1,0.1876
2012,NUTS,2010,DE1,1,0.1823
2013,NUTS,2010,DE1,1,0.1791
2014,NUTS,2010,DE1,1,0.1722
2015,NUTS,2010,DE1,1,0.1784
2016,NUTS,2010,DE1,1,0.1626
2017,NUTS,2010,DE1,1,0.1618
2018,NUTS,2010,DE1,1,0.1677
2019,NUTS,2010,DE1,1,0.1695
2003,NUTS,2010,DE11,2,0.0832
2005,NUTS,2010,DE11,2,0.0827
2006,NUTS,2010,DE11,2,0.0823
2007,NUTS,2010,DE11,2,0.0805
2008,NUTS,2010,DE11,2,0.0993
2009,NUTS,2010,DE11,2,0.1086
2010,NUTS,2010,DE11,2,0.1173
2011,NUTS,2010,DE11,2,0.1224
2012,NUTS,2010,DE11,2,0.1101
2013,NUTS,2010,DE11,2,0.1024
2014,NUTS,2010,DE11,2,0.1024
2015,NUTS,2010,DE11,2,0.0994
2016,NUTS,2010,DE11,2,0.097
2017,NUTS,2010,DE11,2,0.0862
2018,NUTS,2010,DE11,2,0.0908
2019,NUTS,2010,DE11,2,0.0922
2003,NUTS,2010,DE12,2,0.3073
2005,NUTS,2010,DE12,2,0.3306
2006,NUTS,2010,DE12,2,0.2942
2007,NUTS,2010,DE12,2,0.3272
2008,NUTS,2010,DE12,2,0.3425
2009,NUTS,2010,DE12,2,0.3769
2010,NUTS,2010,DE12,2,0.3968
2011,NUTS,2010,DE12,2,0.4016
2012,NUTS,2010,DE12,2,0.4009
2013,NUTS,2010,DE12,2,0.405
2014,NUTS,2010,DE12,2,0.4112
2015,NUTS,2010,DE12,2,0.4354
2016,NUTS,2010,DE12,2,0.3801
2017,NUTS,2010,DE12,2,0.3829
2018,NUTS,2010,DE12,2,0.3887
2019,NUTS,2010,DE12,2,0.3898
2003,NUTS,2010,DE13,2,0.0796
2005,NUTS,2010,DE13,2,0.0606
2006,NUTS,2010,DE13,2,0.0984
2007,NUTS,2010,DE13,2,0.0925
2008,NUTS,2010,DE13,2,0.1204
2009,NUTS,2010,DE13,2,0.1351
2010,NUTS,2010,DE13,2,0.1454
2011,NUTS,2010,DE13,2,0.1495
2012,NUTS,2010,DE13,2,0.142
2013,NUTS,2010,DE13,2,0.1307
2014,NUTS,2010,DE13,2,0.1047
2015,NUTS,2010,DE13,2,0.103
2016,NUTS,2010,DE13,2,0.1019
2017,NUTS,2010,DE13,2,0.1085
