year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_total_rse_pc_act_fte
2003,NUTS,2010,BG33,2,0.1404
2004,NUTS,2010,BG33,2,0.1462
2005,NUTS,2010,BG33,2,0.1382
2006,NUTS,2010,BG33,2,0.1498
2007,NUTS,2010,BG33,2,0.1335
2008,NUTS,2010,BG33,2,0.1545
2009,NUTS,2010,BG33,2,0.2186
2010,NUTS,2010,BG33,2,0.209
2011,NUTS,2010,BG33,2,0.23
2012,NUTS,2010,BG33,2,0.2528
2013,NUTS,2010,BG33,2,0.2609
2014,NUTS,2010,BG33,2,0.3047
2015,NUTS,2010,BG33,2,0.3389
2016,NUTS,2010,BG33,2,0.3253
2017,NUTS,2010,BG33,2,0.3052
2018,NUTS,2010,BG33,2,0.3693
2019,NUTS,2010,BG33,2,0.3967
2003,NUTS,2010,BG34,2,0.1194
2004,NUTS,2010,BG34,2,0.1092
2005,NUTS,2010,BG34,2,0.0913
2006,NUTS,2010,BG34,2,0.1066
2007,NUTS,2010,BG34,2,0.1417
2008,NUTS,2010,BG34,2,0.1701
2009,NUTS,2010,BG34,2,0.2088
2010,NUTS,2010,BG34,2,0.1477
2011,NUTS,2010,BG34,2,0.1255
2012,NUTS,2010,BG34,2,0.122
2013,NUTS,2010,BG34,2,0.1383
2014,NUTS,2010,BG34,2,0.1322
2015,NUTS,2010,BG34,2,0.1646
2016,NUTS,2010,BG34,2,0.1444
2017,NUTS,2010,BG34,2,0.1427
2018,NUTS,2010,BG34,2,0.1507
2019,NUTS,2010,BG34,2,0.1812
2003,NUTS,2010,BG4,1,0.4855
2004,NUTS,2010,BG4,1,0.4769
2005,NUTS,2010,BG4,1,0.4987
2006,NUTS,2010,BG4,1,0.4674
2007,NUTS,2010,BG4,1,0.5172
2008,NUTS,2010,BG4,1,0.5083
2009,NUTS,2010,BG4,1,0.5386
2010,NUTS,2010,BG4,1,0.5274
2011,NUTS,2010,BG4,1,0.5957
2012,NUTS,2010,BG4,1,0.5351
2013,NUTS,2010,BG4,1,0.5828
2014,NUTS,2010,BG4,1,0.6032
2015,NUTS,2010,BG4,1,0.6169
2016,NUTS,2010,BG4,1,0.7743
2017,NUTS,2010,BG4,1,0.6511
2018,NUTS,2010,BG4,1,0.6713
2019,NUTS,2010,BG4,1,0.6824
2000,NUTS,2010,BG41,2,0.7738
2002,NUTS,2010,BG41,2,0.7618
2003,NUTS,2010,BG41,2,0.7528
2004,NUTS,2010,BG41,2,0.7323
2005,NUTS,2010,BG41,2,0.7621
2006,NUTS,2010,BG41,2,0.6954
2007,NUTS,2010,BG41,2,0.7414
2008,NUTS,2010,BG41,2,0.7187
2009,NUTS,2010,BG41,2,0.7784
2010,NUTS,2010,BG41,2,0.7283
2011,NUTS,2010,BG41,2,0.8325
2012,NUTS,2010,BG41,2,0.7823
2013,NUTS,2010,BG41,2,0.8474
2014,NUTS,2010,BG41,2,0.8857
2015,NUTS,2010,BG41,2,0.88
2016,NUTS,2010,BG41,2,1.1167
2017,NUTS,2010,BG41,2,0.9167
2018,NUTS,2010,BG41,2,0.9213
