year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_hrste_ths
2017,NUTS,2010,AT2,1,343.8
2018,NUTS,2010,AT2,1,359.1
2019,NUTS,2010,AT2,1,367.4
2020,NUTS,2010,AT2,1,373.4
1999,NUTS,2010,AT21,2,41.4
2000,NUTS,2010,AT21,2,43.4
2001,NUTS,2010,AT21,2,45.9
2002,NUTS,2010,AT21,2,55.0
2003,NUTS,2010,AT21,2,50.7
2004,NUTS,2010,AT21,2,56.1
2005,NUTS,2010,AT21,2,55.7
2006,NUTS,2010,AT21,2,55.5
2007,NUTS,2010,AT21,2,54.2
2008,NUTS,2010,AT21,2,56.0
2009,NUTS,2010,AT21,2,60.2
2010,NUTS,2010,AT21,2,58.3
2011,NUTS,2010,AT21,2,57.3
2012,NUTS,2010,AT21,2,61.6
2013,NUTS,2010,AT21,2,61.7
2014,NUTS,2010,AT21,2,107.0
2015,NUTS,2010,AT21,2,106.8
2016,NUTS,2010,AT21,2,110.7
2017,NUTS,2010,AT21,2,112.0
2018,NUTS,2010,AT21,2,113.8
2019,NUTS,2010,AT21,2,116.1
2020,NUTS,2010,AT21,2,119.3
1999,NUTS,2010,AT22,2,97.9
2000,NUTS,2010,AT22,2,85.6
2001,NUTS,2010,AT22,2,90.3
2002,NUTS,2010,AT22,2,112.8
2003,NUTS,2010,AT22,2,113.9
2004,NUTS,2010,AT22,2,118.2
2005,NUTS,2010,AT22,2,120.6
2006,NUTS,2010,AT22,2,118.0
2007,NUTS,2010,AT22,2,119.1
2008,NUTS,2010,AT22,2,117.3
2009,NUTS,2010,AT22,2,124.6
2010,NUTS,2010,AT22,2,118.5
2011,NUTS,2010,AT22,2,128.1
2012,NUTS,2010,AT22,2,138.5
2013,NUTS,2010,AT22,2,135.7
2014,NUTS,2010,AT22,2,212.3
2015,NUTS,2010,AT22,2,224.6
2016,NUTS,2010,AT22,2,230.0
2017,NUTS,2010,AT22,2,231.8
2018,NUTS,2010,AT22,2,245.3
2019,NUTS,2010,AT22,2,251.3
2020,NUTS,2010,AT22,2,254.2
1999,NUTS,2010,AT3,1,230.8
2000,NUTS,2010,AT3,1,235.1
2001,NUTS,2010,AT3,1,246.2
2002,NUTS,2010,AT3,1,292.0
2003,NUTS,2010,AT3,1,292.8
2004,NUTS,2010,AT3,1,306.6
2005,NUTS,2010,AT3,1,292.8
2006,NUTS,2010,AT3,1,292.6
2007,NUTS,2010,AT3,1,301.1
2008,NUTS,2010,AT3,1,308.8
2009,NUTS,2010,AT3,1,321.9
2010,NUTS,2010,AT3,1,332.3
2011,NUTS,2010,AT3,1,336.7
2012,NUTS,2010,AT3,1,347.0
2013,NUTS,2010,AT3,1,358.7
2014,NUTS,2010,AT3,1,554.9
2015,NUTS,2010,AT3,1,568.2
2016,NUTS,2010,AT3,1,605.5
2017,NUTS,2010,AT3,1,611.8
2018,NUTS,2010,AT3,1,622.7
2019,NUTS,2010,AT3,1,656.7
2020,NUTS,2010,AT3,1,650.0
1999,NUTS,2010,AT31,2,106.6
2000,NUTS,2010,AT31,2,104.6
2001,NUTS,2010,AT31,2,108.3
2002,NUTS,2010,AT31,2,133.3
2003,NUTS,2010,AT31,2,129.0
2004,NUTS,2010,AT31,2,131.3
2005,NUTS,2010,AT31,2,132.5
2006,NUTS,2010,AT31,2,135.0
2007,NUTS,2010,AT31,2,137.3
2008,NUTS,2010,AT31,2,140.8
2009,NUTS,2010,AT31,2,143.2
2010,NUTS,2010,AT31,2,152.6
2011,NUTS,2010,AT31,2,146.4
2012,NUTS,2010,AT31,2,150.1
2013,NUTS,2010,AT31,2,155.9
2014,NUTS,2010,AT31,2,252.2
2015,NUTS,2010,AT31,2,261.5
2016,NUTS,2010,AT31,2,282.0
2017,NUTS,2010,AT31,2,281.7
2018,NUTS,2010,AT31,2,282.5
2019,NUTS,2010,AT31,2,310.4
2020,NUTS,2010,AT31,2,298.8
1999,NUTS,2010,AT32,2,51.3
2000,NUTS,2010,AT32,2,49.4
2001,NUTS,2010,AT32,2,51.2
2002,NUTS,2010,AT32,2,53.0
2003,NUTS,2010,AT32,2,55.4
2004,NUTS,2010,AT32,2,64.3
2005,NUTS,2010,AT32,2,61.4
2006,NUTS,2010,AT32,2,58.4
2007,NUTS,2010,AT32,2,58.8
2008,NUTS,2010,AT32,2,58.9
2009,NUTS,2010,AT32,2,64.8
2010,NUTS,2010,AT32,2,65.9
2011,NUTS,2010,AT32,2,67.9
2012,NUTS,2010,AT32,2,69.5
2013,NUTS,2010,AT32,2,74.8
2014,NUTS,2010,AT32,2,109.7
2015,NUTS,2010,AT32,2,110.6
2016,NUTS,2010,AT32,2,116.0
2017,NUTS,2010,AT32,2,115.9
2018,NUTS,2010,AT32,2,119.1
2019,NUTS,2010,AT32,2,120.4
2020,NUTS,2010,AT32,2,119.3
1999,NUTS,2010,AT33,2,46.5
2000,NUTS,2010,AT33,2,52.2
2001,NUTS,2010,AT33,2,55.3
2002,NUTS,2010,AT33,2,70.7
2003,NUTS,2010,AT33,2,70.9
2004,NUTS,2010,AT33,2,73.1
2005,NUTS,2010,AT33,2,64.1
2006,NUTS,2010,AT33,2,63.9
2007,NUTS,2010,AT33,2,69.5
2008,NUTS,2010,AT33,2,73.0
2009,NUTS,2010,AT33,2,76.7
2010,NUTS,2010,AT33,2,78.5
2011,NUTS,2010,AT33,2,83.5
2012,NUTS,2010,AT33,2,84.8
2013,NUTS,2010,AT33,2,84.7
2014,NUTS,2010,AT33,2,131.1
2015,NUTS,2010,AT33,2,130.8
2016,NUTS,2010,AT33,2,139.0
2017,NUTS,2010,AT33,2,143.1
2018,NUTS,2010,AT33,2,150.8
2019,NUTS,2010,AT33,2,152.4
2020,NUTS,2010,AT33,2,157.6
1999,NUTS,2010,AT34,2,26.4
2000,NUTS,2010,AT34,2,29.0
2001,NUTS,2010,AT34,2,31.5
2002,NUTS,2010,AT34,2,34.9
2003,NUTS,2010,AT34,2,37.5
2004,NUTS,2010,AT34,2,37.8
2005,NUTS,2010,AT34,2,34.8
2006,NUTS,2010,AT34,2,35.3
2007,NUTS,2010,AT34,2,35.5
2008,NUTS,2010,AT34,2,36.1
2009,NUTS,2010,AT34,2,37.2
2010,NUTS,2010,AT34,2,35.2
2011,NUTS,2010,AT34,2,38.8
2012,NUTS,2010,AT34,2,42.7
2013,NUTS,2010,AT34,2,43.3
2014,NUTS,2010,AT34,2,61.8
2015,NUTS,2010,AT34,2,65.2
2016,NUTS,2010,AT34,2,68.6
2017,NUTS,2010,AT34,2,71.1
2018,NUTS,2010,AT34,2,70.3
2019,NUTS,2010,AT34,2,73.5
2020,NUTS,2010,AT34,2,74.3
1999,NUTS,2010,BE,0,1637.4
2000,NUTS,2010,BE,0,1677.8
2001,NUTS,2010,BE,0,1721.2
2002,NUTS,2010,BE,0,1765.2
2003,NUTS,2010,BE,0,1767.8
2004,NUTS,2010,BE,0,1903.7
2005,NUTS,2010,BE,0,1989.2
2006,NUTS,2010,BE,0,2054.5
2007,NUTS,2010,BE,0,2105.8
2008,NUTS,2010,BE,0,2152.9
2009,NUTS,2010,BE,0,2243.4
2010,NUTS,2010,BE,0,2369.7
2011,NUTS,2010,BE,0,2367.7
2012,NUTS,2010,BE,0,2450.7
2013,NUTS,2010,BE,0,2473.8
2014,NUTS,2010,BE,0,2581.6
2015,NUTS,2010,BE,0,2601.1
2016,NUTS,2010,BE,0,2666.6
2017,NUTS,2010,BE,0,2854.6
2018,NUTS,2010,BE,0,2903.6
2019,NUTS,2010,BE,0,2917.8
2020,NUTS,2010,BE,0,3043.2
1999,NUTS,2010,BE1,1,199.6
2000,NUTS,2010,BE1,1,219.3
2001,NUTS,2010,BE1,1,195.4
2002,NUTS,2010,BE1,1,215.3
2003,NUTS,2010,BE1,1,217.4
2004,NUTS,2010,BE1,1,246.6
2005,NUTS,2010,BE1,1,255.7
2006,NUTS,2010,BE1,1,258.2
2007,NUTS,2010,BE1,1,259.7
2008,NUTS,2010,BE1,1,263.3
2009,NUTS,2010,BE1,1,284.7
2010,NUTS,2010,BE1,1,289.4
2011,NUTS,2010,BE1,1,299.8
2012,NUTS,2010,BE1,1,307.2
2013,NUTS,2010,BE1,1,300.5
2014,NUTS,2010,BE1,1,319.7
2015,NUTS,2010,BE1,1,322.8
2016,NUTS,2010,BE1,1,330.5
2017,NUTS,2010,BE1,1,351.4
2018,NUTS,2010,BE1,1,362.2
2019,NUTS,2010,BE1,1,360.6
2020,NUTS,2010,BE1,1,384.0
1999,NUTS,2010,BE10,2,199.6
2000,NUTS,2010,BE10,2,219.3
2001,NUTS,2010,BE10,2,195.4
2002,NUTS,2010,BE10,2,215.3
2003,NUTS,2010,BE10,2,217.4
2004,NUTS,2010,BE10,2,246.6
2005,NUTS,2010,BE10,2,255.7
2006,NUTS,2010,BE10,2,258.2
2007,NUTS,2010,BE10,2,259.7
2008,NUTS,2010,BE10,2,263.3
2009,NUTS,2010,BE10,2,284.7
2010,NUTS,2010,BE10,2,289.4
2011,NUTS,2010,BE10,2,299.8
2012,NUTS,2010,BE10,2,307.2
2013,NUTS,2010,BE10,2,300.5
2014,NUTS,2010,BE10,2,319.7
2015,NUTS,2010,BE10,2,322.8
2016,NUTS,2010,BE10,2,330.5
2017,NUTS,2010,BE10,2,351.4
2018,NUTS,2010,BE10,2,362.2
2019,NUTS,2010,BE10,2,360.6
2020,NUTS,2010,BE10,2,384.0
1999,NUTS,2010,BE2,1,939.8
2000,NUTS,2010,BE2,1,974.2
2001,NUTS,2010,BE2,1,1023.5
2002,NUTS,2010,BE2,1,1005.2
2003,NUTS,2010,BE2,1,1020.6
2004,NUTS,2010,BE2,1,1098.3
2005,NUTS,2010,BE2,1,1144.1
2006,NUTS,2010,BE2,1,1194.9
2007,NUTS,2010,BE2,1,1216.6
2008,NUTS,2010,BE2,1,1263.2
2009,NUTS,2010,BE2,1,1309.1
2010,NUTS,2010,BE2,1,1370.1
2011,NUTS,2010,BE2,1,1360.8
2012,NUTS,2010,BE2,1,1419.0
2013,NUTS,2010,BE2,1,1440.8
2014,NUTS,2010,BE2,1,1502.9
2015,NUTS,2010,BE2,1,1510.0
2016,NUTS,2010,BE2,1,1546.2
2017,NUTS,2010,BE2,1,1661.3
2018,NUTS,2010,BE2,1,1683.2
2019,NUTS,2010,BE2,1,1693.4
2020,NUTS,2010,BE2,1,1760.9
1999,NUTS,2010,BE21,2,263.5
2000,NUTS,2010,BE21,2,266.6
2001,NUTS,2010,BE21,2,294.6
2002,NUTS,2010,BE21,2,282.0
2003,NUTS,2010,BE21,2,296.3
2004,NUTS,2010,BE21,2,294.4
2005,NUTS,2010,BE21,2,307.7
2006,NUTS,2010,BE21,2,330.0
2007,NUTS,2010,BE21,2,327.6
2008,NUTS,2010,BE21,2,349.5
2009,NUTS,2010,BE21,2,346.5
2010,NUTS,2010,BE21,2,385.0
2011,NUTS,2010,BE21,2,371.9
2012,NUTS,2010,BE21,2,396.5
2013,NUTS,2010,BE21,2,401.7
2014,NUTS,2010,BE21,2,428.7
2015,NUTS,2010,BE21,2,427.9
2016,NUTS,2010,BE21,2,399.0
2017,NUTS,2010,BE21,2,437.8
2018,NUTS,2010,BE21,2,458.7
2019,NUTS,2010,BE21,2,462.3
2020,NUTS,2010,BE21,2,479.3
1999,NUTS,2010,BE22,2,95.9
2000,NUTS,2010,BE22,2,114.5
2001,NUTS,2010,BE22,2,118.0
2002,NUTS,2010,BE22,2,114.6
2003,NUTS,2010,BE22,2,117.5
2004,NUTS,2010,BE22,2,143.1
2005,NUTS,2010,BE22,2,129.5
2006,NUTS,2010,BE22,2,143.1
2007,NUTS,2010,BE22,2,146.6
2008,NUTS,2010,BE22,2,149.5
2009,NUTS,2010,BE22,2,154.8
2010,NUTS,2010,BE22,2,160.9
2011,NUTS,2010,BE22,2,160.2
2012,NUTS,2010,BE22,2,172.0
2013,NUTS,2010,BE22,2,160.1
2014,NUTS,2010,BE22,2,173.9
2015,NUTS,2010,BE22,2,181.3
2016,NUTS,2010,BE22,2,183.7
2017,NUTS,2010,BE22,2,195.1
2018,NUTS,2010,BE22,2,195.5
2019,NUTS,2010,BE22,2,204.7
2020,NUTS,2010,BE22,2,208.1
1999,NUTS,2010,BE23,2,204.2
2000,NUTS,2010,BE23,2,238.3
2001,NUTS,2010,BE23,2,207.8
2002,NUTS,2010,BE23,2,232.8
2003,NUTS,2010,BE23,2,230.3
2004,NUTS,2010,BE23,2,234.3
2005,NUTS,2010,BE23,2,257.0
2006,NUTS,2010,BE23,2,264.5
2007,NUTS,2010,BE23,2,273.9
2008,NUTS,2010,BE23,2,280.7
2009,NUTS,2010,BE23,2,304.6
2010,NUTS,2010,BE23,2,309.9
2011,NUTS,2010,BE23,2,316.8
2012,NUTS,2010,BE23,2,318.6
2013,NUTS,2010,BE23,2,339.4
2014,NUTS,2010,BE23,2,342.9
2015,NUTS,2010,BE23,2,350.1
2016,NUTS,2010,BE23,2,369.9
2017,NUTS,2010,BE23,2,394.2
2018,NUTS,2010,BE23,2,402.4
2019,NUTS,2010,BE23,2,389.2
2020,NUTS,2010,BE23,2,417.1
1999,NUTS,2010,BE24,2,201.9
2000,NUTS,2010,BE24,2,205.2
2001,NUTS,2010,BE24,2,224.5
2002,NUTS,2010,BE24,2,195.5
2003,NUTS,2010,BE24,2,218.5
2004,NUTS,2010,BE24,2,251.1
2005,NUTS,2010,BE24,2,252.8
2006,NUTS,2010,BE24,2,259.5
2007,NUTS,2010,BE24,2,262.5
2008,NUTS,2010,BE24,2,271.5
2009,NUTS,2010,BE24,2,293.0
2010,NUTS,2010,BE24,2,295.7
2011,NUTS,2010,BE24,2,283.8
2012,NUTS,2010,BE24,2,296.6
2013,NUTS,2010,BE24,2,303.4
2014,NUTS,2010,BE24,2,312.2
2015,NUTS,2010,BE24,2,307.6
2016,NUTS,2010,BE24,2,327.0
2017,NUTS,2010,BE24,2,354.1
2018,NUTS,2010,BE24,2,346.5
2019,NUTS,2010,BE24,2,351.0
2020,NUTS,2010,BE24,2,362.4
1999,NUTS,2010,BE25,2,174.3
2000,NUTS,2010,BE25,2,149.7
2001,NUTS,2010,BE25,2,178.6
2002,NUTS,2010,BE25,2,180.3
2003,NUTS,2010,BE25,2,158.0
2004,NUTS,2010,BE25,2,175.4
2005,NUTS,2010,BE25,2,197.2
2006,NUTS,2010,BE25,2,197.7
2007,NUTS,2010,BE25,2,205.9
2008,NUTS,2010,BE25,2,212.0
2009,NUTS,2010,BE25,2,210.3
2010,NUTS,2010,BE25,2,218.7
2011,NUTS,2010,BE25,2,228.0
2012,NUTS,2010,BE25,2,235.3
2013,NUTS,2010,BE25,2,236.1
2014,NUTS,2010,BE25,2,245.1
2015,NUTS,2010,BE25,2,243.1
2016,NUTS,2010,BE25,2,266.6
2017,NUTS,2010,BE25,2,280.1
2018,NUTS,2010,BE25,2,280.2
2019,NUTS,2010,BE25,2,286.2
2020,NUTS,2010,BE25,2,294.0
1999,NUTS,2010,BE3,1,498.0
2000,NUTS,2010,BE3,1,484.3
2001,NUTS,2010,BE3,1,502.3
2002,NUTS,2010,BE3,1,544.8
2003,NUTS,2010,BE3,1,529.9
2004,NUTS,2010,BE3,1,558.8
2005,NUTS,2010,BE3,1,589.4
2006,NUTS,2010,BE3,1,601.4
2007,NUTS,2010,BE3,1,629.6
2008,NUTS,2010,BE3,1,626.4
2009,NUTS,2010,BE3,1,649.6
2010,NUTS,2010,BE3,1,710.1
2011,NUTS,2010,BE3,1,707.2
2012,NUTS,2010,BE3,1,724.6
2013,NUTS,2010,BE3,1,732.5
2014,NUTS,2010,BE3,1,759.0
2015,NUTS,2010,BE3,1,768.3
2016,NUTS,2010,BE3,1,789.9
2017,NUTS,2010,BE3,1,841.8
2018,NUTS,2010,BE3,1,858.2
2019,NUTS,2010,BE3,1,863.9
2020,NUTS,2010,BE3,1,898.2
1999,NUTS,2010,BE31,2,79.0
2000,NUTS,2010,BE31,2,82.4
2001,NUTS,2010,BE31,2,85.7
2002,NUTS,2010,BE31,2,83.9
2003,NUTS,2010,BE31,2,97.5
2004,NUTS,2010,BE31,2,92.8
2005,NUTS,2010,BE31,2,99.3
2006,NUTS,2010,BE31,2,101.2
2007,NUTS,2010,BE31,2,106.8
2008,NUTS,2010,BE31,2,108.3
2009,NUTS,2010,BE31,2,112.3
2010,NUTS,2010,BE31,2,118.1
2011,NUTS,2010,BE31,2,130.7
2012,NUTS,2010,BE31,2,122.8
2013,NUTS,2010,BE31,2,124.5
2014,NUTS,2010,BE31,2,125.7
2015,NUTS,2010,BE31,2,134.9
2016,NUTS,2010,BE31,2,129.4
2017,NUTS,2010,BE31,2,142.0
2018,NUTS,2010,BE31,2,147.3
2019,NUTS,2010,BE31,2,143.6
2020,NUTS,2010,BE31,2,150.4
1999,NUTS,2010,BE32,2,161.3
2000,NUTS,2010,BE32,2,161.0
2001,NUTS,2010,BE32,2,157.2
2002,NUTS,2010,BE32,2,178.6
2003,NUTS,2010,BE32,2,161.9
2004,NUTS,2010,BE32,2,190.3
2005,NUTS,2010,BE32,2,178.2
2006,NUTS,2010,BE32,2,179.7
2007,NUTS,2010,BE32,2,196.8
2008,NUTS,2010,BE32,2,197.4
2009,NUTS,2010,BE32,2,191.9
2010,NUTS,2010,BE32,2,232.5
2011,NUTS,2010,BE32,2,212.1
2012,NUTS,2010,BE32,2,225.1
2013,NUTS,2010,BE32,2,231.5
2014,NUTS,2010,BE32,2,233.7
2015,NUTS,2010,BE32,2,230.0
2016,NUTS,2010,BE32,2,256.1
2017,NUTS,2010,BE32,2,263.2
2018,NUTS,2010,BE32,2,267.3
2019,NUTS,2010,BE32,2,270.4
2020,NUTS,2010,BE32,2,272.6
1999,NUTS,2010,BE33,2,154.1
2000,NUTS,2010,BE33,2,134.6
2001,NUTS,2010,BE33,2,153.2
2002,NUTS,2010,BE33,2,169.2
2003,NUTS,2010,BE33,2,173.5
2004,NUTS,2010,BE33,2,165.6
2005,NUTS,2010,BE33,2,187.9
2006,NUTS,2010,BE33,2,185.3
2007,NUTS,2010,BE33,2,195.8
2008,NUTS,2010,BE33,2,187.8
2009,NUTS,2010,BE33,2,202.3
2010,NUTS,2010,BE33,2,207.9
2011,NUTS,2010,BE33,2,215.7
2012,NUTS,2010,BE33,2,215.4
2013,NUTS,2010,BE33,2,221.9
2014,NUTS,2010,BE33,2,227.1
2015,NUTS,2010,BE33,2,232.3
2016,NUTS,2010,BE33,2,235.1
2017,NUTS,2010,BE33,2,246.2
2018,NUTS,2010,BE33,2,251.9
2019,NUTS,2010,BE33,2,257.4
2020,NUTS,2010,BE33,2,273.4
1999,NUTS,2010,BE34,2,31.7
2000,NUTS,2010,BE34,2,36.1
2001,NUTS,2010,BE34,2,37.9
2002,NUTS,2010,BE34,2,41.6
2003,NUTS,2010,BE34,2,32.5
2004,NUTS,2010,BE34,2,37.7
2005,NUTS,2010,BE34,2,41.4
2006,NUTS,2010,BE34,2,49.6
2007,NUTS,2010,BE34,2,45.3
2008,NUTS,2010,BE34,2,48.8
2009,NUTS,2010,BE34,2,53.0
2010,NUTS,2010,BE34,2,53.0
2011,NUTS,2010,BE34,2,50.8
2012,NUTS,2010,BE34,2,56.8
2013,NUTS,2010,BE34,2,53.8
2014,NUTS,2010,BE34,2,60.3
2015,NUTS,2010,BE34,2,63.1
2016,NUTS,2010,BE34,2,61.0
2017,NUTS,2010,BE34,2,66.0
2018,NUTS,2010,BE34,2,68.8
2019,NUTS,2010,BE34,2,72.0
2020,NUTS,2010,BE34,2,75.2
1999,NUTS,2010,BE35,2,71.8
2000,NUTS,2010,BE35,2,70.2
2001,NUTS,2010,BE35,2,68.3
2002,NUTS,2010,BE35,2,71.5
2003,NUTS,2010,BE35,2,64.5
2004,NUTS,2010,BE35,2,72.4
2005,NUTS,2010,BE35,2,82.6
2006,NUTS,2010,BE35,2,85.7
2007,NUTS,2010,BE35,2,85.0
2008,NUTS,2010,BE35,2,84.0
2009,NUTS,2010,BE35,2,90.0
2010,NUTS,2010,BE35,2,98.7
2011,NUTS,2010,BE35,2,97.9
2012,NUTS,2010,BE35,2,104.5
2013,NUTS,2010,BE35,2,100.8
2014,NUTS,2010,BE35,2,112.2
2015,NUTS,2010,BE35,2,108.1
2016,NUTS,2010,BE35,2,108.3
2017,NUTS,2010,BE35,2,124.5
2018,NUTS,2010,BE35,2,122.9
2019,NUTS,2010,BE35,2,120.4
2020,NUTS,2010,BE35,2,126.6
2000,NUTS,2010,BG,0,913.8
2001,NUTS,2010,BG,0,1046.0
2002,NUTS,2010,BG,0,1030.5
2003,NUTS,2010,BG,0,1023.3
2004,NUTS,2010,BG,0,1033.2
2005,NUTS,2010,BG,0,1049.0
2006,NUTS,2010,BG,0,1065.1
2007,NUTS,2010,BG,0,1080.4
2008,NUTS,2010,BG,0,1094.5
2009,NUTS,2010,BG,0,1110.2
2010,NUTS,2010,BG,0,1119.7
2011,NUTS,2010,BG,0,1124.4
2012,NUTS,2010,BG,0,1142.3
2013,NUTS,2010,BG,0,1214.3
2014,NUTS,2010,BG,0,1274.6
2015,NUTS,2010,BG,0,1287.6
2016,NUTS,2010,BG,0,1292.0
2017,NUTS,2010,BG,0,1286.5
2018,NUTS,2010,BG,0,1287.5
2019,NUTS,2010,BG,0,1267.2
2020,NUTS,2010,BG,0,1307.9
2003,NUTS,2010,BG3,1,475.2
2004,NUTS,2010,BG3,1,485.2
2005,NUTS,2010,BG3,1,471.0
2006,NUTS,2010,BG3,1,464.4
2007,NUTS,2010,BG3,1,460.9
2008,NUTS,2010,BG3,1,464.1
2009,NUTS,2010,BG3,1,468.5
2010,NUTS,2010,BG3,1,470.2
2011,NUTS,2010,BG3,1,480.0
2012,NUTS,2010,BG3,1,490.2
2013,NUTS,2010,BG3,1,520.1
2014,NUTS,2010,BG3,1,535.8
2015,NUTS,2010,BG3,1,538.6
2016,NUTS,2010,BG3,1,533.9
2017,NUTS,2010,BG3,1,529.7
2018,NUTS,2010,BG3,1,525.5
2019,NUTS,2010,BG3,1,504.6
2020,NUTS,2010,BG3,1,513.3
2003,NUTS,2010,BG31,2,117.4
2004,NUTS,2010,BG31,2,115.4
2005,NUTS,2010,BG31,2,106.8
2006,NUTS,2010,BG31,2,106.6
2007,NUTS,2010,BG31,2,101.0
2008,NUTS,2010,BG31,2,99.8
2009,NUTS,2010,BG31,2,96.8
