year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_rse_pc_act_hc_f
2015,NUTS,2010,BE2,1,0.3761
2017,NUTS,2010,BE2,1,0.409
2019,NUTS,2010,BE2,1,0.5071
2011,NUTS,2010,BE3,1,0.3591
2013,NUTS,2010,BE3,1,0.2814
2015,NUTS,2010,BE3,1,0.4776
2017,NUTS,2010,BE3,1,0.5984
2019,NUTS,2010,BE3,1,0.3958
2011,NUTS,2010,BG,0,0.0512
2012,NUTS,2010,BG,0,0.0664
2013,NUTS,2010,BG,0,0.0881
2014,NUTS,2010,BG,0,0.102
2015,NUTS,2010,BG,0,0.1588
2016,NUTS,2010,BG,0,0.1914
2017,NUTS,2010,BG,0,0.188
2018,NUTS,2010,BG,0,0.215
2019,NUTS,2010,BG,0,0.2317
2011,NUTS,2010,BG3,1,0.0193
2012,NUTS,2010,BG3,1,0.026
2015,NUTS,2010,BG3,1,0.0859
2016,NUTS,2010,BG3,1,0.0738
2017,NUTS,2010,BG3,1,0.0886
2018,NUTS,2010,BG3,1,0.1146
2019,NUTS,2010,BG3,1,0.1241
2016,NUTS,2010,BG31,2,0.1127
2017,NUTS,2010,BG31,2,0.1297
2018,NUTS,2010,BG31,2,0.1447
2019,NUTS,2010,BG31,2,0.1469
2011,NUTS,2010,BG32,2,0.0159
2012,NUTS,2010,BG32,2,0.0236
2013,NUTS,2010,BG32,2,0.0338
2014,NUTS,2010,BG32,2,0.0441
2016,NUTS,2010,BG32,2,0.0687
2017,NUTS,2010,BG32,2,0.101
2018,NUTS,2010,BG32,2,0.1364
2019,NUTS,2010,BG32,2,0.1454
2011,NUTS,2010,BG33,2,0.0172
2012,NUTS,2010,BG33,2,0.0202
2015,NUTS,2010,BG33,2,0.0746
2016,NUTS,2010,BG33,2,0.0736
2017,NUTS,2010,BG33,2,0.0761
2018,NUTS,2010,BG33,2,0.1096
2019,NUTS,2010,BG33,2,0.1236
2015,NUTS,2010,BG34,2,0.0771
2016,NUTS,2010,BG34,2,0.0527
2017,NUTS,2010,BG34,2,0.0647
2018,NUTS,2010,BG34,2,0.0832
2019,NUTS,2010,BG34,2,0.0938
2011,NUTS,2010,BG4,1,0.079
2012,NUTS,2010,BG4,1,0.1013
2015,NUTS,2010,BG4,1,0.2182
2016,NUTS,2010,BG4,1,0.2889
2017,NUTS,2010,BG4,1,0.2666
2018,NUTS,2010,BG4,1,0.2913
2019,NUTS,2010,BG4,1,0.3125
2011,NUTS,2010,BG41,2,0.0981
2012,NUTS,2010,BG41,2,0.1363
2013,NUTS,2010,BG41,2,0.1939
2015,NUTS,2010,BG41,2,0.3056
2016,NUTS,2010,BG41,2,0.418
2017,NUTS,2010,BG41,2,0.3757
2018,NUTS,2010,BG41,2,0.4067
2019,NUTS,2010,BG41,2,0.4375
2011,NUTS,2010,BG42,2,0.0465
2012,NUTS,2010,BG42,2,0.0436
2014,NUTS,2010,BG42,2,0.0267
2015,NUTS,2010,BG42,2,0.0688
2016,NUTS,2010,BG42,2,0.0634
2017,NUTS,2010,BG42,2,0.0821
2018,NUTS,2010,BG42,2,0.09
2019,NUTS,2010,BG42,2,0.0975
2012,NUTS,2010,CH,0,0.2045
2015,NUTS,2010,CH,0,0.2584
2017,NUTS,2010,CH,0,0.285
2019,NUTS,2010,CH,0,0.2995
2012,NUTS,2010,CH01,2,0.2136
2015,NUTS,2010,CH01,2,0.3106
2017,NUTS,2010,CH01,2,0.2451
2019,NUTS,2010,CH01,2,0.2904
2012,NUTS,2010,CH02,2,0.1671
2015,NUTS,2010,CH02,2,0.0978
2017,NUTS,2010,CH02,2,0.1093
2019,NUTS,2010,CH02,2,0.0917
2012,NUTS,2010,CH03,2,0.2729
2015,NUTS,2010,CH03,2,0.7461
2017,NUTS,2010,CH03,2,0.904
2019,NUTS,2010,CH03,2,1.0174
2012,NUTS,2010,CH04,2,0.3135
2015,NUTS,2010,CH04,2,0.1778
2017,NUTS,2010,CH04,2,0.1864
2019,NUTS,2010,CH04,2,0.1578
2012,NUTS,2010,CH05,2,0.0905
2015,NUTS,2010,CH05,2,0.1137
2017,NUTS,2010,CH05,2,0.1097
2019,NUTS,2010,CH05,2,0.1441
2012,NUTS,2010,CH06,2,0.0725
2015,NUTS,2010,CH06,2,0.2128
2017,NUTS,2010,CH06,2,0.2948
2019,NUTS,2010,CH06,2,0.2634
2012,NUTS,2010,CH07,2,0.25
2015,NUTS,2010,CH07,2,0.0587
2017,NUTS,2010,CH07,2,0.1513
2019,NUTS,2010,CH07,2,0.1103
2011,NUTS,2010,CY,0,0.048
2012,NUTS,2010,CY,0,0.049
2013,NUTS,2010,CY,0,0.052
2014,NUTS,2010,CY,0,0.0517
2015,NUTS,2010,CY,0,0.0465
2016,NUTS,2010,CY,0,0.0538
2017,NUTS,2010,CY,0,0.0663
2018,NUTS,2010,CY,0,0.0903
2019,NUTS,2010,CY,0,0.0957
2011,NUTS,2010,CZ,0,0.098
2012,NUTS,2010,CZ,0,0.1062
2013,NUTS,2010,CZ,0,0.1159
2014,NUTS,2010,CZ,0,0.1298
2015,NUTS,2010,CZ,0,0.1255
2016,NUTS,2010,CZ,0,0.1233
2017,NUTS,2010,CZ,0,0.128
2018,NUTS,2010,CZ,0,0.1341
2019,NUTS,2010,CZ,0,0.1453
2020,NUTS,2010,CZ,0,0.1572
2011,NUTS,2010,CZ0,1,0.0966
2012,NUTS,2010,CZ0,1,0.1046
2013,NUTS,2010,CZ0,1,0.1139
2014,NUTS,2010,CZ0,1,0.1277
2015,NUTS,2010,CZ0,1,0.123
2016,NUTS,2010,CZ0,1,0.1206
2017,NUTS,2010,CZ0,1,0.125
2018,NUTS,2010,CZ0,1,0.1306
2019,NUTS,2010,CZ0,1,0.1414
2020,NUTS,2010,CZ0,1,0.1531
2011,NUTS,2010,CZ01,2,0.1912
2012,NUTS,2010,CZ01,2,0.2481
2013,NUTS,2010,CZ01,2,0.275
2014,NUTS,2010,CZ01,2,0.2856
2015,NUTS,2010,CZ01,2,0.2887
2016,NUTS,2010,CZ01,2,0.3525
2017,NUTS,2010,CZ01,2,0.3101
2018,NUTS,2010,CZ01,2,0.3151
2019,NUTS,2010,CZ01,2,0.307
2020,NUTS,2010,CZ01,2,0.3374
2011,NUTS,2010,CZ02,2,0.1572
2012,NUTS,2010,CZ02,2,0.1546
2013,NUTS,2010,CZ02,2,0.1193
2014,NUTS,2010,CZ02,2,0.1106
2015,NUTS,2010,CZ02,2,0.1148
2016,NUTS,2010,CZ02,2,0.0613
2017,NUTS,2010,CZ02,2,0.0921
2018,NUTS,2010,CZ02,2,0.1086
2019,NUTS,2010,CZ02,2,0.1152
2020,NUTS,2010,CZ02,2,0.1162
2011,NUTS,2010,CZ03,2,0.0365
2012,NUTS,2010,CZ03,2,0.0418
2013,NUTS,2010,CZ03,2,0.0475
2014,NUTS,2010,CZ03,2,0.0524
2015,NUTS,2010,CZ03,2,0.0564
2016,NUTS,2010,CZ03,2,0.0616
2017,NUTS,2010,CZ03,2,0.0672
2018,NUTS,2010,CZ03,2,0.0725
2019,NUTS,2010,CZ03,2,0.0862
2020,NUTS,2010,CZ03,2,0.0905
2011,NUTS,2010,CZ04,2,0.0288
2012,NUTS,2010,CZ04,2,0.0307
2013,NUTS,2010,CZ04,2,0.0408
2014,NUTS,2010,CZ04,2,0.037
2015,NUTS,2010,CZ04,2,0.0363
2016,NUTS,2010,CZ04,2,0.0354
2017,NUTS,2010,CZ04,2,0.0433
2018,NUTS,2010,CZ04,2,0.0405
2019,NUTS,2010,CZ04,2,0.0433
2020,NUTS,2010,CZ04,2,0.0413
2011,NUTS,2010,CZ05,2,0.0877
2012,NUTS,2010,CZ05,2,0.1085
2013,NUTS,2010,CZ05,2,0.1182
2014,NUTS,2010,CZ05,2,0.1111
2015,NUTS,2010,CZ05,2,0.1192
2016,NUTS,2010,CZ05,2,0.111
2017,NUTS,2010,CZ05,2,0.1264
2018,NUTS,2010,CZ05,2,0.1181
2019,NUTS,2010,CZ05,2,0.12
2020,NUTS,2010,CZ05,2,0.1349
2011,NUTS,2010,CZ06,2,0.1221
2012,NUTS,2010,CZ06,2,0.1015
2013,NUTS,2010,CZ06,2,0.1459
2014,NUTS,2010,CZ06,2,0.2349
2015,NUTS,2010,CZ06,2,0.1776
2016,NUTS,2010,CZ06,2,0.1549
2017,NUTS,2010,CZ06,2,0.1537
2018,NUTS,2010,CZ06,2,0.1683
2019,NUTS,2010,CZ06,2,0.1941
2020,NUTS,2010,CZ06,2,0.2188
2011,NUTS,2010,CZ07,2,0.0784
2012,NUTS,2010,CZ07,2,0.0771
2013,NUTS,2010,CZ07,2,0.0798
2014,NUTS,2010,CZ07,2,0.0788
2015,NUTS,2010,CZ07,2,0.0868
2016,NUTS,2010,CZ07,2,0.0832
2017,NUTS,2010,CZ07,2,0.0828
2018,NUTS,2010,CZ07,2,0.081
2019,NUTS,2010,CZ07,2,0.1156
2020,NUTS,2010,CZ07,2,0.1171
2011,NUTS,2010,CZ08,2,0.0445
2012,NUTS,2010,CZ08,2,0.0452
2013,NUTS,2010,CZ08,2,0.0462
2014,NUTS,2010,CZ08,2,0.0482
2015,NUTS,2010,CZ08,2,0.0542
2016,NUTS,2010,CZ08,2,0.0612
2017,NUTS,2010,CZ08,2,0.0785
2018,NUTS,2010,CZ08,2,0.0873
2019,NUTS,2010,CZ08,2,0.0931
2020,NUTS,2010,CZ08,2,0.0984
2011,NUTS,2010,DE,0,0.166
2013,NUTS,2010,DE,0,0.1667
2015,NUTS,2010,DE,0,0.1971
2017,NUTS,2010,DE,0,0.2135
2019,NUTS,2010,DE,0,0.2351
2017,NUTS,2010,DE1,1,0.3868
2019,NUTS,2010,DE1,1,0.411
2017,NUTS,2010,DE11,2,0.5571
2019,NUTS,2010,DE11,2,0.572
2017,NUTS,2010,DE12,2,0.3297
2019,NUTS,2010,DE12,2,0.3438
2017,NUTS,2010,DE13,2,0.172
2019,NUTS,2010,DE13,2,0.1977
2017,NUTS,2010,DE14,2,0.3612
2019,NUTS,2010,DE14,2,0.415
2017,NUTS,2010,DE2,1,0.2455
2019,NUTS,2010,DE2,1,0.2801
2017,NUTS,2010,DE21,2,0.3805
2019,NUTS,2010,DE21,2,0.4399
2017,NUTS,2010,DE22,2,0.1
2019,NUTS,2010,DE22,2,0.1128
2017,NUTS,2010,DE23,2,0.1728
2019,NUTS,2010,DE23,2,0.226
2017,NUTS,2010,DE24,2,0.1476
2019,NUTS,2010,DE24,2,0.1827
2017,NUTS,2010,DE25,2,0.2386
2019,NUTS,2010,DE25,2,0.2699
2017,NUTS,2010,DE26,2,0.2044
2019,NUTS,2010,DE26,2,0.2074
2017,NUTS,2010,DE27,2,0.1239
2019,NUTS,2010,DE27,2,0.1214
2017,NUTS,2010,DE3,1,0.2494
2019,NUTS,2010,DE3,1,0.2712
2017,NUTS,2010,DE30,2,0.2494
2019,NUTS,2010,DE30,2,0.2712
2017,NUTS,2010,DE4,1,0.0897
2019,NUTS,2010,DE4,1,0.0961
2017,NUTS,2010,DE40,2,0.0897
2019,NUTS,2010,DE40,2,0.0961
2017,NUTS,2010,DE5,1,0.1897
2019,NUTS,2010,DE5,1,0.2328
2017,NUTS,2010,DE50,2,0.1897
2019,NUTS,2010,DE50,2,0.2328
2017,NUTS,2010,DE6,1,0.2035
2019,NUTS,2010,DE6,1,0.2187
2017,NUTS,2010,DE60,2,0.2035
2019,NUTS,2010,DE60,2,0.2187
2017,NUTS,2010,DE7,1,0.2426
2019,NUTS,2010,DE7,1,0.2554
2017,NUTS,2010,DE71,2,0.311
2019,NUTS,2010,DE71,2,0.3319
2017,NUTS,2010,DE72,2,0.1469
2019,NUTS,2010,DE72,2,0.1379
2017,NUTS,2010,DE73,2,0.0943
2019,NUTS,2010,DE73,2,0.0933
2017,NUTS,2010,DE8,1,0.0801
2019,NUTS,2010,DE8,1,0.0984
2017,NUTS,2010,DE80,2,0.0801
2019,NUTS,2010,DE80,2,0.0984
2017,NUTS,2010,DE9,1,0.1378
2019,NUTS,2010,DE9,1,0.15
2017,NUTS,2010,DE91,2,0.3565
2019,NUTS,2010,DE91,2,0.3843
2017,NUTS,2010,DE92,2,0.1279
2019,NUTS,2010,DE92,2,0.1354
2017,NUTS,2010,DE93,2,0.0524
2019,NUTS,2010,DE93,2,0.0569
2017,NUTS,2010,DE94,2,0.0689
2019,NUTS,2010,DE94,2,0.0819
2017,NUTS,2010,DEA,1,0.1577
2019,NUTS,2010,DEA,1,0.1699
2017,NUTS,2010,DEA1,2,0.2312
2019,NUTS,2010,DEA1,2,0.2563
2017,NUTS,2010,DEA2,2,0.1801
2019,NUTS,2010,DEA2,2,0.1875
2017,NUTS,2010,DEA3,2,0.0614
2019,NUTS,2010,DEA3,2,0.0668
2017,NUTS,2010,DEA4,2,0.1532
2019,NUTS,2010,DEA4,2,0.1753
2017,NUTS,2010,DEA5,2,0.0942
2019,NUTS,2010,DEA5,2,0.0978
2017,NUTS,2010,DEB,1,0.1672
2019,NUTS,2010,DEB,1,0.2017
2017,NUTS,2010,DEB1,2,0.0625
2019,NUTS,2010,DEB1,2,0.0793
2017,NUTS,2010,DEB2,2,0.0497
2019,NUTS,2010,DEB2,2,0.0511
2017,NUTS,2010,DEB3,2,0.2763
2019,NUTS,2010,DEB3,2,0.3319
2017,NUTS,2010,DEC,1,0.1584
2019,NUTS,2010,DEC,1,0.1667
2017,NUTS,2010,DEC0,2,0.1584
2019,NUTS,2010,DEC0,2,0.1667
2017,NUTS,2010,DED,1,0.1609
2019,NUTS,2010,DED,1,0.177
2017,NUTS,2010,DED2,2,0.201
2019,NUTS,2010,DED2,2,0.2315
2017,NUTS,2010,DED4,2,0.1759
2019,NUTS,2010,DED4,2,0.1924
2017,NUTS,2010,DED5,2,0.0828
2019,NUTS,2010,DED5,2,0.0792
2017,NUTS,2010,DEE,1,0.0654
2019,NUTS,2010,DEE,1,0.0796
2017,NUTS,2010,DEE0,2,0.0654
2019,NUTS,2010,DEE0,2,0.0796
2017,NUTS,2010,DEF,1,0.087
2019,NUTS,2010,DEF,1,0.092
2017,NUTS,2010,DEF0,2,0.087
2019,NUTS,2010,DEF0,2,0.092
2017,NUTS,2010,DEG,1,0.1403
2019,NUTS,2010,DEG,1,0.1608
2017,NUTS,2010,DEG0,2,0.1403
2019,NUTS,2010,DEG0,2,0.1608
2011,NUTS,2010,DK,0,0.5801
2012,NUTS,2010,DK,0,0.6125
2013,NUTS,2010,DK,0,0.5654
2015,NUTS,2010,DK,0,0.5458
2017,NUTS,2010,DK,0,0.6332
2019,NUTS,2010,DK,0,0.5678
2011,NUTS,2010,DK0,1,0.5323
2013,NUTS,2010,DK0,1,0.5745
2015,NUTS,2010,DK0,1,0.5357
2017,NUTS,2010,DK0,1,0.6202
2019,NUTS,2010,DK0,1,0.5563
2011,NUTS,2010,DK01,2,1.2257
2013,NUTS,2010,DK01,2,1.2605
2015,NUTS,2010,DK01,2,1.1414
2017,NUTS,2010,DK01,2,1.4258
2019,NUTS,2010,DK01,2,1.1573
2011,NUTS,2010,DK02,2,0.1305
2013,NUTS,2010,DK02,2,0.2262
2015,NUTS,2010,DK02,2,0.1288
2017,NUTS,2010,DK02,2,0.1836
2019,NUTS,2010,DK02,2,0.1846
2011,NUTS,2010,DK03,2,0.2457
2013,NUTS,2010,DK03,2,0.2722
2015,NUTS,2010,DK03,2,0.4153
2017,NUTS,2010,DK03,2,0.2365
2019,NUTS,2010,DK03,2,0.28
2011,NUTS,2010,DK04,2,0.2112
2013,NUTS,2010,DK04,2,0.2609
2015,NUTS,2010,DK04,2,0.1668
2017,NUTS,2010,DK04,2,0.1914
2019,NUTS,2010,DK04,2,0.3067
2011,NUTS,2010,DK05,2,0.0621
2013,NUTS,2010,DK05,2,0.0487
2015,NUTS,2010,DK05,2,0.0667
2017,NUTS,2010,DK05,2,0.0926
2019,NUTS,2010,DK05,2,0.0826
2011,NUTS,2010,EA19,2,0.1899
2013,NUTS,2010,EA19,2,0.2109
2015,NUTS,2010,EA19,2,0.2332
2017,NUTS,2010,EA19,2,0.267
2019,NUTS,2010,EA19,2,0.3009
2011,NUTS,2010,EE,0,0.2112
2012,NUTS,2010,EE,0,0.1878
2013,NUTS,2010,EE,0,0.1726
2014,NUTS,2010,EE,0,0.1937
2015,NUTS,2010,EE,0,0.1556
2016,NUTS,2010,EE,0,0.1486
2017,NUTS,2010,EE,0,0.1702
2018,NUTS,2010,EE,0,0.1808
2019,NUTS,2010,EE,0,0.2139
2011,NUTS,2010,EL,0,0.0867
2013,NUTS,2010,EL,0,0.0764
2015,NUTS,2010,EL,0,0.0934
2017,NUTS,2010,EL,0,0.2205
2019,NUTS,2010,EL,0,0.2277
2011,NUTS,2010,EL3,1,0.1401
2011,NUTS,2010,EL30,2,0.1401
2011,NUTS,2010,EL4,1,0.0058
2011,NUTS,2010,EL41,2,0.0
2011,NUTS,2010,EL42,2,0.0
2011,NUTS,2010,EL43,2,0.0101
2011,NUTS,2010,EL5,1,0.0884
2011,NUTS,2010,EL51,2,0.0175
2011,NUTS,2010,EL52,2,0.1298
2011,NUTS,2010,EL53,2,0.0335
2011,NUTS,2010,EL54,2,0.0228
2011,NUTS,2010,EL6,1,0.0258
2011,NUTS,2010,EL61,2,0.0074
2011,NUTS,2010,EL62,2,0.0
2011,NUTS,2010,EL63,2,0.0461
2011,NUTS,2010,EL64,2,0.0474
2011,NUTS,2010,EL65,2,0.0175
2011,NUTS,2010,ES,0,0.166
2012,NUTS,2010,ES,0,0.1646
2013,NUTS,2010,ES,0,0.1703
2014,NUTS,2010,ES,0,0.1722
2015,NUTS,2010,ES,0,0.1753
2016,NUTS,2010,ES,0,0.1807
2017,NUTS,2010,ES,0,0.1931
2018,NUTS,2010,ES,0,0.2081
2019,NUTS,2010,ES,0,0.2147
2011,NUTS,2010,ES1,1,0.1219
2012,NUTS,2010,ES1,1,0.1158
2013,NUTS,2010,ES1,1,0.1252
2014,NUTS,2010,ES1,1,0.1217
2015,NUTS,2010,ES1,1,0.1179
2016,NUTS,2010,ES1,1,0.127
2017,NUTS,2010,ES1,1,0.1505
2018,NUTS,2010,ES1,1,0.1663
2019,NUTS,2010,ES1,1,0.1702
2011,NUTS,2010,ES11,2,0.1165
2012,NUTS,2010,ES11,2,0.1138
2013,NUTS,2010,ES11,2,0.1282
2014,NUTS,2010,ES11,2,0.1246
2015,NUTS,2010,ES11,2,0.1213
2016,NUTS,2010,ES11,2,0.1327
2017,NUTS,2010,ES11,2,0.1607
2018,NUTS,2010,ES11,2,0.1836
2019,NUTS,2010,ES11,2,0.1826
2011,NUTS,2010,ES12,2,0.1614
2012,NUTS,2010,ES12,2,0.1479
2013,NUTS,2010,ES12,2,0.1458
2014,NUTS,2010,ES12,2,0.1471
2015,NUTS,2010,ES12,2,0.1337
2016,NUTS,2010,ES12,2,0.1368
2017,NUTS,2010,ES12,2,0.1473
2018,NUTS,2010,ES12,2,0.1548
2019,NUTS,2010,ES12,2,0.166
2011,NUTS,2010,ES13,2,0.0767
2012,NUTS,2010,ES13,2,0.0688
2013,NUTS,2010,ES13,2,0.0739
2014,NUTS,2010,ES13,2,0.0631
2015,NUTS,2010,ES13,2,0.0752
2016,NUTS,2010,ES13,2,0.0833
2017,NUTS,2010,ES13,2,0.1084
2018,NUTS,2010,ES13,2,0.1032
2019,NUTS,2010,ES13,2,0.1176
2011,NUTS,2010,ES2,1,0.3892
2012,NUTS,2010,ES2,1,0.3868
2013,NUTS,2010,ES2,1,0.4014
2014,NUTS,2010,ES2,1,0.4009
2015,NUTS,2010,ES2,1,0.4132
2016,NUTS,2010,ES2,1,0.4137
2017,NUTS,2010,ES2,1,0.4518
2018,NUTS,2010,ES2,1,0.4632
2019,NUTS,2010,ES2,1,0.472
2011,NUTS,2010,ES21,2,0.5758
2012,NUTS,2010,ES21,2,0.5976
2013,NUTS,2010,ES21,2,0.621
2014,NUTS,2010,ES21,2,0.6108
2015,NUTS,2010,ES21,2,0.6351
2016,NUTS,2010,ES21,2,0.6211
2017,NUTS,2010,ES21,2,0.7011
2018,NUTS,2010,ES21,2,0.7247
2019,NUTS,2010,ES21,2,0.7307
2011,NUTS,2010,ES22,2,0.3428
2012,NUTS,2010,ES22,2,0.3149
2013,NUTS,2010,ES22,2,0.3191
2014,NUTS,2010,ES22,2,0.3146
2015,NUTS,2010,ES22,2,0.346
2016,NUTS,2010,ES22,2,0.3652
2017,NUTS,2010,ES22,2,0.3454
2018,NUTS,2010,ES22,2,0.3387
2019,NUTS,2010,ES22,2,0.3576
2011,NUTS,2010,ES23,2,0.1794
2012,NUTS,2010,ES23,2,0.1549
2013,NUTS,2010,ES23,2,0.1506
2014,NUTS,2010,ES23,2,0.1666
2015,NUTS,2010,ES23,2,0.1688
2016,NUTS,2010,ES23,2,0.1593
2017,NUTS,2010,ES23,2,0.1586
2018,NUTS,2010,ES23,2,0.1556
2019,NUTS,2010,ES23,2,0.1723
2011,NUTS,2010,ES24,2,0.1425
2012,NUTS,2010,ES24,2,0.1293
2013,NUTS,2010,ES24,2,0.1402
2014,NUTS,2010,ES24,2,0.1552
2015,NUTS,2010,ES24,2,0.1379
2016,NUTS,2010,ES24,2,0.1577
2017,NUTS,2010,ES24,2,0.1649
2018,NUTS,2010,ES24,2,0.168
2019,NUTS,2010,ES24,2,0.1721
2011,NUTS,2010,ES3,1,0.2695
2012,NUTS,2010,ES3,1,0.2706
2013,NUTS,2010,ES3,1,0.2914
2014,NUTS,2010,ES3,1,0.2945
2015,NUTS,2010,ES3,1,0.2982
2016,NUTS,2010,ES3,1,0.305
2017,NUTS,2010,ES3,1,0.3154
2018,NUTS,2010,ES3,1,0.3394
2019,NUTS,2010,ES3,1,0.3494
2011,NUTS,2010,ES30,2,0.2695
2012,NUTS,2010,ES30,2,0.2706
2013,NUTS,2010,ES30,2,0.2914
2014,NUTS,2010,ES30,2,0.2945
2015,NUTS,2010,ES30,2,0.2982
2016,NUTS,2010,ES30,2,0.305
2017,NUTS,2010,ES30,2,0.3154
2018,NUTS,2010,ES30,2,0.3394
2019,NUTS,2010,ES30,2,0.3494
2011,NUTS,2010,ES4,1,0.0943
2012,NUTS,2010,ES4,1,0.0919
2013,NUTS,2010,ES4,1,0.082
2014,NUTS,2010,ES4,1,0.0863
2015,NUTS,2010,ES4,1,0.085
2016,NUTS,2010,ES4,1,0.0884
2017,NUTS,2010,ES4,1,0.0974
2018,NUTS,2010,ES4,1,0.1021
2019,NUTS,2010,ES4,1,0.1117
2011,NUTS,2010,ES41,2,0.1372
2012,NUTS,2010,ES41,2,0.1426
2013,NUTS,2010,ES41,2,0.1177
2014,NUTS,2010,ES41,2,0.1234
2015,NUTS,2010,ES41,2,0.1262
2016,NUTS,2010,ES41,2,0.1209
2017,NUTS,2010,ES41,2,0.1357
2018,NUTS,2010,ES41,2,0.1547
2019,NUTS,2010,ES41,2,0.175
2011,NUTS,2010,ES42,2,0.0686
2012,NUTS,2010,ES42,2,0.0588
2013,NUTS,2010,ES42,2,0.0543
2014,NUTS,2010,ES42,2,0.0625
2015,NUTS,2010,ES42,2,0.0575
2016,NUTS,2010,ES42,2,0.0733
2017,NUTS,2010,ES42,2,0.0764
2018,NUTS,2010,ES42,2,0.0596
2019,NUTS,2010,ES42,2,0.0674
2011,NUTS,2010,ES43,2,0.0394
2012,NUTS,2010,ES43,2,0.0362
2013,NUTS,2010,ES43,2,0.0524
2014,NUTS,2010,ES43,2,0.0451
2015,NUTS,2010,ES43,2,0.0421
2016,NUTS,2010,ES43,2,0.0411
2017,NUTS,2010,ES43,2,0.0491
2018,NUTS,2010,ES43,2,0.0636
2019,NUTS,2010,ES43,2,0.0523
2011,NUTS,2010,ES5,1,0.1616
2012,NUTS,2010,ES5,1,0.1596
2013,NUTS,2010,ES5,1,0.1659
2014,NUTS,2010,ES5,1,0.171
2015,NUTS,2010,ES5,1,0.1784
2016,NUTS,2010,ES5,1,0.1864
2017,NUTS,2010,ES5,1,0.2006
2018,NUTS,2010,ES5,1,0.2163
2019,NUTS,2010,ES5,1,0.2254
2011,NUTS,2010,ES51,2,0.2047
