year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_hc_total_t
2019,NUTS,2010,CZ01,2,15019.0
2020,NUTS,2010,CZ01,2,15971.0
2011,NUTS,2010,CZ02,2,5040.0
2012,NUTS,2010,CZ02,2,5087.0
2013,NUTS,2010,CZ02,2,5118.0
2014,NUTS,2010,CZ02,2,5241.0
2015,NUTS,2010,CZ02,2,5329.0
2016,NUTS,2010,CZ02,2,5586.0
2017,NUTS,2010,CZ02,2,6160.0
2018,NUTS,2010,CZ02,2,6716.0
2019,NUTS,2010,CZ02,2,6958.0
2020,NUTS,2010,CZ02,2,6869.0
2011,NUTS,2010,CZ03,2,2939.0
2012,NUTS,2010,CZ03,2,3568.0
2013,NUTS,2010,CZ03,2,3429.0
2014,NUTS,2010,CZ03,2,3832.0
2015,NUTS,2010,CZ03,2,3976.0
2016,NUTS,2010,CZ03,2,4032.0
2017,NUTS,2010,CZ03,2,4213.0
2018,NUTS,2010,CZ03,2,4734.0
2019,NUTS,2010,CZ03,2,5193.0
2020,NUTS,2010,CZ03,2,4986.0
2011,NUTS,2010,CZ04,2,1169.0
2012,NUTS,2010,CZ04,2,1454.0
2013,NUTS,2010,CZ04,2,1412.0
2014,NUTS,2010,CZ04,2,1768.0
2015,NUTS,2010,CZ04,2,1502.0
2016,NUTS,2010,CZ04,2,1395.0
2017,NUTS,2010,CZ04,2,1603.0
2018,NUTS,2010,CZ04,2,1697.0
2019,NUTS,2010,CZ04,2,1837.0
2020,NUTS,2010,CZ04,2,1786.0
2011,NUTS,2010,CZ05,2,5756.0
2012,NUTS,2010,CZ05,2,6302.0
2013,NUTS,2010,CZ05,2,6823.0
2014,NUTS,2010,CZ05,2,6933.0
2015,NUTS,2010,CZ05,2,6974.0
2016,NUTS,2010,CZ05,2,7144.0
2017,NUTS,2010,CZ05,2,7350.0
2018,NUTS,2010,CZ05,2,7562.0
2019,NUTS,2010,CZ05,2,7799.0
2020,NUTS,2010,CZ05,2,7538.0
2011,NUTS,2010,CZ06,2,6532.0
2012,NUTS,2010,CZ06,2,7306.0
2013,NUTS,2010,CZ06,2,8170.0
2014,NUTS,2010,CZ06,2,9815.0
2015,NUTS,2010,CZ06,2,10770.0
2016,NUTS,2010,CZ06,2,11560.0
2017,NUTS,2010,CZ06,2,11663.0
2018,NUTS,2010,CZ06,2,12430.0
2019,NUTS,2010,CZ06,2,12430.0
2020,NUTS,2010,CZ06,2,12878.0
2011,NUTS,2010,CZ07,2,4006.0
2012,NUTS,2010,CZ07,2,4266.0
2013,NUTS,2010,CZ07,2,4652.0
2014,NUTS,2010,CZ07,2,4912.0
2015,NUTS,2010,CZ07,2,4944.0
2016,NUTS,2010,CZ07,2,5219.0
2017,NUTS,2010,CZ07,2,6033.0
2018,NUTS,2010,CZ07,2,6264.0
2019,NUTS,2010,CZ07,2,6741.0
2020,NUTS,2010,CZ07,2,6407.0
2011,NUTS,2010,CZ08,2,3256.0
2012,NUTS,2010,CZ08,2,3244.0
2013,NUTS,2010,CZ08,2,3445.0
2014,NUTS,2010,CZ08,2,4070.0
2015,NUTS,2010,CZ08,2,4103.0
2016,NUTS,2010,CZ08,2,4021.0
2017,NUTS,2010,CZ08,2,4933.0
2018,NUTS,2010,CZ08,2,4551.0
2019,NUTS,2010,CZ08,2,4270.0
2020,NUTS,2010,CZ08,2,4260.0
2015,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2015,NUTS,2010,CZZZ,2,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,410682.0
2013,NUTS,2010,DE,0,408512.0
2015,NUTS,2010,DE,0,451040.0
2017,NUTS,2010,DE,0,491620.0
2019,NUTS,2010,DE,0,537379.0
2011,NUTS,2010,DE1,1,107451.0
2013,NUTS,2010,DE1,1,111295.0
2015,NUTS,2010,DE1,1,122684.0
2017,NUTS,2010,DE1,1,143289.0
2019,NUTS,2010,DE1,1,156142.0
2011,NUTS,2010,DE11,2,57744.0
2013,NUTS,2010,DE11,2,61812.0
2015,NUTS,2010,DE11,2,69349.0
2017,NUTS,2010,DE11,2,82674.0
2019,NUTS,2010,DE11,2,88667.0
2011,NUTS,2010,DE12,2,20889.0
2013,NUTS,2010,DE12,2,20398.0
2015,NUTS,2010,DE12,2,22975.0
2017,NUTS,2010,DE12,2,27568.0
2019,NUTS,2010,DE12,2,29992.0
2011,NUTS,2010,DE13,2,10960.0
2013,NUTS,2010,DE13,2,10699.0
2015,NUTS,2010,DE13,2,11506.0
2017,NUTS,2010,DE13,2,12820.0
2019,NUTS,2010,DE13,2,14590.0
2011,NUTS,2010,DE14,2,17858.0
2013,NUTS,2010,DE14,2,18386.0
2015,NUTS,2010,DE14,2,18854.0
2017,NUTS,2010,DE14,2,20226.0
2019,NUTS,2010,DE14,2,22893.0
2011,NUTS,2010,DE2,1,87899.0
2013,NUTS,2010,DE2,1,87165.0
2015,NUTS,2010,DE2,1,98577.0
2017,NUTS,2010,DE2,1,104236.0
2019,NUTS,2010,DE2,1,120253.0
2011,NUTS,2010,DE21,2,52509.0
2013,NUTS,2010,DE21,2,51046.0
2015,NUTS,2010,DE21,2,57723.0
2017,NUTS,2010,DE21,2,58185.0
2019,NUTS,2010,DE21,2,66821.0
2011,NUTS,2010,DE22,2,2899.0
2013,NUTS,2010,DE22,2,3254.0
2015,NUTS,2010,DE22,2,3507.0
2017,NUTS,2010,DE22,2,4686.0
2019,NUTS,2010,DE22,2,5779.0
2011,NUTS,2010,DE23,2,4520.0
2013,NUTS,2010,DE23,2,3996.0
2015,NUTS,2010,DE23,2,4693.0
2017,NUTS,2010,DE23,2,5929.0
2019,NUTS,2010,DE23,2,7209.0
2011,NUTS,2010,DE24,2,3659.0
2013,NUTS,2010,DE24,2,3694.0
2015,NUTS,2010,DE24,2,4132.0
2017,NUTS,2010,DE24,2,4528.0
2019,NUTS,2010,DE24,2,6702.0
2011,NUTS,2010,DE25,2,11861.0
2013,NUTS,2010,DE25,2,11789.0
2015,NUTS,2010,DE25,2,12408.0
2017,NUTS,2010,DE25,2,11994.0
2019,NUTS,2010,DE25,2,14091.0
2011,NUTS,2010,DE26,2,6359.0
2013,NUTS,2010,DE26,2,6730.0
2015,NUTS,2010,DE26,2,7033.0
2017,NUTS,2010,DE26,2,9742.0
2019,NUTS,2010,DE26,2,10336.0
2011,NUTS,2010,DE27,2,6092.0
2013,NUTS,2010,DE27,2,6656.0
2015,NUTS,2010,DE27,2,9080.0
2017,NUTS,2010,DE27,2,9172.0
2019,NUTS,2010,DE27,2,9314.0
2011,NUTS,2010,DE3,1,13509.0
2013,NUTS,2010,DE3,1,13521.0
2015,NUTS,2010,DE3,1,15261.0
2017,NUTS,2010,DE3,1,15543.0
2019,NUTS,2010,DE3,1,16965.0
2011,NUTS,2010,DE30,2,13509.0
2013,NUTS,2010,DE30,2,13521.0
2015,NUTS,2010,DE30,2,15261.0
2017,NUTS,2010,DE30,2,15543.0
2019,NUTS,2010,DE30,2,16965.0
2011,NUTS,2010,DE4,1,4911.0
2013,NUTS,2010,DE4,1,4704.0
2015,NUTS,2010,DE4,1,5168.0
2017,NUTS,2010,DE4,1,5777.0
2019,NUTS,2010,DE4,1,5559.0
2011,NUTS,2010,DE40,2,4911.0
2013,NUTS,2010,DE40,2,4704.0
2015,NUTS,2010,DE40,2,5168.0
2017,NUTS,2010,DE40,2,5777.0
2019,NUTS,2010,DE40,2,5559.0
2011,NUTS,2010,DE5,1,3762.0
2013,NUTS,2010,DE5,1,2531.0
2015,NUTS,2010,DE5,1,2951.0
2017,NUTS,2010,DE5,1,2949.0
2019,NUTS,2010,DE5,1,3411.0
2011,NUTS,2010,DE50,2,3762.0
2013,NUTS,2010,DE50,2,2531.0
2015,NUTS,2010,DE50,2,2951.0
2017,NUTS,2010,DE50,2,2949.0
2019,NUTS,2010,DE50,2,3411.0
2011,NUTS,2010,DE6,1,8144.0
2013,NUTS,2010,DE6,1,8346.0
2015,NUTS,2010,DE6,1,9514.0
2017,NUTS,2010,DE6,1,11288.0
2019,NUTS,2010,DE6,1,11390.0
2011,NUTS,2010,DE60,2,8144.0
2013,NUTS,2010,DE60,2,8346.0
2015,NUTS,2010,DE60,2,9514.0
2017,NUTS,2010,DE60,2,11288.0
2019,NUTS,2010,DE60,2,11390.0
2011,NUTS,2010,DE7,1,40252.0
2013,NUTS,2010,DE7,1,37445.0
2015,NUTS,2010,DE7,1,42962.0
2017,NUTS,2010,DE7,1,44363.0
2019,NUTS,2010,DE7,1,46138.0
2011,NUTS,2010,DE71,2,31383.0
2013,NUTS,2010,DE71,2,27768.0
2015,NUTS,2010,DE71,2,34006.0
2017,NUTS,2010,DE71,2,34770.0
2019,NUTS,2010,DE71,2,36809.0
2011,NUTS,2010,DE72,2,3577.0
2013,NUTS,2010,DE72,2,3865.0
2015,NUTS,2010,DE72,2,3941.0
2017,NUTS,2010,DE72,2,4226.0
2019,NUTS,2010,DE72,2,4357.0
2011,NUTS,2010,DE73,2,5293.0
2013,NUTS,2010,DE73,2,5812.0
2015,NUTS,2010,DE73,2,5015.0
2017,NUTS,2010,DE73,2,5367.0
2019,NUTS,2010,DE73,2,4972.0
2011,NUTS,2010,DE8,1,3006.0
2013,NUTS,2010,DE8,1,2380.0
2015,NUTS,2010,DE8,1,2306.0
2017,NUTS,2010,DE8,1,2545.0
2019,NUTS,2010,DE8,1,2804.0
2011,NUTS,2010,DE80,2,3006.0
2013,NUTS,2010,DE80,2,2380.0
2015,NUTS,2010,DE80,2,2306.0
2017,NUTS,2010,DE80,2,2545.0
2019,NUTS,2010,DE80,2,2804.0
2011,NUTS,2010,DE9,1,30038.0
2013,NUTS,2010,DE9,1,31667.0
2015,NUTS,2010,DE9,1,34673.0
2017,NUTS,2010,DE9,1,36614.0
2019,NUTS,2010,DE9,1,40204.0
2011,NUTS,2010,DE91,2,15428.0
2013,NUTS,2010,DE91,2,16651.0
2015,NUTS,2010,DE91,2,18808.0
2017,NUTS,2010,DE91,2,19951.0
2019,NUTS,2010,DE91,2,21318.0
2011,NUTS,2010,DE92,2,8510.0
2013,NUTS,2010,DE92,2,8269.0
2015,NUTS,2010,DE92,2,8863.0
2017,NUTS,2010,DE92,2,8291.0
2019,NUTS,2010,DE92,2,9165.0
2011,NUTS,2010,DE93,2,2741.0
2013,NUTS,2010,DE93,2,2827.0
2015,NUTS,2010,DE93,2,2767.0
2017,NUTS,2010,DE93,2,3096.0
2019,NUTS,2010,DE93,2,3325.0
2011,NUTS,2010,DE94,2,3359.0
2013,NUTS,2010,DE94,2,3920.0
2015,NUTS,2010,DE94,2,4235.0
2017,NUTS,2010,DE94,2,5276.0
2019,NUTS,2010,DE94,2,6396.0
2011,NUTS,2010,DEA,1,63531.0
2013,NUTS,2010,DEA,1,61205.0
2015,NUTS,2010,DEA,1,65536.0
2017,NUTS,2010,DEA,1,69957.0
2019,NUTS,2010,DEA,1,73413.0
2011,NUTS,2010,DEA1,2,19342.0
2013,NUTS,2010,DEA1,2,16928.0
2015,NUTS,2010,DEA1,2,19025.0
2017,NUTS,2010,DEA1,2,20269.0
2019,NUTS,2010,DEA1,2,20949.0
2011,NUTS,2010,DEA2,2,19309.0
2013,NUTS,2010,DEA2,2,16981.0
2015,NUTS,2010,DEA2,2,19071.0
2017,NUTS,2010,DEA2,2,20967.0
2019,NUTS,2010,DEA2,2,21611.0
2011,NUTS,2010,DEA3,2,3969.0
2013,NUTS,2010,DEA3,2,4362.0
2015,NUTS,2010,DEA3,2,4467.0
2017,NUTS,2010,DEA3,2,4638.0
2019,NUTS,2010,DEA3,2,5646.0
2011,NUTS,2010,DEA4,2,9937.0
2013,NUTS,2010,DEA4,2,10701.0
2015,NUTS,2010,DEA4,2,10804.0
2017,NUTS,2010,DEA4,2,11614.0
2019,NUTS,2010,DEA4,2,12063.0
2011,NUTS,2010,DEA5,2,10975.0
2013,NUTS,2010,DEA5,2,12233.0
2015,NUTS,2010,DEA5,2,12169.0
2017,NUTS,2010,DEA5,2,12469.0
2019,NUTS,2010,DEA5,2,13144.0
2011,NUTS,2010,DEB,1,14761.0
2013,NUTS,2010,DEB,1,15468.0
2015,NUTS,2010,DEB,1,17681.0
2017,NUTS,2010,DEB,1,17340.0
2019,NUTS,2010,DEB,1,20443.0
2011,NUTS,2010,DEB1,2,2774.0
2013,NUTS,2010,DEB1,2,2863.0
2015,NUTS,2010,DEB1,2,2738.0
2017,NUTS,2010,DEB1,2,3105.0
2019,NUTS,2010,DEB1,2,4133.0
2011,NUTS,2010,DEB2,2,893.0
2013,NUTS,2010,DEB2,2,820.0
2015,NUTS,2010,DEB2,2,784.0
2017,NUTS,2010,DEB2,2,772.0
2019,NUTS,2010,DEB2,2,802.0
2011,NUTS,2010,DEB3,2,11094.0
2013,NUTS,2010,DEB3,2,11785.0
2015,NUTS,2010,DEB3,2,14158.0
2017,NUTS,2010,DEB3,2,13463.0
2019,NUTS,2010,DEB3,2,15507.0
2011,NUTS,2010,DEC,1,2019.0
2013,NUTS,2010,DEC,1,2159.0
2015,NUTS,2010,DEC,1,2283.0
2017,NUTS,2010,DEC,1,3134.0
2019,NUTS,2010,DEC,1,3349.0
2011,NUTS,2010,DEC0,2,2019.0
2013,NUTS,2010,DEC0,2,2159.0
2015,NUTS,2010,DEC0,2,2283.0
2017,NUTS,2010,DEC0,2,3134.0
2019,NUTS,2010,DEC0,2,3349.0
2011,NUTS,2010,DED,1,15301.0
2013,NUTS,2010,DED,1,14201.0
2015,NUTS,2010,DED,1,15478.0
2017,NUTS,2010,DED,1,16854.0
2019,NUTS,2010,DED,1,18020.0
2011,NUTS,2010,DED2,2,8230.0
2013,NUTS,2010,DED2,2,7439.0
2015,NUTS,2010,DED2,2,8326.0
2017,NUTS,2010,DED2,2,9144.0
2019,NUTS,2010,DED2,2,9528.0
2011,NUTS,2010,DED4,2,5412.0
2013,NUTS,2010,DED4,2,5389.0
2015,NUTS,2010,DED4,2,5580.0
2017,NUTS,2010,DED4,2,5941.0
2019,NUTS,2010,DED4,2,6630.0
2011,NUTS,2010,DED5,2,1659.0
2013,NUTS,2010,DED5,2,1373.0
2015,NUTS,2010,DED5,2,1573.0
2017,NUTS,2010,DED5,2,1769.0
2019,NUTS,2010,DED5,2,1863.0
2011,NUTS,2010,DEE,1,3735.0
2013,NUTS,2010,DEE,1,3784.0
2015,NUTS,2010,DEE,1,3128.0
2017,NUTS,2010,DEE,1,3301.0
2019,NUTS,2010,DEE,1,3601.0
2011,NUTS,2010,DEE0,2,3735.0
2013,NUTS,2010,DEE0,2,3784.0
2015,NUTS,2010,DEE0,2,3128.0
2017,NUTS,2010,DEE0,2,3301.0
2019,NUTS,2010,DEE0,2,3601.0
2011,NUTS,2010,DEF,1,5475.0
2013,NUTS,2010,DEF,1,5962.0
2015,NUTS,2010,DEF,1,6205.0
2017,NUTS,2010,DEF,1,6848.0
2019,NUTS,2010,DEF,1,7260.0
2011,NUTS,2010,DEF0,2,5475.0
2013,NUTS,2010,DEF0,2,5962.0
2015,NUTS,2010,DEF0,2,6205.0
2017,NUTS,2010,DEF0,2,6848.0
2019,NUTS,2010,DEF0,2,7260.0
2011,NUTS,2010,DEG,1,6889.0
2013,NUTS,2010,DEG,1,6680.0
2015,NUTS,2010,DEG,1,6633.0
2017,NUTS,2010,DEG,1,7583.0
2019,NUTS,2010,DEG,1,8426.0
2011,NUTS,2010,DEG0,2,6889.0
2013,NUTS,2010,DEG0,2,6680.0
2015,NUTS,2010,DEG0,2,6633.0
2017,NUTS,2010,DEG0,2,7583.0
2019,NUTS,2010,DEG0,2,8426.0
2017,NUTS,2010,DEZ,1,0.0
2019,NUTS,2010,DEZ,1,0.0
2017,NUTS,2010,DEZZ,2,0.0
2019,NUTS,2010,DEZZ,2,0.0
2011,NUTS,2010,DK,0,46996.0
2012,NUTS,2010,DK,0,45664.0
2013,NUTS,2010,DK,0,44418.0
2014,NUTS,2010,DK,0,44992.0
2015,NUTS,2010,DK,0,46140.0
2016,NUTS,2010,DK,0,48811.0
