year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_ths_se
2012,NUTS,2010,BG3,1,60.6
2013,NUTS,2010,BG3,1,59.3
2014,NUTS,2010,BG3,1,69.1
2015,NUTS,2010,BG3,1,71.7
2016,NUTS,2010,BG3,1,69.4
2017,NUTS,2010,BG3,1,70.1
2018,NUTS,2010,BG3,1,74.8
2019,NUTS,2010,BG3,1,73.9
2020,NUTS,2010,BG3,1,71.8
2011,NUTS,2010,BG31,2,13.1
2012,NUTS,2010,BG31,2,12.4
2013,NUTS,2010,BG31,2,12.2
2014,NUTS,2010,BG31,2,15.1
2015,NUTS,2010,BG31,2,15.4
2016,NUTS,2010,BG31,2,13.6
2017,NUTS,2010,BG31,2,12.8
2018,NUTS,2010,BG31,2,14.6
2019,NUTS,2010,BG31,2,13.8
2020,NUTS,2010,BG31,2,13.8
2011,NUTS,2010,BG32,2,14.4
2012,NUTS,2010,BG32,2,15.1
2013,NUTS,2010,BG32,2,13.9
2014,NUTS,2010,BG32,2,14.5
2015,NUTS,2010,BG32,2,16.0
2016,NUTS,2010,BG32,2,17.4
2017,NUTS,2010,BG32,2,16.1
2018,NUTS,2010,BG32,2,19.2
2019,NUTS,2010,BG32,2,21.8
2020,NUTS,2010,BG32,2,15.8
2011,NUTS,2010,BG33,2,16.6
2012,NUTS,2010,BG33,2,15.6
2013,NUTS,2010,BG33,2,14.6
2014,NUTS,2010,BG33,2,21.1
2015,NUTS,2010,BG33,2,21.8
2016,NUTS,2010,BG33,2,20.2
2017,NUTS,2010,BG33,2,22.5
2018,NUTS,2010,BG33,2,19.5
2019,NUTS,2010,BG33,2,18.1
2020,NUTS,2010,BG33,2,21.1
2011,NUTS,2010,BG34,2,18.2
2012,NUTS,2010,BG34,2,17.6
2013,NUTS,2010,BG34,2,18.6
2014,NUTS,2010,BG34,2,18.4
2015,NUTS,2010,BG34,2,18.5
2016,NUTS,2010,BG34,2,18.2
2017,NUTS,2010,BG34,2,18.7
2018,NUTS,2010,BG34,2,21.4
2019,NUTS,2010,BG34,2,20.1
2020,NUTS,2010,BG34,2,21.0
