year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_hes_total_pc_emp_fte
2012,NUTS,2010,DED2,2,0.5186
2013,NUTS,2010,DED2,2,0.5435
2014,NUTS,2010,DED2,2,0.3284
2015,NUTS,2010,DED2,2,0.499
2016,NUTS,2010,DED2,2,0.5127
2017,NUTS,2010,DED2,2,0.5464
2018,NUTS,2010,DED2,2,0.5725
2019,NUTS,2010,DED2,2,0.5377
2008,NUTS,2010,DED4,2,0.4918
2009,NUTS,2010,DED4,2,0.2516
2010,NUTS,2010,DED4,2,0.2945
2011,NUTS,2010,DED4,2,0.3179
2012,NUTS,2010,DED4,2,0.3373
2013,NUTS,2010,DED4,2,0.3536
2014,NUTS,2010,DED4,2,0.5628
2015,NUTS,2010,DED4,2,0.3342
2016,NUTS,2010,DED4,2,0.3317
2017,NUTS,2010,DED4,2,0.3421
2018,NUTS,2010,DED4,2,0.3496
2019,NUTS,2010,DED4,2,0.343
2008,NUTS,2010,DED5,2,0.3715
2009,NUTS,2010,DED5,2,0.3992
2010,NUTS,2010,DED5,2,0.414
2011,NUTS,2010,DED5,2,0.3655
2012,NUTS,2010,DED5,2,0.3864
2013,NUTS,2010,DED5,2,0.4657
2014,NUTS,2010,DED5,2,0.4565
2015,NUTS,2010,DED5,2,0.4408
2016,NUTS,2010,DED5,2,0.4634
2017,NUTS,2010,DED5,2,0.4787
2018,NUTS,2010,DED5,2,0.4748
2019,NUTS,2010,DED5,2,0.5022
1999,NUTS,2010,DEE,1,0.2264
2000,NUTS,2010,DEE,1,0.2206
2003,NUTS,2010,DEE,1,0.2258
2004,NUTS,2010,DEE,1,0.2344
2005,NUTS,2010,DEE,1,0.2104
2006,NUTS,2010,DEE,1,0.1916
2007,NUTS,2010,DEE,1,0.1978
2008,NUTS,2010,DEE,1,0.2063
2009,NUTS,2010,DEE,1,0.2163
2010,NUTS,2010,DEE,1,0.2325
2011,NUTS,2010,DEE,1,0.2316
2012,NUTS,2010,DEE,1,0.2378
2013,NUTS,2010,DEE,1,0.2456
2014,NUTS,2010,DEE,1,0.2346
2015,NUTS,2010,DEE,1,0.2255
2016,NUTS,2010,DEE,1,0.2297
2017,NUTS,2010,DEE,1,0.2299
2018,NUTS,2010,DEE,1,0.2471
2019,NUTS,2010,DEE,1,0.2591
1999,NUTS,2010,DEE0,2,0.2264
2000,NUTS,2010,DEE0,2,0.2206
2003,NUTS,2010,DEE0,2,0.2258
2004,NUTS,2010,DEE0,2,0.2344
2005,NUTS,2010,DEE0,2,0.2104
2006,NUTS,2010,DEE0,2,0.1916
2007,NUTS,2010,DEE0,2,0.1978
2008,NUTS,2010,DEE0,2,0.2063
2009,NUTS,2010,DEE0,2,0.2163
2010,NUTS,2010,DEE0,2,0.2325
2011,NUTS,2010,DEE0,2,0.2316
2012,NUTS,2010,DEE0,2,0.2378
2013,NUTS,2010,DEE0,2,0.2456
2014,NUTS,2010,DEE0,2,0.2346
2015,NUTS,2010,DEE0,2,0.2255
2016,NUTS,2010,DEE0,2,0.2297
2017,NUTS,2010,DEE0,2,0.2299
2018,NUTS,2010,DEE0,2,0.2471
2019,NUTS,2010,DEE0,2,0.2591
1999,NUTS,2010,DEF,1,0.1733
2000,NUTS,2010,DEF,1,0.1537
2003,NUTS,2010,DEF,1,0.1804
2004,NUTS,2010,DEF,1,0.1602
2005,NUTS,2010,DEF,1,0.1719
2006,NUTS,2010,DEF,1,0.1868
2007,NUTS,2010,DEF,1,0.179
2008,NUTS,2010,DEF,1,0.1754
2009,NUTS,2010,DEF,1,0.1871
2010,NUTS,2010,DEF,1,0.2064
2011,NUTS,2010,DEF,1,0.2069
2012,NUTS,2010,DEF,1,0.2142
2013,NUTS,2010,DEF,1,0.1966
2014,NUTS,2010,DEF,1,0.2057
2015,NUTS,2010,DEF,1,0.1941
2016,NUTS,2010,DEF,1,0.2058
2017,NUTS,2010,DEF,1,0.1972
2018,NUTS,2010,DEF,1,0.2016
2019,NUTS,2010,DEF,1,0.2144
1999,NUTS,2010,DEF0,2,0.1733
2000,NUTS,2010,DEF0,2,0.1537
2003,NUTS,2010,DEF0,2,0.1804
2004,NUTS,2010,DEF0,2,0.1602
2005,NUTS,2010,DEF0,2,0.1719
2006,NUTS,2010,DEF0,2,0.1868
2007,NUTS,2010,DEF0,2,0.179
2008,NUTS,2010,DEF0,2,0.1754
2009,NUTS,2010,DEF0,2,0.1871
2010,NUTS,2010,DEF0,2,0.2064
2011,NUTS,2010,DEF0,2,0.2069
2012,NUTS,2010,DEF0,2,0.2142
2013,NUTS,2010,DEF0,2,0.1966
2014,NUTS,2010,DEF0,2,0.2057
2015,NUTS,2010,DEF0,2,0.1941
2016,NUTS,2010,DEF0,2,0.2058
2017,NUTS,2010,DEF0,2,0.1972
2018,NUTS,2010,DEF0,2,0.2016
2019,NUTS,2010,DEF0,2,0.2144
1999,NUTS,2010,DEG,1,0.2121
2000,NUTS,2010,DEG,1,0.2057
2003,NUTS,2010,DEG,1,0.2398
2004,NUTS,2010,DEG,1,0.2188
2005,NUTS,2010,DEG,1,0.2483
2006,NUTS,2010,DEG,1,0.2321
2007,NUTS,2010,DEG,1,0.233
2008,NUTS,2010,DEG,1,0.2437
2009,NUTS,2010,DEG,1,0.2546
2010,NUTS,2010,DEG,1,0.2807
2011,NUTS,2010,DEG,1,0.2823
2012,NUTS,2010,DEG,1,0.3021
2013,NUTS,2010,DEG,1,0.3049
2014,NUTS,2010,DEG,1,0.3018
2015,NUTS,2010,DEG,1,0.2976
2016,NUTS,2010,DEG,1,0.2932
2017,NUTS,2010,DEG,1,0.2948
2018,NUTS,2010,DEG,1,0.2987
2019,NUTS,2010,DEG,1,0.3083
1999,NUTS,2010,DEG0,2,0.2121
2000,NUTS,2010,DEG0,2,0.2057
2003,NUTS,2010,DEG0,2,0.2398
2004,NUTS,2010,DEG0,2,0.2188
2005,NUTS,2010,DEG0,2,0.2483
2006,NUTS,2010,DEG0,2,0.2321
2007,NUTS,2010,DEG0,2,0.233
2008,NUTS,2010,DEG0,2,0.2437
2009,NUTS,2010,DEG0,2,0.2546
2010,NUTS,2010,DEG0,2,0.2807
2011,NUTS,2010,DEG0,2,0.2823
2012,NUTS,2010,DEG0,2,0.3021
2013,NUTS,2010,DEG0,2,0.3049
2014,NUTS,2010,DEG0,2,0.3018
2015,NUTS,2010,DEG0,2,0.2976
2016,NUTS,2010,DEG0,2,0.2932
2017,NUTS,2010,DEG0,2,0.2948
2018,NUTS,2010,DEG0,2,0.2987
2019,NUTS,2010,DEG0,2,0.3083
1993,NUTS,2010,DK,0,0.2459
1995,NUTS,2010,DK,0,0.2789
1996,NUTS,2010,DK,0,0.2938
1997,NUTS,2010,DK,0,0.3074
1998,NUTS,2010,DK,0,0.2899
1999,NUTS,2010,DK,0,0.2991
2000,NUTS,2010,DK,0,0.2954
2001,NUTS,2010,DK,0,0.3064
2002,NUTS,2010,DK,0,0.3841
2003,NUTS,2010,DK,0,0.4012
2004,NUTS,2010,DK,0,0.4136
2005,NUTS,2010,DK,0,0.4273
2006,NUTS,2010,DK,0,0.4373
2007,NUTS,2010,DK,0,0.4981
2008,NUTS,2010,DK,0,0.5713
2009,NUTS,2010,DK,0,0.6328
2010,NUTS,2010,DK,0,0.7096
2011,NUTS,2010,DK,0,0.7309
2012,NUTS,2010,DK,0,0.7794
2013,NUTS,2010,DK,0,0.8183
2014,NUTS,2010,DK,0,0.8126
2015,NUTS,2010,DK,0,0.8104
2016,NUTS,2010,DK,0,0.8231
2017,NUTS,2010,DK,0,0.8062
2018,NUTS,2010,DK,0,0.7992
2019,NUTS,2010,DK,0,0.7983
2020,NUTS,2010,DK,0,0.8103
1999,NUTS,2010,DK0,1,0.296
2000,NUTS,2010,DK0,1,0.293
2001,NUTS,2010,DK0,1,0.3012
2002,NUTS,2010,DK0,1,0.3762
2003,NUTS,2010,DK0,1,0.3955
2004,NUTS,2010,DK0,1,0.4086
2007,NUTS,2010,DK0,1,0.4901
2009,NUTS,2010,DK0,1,0.6291
2010,NUTS,2010,DK0,1,0.693
2011,NUTS,2010,DK0,1,0.719
2012,NUTS,2010,DK0,1,0.7559
2013,NUTS,2010,DK0,1,0.7937
2014,NUTS,2010,DK0,1,0.7867
2015,NUTS,2010,DK0,1,0.7847
2016,NUTS,2010,DK0,1,0.7956
2017,NUTS,2010,DK0,1,0.78
2018,NUTS,2010,DK0,1,0.7729
2019,NUTS,2010,DK0,1,0.7709
2007,NUTS,2010,DK01,2,0.818
2009,NUTS,2010,DK01,2,1.1475
2010,NUTS,2010,DK01,2,1.2434
2011,NUTS,2010,DK01,2,1.2357
2012,NUTS,2010,DK01,2,1.2861
2013,NUTS,2010,DK01,2,1.352
2014,NUTS,2010,DK01,2,1.3854
2015,NUTS,2010,DK01,2,1.3373
2016,NUTS,2010,DK01,2,1.381
2017,NUTS,2010,DK01,2,1.3725
2019,NUTS,2010,DK01,2,1.338
2007,NUTS,2010,DK02,2,0.2812
2009,NUTS,2010,DK02,2,0.3178
2010,NUTS,2010,DK02,2,0.3302
2011,NUTS,2010,DK02,2,0.3233
2012,NUTS,2010,DK02,2,0.2663
2013,NUTS,2010,DK02,2,0.2749
2014,NUTS,2010,DK02,2,0.2951
2015,NUTS,2010,DK02,2,0.2973
2016,NUTS,2010,DK02,2,0.336
2017,NUTS,2010,DK02,2,0.3185
2019,NUTS,2010,DK02,2,0.3032
2007,NUTS,2010,DK03,2,0.1734
2009,NUTS,2010,DK03,2,0.2763
2010,NUTS,2010,DK03,2,0.298
2011,NUTS,2010,DK03,2,0.3106
2012,NUTS,2010,DK03,2,0.3284
2013,NUTS,2010,DK03,2,0.3494
2014,NUTS,2010,DK03,2,0.3633
2015,NUTS,2010,DK03,2,0.3836
2016,NUTS,2010,DK03,2,0.3683
2017,NUTS,2010,DK03,2,0.3054
2019,NUTS,2010,DK03,2,0.3106
2007,NUTS,2010,DK04,2,0.481
2009,NUTS,2010,DK04,2,0.5905
2010,NUTS,2010,DK04,2,0.6383
2011,NUTS,2010,DK04,2,0.6867
2012,NUTS,2010,DK04,2,0.7828
2013,NUTS,2010,DK04,2,0.7623
2014,NUTS,2010,DK04,2,0.6667
2015,NUTS,2010,DK04,2,0.7072
2016,NUTS,2010,DK04,2,0.6666
2017,NUTS,2010,DK04,2,0.6203
2019,NUTS,2010,DK04,2,0.6206
2007,NUTS,2010,DK05,2,0.4712
2009,NUTS,2010,DK05,2,0.4192
2010,NUTS,2010,DK05,2,0.4701
2011,NUTS,2010,DK05,2,0.5557
2012,NUTS,2010,DK05,2,0.5737
2013,NUTS,2010,DK05,2,0.6811
2014,NUTS,2010,DK05,2,0.6381
2015,NUTS,2010,DK05,2,0.6144
2016,NUTS,2010,DK05,2,0.6086
2017,NUTS,2010,DK05,2,0.7618
2019,NUTS,2010,DK05,2,0.7983
2000,NUTS,2010,EA19,2,0.3172
2001,NUTS,2010,EA19,2,0.3222
2002,NUTS,2010,EA19,2,0.3249
2003,NUTS,2010,EA19,2,0.3272
2004,NUTS,2010,EA19,2,0.3317
2005,NUTS,2010,EA19,2,0.3364
2006,NUTS,2010,EA19,2,0.3418
2007,NUTS,2010,EA19,2,0.3489
2008,NUTS,2010,EA19,2,0.3643
2009,NUTS,2010,EA19,2,0.3842
2010,NUTS,2010,EA19,2,0.3967
2011,NUTS,2010,EA19,2,0.3949
2012,NUTS,2010,EA19,2,0.4053
2013,NUTS,2010,EA19,2,0.4142
2014,NUTS,2010,EA19,2,0.4145
2015,NUTS,2010,EA19,2,0.4189
2016,NUTS,2010,EA19,2,0.4181
2017,NUTS,2010,EA19,2,0.4202
2018,NUTS,2010,EA19,2,0.4216
2019,NUTS,2010,EA19,2,0.4255
2020,NUTS,2010,EA19,2,0.4427
1997,NUTS,2010,EE,0,0.5149
1998,NUTS,2010,EE,0,0.5233
1999,NUTS,2010,EE,0,0.5136
2000,NUTS,2010,EE,0,0.4072
2001,NUTS,2010,EE,0,0.4054
2002,NUTS,2010,EE,0,0.45
2003,NUTS,2010,EE,0,0.4216
2004,NUTS,2010,EE,0,0.4745
2005,NUTS,2010,EE,0,0.3663
2006,NUTS,2010,EE,0,0.3658
2007,NUTS,2010,EE,0,0.3807
2008,NUTS,2010,EE,0,0.378
2009,NUTS,2010,EE,0,0.4659
2010,NUTS,2010,EE,0,0.4441
2011,NUTS,2010,EE,0,0.4675
2012,NUTS,2010,EE,0,0.5017
2013,NUTS,2010,EE,0,0.4726
2014,NUTS,2010,EE,0,0.5128
2015,NUTS,2010,EE,0,0.5011
2016,NUTS,2010,EE,0,0.4851
2017,NUTS,2010,EE,0,0.4824
2018,NUTS,2010,EE,0,0.5156
2019,NUTS,2010,EE,0,0.4679
2020,NUTS,2010,EE,0,0.4621
1993,NUTS,2010,EL,0,0.1878
1995,NUTS,2010,EL,0,0.255
1997,NUTS,2010,EL,0,0.3279
1999,NUTS,2010,EL,0,0.4393
2001,NUTS,2010,EL,0,0.3462
2003,NUTS,2010,EL,0,0.351
2005,NUTS,2010,EL,0,0.399
2006,NUTS,2010,EL,0,0.4269
2007,NUTS,2010,EL,0,0.4283
2011,NUTS,2010,EL,0,0.5208
2012,NUTS,2010,EL,0,0.5684
2013,NUTS,2010,EL,0,0.6803
2014,NUTS,2010,EL,0,0.6902
2015,NUTS,2010,EL,0,0.7729
2016,NUTS,2010,EL,0,0.5682
2017,NUTS,2010,EL,0,0.6002
2018,NUTS,2010,EL,0,0.6292
2019,NUTS,2010,EL,0,0.6642
2020,NUTS,2010,EL,0,0.7394
1999,NUTS,2010,EL3,1,0.4143
2001,NUTS,2010,EL3,1,0.3477
2003,NUTS,2010,EL3,1,0.3711
2005,NUTS,2010,EL3,1,0.4312
2011,NUTS,2010,EL3,1,0.4854
2013,NUTS,2010,EL3,1,0.7138
2015,NUTS,2010,EL3,1,0.8755
2017,NUTS,2010,EL3,1,0.5901
2019,NUTS,2010,EL3,1,0.6559
1999,NUTS,2010,EL30,2,0.4143
2001,NUTS,2010,EL30,2,0.3477
2003,NUTS,2010,EL30,2,0.3711
2005,NUTS,2010,EL30,2,0.4312
2011,NUTS,2010,EL30,2,0.4854
2013,NUTS,2010,EL30,2,0.7138
2015,NUTS,2010,EL30,2,0.8755
2017,NUTS,2010,EL30,2,0.5901
2019,NUTS,2010,EL30,2,0.6559
1999,NUTS,2010,EL4,1,0.157
2001,NUTS,2010,EL4,1,0.1939
2003,NUTS,2010,EL4,1,0.3158
2005,NUTS,2010,EL4,1,0.3216
2011,NUTS,2010,EL4,1,0.7173
2013,NUTS,2010,EL4,1,0.722
2015,NUTS,2010,EL4,1,0.659
2017,NUTS,2010,EL4,1,0.4923
2019,NUTS,2010,EL4,1,0.5229
1999,NUTS,2010,EL41,2,0.1932
2001,NUTS,2010,EL41,2,0.2016
2003,NUTS,2010,EL41,2,0.3522
2005,NUTS,2010,EL41,2,0.3627
2011,NUTS,2010,EL41,2,0.9906
2013,NUTS,2010,EL41,2,0.7881
2015,NUTS,2010,EL41,2,0.6971
2017,NUTS,2010,EL41,2,0.5826
2019,NUTS,2010,EL41,2,0.5275
1999,NUTS,2010,EL42,2,0.0285
2001,NUTS,2010,EL42,2,0.0468
2003,NUTS,2010,EL42,2,0.0819
2005,NUTS,2010,EL42,2,0.097
2011,NUTS,2010,EL42,2,0.2348
2013,NUTS,2010,EL42,2,0.2099
2015,NUTS,2010,EL42,2,0.1691
2017,NUTS,2010,EL42,2,0.1686
2019,NUTS,2010,EL42,2,0.1119
1999,NUTS,2010,EL43,2,0.2058
2001,NUTS,2010,EL43,2,0.2592
2003,NUTS,2010,EL43,2,0.4205
2005,NUTS,2010,EL43,2,0.4219
2011,NUTS,2010,EL43,2,0.8978
2013,NUTS,2010,EL43,2,0.9946
2015,NUTS,2010,EL43,2,0.9572
2017,NUTS,2010,EL43,2,0.6417
2019,NUTS,2010,EL43,2,0.7376
2011,NUTS,2010,EL5,1,0.5743
2013,NUTS,2010,EL5,1,0.8129
2015,NUTS,2010,EL5,1,0.8406
2017,NUTS,2010,EL5,1,0.6191
2019,NUTS,2010,EL5,1,0.6884
1999,NUTS,2010,EL51,2,0.3028
2001,NUTS,2010,EL51,2,0.2702
2003,NUTS,2010,EL51,2,0.2421
2005,NUTS,2010,EL51,2,0.3716
2011,NUTS,2010,EL51,2,0.6005
2013,NUTS,2010,EL51,2,0.8207
2015,NUTS,2010,EL51,2,0.6962
2017,NUTS,2010,EL51,2,0.5248
2019,NUTS,2010,EL51,2,0.5828
1999,NUTS,2010,EL52,2,0.9183
2001,NUTS,2010,EL52,2,0.4915
2003,NUTS,2010,EL52,2,0.4118
2005,NUTS,2010,EL52,2,0.5115
2011,NUTS,2010,EL52,2,0.5861
2013,NUTS,2010,EL52,2,0.8522
2015,NUTS,2010,EL52,2,0.8501
2017,NUTS,2010,EL52,2,0.62
2019,NUTS,2010,EL52,2,0.6814
1999,NUTS,2010,EL53,2,0.0928
2001,NUTS,2010,EL53,2,0.0125
2003,NUTS,2010,EL53,2,0.1325
2005,NUTS,2010,EL53,2,0.1113
2011,NUTS,2010,EL53,2,0.2115
2013,NUTS,2010,EL53,2,0.3206
2015,NUTS,2010,EL53,2,0.3865
2017,NUTS,2010,EL53,2,0.4072
2019,NUTS,2010,EL53,2,0.4838
1999,NUTS,2010,EL54,2,0.7738
2001,NUTS,2010,EL54,2,0.8407
2003,NUTS,2010,EL54,2,0.5292
2005,NUTS,2010,EL54,2,0.794
2011,NUTS,2010,EL54,2,0.7371
2013,NUTS,2010,EL54,2,0.9545
2015,NUTS,2010,EL54,2,1.4081
2017,NUTS,2010,EL54,2,0.9705
2019,NUTS,2010,EL54,2,1.0881
2011,NUTS,2010,EL6,1,0.3829
2013,NUTS,2010,EL6,1,0.4132
2015,NUTS,2010,EL6,1,0.5352
2017,NUTS,2010,EL6,1,0.5866
2019,NUTS,2010,EL6,1,0.6408
1999,NUTS,2010,EL61,2,0.1873
2001,NUTS,2010,EL61,2,0.1785
2003,NUTS,2010,EL61,2,0.3454
2005,NUTS,2010,EL61,2,0.2376
2011,NUTS,2010,EL61,2,0.6786
2013,NUTS,2010,EL61,2,0.5511
2015,NUTS,2010,EL61,2,0.6254
2017,NUTS,2010,EL61,2,0.5846
2019,NUTS,2010,EL61,2,0.7755
1999,NUTS,2010,EL62,2,0.1377
2001,NUTS,2010,EL62,2,0.1016
2003,NUTS,2010,EL62,2,0.1235
2005,NUTS,2010,EL62,2,0.1659
2011,NUTS,2010,EL62,2,0.098
2013,NUTS,2010,EL62,2,0.2985
2015,NUTS,2010,EL62,2,0.8824
2017,NUTS,2010,EL62,2,0.8495
2019,NUTS,2010,EL62,2,0.7201
1999,NUTS,2010,EL63,2,0.8009
2001,NUTS,2010,EL63,2,0.8329
2003,NUTS,2010,EL63,2,0.7376
2005,NUTS,2010,EL63,2,0.5464
2011,NUTS,2010,EL63,2,0.6641
2013,NUTS,2010,EL63,2,0.7111
2015,NUTS,2010,EL63,2,0.8927
2017,NUTS,2010,EL63,2,1.3338
2019,NUTS,2010,EL63,2,1.3605
1999,NUTS,2010,EL64,2,0.0008
2001,NUTS,2010,EL64,2,0.0032
2003,NUTS,2010,EL64,2,0.0005
2005,NUTS,2010,EL64,2,0.0225
2011,NUTS,2010,EL64,2,0.0526
2013,NUTS,2010,EL64,2,0.1545
2015,NUTS,2010,EL64,2,0.1582
2017,NUTS,2010,EL64,2,0.0955
2019,NUTS,2010,EL64,2,0.1162
2001,NUTS,2010,EL65,2,0.0
2003,NUTS,2010,EL65,2,0.0076
2005,NUTS,2010,EL65,2,0.2294
2011,NUTS,2010,EL65,2,0.1134
2013,NUTS,2010,EL65,2,0.2048
2015,NUTS,2010,EL65,2,0.2685
2017,NUTS,2010,EL65,2,0.1551
2019,NUTS,2010,EL65,2,0.2013
1993,NUTS,2010,ES,0,0.245
1994,NUTS,2010,ES,0,0.2859
1995,NUTS,2010,ES,0,0.2769
1996,NUTS,2010,ES,0,0.3052
1997,NUTS,2010,ES,0,0.278
1998,NUTS,2010,ES,0,0.2972
1999,NUTS,2010,ES,0,0.2786
2000,NUTS,2010,ES,0,0.3213
2001,NUTS,2010,ES,0,0.3406
2002,NUTS,2010,ES,0,0.325
2003,NUTS,2010,ES,0,0.3473
2004,NUTS,2010,ES,0,0.3512
2005,NUTS,2010,ES,0,0.3514
2006,NUTS,2010,ES,0,0.3585
2007,NUTS,2010,ES,0,0.3677
2008,NUTS,2010,ES,0,0.3881
2009,NUTS,2010,ES,0,0.4284
2010,NUTS,2010,ES,0,0.4485
2011,NUTS,2010,ES,0,0.4428
2012,NUTS,2010,ES,0,0.4419
2013,NUTS,2010,ES,0,0.4407
2014,NUTS,2010,ES,0,0.4266
2015,NUTS,2010,ES,0,0.4139
2016,NUTS,2010,ES,0,0.4135
2017,NUTS,2010,ES,0,0.4251
2018,NUTS,2010,ES,0,0.4197
2019,NUTS,2010,ES,0,0.4244
2020,NUTS,2010,ES,0,0.4448
1999,NUTS,2010,ES1,1,0.2665
2000,NUTS,2010,ES1,1,0.3634
2001,NUTS,2010,ES1,1,0.3821
2002,NUTS,2010,ES1,1,0.3528
2003,NUTS,2010,ES1,1,0.305
2004,NUTS,2010,ES1,1,0.3575
2005,NUTS,2010,ES1,1,0.353
2006,NUTS,2010,ES1,1,0.321
2007,NUTS,2010,ES1,1,0.3232
2008,NUTS,2010,ES1,1,0.3621
2009,NUTS,2010,ES1,1,0.4024
2010,NUTS,2010,ES1,1,0.4463
2011,NUTS,2010,ES1,1,0.4293
2012,NUTS,2010,ES1,1,
2013,NUTS,2010,ES1,1,0.4054
2014,NUTS,2010,ES1,1,
2015,NUTS,2010,ES1,1,0.3855
2016,NUTS,2010,ES1,1,0.3739
2017,NUTS,2010,ES1,1,0.3737
2018,NUTS,2010,ES1,1,0.3729
2019,NUTS,2010,ES1,1,
1999,NUTS,2010,ES11,2,0.2859
2000,NUTS,2010,ES11,2,0.3419
2001,NUTS,2010,ES11,2,0.3741
2002,NUTS,2010,ES11,2,0.331
2003,NUTS,2010,ES11,2,0.3394
2004,NUTS,2010,ES11,2,0.4143
2005,NUTS,2010,ES11,2,0.3985
2006,NUTS,2010,ES11,2,0.3374
2007,NUTS,2010,ES11,2,0.3412
2008,NUTS,2010,ES11,2,0.3875
2009,NUTS,2010,ES11,2,0.4224
2010,NUTS,2010,ES11,2,0.4832
2011,NUTS,2010,ES11,2,0.4626
2012,NUTS,2010,ES11,2,0.4213
2013,NUTS,2010,ES11,2,
2014,NUTS,2010,ES11,2,0.4236
2015,NUTS,2010,ES11,2,0.4154
2016,NUTS,2010,ES11,2,0.4002
2017,NUTS,2010,ES11,2,0.3925
2018,NUTS,2010,ES11,2,0.3875
2019,NUTS,2010,ES11,2,0.3906
1999,NUTS,2010,ES12,2,0.2475
2000,NUTS,2010,ES12,2,0.5002
2001,NUTS,2010,ES12,2,0.4841
2002,NUTS,2010,ES12,2,0.5275
2003,NUTS,2010,ES12,2,0.3078
2004,NUTS,2010,ES12,2,0.2987
2005,NUTS,2010,ES12,2,0.3356
2006,NUTS,2010,ES12,2,0.3116
2007,NUTS,2010,ES12,2,0.2921
2008,NUTS,2010,ES12,2,0.3271
2009,NUTS,2010,ES12,2,0.3694
2010,NUTS,2010,ES12,2,0.389
2011,NUTS,2010,ES12,2,0.3702
2012,NUTS,2010,ES12,2,0.3477
2013,NUTS,2010,ES12,2,0.3553
2014,NUTS,2010,ES12,2,0.3129
2015,NUTS,2010,ES12,2,0.3321
2016,NUTS,2010,ES12,2,0.3319
2017,NUTS,2010,ES12,2,0.365
2018,NUTS,2010,ES12,2,0.3693
2019,NUTS,2010,ES12,2,0.429
1999,NUTS,2010,ES13,2,0.1977
2000,NUTS,2010,ES13,2,0.2259
2001,NUTS,2010,ES13,2,0.2428
2002,NUTS,2010,ES13,2,0.1534
2003,NUTS,2010,ES13,2,0.1332
2004,NUTS,2010,ES13,2,0.1897
2005,NUTS,2010,ES13,2,0.1685
2006,NUTS,2010,ES13,2,0.2611
2007,NUTS,2010,ES13,2,0.2929
2008,NUTS,2010,ES13,2,0.3073
2009,NUTS,2010,ES13,2,0.3662
2010,NUTS,2010,ES13,2,0.3758
2011,NUTS,2010,ES13,2,0.377
2012,NUTS,2010,ES13,2,
2013,NUTS,2010,ES13,2,
2014,NUTS,2010,ES13,2,
2015,NUTS,2010,ES13,2,0.3402
2016,NUTS,2010,ES13,2,0.3268
2017,NUTS,2010,ES13,2,0.3044
2018,NUTS,2010,ES13,2,0.3137
2019,NUTS,2010,ES13,2,
1999,NUTS,2010,ES2,1,0.2545
2000,NUTS,2010,ES2,1,0.2785
2001,NUTS,2010,ES2,1,0.2969
2002,NUTS,2010,ES2,1,0.3345
2003,NUTS,2010,ES2,1,0.3964
2004,NUTS,2010,ES2,1,0.3699
2005,NUTS,2010,ES2,1,0.3851
2006,NUTS,2010,ES2,1,0.3872
2007,NUTS,2010,ES2,1,0.4031
2008,NUTS,2010,ES2,1,0.4097
2009,NUTS,2010,ES2,1,0.4554
2010,NUTS,2010,ES2,1,0.4696
2011,NUTS,2010,ES2,1,0.4636
2012,NUTS,2010,ES2,1,
2013,NUTS,2010,ES2,1,0.4622
2014,NUTS,2010,ES2,1,
2015,NUTS,2010,ES2,1,
2016,NUTS,2010,ES2,1,
2017,NUTS,2010,ES2,1,
2018,NUTS,2010,ES2,1,
2019,NUTS,2010,ES2,1,0.4556
1999,NUTS,2010,ES21,2,0.2114
2000,NUTS,2010,ES21,2,0.253
2001,NUTS,2010,ES21,2,0.2575
2002,NUTS,2010,ES21,2,0.2582
2003,NUTS,2010,ES21,2,0.2906
2004,NUTS,2010,ES21,2,0.2549
2005,NUTS,2010,ES21,2,0.3116
2006,NUTS,2010,ES21,2,0.302
2007,NUTS,2010,ES21,2,0.3167
2008,NUTS,2010,ES21,2,0.3133
2009,NUTS,2010,ES21,2,0.3611
2010,NUTS,2010,ES21,2,0.3712
2011,NUTS,2010,ES21,2,0.3872
2012,NUTS,2010,ES21,2,0.4402
2013,NUTS,2010,ES21,2,0.4463
2014,NUTS,2010,ES21,2,0.4595
2015,NUTS,2010,ES21,2,0.4557
2016,NUTS,2010,ES21,2,0.4464
2017,NUTS,2010,ES21,2,0.4593
2018,NUTS,2010,ES21,2,0.4696
2019,NUTS,2010,ES21,2,0.4745
1999,NUTS,2010,ES22,2,0.516
2000,NUTS,2010,ES22,2,0.5179
2001,NUTS,2010,ES22,2,0.5127
2002,NUTS,2010,ES22,2,0.5973
2003,NUTS,2010,ES22,2,0.799
2004,NUTS,2010,ES22,2,0.7342
2005,NUTS,2010,ES22,2,0.7347
2006,NUTS,2010,ES22,2,0.7459
2007,NUTS,2010,ES22,2,0.6463
2008,NUTS,2010,ES22,2,0.6876
2009,NUTS,2010,ES22,2,0.6942
2010,NUTS,2010,ES22,2,0.7118
2011,NUTS,2010,ES22,2,0.7148
2012,NUTS,2010,ES22,2,
2013,NUTS,2010,ES22,2,
2014,NUTS,2010,ES22,2,
2015,NUTS,2010,ES22,2,
2016,NUTS,2010,ES22,2,
2017,NUTS,2010,ES22,2,
2018,NUTS,2010,ES22,2,
2019,NUTS,2010,ES22,2,
1999,NUTS,2010,ES23,2,0.2166
2000,NUTS,2010,ES23,2,0.2466
2001,NUTS,2010,ES23,2,0.2915
2002,NUTS,2010,ES23,2,0.235
2003,NUTS,2010,ES23,2,0.2047
2004,NUTS,2010,ES23,2,0.2112
2005,NUTS,2010,ES23,2,0.1958
2006,NUTS,2010,ES23,2,0.1994
2007,NUTS,2010,ES23,2,0.2647
2008,NUTS,2010,ES23,2,0.2644
2009,NUTS,2010,ES23,2,0.2788
2010,NUTS,2010,ES23,2,0.3221
2011,NUTS,2010,ES23,2,0.3237
