year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_rse_t_pc_act_fte
2016,NUTS,2010,DE21,2,0.286
2017,NUTS,2010,DE21,2,0.2809
2018,NUTS,2010,DE21,2,0.289
2019,NUTS,2010,DE21,2,0.2942
2011,NUTS,2010,DE22,2,0.0395
2012,NUTS,2010,DE22,2,0.0395
2013,NUTS,2010,DE22,2,0.0435
2014,NUTS,2010,DE22,2,0.0506
2015,NUTS,2010,DE22,2,0.0503
2016,NUTS,2010,DE22,2,0.0647
2017,NUTS,2010,DE22,2,0.0638
2018,NUTS,2010,DE22,2,0.0734
2019,NUTS,2010,DE22,2,0.0734
2011,NUTS,2010,DE23,2,0.1605
2012,NUTS,2010,DE23,2,0.1617
2013,NUTS,2010,DE23,2,0.1583
2014,NUTS,2010,DE23,2,0.165
2015,NUTS,2010,DE23,2,0.1687
2016,NUTS,2010,DE23,2,0.1815
2017,NUTS,2010,DE23,2,0.1845
2018,NUTS,2010,DE23,2,0.1881
2019,NUTS,2010,DE23,2,0.1931
2011,NUTS,2010,DE24,2,0.1696
2012,NUTS,2010,DE24,2,0.1741
2013,NUTS,2010,DE24,2,0.179
2014,NUTS,2010,DE24,2,0.1747
2015,NUTS,2010,DE24,2,0.1767
2016,NUTS,2010,DE24,2,0.1913
2017,NUTS,2010,DE24,2,0.1987
2018,NUTS,2010,DE24,2,0.2027
2019,NUTS,2010,DE24,2,0.2097
2011,NUTS,2010,DE25,2,0.247
2012,NUTS,2010,DE25,2,0.2664
2013,NUTS,2010,DE25,2,0.2816
2014,NUTS,2010,DE25,2,0.2839
2015,NUTS,2010,DE25,2,0.2779
2016,NUTS,2010,DE25,2,0.2917
2017,NUTS,2010,DE25,2,0.2948
2018,NUTS,2010,DE25,2,0.2993
2019,NUTS,2010,DE25,2,0.3089
2011,NUTS,2010,DE26,2,0.1941
2012,NUTS,2010,DE26,2,0.2024
2013,NUTS,2010,DE26,2,0.2052
2014,NUTS,2010,DE26,2,0.2064
2015,NUTS,2010,DE26,2,0.1986
2016,NUTS,2010,DE26,2,0.2186
2017,NUTS,2010,DE26,2,0.2259
2018,NUTS,2010,DE26,2,0.2354
2019,NUTS,2010,DE26,2,0.229
2011,NUTS,2010,DE27,2,0.0487
2012,NUTS,2010,DE27,2,0.0501
2013,NUTS,2010,DE27,2,0.0519
2014,NUTS,2010,DE27,2,0.0536
2015,NUTS,2010,DE27,2,0.056
2016,NUTS,2010,DE27,2,0.0664
2017,NUTS,2010,DE27,2,0.0678
2018,NUTS,2010,DE27,2,0.0713
2019,NUTS,2010,DE27,2,0.0759
2011,NUTS,2010,DE3,1,0.348
2012,NUTS,2010,DE3,1,0.3603
2013,NUTS,2010,DE3,1,0.3368
2014,NUTS,2010,DE3,1,0.3374
2015,NUTS,2010,DE3,1,0.3495
2016,NUTS,2010,DE3,1,0.3561
2017,NUTS,2010,DE3,1,0.3417
2018,NUTS,2010,DE3,1,0.3323
2019,NUTS,2010,DE3,1,0.3414
2011,NUTS,2010,DE30,2,0.348
2012,NUTS,2010,DE30,2,0.3603
2013,NUTS,2010,DE30,2,0.3368
2014,NUTS,2010,DE30,2,0.3374
2015,NUTS,2010,DE30,2,0.3495
2016,NUTS,2010,DE30,2,0.3561
2017,NUTS,2010,DE30,2,0.3417
2018,NUTS,2010,DE30,2,0.3323
2019,NUTS,2010,DE30,2,0.3414
2011,NUTS,2010,DE4,1,0.1195
2012,NUTS,2010,DE4,1,0.1266
2013,NUTS,2010,DE4,1,0.1333
2014,NUTS,2010,DE4,1,0.1344
2015,NUTS,2010,DE4,1,0.1331
2016,NUTS,2010,DE4,1,0.1415
2017,NUTS,2010,DE4,1,0.1496
2018,NUTS,2010,DE4,1,0.1536
2019,NUTS,2010,DE4,1,0.1556
2011,NUTS,2010,DE40,2,0.1195
2012,NUTS,2010,DE40,2,0.1266
2013,NUTS,2010,DE40,2,0.1333
2014,NUTS,2010,DE40,2,0.1344
2015,NUTS,2010,DE40,2,0.1331
2016,NUTS,2010,DE40,2,0.1415
2017,NUTS,2010,DE40,2,0.1496
2018,NUTS,2010,DE40,2,0.1536
2019,NUTS,2010,DE40,2,0.1556
2011,NUTS,2010,DE5,1,0.4495
2012,NUTS,2010,DE5,1,0.4319
2013,NUTS,2010,DE5,1,0.453
2014,NUTS,2010,DE5,1,0.4546
2015,NUTS,2010,DE5,1,0.4555
2016,NUTS,2010,DE5,1,0.4539
2017,NUTS,2010,DE5,1,0.4594
2018,NUTS,2010,DE5,1,0.4464
2019,NUTS,2010,DE5,1,0.4396
2011,NUTS,2010,DE50,2,0.4495
2012,NUTS,2010,DE50,2,0.4319
2013,NUTS,2010,DE50,2,0.453
2014,NUTS,2010,DE50,2,0.4546
2015,NUTS,2010,DE50,2,0.4555
2016,NUTS,2010,DE50,2,0.4539
2017,NUTS,2010,DE50,2,0.4594
2018,NUTS,2010,DE50,2,0.4464
2019,NUTS,2010,DE50,2,0.4396
2011,NUTS,2010,DE6,1,0.2876
2012,NUTS,2010,DE6,1,0.2846
2013,NUTS,2010,DE6,1,0.3028
2014,NUTS,2010,DE6,1,0.3017
2015,NUTS,2010,DE6,1,0.3173
2016,NUTS,2010,DE6,1,0.3332
2017,NUTS,2010,DE6,1,0.3295
2018,NUTS,2010,DE6,1,0.3404
2019,NUTS,2010,DE6,1,0.3525
2011,NUTS,2010,DE60,2,0.2876
2012,NUTS,2010,DE60,2,0.2846
2013,NUTS,2010,DE60,2,0.3028
2014,NUTS,2010,DE60,2,0.3017
2015,NUTS,2010,DE60,2,0.3173
2016,NUTS,2010,DE60,2,0.3332
2017,NUTS,2010,DE60,2,0.3295
2018,NUTS,2010,DE60,2,0.3404
2019,NUTS,2010,DE60,2,0.3525
2011,NUTS,2010,DE7,1,0.182
2012,NUTS,2010,DE7,1,0.1813
2013,NUTS,2010,DE7,1,0.1859
2014,NUTS,2010,DE7,1,0.1842
2015,NUTS,2010,DE7,1,0.1834
2016,NUTS,2010,DE7,1,0.2013
2017,NUTS,2010,DE7,1,0.2071
2018,NUTS,2010,DE7,1,0.2145
2019,NUTS,2010,DE7,1,0.2136
2011,NUTS,2010,DE71,2,0.168
2012,NUTS,2010,DE71,2,0.1642
2013,NUTS,2010,DE71,2,0.1732
2014,NUTS,2010,DE71,2,0.1734
2015,NUTS,2010,DE71,2,0.172
2016,NUTS,2010,DE71,2,0.1832
2017,NUTS,2010,DE71,2,0.1884
2018,NUTS,2010,DE71,2,0.1962
2019,NUTS,2010,DE71,2,0.1931
2011,NUTS,2010,DE72,2,0.2961
2012,NUTS,2010,DE72,2,0.3045
2013,NUTS,2010,DE72,2,0.3103
2014,NUTS,2010,DE72,2,0.3029
2015,NUTS,2010,DE72,2,0.3113
2016,NUTS,2010,DE72,2,0.3254
2017,NUTS,2010,DE72,2,0.3379
2018,NUTS,2010,DE72,2,0.3509
2019,NUTS,2010,DE72,2,0.3546
2011,NUTS,2010,DE73,2,0.1293
2012,NUTS,2010,DE73,2,0.1323
2013,NUTS,2010,DE73,2,0.1209
2014,NUTS,2010,DE73,2,0.1165
2015,NUTS,2010,DE73,2,0.1115
2016,NUTS,2010,DE73,2,0.1514
2017,NUTS,2010,DE73,2,0.1582
2018,NUTS,2010,DE73,2,0.1611
2019,NUTS,2010,DE73,2,0.1647
2011,NUTS,2010,DE8,1,0.1565
2012,NUTS,2010,DE8,1,0.171
2013,NUTS,2010,DE8,1,0.1743
2014,NUTS,2010,DE8,1,0.1791
2015,NUTS,2010,DE8,1,0.1678
2016,NUTS,2010,DE8,1,0.1775
2017,NUTS,2010,DE8,1,0.1898
2018,NUTS,2010,DE8,1,0.1925
2019,NUTS,2010,DE8,1,0.1979
2011,NUTS,2010,DE80,2,0.1565
2012,NUTS,2010,DE80,2,0.171
2013,NUTS,2010,DE80,2,0.1743
2014,NUTS,2010,DE80,2,0.1791
2015,NUTS,2010,DE80,2,0.1678
2016,NUTS,2010,DE80,2,0.1775
2017,NUTS,2010,DE80,2,0.1898
2018,NUTS,2010,DE80,2,0.1925
2019,NUTS,2010,DE80,2,0.1979
2011,NUTS,2010,DE9,1,0.1785
2012,NUTS,2010,DE9,1,0.1843
2013,NUTS,2010,DE9,1,0.191
2014,NUTS,2010,DE9,1,0.1885
2015,NUTS,2010,DE9,1,0.1858
2016,NUTS,2010,DE9,1,0.1995
2017,NUTS,2010,DE9,1,0.2076
2018,NUTS,2010,DE9,1,0.2126
2019,NUTS,2010,DE9,1,0.2108
2011,NUTS,2010,DE91,2,0.3884
2012,NUTS,2010,DE91,2,0.4052
2013,NUTS,2010,DE91,2,0.421
2014,NUTS,2010,DE91,2,0.4126
2015,NUTS,2010,DE91,2,0.3975
2016,NUTS,2010,DE91,2,0.4372
2017,NUTS,2010,DE91,2,0.4534
2018,NUTS,2010,DE91,2,0.4658
2019,NUTS,2010,DE91,2,0.4585
2011,NUTS,2010,DE92,2,0.2403
2012,NUTS,2010,DE92,2,0.2355
2013,NUTS,2010,DE92,2,0.249
2014,NUTS,2010,DE92,2,0.2442
2015,NUTS,2010,DE92,2,0.2513
2016,NUTS,2010,DE92,2,0.2667
2017,NUTS,2010,DE92,2,0.2709
2018,NUTS,2010,DE92,2,0.2732
2019,NUTS,2010,DE92,2,0.2726
2011,NUTS,2010,DE93,2,0.0381
2012,NUTS,2010,DE93,2,0.0513
2013,NUTS,2010,DE93,2,0.0516
2014,NUTS,2010,DE93,2,0.0464
2015,NUTS,2010,DE93,2,0.0295
2016,NUTS,2010,DE93,2,0.0356
2017,NUTS,2010,DE93,2,0.0353
2018,NUTS,2010,DE93,2,0.036
2019,NUTS,2010,DE93,2,0.032
2011,NUTS,2010,DE94,2,0.0868
2012,NUTS,2010,DE94,2,0.0902
2013,NUTS,2010,DE94,2,0.0923
2014,NUTS,2010,DE94,2,0.0995
2015,NUTS,2010,DE94,2,0.1059
2016,NUTS,2010,DE94,2,0.108
2017,NUTS,2010,DE94,2,0.1218
2018,NUTS,2010,DE94,2,0.1255
2019,NUTS,2010,DE94,2,0.1272
2011,NUTS,2010,DEA,1,0.2015
2012,NUTS,2010,DEA,1,0.2005
2013,NUTS,2010,DEA,1,0.199
2014,NUTS,2010,DEA,1,0.2206
2015,NUTS,2010,DEA,1,0.2198
2016,NUTS,2010,DEA,1,0.2364
2017,NUTS,2010,DEA,1,0.2472
2018,NUTS,2010,DEA,1,0.2537
2019,NUTS,2010,DEA,1,0.2544
2011,NUTS,2010,DEA1,2,0.113
2012,NUTS,2010,DEA1,2,0.1257
2013,NUTS,2010,DEA1,2,0.133
2014,NUTS,2010,DEA1,2,0.1386
2015,NUTS,2010,DEA1,2,0.1393
2016,NUTS,2010,DEA1,2,0.1527
2017,NUTS,2010,DEA1,2,0.1586
2018,NUTS,2010,DEA1,2,0.1693
2019,NUTS,2010,DEA1,2,0.166
2011,NUTS,2010,DEA2,2,0.3399
2012,NUTS,2010,DEA2,2,0.3201
2013,NUTS,2010,DEA2,2,0.2992
2014,NUTS,2010,DEA2,2,0.3704
2015,NUTS,2010,DEA2,2,0.3723
2016,NUTS,2010,DEA2,2,0.3752
2017,NUTS,2010,DEA2,2,0.3943
