year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_hc_total_f
2013,NUTS,2010,BG33,2,1222.0
2014,NUTS,2010,BG33,2,1601.0
2015,NUTS,2010,BG33,2,1829.0
2016,NUTS,2010,BG33,2,1684.0
2017,NUTS,2010,BG33,2,1711.0
2018,NUTS,2010,BG33,2,1918.0
2019,NUTS,2010,BG33,2,1899.0
2011,NUTS,2010,BG34,2,762.0
2012,NUTS,2010,BG34,2,796.0
2013,NUTS,2010,BG34,2,813.0
2014,NUTS,2010,BG34,2,852.0
2015,NUTS,2010,BG34,2,998.0
2016,NUTS,2010,BG34,2,986.0
2017,NUTS,2010,BG34,2,964.0
2018,NUTS,2010,BG34,2,1117.0
2019,NUTS,2010,BG34,2,1278.0
2011,NUTS,2010,BG4,1,7995.0
2012,NUTS,2010,BG4,1,8145.0
2013,NUTS,2010,BG4,1,8264.0
2014,NUTS,2010,BG4,1,8990.0
2015,NUTS,2010,BG4,1,9636.0
2016,NUTS,2010,BG4,1,11185.0
2017,NUTS,2010,BG4,1,10725.0
2018,NUTS,2010,BG4,1,11302.0
2019,NUTS,2010,BG4,1,11535.0
2011,NUTS,2010,BG41,2,7010.0
2012,NUTS,2010,BG41,2,7117.0
2013,NUTS,2010,BG41,2,7146.0
2014,NUTS,2010,BG41,2,7737.0
2015,NUTS,2010,BG41,2,8167.0
2016,NUTS,2010,BG41,2,9716.0
2017,NUTS,2010,BG41,2,9098.0
2018,NUTS,2010,BG41,2,9599.0
2019,NUTS,2010,BG41,2,9505.0
2011,NUTS,2010,BG42,2,985.0
2012,NUTS,2010,BG42,2,1028.0
2013,NUTS,2010,BG42,2,1118.0
2014,NUTS,2010,BG42,2,1253.0
2015,NUTS,2010,BG42,2,1469.0
2016,NUTS,2010,BG42,2,1469.0
2017,NUTS,2010,BG42,2,1627.0
2018,NUTS,2010,BG42,2,1703.0
2019,NUTS,2010,BG42,2,2030.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,41015.0
2015,NUTS,2010,CH,0,42223.0
2017,NUTS,2010,CH,0,44197.0
2019,NUTS,2010,CH,0,47567.0
2011,NUTS,2010,CN_X_HK,5,1017382.0
2012,NUTS,2010,CN_X_HK,5,1154027.0
2013,NUTS,2010,CN_X_HK,5,1250289.0
2014,NUTS,2010,CN_X_HK,5,1306574.0
2015,NUTS,2010,CN_X_HK,5,1456276.0
2016,NUTS,2010,CN_X_HK,5,1545232.0
2017,NUTS,2010,CN_X_HK,5,1660416.0
2018,NUTS,2010,CN_X_HK,5,1760240.0
2019,NUTS,2010,CN_X_HK,5,1853528.0
2011,NUTS,2010,CY,0,1139.0
2012,NUTS,2010,CY,0,1126.0
2013,NUTS,2010,CY,0,1244.0
2014,NUTS,2010,CY,0,1245.0
2015,NUTS,2010,CY,0,1217.0
2016,NUTS,2010,CY,0,1278.0
2017,NUTS,2010,CY,0,1373.0
2018,NUTS,2010,CY,0,1502.0
2019,NUTS,2010,CY,0,1660.0
2011,NUTS,2010,CZ,0,26732.0
2012,NUTS,2010,CZ,0,27746.0
2013,NUTS,2010,CZ,0,29897.0
2014,NUTS,2010,CZ,0,30120.0
2015,NUTS,2010,CZ,0,31122.0
2016,NUTS,2010,CZ,0,30269.0
2017,NUTS,2010,CZ,0,32576.0
2018,NUTS,2010,CZ,0,34442.0
2019,NUTS,2010,CZ,0,35382.0
2020,NUTS,2010,CZ,0,36191.0
2011,NUTS,2010,CZ0,1,26732.0
2012,NUTS,2010,CZ0,1,27746.0
2013,NUTS,2010,CZ0,1,29897.0
2014,NUTS,2010,CZ0,1,30120.0
2015,NUTS,2010,CZ0,1,31122.0
2016,NUTS,2010,CZ0,1,30269.0
2017,NUTS,2010,CZ0,1,32576.0
2018,NUTS,2010,CZ0,1,34442.0
2019,NUTS,2010,CZ0,1,35382.0
2020,NUTS,2010,CZ0,1,36191.0
2011,NUTS,2010,CZ01,2,11745.0
2012,NUTS,2010,CZ01,2,11793.0
2013,NUTS,2010,CZ01,2,12967.0
2014,NUTS,2010,CZ01,2,12852.0
2015,NUTS,2010,CZ01,2,12599.0
2016,NUTS,2010,CZ01,2,12029.0
2017,NUTS,2010,CZ01,2,13300.0
2018,NUTS,2010,CZ01,2,13836.0
2019,NUTS,2010,CZ01,2,14124.0
2020,NUTS,2010,CZ01,2,14463.0
2011,NUTS,2010,CZ02,2,1659.0
2012,NUTS,2010,CZ02,2,1667.0
2013,NUTS,2010,CZ02,2,1659.0
2014,NUTS,2010,CZ02,2,1674.0
2015,NUTS,2010,CZ02,2,2001.0
2016,NUTS,2010,CZ02,2,2092.0
2017,NUTS,2010,CZ02,2,2219.0
2018,NUTS,2010,CZ02,2,2381.0
2019,NUTS,2010,CZ02,2,2411.0
2020,NUTS,2010,CZ02,2,2426.0
2011,NUTS,2010,CZ03,2,2143.0
2012,NUTS,2010,CZ03,2,2123.0
2013,NUTS,2010,CZ03,2,2243.0
2014,NUTS,2010,CZ03,2,2385.0
2015,NUTS,2010,CZ03,2,2348.0
2016,NUTS,2010,CZ03,2,2476.0
2017,NUTS,2010,CZ03,2,2680.0
2018,NUTS,2010,CZ03,2,2830.0
2019,NUTS,2010,CZ03,2,2888.0
2020,NUTS,2010,CZ03,2,2885.0
2011,NUTS,2010,CZ04,2,512.0
2012,NUTS,2010,CZ04,2,535.0
2013,NUTS,2010,CZ04,2,630.0
2014,NUTS,2010,CZ04,2,651.0
2015,NUTS,2010,CZ04,2,703.0
2016,NUTS,2010,CZ04,2,673.0
2017,NUTS,2010,CZ04,2,688.0
2018,NUTS,2010,CZ04,2,743.0
2019,NUTS,2010,CZ04,2,791.0
2020,NUTS,2010,CZ04,2,778.0
2011,NUTS,2010,CZ05,2,2336.0
2012,NUTS,2010,CZ05,2,2385.0
2013,NUTS,2010,CZ05,2,2745.0
2014,NUTS,2010,CZ05,2,2706.0
2015,NUTS,2010,CZ05,2,2739.0
2016,NUTS,2010,CZ05,2,2628.0
2017,NUTS,2010,CZ05,2,2848.0
2018,NUTS,2010,CZ05,2,2934.0
2019,NUTS,2010,CZ05,2,2957.0
2020,NUTS,2010,CZ05,2,3009.0
2011,NUTS,2010,CZ06,2,4747.0
2012,NUTS,2010,CZ06,2,5258.0
2013,NUTS,2010,CZ06,2,5715.0
2014,NUTS,2010,CZ06,2,5880.0
2015,NUTS,2010,CZ06,2,6462.0
2016,NUTS,2010,CZ06,2,6094.0
2017,NUTS,2010,CZ06,2,6502.0
2018,NUTS,2010,CZ06,2,6933.0
2019,NUTS,2010,CZ06,2,7252.0
2020,NUTS,2010,CZ06,2,7666.0
2011,NUTS,2010,CZ07,2,1827.0
2012,NUTS,2010,CZ07,2,2053.0
2013,NUTS,2010,CZ07,2,2238.0
2014,NUTS,2010,CZ07,2,2273.0
2015,NUTS,2010,CZ07,2,2489.0
2016,NUTS,2010,CZ07,2,2470.0
2017,NUTS,2010,CZ07,2,2400.0
2018,NUTS,2010,CZ07,2,2533.0
2019,NUTS,2010,CZ07,2,2773.0
2020,NUTS,2010,CZ07,2,2847.0
2011,NUTS,2010,CZ08,2,1762.0
2012,NUTS,2010,CZ08,2,1932.0
2013,NUTS,2010,CZ08,2,1700.0
2014,NUTS,2010,CZ08,2,1699.0
2015,NUTS,2010,CZ08,2,1780.0
2016,NUTS,2010,CZ08,2,1807.0
2017,NUTS,2010,CZ08,2,1939.0
2018,NUTS,2010,CZ08,2,2252.0
2019,NUTS,2010,CZ08,2,2186.0
2020,NUTS,2010,CZ08,2,2117.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,262398.0
2013,NUTS,2010,DE,0,277972.0
2015,NUTS,2010,DE,0,293103.0
2017,NUTS,2010,DE,0,308846.0
2019,NUTS,2010,DE,0,329092.0
2011,NUTS,2010,DK,0,30743.0
2012,NUTS,2010,DK,0,32188.0
2013,NUTS,2010,DK,0,32551.0
2015,NUTS,2010,DK,0,32175.0
2017,NUTS,2010,DK,0,33405.0
2019,NUTS,2010,DK,0,34270.0
2011,NUTS,2010,DK0,1,30382.0
2012,NUTS,2010,DK0,1,33155.0
2013,NUTS,2010,DK0,1,33943.0
2015,NUTS,2010,DK0,1,32175.0
2017,NUTS,2010,DK0,1,33405.0
2019,NUTS,2010,DK0,1,34270.0
2011,NUTS,2010,DK01,2,19248.0
2013,NUTS,2010,DK01,2,20368.0
2015,NUTS,2010,DK01,2,19563.0
2017,NUTS,2010,DK01,2,21026.0
2019,NUTS,2010,DK01,2,21233.0
2011,NUTS,2010,DK02,2,1596.0
2013,NUTS,2010,DK02,2,1654.0
2015,NUTS,2010,DK02,2,1570.0
2017,NUTS,2010,DK02,2,1917.0
2019,NUTS,2010,DK02,2,1803.0
2011,NUTS,2010,DK03,2,2904.0
2013,NUTS,2010,DK03,2,3202.0
2015,NUTS,2010,DK03,2,3868.0
2017,NUTS,2010,DK03,2,2642.0
2019,NUTS,2010,DK03,2,2906.0
2011,NUTS,2010,DK04,2,5168.0
2013,NUTS,2010,DK04,2,6714.0
2015,NUTS,2010,DK04,2,5202.0
2017,NUTS,2010,DK04,2,5318.0
2019,NUTS,2010,DK04,2,5557.0
2011,NUTS,2010,DK05,2,1467.0
2013,NUTS,2010,DK05,2,2005.0
2015,NUTS,2010,DK05,2,1972.0
2017,NUTS,2010,DK05,2,2502.0
2019,NUTS,2010,DK05,2,2771.0
2011,NUTS,2010,EA19,2,952254.0
2013,NUTS,2010,EA19,2,999061.0
2015,NUTS,2010,EA19,2,1060465.0
2017,NUTS,2010,EA19,2,1131873.0
2019,NUTS,2010,EA19,2,1225348.0
2011,NUTS,2010,EE,0,4805.0
2012,NUTS,2010,EE,0,4840.0
2013,NUTS,2010,EE,0,4895.0
2014,NUTS,2010,EE,0,5006.0
2015,NUTS,2010,EE,0,4698.0
2016,NUTS,2010,EE,0,4358.0
2017,NUTS,2010,EE,0,4420.0
2018,NUTS,2010,EE,0,4452.0
2019,NUTS,2010,EE,0,4666.0
2011,NUTS,2010,EL,0,29879.0
2013,NUTS,2010,EL,0,37809.0
2015,NUTS,2010,EL,0,41606.0
2017,NUTS,2010,EL,0,39665.0
2019,NUTS,2010,EL,0,45001.0
2011,NUTS,2010,EL3,1,12453.0
2011,NUTS,2010,EL30,2,12453.0
2011,NUTS,2010,EL4,1,3816.0
2011,NUTS,2010,EL41,2,741.0
2011,NUTS,2010,EL42,2,603.0
2011,NUTS,2010,EL43,2,2472.0
2011,NUTS,2010,EL5,1,8244.0
2011,NUTS,2010,EL51,2,1589.0
2011,NUTS,2010,EL52,2,4725.0
2011,NUTS,2010,EL53,2,583.0
2011,NUTS,2010,EL54,2,1347.0
2011,NUTS,2010,EL6,1,5366.0
2011,NUTS,2010,EL61,2,2661.0
2011,NUTS,2010,EL62,2,283.0
2011,NUTS,2010,EL63,2,1504.0
2011,NUTS,2010,EL64,2,341.0
2011,NUTS,2010,EL65,2,577.0
2015,NUTS,2010,ELZ,1,0.0
2015,NUTS,2010,ELZZ,2,0.0
2011,NUTS,2010,ES,0,141419.0
2012,NUTS,2010,ES,0,137059.0
2013,NUTS,2010,ES,0,133796.0
2014,NUTS,2010,ES,0,133804.0
2015,NUTS,2010,ES,0,137822.0
2016,NUTS,2010,ES,0,138825.0
2017,NUTS,2010,ES,0,144723.0
2018,NUTS,2010,ES,0,150890.0
2019,NUTS,2010,ES,0,156357.0
2011,NUTS,2010,ES1,1,11140.0
2012,NUTS,2010,ES1,1,11205.0
2013,NUTS,2010,ES1,1,11261.0
2014,NUTS,2010,ES1,1,10840.0
2015,NUTS,2010,ES1,1,10975.0
2016,NUTS,2010,ES1,1,10891.0
2017,NUTS,2010,ES1,1,11579.0
2018,NUTS,2010,ES1,1,11829.0
2019,NUTS,2010,ES1,1,12606.0
2011,NUTS,2010,ES11,2,6986.0
2012,NUTS,2010,ES11,2,7210.0
2013,NUTS,2010,ES11,2,7251.0
2014,NUTS,2010,ES11,2,7031.0
2015,NUTS,2010,ES11,2,7121.0
2016,NUTS,2010,ES11,2,7094.0
2017,NUTS,2010,ES11,2,7646.0
2018,NUTS,2010,ES11,2,8013.0
2019,NUTS,2010,ES11,2,8513.0
2011,NUTS,2010,ES12,2,2575.0
2012,NUTS,2010,ES12,2,2448.0
2013,NUTS,2010,ES12,2,2573.0
2014,NUTS,2010,ES12,2,2356.0
2015,NUTS,2010,ES12,2,2314.0
2016,NUTS,2010,ES12,2,2244.0
2017,NUTS,2010,ES12,2,2383.0
2018,NUTS,2010,ES12,2,2180.0
2019,NUTS,2010,ES12,2,2436.0
2011,NUTS,2010,ES13,2,1578.0
2012,NUTS,2010,ES13,2,1547.0
2013,NUTS,2010,ES13,2,1438.0
2014,NUTS,2010,ES13,2,1454.0
2015,NUTS,2010,ES13,2,1540.0
