year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_total_t_pc_emp_fte
2015,NUTS,2010,DE22,2,0.5164
2017,NUTS,2010,DE22,2,0.5505
2019,NUTS,2010,DE22,2,0.6953
2011,NUTS,2010,DE23,2,0.7567
2013,NUTS,2010,DE23,2,0.6328
2015,NUTS,2010,DE23,2,0.7436
2017,NUTS,2010,DE23,2,0.9427
2019,NUTS,2010,DE23,2,1.1273
2011,NUTS,2010,DE24,2,0.6137
2013,NUTS,2010,DE24,2,0.6059
2015,NUTS,2010,DE24,2,0.6575
2017,NUTS,2010,DE24,2,0.7062
2019,NUTS,2010,DE24,2,1.0423
2011,NUTS,2010,DE25,2,1.2759
2013,NUTS,2010,DE25,2,1.2602
2015,NUTS,2010,DE25,2,1.2984
2017,NUTS,2010,DE25,2,1.1985
2019,NUTS,2010,DE25,2,1.4001
2011,NUTS,2010,DE26,2,0.8693
2013,NUTS,2010,DE26,2,0.9001
2015,NUTS,2010,DE26,2,0.9375
2017,NUTS,2010,DE26,2,1.2458
2019,NUTS,2010,DE26,2,1.2618
2011,NUTS,2010,DE27,2,0.6096
2013,NUTS,2010,DE27,2,0.6605
2015,NUTS,2010,DE27,2,0.8864
2017,NUTS,2010,DE27,2,0.8327
2019,NUTS,2010,DE27,2,0.8202
2011,NUTS,2010,DE3,1,0.7423
2013,NUTS,2010,DE3,1,0.7112
2015,NUTS,2010,DE3,1,0.805
2017,NUTS,2010,DE3,1,0.7395
2019,NUTS,2010,DE3,1,0.7628
2011,NUTS,2010,DE30,2,0.7423
2013,NUTS,2010,DE30,2,0.7112
2015,NUTS,2010,DE30,2,0.805
2017,NUTS,2010,DE30,2,0.7395
2019,NUTS,2010,DE30,2,0.7628
2011,NUTS,2010,DE4,1,0.2682
2013,NUTS,2010,DE4,1,0.2576
2015,NUTS,2010,DE4,1,0.3051
2017,NUTS,2010,DE4,1,0.353
2019,NUTS,2010,DE4,1,0.3765
2011,NUTS,2010,DE40,2,0.2682
2013,NUTS,2010,DE40,2,0.2576
2015,NUTS,2010,DE40,2,0.3051
2017,NUTS,2010,DE40,2,0.353
2019,NUTS,2010,DE40,2,0.3765
2011,NUTS,2010,DE5,1,0.701
