year,nuts_id,nuts_year_spec,rd_government_eur_hab
2016,ITF6,2016,8.7
2017,ITF6,2016,8.7
2018,ITF6,2016,8.2
2014,ITG1,2016,25.1
2015,ITG1,2016,25.7
2016,ITG1,2016,23.1
2017,ITG1,2016,23.6
2018,ITG1,2016,27.1
2014,ITG2,2016,39.8
2015,ITG2,2016,41.5
2016,ITG2,2016,40.9
2017,ITG2,2016,40.0
2018,ITG2,2016,45.4
2014,ITH1,2016,3.9
2015,ITH1,2016,2.3
2016,ITH1,2016,3.1
2017,ITH1,2016,2.6
2018,ITH1,2016,29.2
2014,ITH2,2016,158.6
2015,ITH2,2016,157.4
2016,ITH2,2016,145.9
2017,ITH2,2016,151.1
2018,ITH2,2016,156.7
2014,ITH3,2016,20.6
2015,ITH3,2016,20.9
2016,ITH3,2016,19.1
2017,ITH3,2016,18.7
2018,ITH3,2016,22.0
2014,ITH4,2016,78.2
2015,ITH4,2016,85.1
2016,ITH4,2016,82.5
2017,ITH4,2016,87.4
2018,ITH4,2016,106.0
2014,ITH5,2016,45.0
2015,ITH5,2016,44.0
2016,ITH5,2016,43.4
2017,ITH5,2016,39.5
2018,ITH5,2016,42.7
2014,ITI1,2016,40.5
2015,ITI1,2016,41.9
2016,ITI1,2016,40.8
2017,ITI1,2016,44.1
2018,ITI1,2016,47.0
2014,ITI2,2016,19.4
2015,ITI2,2016,21.5
2016,ITI2,2016,17.9
2017,ITI2,2016,17.1
2018,ITI2,2016,17.1
2014,ITI3,2016,9.4
2015,ITI3,2016,8.9
2016,ITI3,2016,9.9
2017,ITI3,2016,10.0
2018,ITI3,2016,11.5
2014,ITI4,2016,203.2
2015,ITI4,2016,194.0
2016,ITI4,2016,209.4
2017,ITI4,2016,221.2
2018,ITI4,2016,234.0
2014,LT00,2016,21.8
2015,LT01,2016,62.7
2016,LT01,2016,48.9
2017,LT01,2016,52.3
2018,LT01,2016,55.9
2015,LT02,2016,7.5
2016,LT02,2016,22.1
2017,LT02,2016,31.2
2018,LT02,2016,24.9
2014,LU00,2016,342.0
2015,LU00,2016,350.6
2016,LU00,2016,314.8
2017,LU00,2016,291.0
2018,LU00,2016,304.8
2014,LV00,2016,19.5
2015,LV00,2016,19.6
2016,LV00,2016,17.8
2017,LV00,2016,18.5
2018,LV00,2016,21.9
2014,ME00,2016,4.3
2015,ME00,2016,4.2
2016,ME00,2016,4.4
2017,ME00,2016,7.2
2018,ME00,2016,10.1
2015,MK00,2016,2.7
2016,MK00,2016,2.2
2017,MK00,2016,1.9
2018,MK00,2016,1.8
2014,MT00,2016,14.1
2015,MT00,2016,26.8
2016,MT00,2016,1.7
2017,MT00,2016,1.3
2018,MT00,2016,1.8
2014,NL11,2016,
2015,NL11,2016,
2016,NL11,2016,
2017,NL11,2016,
2018,NL11,2016,
2014,NL12,2016,
2015,NL12,2016,
2016,NL12,2016,
2017,NL12,2016,
2018,NL12,2016,
2014,NL13,2016,
2015,NL13,2016,
2016,NL13,2016,
2017,NL13,2016,
2018,NL13,2016,
2014,NL21,2016,
2015,NL21,2016,
2016,NL21,2016,
2017,NL21,2016,
2018,NL21,2016,
2014,NL22,2016,
2015,NL22,2016,
2016,NL22,2016,
2017,NL22,2016,
2018,NL22,2016,
2014,NL23,2016,
2015,NL23,2016,
2016,NL23,2016,
2017,NL23,2016,
2018,NL23,2016,
2014,NL31,2016,
2015,NL31,2016,
2016,NL31,2016,
2017,NL31,2016,
2018,NL31,2016,
2014,NL32,2016,
2015,NL32,2016,
2016,NL32,2016,
2017,NL32,2016,
2018,NL32,2016,
2014,NL33,2016,
2015,NL33,2016,
2016,NL33,2016,
2017,NL33,2016,
2018,NL33,2016,
2014,NL34,2016,
2015,NL34,2016,
2016,NL34,2016,
2017,NL34,2016,
2018,NL34,2016,
2014,NL41,2016,
2015,NL41,2016,
2016,NL41,2016,
2017,NL41,2016,
2018,NL41,2016,
2014,NL42,2016,
2015,NL42,2016,
2016,NL42,2016,
2017,NL42,2016,
2018,NL42,2016,
2014,NO01,2016,434.7
2015,NO01,2016,422.3
2016,NO01,2016,401.6
2017,NO01,2016,394.2
2018,NO01,2016,399.6
2014,NO02,2016,59.1
2015,NO02,2016,53.1
2016,NO02,2016,55.8
2017,NO02,2016,57.3
2018,NO02,2016,60.1
2014,NO03,2016,79.9
2015,NO03,2016,74.1
2016,NO03,2016,79.3
2017,NO03,2016,82.5
2018,NO03,2016,78.6
2014,NO04,2016,45.1
2015,NO04,2016,50.0
2016,NO04,2016,43.5
2017,NO04,2016,44.4
2018,NO04,2016,46.4
2014,NO05,2016,212.1
2015,NO05,2016,248.0
2016,NO05,2016,215.9
2017,NO05,2016,261.3
2018,NO05,2016,279.5
2014,NO06,2016,124.6
2015,NO06,2016,120.7
2016,NO06,2016,134.8
2017,NO06,2016,134.7
2018,NO06,2016,142.4
2014,NO07,2016,171.5
2015,NO07,2016,181.4
2016,NO07,2016,158.8
2017,NO07,2016,164.0
2018,NO07,2016,167.4
2014,PL11,2016,14.7
2015,PL11,2016,
2014,PL12,2016,102.6
2015,PL12,2016,
2014,PL21,2016,
2015,PL21,2016,28.6
2016,PL21,2016,
2017,PL21,2016,3.7
2018,PL21,2016,4.7
2014,PL22,2016,
2015,PL22,2016,13.3
2016,PL22,2016,
2017,PL22,2016,
2018,PL22,2016,
2014,PL31,2016,
2015,PL31,2016,
2014,PL32,2016,
2015,PL32,2016,2.0
2014,PL33,2016,
2015,PL33,2016,
2014,PL34,2016,
2015,PL34,2016,3.4
2014,PL41,2016,
2015,PL41,2016,
2016,PL41,2016,1.7
2017,PL41,2016,1.8
2018,PL41,2016,2.5
2014,PL42,2016,
2015,PL42,2016,0.2
2016,PL42,2016,
2017,PL42,2016,0.5
2018,PL42,2016,
2014,PL43,2016,
2015,PL43,2016,
2016,PL43,2016,
2017,PL43,2016,
2018,PL43,2016,
2014,PL51,2016,
2015,PL51,2016,
2016,PL51,2016,
2017,PL51,2016,0.9
2018,PL51,2016,1.2
2014,PL52,2016,
2015,PL52,2016,
2016,PL52,2016,
2017,PL52,2016,
2018,PL52,2016,
2014,PL61,2016,
2015,PL61,2016,1.9
2016,PL61,2016,0.2
2017,PL61,2016,0.3
2018,PL61,2016,0.4
2014,PL62,2016,8.1
2015,PL62,2016,
2016,PL62,2016,
2017,PL62,2016,
2018,PL62,2016,0.4
2014,PL63,2016,
2015,PL63,2016,
2016,PL63,2016,
2017,PL63,2016,1.1
2018,PL63,2016,1.0
2016,PL71,2016,
2017,PL71,2016,5.3
2018,PL71,2016,5.1
2016,PL72,2016,
2017,PL72,2016,
2018,PL72,2016,
2016,PL81,2016,1.1
2017,PL81,2016,0.8
2018,PL81,2016,0.5
2016,PL82,2016,
2017,PL82,2016,
2018,PL82,2016,
2016,PL84,2016,
2017,PL84,2016,
2018,PL84,2016,
2016,PL91,2016,
2017,PL91,2016,17.9
2018,PL91,2016,
2016,PL92,2016,
2017,PL92,2016,
2018,PL92,2016,
2014,PT11,2016,6.5
2015,PT11,2016,10.9
2016,PT11,2016,10.7
2017,PT11,2016,12.6
2018,PT11,2016,14.4
2014,PT15,2016,5.3
2015,PT15,2016,1.7
2016,PT15,2016,1.5
2017,PT15,2016,2.2
2018,PT15,2016,2.8
2014,PT16,2016,3.7
2015,PT16,2016,4.6
2016,PT16,2016,3.6
2017,PT16,2016,4.5
2018,PT16,2016,4.2
2014,PT17,2016,34.9
2015,PT17,2016,31.0
2016,PT17,2016,25.7
2017,PT17,2016,28.2
2018,PT17,2016,27.8
2014,PT18,2016,1.0
2015,PT18,2016,0.8
2016,PT18,2016,0.6
2017,PT18,2016,0.2
2018,PT18,2016,0.7
2014,PT20,2016,12.0
2015,PT20,2016,12.6
2016,PT20,2016,10.2
2017,PT20,2016,5.9
2018,PT20,2016,4.9
2014,PT30,2016,13.7
2015,PT30,2016,13.8
2016,PT30,2016,11.8
2017,PT30,2016,17.1
2018,PT30,2016,17.8
2014,RO11,2016,3.8
2015,RO11,2016,6.9
2016,RO11,2016,4.7
2017,RO11,2016,5.1
2018,RO11,2016,5.4
2014,RO12,2016,2.3
2015,RO12,2016,3.5
2016,RO12,2016,1.2
2017,RO12,2016,1.1
2018,RO12,2016,1.4
2014,RO21,2016,5.8
2015,RO21,2016,6.4
2016,RO21,2016,5.8
2017,RO21,2016,5.2
2018,RO21,2016,8.0
2014,RO22,2016,2.8
2015,RO22,2016,3.5
2016,RO22,2016,4.2
2017,RO22,2016,4.0
2018,RO22,2016,5.5
2014,RO31,2016,1.5
2015,RO31,2016,2.3
2016,RO31,2016,2.6
2017,RO31,2016,2.0
2018,RO31,2016,2.6
2014,RO32,2016,79.4
2015,RO32,2016,90.9
2016,RO32,2016,86.6
2017,RO32,2016,97.3
2018,RO32,2016,96.0
2014,RO41,2016,6.1
2015,RO41,2016,9.9
2016,RO41,2016,6.6
2017,RO41,2016,10.1
2018,RO41,2016,8.0
2014,RO42,2016,4.0
2015,RO42,2016,5.0
2016,RO42,2016,4.9
2017,RO42,2016,8.1
2018,RO42,2016,7.7
2018,RS11,2016,54.4
2018,RS12,2016,9.4
2018,RS21,2016,0.3
2018,RS22,2016,0.7
2015,SE11,2016,86.8
2017,SE11,2016,91.0
2015,SE12,2016,58.4
2017,SE12,2016,80.3
2015,SE21,2016,8.5
2017,SE21,2016,12.5
2015,SE22,2016,47.8
2017,SE22,2016,51.1
2015,SE23,2016,41.8
2017,SE23,2016,47.0
2015,SE31,2016,16.4
2017,SE31,2016,16.3
2015,SE32,2016,14.5
2017,SE32,2016,17.7
2015,SE33,2016,77.0
2017,SE33,2016,85.8
2014,SI03,2016,0.0
2015,SI03,2016,0.8
2016,SI03,2016,0.7
2017,SI03,2016,0.6
2018,SI03,2016,1.1
2014,SI04,2016,110.9
2015,SI04,2016,118.0
2016,SI04,2016,111.5
2017,SI04,2016,112.9
2018,SI04,2016,122.6
2014,SK01,2016,211.2
2015,SK01,2016,305.6
2016,SK01,2016,150.5
2017,SK01,2016,182.1
2018,SK01,2016,191.4
2014,SK02,2016,17.6
2015,SK02,2016,19.6
2016,SK02,2016,13.1
2017,SK02,2016,11.2
2018,SK02,2016,9.7
2014,SK03,2016,5.1
2015,SK03,2016,13.5
2016,SK03,2016,4.7
2017,SK03,2016,4.6
2018,SK03,2016,4.9
2014,SK04,2016,12.4
2015,SK04,2016,8.1
2016,SK04,2016,7.2
2017,SK04,2016,7.6
2018,SK04,2016,6.4
2014,UKC1,2016,0.3
2015,UKC1,2016,0.2
2016,UKC1,2016,0.1
