year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_bes_eur_hab
2012,NUTS,2010,BG,0,21.0
2013,NUTS,2010,BG,0,22.4
2014,NUTS,2010,BG,0,30.8
2015,NUTS,2010,BG,0,44.3
2016,NUTS,2010,BG,0,38.4
2017,NUTS,2010,BG,0,38.5
2018,NUTS,2010,BG,0,43.2
2019,NUTS,2010,BG,0,49.2
2020,NUTS,2010,BG,0,50.8
2011,NUTS,2010,BG3,1,2.4
2012,NUTS,2010,BG3,1,3.4
2013,NUTS,2010,BG3,1,5.2
2014,NUTS,2010,BG3,1,6.8
2015,NUTS,2010,BG3,1,15.8
2016,NUTS,2010,BG3,1,16.1
2017,NUTS,2010,BG3,1,17.0
2018,NUTS,2010,BG3,1,17.3
2019,NUTS,2010,BG3,1,17.8
2014,NUTS,2010,BG31,2,4.3
2015,NUTS,2010,BG31,2,17.6
2016,NUTS,2010,BG31,2,15.8
2017,NUTS,2010,BG31,2,16.5
2018,NUTS,2010,BG31,2,20.5
2019,NUTS,2010,BG31,2,16.4
2012,NUTS,2010,BG32,2,3.0
2013,NUTS,2010,BG32,2,4.5
2014,NUTS,2010,BG32,2,5.1
2015,NUTS,2010,BG32,2,21.9
2016,NUTS,2010,BG32,2,18.0
2017,NUTS,2010,BG32,2,17.7
2018,NUTS,2010,BG32,2,15.6
2019,NUTS,2010,BG32,2,18.2
2011,NUTS,2010,BG33,2,2.6
2014,NUTS,2010,BG33,2,6.9
2015,NUTS,2010,BG33,2,11.0
2016,NUTS,2010,BG33,2,18.2
2017,NUTS,2010,BG33,2,18.6
2018,NUTS,2010,BG33,2,16.9
2019,NUTS,2010,BG33,2,18.1
2011,NUTS,2010,BG34,2,2.8
2012,NUTS,2010,BG34,2,4.0
2013,NUTS,2010,BG34,2,4.9
2014,NUTS,2010,BG34,2,9.9
2015,NUTS,2010,BG34,2,14.1
2016,NUTS,2010,BG34,2,12.9
2017,NUTS,2010,BG34,2,15.3
2018,NUTS,2010,BG34,2,16.5
2019,NUTS,2010,BG34,2,18.2
2011,NUTS,2010,BG4,1,29.9
2012,NUTS,2010,BG4,1,39.1
2013,NUTS,2010,BG4,1,40.1
2014,NUTS,2010,BG4,1,55.5
2015,NUTS,2010,BG4,1,73.2
2016,NUTS,2010,BG4,1,61.1
2017,NUTS,2010,BG4,1,60.0
2018,NUTS,2010,BG4,1,69.2
2019,NUTS,2010,BG4,1,80.3
2011,NUTS,2010,BG41,2,48.4
2012,NUTS,2010,BG41,2,62.6
2013,NUTS,2010,BG41,2,64.4
2014,NUTS,2010,BG41,2,88.3
2015,NUTS,2010,BG41,2,111.1
2016,NUTS,2010,BG41,2,89.4
2017,NUTS,2010,BG41,2,87.2
2018,NUTS,2010,BG41,2,102.9
2019,NUTS,2010,BG41,2,120.1
2011,NUTS,2010,BG42,2,3.3
2012,NUTS,2010,BG42,2,5.1
2013,NUTS,2010,BG42,2,4.7
2014,NUTS,2010,BG42,2,7.4
2015,NUTS,2010,BG42,2,17.6
2016,NUTS,2010,BG42,2,19.2
2017,NUTS,2010,BG42,2,19.7
2018,NUTS,2010,BG42,2,18.9
2019,NUTS,2010,BG42,2,21.0
2012,NUTS,2010,CH,0,1337.0
2015,NUTS,2010,CH,0,1587.0
2017,NUTS,2010,CH,0,1508.5
2019,NUTS,2010,CH,0,1625.9
2012,NUTS,2010,CH0,1,1337.0
2015,NUTS,2010,CH0,1,1587.0
2017,NUTS,2010,CH0,1,1508.5
2019,NUTS,2010,CH0,1,1625.9
2012,NUTS,2010,CH01,2,966.0
2015,NUTS,2010,CH01,2,1168.4
2012,NUTS,2010,CH02,2,916.9
2015,NUTS,2010,CH02,2,969.5
2012,NUTS,2010,CH03,2,4914.4
2015,NUTS,2010,CH03,2,6162.8
2012,NUTS,2010,CH04,2,868.6
2015,NUTS,2010,CH04,2,1105.8
2012,NUTS,2010,CH05,2,872.3
2015,NUTS,2010,CH05,2,893.7
2012,NUTS,2010,CH06,2,1214.3
2015,NUTS,2010,CH06,2,1867.9
2012,NUTS,2010,CH07,2,1069.7
2015,NUTS,2010,CH07,2,258.3
2011,NUTS,2010,CY,0,16.4
2012,NUTS,2010,CY,0,16.2
2013,NUTS,2010,CY,0,19.6
2014,NUTS,2010,CY,0,23.3
2015,NUTS,2010,CY,0,23.0
2016,NUTS,2010,CY,0,43.1
2017,NUTS,2010,CY,0,47.9
2018,NUTS,2010,CY,0,62.4
2019,NUTS,2010,CY,0,80.7
2020,NUTS,2010,CY,0,90.1
2011,NUTS,2010,CY0,1,16.4
2012,NUTS,2010,CY0,1,16.2
2013,NUTS,2010,CY0,1,19.6
2014,NUTS,2010,CY0,1,23.3
2015,NUTS,2010,CY0,1,23.0
2016,NUTS,2010,CY0,1,43.1
2017,NUTS,2010,CY0,1,47.9
2018,NUTS,2010,CY0,1,62.4
2019,NUTS,2010,CY0,1,80.7
2020,NUTS,2010,CY0,1,90.1
2011,NUTS,2010,CY00,2,16.4
2012,NUTS,2010,CY00,2,16.2
2013,NUTS,2010,CY00,2,19.6
2014,NUTS,2010,CY00,2,23.3
2015,NUTS,2010,CY00,2,23.0
2016,NUTS,2010,CY00,2,43.1
2017,NUTS,2010,CY00,2,47.9
2018,NUTS,2010,CY00,2,62.4
2019,NUTS,2010,CY00,2,80.7
2020,NUTS,2010,CY00,2,90.1
2011,NUTS,2010,CZ,0,134.6
2012,NUTS,2010,CZ,0,146.8
2013,NUTS,2010,CZ,0,154.2
2014,NUTS,2010,CZ,0,164.5
2015,NUTS,2010,CZ,0,167.5
2016,NUTS,2010,CZ,0,171.7
2017,NUTS,2010,CZ,0,204.0
2018,NUTS,2010,CZ,0,233.9
2019,NUTS,2010,CZ,0,251.7
2020,NUTS,2010,CZ,0,244.3
2011,NUTS,2010,CZ0,1,134.6
2012,NUTS,2010,CZ0,1,146.8
2013,NUTS,2010,CZ0,1,154.2
2014,NUTS,2010,CZ0,1,164.5
2015,NUTS,2010,CZ0,1,167.5
2016,NUTS,2010,CZ0,1,171.7
2017,NUTS,2010,CZ0,1,204.0
2018,NUTS,2010,CZ0,1,233.9
2019,NUTS,2010,CZ0,1,251.7
2020,NUTS,2010,CZ0,1,244.3
2011,NUTS,2010,CZ01,2,257.5
2012,NUTS,2010,CZ01,2,293.3
2013,NUTS,2010,CZ01,2,285.3
2014,NUTS,2010,CZ01,2,303.4
2015,NUTS,2010,CZ01,2,325.3
2016,NUTS,2010,CZ01,2,334.1
2017,NUTS,2010,CZ01,2,448.2
2018,NUTS,2010,CZ01,2,525.2
2019,NUTS,2010,CZ01,2,561.4
2020,NUTS,2010,CZ01,2,599.3
2011,NUTS,2010,CZ02,2,168.8
2012,NUTS,2010,CZ02,2,174.1
2013,NUTS,2010,CZ02,2,247.9
2014,NUTS,2010,CZ02,2,231.5
2015,NUTS,2010,CZ02,2,235.9
2016,NUTS,2010,CZ02,2,241.4
2017,NUTS,2010,CZ02,2,319.0
2018,NUTS,2010,CZ02,2,372.3
2019,NUTS,2010,CZ02,2,376.5
2020,NUTS,2010,CZ02,2,304.9
2011,NUTS,2010,CZ03,2,122.6
2012,NUTS,2010,CZ03,2,136.3
2013,NUTS,2010,CZ03,2,128.0
2014,NUTS,2010,CZ03,2,129.8
2015,NUTS,2010,CZ03,2,136.9
2016,NUTS,2010,CZ03,2,133.3
2017,NUTS,2010,CZ03,2,137.2
2018,NUTS,2010,CZ03,2,170.4
2019,NUTS,2010,CZ03,2,196.9
2020,NUTS,2010,CZ03,2,173.3
2011,NUTS,2010,CZ04,2,29.0
2012,NUTS,2010,CZ04,2,39.7
2013,NUTS,2010,CZ04,2,32.0
2014,NUTS,2010,CZ04,2,34.0
2015,NUTS,2010,CZ04,2,37.0
2016,NUTS,2010,CZ04,2,28.5
2017,NUTS,2010,CZ04,2,30.4
2018,NUTS,2010,CZ04,2,35.6
2019,NUTS,2010,CZ04,2,48.7
2020,NUTS,2010,CZ04,2,44.8
2011,NUTS,2010,CZ05,2,120.6
2012,NUTS,2010,CZ05,2,146.6
2013,NUTS,2010,CZ05,2,129.9
2014,NUTS,2010,CZ05,2,139.9
2015,NUTS,2010,CZ05,2,135.2
2016,NUTS,2010,CZ05,2,139.1
2017,NUTS,2010,CZ05,2,157.4
2018,NUTS,2010,CZ05,2,180.9
2019,NUTS,2010,CZ05,2,192.5
2020,NUTS,2010,CZ05,2,183.9
2011,NUTS,2010,CZ06,2,149.9
2012,NUTS,2010,CZ06,2,164.2
2013,NUTS,2010,CZ06,2,191.5
2014,NUTS,2010,CZ06,2,224.9
2015,NUTS,2010,CZ06,2,226.4
2016,NUTS,2010,CZ06,2,227.4
2017,NUTS,2010,CZ06,2,230.7
2018,NUTS,2010,CZ06,2,244.5
2019,NUTS,2010,CZ06,2,275.6
2020,NUTS,2010,CZ06,2,286.4
2011,NUTS,2010,CZ07,2,98.6
2012,NUTS,2010,CZ07,2,100.7
2013,NUTS,2010,CZ07,2,99.7
2014,NUTS,2010,CZ07,2,105.6
2015,NUTS,2010,CZ07,2,107.5
2016,NUTS,2010,CZ07,2,114.8
2017,NUTS,2010,CZ07,2,156.2
2018,NUTS,2010,CZ07,2,177.5
2019,NUTS,2010,CZ07,2,200.5
2020,NUTS,2010,CZ07,2,178.4
2011,NUTS,2010,CZ08,2,99.1
2012,NUTS,2010,CZ08,2,83.8
2013,NUTS,2010,CZ08,2,74.5
2014,NUTS,2010,CZ08,2,93.6
2015,NUTS,2010,CZ08,2,99.8
2016,NUTS,2010,CZ08,2,116.7
2017,NUTS,2010,CZ08,2,114.8
2018,NUTS,2010,CZ08,2,122.3
2019,NUTS,2010,CZ08,2,109.4
2020,NUTS,2010,CZ08,2,124.5
2011,NUTS,2010,DE,0,636.7
2012,NUTS,2010,DE,0,669.6
2013,NUTS,2010,DE,0,665.2
2014,NUTS,2010,DE,0,705.7
2015,NUTS,2010,DE,0,750.7
2016,NUTS,2010,DE,0,764.5
2017,NUTS,2010,DE,0,833.6
2018,NUTS,2010,DE,0,870.9
2019,NUTS,2010,DE,0,913.4
2020,NUTS,2010,DE,0,854.1
2011,NUTS,2010,DE1,1,1498.1
2013,NUTS,2010,DE1,1,1539.2
2015,NUTS,2010,DE1,1,1727.3
2017,NUTS,2010,DE1,1,2130.2
2019,NUTS,2010,DE1,1,2283.0
2011,NUTS,2010,DE11,2,2441.7
2013,NUTS,2010,DE11,2,2473.4
2015,NUTS,2010,DE11,2,2815.9
2017,NUTS,2010,DE11,2,3645.1
2019,NUTS,2010,DE11,2,3731.1
2011,NUTS,2010,DE12,2,967.8
2013,NUTS,2010,DE12,2,1040.4
2015,NUTS,2010,DE12,2,1215.2
2017,NUTS,2010,DE12,2,1419.7
2019,NUTS,2010,DE12,2,1660.0
2011,NUTS,2010,DE13,2,581.1
2013,NUTS,2010,DE13,2,565.2
2015,NUTS,2010,DE13,2,603.1
2017,NUTS,2010,DE13,2,654.5
2019,NUTS,2010,DE13,2,723.0
2011,NUTS,2010,DE14,2,1320.8
2013,NUTS,2010,DE14,2,1402.9
2015,NUTS,2010,DE14,2,1445.5
2017,NUTS,2010,DE14,2,1624.3
2019,NUTS,2010,DE14,2,1895.4
2011,NUTS,2010,DE2,1,889.0
2013,NUTS,2010,DE2,1,969.8
2015,NUTS,2010,DE2,1,1052.6
2017,NUTS,2010,DE2,1,1096.5
2019,NUTS,2010,DE2,1,1269.5
2011,NUTS,2010,DE21,2,1531.0
2013,NUTS,2010,DE21,2,1682.6
2015,NUTS,2010,DE21,2,1787.7
2017,NUTS,2010,DE21,2,1710.6
2019,NUTS,2010,DE21,2,2009.3
2011,NUTS,2010,DE22,2,284.3
2013,NUTS,2010,DE22,2,362.4
2015,NUTS,2010,DE22,2,416.2
2017,NUTS,2010,DE22,2,461.0
2019,NUTS,2010,DE22,2,576.1
2011,NUTS,2010,DE23,2,689.5
2013,NUTS,2010,DE23,2,529.7
2015,NUTS,2010,DE23,2,603.5
2017,NUTS,2010,DE23,2,817.9
2019,NUTS,2010,DE23,2,947.7
2011,NUTS,2010,DE24,2,383.5
2013,NUTS,2010,DE24,2,413.5
2015,NUTS,2010,DE24,2,472.7
2017,NUTS,2010,DE24,2,569.5
2019,NUTS,2010,DE24,2,763.8
2011,NUTS,2010,DE25,2,933.0
2013,NUTS,2010,DE25,2,1066.2
2015,NUTS,2010,DE25,2,1142.5
2017,NUTS,2010,DE25,2,1152.4
2019,NUTS,2010,DE25,2,1301.3
2011,NUTS,2010,DE26,2,541.7
2013,NUTS,2010,DE26,2,595.3
2015,NUTS,2010,DE26,2,549.9
2017,NUTS,2010,DE26,2,874.7
2019,NUTS,2010,DE26,2,914.6
2011,NUTS,2010,DE27,2,365.5
2013,NUTS,2010,DE27,2,386.7
2015,NUTS,2010,DE27,2,523.9
2017,NUTS,2010,DE27,2,551.7
2019,NUTS,2010,DE27,2,580.6
2011,NUTS,2010,DE3,1,427.6
2013,NUTS,2010,DE3,1,498.2
2015,NUTS,2010,DE3,1,524.1
2017,NUTS,2010,DE3,1,533.7
2019,NUTS,2010,DE3,1,571.7
2011,NUTS,2010,DE30,2,427.6
2013,NUTS,2010,DE30,2,498.2
2015,NUTS,2010,DE30,2,524.1
2017,NUTS,2010,DE30,2,533.7
2019,NUTS,2010,DE30,2,571.7
2011,NUTS,2010,DE4,1,125.1
2013,NUTS,2010,DE4,1,110.1
2015,NUTS,2010,DE4,1,161.7
2017,NUTS,2010,DE4,1,162.3
2019,NUTS,2010,DE4,1,193.4
2011,NUTS,2010,DE40,2,125.1
2013,NUTS,2010,DE40,2,110.1
2015,NUTS,2010,DE40,2,161.7
2017,NUTS,2010,DE40,2,162.3
2019,NUTS,2010,DE40,2,193.4
2011,NUTS,2010,DE5,1,412.6
2013,NUTS,2010,DE5,1,451.6
2015,NUTS,2010,DE5,1,480.1
2017,NUTS,2010,DE5,1,428.3
2019,NUTS,2010,DE5,1,484.5
2011,NUTS,2010,DE50,2,412.6
2013,NUTS,2010,DE50,2,451.6
2015,NUTS,2010,DE50,2,480.1
2017,NUTS,2010,DE50,2,428.3
2019,NUTS,2010,DE50,2,484.5
2011,NUTS,2010,DE6,1,692.3
2013,NUTS,2010,DE6,1,763.3
2015,NUTS,2010,DE6,1,774.2
2017,NUTS,2010,DE6,1,794.5
2019,NUTS,2010,DE6,1,821.2
2011,NUTS,2010,DE60,2,692.3
2013,NUTS,2010,DE60,2,768.5
2015,NUTS,2010,DE60,2,774.2
2017,NUTS,2010,DE60,2,794.5
2019,NUTS,2010,DE60,2,821.2
2011,NUTS,2010,DE7,1,891.0
2013,NUTS,2010,DE7,1,878.9
2015,NUTS,2010,DE7,1,925.9
2017,NUTS,2010,DE7,1,994.1
2019,NUTS,2010,DE7,1,1077.6
2011,NUTS,2010,DE71,2,1196.9
2013,NUTS,2010,DE71,2,1133.2
2015,NUTS,2010,DE71,2,1216.0
2017,NUTS,2010,DE71,2,1297.9
2019,NUTS,2010,DE71,2,1420.4
2011,NUTS,2010,DE72,2,343.0
2013,NUTS,2010,DE72,2,420.1
2015,NUTS,2010,DE72,2,438.6
2017,NUTS,2010,DE72,2,483.5
2019,NUTS,2010,DE72,2,502.7
2011,NUTS,2010,DE73,2,411.6
2013,NUTS,2010,DE73,2,467.1
2015,NUTS,2010,DE73,2,410.3
2017,NUTS,2010,DE73,2,445.8
2019,NUTS,2010,DE73,2,447.4
2011,NUTS,2010,DE8,1,150.0
2013,NUTS,2010,DE8,1,111.0
2015,NUTS,2010,DE8,1,150.1
2017,NUTS,2010,DE8,1,156.9
2019,NUTS,2010,DE8,1,148.7
2011,NUTS,2010,DE80,2,150.0
2013,NUTS,2010,DE80,2,111.0
2015,NUTS,2010,DE80,2,150.1
2017,NUTS,2010,DE80,2,156.9
2019,NUTS,2010,DE80,2,148.7
2011,NUTS,2010,DE9,1,568.3
2013,NUTS,2010,DE9,1,610.0
2015,NUTS,2010,DE9,1,830.9
2017,NUTS,2010,DE9,1,796.5
2019,NUTS,2010,DE9,1,859.4
2011,NUTS,2010,DE91,2,1819.5
2013,NUTS,2010,DE91,2,1959.3
2015,NUTS,2010,DE91,2,2907.6
2017,NUTS,2010,DE91,2,2775.6
2019,NUTS,2010,DE91,2,2952.1
2011,NUTS,2010,DE92,2,430.1
2013,NUTS,2010,DE92,2,452.3
2015,NUTS,2010,DE92,2,511.5
2017,NUTS,2010,DE92,2,494.2
2019,NUTS,2010,DE92,2,557.4
2011,NUTS,2010,DE93,2,190.8
2013,NUTS,2010,DE93,2,211.7
2015,NUTS,2010,DE93,2,206.1
2017,NUTS,2010,DE93,2,201.9
2019,NUTS,2010,DE93,2,204.2
2011,NUTS,2010,DE94,2,134.2
2013,NUTS,2010,DE94,2,147.1
2015,NUTS,2010,DE94,2,197.5
2017,NUTS,2010,DE94,2,199.0
2019,NUTS,2010,DE94,2,237.4
2011,NUTS,2010,DEA,1,396.1
2013,NUTS,2010,DEA,1,383.5
2015,NUTS,2010,DEA,1,416.9
2017,NUTS,2010,DEA,1,471.4
2019,NUTS,2010,DEA,1,504.2
2011,NUTS,2010,DEA1,2,516.9
2013,NUTS,2010,DEA1,2,465.9
2015,NUTS,2010,DEA1,2,518.1
2017,NUTS,2010,DEA1,2,603.2
2019,NUTS,2010,DEA1,2,640.8
2011,NUTS,2010,DEA2,2,485.0
2013,NUTS,2010,DEA2,2,416.1
2015,NUTS,2010,DEA2,2,459.8
2017,NUTS,2010,DEA2,2,541.1
2019,NUTS,2010,DEA2,2,550.0
2011,NUTS,2010,DEA3,2,146.1
2013,NUTS,2010,DEA3,2,166.1
2015,NUTS,2010,DEA3,2,188.6
2017,NUTS,2010,DEA3,2,204.9
2019,NUTS,2010,DEA3,2,252.1
2011,NUTS,2010,DEA4,2,451.3
2013,NUTS,2010,DEA4,2,509.2
2015,NUTS,2010,DEA4,2,516.8
2017,NUTS,2010,DEA4,2,545.6
2019,NUTS,2010,DEA4,2,580.5
2011,NUTS,2010,DEA5,2,266.3
2013,NUTS,2010,DEA5,2,311.9
2015,NUTS,2010,DEA5,2,327.3
2017,NUTS,2010,DEA5,2,346.4
2019,NUTS,2010,DEA5,2,389.5
2011,NUTS,2010,DEB,1,418.9
2013,NUTS,2010,DEB,1,480.7
2015,NUTS,2010,DEB,1,604.0
2017,NUTS,2010,DEB,1,628.6
2019,NUTS,2010,DEB,1,704.3
2011,NUTS,2010,DEB1,2,142.4
2013,NUTS,2010,DEB1,2,154.0
2015,NUTS,2010,DEB1,2,163.3
2017,NUTS,2010,DEB1,2,178.2
2019,NUTS,2010,DEB1,2,231.6
2011,NUTS,2010,DEB2,2,169.3
2013,NUTS,2010,DEB2,2,173.5
2015,NUTS,2010,DEB2,2,160.2
2017,NUTS,2010,DEB2,2,146.8
2019,NUTS,2010,DEB2,2,148.8
2011,NUTS,2010,DEB3,2,690.5
2013,NUTS,2010,DEB3,2,802.2
2015,NUTS,2010,DEB3,2,1042.6
2017,NUTS,2010,DEB3,2,1081.7
2019,NUTS,2010,DEB3,2,1191.2
2011,NUTS,2010,DEC,1,168.7
2013,NUTS,2010,DEC,1,180.4
2015,NUTS,2010,DEC,1,225.0
2017,NUTS,2010,DEC,1,305.4
2019,NUTS,2010,DEC,1,316.8
2011,NUTS,2010,DEC0,2,168.7
2013,NUTS,2010,DEC0,2,180.4
2015,NUTS,2010,DEC0,2,225.0
2017,NUTS,2010,DEC0,2,305.4
2019,NUTS,2010,DEC0,2,316.8
2011,NUTS,2010,DED,1,294.7
2013,NUTS,2010,DED,1,286.8
2015,NUTS,2010,DED,1,332.0
2017,NUTS,2010,DED,1,361.9
2019,NUTS,2010,DED,1,413.7
2011,NUTS,2010,DED2,2,454.5
2013,NUTS,2010,DED2,2,451.1
2015,NUTS,2010,DED2,2,545.5
2017,NUTS,2010,DED2,2,591.2
2019,NUTS,2010,DED2,2,711.8
2011,NUTS,2010,DED4,2,239.3
2013,NUTS,2010,DED4,2,236.5
2015,NUTS,2010,DED4,2,251.8
2017,NUTS,2010,DED4,2,280.0
2019,NUTS,2010,DED4,2,297.5
2011,NUTS,2010,DED5,2,117.1
2013,NUTS,2010,DED5,2,95.9
2015,NUTS,2010,DED5,2,109.1
2017,NUTS,2010,DED5,2,121.0
2019,NUTS,2010,DED5,2,116.8
2011,NUTS,2010,DEE,1,95.7
2013,NUTS,2010,DEE,1,101.0
2015,NUTS,2010,DEE,1,94.7
2017,NUTS,2010,DEE,1,112.9
2019,NUTS,2010,DEE,1,117.6
2011,NUTS,2010,DEE0,2,95.7
2013,NUTS,2010,DEE0,2,101.0
2015,NUTS,2010,DEE0,2,94.7
2017,NUTS,2010,DEE0,2,112.9
2019,NUTS,2010,DEE0,2,117.6
2011,NUTS,2010,DEF,1,186.1
2013,NUTS,2010,DEF,1,216.2
2015,NUTS,2010,DEF,1,237.1
2017,NUTS,2010,DEF,1,268.6
2019,NUTS,2010,DEF,1,270.2
2011,NUTS,2010,DEF0,2,186.1
2013,NUTS,2010,DEF0,2,216.2
2015,NUTS,2010,DEF0,2,237.1
2017,NUTS,2010,DEF0,2,268.6
2019,NUTS,2010,DEF0,2,270.2
2011,NUTS,2010,DEG,1,227.6
2013,NUTS,2010,DEG,1,253.2
2015,NUTS,2010,DEG,1,263.9
2017,NUTS,2010,DEG,1,315.9
2019,NUTS,2010,DEG,1,342.1
2011,NUTS,2010,DEG0,2,227.6
2013,NUTS,2010,DEG0,2,253.2
2015,NUTS,2010,DEG0,2,263.9
2017,NUTS,2010,DEG0,2,315.9
2019,NUTS,2010,DEG0,2,342.1
2011,NUTS,2010,DK,0,875.8
2012,NUTS,2010,DK,0,891.8
2013,NUTS,2010,DK,0,868.9
2014,NUTS,2010,DK,0,877.6
2015,NUTS,2010,DK,0,935.4
2016,NUTS,2010,DK,0,998.3
2017,NUTS,2010,DK,0,953.1
2018,NUTS,2010,DK,0,979.1
2019,NUTS,2010,DK,0,981.5
2020,NUTS,2010,DK,0,985.1
2011,NUTS,2010,DK0,1,875.9
2012,NUTS,2010,DK0,1,891.8
2013,NUTS,2010,DK0,1,868.9
2014,NUTS,2010,DK0,1,877.6
2015,NUTS,2010,DK0,1,935.4
2016,NUTS,2010,DK0,1,998.3
2017,NUTS,2010,DK0,1,953.1
2018,NUTS,2010,DK0,1,979.1
2019,NUTS,2010,DK0,1,981.5
2020,NUTS,2010,DK0,1,985.1
2011,NUTS,2010,DK01,2,1931.7
2012,NUTS,2010,DK01,2,1961.6
2013,NUTS,2010,DK01,2,1888.7
2014,NUTS,2010,DK01,2,1917.7
2015,NUTS,2010,DK01,2,2048.8
2016,NUTS,2010,DK01,2,2184.2
2017,NUTS,2010,DK01,2,2072.6
2019,NUTS,2010,DK01,2,2133.9
2011,NUTS,2010,DK02,2,251.5
