year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_p_mhab_lsr
2011,NUTS,2010,DE133,3,3.158
2012,NUTS,2010,DE134,3,0.479
2011,NUTS,2010,DE135,3,8.398
2012,NUTS,2010,DE135,3,12.039
2012,NUTS,2010,DE136,3,0.679
2011,NUTS,2010,DE137,3,6.185
2012,NUTS,2010,DE137,3,2.459
2011,NUTS,2010,DE139,3,3.728
2011,NUTS,2010,DE13A,3,9.029
2012,NUTS,2010,DE14,2,1.215
2012,NUTS,2010,DE141,3,0.712
2012,NUTS,2010,DE142,3,4.505
2012,NUTS,2010,DE145,3,5.268
2011,NUTS,2010,DE2,1,0.853
2012,NUTS,2010,DE2,1,0.629
2011,NUTS,2010,DE21,2,1.985
2012,NUTS,2010,DE21,2,1.393
2011,NUTS,2010,DE212,3,1.84
2012,NUTS,2010,DE212,3,1.995
2011,NUTS,2010,DE21C,3,1.418
2012,NUTS,2010,DE21C,3,0.967
2011,NUTS,2010,DE21H,3,6.935
2012,NUTS,2010,DE21H,3,3.141
2011,NUTS,2010,DE21J,3,8.52
2012,NUTS,2010,DE21J,3,8.463
2011,NUTS,2010,DE21K,3,7.167
2011,NUTS,2010,DE21L,3,2.533
2012,NUTS,2010,DE21L,3,8.967
2011,NUTS,2010,DE21M,3,3.343
2011,NUTS,2010,DE23,2,0.925
2011,NUTS,2010,DE232,3,4.944
2011,NUTS,2010,DE238,3,0.925
2011,NUTS,2010,DE239,3,1.19
2011,NUTS,2010,DE24,2,0.933
2012,NUTS,2010,DE24,2,0.234
2012,NUTS,2010,DE245,3,1.732
2011,NUTS,2010,DE248,3,8.851
2012,NUTS,2010,DE25,2,0.872
2012,NUTS,2010,DE254,3,0.979
2012,NUTS,2010,DE257,3,7.573
2011,NUTS,2010,DE3,1,2.023
2012,NUTS,2010,DE3,1,0.714
2011,NUTS,2010,DE30,2,2.023
2012,NUTS,2010,DE30,2,0.714
2011,NUTS,2010,DE300,3,2.023
2012,NUTS,2010,DE300,3,0.714
2011,NUTS,2010,DE4,1,0.851
2012,NUTS,2010,DE4,1,1.202
2011,NUTS,2010,DE40,2,0.851
2012,NUTS,2010,DE40,2,1.202
2012,NUTS,2010,DE402,3,2.448
2012,NUTS,2010,DE403,3,16.666
2012,NUTS,2010,DE404,3,1.573
2011,NUTS,2010,DE406,3,0.803
2012,NUTS,2010,DE406,3,3.095
2011,NUTS,2010,DE40A,3,4.923
2011,NUTS,2010,DE40E,3,4.876
2012,NUTS,2010,DE40E,3,2.431
2012,NUTS,2010,DE40H,3,3.095
2011,NUTS,2010,DE6,1,0.98
2011,NUTS,2010,DE60,2,0.98
2011,NUTS,2010,DE600,3,0.98
2011,NUTS,2010,DE9,1,0.126
2012,NUTS,2010,DE9,1,0.379
2011,NUTS,2010,DE91,2,0.621
2011,NUTS,2010,DE915,3,3.872
2012,NUTS,2010,DE92,2,1.404
2012,NUTS,2010,DE925,3,1.174
2012,NUTS,2010,DE929,3,2.35
2011,NUTS,2010,DEA,1,0.262
2011,NUTS,2010,DEA2,2,0.455
2011,NUTS,2010,DEA2D,3,3.535
2011,NUTS,2010,DEA5,2,0.73
2011,NUTS,2010,DEA5A,3,9.445
2011,NUTS,2010,DEB,1,0.312
2011,NUTS,2010,DEB1,2,0.728
2011,NUTS,2010,DEB11,3,1.597
2011,NUTS,2010,DEB17,3,3.186
2011,NUTS,2010,DEB1B,3,1.259
2011,NUTS,2010,DEB3,2,0.085
2011,NUTS,2010,DEB3J,3,0.84
2011,NUTS,2010,DED,1,0.171
2012,NUTS,2010,DED,1,0.363
2011,NUTS,2010,DED2,2,0.436
2012,NUTS,2010,DED2,2,0.924
2012,NUTS,2010,DED21,3,1.888
2011,NUTS,2010,DED2D,3,2.564
2012,NUTS,2010,DED2D,3,1.828
2011,NUTS,2010,DEF,1,0.864
2012,NUTS,2010,DEF,1,0.352
2011,NUTS,2010,DEF0,2,0.864
2012,NUTS,2010,DEF0,2,0.352
2011,NUTS,2010,DEF03,3,1.189
2012,NUTS,2010,DEF03,3,4.749
2011,NUTS,2010,DEF0F,3,9.575
2011,NUTS,2010,DEG,1,1.217
2012,NUTS,2010,DEG,1,1.4
2011,NUTS,2010,DEG0,2,1.217
2012,NUTS,2010,DEG0,2,1.4
2011,NUTS,2010,DEG03,3,16.836
2012,NUTS,2010,DEG03,3,25.412
2011,NUTS,2010,DEG05,3,6.872
2012,NUTS,2010,DEG05,3,4.425
2011,NUTS,2010,DEG0F,3,4.45
2012,NUTS,2010,DEG0J,3,1.622
2011,NUTS,2010,DK,0,0.764
2012,NUTS,2010,DK,0,0.806
2011,NUTS,2010,DK0,1,0.764
2012,NUTS,2010,DK0,1,0.717
2011,NUTS,2010,DK01,2,2.501
2012,NUTS,2010,DK01,2,1.995
2011,NUTS,2010,DK011,3,0.722
2012,NUTS,2010,DK011,3,2.372
2011,NUTS,2010,DK012,3,6.773
2012,NUTS,2010,DK012,3,0.96
2011,NUTS,2010,DK013,3,0.558
2012,NUTS,2010,DK013,3,2.788
2012,NUTS,2010,DK02,2,0.709
2012,NUTS,2010,DK021,3,2.453
2011,NUTS,2010,ES,0,0.043
2011,NUTS,2010,ES6,1,0.201
2011,NUTS,2010,ES61,2,0.24
2011,NUTS,2010,ES618,3,1.042
2011,NUTS,2010,FI,0,0.186
2011,NUTS,2010,FI1,1,0.187
2011,NUTS,2010,FI19,2,0.735
2011,NUTS,2010,FI197,3,2.05
2011,NUTS,2010,FR,0,0.317
2012,NUTS,2010,FR,0,0.311
2011,NUTS,2010,FR1,1,0.92
2012,NUTS,2010,FR1,1,1.014
2011,NUTS,2010,FR10,2,0.92
2012,NUTS,2010,FR10,2,1.014
2011,NUTS,2010,FR101,3,1.436
2012,NUTS,2010,FR101,3,0.683
2012,NUTS,2010,FR102,3,0.739
2011,NUTS,2010,FR103,3,0.672
2011,NUTS,2010,FR104,3,3.2
2012,NUTS,2010,FR104,3,2.966
2011,NUTS,2010,FR105,3,1.644
2012,NUTS,2010,FR105,3,1.733
2012,NUTS,2010,FR107,3,2.325
2011,NUTS,2010,FR108,3,0.169
2011,NUTS,2010,FR2,1,0.133
2012,NUTS,2010,FR2,1,0.016
2011,NUTS,2010,FR21,2,0.247
2011,NUTS,2010,FR212,3,1.086
2011,NUTS,2010,FR23,2,0.272
2011,NUTS,2010,FR232,3,0.4
2012,NUTS,2010,FR24,2,0.066
2012,NUTS,2010,FR242,3,0.393
2011,NUTS,2010,FR25,2,0.407
2011,NUTS,2010,FR251,3,0.876
2012,NUTS,2010,FR3,1,0.205
2012,NUTS,2010,FR30,2,0.205
2012,NUTS,2010,FR301,3,0.321
2011,NUTS,2010,FR4,1,0.186
2012,NUTS,2010,FR4,1,0.223
2011,NUTS,2010,FR42,2,0.54
2012,NUTS,2010,FR42,2,0.645
2011,NUTS,2010,FR421,3,0.91
2012,NUTS,2010,FR421,3,0.905
2012,NUTS,2010,FR422,3,0.265
2011,NUTS,2010,FR5,1,0.163
2012,NUTS,2010,FR5,1,0.116
2011,NUTS,2010,FR52,2,0.435
2012,NUTS,2010,FR52,2,0.309
2011,NUTS,2010,FR521,3,2.355
2012,NUTS,2010,FR521,3,1.679
2011,NUTS,2010,FR6,1,0.416
2012,NUTS,2010,FR6,1,0.312
2011,NUTS,2010,FR61,2,0.369
2012,NUTS,2010,FR61,2,0.66
2011,NUTS,2010,FR612,3,0.649
2012,NUTS,2010,FR612,3,1.463
2011,NUTS,2010,FR615,3,0.381
2011,NUTS,2010,FR63,2,2.253
2011,NUTS,2010,FR633,3,4.441
2011,NUTS,2010,FR7,1,0.262
2012,NUTS,2010,FR7,1,0.312
2011,NUTS,2010,FR71,2,0.318
2012,NUTS,2010,FR71,2,0.378
2011,NUTS,2010,FR713,3,0.82
2012,NUTS,2010,FR713,3,1.221
2011,NUTS,2010,FR714,3,1.317
2012,NUTS,2010,FR714,3,1.469
2011,NUTS,2010,FR8,1,0.127
2012,NUTS,2010,FR8,1,0.063
2011,NUTS,2010,FR81,2,0.187
2011,NUTS,2010,FR813,3,0.471
2012,NUTS,2010,FR82,2,0.101
2012,NUTS,2010,FR823,3,0.462
2011,NUTS,2010,FR83,2,1.59
2011,NUTS,2010,FR832,3,2.965
2011,NUTS,2010,HU,0,0.1
2011,NUTS,2010,HU2,1,0.33
2011,NUTS,2010,HU23,2,1.063
2011,NUTS,2010,HU231,3,2.555
2011,NUTS,2010,IE,0,0.438
2012,NUTS,2010,IE,0,0.218
2011,NUTS,2010,IE0,1,0.438
2012,NUTS,2010,IE0,1,0.218
2011,NUTS,2010,IE02,2,0.6
2012,NUTS,2010,IE02,2,0.299
2011,NUTS,2010,IE021,3,0.793
2012,NUTS,2010,IE021,3,0.792
2011,NUTS,2010,IE025,3,1.51
2011,NUTS,2010,IT,0,0.034
2012,NUTS,2010,IT,0,0.01
2011,NUTS,2010,ITC,1,0.127
2012,NUTS,2010,ITC,1,0.021
2011,NUTS,2010,ITC1,2,0.101
2011,NUTS,2010,ITC11,3,0.049
2011,NUTS,2010,ITC14,3,2.054
2011,NUTS,2010,ITC4,2,0.161
2012,NUTS,2010,ITC4,2,0.034
2011,NUTS,2010,ITC41,3,0.38
2011,NUTS,2010,ITC47,3,0.089
2011,NUTS,2010,ITC48,3,0.206
2011,NUTS,2010,ITC4C,3,0.222
2012,NUTS,2010,ITC4C,3,0.109
2011,NUTS,2010,ITC4D,3,0.395
2012,NUTS,2010,ITI,1,0.022
2012,NUTS,2010,ITI4,2,0.045
2012,NUTS,2010,ITI43,3,0.063
2011,NUTS,2010,LT,0,0.328
2012,NUTS,2010,LT,0,1.498
2011,NUTS,2010,LT0,1,0.328
2012,NUTS,2010,LT0,1,1.498
2011,NUTS,2010,LT00,2,0.328
2012,NUTS,2010,LT00,2,1.498
2011,NUTS,2010,LT00A,3,1.232
2012,NUTS,2010,LT00A,3,5.584
2011,NUTS,2010,NL,0,0.27
2012,NUTS,2010,NL,0,0.717
2011,NUTS,2010,NL3,1,0.128
2012,NUTS,2010,NL3,1,0.381
2011,NUTS,2010,NL33,2,0.283
2012,NUTS,2010,NL33,2,0.844
2011,NUTS,2010,NL333,3,4.638
2012,NUTS,2010,NL333,3,9.137
2012,NUTS,2010,NL339,3,0.708
2011,NUTS,2010,NL4,1,0.979
2012,NUTS,2010,NL4,1,2.509
2011,NUTS,2010,NL41,2,1.426
2012,NUTS,2010,NL41,2,3.653
2011,NUTS,2010,NL414,3,4.737
2012,NUTS,2010,NL414,3,12.123
2011,NUTS,2010,PT,0,0.038
2011,NUTS,2010,PT1,1,0.04
2011,NUTS,2010,PT11,2,0.108
2011,NUTS,2010,PT114,3,0.31
2011,NUTS,2010,SE,0,0.17
2012,NUTS,2010,SE,0,0.105
2011,NUTS,2010,SE1,1,0.276
2012,NUTS,2010,SE1,1,0.273
2011,NUTS,2010,SE11,2,0.487
2012,NUTS,2010,SE11,2,0.359
2011,NUTS,2010,SE110,3,0.487
2012,NUTS,2010,SE110,3,0.359
2012,NUTS,2010,SE12,2,0.158
2012,NUTS,2010,SE121,3,0.738
2011,NUTS,2010,SE2,1,0.147
2011,NUTS,2010,SE22,2,0.43
2011,NUTS,2010,SE224,3,0.483
2012,NUTS,2010,TR,0,0.013
2012,NUTS,2010,TR4,1,0.144
2012,NUTS,2010,TR42,2,0.302
2012,NUTS,2010,TR421,3,0.624
2011,NUTS,2010,UK,0,0.164
2012,NUTS,2010,UK,0,0.24
2011,NUTS,2010,UKD,1,0.142
2012,NUTS,2010,UKD,1,0.212
2011,NUTS,2010,UKD3,2,0.374
2012,NUTS,2010,UKD3,2,0.186
2011,NUTS,2010,UKD31,3,0.685
2012,NUTS,2010,UKD31,3,0.339
2012,NUTS,2010,UKD6,2,1.106
2012,NUTS,2010,UKD62,3,2.692
2011,NUTS,2010,UKG,1,0.045
2011,NUTS,2010,UKG3,2,0.092
2011,NUTS,2010,UKG31,3,0.234
2011,NUTS,2010,UKI,1,0.092
2012,NUTS,2010,UKI,1,0.242
2011,NUTS,2010,UKI1,2,0.234
2012,NUTS,2010,UKI1,2,0.613
2011,NUTS,2010,UKI11,3,0.688
2012,NUTS,2010,UKI11,3,1.366
2012,NUTS,2010,UKI12,3,0.231
2011,NUTS,2010,UKJ,1,0.247
2012,NUTS,2010,UKJ,1,0.556
2011,NUTS,2010,UKJ1,2,0.442
2012,NUTS,2010,UKJ1,2,1.313
2011,NUTS,2010,UKJ14,3,1.534
2012,NUTS,2010,UKJ14,3,4.561
2011,NUTS,2010,UKJ2,2,0.121
2012,NUTS,2010,UKJ2,2,0.363
2011,NUTS,2010,UKJ23,3,0.292
2012,NUTS,2010,UKJ23,3,0.878
2011,NUTS,2010,UKJ3,2,0.422
2012,NUTS,2010,UKJ3,2,0.435
2011,NUTS,2010,UKJ32,3,0.853
2012,NUTS,2010,UKJ32,3,1.389
2011,NUTS,2010,UKJ33,3,0.455
2012,NUTS,2010,UKJ33,3,0.377
2011,NUTS,2010,UKK,1,0.252
2012,NUTS,2010,UKK,1,0.047
2011,NUTS,2010,UKK1,2,0.141
2011,NUTS,2010,UKK15,3,0.699
2011,NUTS,2010,UKK4,2,0.883
2012,NUTS,2010,UKK4,2,0.219
2011,NUTS,2010,UKK42,3,5.103
2011,NUTS,2010,UKK43,3,0.442
2012,NUTS,2010,UKK43,3,0.333
2011,NUTS,2010,UKM,1,0.82
2012,NUTS,2010,UKM,1,0.91
2011,NUTS,2010,UKM2,2,0.496
2012,NUTS,2010,UKM2,2,0.246
2011,NUTS,2010,UKM22,3,0.794
2011,NUTS,2010,UKM25,3,1.414
2012,NUTS,2010,UKM28,3,2.847
2011,NUTS,2010,UKM3,2,1.431
2012,NUTS,2010,UKM3,2,1.856
2011,NUTS,2010,UKM34,3,5.646
2012,NUTS,2010,UKM34,3,7.288
