year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_cte_p_mact
2009,NUTS,2010,BE22,2,1.502
2010,NUTS,2010,BE22,2,7.673
2011,NUTS,2010,BE22,2,15.314
2012,NUTS,2010,BE22,2,15.061
1999,NUTS,2010,BE23,2,18.996
2000,NUTS,2010,BE23,2,23.155
2001,NUTS,2010,BE23,2,24.338
2002,NUTS,2010,BE23,2,30.408
2003,NUTS,2010,BE23,2,28.634
2004,NUTS,2010,BE23,2,43.276
2005,NUTS,2010,BE23,2,39.066
2006,NUTS,2010,BE23,2,29.531
2007,NUTS,2010,BE23,2,43.182
2008,NUTS,2010,BE23,2,33.633
2009,NUTS,2010,BE23,2,27.474
2010,NUTS,2010,BE23,2,18.13
2011,NUTS,2010,BE23,2,39.898
2012,NUTS,2010,BE23,2,29.289
1999,NUTS,2010,BE24,2,34.482
2000,NUTS,2010,BE24,2,26.627
2001,NUTS,2010,BE24,2,36.069
2002,NUTS,2010,BE24,2,47.644
2003,NUTS,2010,BE24,2,32.449
2004,NUTS,2010,BE24,2,33.807
2005,NUTS,2010,BE24,2,42.25
2006,NUTS,2010,BE24,2,19.441
2007,NUTS,2010,BE24,2,44.942
2008,NUTS,2010,BE24,2,42.293
2009,NUTS,2010,BE24,2,32.189
2010,NUTS,2010,BE24,2,28.758
2011,NUTS,2010,BE24,2,26.804
2012,NUTS,2010,BE24,2,31.987
1999,NUTS,2010,BE25,2,14.254
2000,NUTS,2010,BE25,2,13.148
2001,NUTS,2010,BE25,2,18.87
2002,NUTS,2010,BE25,2,14.868
2003,NUTS,2010,BE25,2,16.868
2004,NUTS,2010,BE25,2,31.26
2005,NUTS,2010,BE25,2,20.501
2006,NUTS,2010,BE25,2,19.639
2007,NUTS,2010,BE25,2,15.868
2008,NUTS,2010,BE25,2,14.822
2009,NUTS,2010,BE25,2,2.732
2010,NUTS,2010,BE25,2,15.456
2011,NUTS,2010,BE25,2,10.954
2012,NUTS,2010,BE25,2,11.06
1999,NUTS,2010,BE3,1,4.921
2000,NUTS,2010,BE3,1,8.882
2001,NUTS,2010,BE3,1,3.735
2002,NUTS,2010,BE3,1,10.343
2003,NUTS,2010,BE3,1,5.105
2004,NUTS,2010,BE3,1,5.065
2005,NUTS,2010,BE3,1,6.204
2006,NUTS,2010,BE3,1,7.775
2007,NUTS,2010,BE3,1,3.98
2008,NUTS,2010,BE3,1,4.315
2009,NUTS,2010,BE3,1,3.466
2010,NUTS,2010,BE3,1,10.756
2011,NUTS,2010,BE3,1,10.527
2012,NUTS,2010,BE3,1,11.012
1999,NUTS,2010,BE31,2,7.09
2000,NUTS,2010,BE31,2,27.192
2001,NUTS,2010,BE31,2,8.55
2002,NUTS,2010,BE31,2,26.463
2003,NUTS,2010,BE31,2,20.263
2004,NUTS,2010,BE31,2,21.251
2005,NUTS,2010,BE31,2,17.81
2006,NUTS,2010,BE31,2,21.19
2007,NUTS,2010,BE31,2,10.204
2008,NUTS,2010,BE31,2,12.308
2010,NUTS,2010,BE31,2,58.106
2011,NUTS,2010,BE31,2,51.15
2012,NUTS,2010,BE31,2,73.152
1999,NUTS,2010,BE32,2,3.31
2000,NUTS,2010,BE32,2,0.653
2001,NUTS,2010,BE32,2,2.305
2002,NUTS,2010,BE32,2,2.015
2003,NUTS,2010,BE32,2,0.509
2004,NUTS,2010,BE32,2,3.596
2005,NUTS,2010,BE32,2,3.835
2006,NUTS,2010,BE32,2,6.411
2008,NUTS,2010,BE32,2,1.877
2010,NUTS,2010,BE32,2,3.4
2011,NUTS,2010,BE32,2,2.505
2012,NUTS,2010,BE32,2,0.933
1999,NUTS,2010,BE33,2,7.006
2000,NUTS,2010,BE33,2,7.756
2001,NUTS,2010,BE33,2,3.256
2002,NUTS,2010,BE33,2,8.083
2003,NUTS,2010,BE33,2,8.42
2004,NUTS,2010,BE33,2,3.14
2005,NUTS,2010,BE33,2,5.157
2006,NUTS,2010,BE33,2,4.508
2007,NUTS,2010,BE33,2,6.439
2008,NUTS,2010,BE33,2,3.907
2009,NUTS,2010,BE33,2,6.02
2010,NUTS,2010,BE33,2,8.782
2011,NUTS,2010,BE33,2,11.116
2012,NUTS,2010,BE33,2,7.249
2001,NUTS,2010,BE34,2,9.569
2005,NUTS,2010,BE34,2,1.813
2007,NUTS,2010,BE34,2,4.394
2009,NUTS,2010,BE34,2,7.088
1999,NUTS,2010,BE35,2,5.453
2000,NUTS,2010,BE35,2,23.167
2001,NUTS,2010,BE35,2,1.39
2002,NUTS,2010,BE35,2,31.25
2004,NUTS,2010,BE35,2,2.637
2005,NUTS,2010,BE35,2,7.887
2006,NUTS,2010,BE35,2,12.149
2007,NUTS,2010,BE35,2,3.707
2008,NUTS,2010,BE35,2,7.485
2009,NUTS,2010,BE35,2,7.375
2010,NUTS,2010,BE35,2,1.202
2011,NUTS,2010,BE35,2,2.463
2001,NUTS,2010,BG,0,0.32
2002,NUTS,2010,BG,0,0.292
2005,NUTS,2010,BG,0,0.504
2007,NUTS,2010,BG,0,0.215
2009,NUTS,2010,BG,0,0.573
2012,NUTS,2010,BG,0,0.299
2005,NUTS,2010,BG3,1,0.301
2007,NUTS,2010,BG3,1,0.144
2009,NUTS,2010,BG3,1,0.583
2005,NUTS,2010,BG31,2,1.39
2007,NUTS,2010,BG31,2,0.659
2009,NUTS,2010,BG32,2,2.507
2005,NUTS,2010,BG4,1,0.708
2007,NUTS,2010,BG4,1,0.286
2009,NUTS,2010,BG4,1,0.563
2012,NUTS,2010,BG4,1,0.58
2001,NUTS,2010,BG41,2,1.035
2002,NUTS,2010,BG41,2,1.043
2005,NUTS,2010,BG41,2,0.833
2007,NUTS,2010,BG41,2,0.468
2009,NUTS,2010,BG41,2,0.92
2012,NUTS,2010,BG41,2,0.939
2005,NUTS,2010,BG42,2,0.502
1999,NUTS,2010,CH,0,36.721
2000,NUTS,2010,CH,0,47.132
2001,NUTS,2010,CH,0,43.65
2002,NUTS,2010,CH,0,38.521
2003,NUTS,2010,CH,0,36.002
2004,NUTS,2010,CH,0,41.339
2005,NUTS,2010,CH,0,35.326
2006,NUTS,2010,CH,0,39.849
2007,NUTS,2010,CH,0,33.649
2008,NUTS,2010,CH,0,24.827
2009,NUTS,2010,CH,0,24.209
2010,NUTS,2010,CH,0,30.368
2011,NUTS,2010,CH,0,27.453
2012,NUTS,2010,CH,0,19.764
1999,NUTS,2010,CH0,1,36.262
2000,NUTS,2010,CH0,1,46.567
2001,NUTS,2010,CH0,1,43.093
2002,NUTS,2010,CH0,1,37.615
2003,NUTS,2010,CH0,1,35.54
2004,NUTS,2010,CH0,1,40.716
2005,NUTS,2010,CH0,1,34.484
2006,NUTS,2010,CH0,1,39.484
2007,NUTS,2010,CH0,1,33.069
2008,NUTS,2010,CH0,1,24.37
2009,NUTS,2010,CH0,1,23.773
2010,NUTS,2010,CH0,1,29.588
2011,NUTS,2010,CH0,1,26.903
2012,NUTS,2010,CH0,1,19.36
2001,NUTS,2010,CH01,2,44.444
2002,NUTS,2010,CH01,2,53.714
2003,NUTS,2010,CH01,2,39.498
2004,NUTS,2010,CH01,2,59.981
2005,NUTS,2010,CH01,2,52.841
2006,NUTS,2010,CH01,2,53.895
2007,NUTS,2010,CH01,2,37.601
2008,NUTS,2010,CH01,2,35.391
2009,NUTS,2010,CH01,2,35.152
2010,NUTS,2010,CH01,2,66.713
2011,NUTS,2010,CH01,2,40.467
2012,NUTS,2010,CH01,2,26.707
2001,NUTS,2010,CH02,2,45.013
2002,NUTS,2010,CH02,2,42.398
2003,NUTS,2010,CH02,2,36.481
2004,NUTS,2010,CH02,2,37.615
2005,NUTS,2010,CH02,2,27.672
2006,NUTS,2010,CH02,2,39.475
2007,NUTS,2010,CH02,2,25.911
2008,NUTS,2010,CH02,2,19.265
2009,NUTS,2010,CH02,2,22.143
2010,NUTS,2010,CH02,2,19.9
2011,NUTS,2010,CH02,2,19.825
2012,NUTS,2010,CH02,2,6.682
2001,NUTS,2010,CH03,2,43.908
2002,NUTS,2010,CH03,2,25.779
2003,NUTS,2010,CH03,2,16.497
2004,NUTS,2010,CH03,2,18.493
2005,NUTS,2010,CH03,2,18.147
2006,NUTS,2010,CH03,2,25.786
2007,NUTS,2010,CH03,2,21.5
2008,NUTS,2010,CH03,2,25.65
2009,NUTS,2010,CH03,2,26.246
2010,NUTS,2010,CH03,2,23.563
2011,NUTS,2010,CH03,2,22.736
2012,NUTS,2010,CH03,2,29.319
2001,NUTS,2010,CH04,2,92.567
2002,NUTS,2010,CH04,2,63.641
2003,NUTS,2010,CH04,2,85.443
2004,NUTS,2010,CH04,2,81.45
2005,NUTS,2010,CH04,2,70.041
2006,NUTS,2010,CH04,2,74.964
2007,NUTS,2010,CH04,2,70.951
2008,NUTS,2010,CH04,2,40.6
2009,NUTS,2010,CH04,2,32.012
2010,NUTS,2010,CH04,2,44.364
2011,NUTS,2010,CH04,2,49.635
2012,NUTS,2010,CH04,2,35.706
2001,NUTS,2010,CH05,2,10.539
2002,NUTS,2010,CH05,2,6.321
2003,NUTS,2010,CH05,2,3.364
2004,NUTS,2010,CH05,2,11.665
2005,NUTS,2010,CH05,2,12.848
2006,NUTS,2010,CH05,2,14.68
2007,NUTS,2010,CH05,2,12.855
2008,NUTS,2010,CH05,2,10.618
2009,NUTS,2010,CH05,2,12.103
2010,NUTS,2010,CH05,2,5.386
2011,NUTS,2010,CH05,2,7.449
2012,NUTS,2010,CH05,2,7.825
2001,NUTS,2010,CH06,2,8.849
2002,NUTS,2010,CH06,2,15.155
2003,NUTS,2010,CH06,2,17.812
2004,NUTS,2010,CH06,2,23.462
2005,NUTS,2010,CH06,2,13.314
2006,NUTS,2010,CH06,2,16.439
2007,NUTS,2010,CH06,2,24.618
2008,NUTS,2010,CH06,2,10.541
2009,NUTS,2010,CH06,2,12.514
2010,NUTS,2010,CH06,2,8.839
2011,NUTS,2010,CH06,2,20.991
2012,NUTS,2010,CH06,2,8.646
2001,NUTS,2010,CH07,2,7.326
2002,NUTS,2010,CH07,2,31.626
2003,NUTS,2010,CH07,2,14.071
2004,NUTS,2010,CH07,2,14.673
2005,NUTS,2010,CH07,2,20.076
2006,NUTS,2010,CH07,2,6.169
2007,NUTS,2010,CH07,2,15.47
2008,NUTS,2010,CH07,2,9.096
2009,NUTS,2010,CH07,2,4.94
2010,NUTS,2010,CH07,2,10.404
2011,NUTS,2010,CH07,2,1.833
2012,NUTS,2010,CH07,2,17.016
2000,NUTS,2010,CY,0,1.618
2001,NUTS,2010,CY,0,9.305
2002,NUTS,2010,CY,0,6.133
2003,NUTS,2010,CY,0,2.286
2006,NUTS,2010,CY,0,0.882
2007,NUTS,2010,CY,0,2.542
2008,NUTS,2010,CY,0,2.516
2009,NUTS,2010,CY,0,3.707
2000,NUTS,2010,CY0,1,1.618
2001,NUTS,2010,CY0,1,9.305
2002,NUTS,2010,CY0,1,6.133
2003,NUTS,2010,CY0,1,2.286
2006,NUTS,2010,CY0,1,0.882
2007,NUTS,2010,CY0,1,2.542
2008,NUTS,2010,CY0,1,2.516
2009,NUTS,2010,CY0,1,3.707
2000,NUTS,2010,CY00,2,1.618
2001,NUTS,2010,CY00,2,9.305
2002,NUTS,2010,CY00,2,6.133
2003,NUTS,2010,CY00,2,2.286
2006,NUTS,2010,CY00,2,0.882
2007,NUTS,2010,CY00,2,2.542
2008,NUTS,2010,CY00,2,2.516
2009,NUTS,2010,CY00,2,3.707
1999,NUTS,2010,CZ,0,0.064
2000,NUTS,2010,CZ,0,0.293
2001,NUTS,2010,CZ,0,0.104
2002,NUTS,2010,CZ,0,0.54
2003,NUTS,2010,CZ,0,0.311
2004,NUTS,2010,CZ,0,0.882
2005,NUTS,2010,CZ,0,1.063
2006,NUTS,2010,CZ,0,2.083
2007,NUTS,2010,CZ,0,0.962
2008,NUTS,2010,CZ,0,2.341
2009,NUTS,2010,CZ,0,0.946
2010,NUTS,2010,CZ,0,1.351
2011,NUTS,2010,CZ,0,1.828
2012,NUTS,2010,CZ,0,0.729
1999,NUTS,2010,CZ0,1,0.064
2000,NUTS,2010,CZ0,1,0.293
2001,NUTS,2010,CZ0,1,0.104
2002,NUTS,2010,CZ0,1,0.393
2003,NUTS,2010,CZ0,1,0.311
2004,NUTS,2010,CZ0,1,0.882
2005,NUTS,2010,CZ0,1,1.063
2006,NUTS,2010,CZ0,1,2.083
2007,NUTS,2010,CZ0,1,0.962
2008,NUTS,2010,CZ0,1,2.15
2009,NUTS,2010,CZ0,1,0.946
2010,NUTS,2010,CZ0,1,1.351
2011,NUTS,2010,CZ0,1,1.733
2012,NUTS,2010,CZ0,1,0.729
2000,NUTS,2010,CZ01,2,2.373
2001,NUTS,2010,CZ01,2,0.318
2002,NUTS,2010,CZ01,2,1.589
2003,NUTS,2010,CZ01,2,0.27
2005,NUTS,2010,CZ01,2,3.529
2006,NUTS,2010,CZ01,2,4.029
2007,NUTS,2010,CZ01,2,1.99
2008,NUTS,2010,CZ01,2,1.018
2009,NUTS,2010,CZ01,2,0.25
2010,NUTS,2010,CZ01,2,4.661
2011,NUTS,2010,CZ01,2,2.049
2001,NUTS,2010,CZ02,2,0.588
2002,NUTS,2010,CZ02,2,1.756
2004,NUTS,2010,CZ02,2,0.877
2005,NUTS,2010,CZ02,2,0.43
2006,NUTS,2010,CZ02,2,0.675
2007,NUTS,2010,CZ02,2,0.947
2008,NUTS,2010,CZ02,2,0.942
2010,NUTS,2010,CZ02,2,1.463
2011,NUTS,2010,CZ02,2,3.81
2005,NUTS,2010,CZ03,2,1.664
2008,NUTS,2010,CZ03,2,0.815
2009,NUTS,2010,CZ03,2,0.407
2003,NUTS,2010,CZ04,2,0.759
2004,NUTS,2010,CZ04,2,2.615
2005,NUTS,2010,CZ04,2,1.722
2006,NUTS,2010,CZ04,2,3.448
2008,NUTS,2010,CZ04,2,5.316
2009,NUTS,2010,CZ04,2,7.621
2011,NUTS,2010,CZ04,2,7.625
2012,NUTS,2010,CZ04,2,2.411
2004,NUTS,2010,CZ05,2,1.37
2005,NUTS,2010,CZ05,2,1.361
2007,NUTS,2010,CZ05,2,1.351
2009,NUTS,2010,CZ05,2,0.336
2010,NUTS,2010,CZ05,2,3.367
2004,NUTS,2010,CZ06,2,1.244
2006,NUTS,2010,CZ06,2,2.667
2007,NUTS,2010,CZ06,2,1.385
2008,NUTS,2010,CZ06,2,4.585
2010,NUTS,2010,CZ06,2,0.601
2012,NUTS,2010,CZ06,2,3.001
1999,NUTS,2010,CZ07,2,0.538
2004,NUTS,2010,CZ07,2,0.831
2006,NUTS,2010,CZ07,2,3.262
2007,NUTS,2010,CZ07,2,1.626
2008,NUTS,2010,CZ07,2,4.104
2003,NUTS,2010,CZ08,2,1.647
2006,NUTS,2010,CZ08,2,2.738
2008,NUTS,2010,CZ08,2,0.407
2011,NUTS,2010,CZ08,2,1.677
1999,NUTS,2010,DE,0,40.86
2000,NUTS,2010,DE,0,43.328
2001,NUTS,2010,DE,0,41.713
2002,NUTS,2010,DE,0,40.308
2003,NUTS,2010,DE,0,36.348
2004,NUTS,2010,DE,0,35.847
2005,NUTS,2010,DE,0,30.197
2006,NUTS,2010,DE,0,29.457
2007,NUTS,2010,DE,0,31.222
2008,NUTS,2010,DE,0,26.319
2009,NUTS,2010,DE,0,24.411
2010,NUTS,2010,DE,0,25.064
2011,NUTS,2010,DE,0,24.419
2012,NUTS,2010,DE,0,19.868
1999,NUTS,2010,DE1,1,57.553
2000,NUTS,2010,DE1,1,66.516
2001,NUTS,2010,DE1,1,62.221
2002,NUTS,2010,DE1,1,73.663
2003,NUTS,2010,DE1,1,53.411
2004,NUTS,2010,DE1,1,59.68
2005,NUTS,2010,DE1,1,46.701
2006,NUTS,2010,DE1,1,46.817
2007,NUTS,2010,DE1,1,48.041
2008,NUTS,2010,DE1,1,47.433
2009,NUTS,2010,DE1,1,38.843
2010,NUTS,2010,DE1,1,35.134
2011,NUTS,2010,DE1,1,41.241
2012,NUTS,2010,DE1,1,35.918
1999,NUTS,2010,DE11,2,104.421
2000,NUTS,2010,DE11,2,120.468
2001,NUTS,2010,DE11,2,98.031
2002,NUTS,2010,DE11,2,112.625
2003,NUTS,2010,DE11,2,84.77
2004,NUTS,2010,DE11,2,89.742
2005,NUTS,2010,DE11,2,71.652
2006,NUTS,2010,DE11,2,65.911
2007,NUTS,2010,DE11,2,72.887
2008,NUTS,2010,DE11,2,73.524
2009,NUTS,2010,DE11,2,56.362
2010,NUTS,2010,DE11,2,47.72
2011,NUTS,2010,DE11,2,54.119
2012,NUTS,2010,DE11,2,49.1
1999,NUTS,2010,DE12,2,22.273
2000,NUTS,2010,DE12,2,39.573
2001,NUTS,2010,DE12,2,37.46
2002,NUTS,2010,DE12,2,58.096
2003,NUTS,2010,DE12,2,37.033
2004,NUTS,2010,DE12,2,47.894
2005,NUTS,2010,DE12,2,35.041
2006,NUTS,2010,DE12,2,47.421
2007,NUTS,2010,DE12,2,36.552
2008,NUTS,2010,DE12,2,34.764
2009,NUTS,2010,DE12,2,36.476
2010,NUTS,2010,DE12,2,41.931
2011,NUTS,2010,DE12,2,38.401
2012,NUTS,2010,DE12,2,42.033
1999,NUTS,2010,DE13,2,44.356
2000,NUTS,2010,DE13,2,31.498
2001,NUTS,2010,DE13,2,36.582
