year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_p_mhab_cab
2003,NUTS,2010,DE1,1,32.733
2004,NUTS,2010,DE1,1,34.747
2005,NUTS,2010,DE1,1,24.86
2006,NUTS,2010,DE1,1,24.859
2007,NUTS,2010,DE1,1,18.028
2008,NUTS,2010,DE1,1,19.691
2009,NUTS,2010,DE1,1,16.457
2010,NUTS,2010,DE1,1,19.472
2011,NUTS,2010,DE1,1,23.736
2012,NUTS,2010,DE1,1,21.011
2000,NUTS,2010,DE11,2,28.956
2001,NUTS,2010,DE11,2,26.737
2002,NUTS,2010,DE11,2,18.317
2003,NUTS,2010,DE11,2,31.348
2004,NUTS,2010,DE11,2,40.247
2005,NUTS,2010,DE11,2,25.645
2006,NUTS,2010,DE11,2,21.987
2007,NUTS,2010,DE11,2,19.009
2008,NUTS,2010,DE11,2,18.467
2009,NUTS,2010,DE11,2,11.32
2010,NUTS,2010,DE11,2,14.937
2011,NUTS,2010,DE11,2,15.87
2012,NUTS,2010,DE11,2,10.59
2000,NUTS,2010,DE111,3,62.186
2001,NUTS,2010,DE111,3,56.022
2002,NUTS,2010,DE111,3,36.771
2003,NUTS,2010,DE111,3,73.274
2004,NUTS,2010,DE111,3,60.544
2005,NUTS,2010,DE111,3,23.211
2006,NUTS,2010,DE111,3,35.051
2007,NUTS,2010,DE111,3,55.142
2008,NUTS,2010,DE111,3,34.378
2009,NUTS,2010,DE111,3,21.748
2010,NUTS,2010,DE111,3,16.604
2011,NUTS,2010,DE111,3,21.217
2012,NUTS,2010,DE111,3,15.553
2000,NUTS,2010,DE112,3,53.998
2001,NUTS,2010,DE112,3,67.071
2002,NUTS,2010,DE112,3,24.876
2003,NUTS,2010,DE112,3,53.249
2004,NUTS,2010,DE112,3,79.639
2005,NUTS,2010,DE112,3,59.713
2006,NUTS,2010,DE112,3,33.561
2007,NUTS,2010,DE112,3,13.648
2008,NUTS,2010,DE112,3,38.122
2009,NUTS,2010,DE112,3,11.614
2010,NUTS,2010,DE112,3,22.254
2011,NUTS,2010,DE112,3,47.12
2012,NUTS,2010,DE112,3,10.34
2000,NUTS,2010,DE113,3,21.614
2001,NUTS,2010,DE113,3,22.929
2002,NUTS,2010,DE113,3,22.836
2003,NUTS,2010,DE113,3,16.487
2004,NUTS,2010,DE113,3,31.023
2005,NUTS,2010,DE113,3,18.515
2006,NUTS,2010,DE113,3,26.991
2007,NUTS,2010,DE113,3,13.207
2008,NUTS,2010,DE113,3,16.657
2009,NUTS,2010,DE113,3,9.366
2010,NUTS,2010,DE113,3,14.938
2011,NUTS,2010,DE113,3,14.005
2012,NUTS,2010,DE113,3,10.847
2000,NUTS,2010,DE114,3,8.628
2001,NUTS,2010,DE114,3,3.816
2002,NUTS,2010,DE114,3,14.555
2003,NUTS,2010,DE114,3,3.211
2004,NUTS,2010,DE114,3,5.605
2005,NUTS,2010,DE114,3,1.934
2007,NUTS,2010,DE114,3,3.892
2008,NUTS,2010,DE114,3,1.29
2009,NUTS,2010,DE114,3,8.515
2010,NUTS,2010,DE114,3,8.993
2011,NUTS,2010,DE114,3,8.909
2000,NUTS,2010,DE115,3,38.471
2001,NUTS,2010,DE115,3,35.579
2002,NUTS,2010,DE115,3,25.118
2003,NUTS,2010,DE115,3,52.086
2004,NUTS,2010,DE115,3,67.179
2005,NUTS,2010,DE115,3,62.794
2006,NUTS,2010,DE115,3,25.384
2007,NUTS,2010,DE115,3,17.413
2008,NUTS,2010,DE115,3,24.653
2009,NUTS,2010,DE115,3,11.591
2010,NUTS,2010,DE115,3,35.928
2011,NUTS,2010,DE115,3,27.626
2012,NUTS,2010,DE115,3,23.243
2000,NUTS,2010,DE116,3,18.909
2001,NUTS,2010,DE116,3,8.429
2002,NUTS,2010,DE116,3,7.434
2003,NUTS,2010,DE116,3,6.302
2004,NUTS,2010,DE116,3,21.218
2005,NUTS,2010,DE116,3,3.761
2006,NUTS,2010,DE116,3,12.066
2007,NUTS,2010,DE116,3,6.777
2008,NUTS,2010,DE116,3,8.487
2009,NUTS,2010,DE116,3,6.895
2010,NUTS,2010,DE116,3,10.296
2011,NUTS,2010,DE116,3,8.617
2012,NUTS,2010,DE116,3,11.017
2000,NUTS,2010,DE117,3,47.437
2001,NUTS,2010,DE117,3,20.033
2003,NUTS,2010,DE117,3,13.092
2004,NUTS,2010,DE117,3,33.387
2005,NUTS,2010,DE117,3,65.941
2006,NUTS,2010,DE117,3,39.223
2007,NUTS,2010,DE117,3,32.953
2008,NUTS,2010,DE117,3,13.731
2009,NUTS,2010,DE117,3,25.963
2010,NUTS,2010,DE117,3,39.456
2012,NUTS,2010,DE117,3,12.072
2000,NUTS,2010,DE118,3,15.839
2001,NUTS,2010,DE118,3,12.4
2002,NUTS,2010,DE118,3,17.498
2003,NUTS,2010,DE118,3,24.89
2004,NUTS,2010,DE118,3,67.106
2005,NUTS,2010,DE118,3,31.745
2006,NUTS,2010,DE118,3,21.881
2007,NUTS,2010,DE118,3,13.122
2008,NUTS,2010,DE118,3,14.472
2009,NUTS,2010,DE118,3,10.827
2010,NUTS,2010,DE118,3,7.446
2011,NUTS,2010,DE118,3,10.781
2012,NUTS,2010,DE118,3,2.129
2000,NUTS,2010,DE119,3,28.056
2001,NUTS,2010,DE119,3,12.343
2002,NUTS,2010,DE119,3,13.772
2003,NUTS,2010,DE119,3,28.945
2004,NUTS,2010,DE119,3,37.265
2005,NUTS,2010,DE119,3,21.229
2006,NUTS,2010,DE119,3,14.583
2007,NUTS,2010,DE119,3,24.335
2008,NUTS,2010,DE119,3,3.003
2009,NUTS,2010,DE119,3,13.699
2010,NUTS,2010,DE119,3,6.053
2011,NUTS,2010,DE119,3,7.621
2012,NUTS,2010,DE119,3,14.702
2000,NUTS,2010,DE11A,3,3.463
2002,NUTS,2010,DE11A,3,1.765
2003,NUTS,2010,DE11A,3,32.939
2004,NUTS,2010,DE11A,3,6.205
2006,NUTS,2010,DE11A,3,13.187
2007,NUTS,2010,DE11A,3,19.699
2009,NUTS,2010,DE11A,3,1.322
2011,NUTS,2010,DE11A,3,5.307
2012,NUTS,2010,DE11A,3,7.429
2000,NUTS,2010,DE11B,3,2.406
2001,NUTS,2010,DE11B,3,21.889
2006,NUTS,2010,DE11B,3,14.571
2007,NUTS,2010,DE11B,3,14.674
2008,NUTS,2010,DE11B,3,7.386
2009,NUTS,2010,DE11B,3,12.969
2010,NUTS,2010,DE11B,3,4.694
2000,NUTS,2010,DE11C,3,7.305
2002,NUTS,2010,DE11C,3,2.408
2003,NUTS,2010,DE11C,3,17.378
2004,NUTS,2010,DE11C,3,14.67
2005,NUTS,2010,DE11C,3,7.367
2006,NUTS,2010,DE11C,3,3.699
2007,NUTS,2010,DE11C,3,11.18
2008,NUTS,2010,DE11C,3,24.953
2009,NUTS,2010,DE11C,3,3.013
2000,NUTS,2010,DE11D,3,7.181
2001,NUTS,2010,DE11D,3,11.776
2002,NUTS,2010,DE11D,3,9.609
2003,NUTS,2010,DE11D,3,7.52
2004,NUTS,2010,DE11D,3,5.776
2005,NUTS,2010,DE11D,3,3.943
2006,NUTS,2010,DE11D,3,13.67
2007,NUTS,2010,DE11D,3,1.584
2008,NUTS,2010,DE11D,3,9.535
2009,NUTS,2010,DE11D,3,4.784
2010,NUTS,2010,DE11D,3,0.416
2011,NUTS,2010,DE11D,3,1.384
2012,NUTS,2010,DE11D,3,5.284
2000,NUTS,2010,DE12,2,17.087
2001,NUTS,2010,DE12,2,38.753
2002,NUTS,2010,DE12,2,46.436
2003,NUTS,2010,DE12,2,56.278
2004,NUTS,2010,DE12,2,52.407
2005,NUTS,2010,DE12,2,35.121
2006,NUTS,2010,DE12,2,41.223
2007,NUTS,2010,DE12,2,23.601
2008,NUTS,2010,DE12,2,32.534
2009,NUTS,2010,DE12,2,30.973
2010,NUTS,2010,DE12,2,41.485
2011,NUTS,2010,DE12,2,46.122
2012,NUTS,2010,DE12,2,47.622
2002,NUTS,2010,DE121,3,14.129
2004,NUTS,2010,DE121,3,18.54
2005,NUTS,2010,DE121,3,6.814
2006,NUTS,2010,DE121,3,4.58
2007,NUTS,2010,DE121,3,18.23
2010,NUTS,2010,DE121,3,9.175
2000,NUTS,2010,DE122,3,17.099
2001,NUTS,2010,DE122,3,46.956
2002,NUTS,2010,DE122,3,56.836
2003,NUTS,2010,DE122,3,67.073
2004,NUTS,2010,DE122,3,84.927
2005,NUTS,2010,DE122,3,60.177
2006,NUTS,2010,DE122,3,69.83
2007,NUTS,2010,DE122,3,48.441
2008,NUTS,2010,DE122,3,16.96
2009,NUTS,2010,DE122,3,40.243
2010,NUTS,2010,DE122,3,30.175
2011,NUTS,2010,DE122,3,52.585
2012,NUTS,2010,DE122,3,32.203
2000,NUTS,2010,DE123,3,23.509
2001,NUTS,2010,DE123,3,41.401
2002,NUTS,2010,DE123,3,50.242
2003,NUTS,2010,DE123,3,57.707
2004,NUTS,2010,DE123,3,48.203
2005,NUTS,2010,DE123,3,33.69
2006,NUTS,2010,DE123,3,30.4
2007,NUTS,2010,DE123,3,37.458
2008,NUTS,2010,DE123,3,22.618
2009,NUTS,2010,DE123,3,17.571
2010,NUTS,2010,DE123,3,31.974
2011,NUTS,2010,DE123,3,25.262
2012,NUTS,2010,DE123,3,25.221
2000,NUTS,2010,DE124,3,14.361
2001,NUTS,2010,DE124,3,14.553
2002,NUTS,2010,DE124,3,22.291
2003,NUTS,2010,DE124,3,8.854
2004,NUTS,2010,DE124,3,15.441
2005,NUTS,2010,DE124,3,3.296
2006,NUTS,2010,DE124,3,12.653
2007,NUTS,2010,DE124,3,15.131
2008,NUTS,2010,DE124,3,16.233
2009,NUTS,2010,DE124,3,1.101
2010,NUTS,2010,DE124,3,6.61
2011,NUTS,2010,DE124,3,15.786
2012,NUTS,2010,DE124,3,19.083
2000,NUTS,2010,DE125,3,61.215
2001,NUTS,2010,DE125,3,138.102
2002,NUTS,2010,DE125,3,115.399
2003,NUTS,2010,DE125,3,170.226
2004,NUTS,2010,DE125,3,120.314
2005,NUTS,2010,DE125,3,89.084
2006,NUTS,2010,DE125,3,103.432
2007,NUTS,2010,DE125,3,21.157
2008,NUTS,2010,DE125,3,48.723
2009,NUTS,2010,DE125,3,32.065
2010,NUTS,2010,DE125,3,28.471
2011,NUTS,2010,DE125,3,26.203
2012,NUTS,2010,DE125,3,39.296
2000,NUTS,2010,DE126,3,9.196
2001,NUTS,2010,DE126,3,8.998
2002,NUTS,2010,DE126,3,16.765
2003,NUTS,2010,DE126,3,11.109
2004,NUTS,2010,DE126,3,30.095
2005,NUTS,2010,DE126,3,41.496
2006,NUTS,2010,DE126,3,30.335
2007,NUTS,2010,DE126,3,16.79
2008,NUTS,2010,DE126,3,13.138
2009,NUTS,2010,DE126,3,4.914
2010,NUTS,2010,DE126,3,3.847
2011,NUTS,2010,DE126,3,9.963
2012,NUTS,2010,DE126,3,6.287
2002,NUTS,2010,DE127,3,6.663
2003,NUTS,2010,DE127,3,2.186
2004,NUTS,2010,DE127,3,11.264
2005,NUTS,2010,DE127,3,13.234
2006,NUTS,2010,DE127,3,14.606
2008,NUTS,2010,DE127,3,1.337
2009,NUTS,2010,DE127,3,6.722
2000,NUTS,2010,DE128,3,25.998
2001,NUTS,2010,DE128,3,78.011
2002,NUTS,2010,DE128,3,96.022
2003,NUTS,2010,DE128,3,130.058
2004,NUTS,2010,DE128,3,108.267
2005,NUTS,2010,DE128,3,55.707
2006,NUTS,2010,DE128,3,61.78
2007,NUTS,2010,DE128,3,30.793
2008,NUTS,2010,DE128,3,97.89
2009,NUTS,2010,DE128,3,102.282
2010,NUTS,2010,DE128,3,144.197
2011,NUTS,2010,DE128,3,144.711
2012,NUTS,2010,DE128,3,170.033
2000,NUTS,2010,DE129,3,4.265
2001,NUTS,2010,DE129,3,2.817
2002,NUTS,2010,DE129,3,8.474
2003,NUTS,2010,DE129,3,41.672
2004,NUTS,2010,DE129,3,30.828
2005,NUTS,2010,DE129,3,14.052
2006,NUTS,2010,DE129,3,22.433
2007,NUTS,2010,DE129,3,6.294
2008,NUTS,2010,DE129,3,4.019
2010,NUTS,2010,DE129,3,26.714
2011,NUTS,2010,DE129,3,7.514
2000,NUTS,2010,DE12A,3,8.781
2001,NUTS,2010,DE12A,3,23.968
2002,NUTS,2010,DE12A,3,9.556
2003,NUTS,2010,DE12A,3,14.698
2004,NUTS,2010,DE12A,3,2.043
2005,NUTS,2010,DE12A,3,3.591
2006,NUTS,2010,DE12A,3,13.969
2008,NUTS,2010,DE12A,3,3.132
2009,NUTS,2010,DE12A,3,2.079
2011,NUTS,2010,DE12A,3,26.896
2012,NUTS,2010,DE12A,3,1.593
2000,NUTS,2010,DE12B,3,4.228
2001,NUTS,2010,DE12B,3,16.489
2002,NUTS,2010,DE12B,3,30.948
2003,NUTS,2010,DE12B,3,14.525
2004,NUTS,2010,DE12B,3,16.276
2005,NUTS,2010,DE12B,3,10.455
2006,NUTS,2010,DE12B,3,14.866
2007,NUTS,2010,DE12B,3,13.611
2008,NUTS,2010,DE12B,3,13.507
2009,NUTS,2010,DE12B,3,12.646
2010,NUTS,2010,DE12B,3,9.509
2011,NUTS,2010,DE12B,3,10.726
2012,NUTS,2010,DE12B,3,22.02
2000,NUTS,2010,DE12C,3,2.726
2002,NUTS,2010,DE12C,3,6.821
2003,NUTS,2010,DE12C,3,2.045
2004,NUTS,2010,DE12C,3,5.475
2005,NUTS,2010,DE12C,3,13.643
2006,NUTS,2010,DE12C,3,76.44
2007,NUTS,2010,DE12C,3,16.357
2008,NUTS,2010,DE12C,3,28.064
2009,NUTS,2010,DE12C,3,4.783
2010,NUTS,2010,DE12C,3,11.025
2011,NUTS,2010,DE12C,3,38.206
2012,NUTS,2010,DE12C,3,18.285
2000,NUTS,2010,DE13,2,18.242
2001,NUTS,2010,DE13,2,21.426
2002,NUTS,2010,DE13,2,20.674
2003,NUTS,2010,DE13,2,23.566
2004,NUTS,2010,DE13,2,20.08
2005,NUTS,2010,DE13,2,19.167
2006,NUTS,2010,DE13,2,17.588
2007,NUTS,2010,DE13,2,14.591
2008,NUTS,2010,DE13,2,14.929
2009,NUTS,2010,DE13,2,10.275
2010,NUTS,2010,DE13,2,8.688
2011,NUTS,2010,DE13,2,13.337
2012,NUTS,2010,DE13,2,15.781
2000,NUTS,2010,DE131,3,23.462
2001,NUTS,2010,DE131,3,18.625
2002,NUTS,2010,DE131,3,21.604
2003,NUTS,2010,DE131,3,33.201
2004,NUTS,2010,DE131,3,17.271
2005,NUTS,2010,DE131,3,10.28
2006,NUTS,2010,DE131,3,16.993
2007,NUTS,2010,DE131,3,15.721
2008,NUTS,2010,DE131,3,9.115
2009,NUTS,2010,DE131,3,16.616
2010,NUTS,2010,DE131,3,10.499
2011,NUTS,2010,DE131,3,20.429
2012,NUTS,2010,DE131,3,37.095
2000,NUTS,2010,DE132,3,21.653
2001,NUTS,2010,DE132,3,25.068
2002,NUTS,2010,DE132,3,7.53
2003,NUTS,2010,DE132,3,12.228
2004,NUTS,2010,DE132,3,11.134
2005,NUTS,2010,DE132,3,20.531
2006,NUTS,2010,DE132,3,4.007
2007,NUTS,2010,DE132,3,1.8
2008,NUTS,2010,DE132,3,12.311
2009,NUTS,2010,DE132,3,10.794
2010,NUTS,2010,DE132,3,2.995
2011,NUTS,2010,DE132,3,13.253
2012,NUTS,2010,DE132,3,3.963
2000,NUTS,2010,DE133,3,16.622
2001,NUTS,2010,DE133,3,28.597
2002,NUTS,2010,DE133,3,49.558
2003,NUTS,2010,DE133,3,48.542
2004,NUTS,2010,DE133,3,32.418
2005,NUTS,2010,DE133,3,56.193
2006,NUTS,2010,DE133,3,25.522
2007,NUTS,2010,DE133,3,32.111
2008,NUTS,2010,DE133,3,59.761
2009,NUTS,2010,DE133,3,4.249
2010,NUTS,2010,DE133,3,19.012
2011,NUTS,2010,DE133,3,32.082
2012,NUTS,2010,DE133,3,77.163
2000,NUTS,2010,DE134,3,9.443
2001,NUTS,2010,DE134,3,8.38
2002,NUTS,2010,DE134,3,6.562
2003,NUTS,2010,DE134,3,2.421
2004,NUTS,2010,DE134,3,15.979
2005,NUTS,2010,DE134,3,3.707
2006,NUTS,2010,DE134,3,2.209
2007,NUTS,2010,DE134,3,4.005
2008,NUTS,2010,DE134,3,10.173
2009,NUTS,2010,DE134,3,5.795
2011,NUTS,2010,DE134,3,8.191
2012,NUTS,2010,DE134,3,4.188
2000,NUTS,2010,DE135,3,20.124
2001,NUTS,2010,DE135,3,23.212
2002,NUTS,2010,DE135,3,2.328
2003,NUTS,2010,DE135,3,24.596
2004,NUTS,2010,DE135,3,13.139
2005,NUTS,2010,DE135,3,36.317
2006,NUTS,2010,DE135,3,14.562
2007,NUTS,2010,DE135,3,15.73
2008,NUTS,2010,DE135,3,7.065
2009,NUTS,2010,DE135,3,23.463
2012,NUTS,2010,DE135,3,16.797
2000,NUTS,2010,DE136,3,41.554
2001,NUTS,2010,DE136,3,36.749
2002,NUTS,2010,DE136,3,69.42
2003,NUTS,2010,DE136,3,72.338
2004,NUTS,2010,DE136,3,51.462
2005,NUTS,2010,DE136,3,43.455
2006,NUTS,2010,DE136,3,82.482
2007,NUTS,2010,DE136,3,55.931
2008,NUTS,2010,DE136,3,38.148
2009,NUTS,2010,DE136,3,22.521
2010,NUTS,2010,DE136,3,17.707
2011,NUTS,2010,DE136,3,18.157
2012,NUTS,2010,DE136,3,2.425
2000,NUTS,2010,DE137,3,2.495
2001,NUTS,2010,DE137,3,3.762
2002,NUTS,2010,DE137,3,9.188
2003,NUTS,2010,DE137,3,11.16
2004,NUTS,2010,DE137,3,18.572
2005,NUTS,2010,DE137,3,0.741
2006,NUTS,2010,DE137,3,23.873
2007,NUTS,2010,DE137,3,9.239
2008,NUTS,2010,DE137,3,4.73
2009,NUTS,2010,DE137,3,2.442
2010,NUTS,2010,DE137,3,17.296
2011,NUTS,2010,DE137,3,7.452
2012,NUTS,2010,DE137,3,19.895
2000,NUTS,2010,DE138,3,25.1
2001,NUTS,2010,DE138,3,37.869
2002,NUTS,2010,DE138,3,33.177
2003,NUTS,2010,DE138,3,39.613
2004,NUTS,2010,DE138,3,19.526
2005,NUTS,2010,DE138,3,28.019
2006,NUTS,2010,DE138,3,14.999
2007,NUTS,2010,DE138,3,9.099
2008,NUTS,2010,DE138,3,9.705
2009,NUTS,2010,DE138,3,16.58
2010,NUTS,2010,DE138,3,16.825
2011,NUTS,2010,DE138,3,20.001
2012,NUTS,2010,DE138,3,10.408
2000,NUTS,2010,DE139,3,13.095
2001,NUTS,2010,DE139,3,25.878
2002,NUTS,2010,DE139,3,12.914
2003,NUTS,2010,DE139,3,7.165
2004,NUTS,2010,DE139,3,21.846
2005,NUTS,2010,DE139,3,9.652
2006,NUTS,2010,DE139,3,1.807
2007,NUTS,2010,DE139,3,3.382
2008,NUTS,2010,DE139,3,6.651
2010,NUTS,2010,DE139,3,8.993
2011,NUTS,2010,DE139,3,8.623
2012,NUTS,2010,DE139,3,4.479
2000,NUTS,2010,DE13A,3,7.092
2001,NUTS,2010,DE13A,3,6.063
2004,NUTS,2010,DE13A,3,1.496
2006,NUTS,2010,DE13A,3,10.163
2007,NUTS,2010,DE13A,3,17.348
2008,NUTS,2010,DE13A,3,1.495
2009,NUTS,2010,DE13A,3,1.199
2010,NUTS,2010,DE13A,3,1.983
2011,NUTS,2010,DE13A,3,4.033
2012,NUTS,2010,DE13A,3,11.564
2000,NUTS,2010,DE14,2,9.294
2001,NUTS,2010,DE14,2,19.157
2002,NUTS,2010,DE14,2,8.153
2003,NUTS,2010,DE14,2,11.195
2004,NUTS,2010,DE14,2,13.537
2005,NUTS,2010,DE14,2,14.488
2006,NUTS,2010,DE14,2,15.29
2007,NUTS,2010,DE14,2,11.59
2008,NUTS,2010,DE14,2,8.722
2009,NUTS,2010,DE14,2,13.346
2010,NUTS,2010,DE14,2,9.239
2011,NUTS,2010,DE14,2,19.812
2012,NUTS,2010,DE14,2,10.06
2000,NUTS,2010,DE141,3,5.891
2001,NUTS,2010,DE141,3,16.619
2002,NUTS,2010,DE141,3,6.877
2003,NUTS,2010,DE141,3,6.521
2004,NUTS,2010,DE141,3,37.346
2005,NUTS,2010,DE141,3,32.614
2006,NUTS,2010,DE141,3,17.125
2007,NUTS,2010,DE141,3,21.285
2008,NUTS,2010,DE141,3,12.43
2009,NUTS,2010,DE141,3,20.741
2010,NUTS,2010,DE141,3,8.579
2011,NUTS,2010,DE141,3,44.424
2012,NUTS,2010,DE141,3,7.544
2000,NUTS,2010,DE142,3,8.211
2001,NUTS,2010,DE142,3,53.085
2002,NUTS,2010,DE142,3,11.466
2003,NUTS,2010,DE142,3,8.357
2004,NUTS,2010,DE142,3,20.199
2005,NUTS,2010,DE142,3,19.691
2006,NUTS,2010,DE142,3,25.73
2007,NUTS,2010,DE142,3,6.124
2008,NUTS,2010,DE142,3,7.035
2009,NUTS,2010,DE142,3,10.654
2010,NUTS,2010,DE142,3,24.368
2011,NUTS,2010,DE142,3,25.982
2012,NUTS,2010,DE142,3,31.625
2000,NUTS,2010,DE143,3,3.473
2001,NUTS,2010,DE143,3,13.842
2002,NUTS,2010,DE143,3,21.377
2004,NUTS,2010,DE143,3,12.927
2006,NUTS,2010,DE143,3,8.665
2008,NUTS,2010,DE143,3,10.233
2010,NUTS,2010,DE143,3,7.922
2011,NUTS,2010,DE143,3,10.616
2012,NUTS,2010,DE143,3,6.233
2000,NUTS,2010,DE144,3,10.766
2001,NUTS,2010,DE144,3,69.52
2002,NUTS,2010,DE144,3,29.574
2003,NUTS,2010,DE144,3,29.374
2004,NUTS,2010,DE144,3,25.207
2005,NUTS,2010,DE144,3,40.797
2006,NUTS,2010,DE144,3,37.306
2007,NUTS,2010,DE144,3,33.74
2008,NUTS,2010,DE144,3,3.706
2009,NUTS,2010,DE144,3,24.086
2010,NUTS,2010,DE144,3,4.751
2011,NUTS,2010,DE144,3,32.899
2012,NUTS,2010,DE144,3,24.905
2001,NUTS,2010,DE145,3,11.187
2003,NUTS,2010,DE145,3,7.973
2004,NUTS,2010,DE145,3,2.644
2005,NUTS,2010,DE145,3,2.108
2006,NUTS,2010,DE145,3,13.352
2007,NUTS,2010,DE145,3,6.993
2008,NUTS,2010,DE145,3,10.515
2009,NUTS,2010,DE145,3,29.254
2010,NUTS,2010,DE145,3,5.266
2011,NUTS,2010,DE145,3,13.181
2012,NUTS,2010,DE145,3,7.902
2000,NUTS,2010,DE146,3,33.074
2001,NUTS,2010,DE146,3,4.536
2002,NUTS,2010,DE146,3,5.419
2003,NUTS,2010,DE146,3,6.721
2004,NUTS,2010,DE146,3,5.344
2005,NUTS,2010,DE146,3,0.585
2007,NUTS,2010,DE146,3,1.748
2008,NUTS,2010,DE146,3,7.034
2009,NUTS,2010,DE146,3,1.743
2011,NUTS,2010,DE146,3,10.987
2012,NUTS,2010,DE146,3,7.915
2000,NUTS,2010,DE147,3,13.938
2001,NUTS,2010,DE147,3,11.397
2002,NUTS,2010,DE147,3,7.067
2003,NUTS,2010,DE147,3,9.039
2004,NUTS,2010,DE147,3,7.125
2005,NUTS,2010,DE147,3,25.686
2006,NUTS,2010,DE147,3,26.771
2007,NUTS,2010,DE147,3,11.417
2008,NUTS,2010,DE147,3,14.51
2009,NUTS,2010,DE147,3,23.68
2010,NUTS,2010,DE147,3,19.258
2011,NUTS,2010,DE147,3,8.543
2012,NUTS,2010,DE147,3,2.384
2000,NUTS,2010,DE148,3,7.487
2001,NUTS,2010,DE148,3,3.721
2003,NUTS,2010,DE148,3,27.546
2004,NUTS,2010,DE148,3,3.654
2005,NUTS,2010,DE148,3,7.271
2006,NUTS,2010,DE148,3,10.882
2007,NUTS,2010,DE148,3,19.935
2008,NUTS,2010,DE148,3,5.426
2009,NUTS,2010,DE148,3,6.764
2010,NUTS,2010,DE148,3,6.622
2011,NUTS,2010,DE148,3,16.356
2012,NUTS,2010,DE148,3,4.786
2000,NUTS,2010,DE149,3,2.483
2001,NUTS,2010,DE149,3,8.764
2002,NUTS,2010,DE149,3,0.973
2003,NUTS,2010,DE149,3,6.201
2008,NUTS,2010,DE149,3,3.625
2009,NUTS,2010,DE149,3,2.506
2011,NUTS,2010,DE149,3,5.145
2000,NUTS,2010,DE2,1,38.176
2001,NUTS,2010,DE2,1,39.15
2002,NUTS,2010,DE2,1,32.38
2003,NUTS,2010,DE2,1,25.569
2004,NUTS,2010,DE2,1,25.637
2005,NUTS,2010,DE2,1,22.143
2006,NUTS,2010,DE2,1,26.028
2007,NUTS,2010,DE2,1,24.929
2008,NUTS,2010,DE2,1,21.444
2009,NUTS,2010,DE2,1,21.798
2010,NUTS,2010,DE2,1,23.62
2011,NUTS,2010,DE2,1,25.125
2012,NUTS,2010,DE2,1,20.949
2000,NUTS,2010,DE21,2,78.408
2001,NUTS,2010,DE21,2,71.958
2002,NUTS,2010,DE21,2,58.496
2003,NUTS,2010,DE21,2,52.275
2004,NUTS,2010,DE21,2,45.092
2005,NUTS,2010,DE21,2,43.525
2006,NUTS,2010,DE21,2,47.959
2007,NUTS,2010,DE21,2,43.425
2008,NUTS,2010,DE21,2,37.506
2009,NUTS,2010,DE21,2,37.923
2010,NUTS,2010,DE21,2,43.106
2011,NUTS,2010,DE21,2,43.691
2012,NUTS,2010,DE21,2,34.36
2000,NUTS,2010,DE211,3,11.583
2001,NUTS,2010,DE211,3,8.209
2002,NUTS,2010,DE211,3,23.271
2003,NUTS,2010,DE211,3,6.334
2004,NUTS,2010,DE211,3,23.76
2005,NUTS,2010,DE211,3,24.967
2006,NUTS,2010,DE211,3,12.365
2007,NUTS,2010,DE211,3,3.029
2008,NUTS,2010,DE211,3,11.54
2009,NUTS,2010,DE211,3,24.208
2010,NUTS,2010,DE211,3,41.564
2011,NUTS,2010,DE211,3,50.604
2012,NUTS,2010,DE211,3,59.496
2000,NUTS,2010,DE212,3,136.276
2001,NUTS,2010,DE212,3,127.216
2002,NUTS,2010,DE212,3,104.352
2003,NUTS,2010,DE212,3,83.835
2004,NUTS,2010,DE212,3,60.687
2005,NUTS,2010,DE212,3,71.855
2006,NUTS,2010,DE212,3,76.393
2007,NUTS,2010,DE212,3,73.675
2008,NUTS,2010,DE212,3,58.525
2009,NUTS,2010,DE212,3,62.315
2010,NUTS,2010,DE212,3,80.402
2011,NUTS,2010,DE212,3,71.372
2012,NUTS,2010,DE212,3,57.895
2000,NUTS,2010,DE213,3,64.883
2001,NUTS,2010,DE213,3,66.205
2003,NUTS,2010,DE213,3,5.517
2004,NUTS,2010,DE213,3,38.841
2005,NUTS,2010,DE213,3,12.478
2006,NUTS,2010,DE213,3,24.076
2007,NUTS,2010,DE213,3,27.652
2008,NUTS,2010,DE213,3,30.161
2009,NUTS,2010,DE213,3,11.036
2010,NUTS,2010,DE213,3,3.285
2011,NUTS,2010,DE213,3,24.47
2012,NUTS,2010,DE213,3,24.385
2000,NUTS,2010,DE214,3,4.632
2001,NUTS,2010,DE214,3,0.831
2002,NUTS,2010,DE214,3,4.586
2003,NUTS,2010,DE214,3,7.574
2004,NUTS,2010,DE214,3,2.281
2005,NUTS,2010,DE214,3,7.406
2006,NUTS,2010,DE214,3,6.134
2012,NUTS,2010,DE214,3,1.852
2000,NUTS,2010,DE215,3,37.772
2003,NUTS,2010,DE215,3,9.871
2004,NUTS,2010,DE215,3,8.551
2005,NUTS,2010,DE215,3,14.289
2006,NUTS,2010,DE215,3,3.314
2007,NUTS,2010,DE215,3,9.765
2008,NUTS,2010,DE215,3,43.757
2009,NUTS,2010,DE215,3,7.341
2010,NUTS,2010,DE215,3,18.327
2011,NUTS,2010,DE215,3,24.71
2012,NUTS,2010,DE215,3,16.797
2000,NUTS,2010,DE216,3,45.746
