year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_total_f_hc
2014,NUTS,2010,CZ03,2,563.0
2015,NUTS,2010,CZ03,2,561.0
2016,NUTS,2010,CZ03,2,651.0
2017,NUTS,2010,CZ03,2,711.0
2018,NUTS,2010,CZ03,2,787.0
2019,NUTS,2010,CZ03,2,844.0
2020,NUTS,2010,CZ03,2,813.0
2011,NUTS,2010,CZ04,2,293.0
2012,NUTS,2010,CZ04,2,332.0
2013,NUTS,2010,CZ04,2,378.0
2014,NUTS,2010,CZ04,2,401.0
2015,NUTS,2010,CZ04,2,444.0
2016,NUTS,2010,CZ04,2,407.0
2017,NUTS,2010,CZ04,2,401.0
2018,NUTS,2010,CZ04,2,411.0
2019,NUTS,2010,CZ04,2,492.0
2020,NUTS,2010,CZ04,2,441.0
2011,NUTS,2010,CZ05,2,1175.0
2012,NUTS,2010,CZ05,2,1280.0
2013,NUTS,2010,CZ05,2,1444.0
2014,NUTS,2010,CZ05,2,1385.0
2015,NUTS,2010,CZ05,2,1407.0
2016,NUTS,2010,CZ05,2,1365.0
2017,NUTS,2010,CZ05,2,1477.0
2018,NUTS,2010,CZ05,2,1468.0
2019,NUTS,2010,CZ05,2,1419.0
2020,NUTS,2010,CZ05,2,1396.0
2011,NUTS,2010,CZ06,2,1128.0
2012,NUTS,2010,CZ06,2,1160.0
2013,NUTS,2010,CZ06,2,1363.0
2014,NUTS,2010,CZ06,2,1798.0
2015,NUTS,2010,CZ06,2,1639.0
2016,NUTS,2010,CZ06,2,1728.0
2017,NUTS,2010,CZ06,2,1784.0
2018,NUTS,2010,CZ06,2,1802.0
2019,NUTS,2010,CZ06,2,1936.0
2020,NUTS,2010,CZ06,2,2110.0
2011,NUTS,2010,CZ07,2,769.0
2012,NUTS,2010,CZ07,2,775.0
2013,NUTS,2010,CZ07,2,801.0
2014,NUTS,2010,CZ07,2,804.0
2015,NUTS,2010,CZ07,2,864.0
2016,NUTS,2010,CZ07,2,841.0
2017,NUTS,2010,CZ07,2,908.0
2018,NUTS,2010,CZ07,2,942.0
2019,NUTS,2010,CZ07,2,1039.0
2020,NUTS,2010,CZ07,2,1033.0
2011,NUTS,2010,CZ08,2,475.0
2012,NUTS,2010,CZ08,2,484.0
2013,NUTS,2010,CZ08,2,526.0
2014,NUTS,2010,CZ08,2,525.0
2015,NUTS,2010,CZ08,2,523.0
2016,NUTS,2010,CZ08,2,576.0
2017,NUTS,2010,CZ08,2,722.0
2018,NUTS,2010,CZ08,2,739.0
2019,NUTS,2010,CZ08,2,712.0
2020,NUTS,2010,CZ08,2,694.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,80183.0
2013,NUTS,2010,DE,0,79023.0
2015,NUTS,2010,DE,0,86358.0
2017,NUTS,2010,DE,0,94158.0
2019,NUTS,2010,DE,0,102018.0
2017,NUTS,2010,DE1,1,23300.0
2019,NUTS,2010,DE1,1,25517.0
2017,NUTS,2010,DE11,2,11250.0
2019,NUTS,2010,DE11,2,12237.0
2017,NUTS,2010,DE12,2,5122.0
2019,NUTS,2010,DE12,2,5606.0
2017,NUTS,2010,DE13,2,2566.0
2019,NUTS,2010,DE13,2,2775.0
2017,NUTS,2010,DE14,2,4362.0
2019,NUTS,2010,DE14,2,4899.0
2017,NUTS,2010,DE2,1,17672.0
2019,NUTS,2010,DE2,1,19939.0
2017,NUTS,2010,DE21,2,9832.0
2019,NUTS,2010,DE21,2,11090.0
2017,NUTS,2010,DE22,2,631.0
2019,NUTS,2010,DE22,2,784.0
2017,NUTS,2010,DE23,2,987.0
2019,NUTS,2010,DE23,2,1246.0
2017,NUTS,2010,DE24,2,890.0
2019,NUTS,2010,DE24,2,1126.0
2017,NUTS,2010,DE25,2,2476.0
2019,NUTS,2010,DE25,2,2737.0
2017,NUTS,2010,DE26,2,1436.0
2019,NUTS,2010,DE26,2,1546.0
2017,NUTS,2010,DE27,2,1420.0
2019,NUTS,2010,DE27,2,1409.0
2017,NUTS,2010,DE3,1,4140.0
2019,NUTS,2010,DE3,1,4523.0
2017,NUTS,2010,DE30,2,4140.0
2019,NUTS,2010,DE30,2,4523.0
2017,NUTS,2010,DE4,1,1215.0
2019,NUTS,2010,DE4,1,1192.0
2017,NUTS,2010,DE40,2,1215.0
2019,NUTS,2010,DE40,2,1192.0
2017,NUTS,2010,DE5,1,604.0
2019,NUTS,2010,DE5,1,691.0
2017,NUTS,2010,DE50,2,604.0
2019,NUTS,2010,DE50,2,691.0
2017,NUTS,2010,DE6,1,2192.0
2019,NUTS,2010,DE6,1,2308.0
2017,NUTS,2010,DE60,2,2192.0
2019,NUTS,2010,DE60,2,2308.0
2017,NUTS,2010,DE7,1,9727.0
2019,NUTS,2010,DE7,1,10176.0
2017,NUTS,2010,DE71,2,7712.0
2019,NUTS,2010,DE71,2,8267.0
2017,NUTS,2010,DE72,2,868.0
2019,NUTS,2010,DE72,2,846.0
2017,NUTS,2010,DE73,2,1148.0
2019,NUTS,2010,DE73,2,1062.0
2017,NUTS,2010,DE8,1,629.0
2019,NUTS,2010,DE8,1,753.0
2017,NUTS,2010,DE80,2,629.0
2019,NUTS,2010,DE80,2,753.0
2017,NUTS,2010,DE9,1,6700.0
2019,NUTS,2010,DE9,1,7195.0
2017,NUTS,2010,DE91,2,3360.0
2019,NUTS,2010,DE91,2,3557.0
2017,NUTS,2010,DE92,2,1693.0
2019,NUTS,2010,DE92,2,1820.0
2017,NUTS,2010,DE93,2,595.0
2019,NUTS,2010,DE93,2,601.0
2017,NUTS,2010,DE94,2,1053.0
2019,NUTS,2010,DE94,2,1217.0
2017,NUTS,2010,DEA,1,14603.0
2019,NUTS,2010,DEA,1,15149.0
2017,NUTS,2010,DEA1,2,5414.0
2019,NUTS,2010,DEA1,2,5723.0
2017,NUTS,2010,DEA2,2,4230.0
2019,NUTS,2010,DEA2,2,4176.0
2017,NUTS,2010,DEA3,2,1102.0
2019,NUTS,2010,DEA3,2,1213.0
2017,NUTS,2010,DEA4,2,1852.0
2019,NUTS,2010,DEA4,2,1950.0
2017,NUTS,2010,DEA5,2,2005.0
2019,NUTS,2010,DEA5,2,2086.0
2017,NUTS,2010,DEB,1,5307.0
2019,NUTS,2010,DEB,1,5885.0
2017,NUTS,2010,DEB1,2,705.0
2019,NUTS,2010,DEB1,2,862.0
2017,NUTS,2010,DEB2,2,171.0
2019,NUTS,2010,DEB2,2,180.0
2017,NUTS,2010,DEB3,2,4432.0
2019,NUTS,2010,DEB3,2,4844.0
2017,NUTS,2010,DEC,1,709.0
2019,NUTS,2010,DEC,1,761.0
2017,NUTS,2010,DEC0,2,709.0
2019,NUTS,2010,DEC0,2,761.0
