year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pc_act_fte_rse_total_t
2009,NUTS,2010,AT31,2,0.6256
2011,NUTS,2010,AT31,2,0.6844
2013,NUTS,2010,AT31,2,0.8592
2015,NUTS,2010,AT31,2,0.9131
2017,NUTS,2010,AT31,2,0.9538
2019,NUTS,2010,AT31,2,1.0751
2002,NUTS,2010,AT32,2,0.3333
2004,NUTS,2010,AT32,2,0.379
2006,NUTS,2010,AT32,2,0.4215
2007,NUTS,2010,AT32,2,0.4481
2009,NUTS,2010,AT32,2,0.5019
2011,NUTS,2010,AT32,2,0.5664
2013,NUTS,2010,AT32,2,0.6237
2015,NUTS,2010,AT32,2,0.6939
2017,NUTS,2010,AT32,2,0.8113
2019,NUTS,2010,AT32,2,0.9035
2002,NUTS,2010,AT33,2,0.5499
2004,NUTS,2010,AT33,2,0.6697
2006,NUTS,2010,AT33,2,0.6734
2007,NUTS,2010,AT33,2,0.7269
2009,NUTS,2010,AT33,2,0.7995
2011,NUTS,2010,AT33,2,0.8542
2013,NUTS,2010,AT33,2,0.8666
2015,NUTS,2010,AT33,2,0.9296
2017,NUTS,2010,AT33,2,1.0134
2019,NUTS,2010,AT33,2,1.043
2002,NUTS,2010,AT34,2,0.3447
2004,NUTS,2010,AT34,2,0.3708
2006,NUTS,2010,AT34,2,0.3647
2007,NUTS,2010,AT34,2,0.4052
2009,NUTS,2010,AT34,2,0.448
2011,NUTS,2010,AT34,2,0.4403
2013,NUTS,2010,AT34,2,0.6293
2015,NUTS,2010,AT34,2,0.6621
2017,NUTS,2010,AT34,2,0.6722
2019,NUTS,2010,AT34,2,0.7182
1993,NUTS,2010,BE,0,0.5165
1994,NUTS,2010,BE,0,0.547
1995,NUTS,2010,BE,0,0.5599
1996,NUTS,2010,BE,0,0.5996
1997,NUTS,2010,BE,0,0.6206
1998,NUTS,2010,BE,0,0.6439
1999,NUTS,2010,BE,0,0.6827
2000,NUTS,2010,BE,0,0.6979
2001,NUTS,2010,BE,0,0.7462
2002,NUTS,2010,BE,0,0.7005
2003,NUTS,2010,BE,0,0.7012
2004,NUTS,2010,BE,0,0.7211
2005,NUTS,2010,BE,0,0.7223
2006,NUTS,2010,BE,0,0.7556
2007,NUTS,2010,BE,0,0.7726
2008,NUTS,2010,BE,0,0.7747
2009,NUTS,2010,BE,0,0.801
2010,NUTS,2010,BE,0,0.8402
2011,NUTS,2010,BE,0,0.8856
2012,NUTS,2010,BE,0,0.9398
2013,NUTS,2010,BE,0,0.9447
2014,NUTS,2010,BE,0,1.0315
2015,NUTS,2010,BE,0,1.0789
2016,NUTS,2010,BE,0,1.0463
2017,NUTS,2010,BE,0,1.0924
2018,NUTS,2010,BE,0,1.1482
2019,NUTS,2010,BE,0,1.2008
2020,NUTS,2010,BE,0,1.3299
2002,NUTS,2010,BE1,1,1.2134
2003,NUTS,2010,BE1,1,1.175
2004,NUTS,2010,BE1,1,1.201
2005,NUTS,2010,BE1,1,1.1651
2006,NUTS,2010,BE1,1,1.283
2007,NUTS,2010,BE1,1,1.3067
2008,NUTS,2010,BE1,1,1.3135
2009,NUTS,2010,BE1,1,1.3328
2010,NUTS,2010,BE1,1,1.2355
2011,NUTS,2010,BE1,1,1.2691
2013,NUTS,2010,BE1,1,1.5081
2014,NUTS,2010,BE1,1,1.515
2015,NUTS,2010,BE1,1,1.6655
2017,NUTS,2010,BE1,1,1.8167
2019,NUTS,2010,BE1,1,2.028
2002,NUTS,2010,BE10,2,1.2134
2003,NUTS,2010,BE10,2,1.175
2004,NUTS,2010,BE10,2,1.201
2005,NUTS,2010,BE10,2,1.1651
2006,NUTS,2010,BE10,2,1.283
2007,NUTS,2010,BE10,2,1.3067
2008,NUTS,2010,BE10,2,1.3135
2009,NUTS,2010,BE10,2,1.3328
2010,NUTS,2010,BE10,2,1.2355
2011,NUTS,2010,BE10,2,1.2691
2013,NUTS,2010,BE10,2,1.5081
2014,NUTS,2010,BE10,2,1.515
2015,NUTS,2010,BE10,2,1.6655
2017,NUTS,2010,BE10,2,1.8167
2019,NUTS,2010,BE10,2,2.028
2002,NUTS,2010,BE2,1,0.6966
2003,NUTS,2010,BE2,1,0.6983
2004,NUTS,2010,BE2,1,0.7371
2005,NUTS,2010,BE2,1,0.7318
2006,NUTS,2010,BE2,1,0.7804
2007,NUTS,2010,BE2,1,0.7941
2008,NUTS,2010,BE2,1,0.7878
2009,NUTS,2010,BE2,1,0.8099
2010,NUTS,2010,BE2,1,0.8806
2011,NUTS,2010,BE2,1,0.9265
2013,NUTS,2010,BE2,1,0.975
2014,NUTS,2010,BE2,1,1.049
2015,NUTS,2010,BE2,1,1.0808
2017,NUTS,2010,BE2,1,1.0941
2019,NUTS,2010,BE2,1,1.2337
2006,NUTS,2010,BE21,2,0.8909
2007,NUTS,2010,BE21,2,0.8762
2008,NUTS,2010,BE21,2,0.7039
2009,NUTS,2010,BE21,2,0.7382
2010,NUTS,2010,BE21,2,0.91
2011,NUTS,2010,BE21,2,0.9736
2013,NUTS,2010,BE21,2,0.9378
2014,NUTS,2010,BE21,2,1.0069
2015,NUTS,2010,BE21,2,1.0367
2006,NUTS,2010,BE22,2,0.3037
2007,NUTS,2010,BE22,2,0.3166
2008,NUTS,2010,BE22,2,0.3052
2009,NUTS,2010,BE22,2,0.3485
2010,NUTS,2010,BE22,2,0.3461
2011,NUTS,2010,BE22,2,0.3668
2013,NUTS,2010,BE22,2,0.4285
2014,NUTS,2010,BE22,2,0.5304
2015,NUTS,2010,BE22,2,0.5447
2006,NUTS,2010,BE23,2,0.8005
2007,NUTS,2010,BE23,2,0.8503
2008,NUTS,2010,BE23,2,0.8929
2009,NUTS,2010,BE23,2,0.9271
2010,NUTS,2010,BE23,2,0.9724
2011,NUTS,2010,BE23,2,1.0145
2013,NUTS,2010,BE23,2,1.091
2014,NUTS,2010,BE23,2,1.2214
2015,NUTS,2010,BE23,2,1.2448
2006,NUTS,2010,BE24,2,1.4083
2007,NUTS,2010,BE24,2,1.431
2008,NUTS,2010,BE24,2,1.6062
2009,NUTS,2010,BE24,2,1.5969
2010,NUTS,2010,BE24,2,1.7269
2011,NUTS,2010,BE24,2,1.7681
2013,NUTS,2010,BE24,2,1.7874
2014,NUTS,2010,BE24,2,1.8663
2015,NUTS,2010,BE24,2,1.9309
2006,NUTS,2010,BE25,2,0.3467
2007,NUTS,2010,BE25,2,0.3485
2008,NUTS,2010,BE25,2,0.3448
2009,NUTS,2010,BE25,2,0.3506
2010,NUTS,2010,BE25,2,0.3035
2011,NUTS,2010,BE25,2,0.3523
2013,NUTS,2010,BE25,2,0.4967
2014,NUTS,2010,BE25,2,0.4798
2015,NUTS,2010,BE25,2,0.5064
2002,NUTS,2010,BE3,1,0.5663
2003,NUTS,2010,BE3,1,0.5699
2004,NUTS,2010,BE3,1,0.5517
2005,NUTS,2010,BE3,1,0.547
2006,NUTS,2010,BE3,1,0.5278
2007,NUTS,2010,BE3,1,0.5439
2008,NUTS,2010,BE3,1,0.5585
2009,NUTS,2010,BE3,1,0.5945
2010,NUTS,2010,BE3,1,0.611
2011,NUTS,2010,BE3,1,0.655
2013,NUTS,2010,BE3,1,0.6713
2014,NUTS,2010,BE3,1,0.8016
2015,NUTS,2010,BE3,1,0.839
2017,NUTS,2010,BE3,1,0.7977
2019,NUTS,2010,BE3,1,0.7916
2006,NUTS,2010,BE31,2,1.776
2007,NUTS,2010,BE31,2,1.7608
2008,NUTS,2010,BE31,2,1.4508
2009,NUTS,2010,BE31,2,1.6523
2010,NUTS,2010,BE31,2,1.7958
2011,NUTS,2010,BE31,2,1.9867
2013,NUTS,2010,BE31,2,2.5406
2014,NUTS,2010,BE31,2,2.8253
2015,NUTS,2010,BE31,2,2.585
2006,NUTS,2010,BE32,2,0.2653
2007,NUTS,2010,BE32,2,0.2691
2008,NUTS,2010,BE32,2,0.3343
2009,NUTS,2010,BE32,2,0.3708
2010,NUTS,2010,BE32,2,0.3934
2011,NUTS,2010,BE32,2,0.4391
2013,NUTS,2010,BE32,2,0.3674
2014,NUTS,2010,BE32,2,0.4647
2015,NUTS,2010,BE32,2,0.5356
2006,NUTS,2010,BE33,2,0.5159
2007,NUTS,2010,BE33,2,0.5589
2008,NUTS,2010,BE33,2,0.604
2009,NUTS,2010,BE33,2,0.5974
2010,NUTS,2010,BE33,2,0.6754
2011,NUTS,2010,BE33,2,0.6821
2013,NUTS,2010,BE33,2,0.639
2014,NUTS,2010,BE33,2,0.7475
2015,NUTS,2010,BE33,2,0.8283
2006,NUTS,2010,BE34,2,0.1105
2007,NUTS,2010,BE34,2,0.1034
2008,NUTS,2010,BE34,2,0.1041
2009,NUTS,2010,BE34,2,0.0964
2010,NUTS,2010,BE34,2,0.1153
2011,NUTS,2010,BE34,2,0.1292
2013,NUTS,2010,BE34,2,0.0623
2014,NUTS,2010,BE34,2,0.1051
2015,NUTS,2010,BE34,2,0.1089
2006,NUTS,2010,BE35,2,0.4641
2007,NUTS,2010,BE35,2,0.4768
2008,NUTS,2010,BE35,2,0.5656
2009,NUTS,2010,BE35,2,0.5879
2010,NUTS,2010,BE35,2,0.342
2011,NUTS,2010,BE35,2,0.3564
2013,NUTS,2010,BE35,2,0.3165
2014,NUTS,2010,BE35,2,0.4893
2015,NUTS,2010,BE35,2,0.5935
2000,NUTS,2010,BG,0,0.2841
2001,NUTS,2010,BG,0,0.2745
2002,NUTS,2010,BG,0,0.2781
2003,NUTS,2010,BG,0,0.2966
2004,NUTS,2010,BG,0,0.2999
2005,NUTS,2010,BG,0,0.3064
2006,NUTS,2010,BG,0,0.3062
2007,NUTS,2010,BG,0,0.3249
2008,NUTS,2010,BG,0,0.3248
2009,NUTS,2010,BG,0,0.3487
2010,NUTS,2010,BG,0,0.3249
2011,NUTS,2010,BG,0,0.3612
2012,NUTS,2010,BG,0,0.3427
2013,NUTS,2010,BG,0,0.3702
2014,NUTS,2010,BG,0,0.3997
2015,NUTS,2010,BG,0,0.4352
2016,NUTS,2010,BG,0,0.5008
2017,NUTS,2010,BG,0,0.4613
2018,NUTS,2010,BG,0,0.5107
2019,NUTS,2010,BG,0,0.5179
2020,NUTS,2010,BG,0,0.5239
2003,NUTS,2010,BG3,1,0.1075
2004,NUTS,2010,BG3,1,0.114
2005,NUTS,2010,BG3,1,0.1166
2006,NUTS,2010,BG3,1,0.13
2007,NUTS,2010,BG3,1,0.1353
2008,NUTS,2010,BG3,1,0.1447
2009,NUTS,2010,BG3,1,0.1639
2010,NUTS,2010,BG3,1,0.138
2011,NUTS,2010,BG3,1,0.1437
2012,NUTS,2010,BG3,1,0.159
2013,NUTS,2010,BG3,1,0.171
2014,NUTS,2010,BG3,1,0.1978
2015,NUTS,2010,BG3,1,0.2231
2016,NUTS,2010,BG3,1,0.2156
2017,NUTS,2010,BG3,1,0.2241
2018,NUTS,2010,BG3,1,0.2555
2019,NUTS,2010,BG3,1,0.2599
2003,NUTS,2010,BG31,2,0.0576
2004,NUTS,2010,BG31,2,0.0669
2005,NUTS,2010,BG31,2,0.0692
2006,NUTS,2010,BG31,2,0.0744
2007,NUTS,2010,BG31,2,0.0846
2008,NUTS,2010,BG31,2,0.0807
2009,NUTS,2010,BG31,2,0.0725
2010,NUTS,2010,BG31,2,0.0731
2011,NUTS,2010,BG31,2,0.0621
2012,NUTS,2010,BG31,2,0.1141
2013,NUTS,2010,BG31,2,0.1092
2014,NUTS,2010,BG31,2,0.1
2015,NUTS,2010,BG31,2,0.1621
2016,NUTS,2010,BG31,2,0.1798
2017,NUTS,2010,BG31,2,0.2102
2018,NUTS,2010,BG31,2,0.2531
2019,NUTS,2010,BG31,2,0.2553
2003,NUTS,2010,BG32,2,0.0904
2004,NUTS,2010,BG32,2,0.1103
2005,NUTS,2010,BG32,2,0.171
2006,NUTS,2010,BG32,2,0.1514
2007,NUTS,2010,BG32,2,0.1564
2008,NUTS,2010,BG32,2,0.1676
2009,NUTS,2010,BG32,2,0.1532
2010,NUTS,2010,BG32,2,0.1379
2011,NUTS,2010,BG32,2,0.1501
2012,NUTS,2010,BG32,2,0.1545
2013,NUTS,2010,BG32,2,0.1776
2014,NUTS,2010,BG32,2,0.2831
2015,NUTS,2010,BG32,2,0.271
2016,NUTS,2010,BG32,2,0.2096
2017,NUTS,2010,BG32,2,0.2529
2018,NUTS,2010,BG32,2,0.2896
2019,NUTS,2010,BG32,2,0.256
2003,NUTS,2010,BG33,2,0.1526
2004,NUTS,2010,BG33,2,0.1639
2005,NUTS,2010,BG33,2,0.1459
2006,NUTS,2010,BG33,2,0.1667
2007,NUTS,2010,BG33,2,0.1445
2008,NUTS,2010,BG33,2,0.162
2009,NUTS,2010,BG33,2,0.2213
2010,NUTS,2010,BG33,2,0.2014
2011,NUTS,2010,BG33,2,0.2291
2012,NUTS,2010,BG33,2,0.2467
2013,NUTS,2010,BG33,2,0.2501
2014,NUTS,2010,BG33,2,0.2735
2015,NUTS,2010,BG33,2,0.2795
2016,NUTS,2010,BG33,2,0.2998
2017,NUTS,2010,BG33,2,0.2801
2018,NUTS,2010,BG33,2,0.3198
2019,NUTS,2010,BG33,2,0.3402
2003,NUTS,2010,BG34,2,0.1169
2004,NUTS,2010,BG34,2,0.1068
2005,NUTS,2010,BG34,2,0.0795
2006,NUTS,2010,BG34,2,0.1198
2007,NUTS,2010,BG34,2,0.1481
2008,NUTS,2010,BG34,2,0.1593
2009,NUTS,2010,BG34,2,0.1884
2010,NUTS,2010,BG34,2,0.1254
2011,NUTS,2010,BG34,2,0.1169
2012,NUTS,2010,BG34,2,0.1114
2013,NUTS,2010,BG34,2,0.1343
2014,NUTS,2010,BG34,2,0.1263
2015,NUTS,2010,BG34,2,0.1729
2016,NUTS,2010,BG34,2,0.1629
2017,NUTS,2010,BG34,2,0.1588
2018,NUTS,2010,BG34,2,0.1721
2019,NUTS,2010,BG34,2,0.1919
2003,NUTS,2010,BG4,1,0.478
2004,NUTS,2010,BG4,1,0.4731
2005,NUTS,2010,BG4,1,0.4907
2006,NUTS,2010,BG4,1,0.4764
2007,NUTS,2010,BG4,1,0.5052
2008,NUTS,2010,BG4,1,0.4916
2009,NUTS,2010,BG4,1,0.5154
2010,NUTS,2010,BG4,1,0.4923
2011,NUTS,2010,BG4,1,0.5575
2012,NUTS,2010,BG4,1,0.5061
2013,NUTS,2010,BG4,1,0.5422
2014,NUTS,2010,BG4,1,0.5691
2015,NUTS,2010,BG4,1,0.6158
2016,NUTS,2010,BG4,1,0.7436
2017,NUTS,2010,BG4,1,0.6559
2018,NUTS,2010,BG4,1,0.7153
2019,NUTS,2010,BG4,1,0.7209
2000,NUTS,2010,BG41,2,0.805
2002,NUTS,2010,BG41,2,0.7608
2003,NUTS,2010,BG41,2,0.7546
2004,NUTS,2010,BG41,2,0.7456
2005,NUTS,2010,BG41,2,0.7646
2006,NUTS,2010,BG41,2,0.7252
2007,NUTS,2010,BG41,2,0.7432
2008,NUTS,2010,BG41,2,0.7168
2009,NUTS,2010,BG41,2,0.7646
2010,NUTS,2010,BG41,2,0.6931
2011,NUTS,2010,BG41,2,0.7881
2012,NUTS,2010,BG41,2,0.7465
2013,NUTS,2010,BG41,2,0.7978
2014,NUTS,2010,BG41,2,0.8522
2015,NUTS,2010,BG41,2,0.8927
2016,NUTS,2010,BG41,2,1.0819
2017,NUTS,2010,BG41,2,0.936
2018,NUTS,2010,BG41,2,0.9909
2019,NUTS,2010,BG41,2,0.9911
2003,NUTS,2010,BG42,2,0.065
2004,NUTS,2010,BG42,2,0.0731
2005,NUTS,2010,BG42,2,0.0758
2006,NUTS,2010,BG42,2,0.0842
2007,NUTS,2010,BG42,2,0.1335
2008,NUTS,2010,BG42,2,0.1423
2009,NUTS,2010,BG42,2,0.1223
2010,NUTS,2010,BG42,2,0.1624
2011,NUTS,2010,BG42,2,0.1772
2012,NUTS,2010,BG42,2,0.1172
2013,NUTS,2010,BG42,2,0.1358
2014,NUTS,2010,BG42,2,0.1242
2015,NUTS,2010,BG42,2,0.1651
2016,NUTS,2010,BG42,2,0.1825
2017,NUTS,2010,BG42,2,0.2062
2018,NUTS,2010,BG42,2,0.2576
2019,NUTS,2010,BG42,2,0.2748
2012,NUTS,2010,CH,0,0.81
2015,NUTS,2010,CH,0,0.9515
2017,NUTS,2010,CH,0,0.9446
2019,NUTS,2010,CH,0,1.0059
1991,NUTS,2010,CN_X_HK,5,0.0713
1992,NUTS,2010,CN_X_HK,5,0.0707
1993,NUTS,2010,CN_X_HK,5,0.0725
1994,NUTS,2010,CN_X_HK,5,0.081
1995,NUTS,2010,CN_X_HK,5,0.0758
1996,NUTS,2010,CN_X_HK,5,0.0785
1997,NUTS,2010,CN_X_HK,5,0.0831
1998,NUTS,2010,CN_X_HK,5,0.0673
1999,NUTS,2010,CN_X_HK,5,0.073
2000,NUTS,2010,CN_X_HK,5,0.0939
2001,NUTS,2010,CN_X_HK,5,0.0998
2002,NUTS,2010,CN_X_HK,5,0.1076
2003,NUTS,2010,CN_X_HK,5,0.1133
2004,NUTS,2010,CN_X_HK,5,0.1206
2005,NUTS,2010,CN_X_HK,5,0.1436
1998,NUTS,2010,CY,0,0.0817
1999,NUTS,2010,CY,0,0.0955
2000,NUTS,2010,CY,0,0.1
2001,NUTS,2010,CY,0,0.1061
2002,NUTS,2010,CY,0,0.1358
2003,NUTS,2010,CY,0,0.1475
2004,NUTS,2010,CY,0,0.1693
2005,NUTS,2010,CY,0,0.1911
2006,NUTS,2010,CY,0,0.2049
2007,NUTS,2010,CY,0,0.2087
2008,NUTS,2010,CY,0,0.2089
2009,NUTS,2010,CY,0,0.2221
2010,NUTS,2010,CY,0,0.2213
2011,NUTS,2010,CY,0,0.2183
2012,NUTS,2010,CY,0,0.2067
2013,NUTS,2010,CY,0,0.2091
2014,NUTS,2010,CY,0,0.2123
2015,NUTS,2010,CY,0,0.2073
2016,NUTS,2010,CY,0,0.2202
2017,NUTS,2010,CY,0,0.2479
2018,NUTS,2010,CY,0,0.2858
2019,NUTS,2010,CY,0,0.3337
2020,NUTS,2010,CY,0,0.3451
1998,NUTS,2010,CZ,0,0.2469
1999,NUTS,2010,CZ,0,0.2653
2000,NUTS,2010,CZ,0,0.2729
2001,NUTS,2010,CZ,0,0.2971
2002,NUTS,2010,CZ,0,0.2966
2003,NUTS,2010,CZ,0,0.3134
2004,NUTS,2010,CZ,0,0.3219
2005,NUTS,2010,CZ,0,0.4722
2006,NUTS,2010,CZ,0,0.511
2007,NUTS,2010,CZ,0,0.5432
2008,NUTS,2010,CZ,0,0.5769
2009,NUTS,2010,CZ,0,0.5521
2010,NUTS,2010,CZ,0,0.5629
2011,NUTS,2010,CZ,0,0.5962
2012,NUTS,2010,CZ,0,0.6419
2013,NUTS,2010,CZ,0,0.6574
2014,NUTS,2010,CZ,0,0.6923
2015,NUTS,2010,CZ,0,0.7322
2016,NUTS,2010,CZ,0,0.7145
2017,NUTS,2010,CZ,0,0.7466
2018,NUTS,2010,CZ,0,0.7822
2019,NUTS,2010,CZ,0,0.8081
2020,NUTS,2010,CZ,0,0.8462
1999,NUTS,2010,CZ0,1,0.2627
2000,NUTS,2010,CZ0,1,0.2703
2001,NUTS,2010,CZ0,1,0.2946
2002,NUTS,2010,CZ0,1,0.2942
2003,NUTS,2010,CZ0,1,0.3108
2004,NUTS,2010,CZ0,1,0.3195
2005,NUTS,2010,CZ0,1,0.4671
2006,NUTS,2010,CZ0,1,0.5052
2007,NUTS,2010,CZ0,1,0.5363
2008,NUTS,2010,CZ0,1,0.5693
2009,NUTS,2010,CZ0,1,0.544
2010,NUTS,2010,CZ0,1,0.5547
2011,NUTS,2010,CZ0,1,0.5874
2012,NUTS,2010,CZ0,1,0.6319
2013,NUTS,2010,CZ0,1,0.6459
2014,NUTS,2010,CZ0,1,0.6803
2015,NUTS,2010,CZ0,1,0.7172
2016,NUTS,2010,CZ0,1,0.6979
2017,NUTS,2010,CZ0,1,0.7287
2018,NUTS,2010,CZ0,1,0.7608
2019,NUTS,2010,CZ0,1,0.7853
2020,NUTS,2010,CZ0,1,0.8229
2001,NUTS,2010,CZ01,2,1.0725
2002,NUTS,2010,CZ01,2,1.0912
2003,NUTS,2010,CZ01,2,1.1885
2004,NUTS,2010,CZ01,2,1.1804
2005,NUTS,2010,CZ01,2,1.6668
2006,NUTS,2010,CZ01,2,1.7732
2007,NUTS,2010,CZ01,2,1.9567
2008,NUTS,2010,CZ01,2,1.962
2009,NUTS,2010,CZ01,2,1.7671
2010,NUTS,2010,CZ01,2,1.7755
2011,NUTS,2010,CZ01,2,1.8808
2012,NUTS,2010,CZ01,2,1.8759
2013,NUTS,2010,CZ01,2,2.0341
2014,NUTS,2010,CZ01,2,2.0437
2015,NUTS,2010,CZ01,2,2.0731
2016,NUTS,2010,CZ01,2,1.9871
2017,NUTS,2010,CZ01,2,2.1764
2018,NUTS,2010,CZ01,2,2.3364
2019,NUTS,2010,CZ01,2,2.3011
2020,NUTS,2010,CZ01,2,2.3806
2001,NUTS,2010,CZ02,2,0.285
2002,NUTS,2010,CZ02,2,0.3188
2003,NUTS,2010,CZ02,2,0.3503
2004,NUTS,2010,CZ02,2,0.3414
2005,NUTS,2010,CZ02,2,0.43
2006,NUTS,2010,CZ02,2,0.4576
2007,NUTS,2010,CZ02,2,0.4561
2008,NUTS,2010,CZ02,2,0.4901
2009,NUTS,2010,CZ02,2,0.4733
2010,NUTS,2010,CZ02,2,0.4624
2011,NUTS,2010,CZ02,2,0.4777
2012,NUTS,2010,CZ02,2,0.4744
2013,NUTS,2010,CZ02,2,0.4653
2014,NUTS,2010,CZ02,2,0.4555
2015,NUTS,2010,CZ02,2,0.5211
2016,NUTS,2010,CZ02,2,0.4762
2017,NUTS,2010,CZ02,2,0.4701
2018,NUTS,2010,CZ02,2,0.5277
2019,NUTS,2010,CZ02,2,0.548
2020,NUTS,2010,CZ02,2,0.5615
2001,NUTS,2010,CZ03,2,0.1842
2002,NUTS,2010,CZ03,2,0.1725
2003,NUTS,2010,CZ03,2,0.1467
2004,NUTS,2010,CZ03,2,0.1519
2005,NUTS,2010,CZ03,2,0.2695
2006,NUTS,2010,CZ03,2,0.2463
2007,NUTS,2010,CZ03,2,0.2468
2008,NUTS,2010,CZ03,2,0.2524
2009,NUTS,2010,CZ03,2,0.2839
2010,NUTS,2010,CZ03,2,0.2948
2011,NUTS,2010,CZ03,2,0.3444
2012,NUTS,2010,CZ03,2,0.3553
2013,NUTS,2010,CZ03,2,0.3893
2014,NUTS,2010,CZ03,2,0.4439
2015,NUTS,2010,CZ03,2,0.4374
2016,NUTS,2010,CZ03,2,0.4243
2017,NUTS,2010,CZ03,2,0.4414
2018,NUTS,2010,CZ03,2,0.4662
2019,NUTS,2010,CZ03,2,0.5344
2020,NUTS,2010,CZ03,2,0.5453
2001,NUTS,2010,CZ04,2,0.0586
2002,NUTS,2010,CZ04,2,0.043
2003,NUTS,2010,CZ04,2,0.0432
2004,NUTS,2010,CZ04,2,0.0466
2005,NUTS,2010,CZ04,2,0.0569
2006,NUTS,2010,CZ04,2,0.074
2007,NUTS,2010,CZ04,2,0.08
2008,NUTS,2010,CZ04,2,0.0792
2009,NUTS,2010,CZ04,2,0.0778
