year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_rse_pc_act_hc_f
2019,NUTS,2010,DE25,2,0.0626
2015,NUTS,2010,DE26,2,0.023
2016,NUTS,2010,DE26,2,0.0215
2017,NUTS,2010,DE26,2,0.0202
2018,NUTS,2010,DE26,2,0.0202
2019,NUTS,2010,DE26,2,0.0243
2015,NUTS,2010,DE27,2,0.0151
2016,NUTS,2010,DE27,2,0.0137
2017,NUTS,2010,DE27,2,0.0144
2018,NUTS,2010,DE27,2,0.0183
2019,NUTS,2010,DE27,2,0.0217
2015,NUTS,2010,DE3,1,0.3093
2016,NUTS,2010,DE3,1,0.3174
2017,NUTS,2010,DE3,1,0.3342
2018,NUTS,2010,DE3,1,0.3629
2019,NUTS,2010,DE3,1,0.3727
2015,NUTS,2010,DE30,2,0.3093
2016,NUTS,2010,DE30,2,0.3174
2017,NUTS,2010,DE30,2,0.3342
2018,NUTS,2010,DE30,2,0.3629
2019,NUTS,2010,DE30,2,0.3727
2015,NUTS,2010,DE4,1,0.1636
2016,NUTS,2010,DE4,1,0.1688
2017,NUTS,2010,DE4,1,0.1768
2018,NUTS,2010,DE4,1,0.1763
2019,NUTS,2010,DE4,1,0.1993
2015,NUTS,2010,DE40,2,0.1636
2016,NUTS,2010,DE40,2,0.1688
2017,NUTS,2010,DE40,2,0.1768
2018,NUTS,2010,DE40,2,0.1763
2019,NUTS,2010,DE40,2,0.1993
2015,NUTS,2010,DE5,1,0.3412
2016,NUTS,2010,DE5,1,0.3321
2017,NUTS,2010,DE5,1,0.3365
2018,NUTS,2010,DE5,1,0.3659
2019,NUTS,2010,DE5,1,0.3849
2015,NUTS,2010,DE50,2,0.3412
2016,NUTS,2010,DE50,2,0.3321
2017,NUTS,2010,DE50,2,0.3365
2018,NUTS,2010,DE50,2,0.3659
2019,NUTS,2010,DE50,2,0.3849
2015,NUTS,2010,DE6,1,0.1443
2016,NUTS,2010,DE6,1,0.1477
2017,NUTS,2010,DE6,1,0.1453
2018,NUTS,2010,DE6,1,0.1509
2019,NUTS,2010,DE6,1,0.1495
2015,NUTS,2010,DE60,2,0.1443
2016,NUTS,2010,DE60,2,0.1477
2017,NUTS,2010,DE60,2,0.1453
2018,NUTS,2010,DE60,2,0.1509
2019,NUTS,2010,DE60,2,0.1495
2015,NUTS,2010,DE7,1,0.0661
2016,NUTS,2010,DE7,1,0.0728
2017,NUTS,2010,DE7,1,0.0794
2018,NUTS,2010,DE7,1,0.085
2019,NUTS,2010,DE7,1,0.0842
2015,NUTS,2010,DE71,2,0.0907
2016,NUTS,2010,DE71,2,0.0999
