year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_rse_f_pc_emp_fte
2012,NUTS,2010,BE10,2,0.7315
2013,NUTS,2010,BE10,2,0.7488
2014,NUTS,2010,BE10,2,0.8019
2015,NUTS,2010,BE10,2,0.9118
2016,NUTS,2010,BE10,2,0.8492
2017,NUTS,2010,BE10,2,0.8615
2018,NUTS,2010,BE10,2,0.7652
2019,NUTS,2010,BE10,2,0.7487
2012,NUTS,2010,BE2,1,0.3757
2013,NUTS,2010,BE2,1,0.3855
2014,NUTS,2010,BE2,1,0.3872
2015,NUTS,2010,BE2,1,0.3901
2016,NUTS,2010,BE2,1,0.386
2017,NUTS,2010,BE2,1,0.3894
2018,NUTS,2010,BE2,1,0.3919
2019,NUTS,2010,BE2,1,0.3982
2012,NUTS,2010,BE3,1,0.2925
2013,NUTS,2010,BE3,1,0.287
2014,NUTS,2010,BE3,1,0.2808
2015,NUTS,2010,BE3,1,0.3222
2016,NUTS,2010,BE3,1,0.2913
2017,NUTS,2010,BE3,1,0.2848
2018,NUTS,2010,BE3,1,0.2784
2019,NUTS,2010,BE3,1,0.2664
2011,NUTS,2010,BG,0,0.1477
2012,NUTS,2010,BG,0,0.1243
2013,NUTS,2010,BG,0,0.1435
2014,NUTS,2010,BG,0,0.1574
2015,NUTS,2010,BG,0,0.143
2016,NUTS,2010,BG,0,0.1937
2017,NUTS,2010,BG,0,0.1397
2018,NUTS,2010,BG,0,0.1429
2019,NUTS,2010,BG,0,0.1345
2013,NUTS,2010,BG3,1,0.1298
2014,NUTS,2010,BG3,1,0.1664
2019,NUTS,2010,BG3,1,0.134
2011,NUTS,2010,BG32,2,0.1425
2012,NUTS,2010,BG32,2,0.1396
2013,NUTS,2010,BG32,2,0.1576
2014,NUTS,2010,BG32,2,0.2597
2015,NUTS,2010,BG32,2,0.2033
2019,NUTS,2010,BG32,2,0.1292
2011,NUTS,2010,BG33,2,0.1959
2012,NUTS,2010,BG33,2,0.2128
2013,NUTS,2010,BG33,2,0.2191
2016,NUTS,2010,BG33,2,0.2345
2011,NUTS,2010,BG34,2,0.086
2012,NUTS,2010,BG34,2,0.0745
2014,NUTS,2010,BG34,2,0.0837
2015,NUTS,2010,BG34,2,0.0754
2016,NUTS,2010,BG34,2,0.0773
2017,NUTS,2010,BG34,2,0.0703
2013,NUTS,2010,BG4,1,0.1478
2014,NUTS,2010,BG4,1,0.1414
2019,NUTS,2010,BG4,1,0.125
2011,NUTS,2010,BG41,2,0.2167
2012,NUTS,2010,BG41,2,0.1751
2013,NUTS,2010,BG41,2,0.1906
2014,NUTS,2010,BG41,2,0.1921
2015,NUTS,2010,BG41,2,0.1726
2017,NUTS,2010,BG41,2,0.1899
2018,NUTS,2010,BG41,2,0.1716
2019,NUTS,2010,BG41,2,0.1366
2013,NUTS,2010,BG42,2,0.076
2014,NUTS,2010,BG42,2,0.0551
2019,NUTS,2010,BG42,2,0.1049
2011,NUTS,2010,CY,0,0.1156
2012,NUTS,2010,CY,0,0.111
2013,NUTS,2010,CY,0,0.1226
2014,NUTS,2010,CY,0,0.117
2015,NUTS,2010,CY,0,0.1169
2016,NUTS,2010,CY,0,0.1164
2017,NUTS,2010,CY,0,0.1315
2018,NUTS,2010,CY,0,0.1356
2019,NUTS,2010,CY,0,0.1486
2011,NUTS,2010,CZ,0,0.16
2012,NUTS,2010,CZ,0,0.179
2013,NUTS,2010,CZ,0,0.1679
2014,NUTS,2010,CZ,0,0.168
2015,NUTS,2010,CZ,0,0.1703
2016,NUTS,2010,CZ,0,0.1514
2017,NUTS,2010,CZ,0,0.1538
2018,NUTS,2010,CZ,0,0.1699
2019,NUTS,2010,CZ,0,0.1823
2020,NUTS,2010,CZ,0,0.1962
2011,NUTS,2010,CZ0,1,0.1577
2012,NUTS,2010,CZ0,1,0.1763
2013,NUTS,2010,CZ0,1,0.1649
2014,NUTS,2010,CZ0,1,0.1651
2015,NUTS,2010,CZ0,1,0.1667
2016,NUTS,2010,CZ0,1,0.148
2017,NUTS,2010,CZ0,1,0.1501
2018,NUTS,2010,CZ0,1,0.1654
2019,NUTS,2010,CZ0,1,0.1774
2020,NUTS,2010,CZ0,1,0.1909
2011,NUTS,2010,CZ01,2,0.5059
2012,NUTS,2010,CZ01,2,0.4783
2013,NUTS,2010,CZ01,2,0.5418
2014,NUTS,2010,CZ01,2,0.491
2015,NUTS,2010,CZ01,2,0.4857
2016,NUTS,2010,CZ01,2,0.3834
2017,NUTS,2010,CZ01,2,0.4337
2018,NUTS,2010,CZ01,2,0.4815
2019,NUTS,2010,CZ01,2,0.5362
2020,NUTS,2010,CZ01,2,0.5564
2011,NUTS,2010,CZ02,2,0.0142
2012,NUTS,2010,CZ02,2,0.0147
2013,NUTS,2010,CZ02,2,0.0078
2014,NUTS,2010,CZ02,2,0.0104
2015,NUTS,2010,CZ02,2,0.0141
2016,NUTS,2010,CZ02,2,0.0113
2017,NUTS,2010,CZ02,2,0.0116
2018,NUTS,2010,CZ02,2,0.0142
2019,NUTS,2010,CZ02,2,0.0148
2020,NUTS,2010,CZ02,2,0.0148
2011,NUTS,2010,CZ03,2,0.106
2012,NUTS,2010,CZ03,2,0.0883
2013,NUTS,2010,CZ03,2,0.0959
2014,NUTS,2010,CZ03,2,0.1099
2015,NUTS,2010,CZ03,2,0.096
2016,NUTS,2010,CZ03,2,0.0963
2017,NUTS,2010,CZ03,2,0.09
2018,NUTS,2010,CZ03,2,0.1035
2019,NUTS,2010,CZ03,2,0.1141
2020,NUTS,2010,CZ03,2,0.1287
2011,NUTS,2010,CZ04,2,0.0217
2012,NUTS,2010,CZ04,2,0.0273
2013,NUTS,2010,CZ04,2,0.035
2014,NUTS,2010,CZ04,2,0.0325
2015,NUTS,2010,CZ04,2,0.0354
2016,NUTS,2010,CZ04,2,0.0323
2017,NUTS,2010,CZ04,2,0.0422
2018,NUTS,2010,CZ04,2,0.0572
2019,NUTS,2010,CZ04,2,0.0323
2020,NUTS,2010,CZ04,2,0.0318
2011,NUTS,2010,CZ05,2,0.1071
2012,NUTS,2010,CZ05,2,0.0852
2013,NUTS,2010,CZ05,2,0.0963
2014,NUTS,2010,CZ05,2,0.1056
2015,NUTS,2010,CZ05,2,0.1034
2016,NUTS,2010,CZ05,2,0.0952
2017,NUTS,2010,CZ05,2,0.1084
2018,NUTS,2010,CZ05,2,0.1166
2019,NUTS,2010,CZ05,2,0.1198
2020,NUTS,2010,CZ05,2,0.124
2011,NUTS,2010,CZ06,2,0.1765
2012,NUTS,2010,CZ06,2,0.2519
2013,NUTS,2010,CZ06,2,0.1581
2014,NUTS,2010,CZ06,2,0.1637
2015,NUTS,2010,CZ06,2,0.1778
2016,NUTS,2010,CZ06,2,0.1839
2017,NUTS,2010,CZ06,2,0.1762
2018,NUTS,2010,CZ06,2,0.1819
2019,NUTS,2010,CZ06,2,0.176
2020,NUTS,2010,CZ06,2,0.2147
2011,NUTS,2010,CZ07,2,0.1251
2012,NUTS,2010,CZ07,2,0.1771
2013,NUTS,2010,CZ07,2,0.2216
2014,NUTS,2010,CZ07,2,0.2375
2015,NUTS,2010,CZ07,2,0.2543
2016,NUTS,2010,CZ07,2,0.2252
2017,NUTS,2010,CZ07,2,0.1662
2018,NUTS,2010,CZ07,2,0.1805
2019,NUTS,2010,CZ07,2,0.2309
2020,NUTS,2010,CZ07,2,0.2267
2011,NUTS,2010,CZ08,2,0.1502
2012,NUTS,2010,CZ08,2,0.2242
2013,NUTS,2010,CZ08,2,0.1166
2014,NUTS,2010,CZ08,2,0.1286
2015,NUTS,2010,CZ08,2,0.1306
2016,NUTS,2010,CZ08,2,0.1207
2017,NUTS,2010,CZ08,2,0.1267
2018,NUTS,2010,CZ08,2,0.1385
2019,NUTS,2010,CZ08,2,0.1447
2020,NUTS,2010,CZ08,2,0.1663
2011,NUTS,2010,DE,0,0.1808
2012,NUTS,2010,DE,0,0.1888
2013,NUTS,2010,DE,0,0.1968
2014,NUTS,2010,DE,0,0.199
2015,NUTS,2010,DE,0,0.2061
2016,NUTS,2010,DE,0,0.2124
2017,NUTS,2010,DE,0,0.2166
2018,NUTS,2010,DE,0,0.2239
2019,NUTS,2010,DE,0,0.2212
2011,NUTS,2010,DK,0,0.4752
2012,NUTS,2010,DK,0,0.4791
2013,NUTS,2010,DK,0,0.5181
2014,NUTS,2010,DK,0,0.5114
2015,NUTS,2010,DK,0,0.5312
2016,NUTS,2010,DK,0,0.5501
2017,NUTS,2010,DK,0,0.5436
2018,NUTS,2010,DK,0,0.5598
2019,NUTS,2010,DK,0,0.5666
2011,NUTS,2010,DK0,1,0.4664
2012,NUTS,2010,DK0,1,0.4691
2013,NUTS,2010,DK0,1,0.5075
2014,NUTS,2010,DK0,1,0.499
2015,NUTS,2010,DK0,1,0.5204
2016,NUTS,2010,DK0,1,0.5374
2017,NUTS,2010,DK0,1,0.5316
2018,NUTS,2010,DK0,1,0.5484
2019,NUTS,2010,DK0,1,0.5545
2011,NUTS,2010,DK01,2,0.7813
2012,NUTS,2010,DK01,2,0.7882
2013,NUTS,2010,DK01,2,0.8782
2014,NUTS,2010,DK01,2,0.8178
2015,NUTS,2010,DK01,2,0.8294
2016,NUTS,2010,DK01,2,0.8777
2017,NUTS,2010,DK01,2,0.8845
2019,NUTS,2010,DK01,2,0.9296
2011,NUTS,2010,DK02,2,0.1691
2012,NUTS,2010,DK02,2,0.1295
2013,NUTS,2010,DK02,2,0.1252
2014,NUTS,2010,DK02,2,0.1742
2015,NUTS,2010,DK02,2,0.1676
2016,NUTS,2010,DK02,2,0.1705
2017,NUTS,2010,DK02,2,0.1765
2019,NUTS,2010,DK02,2,0.1889
2011,NUTS,2010,DK03,2,0.2286
2012,NUTS,2010,DK03,2,0.2637
2013,NUTS,2010,DK03,2,0.2768
2014,NUTS,2010,DK03,2,0.2928
2015,NUTS,2010,DK03,2,0.3046
2016,NUTS,2010,DK03,2,0.301
2017,NUTS,2010,DK03,2,0.1901
2019,NUTS,2010,DK03,2,0.1982
2011,NUTS,2010,DK04,2,0.4742
2012,NUTS,2010,DK04,2,0.4459
2013,NUTS,2010,DK04,2,0.4426
2014,NUTS,2010,DK04,2,0.4456
2015,NUTS,2010,DK04,2,0.5247
2016,NUTS,2010,DK04,2,0.5077
2017,NUTS,2010,DK04,2,0.4541
2019,NUTS,2010,DK04,2,0.4689
2011,NUTS,2010,DK05,2,0.3025
2012,NUTS,2010,DK05,2,0.3347
2013,NUTS,2010,DK05,2,0.4091
2014,NUTS,2010,DK05,2,0.3942
2015,NUTS,2010,DK05,2,0.3637
2016,NUTS,2010,DK05,2,0.368
2017,NUTS,2010,DK05,2,0.6438
2019,NUTS,2010,DK05,2,0.6735
2011,NUTS,2010,EE,0,0.3683
2012,NUTS,2010,EE,0,0.3913
2013,NUTS,2010,EE,0,0.3668
2014,NUTS,2010,EE,0,0.3816
2015,NUTS,2010,EE,0,0.373
2016,NUTS,2010,EE,0,0.3602
2017,NUTS,2010,EE,0,0.3601
2018,NUTS,2010,EE,0,0.4121
2019,NUTS,2010,EE,0,0.3687
2011,NUTS,2010,EL,0,0.3758
2013,NUTS,2010,EL,0,0.5166
2015,NUTS,2010,EL,0,0.5047
2017,NUTS,2010,EL,0,0.4819
2019,NUTS,2010,EL,0,0.5315
2011,NUTS,2010,EL3,1,0.3638
2011,NUTS,2010,EL30,2,0.3638
2011,NUTS,2010,EL4,1,0.4449
2011,NUTS,2010,EL41,2,0.1567
2011,NUTS,2010,EL42,2,0.0447
2011,NUTS,2010,EL43,2,0.714
2011,NUTS,2010,EL5,1,0.4462
2011,NUTS,2010,EL51,2,0.3864
2011,NUTS,2010,EL52,2,0.4607
2011,NUTS,2010,EL53,2,0.1159
2011,NUTS,2010,EL54,2,0.7156
2011,NUTS,2010,EL6,1,0.2473
2011,NUTS,2010,EL61,2,0.3789
2011,NUTS,2010,EL62,2,0.0337
2011,NUTS,2010,EL63,2,0.5339
2011,NUTS,2010,EL64,2,0.0172
2011,NUTS,2010,EL65,2,0.0787
2011,NUTS,2010,ES,0,0.3145
2012,NUTS,2010,ES,0,0.3122
2013,NUTS,2010,ES,0,0.3085
2014,NUTS,2010,ES,0,0.3052
2015,NUTS,2010,ES,0,0.3019
2016,NUTS,2010,ES,0,0.3031
2017,NUTS,2010,ES,0,0.3067
2018,NUTS,2010,ES,0,0.3062
2019,NUTS,2010,ES,0,0.3184
2011,NUTS,2010,ES1,1,0.3067
2013,NUTS,2010,ES1,1,0.2727
2015,NUTS,2010,ES1,1,0.259
2016,NUTS,2010,ES1,1,0.243
2017,NUTS,2010,ES1,1,0.2492
2018,NUTS,2010,ES1,1,0.2674
2011,NUTS,2010,ES11,2,0.3226
2012,NUTS,2010,ES11,2,0.2717
2014,NUTS,2010,ES11,2,0.2722
2015,NUTS,2010,ES11,2,0.2691
2016,NUTS,2010,ES11,2,0.2537
2017,NUTS,2010,ES11,2,0.2511
2018,NUTS,2010,ES11,2,0.2518
2019,NUTS,2010,ES11,2,0.2651
2011,NUTS,2010,ES12,2,0.2817
2012,NUTS,2010,ES12,2,0.2697
2013,NUTS,2010,ES12,2,0.2752
2014,NUTS,2010,ES12,2,0.2299
2015,NUTS,2010,ES12,2,0.2402
2016,NUTS,2010,ES12,2,0.2252
2017,NUTS,2010,ES12,2,0.2671
2018,NUTS,2010,ES12,2,0.3387
2019,NUTS,2010,ES12,2,0.3301
2011,NUTS,2010,ES13,2,0.2764
2015,NUTS,2010,ES13,2,0.2458
2016,NUTS,2010,ES13,2,0.2252
2017,NUTS,2010,ES13,2,0.2102
2018,NUTS,2010,ES13,2,0.2188
2011,NUTS,2010,ES2,1,0.4043
2013,NUTS,2010,ES2,1,0.4005
2019,NUTS,2010,ES2,1,0.3964
2011,NUTS,2010,ES21,2,0.3264
2012,NUTS,2010,ES21,2,0.3773
2013,NUTS,2010,ES21,2,0.3737
2014,NUTS,2010,ES21,2,0.3978
2015,NUTS,2010,ES21,2,0.4
2016,NUTS,2010,ES21,2,0.3913
2017,NUTS,2010,ES21,2,0.4083
2018,NUTS,2010,ES21,2,0.3991
2019,NUTS,2010,ES21,2,0.3928
2011,NUTS,2010,ES22,2,0.6002
2011,NUTS,2010,ES23,2,0.2922
2012,NUTS,2010,ES23,2,0.3645
2014,NUTS,2010,ES23,2,0.3836
2015,NUTS,2010,ES23,2,0.3888
2016,NUTS,2010,ES23,2,0.4419
2017,NUTS,2010,ES23,2,0.3417
2018,NUTS,2010,ES23,2,0.3394
2011,NUTS,2010,ES24,2,0.4714
2012,NUTS,2010,ES24,2,0.4214
2013,NUTS,2010,ES24,2,0.384
2014,NUTS,2010,ES24,2,0.3595
2015,NUTS,2010,ES24,2,0.3657
2016,NUTS,2010,ES24,2,0.3625
2017,NUTS,2010,ES24,2,0.3644
2018,NUTS,2010,ES24,2,0.3694
2011,NUTS,2010,ES3,1,0.3163
2012,NUTS,2010,ES3,1,0.2994
2013,NUTS,2010,ES3,1,0.3138
2014,NUTS,2010,ES3,1,0.3221
2015,NUTS,2010,ES3,1,0.3146
2016,NUTS,2010,ES3,1,0.3319
2017,NUTS,2010,ES3,1,0.3347
2018,NUTS,2010,ES3,1,0.3531
2019,NUTS,2010,ES3,1,0.4031
2011,NUTS,2010,ES30,2,0.3163
2012,NUTS,2010,ES30,2,0.2994
2013,NUTS,2010,ES30,2,0.3138
2014,NUTS,2010,ES30,2,0.3221
2015,NUTS,2010,ES30,2,0.3146
2016,NUTS,2010,ES30,2,0.3319
2017,NUTS,2010,ES30,2,0.3347
2018,NUTS,2010,ES30,2,0.3531
2019,NUTS,2010,ES30,2,0.4031
2011,NUTS,2010,ES4,1,0.2717
2013,NUTS,2010,ES4,1,0.2651
2014,NUTS,2010,ES4,1,0.2643
2015,NUTS,2010,ES4,1,0.2696
2016,NUTS,2010,ES4,1,0.2774
2018,NUTS,2010,ES4,1,0.2743
2019,NUTS,2010,ES4,1,0.2913
2011,NUTS,2010,ES41,2,0.4147
2012,NUTS,2010,ES41,2,0.4065
2013,NUTS,2010,ES41,2,0.4165
2014,NUTS,2010,ES41,2,0.4081
2015,NUTS,2010,ES41,2,0.4124
2016,NUTS,2010,ES41,2,0.4278
2017,NUTS,2010,ES41,2,0.4266
2018,NUTS,2010,ES41,2,0.4257
2019,NUTS,2010,ES41,2,0.4342
2011,NUTS,2010,ES42,2,0.0998
2012,NUTS,2010,ES42,2,0.0897
2013,NUTS,2010,ES42,2,0.0695
2014,NUTS,2010,ES42,2,0.0798
2015,NUTS,2010,ES42,2,0.0902
2017,NUTS,2010,ES42,2,0.0999
2011,NUTS,2010,ES43,2,0.2291
2013,NUTS,2010,ES43,2,0.2387
2014,NUTS,2010,ES43,2,0.2348
2015,NUTS,2010,ES43,2,0.2346
2011,NUTS,2010,ES5,1,0.3047
2012,NUTS,2010,ES5,1,0.3108
2013,NUTS,2010,ES5,1,0.3084
2014,NUTS,2010,ES5,1,0.3055
2015,NUTS,2010,ES5,1,0.2998
2016,NUTS,2010,ES5,1,0.3063
2017,NUTS,2010,ES5,1,0.3057
2018,NUTS,2010,ES5,1,0.2876
2011,NUTS,2010,ES51,2,0.2936
2012,NUTS,2010,ES51,2,0.3052
2013,NUTS,2010,ES51,2,0.309
2014,NUTS,2010,ES51,2,0.3057
2015,NUTS,2010,ES51,2,0.3078
2016,NUTS,2010,ES51,2,0.3195
2017,NUTS,2010,ES51,2,0.314
2018,NUTS,2010,ES51,2,0.2869
2019,NUTS,2010,ES51,2,0.2884
2011,NUTS,2010,ES52,2,0.3492
2012,NUTS,2010,ES52,2,0.3437
2013,NUTS,2010,ES52,2,0.3336
2014,NUTS,2010,ES52,2,0.3292
2015,NUTS,2010,ES52,2,0.3204
2016,NUTS,2010,ES52,2,0.3123
2017,NUTS,2010,ES52,2,0.3153
2018,NUTS,2010,ES52,2,0.3065
2019,NUTS,2010,ES52,2,0.3248
2011,NUTS,2010,ES53,2,0.2055
2012,NUTS,2010,ES53,2,0.2233
2013,NUTS,2010,ES53,2,0.2133
2014,NUTS,2010,ES53,2,0.2187
2015,NUTS,2010,ES53,2,0.1784
2016,NUTS,2010,ES53,2,0.204
2017,NUTS,2010,ES53,2,0.2192
2018,NUTS,2010,ES53,2,0.2258
2011,NUTS,2010,ES6,1,0.3243
2012,NUTS,2010,ES6,1,0.3239
2013,NUTS,2010,ES6,1,0.3143
2014,NUTS,2010,ES6,1,0.2971
2015,NUTS,2010,ES6,1,0.2987
2016,NUTS,2010,ES6,1,0.2814
2017,NUTS,2010,ES6,1,0.2938
2018,NUTS,2010,ES6,1,0.3024
2019,NUTS,2010,ES6,1,0.2985
2011,NUTS,2010,ES61,2,0.2896
2012,NUTS,2010,ES61,2,0.2919
2013,NUTS,2010,ES61,2,0.279
2014,NUTS,2010,ES61,2,0.263
2015,NUTS,2010,ES61,2,0.2604
2016,NUTS,2010,ES61,2,0.2499
2017,NUTS,2010,ES61,2,0.2653
2018,NUTS,2010,ES61,2,0.2738
2019,NUTS,2010,ES61,2,0.2691
2011,NUTS,2010,ES62,2,0.5227
2012,NUTS,2010,ES62,2,0.5052
2013,NUTS,2010,ES62,2,0.5125
2014,NUTS,2010,ES62,2,0.4887
2015,NUTS,2010,ES62,2,0.5297
2016,NUTS,2010,ES62,2,0.4597
2018,NUTS,2010,ES62,2,0.458
2019,NUTS,2010,ES62,2,0.4575
2011,NUTS,2010,ES63,2,0.0489
2011,NUTS,2010,ES64,2,0.0782
2011,NUTS,2010,ES7,1,0.1845
2012,NUTS,2010,ES7,1,0.1973
2013,NUTS,2010,ES7,1,0.1801
2014,NUTS,2010,ES7,1,0.1827
2015,NUTS,2010,ES7,1,0.1481
2016,NUTS,2010,ES7,1,0.1565
2017,NUTS,2010,ES7,1,0.1578
2018,NUTS,2010,ES7,1,0.1536
2011,NUTS,2010,ES70,2,0.1845
2012,NUTS,2010,ES70,2,0.1973
2013,NUTS,2010,ES70,2,0.1801
2014,NUTS,2010,ES70,2,0.1827
2015,NUTS,2010,ES70,2,0.1481
2016,NUTS,2010,ES70,2,0.1565
2017,NUTS,2010,ES70,2,0.1578
2018,NUTS,2010,ES70,2,0.1536
2011,NUTS,2010,FR,0,0.1927
2012,NUTS,2010,FR,0,0.1942
2013,NUTS,2010,FR,0,0.1934
2014,NUTS,2010,FR,0,0.2052
2016,NUTS,2010,FR,0,0.2491
2017,NUTS,2010,FR,0,0.2519
2011,NUTS,2010,HR,0,0.2437
2012,NUTS,2010,HR,0,0.2519
2013,NUTS,2010,HR,0,0.2566
2014,NUTS,2010,HR,0,0.2422
2015,NUTS,2010,HR,0,0.2441
2016,NUTS,2010,HR,0,0.2962
2017,NUTS,2010,HR,0,0.2887
2018,NUTS,2010,HR,0,0.2817
2019,NUTS,2010,HR,0,0.3189
2020,NUTS,2010,HR,0,0.3267
2011,NUTS,2010,HR0,1,0.2369
2012,NUTS,2010,HR0,1,0.246
2013,NUTS,2010,HR0,1,0.2518
2014,NUTS,2010,HR0,1,0.2385
2015,NUTS,2010,HR0,1,0.2403
2016,NUTS,2010,HR0,1,0.2927
2017,NUTS,2010,HR0,1,0.2852
2018,NUTS,2010,HR0,1,0.278
2019,NUTS,2010,HR0,1,0.3136
2020,NUTS,2010,HR0,1,0.3225
2011,NUTS,2010,HR03,2,0.2796
2012,NUTS,2010,HR03,2,0.285
2013,NUTS,2010,HR03,2,0.2869
2014,NUTS,2010,HR03,2,0.2779
2015,NUTS,2010,HR03,2,0.2614
2016,NUTS,2010,HR03,2,0.3074
2017,NUTS,2010,HR03,2,0.2841
2018,NUTS,2010,HR03,2,0.2783
2019,NUTS,2010,HR03,2,0.3362
2020,NUTS,2010,HR03,2,0.3542
2011,NUTS,2010,HR04,2,0.2173
2012,NUTS,2010,HR04,2,0.2276
2013,NUTS,2010,HR04,2,0.2352
2014,NUTS,2010,HR04,2,0.2188
2015,NUTS,2010,HR04,2,0.2299
2016,NUTS,2010,HR04,2,0.2857
2017,NUTS,2010,HR04,2,0.2858
2018,NUTS,2010,HR04,2,0.2779
2019,NUTS,2010,HR04,2,0.3028
2011,NUTS,2010,HU,0,0.1178
2012,NUTS,2010,HU,0,0.1192
2013,NUTS,2010,HU,0,0.1179
2014,NUTS,2010,HU,0,0.1131
2015,NUTS,2010,HU,0,0.1076
2016,NUTS,2010,HU,0,0.1045
2017,NUTS,2010,HU,0,0.1147
2018,NUTS,2010,HU,0,0.1536
2019,NUTS,2010,HU,0,0.1772
2011,NUTS,2010,HU1,1,0.167
2012,NUTS,2010,HU1,1,0.1662
2013,NUTS,2010,HU1,1,0.1747
2014,NUTS,2010,HU1,1,0.1663
2015,NUTS,2010,HU1,1,0.1585
2016,NUTS,2010,HU1,1,0.1518
2017,NUTS,2010,HU1,1,0.1694
2018,NUTS,2010,HU1,1,0.2347
2019,NUTS,2010,HU1,1,0.2612
2011,NUTS,2010,HU10,2,0.167
2012,NUTS,2010,HU10,2,0.1662
2013,NUTS,2010,HU10,2,0.1747
2014,NUTS,2010,HU10,2,0.1663
2015,NUTS,2010,HU10,2,0.1585
2016,NUTS,2010,HU10,2,0.1518
2017,NUTS,2010,HU11,2,0.2489
2018,NUTS,2010,HU11,2,0.3481
2019,NUTS,2010,HU11,2,0.4178
2017,NUTS,2010,HU12,2,0.0448
2018,NUTS,2010,HU12,2,0.0645
2019,NUTS,2010,HU12,2,0.0358
2011,NUTS,2010,HU2,1,0.0794
2012,NUTS,2010,HU2,1,0.0868
2013,NUTS,2010,HU2,1,0.068
2014,NUTS,2010,HU2,1,0.0652
2015,NUTS,2010,HU2,1,0.0581
2016,NUTS,2010,HU2,1,0.0582
2017,NUTS,2010,HU2,1,0.069
2018,NUTS,2010,HU2,1,0.0955
2019,NUTS,2010,HU2,1,0.1107
2011,NUTS,2010,HU21,2,0.0353
2012,NUTS,2010,HU21,2,0.045
2013,NUTS,2010,HU21,2,0.0405
2014,NUTS,2010,HU21,2,0.037
2015,NUTS,2010,HU21,2,0.0405
2016,NUTS,2010,HU21,2,0.0368
2017,NUTS,2010,HU21,2,0.0369
2018,NUTS,2010,HU21,2,0.0409
2019,NUTS,2010,HU21,2,0.0394
2011,NUTS,2010,HU22,2,0.0684
2012,NUTS,2010,HU22,2,0.0651
2013,NUTS,2010,HU22,2,0.0679
2014,NUTS,2010,HU22,2,0.0574
2015,NUTS,2010,HU22,2,0.0556
2016,NUTS,2010,HU22,2,0.0467
2017,NUTS,2010,HU22,2,0.0577
2018,NUTS,2010,HU22,2,0.0673
