year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_pc_emp_fte_rse_t
2019,NUTS,2010,DK02,2,0.0015
2011,NUTS,2010,DK03,2,0.0
2012,NUTS,2010,DK03,2,0.0009
2013,NUTS,2010,DK03,2,0.0007
2014,NUTS,2010,DK03,2,0.0009
2015,NUTS,2010,DK03,2,0.0011
2016,NUTS,2010,DK03,2,0.0014
2017,NUTS,2010,DK03,2,0.0014
2011,NUTS,2010,DK04,2,0.0
2012,NUTS,2010,DK04,2,0.0
2013,NUTS,2010,DK04,2,0.0
2014,NUTS,2010,DK04,2,0.0
2015,NUTS,2010,DK04,2,0.0
2016,NUTS,2010,DK04,2,0.0
2017,NUTS,2010,DK04,2,0.0
2011,NUTS,2010,DK05,2,0.0
2012,NUTS,2010,DK05,2,0.0
2013,NUTS,2010,DK05,2,0.0
2014,NUTS,2010,DK05,2,0.0
2015,NUTS,2010,DK05,2,0.0
2016,NUTS,2010,DK05,2,0.0
2017,NUTS,2010,DK05,2,0.0029
2011,NUTS,2010,EA19,2,0.0099
2012,NUTS,2010,EA19,2,0.0099
2013,NUTS,2010,EA19,2,0.0071
2014,NUTS,2010,EA19,2,0.0077
2015,NUTS,2010,EA19,2,0.0078
2016,NUTS,2010,EA19,2,0.0084
2017,NUTS,2010,EA19,2,0.008
2018,NUTS,2010,EA19,2,0.0083
2019,NUTS,2010,EA19,2,0.0088
2020,NUTS,2010,EA19,2,0.0094
2011,NUTS,2010,EE,0,0.0125
2012,NUTS,2010,EE,0,0.0135
2013,NUTS,2010,EE,0,0.0121
2014,NUTS,2010,EE,0,0.0131
2015,NUTS,2010,EE,0,0.0147
2016,NUTS,2010,EE,0,0.0145
2017,NUTS,2010,EE,0,0.0141
2018,NUTS,2010,EE,0,0.0174
2019,NUTS,2010,EE,0,0.0126
2020,NUTS,2010,EE,0,0.0144
2011,NUTS,2010,EL,0,0.0054
2012,NUTS,2010,EL,0,0.006
2013,NUTS,2010,EL,0,0.0086
2014,NUTS,2010,EL,0,0.0085
2015,NUTS,2010,EL,0,0.0076
2016,NUTS,2010,EL,0,0.0081
2017,NUTS,2010,EL,0,0.0083
2018,NUTS,2010,EL,0,0.0078
2019,NUTS,2010,EL,0,0.0077
2020,NUTS,2010,EL,0,0.0067
2011,NUTS,2010,EL3,1,0.0106
2013,NUTS,2010,EL3,1,0.0157
2015,NUTS,2010,EL3,1,0.0134
2017,NUTS,2010,EL3,1,0.0166
2019,NUTS,2010,EL3,1,0.013
