year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_pc_pop_hrstc
2012,NUTS,2010,DE21,2,18.3
2013,NUTS,2010,DE21,2,18.8
2014,NUTS,2010,DE21,2,18.8
2015,NUTS,2010,DE21,2,18.9
2016,NUTS,2010,DE21,2,19.7
2017,NUTS,2010,DE21,2,20.2
2018,NUTS,2010,DE21,2,20.6
2019,NUTS,2010,DE21,2,20.7
2020,NUTS,2010,DE21,2,19.8
2011,NUTS,2010,DE22,2,11.3
2012,NUTS,2010,DE22,2,11.1
2013,NUTS,2010,DE22,2,11.2
2014,NUTS,2010,DE22,2,9.7
2015,NUTS,2010,DE22,2,10.2
2016,NUTS,2010,DE22,2,10.2
2017,NUTS,2010,DE22,2,10.5
2018,NUTS,2010,DE22,2,10.7
2019,NUTS,2010,DE22,2,11.2
2020,NUTS,2010,DE22,2,11.4
2011,NUTS,2010,DE23,2,12.6
2012,NUTS,2010,DE23,2,13.4
2013,NUTS,2010,DE23,2,13.8
2014,NUTS,2010,DE23,2,13.0
2015,NUTS,2010,DE23,2,13.1
2016,NUTS,2010,DE23,2,12.6
2017,NUTS,2010,DE23,2,12.2
2018,NUTS,2010,DE23,2,12.6
2019,NUTS,2010,DE23,2,13.6
2020,NUTS,2010,DE23,2,13.7
2011,NUTS,2010,DE24,2,13.4
2012,NUTS,2010,DE24,2,13.0
2013,NUTS,2010,DE24,2,13.1
2014,NUTS,2010,DE24,2,11.7
2015,NUTS,2010,DE24,2,11.4
2016,NUTS,2010,DE24,2,11.2
2017,NUTS,2010,DE24,2,11.7
2018,NUTS,2010,DE24,2,11.5
2019,NUTS,2010,DE24,2,12.4
2020,NUTS,2010,DE24,2,13.6
2011,NUTS,2010,DE25,2,14.4
2012,NUTS,2010,DE25,2,14.6
2013,NUTS,2010,DE25,2,14.2
2014,NUTS,2010,DE25,2,13.2
2015,NUTS,2010,DE25,2,13.9
2016,NUTS,2010,DE25,2,14.6
2017,NUTS,2010,DE25,2,14.9
2018,NUTS,2010,DE25,2,14.7
2019,NUTS,2010,DE25,2,14.9
2020,NUTS,2010,DE25,2,15.4
2011,NUTS,2010,DE26,2,13.8
2012,NUTS,2010,DE26,2,14.0
2013,NUTS,2010,DE26,2,14.1
2014,NUTS,2010,DE26,2,12.6
2015,NUTS,2010,DE26,2,13.0
2016,NUTS,2010,DE26,2,13.1
2017,NUTS,2010,DE26,2,13.5
2018,NUTS,2010,DE26,2,13.5
2019,NUTS,2010,DE26,2,14.2
2020,NUTS,2010,DE26,2,15.0
2011,NUTS,2010,DE27,2,13.4
2012,NUTS,2010,DE27,2,12.1
2013,NUTS,2010,DE27,2,12.5
2014,NUTS,2010,DE27,2,12.0
2015,NUTS,2010,DE27,2,12.1
2016,NUTS,2010,DE27,2,11.8
2017,NUTS,2010,DE27,2,12.6
2018,NUTS,2010,DE27,2,12.8
2019,NUTS,2010,DE27,2,13.7
2020,NUTS,2010,DE27,2,14.3
2011,NUTS,2010,DE3,1,18.5
2012,NUTS,2010,DE3,1,18.0
2013,NUTS,2010,DE3,1,18.4
2014,NUTS,2010,DE3,1,18.4
2015,NUTS,2010,DE3,1,18.6
2016,NUTS,2010,DE3,1,20.2
2017,NUTS,2010,DE3,1,21.4
2018,NUTS,2010,DE3,1,22.4
2019,NUTS,2010,DE3,1,23.1
2020,NUTS,2010,DE3,1,21.5
2011,NUTS,2010,DE30,2,18.5
2012,NUTS,2010,DE30,2,18.0
2013,NUTS,2010,DE30,2,18.4
2014,NUTS,2010,DE30,2,18.4
2015,NUTS,2010,DE30,2,18.6
2016,NUTS,2010,DE30,2,20.2
2017,NUTS,2010,DE30,2,21.4
2018,NUTS,2010,DE30,2,22.4
2019,NUTS,2010,DE30,2,23.1
2020,NUTS,2010,DE30,2,21.5
2011,NUTS,2010,DE4,1,15.0
2012,NUTS,2010,DE4,1,14.0
2013,NUTS,2010,DE4,1,14.5
2014,NUTS,2010,DE4,1,12.7
2015,NUTS,2010,DE4,1,13.0
2016,NUTS,2010,DE4,1,12.7
2017,NUTS,2010,DE4,1,12.7
2018,NUTS,2010,DE4,1,13.4
2019,NUTS,2010,DE4,1,13.3
2020,NUTS,2010,DE4,1,11.6
2011,NUTS,2010,DE40,2,15.0
2012,NUTS,2010,DE40,2,14.0
2013,NUTS,2010,DE40,2,14.5
2014,NUTS,2010,DE40,2,12.7
2015,NUTS,2010,DE40,2,13.0
2016,NUTS,2010,DE40,2,12.7
2017,NUTS,2010,DE40,2,12.7
2018,NUTS,2010,DE40,2,13.4
2019,NUTS,2010,DE40,2,13.3
2020,NUTS,2010,DE40,2,11.6
2011,NUTS,2010,DE5,1,14.0
2012,NUTS,2010,DE5,1,13.1
2013,NUTS,2010,DE5,1,12.7
2014,NUTS,2010,DE5,1,12.3
2015,NUTS,2010,DE5,1,12.4
2016,NUTS,2010,DE5,1,13.4
2017,NUTS,2010,DE5,1,14.0
2018,NUTS,2010,DE5,1,14.3
2019,NUTS,2010,DE5,1,15.1
2020,NUTS,2010,DE5,1,14.1
2011,NUTS,2010,DE50,2,14.0
2012,NUTS,2010,DE50,2,13.1
2013,NUTS,2010,DE50,2,12.7
2014,NUTS,2010,DE50,2,12.3
2015,NUTS,2010,DE50,2,12.4
2016,NUTS,2010,DE50,2,13.4
2017,NUTS,2010,DE50,2,14.0
2018,NUTS,2010,DE50,2,14.3
2019,NUTS,2010,DE50,2,15.1
2020,NUTS,2010,DE50,2,14.1
2011,NUTS,2010,DE6,1,16.4
2012,NUTS,2010,DE6,1,16.1
2013,NUTS,2010,DE6,1,15.7
2014,NUTS,2010,DE6,1,16.8
2015,NUTS,2010,DE6,1,17.7
2016,NUTS,2010,DE6,1,18.4
2017,NUTS,2010,DE6,1,18.6
2018,NUTS,2010,DE6,1,19.4
2019,NUTS,2010,DE6,1,19.6
2020,NUTS,2010,DE6,1,19.4
2011,NUTS,2010,DE60,2,16.4
2012,NUTS,2010,DE60,2,16.1
2013,NUTS,2010,DE60,2,15.7
2014,NUTS,2010,DE60,2,16.8
2015,NUTS,2010,DE60,2,17.7
2016,NUTS,2010,DE60,2,18.4
2017,NUTS,2010,DE60,2,18.6
2018,NUTS,2010,DE60,2,19.4
2019,NUTS,2010,DE60,2,19.6
2020,NUTS,2010,DE60,2,19.4
2011,NUTS,2010,DE7,1,14.6
2012,NUTS,2010,DE7,1,14.6
2013,NUTS,2010,DE7,1,14.8
2014,NUTS,2010,DE7,1,13.9
2015,NUTS,2010,DE7,1,14.4
2016,NUTS,2010,DE7,1,14.5
2017,NUTS,2010,DE7,1,15.6
2018,NUTS,2010,DE7,1,14.9
2019,NUTS,2010,DE7,1,15.9
2020,NUTS,2010,DE7,1,14.3
2011,NUTS,2010,DE71,2,15.6
2012,NUTS,2010,DE71,2,15.7
2013,NUTS,2010,DE71,2,15.6
2014,NUTS,2010,DE71,2,15.3
2015,NUTS,2010,DE71,2,15.6
2016,NUTS,2010,DE71,2,15.9
2017,NUTS,2010,DE71,2,16.9
2018,NUTS,2010,DE71,2,16.2
2019,NUTS,2010,DE71,2,17.3
2020,NUTS,2010,DE71,2,15.3
2011,NUTS,2010,DE72,2,13.8
2012,NUTS,2010,DE72,2,13.9
2013,NUTS,2010,DE72,2,14.1
2014,NUTS,2010,DE72,2,12.6
2015,NUTS,2010,DE72,2,13.5
2016,NUTS,2010,DE72,2,13.0
2017,NUTS,2010,DE72,2,13.8
2018,NUTS,2010,DE72,2,12.7
2019,NUTS,2010,DE72,2,14.0
2020,NUTS,2010,DE72,2,13.1
2011,NUTS,2010,DE73,2,12.3
2012,NUTS,2010,DE73,2,11.8
2013,NUTS,2010,DE73,2,12.8
2014,NUTS,2010,DE73,2,10.5
2015,NUTS,2010,DE73,2,11.1
2016,NUTS,2010,DE73,2,11.4
2017,NUTS,2010,DE73,2,12.9
2018,NUTS,2010,DE73,2,12.3
2019,NUTS,2010,DE73,2,12.7
2020,NUTS,2010,DE73,2,12.0
2011,NUTS,2010,DE8,1,12.5
2012,NUTS,2010,DE8,1,11.2
2013,NUTS,2010,DE8,1,11.7
2014,NUTS,2010,DE8,1,10.7
2015,NUTS,2010,DE8,1,11.4
2016,NUTS,2010,DE8,1,11.5
2017,NUTS,2010,DE8,1,11.3
2018,NUTS,2010,DE8,1,11.4
2019,NUTS,2010,DE8,1,11.7
2020,NUTS,2010,DE8,1,11.6
2011,NUTS,2010,DE80,2,12.5
2012,NUTS,2010,DE80,2,11.2
2013,NUTS,2010,DE80,2,11.7
2014,NUTS,2010,DE80,2,10.7
2015,NUTS,2010,DE80,2,11.4
2016,NUTS,2010,DE80,2,11.5
2017,NUTS,2010,DE80,2,11.3
2018,NUTS,2010,DE80,2,11.4
2019,NUTS,2010,DE80,2,11.7
2020,NUTS,2010,DE80,2,11.6
2011,NUTS,2010,DE9,1,11.5
2012,NUTS,2010,DE9,1,11.4
2013,NUTS,2010,DE9,1,11.6
2014,NUTS,2010,DE9,1,10.8
2015,NUTS,2010,DE9,1,11.5
2016,NUTS,2010,DE9,1,11.2
2017,NUTS,2010,DE9,1,11.5
2018,NUTS,2010,DE9,1,12.2
2019,NUTS,2010,DE9,1,12.8
2020,NUTS,2010,DE9,1,12.5
2011,NUTS,2010,DE91,2,12.1
2012,NUTS,2010,DE91,2,11.9
2013,NUTS,2010,DE91,2,12.4
2014,NUTS,2010,DE91,2,11.9
2015,NUTS,2010,DE91,2,12.7
2016,NUTS,2010,DE91,2,12.0
2017,NUTS,2010,DE91,2,12.9
2018,NUTS,2010,DE91,2,14.5
2019,NUTS,2010,DE91,2,14.7
2020,NUTS,2010,DE91,2,14.7
2011,NUTS,2010,DE92,2,12.8
2012,NUTS,2010,DE92,2,13.0
2013,NUTS,2010,DE92,2,13.1
2014,NUTS,2010,DE92,2,11.9
2015,NUTS,2010,DE92,2,12.5
2016,NUTS,2010,DE92,2,12.1
2017,NUTS,2010,DE92,2,12.5
2018,NUTS,2010,DE92,2,13.4
2019,NUTS,2010,DE92,2,14.2
2020,NUTS,2010,DE92,2,13.0
2011,NUTS,2010,DE93,2,11.4
2012,NUTS,2010,DE93,2,10.6
2013,NUTS,2010,DE93,2,10.9
2014,NUTS,2010,DE93,2,10.4
2015,NUTS,2010,DE93,2,11.3
2016,NUTS,2010,DE93,2,11.2
2017,NUTS,2010,DE93,2,11.6
2018,NUTS,2010,DE93,2,11.4
2019,NUTS,2010,DE93,2,12.0
2020,NUTS,2010,DE93,2,11.7
2011,NUTS,2010,DE94,2,10.1
2012,NUTS,2010,DE94,2,10.3
2013,NUTS,2010,DE94,2,10.3
2014,NUTS,2010,DE94,2,9.4
2015,NUTS,2010,DE94,2,9.9
2016,NUTS,2010,DE94,2,9.9
2017,NUTS,2010,DE94,2,9.8
2018,NUTS,2010,DE94,2,10.3
2019,NUTS,2010,DE94,2,11.0
2020,NUTS,2010,DE94,2,11.3
2011,NUTS,2010,DEA,1,12.1
2012,NUTS,2010,DEA,1,12.1
2013,NUTS,2010,DEA,1,12.2
2014,NUTS,2010,DEA,1,11.6
2015,NUTS,2010,DEA,1,11.9
2016,NUTS,2010,DEA,1,12.7
2017,NUTS,2010,DEA,1,12.8
2018,NUTS,2010,DEA,1,12.9
2019,NUTS,2010,DEA,1,13.3
2020,NUTS,2010,DEA,1,13.3
2011,NUTS,2010,DEA1,2,12.1
2012,NUTS,2010,DEA1,2,12.3
2013,NUTS,2010,DEA1,2,12.0
2014,NUTS,2010,DEA1,2,11.2
2015,NUTS,2010,DEA1,2,11.7
2016,NUTS,2010,DEA1,2,12.9
2017,NUTS,2010,DEA1,2,12.6
2018,NUTS,2010,DEA1,2,12.7
2019,NUTS,2010,DEA1,2,13.0
2020,NUTS,2010,DEA1,2,13.3
2011,NUTS,2010,DEA2,2,13.8
2012,NUTS,2010,DEA2,2,13.9
2013,NUTS,2010,DEA2,2,14.1
2014,NUTS,2010,DEA2,2,13.8
2015,NUTS,2010,DEA2,2,14.1
2016,NUTS,2010,DEA2,2,15.2
2017,NUTS,2010,DEA2,2,15.4
2018,NUTS,2010,DEA2,2,15.6
2019,NUTS,2010,DEA2,2,15.8
2020,NUTS,2010,DEA2,2,15.4
2011,NUTS,2010,DEA3,2,11.8
2012,NUTS,2010,DEA3,2,11.6
2013,NUTS,2010,DEA3,2,12.2
2014,NUTS,2010,DEA3,2,11.0
2015,NUTS,2010,DEA3,2,11.9
2016,NUTS,2010,DEA3,2,12.0
2017,NUTS,2010,DEA3,2,11.9
2018,NUTS,2010,DEA3,2,11.8
2019,NUTS,2010,DEA3,2,12.7
2020,NUTS,2010,DEA3,2,12.4
2011,NUTS,2010,DEA4,2,11.2
2012,NUTS,2010,DEA4,2,11.5
2013,NUTS,2010,DEA4,2,11.7
2014,NUTS,2010,DEA4,2,10.7
2015,NUTS,2010,DEA4,2,10.5
2016,NUTS,2010,DEA4,2,10.9
2017,NUTS,2010,DEA4,2,11.4
2018,NUTS,2010,DEA4,2,11.5
2019,NUTS,2010,DEA4,2,11.9
2020,NUTS,2010,DEA4,2,12.1
2011,NUTS,2010,DEA5,2,10.8
2012,NUTS,2010,DEA5,2,10.5
2013,NUTS,2010,DEA5,2,10.7
2014,NUTS,2010,DEA5,2,10.2
2015,NUTS,2010,DEA5,2,10.5
2016,NUTS,2010,DEA5,2,11.0
2017,NUTS,2010,DEA5,2,11.2
2018,NUTS,2010,DEA5,2,11.3
2019,NUTS,2010,DEA5,2,11.8
2020,NUTS,2010,DEA5,2,11.7
2011,NUTS,2010,DEB,1,13.0
2012,NUTS,2010,DEB,1,12.9
2013,NUTS,2010,DEB,1,13.0
2014,NUTS,2010,DEB,1,12.0
2015,NUTS,2010,DEB,1,12.2
2016,NUTS,2010,DEB,1,12.6
2017,NUTS,2010,DEB,1,12.7
2018,NUTS,2010,DEB,1,13.1
2019,NUTS,2010,DEB,1,13.8
2020,NUTS,2010,DEB,1,13.4
2011,NUTS,2010,DEB1,2,11.4
2012,NUTS,2010,DEB1,2,11.2
2013,NUTS,2010,DEB1,2,11.1
2014,NUTS,2010,DEB1,2,10.4
2015,NUTS,2010,DEB1,2,10.4
2016,NUTS,2010,DEB1,2,11.1
2017,NUTS,2010,DEB1,2,11.4
2018,NUTS,2010,DEB1,2,11.8
2019,NUTS,2010,DEB1,2,12.5
2020,NUTS,2010,DEB1,2,11.8
2011,NUTS,2010,DEB2,2,13.3
2012,NUTS,2010,DEB2,2,13.5
2013,NUTS,2010,DEB2,2,12.8
2014,NUTS,2010,DEB2,2,11.9
2015,NUTS,2010,DEB2,2,11.5
2016,NUTS,2010,DEB2,2,12.2
2017,NUTS,2010,DEB2,2,13.4
2018,NUTS,2010,DEB2,2,13.5
2019,NUTS,2010,DEB2,2,14.0
2020,NUTS,2010,DEB2,2,13.5
2011,NUTS,2010,DEB3,2,14.0
2012,NUTS,2010,DEB3,2,14.0
2013,NUTS,2010,DEB3,2,14.5
2014,NUTS,2010,DEB3,2,13.1
2015,NUTS,2010,DEB3,2,13.7
2016,NUTS,2010,DEB3,2,13.9
2017,NUTS,2010,DEB3,2,13.4
2018,NUTS,2010,DEB3,2,13.9
2019,NUTS,2010,DEB3,2,14.8
2020,NUTS,2010,DEB3,2,14.4
2011,NUTS,2010,DEC,1,11.2
2012,NUTS,2010,DEC,1,11.3
2013,NUTS,2010,DEC,1,11.0
2014,NUTS,2010,DEC,1,9.3
2015,NUTS,2010,DEC,1,9.9
2016,NUTS,2010,DEC,1,11.4
2017,NUTS,2010,DEC,1,11.5
2018,NUTS,2010,DEC,1,12.4
2019,NUTS,2010,DEC,1,13.4
2020,NUTS,2010,DEC,1,12.2
2011,NUTS,2010,DEC0,2,11.2
2012,NUTS,2010,DEC0,2,11.3
2013,NUTS,2010,DEC0,2,11.0
2014,NUTS,2010,DEC0,2,9.3
2015,NUTS,2010,DEC0,2,9.9
2016,NUTS,2010,DEC0,2,11.4
2017,NUTS,2010,DEC0,2,11.5
2018,NUTS,2010,DEC0,2,12.4
2019,NUTS,2010,DEC0,2,13.4
2020,NUTS,2010,DEC0,2,12.2
2011,NUTS,2010,DED,1,15.5
2012,NUTS,2010,DED,1,14.5
2013,NUTS,2010,DED,1,15.2
2014,NUTS,2010,DED,1,13.0
2015,NUTS,2010,DED,1,13.4
2016,NUTS,2010,DED,1,13.5
2017,NUTS,2010,DED,1,13.6
2018,NUTS,2010,DED,1,14.2
2019,NUTS,2010,DED,1,14.6
2020,NUTS,2010,DED,1,13.6
2011,NUTS,2010,DED2,2,16.7
2012,NUTS,2010,DED2,2,16.0
2013,NUTS,2010,DED2,2,16.0
2014,NUTS,2010,DED2,2,14.1
2015,NUTS,2010,DED2,2,14.6
2016,NUTS,2010,DED2,2,15.1
2017,NUTS,2010,DED2,2,15.2
2018,NUTS,2010,DED2,2,15.8
2019,NUTS,2010,DED2,2,15.7
2020,NUTS,2010,DED2,2,13.8
2011,NUTS,2010,DED4,2,13.8
2012,NUTS,2010,DED4,2,12.2
2013,NUTS,2010,DED4,2,13.5
2014,NUTS,2010,DED4,2,10.9
2015,NUTS,2010,DED4,2,11.2
2016,NUTS,2010,DED4,2,10.6
2017,NUTS,2010,DED4,2,11.0
2018,NUTS,2010,DED4,2,11.3
2019,NUTS,2010,DED4,2,11.6
2020,NUTS,2010,DED4,2,10.9
2011,NUTS,2010,DED5,2,16.3
2012,NUTS,2010,DED5,2,15.5
2013,NUTS,2010,DED5,2,16.3
2014,NUTS,2010,DED5,2,14.1
2015,NUTS,2010,DED5,2,14.9
2016,NUTS,2010,DED5,2,15.1
2017,NUTS,2010,DED5,2,14.9
2018,NUTS,2010,DED5,2,15.8
2019,NUTS,2010,DED5,2,16.8
2020,NUTS,2010,DED5,2,17.1
2011,NUTS,2010,DEE,1,12.1
2012,NUTS,2010,DEE,1,11.8
2013,NUTS,2010,DEE,1,12.1
2014,NUTS,2010,DEE,1,10.9
2015,NUTS,2010,DEE,1,11.7
2016,NUTS,2010,DEE,1,10.7
2017,NUTS,2010,DEE,1,10.2
2018,NUTS,2010,DEE,1,10.1
2019,NUTS,2010,DEE,1,10.7
2020,NUTS,2010,DEE,1,9.8
2011,NUTS,2010,DEE0,2,12.1
2012,NUTS,2010,DEE0,2,11.8
2013,NUTS,2010,DEE0,2,12.1
2014,NUTS,2010,DEE0,2,10.9
2015,NUTS,2010,DEE0,2,11.7
2016,NUTS,2010,DEE0,2,10.7
2017,NUTS,2010,DEE0,2,10.2
2018,NUTS,2010,DEE0,2,10.1
2019,NUTS,2010,DEE0,2,10.7
2020,NUTS,2010,DEE0,2,9.8
2011,NUTS,2010,DEF,1,11.8
2012,NUTS,2010,DEF,1,11.6
2013,NUTS,2010,DEF,1,11.6
2014,NUTS,2010,DEF,1,11.2
2015,NUTS,2010,DEF,1,11.5
2016,NUTS,2010,DEF,1,11.3
2017,NUTS,2010,DEF,1,11.3
2018,NUTS,2010,DEF,1,11.6
2019,NUTS,2010,DEF,1,11.8
2020,NUTS,2010,DEF,1,12.4
2011,NUTS,2010,DEF0,2,11.8
2012,NUTS,2010,DEF0,2,11.6
2013,NUTS,2010,DEF0,2,11.6
2014,NUTS,2010,DEF0,2,11.2
2015,NUTS,2010,DEF0,2,11.5
2016,NUTS,2010,DEF0,2,11.3
2017,NUTS,2010,DEF0,2,11.3
2018,NUTS,2010,DEF0,2,11.6
2019,NUTS,2010,DEF0,2,11.8
2020,NUTS,2010,DEF0,2,12.4
2011,NUTS,2010,DEG,1,15.3
2012,NUTS,2010,DEG,1,14.3
2013,NUTS,2010,DEG,1,14.1
2014,NUTS,2010,DEG,1,12.6
2015,NUTS,2010,DEG,1,12.1
2016,NUTS,2010,DEG,1,12.9
2017,NUTS,2010,DEG,1,13.0
2018,NUTS,2010,DEG,1,13.6
2019,NUTS,2010,DEG,1,13.8
2020,NUTS,2010,DEG,1,12.7
2011,NUTS,2010,DEG0,2,15.3
2012,NUTS,2010,DEG0,2,14.3
2013,NUTS,2010,DEG0,2,14.1
2014,NUTS,2010,DEG0,2,12.6
2015,NUTS,2010,DEG0,2,12.1
2016,NUTS,2010,DEG0,2,12.9
2017,NUTS,2010,DEG0,2,13.0
2018,NUTS,2010,DEG0,2,13.6
2019,NUTS,2010,DEG0,2,13.8
2020,NUTS,2010,DEG0,2,12.7
2011,NUTS,2010,DK,0,16.8
2012,NUTS,2010,DK,0,17.5
2013,NUTS,2010,DK,0,17.6
2014,NUTS,2010,DK,0,17.6
2015,NUTS,2010,DK,0,18.0
2016,NUTS,2010,DK,0,18.2
2017,NUTS,2010,DK,0,18.6
2018,NUTS,2010,DK,0,19.3
2019,NUTS,2010,DK,0,20.0
2020,NUTS,2010,DK,0,20.6
2011,NUTS,2010,DK0,1,16.8
2012,NUTS,2010,DK0,1,17.5
2013,NUTS,2010,DK0,1,17.6
2014,NUTS,2010,DK0,1,17.6
2015,NUTS,2010,DK0,1,18.0
2016,NUTS,2010,DK0,1,18.2
2017,NUTS,2010,DK0,1,18.6
2018,NUTS,2010,DK0,1,19.3
2019,NUTS,2010,DK0,1,20.0
2020,NUTS,2010,DK0,1,20.6
2011,NUTS,2010,DK01,2,23.4
2012,NUTS,2010,DK01,2,24.2
2013,NUTS,2010,DK01,2,23.9
2014,NUTS,2010,DK01,2,24.1
2015,NUTS,2010,DK01,2,24.3
2016,NUTS,2010,DK01,2,25.1
2017,NUTS,2010,DK01,2,25.0
2018,NUTS,2010,DK01,2,25.7
2019,NUTS,2010,DK01,2,27.1
2020,NUTS,2010,DK01,2,28.0
2011,NUTS,2010,DK02,2,13.2
2012,NUTS,2010,DK02,2,13.5
2013,NUTS,2010,DK02,2,14.2
2014,NUTS,2010,DK02,2,13.9
2015,NUTS,2010,DK02,2,13.9
2016,NUTS,2010,DK02,2,13.4
2017,NUTS,2010,DK02,2,14.1
2018,NUTS,2010,DK02,2,14.6
2019,NUTS,2010,DK02,2,14.7
2020,NUTS,2010,DK02,2,15.3
2011,NUTS,2010,DK03,2,13.1
2012,NUTS,2010,DK03,2,13.7
2013,NUTS,2010,DK03,2,13.8
2014,NUTS,2010,DK03,2,14.4
2015,NUTS,2010,DK03,2,14.4
2016,NUTS,2010,DK03,2,14.0
2017,NUTS,2010,DK03,2,15.0
2018,NUTS,2010,DK03,2,15.5
2019,NUTS,2010,DK03,2,15.6
2020,NUTS,2010,DK03,2,16.5
2011,NUTS,2010,DK04,2,15.4
2012,NUTS,2010,DK04,2,16.0
2013,NUTS,2010,DK04,2,16.5
2014,NUTS,2010,DK04,2,16.1
2015,NUTS,2010,DK04,2,16.7
2016,NUTS,2010,DK04,2,17.1
2017,NUTS,2010,DK04,2,17.3
2018,NUTS,2010,DK04,2,18.6
2019,NUTS,2010,DK04,2,19.6
2020,NUTS,2010,DK04,2,19.4
2011,NUTS,2010,DK05,2,13.1
2012,NUTS,2010,DK05,2,13.9
2013,NUTS,2010,DK05,2,13.3
2014,NUTS,2010,DK05,2,13.4
2015,NUTS,2010,DK05,2,14.2
2016,NUTS,2010,DK05,2,14.5
2017,NUTS,2010,DK05,2,15.0
2018,NUTS,2010,DK05,2,15.6
2019,NUTS,2010,DK05,2,15.1
2020,NUTS,2010,DK05,2,15.6
2011,NUTS,2010,EA19,2,11.6
2012,NUTS,2010,EA19,2,11.8
2013,NUTS,2010,EA19,2,12.1
2014,NUTS,2010,EA19,2,12.1
2015,NUTS,2010,EA19,2,12.5
2016,NUTS,2010,EA19,2,12.9
2017,NUTS,2010,EA19,2,13.2
2018,NUTS,2010,EA19,2,13.7
2019,NUTS,2010,EA19,2,14.2
2020,NUTS,2010,EA19,2,14.4
2011,NUTS,2010,EE,0,13.2
2012,NUTS,2010,EE,0,14.0
2013,NUTS,2010,EE,0,13.8
2014,NUTS,2010,EE,0,14.1
2015,NUTS,2010,EE,0,14.1
2016,NUTS,2010,EE,0,14.6
2017,NUTS,2010,EE,0,15.7
2018,NUTS,2010,EE,0,15.9
2019,NUTS,2010,EE,0,16.4
2020,NUTS,2010,EE,0,16.5
2011,NUTS,2010,EE0,1,13.2
2012,NUTS,2010,EE0,1,14.0
2013,NUTS,2010,EE0,1,13.8
2014,NUTS,2010,EE0,1,14.1
2015,NUTS,2010,EE0,1,14.1
2016,NUTS,2010,EE0,1,14.6
2017,NUTS,2010,EE0,1,15.7
2018,NUTS,2010,EE0,1,15.9
2019,NUTS,2010,EE0,1,16.4
2020,NUTS,2010,EE0,1,16.5
2011,NUTS,2010,EE00,2,13.2
2012,NUTS,2010,EE00,2,14.0
2013,NUTS,2010,EE00,2,13.8
2014,NUTS,2010,EE00,2,14.1
2015,NUTS,2010,EE00,2,14.1
2016,NUTS,2010,EE00,2,14.6
2017,NUTS,2010,EE00,2,15.7
2018,NUTS,2010,EE00,2,15.9
2019,NUTS,2010,EE00,2,16.4
2020,NUTS,2010,EE00,2,16.5
2011,NUTS,2010,EL,0,10.0
2012,NUTS,2010,EL,0,9.6
2013,NUTS,2010,EL,0,9.6
2014,NUTS,2010,EL,0,9.6
2015,NUTS,2010,EL,0,10.0
2016,NUTS,2010,EL,0,10.4
2017,NUTS,2010,EL,0,10.6
2018,NUTS,2010,EL,0,11.0
2019,NUTS,2010,EL,0,11.2
2020,NUTS,2010,EL,0,11.8
2011,NUTS,2010,EL3,1,13.2
2012,NUTS,2010,EL3,1,12.9
2013,NUTS,2010,EL3,1,13.1
2014,NUTS,2010,EL3,1,13.2
2015,NUTS,2010,EL3,1,13.7
2016,NUTS,2010,EL3,1,14.6
2017,NUTS,2010,EL3,1,14.3
2018,NUTS,2010,EL3,1,14.5
2019,NUTS,2010,EL3,1,15.0
2020,NUTS,2010,EL3,1,16.0
2011,NUTS,2010,EL30,2,13.2
2012,NUTS,2010,EL30,2,12.9
2013,NUTS,2010,EL30,2,13.1
2014,NUTS,2010,EL30,2,13.2
2015,NUTS,2010,EL30,2,13.7
2016,NUTS,2010,EL30,2,14.6
2017,NUTS,2010,EL30,2,14.3
2018,NUTS,2010,EL30,2,14.5
2019,NUTS,2010,EL30,2,15.0
2020,NUTS,2010,EL30,2,16.0
2011,NUTS,2010,EL4,1,7.1
2012,NUTS,2010,EL4,1,7.4
2013,NUTS,2010,EL4,1,7.2
2014,NUTS,2010,EL4,1,7.2
2015,NUTS,2010,EL4,1,7.2
2016,NUTS,2010,EL4,1,7.2
2017,NUTS,2010,EL4,1,8.2
2018,NUTS,2010,EL4,1,8.2
2019,NUTS,2010,EL4,1,8.6
2020,NUTS,2010,EL4,1,9.2
2011,NUTS,2010,EL41,2,7.1
2012,NUTS,2010,EL41,2,7.5
2013,NUTS,2010,EL41,2,9.1
2014,NUTS,2010,EL41,2,8.4
2015,NUTS,2010,EL41,2,7.0
2016,NUTS,2010,EL41,2,6.9
2017,NUTS,2010,EL41,2,7.0
2018,NUTS,2010,EL41,2,7.5
2019,NUTS,2010,EL41,2,9.6
2020,NUTS,2010,EL41,2,10.7
2011,NUTS,2010,EL42,2,6.4
2012,NUTS,2010,EL42,2,7.6
2013,NUTS,2010,EL42,2,6.5
2014,NUTS,2010,EL42,2,6.5
2015,NUTS,2010,EL42,2,7.3
2016,NUTS,2010,EL42,2,6.1
2017,NUTS,2010,EL42,2,7.5
2018,NUTS,2010,EL42,2,7.5
2019,NUTS,2010,EL42,2,7.1
2020,NUTS,2010,EL42,2,7.3
2011,NUTS,2010,EL43,2,7.5
2012,NUTS,2010,EL43,2,7.2
2013,NUTS,2010,EL43,2,7.0
2014,NUTS,2010,EL43,2,7.2
2015,NUTS,2010,EL43,2,7.1
2016,NUTS,2010,EL43,2,8.0
2017,NUTS,2010,EL43,2,8.9
2018,NUTS,2010,EL43,2,8.8
2019,NUTS,2010,EL43,2,9.1
2020,NUTS,2010,EL43,2,9.7
2011,NUTS,2010,EL5,1,8.8
