year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_p_mact_cte
2012,NUTS,2010,CH03,2,29.319
2011,NUTS,2010,CH04,2,49.635
2012,NUTS,2010,CH04,2,35.706
2011,NUTS,2010,CH05,2,7.449
2012,NUTS,2010,CH05,2,7.825
2011,NUTS,2010,CH06,2,20.991
2012,NUTS,2010,CH06,2,8.646
2011,NUTS,2010,CH07,2,1.833
2012,NUTS,2010,CH07,2,17.016
2011,NUTS,2010,CZ,0,1.828
2012,NUTS,2010,CZ,0,0.729
2011,NUTS,2010,CZ0,1,1.733
2012,NUTS,2010,CZ0,1,0.729
2011,NUTS,2010,CZ01,2,2.049
2011,NUTS,2010,CZ02,2,3.81
2011,NUTS,2010,CZ04,2,7.625
2012,NUTS,2010,CZ04,2,2.411
2012,NUTS,2010,CZ06,2,3.001
2011,NUTS,2010,CZ08,2,1.677
2011,NUTS,2010,DE,0,24.419
2012,NUTS,2010,DE,0,19.868
2011,NUTS,2010,DE1,1,41.241
2012,NUTS,2010,DE1,1,35.918
2011,NUTS,2010,DE11,2,54.119
2012,NUTS,2010,DE11,2,49.1
2011,NUTS,2010,DE12,2,38.401
2012,NUTS,2010,DE12,2,42.033
2011,NUTS,2010,DE13,2,22.292
2012,NUTS,2010,DE13,2,13.175
2011,NUTS,2010,DE14,2,40.796
2012,NUTS,2010,DE14,2,26.262
2011,NUTS,2010,DE2,1,53.331
2012,NUTS,2010,DE2,1,44.615
2011,NUTS,2010,DE21,2,85.757
2012,NUTS,2010,DE21,2,71.864
2011,NUTS,2010,DE22,2,16.711
2012,NUTS,2010,DE22,2,7.037
2011,NUTS,2010,DE23,2,30.688
2012,NUTS,2010,DE23,2,25.769
2011,NUTS,2010,DE24,2,27.749
2012,NUTS,2010,DE24,2,21.837
2011,NUTS,2010,DE25,2,99.856
2012,NUTS,2010,DE25,2,82.601
2011,NUTS,2010,DE26,2,3.669
2012,NUTS,2010,DE26,2,9.357
2011,NUTS,2010,DE27,2,17.44
2012,NUTS,2010,DE27,2,15.027
2011,NUTS,2010,DE3,1,34.303
2012,NUTS,2010,DE3,1,25.261
2011,NUTS,2010,DE30,2,34.303
2012,NUTS,2010,DE30,2,25.261
2011,NUTS,2010,DE4,1,11.831
2012,NUTS,2010,DE4,1,7.993
2011,NUTS,2010,DE40,2,11.831
2012,NUTS,2010,DE40,2,7.993
2011,NUTS,2010,DE5,1,17.086
2012,NUTS,2010,DE5,1,1.872
2011,NUTS,2010,DE50,2,17.086
2012,NUTS,2010,DE50,2,1.872
2011,NUTS,2010,DE6,1,14.428
2012,NUTS,2010,DE6,1,14.06
2011,NUTS,2010,DE60,2,14.428
2012,NUTS,2010,DE60,2,14.06
2011,NUTS,2010,DE7,1,23.374
2012,NUTS,2010,DE7,1,19.1
2011,NUTS,2010,DE71,2,34.294
2012,NUTS,2010,DE71,2,25.433
2011,NUTS,2010,DE72,2,7.76
2012,NUTS,2010,DE72,2,14.835
2011,NUTS,2010,DE73,2,2.031
2012,NUTS,2010,DE73,2,2.431
2011,NUTS,2010,DE8,1,1.18
2012,NUTS,2010,DE8,1,1.439
2011,NUTS,2010,DE80,2,1.18
2012,NUTS,2010,DE80,2,1.439
2011,NUTS,2010,DE9,1,14.226
2012,NUTS,2010,DE9,1,11.108
2011,NUTS,2010,DE91,2,12.598
2012,NUTS,2010,DE91,2,10.795
2011,NUTS,2010,DE92,2,34.438
2012,NUTS,2010,DE92,2,27.583
2011,NUTS,2010,DE93,2,6.028
2012,NUTS,2010,DE93,2,5.382
2011,NUTS,2010,DE94,2,3.613
2012,NUTS,2010,DE94,2,0.972
2011,NUTS,2010,DEA,1,16.022
2012,NUTS,2010,DEA,1,12.032
2011,NUTS,2010,DEA1,2,8.512
2012,NUTS,2010,DEA1,2,8.029
2011,NUTS,2010,DEA2,2,25.446
2012,NUTS,2010,DEA2,2,15.015
2011,NUTS,2010,DEA3,2,10.226
2012,NUTS,2010,DEA3,2,5.455
2011,NUTS,2010,DEA4,2,9.125
2012,NUTS,2010,DEA4,2,15.011
2011,NUTS,2010,DEA5,2,23.54
2012,NUTS,2010,DEA5,2,17.21
2011,NUTS,2010,DEB,1,10.543
2012,NUTS,2010,DEB,1,1.82
2011,NUTS,2010,DEB1,2,9.4
2012,NUTS,2010,DEB1,2,1.714
2011,NUTS,2010,DEB3,2,14.212
2012,NUTS,2010,DEB3,2,2.378
2011,NUTS,2010,DEC,1,2.743
2012,NUTS,2010,DEC,1,3.324
2011,NUTS,2010,DED,1,9.444
2012,NUTS,2010,DED,1,6.927
2011,NUTS,2010,DED2,2,20.467
2012,NUTS,2010,DED2,2,6.75
2011,NUTS,2010,DED4,2,3.295
2012,NUTS,2010,DED4,2,3.042
2011,NUTS,2010,DED5,2,0.964
2012,NUTS,2010,DED5,2,12.787
2011,NUTS,2010,DEE,1,0.901
2012,NUTS,2010,DEE,1,1.29
2011,NUTS,2010,DEE0,2,0.901
2012,NUTS,2010,DEE0,2,1.29
2011,NUTS,2010,DEF,1,5.561
2012,NUTS,2010,DEF,1,4.643
2011,NUTS,2010,DEF0,2,5.561
2012,NUTS,2010,DEF0,2,4.643
2011,NUTS,2010,DEG,1,7.634
2012,NUTS,2010,DEG,1,12.194
2011,NUTS,2010,DEG0,2,7.634
2012,NUTS,2010,DEG0,2,12.194
2011,NUTS,2010,DK,0,38.09
2012,NUTS,2010,DK,0,27.881
2011,NUTS,2010,DK0,1,38.09
2012,NUTS,2010,DK0,1,27.795
2011,NUTS,2010,DK01,2,80.894
2012,NUTS,2010,DK01,2,59.509
2011,NUTS,2010,DK02,2,8.393
2012,NUTS,2010,DK02,2,25.257
2011,NUTS,2010,DK03,2,2.511
2011,NUTS,2010,DK04,2,25.181
2012,NUTS,2010,DK04,2,10.835
2011,NUTS,2010,DK05,2,45.94
2012,NUTS,2010,DK05,2,24.881
2011,NUTS,2010,EE,0,6.788
2012,NUTS,2010,EE,0,3.907
2011,NUTS,2010,EE0,1,6.788
2012,NUTS,2010,EE0,1,3.907
2011,NUTS,2010,EE00,2,6.788
2012,NUTS,2010,EE00,2,3.907
2011,NUTS,2010,EL,0,0.608
2012,NUTS,2010,EL,0,0.961
2011,NUTS,2010,EL3,1,1.597
2012,NUTS,2010,EL3,1,0.911
2011,NUTS,2010,EL30,2,1.597
2012,NUTS,2010,EL30,2,0.911
2011,NUTS,2010,ES,0,4.45
2012,NUTS,2010,ES,0,3.485
2011,NUTS,2010,ES1,1,3.351
2011,NUTS,2010,ES11,2,5.317
2011,NUTS,2010,ES2,1,2.905
2012,NUTS,2010,ES2,1,1.532
2011,NUTS,2010,ES21,2,4.125
2012,NUTS,2010,ES21,2,3.178
2011,NUTS,2010,ES22,2,3.119
2011,NUTS,2010,ES24,2,1.507
2011,NUTS,2010,ES3,1,20.016
2012,NUTS,2010,ES3,1,15.786
2011,NUTS,2010,ES30,2,20.016
2012,NUTS,2010,ES30,2,15.786
2011,NUTS,2010,ES4,1,0.368
2012,NUTS,2010,ES4,1,0.121
2012,NUTS,2010,ES42,2,0.324
2011,NUTS,2010,ES43,2,2.005
2011,NUTS,2010,ES5,1,2.503
2012,NUTS,2010,ES5,1,3.156
2011,NUTS,2010,ES51,2,2.753
2012,NUTS,2010,ES51,2,4.491
2011,NUTS,2010,ES52,2,2.707
2012,NUTS,2010,ES52,2,1.627
2012,NUTS,2010,ES53,2,0.814
2011,NUTS,2010,ES6,1,0.621
2012,NUTS,2010,ES6,1,0.258
2011,NUTS,2010,ES61,2,0.582
2012,NUTS,2010,ES61,2,0.185
2011,NUTS,2010,ES62,2,0.896
2012,NUTS,2010,ES62,2,0.686
2011,NUTS,2010,FI,0,84.197
2012,NUTS,2010,FI,0,85.298
2011,NUTS,2010,FI1,1,83.728
2012,NUTS,2010,FI1,1,85.107
2011,NUTS,2010,FI19,2,83.213
2012,NUTS,2010,FI19,2,83.261
2011,NUTS,2010,FI1B,2,126.303
2012,NUTS,2010,FI1B,2,128.479
2011,NUTS,2010,FI1C,2,32.4
2012,NUTS,2010,FI1C,2,33.643
2011,NUTS,2010,FI1D,2,72.519
2012,NUTS,2010,FI1D,2,73.63
2011,NUTS,2010,FI2,1,87.5
2012,NUTS,2010,FI2,1,53.205
2011,NUTS,2010,FI20,2,87.5
2012,NUTS,2010,FI20,2,53.205
2011,NUTS,2010,FR,0,24.731
2012,NUTS,2010,FR,0,21.674
2011,NUTS,2010,FR1,1,57.062
2012,NUTS,2010,FR1,1,52.026
2011,NUTS,2010,FR10,2,57.062
2012,NUTS,2010,FR10,2,52.026
2011,NUTS,2010,FR2,1,4.873
2012,NUTS,2010,FR2,1,2.222
2011,NUTS,2010,FR21,2,7.446
2012,NUTS,2010,FR21,2,0.571
2011,NUTS,2010,FR22,2,4.619
2012,NUTS,2010,FR22,2,1.185
2011,NUTS,2010,FR23,2,0.549
2012,NUTS,2010,FR23,2,0.613
2011,NUTS,2010,FR24,2,4.108
2012,NUTS,2010,FR24,2,1.75
2011,NUTS,2010,FR25,2,13.82
2012,NUTS,2010,FR25,2,10.128
2011,NUTS,2010,FR26,2,1.496
2012,NUTS,2010,FR26,2,0.279
2011,NUTS,2010,FR3,1,2.252
2012,NUTS,2010,FR3,1,0.863
2011,NUTS,2010,FR30,2,2.252
2012,NUTS,2010,FR30,2,0.863
2011,NUTS,2010,FR4,1,3.55
2012,NUTS,2010,FR4,1,3.886
2012,NUTS,2010,FR41,2,2.156
2011,NUTS,2010,FR42,2,9.704
2012,NUTS,2010,FR42,2,6.542
2012,NUTS,2010,FR43,2,2.828
2011,NUTS,2010,FR5,1,46.094
2012,NUTS,2010,FR5,1,38.545
2011,NUTS,2010,FR51,2,3.313
2012,NUTS,2010,FR51,2,2.916
2011,NUTS,2010,FR52,2,121.139
2012,NUTS,2010,FR52,2,101.293
2012,NUTS,2010,FR53,2,0.636
2011,NUTS,2010,FR6,1,8.521
2012,NUTS,2010,FR6,1,5.707
2011,NUTS,2010,FR61,2,2.656
2012,NUTS,2010,FR61,2,1.609
2011,NUTS,2010,FR62,2,16.854
2012,NUTS,2010,FR62,2,11.518
2011,NUTS,2010,FR7,1,22.636
2012,NUTS,2010,FR7,1,14.19
2011,NUTS,2010,FR71,2,26.984
2012,NUTS,2010,FR71,2,17.105
2011,NUTS,2010,FR72,2,1.685
2011,NUTS,2010,FR8,1,22.778
2012,NUTS,2010,FR8,1,27.567
2011,NUTS,2010,FR81,2,4.561
2012,NUTS,2010,FR81,2,2.745
2011,NUTS,2010,FR82,2,33.083
2012,NUTS,2010,FR82,2,41.188
2012,NUTS,2010,HR,0,0.268
2012,NUTS,2010,HR0,1,0.268
2012,NUTS,2010,HR04,2,0.393
2011,NUTS,2010,HU,0,9.756
2012,NUTS,2010,HU,0,5.883
2011,NUTS,2010,HU1,1,26.532
2012,NUTS,2010,HU1,1,14.778
2011,NUTS,2010,HU10,2,26.532
2012,NUTS,2010,HU10,2,14.778
2011,NUTS,2010,HU2,1,1.532
2012,NUTS,2010,HU2,1,1.083
2011,NUTS,2010,HU21,2,2.209
2012,NUTS,2010,HU21,2,0.674
2011,NUTS,2010,HU22,2,1.517
2012,NUTS,2010,HU22,2,0.734
2011,NUTS,2010,HU23,2,0.667
2012,NUTS,2010,HU23,2,2.016
2011,NUTS,2010,HU3,1,2.625
2012,NUTS,2010,HU3,1,2.279
2011,NUTS,2010,HU32,2,0.551
2012,NUTS,2010,HU32,2,0.538
2011,NUTS,2010,HU33,2,7.276
2012,NUTS,2010,HU33,2,6.236
2011,NUTS,2010,IE,0,29.61
2012,NUTS,2010,IE,0,11.468
2011,NUTS,2010,IE0,1,27.288
2012,NUTS,2010,IE0,1,10.618
2011,NUTS,2010,IE01,2,16.463
2012,NUTS,2010,IE01,2,6.526
2011,NUTS,2010,IE02,2,31.036
2012,NUTS,2010,IE02,2,12.011
2011,NUTS,2010,IT,0,5.664
2012,NUTS,2010,IT,0,4.391
2011,NUTS,2010,ITC,1,9.769
2012,NUTS,2010,ITC,1,7.219
2011,NUTS,2010,ITC1,2,9.928
2012,NUTS,2010,ITC1,2,4.974
2011,NUTS,2010,ITC2,2,5.565
2011,NUTS,2010,ITC3,2,22.548
2012,NUTS,2010,ITC3,2,27.316
2011,NUTS,2010,ITC4,2,7.809
2012,NUTS,2010,ITC4,2,5.304
2011,NUTS,2010,ITF,1,1.869
2012,NUTS,2010,ITF,1,1.171
2011,NUTS,2010,ITF1,2,0.312
2011,NUTS,2010,ITF2,2,1.46
2011,NUTS,2010,ITF3,2,4.168
2012,NUTS,2010,ITF3,2,2.306
2011,NUTS,2010,ITF4,2,0.232
2012,NUTS,2010,ITF4,2,0.681
2011,NUTS,2010,ITF6,2,0.898
2012,NUTS,2010,ITF6,2,0.482
2011,NUTS,2010,ITG,1,0.352
2011,NUTS,2010,ITG1,2,0.495
2011,NUTS,2010,ITH,1,4.235
2012,NUTS,2010,ITH,1,3.729
2011,NUTS,2010,ITH1,2,4.057
2012,NUTS,2010,ITH1,2,1.698
2011,NUTS,2010,ITH2,2,6.292
2012,NUTS,2010,ITH2,2,0.578
2011,NUTS,2010,ITH3,2,3.622
2012,NUTS,2010,ITH3,2,2.192
2011,NUTS,2010,ITH4,2,1.878
2012,NUTS,2010,ITH4,2,3.722
2011,NUTS,2010,ITH5,2,5.296
2012,NUTS,2010,ITH5,2,6.016
2011,NUTS,2010,ITI,1,6.954
2012,NUTS,2010,ITI,1,5.578
2011,NUTS,2010,ITI1,2,9.797
2012,NUTS,2010,ITI1,2,6.549
2011,NUTS,2010,ITI2,2,1.755
2011,NUTS,2010,ITI3,2,5.606
2012,NUTS,2010,ITI3,2,1.431
2011,NUTS,2010,ITI4,2,6.223
2012,NUTS,2010,ITI4,2,6.971
2011,NUTS,2010,LT,0,1.35
2012,NUTS,2010,LT,0,0.679
2011,NUTS,2010,LT0,1,1.35
2012,NUTS,2010,LT0,1,0.679
2011,NUTS,2010,LT00,2,1.35
2012,NUTS,2010,LT00,2,0.679
2011,NUTS,2010,LU,0,8.464
2012,NUTS,2010,LU,0,6.027
2011,NUTS,2010,LU0,1,8.464
2012,NUTS,2010,LU0,1,6.027
2011,NUTS,2010,LU00,2,8.464
2012,NUTS,2010,LU00,2,6.027
2011,NUTS,2010,LV,0,0.973
2012,NUTS,2010,LV,0,1.94
2011,NUTS,2010,LV0,1,0.973
2012,NUTS,2010,LV0,1,1.94
2011,NUTS,2010,LV00,2,0.973
2012,NUTS,2010,LV00,2,1.94
2011,NUTS,2010,NL,0,25.731
2012,NUTS,2010,NL,0,17.354
2011,NUTS,2010,NL1,1,6.149
2012,NUTS,2010,NL1,1,2.27
2011,NUTS,2010,NL11,2,11.115
2012,NUTS,2010,NL11,2,6.642
2011,NUTS,2010,NL12,2,6.124
2011,NUTS,2010,NL2,1,2.263
2012,NUTS,2010,NL2,1,3.354
2011,NUTS,2010,NL21,2,5.298
2012,NUTS,2010,NL21,2,4.654
2011,NUTS,2010,NL22,2,0.997
2012,NUTS,2010,NL22,2,3.309
2011,NUTS,2010,NL3,1,13.556
2012,NUTS,2010,NL3,1,8.937
2011,NUTS,2010,NL31,2,3.239
2012,NUTS,2010,NL31,2,7.338
2011,NUTS,2010,NL32,2,14.466
2012,NUTS,2010,NL32,2,12.148
2011,NUTS,2010,NL33,2,17.429
2012,NUTS,2010,NL33,2,7.927
2011,NUTS,2010,NL34,2,5.313
2011,NUTS,2010,NL4,1,84.676
2012,NUTS,2010,NL4,1,56.47
2011,NUTS,2010,NL41,2,117.039
2012,NUTS,2010,NL41,2,75.097
2011,NUTS,2010,NL42,2,9.886
2012,NUTS,2010,NL42,2,13.454
2011,NUTS,2010,NO,0,11.215
2012,NUTS,2010,NO,0,11.979
2011,NUTS,2010,NO0,1,10.833
2012,NUTS,2010,NO0,1,11.852
2011,NUTS,2010,NO01,2,24.442
2012,NUTS,2010,NO01,2,28.772
2011,NUTS,2010,NO03,2,1.032
2012,NUTS,2010,NO03,2,6.915
2012,NUTS,2010,NO04,2,8.068
2011,NUTS,2010,NO05,2,4.401
2011,NUTS,2010,NO06,2,45.167
2012,NUTS,2010,NO06,2,26.397
2011,NUTS,2010,PL,0,1.329
2012,NUTS,2010,PL,0,1.328
2011,NUTS,2010,PL1,1,2.415
2012,NUTS,2010,PL1,1,1.166
2011,NUTS,2010,PL11,2,0.981
2011,NUTS,2010,PL12,2,3.16
2012,NUTS,2010,PL12,2,1.754
2011,NUTS,2010,PL2,1,0.91
2012,NUTS,2010,PL2,1,1.125
2011,NUTS,2010,PL21,2,1.195
2012,NUTS,2010,PL21,2,2.071
2011,NUTS,2010,PL22,2,0.716
2012,NUTS,2010,PL22,2,0.475
2011,NUTS,2010,PL3,1,0.464
2012,NUTS,2010,PL3,1,0.316
2011,NUTS,2010,PL31,2,0.62
2012,NUTS,2010,PL31,2,0.945
2011,NUTS,2010,PL32,2,0.882
2011,NUTS,2010,PL4,1,2.571
2012,NUTS,2010,PL4,1,3.073
2011,NUTS,2010,PL41,2,0.751
2012,NUTS,2010,PL41,2,2.719
2012,NUTS,2010,PL42,2,0.524
2011,NUTS,2010,PL43,2,11.848
2012,NUTS,2010,PL43,2,7.851
2011,NUTS,2010,PL5,1,1.011
2012,NUTS,2010,PL5,1,2.434
2011,NUTS,2010,PL51,2,1.337
2012,NUTS,2010,PL51,2,2.41
2012,NUTS,2010,PL52,2,2.509
2012,NUTS,2010,PL6,1,0.414
2012,NUTS,2010,PL61,2,1.114
2011,NUTS,2010,PT,0,1.997
2012,NUTS,2010,PT,0,0.836
2011,NUTS,2010,PT1,1,1.903
2012,NUTS,2010,PT1,1,0.813
2011,NUTS,2010,PT11,2,0.998
2012,NUTS,2010,PT11,2,0.871
2011,NUTS,2010,PT16,2,2.73
2012,NUTS,2010,PT16,2,0.829
2011,NUTS,2010,PT17,2,3.226
2012,NUTS,2010,PT17,2,1.065
2011,NUTS,2010,PT3,1,7.331
2011,NUTS,2010,PT30,2,7.331
2011,NUTS,2010,RO,0,0.254
2012,NUTS,2010,RO,0,0.398
2011,NUTS,2010,RO3,1,0.396
2012,NUTS,2010,RO3,1,1.439
2012,NUTS,2010,RO31,2,0.233
2011,NUTS,2010,RO32,2,0.879
2012,NUTS,2010,RO32,2,2.937
2011,NUTS,2010,RO4,1,0.549
2011,NUTS,2010,RO42,2,1.239
2011,NUTS,2010,SE,0,97.158
2012,NUTS,2010,SE,0,86.719
2011,NUTS,2010,SE1,1,149.165
2012,NUTS,2010,SE1,1,135.665
2011,NUTS,2010,SE11,2,214.051
2012,NUTS,2010,SE11,2,193.775
2011,NUTS,2010,SE12,2,55.373
2012,NUTS,2010,SE12,2,51.236
2011,NUTS,2010,SE2,1,76.672
2012,NUTS,2010,SE2,1,69.707
2011,NUTS,2010,SE21,2,6.096
2012,NUTS,2010,SE21,2,3.677
2011,NUTS,2010,SE22,2,178.586
2012,NUTS,2010,SE22,2,174.939
2011,NUTS,2010,SE23,2,32.388
2012,NUTS,2010,SE23,2,21.927
2011,NUTS,2010,SE3,1,25.518
2012,NUTS,2010,SE3,1,11.695
2011,NUTS,2010,SE31,2,13.679
2012,NUTS,2010,SE31,2,3.522
2011,NUTS,2010,SE32,2,6.624
2012,NUTS,2010,SE32,2,5.832
2011,NUTS,2010,SE33,2,58.134
2012,NUTS,2010,SE33,2,29.184
2011,NUTS,2010,SI,0,5.886
2012,NUTS,2010,SI,0,1.48
2011,NUTS,2010,SI0,1,5.886
2012,NUTS,2010,SI0,1,1.48
2011,NUTS,2010,SI01,2,2.187
2011,NUTS,2010,SI02,2,9.973
2011,NUTS,2010,SK,0,0.063
2012,NUTS,2010,SK,0,0.074
2011,NUTS,2010,SK0,1,0.063
2012,NUTS,2010,SK0,1,0.074
2011,NUTS,2010,SK02,2,0.183
2012,NUTS,2010,SK04,2,0.264
2011,NUTS,2010,TR,0,0.637
2012,NUTS,2010,TR,0,0.487
2011,NUTS,2010,TR1,1,1.582
2012,NUTS,2010,TR1,1,1.624
2011,NUTS,2010,TR10,2,1.582
2012,NUTS,2010,TR10,2,1.624
2011,NUTS,2010,TR3,1,1.274
2012,NUTS,2010,TR3,1,0.49
2011,NUTS,2010,TR33,2,4.48
2012,NUTS,2010,TR33,2,1.715
2012,NUTS,2010,TR4,1,0.181
2012,NUTS,2010,TR41,2,0.36
2011,NUTS,2010,TR5,1,1.752
2012,NUTS,2010,TR5,1,0.99
2011,NUTS,2010,TR51,2,2.567
2012,NUTS,2010,TR51,2,1.431
2011,NUTS,2010,UK,0,12.723
2012,NUTS,2010,UK,0,10.605
2011,NUTS,2010,UKC,1,0.398
2012,NUTS,2010,UKC,1,4.351
2011,NUTS,2010,UKC1,2,0.885
2012,NUTS,2010,UKC1,2,1.804
2012,NUTS,2010,UKC2,2,6.341
2011,NUTS,2010,UKD,1,4.121
2012,NUTS,2010,UKD,1,2.305
2011,NUTS,2010,UKD3,2,3.663
2012,NUTS,2010,UKD3,2,2.449
2011,NUTS,2010,UKD4,2,9.428
2012,NUTS,2010,UKD4,2,5.113
2011,NUTS,2010,UKD6,2,6.012
2012,NUTS,2010,UKD6,2,1.899
2012,NUTS,2010,UKD7,2,0.342
2011,NUTS,2010,UKE,1,8.559
2012,NUTS,2010,UKE,1,7.567
2011,NUTS,2010,UKE1,2,0.96
2011,NUTS,2010,UKE2,2,12.171
2012,NUTS,2010,UKE2,2,11.644
2011,NUTS,2010,UKE4,2,15.705
2012,NUTS,2010,UKE4,2,13.758
2011,NUTS,2010,UKF,1,2.342
2012,NUTS,2010,UKF,1,2.443
2011,NUTS,2010,UKF1,2,3.772
2012,NUTS,2010,UKF1,2,4.158
2011,NUTS,2010,UKF2,2,1.648
2012,NUTS,2010,UKF2,2,1.343
2011,NUTS,2010,UKG,1,2.44
2012,NUTS,2010,UKG,1,2.165
2011,NUTS,2010,UKG1,2,4.565
2012,NUTS,2010,UKG1,2,1.469
2011,NUTS,2010,UKG2,2,0.628
2012,NUTS,2010,UKG2,2,1.262
2011,NUTS,2010,UKG3,2,2.491
2012,NUTS,2010,UKG3,2,3.082
2011,NUTS,2010,UKH,1,16.135
2012,NUTS,2010,UKH,1,15.813
2011,NUTS,2010,UKH1,2,19.781
2012,NUTS,2010,UKH1,2,20.325
2011,NUTS,2010,UKH2,2,8.956
2012,NUTS,2010,UKH2,2,18.488
2011,NUTS,2010,UKH3,2,18.355
2012,NUTS,2010,UKH3,2,6.735
2011,NUTS,2010,UKI,1,18.531
2012,NUTS,2010,UKI,1,15.546
2011,NUTS,2010,UKI1,2,33.696
2011,NUTS,2010,UKI2,2,7.615
2011,NUTS,2010,UKJ,1,28.627
2012,NUTS,2010,UKJ,1,23.814
2011,NUTS,2010,UKJ1,2,39.33
2012,NUTS,2010,UKJ1,2,23.168
2011,NUTS,2010,UKJ2,2,38.576
2012,NUTS,2010,UKJ2,2,39.088
2011,NUTS,2010,UKJ3,2,20.563
2012,NUTS,2010,UKJ3,2,17.552
2011,NUTS,2010,UKJ4,2,6.108
2012,NUTS,2010,UKJ4,2,6.544
2011,NUTS,2010,UKK,1,20.301
2012,NUTS,2010,UKK,1,14.592
2011,NUTS,2010,UKK1,2,39.701
2012,NUTS,2010,UKK1,2,28.301
2011,NUTS,2010,UKK2,2,7.933
2012,NUTS,2010,UKK2,2,3.487
2011,NUTS,2010,UKK3,2,0.689
2011,NUTS,2010,UKK4,2,0.876
2012,NUTS,2010,UKK4,2,3.517
2011,NUTS,2010,UKL,1,4.854
2012,NUTS,2010,UKL,1,2.453
2011,NUTS,2010,UKL1,2,1.308
2012,NUTS,2010,UKL1,2,1.4
2011,NUTS,2010,UKL2,2,10.601
2012,NUTS,2010,UKL2,2,4.179
2011,NUTS,2010,UKM,1,5.577
2012,NUTS,2010,UKM,1,4.486
2011,NUTS,2010,UKM2,2,8.204
2012,NUTS,2010,UKM2,2,4.433
2011,NUTS,2010,UKM3,2,4.711
2012,NUTS,2010,UKM3,2,1.833
2011,NUTS,2010,UKM5,2,3.823
2012,NUTS,2010,UKM5,2,18.362
2012,NUTS,2010,UKM6,2,1.688
2011,NUTS,2010,UKN,1,8.142
2012,NUTS,2010,UKN,1,4.634
2011,NUTS,2010,UKN0,2,8.142
2012,NUTS,2010,UKN0,2,4.634
