year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_pc_act_hc_rse_f
2017,NUTS,2010,BG3,1,0.3742
2018,NUTS,2010,BG3,1,0.4065
2019,NUTS,2010,BG3,1,0.421
2011,NUTS,2010,BG31,2,0.0715
2012,NUTS,2010,BG31,2,0.1483
2013,NUTS,2010,BG31,2,0.1396
2014,NUTS,2010,BG31,2,0.1157
2015,NUTS,2010,BG31,2,0.1923
2016,NUTS,2010,BG31,2,0.2269
2017,NUTS,2010,BG31,2,0.2282
2018,NUTS,2010,BG31,2,0.2388
2019,NUTS,2010,BG31,2,0.2524
2011,NUTS,2010,BG32,2,0.3045
2012,NUTS,2010,BG32,2,0.3138
2013,NUTS,2010,BG32,2,0.3491
2014,NUTS,2010,BG32,2,0.4239
2015,NUTS,2010,BG32,2,0.5018
2016,NUTS,2010,BG32,2,0.3675
2017,NUTS,2010,BG32,2,0.4267
2018,NUTS,2010,BG32,2,0.4809
2019,NUTS,2010,BG32,2,0.4179
2011,NUTS,2010,BG33,2,0.3281
2012,NUTS,2010,BG33,2,0.3773
2013,NUTS,2010,BG33,2,0.431
2014,NUTS,2010,BG33,2,0.5897
2015,NUTS,2010,BG33,2,0.6255
2016,NUTS,2010,BG33,2,0.5816
2017,NUTS,2010,BG33,2,0.571
2018,NUTS,2010,BG33,2,0.6404
2019,NUTS,2010,BG33,2,0.6729
2011,NUTS,2010,BG34,2,0.186
2012,NUTS,2010,BG34,2,0.2075
2013,NUTS,2010,BG34,2,0.21
2014,NUTS,2010,BG34,2,0.2348
2015,NUTS,2010,BG34,2,0.254
2016,NUTS,2010,BG34,2,0.2413
2017,NUTS,2010,BG34,2,0.2417
2018,NUTS,2010,BG34,2,0.2492
2019,NUTS,2010,BG34,2,0.3036
2011,NUTS,2010,BG4,1,0.6849
2012,NUTS,2010,BG4,1,0.6621
2013,NUTS,2010,BG4,1,0.7033
2014,NUTS,2010,BG4,1,0.745
2015,NUTS,2010,BG4,1,0.7682
2016,NUTS,2010,BG4,1,0.9678
2017,NUTS,2010,BG4,1,0.868
2018,NUTS,2010,BG4,1,0.915
2019,NUTS,2010,BG4,1,0.923
2011,NUTS,2010,BG41,2,0.9614
2012,NUTS,2010,BG41,2,0.948
2013,NUTS,2010,BG41,2,1.0014
2014,NUTS,2010,BG41,2,1.0529
2015,NUTS,2010,BG41,2,1.057
2016,NUTS,2010,BG41,2,1.3561
2017,NUTS,2010,BG41,2,1.1787
2018,NUTS,2010,BG41,2,1.2128
2019,NUTS,2010,BG41,2,1.1791
2011,NUTS,2010,BG42,2,0.2136
2012,NUTS,2010,BG42,2,0.1917
2013,NUTS,2010,BG42,2,0.2219
2014,NUTS,2010,BG42,2,0.2417
2015,NUTS,2010,BG42,2,0.2744
2016,NUTS,2010,BG42,2,0.2895
2017,NUTS,2010,BG42,2,0.3428
2018,NUTS,2010,BG42,2,0.3958
2019,NUTS,2010,BG42,2,0.4825
2012,NUTS,2010,CH,0,0.9564
2015,NUTS,2010,CH,0,1.1057
2017,NUTS,2010,CH,0,1.1495
2019,NUTS,2010,CH,0,1.2423
2011,NUTS,2010,CY,0,0.3545
2012,NUTS,2010,CY,0,0.352
2013,NUTS,2010,CY,0,0.4186
2014,NUTS,2010,CY,0,0.399
2015,NUTS,2010,CY,0,0.398
2016,NUTS,2010,CY,0,0.408
2017,NUTS,2010,CY,0,0.4441
2018,NUTS,2010,CY,0,0.4778
2019,NUTS,2010,CY,0,0.5201
2011,NUTS,2010,CZ,0,0.577
2012,NUTS,2010,CZ,0,0.5782
2013,NUTS,2010,CZ,0,0.6329
2014,NUTS,2010,CZ,0,0.6464
2015,NUTS,2010,CZ,0,0.6628
2016,NUTS,2010,CZ,0,0.6451
2017,NUTS,2010,CZ,0,0.6851
2018,NUTS,2010,CZ,0,0.6999
2019,NUTS,2010,CZ,0,0.7383
2020,NUTS,2010,CZ,0,0.7772
2011,NUTS,2010,CZ0,1,0.5687
2012,NUTS,2010,CZ0,1,0.5696
2013,NUTS,2010,CZ0,1,0.6221
2014,NUTS,2010,CZ0,1,0.6359
2015,NUTS,2010,CZ0,1,0.6498
2016,NUTS,2010,CZ0,1,0.631
2017,NUTS,2010,CZ0,1,0.6692
2018,NUTS,2010,CZ0,1,0.6816
2019,NUTS,2010,CZ0,1,0.7185
2020,NUTS,2010,CZ0,1,0.757
2011,NUTS,2010,CZ01,2,2.0826
2012,NUTS,2010,CZ01,2,2.0397
2013,NUTS,2010,CZ01,2,2.2424
2014,NUTS,2010,CZ01,2,2.1927
2015,NUTS,2010,CZ01,2,2.1229
2016,NUTS,2010,CZ01,2,2.1142
2017,NUTS,2010,CZ01,2,2.2576
2018,NUTS,2010,CZ01,2,2.2209
2019,NUTS,2010,CZ01,2,2.2391
2020,NUTS,2010,CZ01,2,2.3248
2011,NUTS,2010,CZ02,2,0.2414
2012,NUTS,2010,CZ02,2,0.2239
2013,NUTS,2010,CZ02,2,0.2052
2014,NUTS,2010,CZ02,2,0.2046
2015,NUTS,2010,CZ02,2,0.2886
2016,NUTS,2010,CZ02,2,0.2356
2017,NUTS,2010,CZ02,2,0.2611
2018,NUTS,2010,CZ02,2,0.2723
2019,NUTS,2010,CZ02,2,0.2844
2020,NUTS,2010,CZ02,2,0.285
2011,NUTS,2010,CZ03,2,0.3572
2012,NUTS,2010,CZ03,2,0.3278
2013,NUTS,2010,CZ03,2,0.3756
2014,NUTS,2010,CZ03,2,0.4335
2015,NUTS,2010,CZ03,2,0.4016
2016,NUTS,2010,CZ03,2,0.4315
2017,NUTS,2010,CZ03,2,0.4429
2018,NUTS,2010,CZ03,2,0.4584
2019,NUTS,2010,CZ03,2,0.4852
2020,NUTS,2010,CZ03,2,0.493
2011,NUTS,2010,CZ04,2,0.0817
2012,NUTS,2010,CZ04,2,0.0833
2013,NUTS,2010,CZ04,2,0.111
2014,NUTS,2010,CZ04,2,0.1081
2015,NUTS,2010,CZ04,2,0.1068
2016,NUTS,2010,CZ04,2,0.109
2017,NUTS,2010,CZ04,2,0.122
2018,NUTS,2010,CZ04,2,0.1292
2019,NUTS,2010,CZ04,2,0.1216
2020,NUTS,2010,CZ04,2,0.1398
2011,NUTS,2010,CZ05,2,0.3159
2012,NUTS,2010,CZ05,2,0.3157
2013,NUTS,2010,CZ05,2,0.3393
2014,NUTS,2010,CZ05,2,0.3441
2015,NUTS,2010,CZ05,2,0.3595
2016,NUTS,2010,CZ05,2,0.3609
2017,NUTS,2010,CZ05,2,0.3874
2018,NUTS,2010,CZ05,2,0.3879
2019,NUTS,2010,CZ05,2,0.4282
2020,NUTS,2010,CZ05,2,0.4496
2011,NUTS,2010,CZ06,2,0.6878
2012,NUTS,2010,CZ06,2,0.6607
2013,NUTS,2010,CZ06,2,0.7448
2014,NUTS,2010,CZ06,2,0.816
2015,NUTS,2010,CZ06,2,0.8362
2016,NUTS,2010,CZ06,2,0.7529
2017,NUTS,2010,CZ06,2,0.8022
2018,NUTS,2010,CZ06,2,0.828
2019,NUTS,2010,CZ06,2,0.8741
2020,NUTS,2010,CZ06,2,0.9492
2011,NUTS,2010,CZ07,2,0.2724
2012,NUTS,2010,CZ07,2,0.3655
2013,NUTS,2010,CZ07,2,0.4165
2014,NUTS,2010,CZ07,2,0.4308
2015,NUTS,2010,CZ07,2,0.4786
2016,NUTS,2010,CZ07,2,0.4588
2017,NUTS,2010,CZ07,2,0.4127
2018,NUTS,2010,CZ07,2,0.4395
2019,NUTS,2010,CZ07,2,0.5676
2020,NUTS,2010,CZ07,2,0.5876
2011,NUTS,2010,CZ08,2,0.3343
2012,NUTS,2010,CZ08,2,0.3685
2013,NUTS,2010,CZ08,2,0.3713
2014,NUTS,2010,CZ08,2,0.3641
2015,NUTS,2010,CZ08,2,0.3982
2016,NUTS,2010,CZ08,2,0.3983
2017,NUTS,2010,CZ08,2,0.4104
2018,NUTS,2010,CZ08,2,0.4301
2019,NUTS,2010,CZ08,2,0.4485
2020,NUTS,2010,CZ08,2,0.4816
2011,NUTS,2010,DE,0,0.7577
2013,NUTS,2010,DE,0,0.8211
2015,NUTS,2010,DE,0,0.8687
2017,NUTS,2010,DE,0,0.9003
2019,NUTS,2010,DE,0,0.9594
2011,NUTS,2010,DK,0,1.4084
2012,NUTS,2010,DK,0,1.5292
2013,NUTS,2010,DK,0,1.4976
2015,NUTS,2010,DK,0,1.5402
2017,NUTS,2010,DK,0,1.5684
2019,NUTS,2010,DK,0,1.5589
2011,NUTS,2010,DK0,1,1.3793
2012,NUTS,2010,DK0,1,1.499
2013,NUTS,2010,DK0,1,1.5257
2015,NUTS,2010,DK0,1,1.5115
2017,NUTS,2010,DK0,1,1.5363
2019,NUTS,2010,DK0,1,1.5273
2011,NUTS,2010,DK01,2,2.5928
2013,NUTS,2010,DK01,2,2.6831
2015,NUTS,2010,DK01,2,2.6341
2017,NUTS,2010,DK01,2,2.8093
2019,NUTS,2010,DK01,2,2.6669
2011,NUTS,2010,DK02,2,0.5222
2013,NUTS,2010,DK02,2,0.6079
2015,NUTS,2010,DK02,2,0.5375
2017,NUTS,2010,DK02,2,0.562
2019,NUTS,2010,DK02,2,0.6104
2011,NUTS,2010,DK03,2,0.6754
2013,NUTS,2010,DK03,2,0.8199
2015,NUTS,2010,DK03,2,1.0332
2017,NUTS,2010,DK03,2,0.5833
2019,NUTS,2010,DK03,2,0.6193
2011,NUTS,2010,DK04,2,1.0518
2013,NUTS,2010,DK04,2,1.2203
2015,NUTS,2010,DK04,2,1.1018
2017,NUTS,2010,DK04,2,1.0782
2019,NUTS,2010,DK04,2,1.1952
2011,NUTS,2010,DK05,2,0.6661
2013,NUTS,2010,DK05,2,1.008
2015,NUTS,2010,DK05,2,0.8424
2017,NUTS,2010,DK05,2,1.32
2019,NUTS,2010,DK05,2,1.4035
2011,NUTS,2010,EA19,2,0.7483
2013,NUTS,2010,EA19,2,0.7938
2015,NUTS,2010,EA19,2,0.8405
2017,NUTS,2010,EA19,2,0.894
2019,NUTS,2010,EA19,2,0.9653
2011,NUTS,2010,EE,0,1.0158
2012,NUTS,2010,EE,0,1.0238
2013,NUTS,2010,EE,0,1.0271
2014,NUTS,2010,EE,0,1.0689
2015,NUTS,2010,EE,0,0.9847
2016,NUTS,2010,EE,0,0.9345
2017,NUTS,2010,EE,0,0.9535
2018,NUTS,2010,EE,0,0.9904
2019,NUTS,2010,EE,0,1.0164
2011,NUTS,2010,EL,0,0.7981
2013,NUTS,2010,EL,0,1.0165
2015,NUTS,2010,EL,0,1.099
2017,NUTS,2010,EL,0,1.1197
2019,NUTS,2010,EL,0,1.2605
2011,NUTS,2010,EL3,1,0.7852
2011,NUTS,2010,EL30,2,0.7852
2011,NUTS,2010,EL4,1,0.9465
2011,NUTS,2010,EL41,2,0.8766
2011,NUTS,2010,EL42,2,0.4297
2011,NUTS,2010,EL43,2,1.2179
2011,NUTS,2010,EL5,1,0.947
2011,NUTS,2010,EL51,2,0.8594
2011,NUTS,2010,EL52,2,0.9234
2011,NUTS,2010,EL53,2,0.5236
2011,NUTS,2010,EL54,2,1.5905
2011,NUTS,2010,EL6,1,0.5201
2011,NUTS,2010,EL61,2,0.6984
2011,NUTS,2010,EL62,2,0.2446
2011,NUTS,2010,EL63,2,0.9556
2011,NUTS,2010,EL64,2,0.1342
2011,NUTS,2010,EL65,2,0.2937
2011,NUTS,2010,ES,0,0.8112
2012,NUTS,2010,ES,0,0.7866
2013,NUTS,2010,ES,0,0.7743
2014,NUTS,2010,ES,0,0.7894
2015,NUTS,2010,ES,0,0.814
2016,NUTS,2010,ES,0,0.8334
2017,NUTS,2010,ES,0,0.8718
2018,NUTS,2010,ES,0,0.91
2019,NUTS,2010,ES,0,0.936
2011,NUTS,2010,ES1,1,0.7064
2012,NUTS,2010,ES1,1,0.6574
2013,NUTS,2010,ES1,1,0.6807
2014,NUTS,2010,ES1,1,0.6463
2015,NUTS,2010,ES1,1,0.6702
2016,NUTS,2010,ES1,1,0.6732
2017,NUTS,2010,ES1,1,0.7257
2018,NUTS,2010,ES1,1,0.7448
2019,NUTS,2010,ES1,1,0.8131
2011,NUTS,2010,ES11,2,0.6813
2012,NUTS,2010,ES11,2,0.6351
2013,NUTS,2010,ES11,2,0.6562
2014,NUTS,2010,ES11,2,0.6348
2015,NUTS,2010,ES11,2,0.6453
2016,NUTS,2010,ES11,2,0.6666
2017,NUTS,2010,ES11,2,0.7204
2018,NUTS,2010,ES11,2,0.7657
2019,NUTS,2010,ES11,2,0.8278
2011,NUTS,2010,ES12,2,0.8017
2012,NUTS,2010,ES12,2,0.7411
2013,NUTS,2010,ES12,2,0.7924
2014,NUTS,2010,ES12,2,0.7004
2015,NUTS,2010,ES12,2,0.7362
2016,NUTS,2010,ES12,2,0.6944
2017,NUTS,2010,ES12,2,0.7752
2018,NUTS,2010,ES12,2,0.6859
2019,NUTS,2010,ES12,2,0.7852
2011,NUTS,2010,ES13,2,0.6569
2012,NUTS,2010,ES13,2,0.6166
2013,NUTS,2010,ES13,2,0.597
2014,NUTS,2010,ES13,2,0.6041
2015,NUTS,2010,ES13,2,0.6727
2016,NUTS,2010,ES13,2,0.6667
2017,NUTS,2010,ES13,2,0.6664
2018,NUTS,2010,ES13,2,0.748
2019,NUTS,2010,ES13,2,0.7917
2011,NUTS,2010,ES2,1,1.1029
2012,NUTS,2010,ES2,1,1.1194
2013,NUTS,2010,ES2,1,1.1349
2014,NUTS,2010,ES2,1,1.1696
2015,NUTS,2010,ES2,1,1.1958
2016,NUTS,2010,ES2,1,1.1939
2017,NUTS,2010,ES2,1,1.2685
2018,NUTS,2010,ES2,1,1.3005
2019,NUTS,2010,ES2,1,1.2927
2011,NUTS,2010,ES21,2,1.2196
2012,NUTS,2010,ES21,2,1.2668
2013,NUTS,2010,ES21,2,1.3006
2014,NUTS,2010,ES21,2,1.3109
2015,NUTS,2010,ES21,2,1.3703
2016,NUTS,2010,ES21,2,1.3512
2017,NUTS,2010,ES21,2,1.4669
2018,NUTS,2010,ES21,2,1.4956
2019,NUTS,2010,ES21,2,1.4987
2011,NUTS,2010,ES22,2,1.1769
2012,NUTS,2010,ES22,2,1.1615
2013,NUTS,2010,ES22,2,1.124
2014,NUTS,2010,ES22,2,1.1708
2015,NUTS,2010,ES22,2,1.1815
2016,NUTS,2010,ES22,2,1.1833
2017,NUTS,2010,ES22,2,1.2117
2018,NUTS,2010,ES22,2,1.2306
2019,NUTS,2010,ES22,2,1.1496
2011,NUTS,2010,ES23,2,0.733
2012,NUTS,2010,ES23,2,0.7521
2013,NUTS,2010,ES23,2,0.7405
2014,NUTS,2010,ES23,2,0.81
2015,NUTS,2010,ES23,2,0.7983
2016,NUTS,2010,ES23,2,0.9957
2017,NUTS,2010,ES23,2,0.9504
2018,NUTS,2010,ES23,2,1.0207
2019,NUTS,2010,ES23,2,1.0217
2011,NUTS,2010,ES24,2,0.9564
2012,NUTS,2010,ES24,2,0.9431
2013,NUTS,2010,ES24,2,0.9624
2014,NUTS,2010,ES24,2,1.0248
2015,NUTS,2010,ES24,2,1.0095
2016,NUTS,2010,ES24,2,0.9879
2017,NUTS,2010,ES24,2,1.047
2018,NUTS,2010,ES24,2,1.0809
2019,NUTS,2010,ES24,2,1.0877
2011,NUTS,2010,ES3,1,1.2067
2012,NUTS,2010,ES3,1,1.1649
2013,NUTS,2010,ES3,1,1.1638
2014,NUTS,2010,ES3,1,1.2026
2015,NUTS,2010,ES3,1,1.21
2016,NUTS,2010,ES3,1,1.2565
2017,NUTS,2010,ES3,1,1.2792
2018,NUTS,2010,ES3,1,1.3544
2019,NUTS,2010,ES3,1,1.4049
2011,NUTS,2010,ES30,2,1.2067
2012,NUTS,2010,ES30,2,1.1649
2013,NUTS,2010,ES30,2,1.1638
2014,NUTS,2010,ES30,2,1.2026
2015,NUTS,2010,ES30,2,1.21
2016,NUTS,2010,ES30,2,1.2565
2017,NUTS,2010,ES30,2,1.2792
2018,NUTS,2010,ES30,2,1.3544
2019,NUTS,2010,ES30,2,1.4049
2011,NUTS,2010,ES4,1,0.6954
2012,NUTS,2010,ES4,1,0.6479
2013,NUTS,2010,ES4,1,0.5799
2014,NUTS,2010,ES4,1,0.5943
2015,NUTS,2010,ES4,1,0.6306
2016,NUTS,2010,ES4,1,0.6359
2017,NUTS,2010,ES4,1,0.6648
2018,NUTS,2010,ES4,1,0.7042
2019,NUTS,2010,ES4,1,0.7023
2011,NUTS,2010,ES41,2,0.9678
2012,NUTS,2010,ES41,2,0.923
2013,NUTS,2010,ES41,2,0.8522
2014,NUTS,2010,ES41,2,0.8823
2015,NUTS,2010,ES41,2,0.9294
2016,NUTS,2010,ES41,2,0.9196
2017,NUTS,2010,ES41,2,0.9469
2018,NUTS,2010,ES41,2,1.0241
2019,NUTS,2010,ES41,2,1.0439
2011,NUTS,2010,ES42,2,0.4656
2012,NUTS,2010,ES42,2,0.414
2013,NUTS,2010,ES42,2,0.3197
2014,NUTS,2010,ES42,2,0.3286
2015,NUTS,2010,ES42,2,0.3638
2016,NUTS,2010,ES42,2,0.3959
2017,NUTS,2010,ES42,2,0.4252
2018,NUTS,2010,ES42,2,0.431
2019,NUTS,2010,ES42,2,0.4351
2011,NUTS,2010,ES43,2,0.4867
2012,NUTS,2010,ES43,2,0.4558
2013,NUTS,2010,ES43,2,0.45
2014,NUTS,2010,ES43,2,0.4348
2015,NUTS,2010,ES43,2,0.4499
2016,NUTS,2010,ES43,2,0.4345
2017,NUTS,2010,ES43,2,0.4725
2018,NUTS,2010,ES43,2,0.5002
2019,NUTS,2010,ES43,2,0.4382
2011,NUTS,2010,ES5,1,0.7678
2012,NUTS,2010,ES5,1,0.7603
2013,NUTS,2010,ES5,1,0.7546
2014,NUTS,2010,ES5,1,0.787
2015,NUTS,2010,ES5,1,0.7979
2016,NUTS,2010,ES5,1,0.8172
2017,NUTS,2010,ES5,1,0.8639
2018,NUTS,2010,ES5,1,0.8982
2019,NUTS,2010,ES5,1,0.9271
2011,NUTS,2010,ES51,2,0.8576
2012,NUTS,2010,ES51,2,0.8607
2013,NUTS,2010,ES51,2,0.8713
2014,NUTS,2010,ES51,2,0.8811
2015,NUTS,2010,ES51,2,0.9125
2016,NUTS,2010,ES51,2,0.9307
2017,NUTS,2010,ES51,2,0.977
2018,NUTS,2010,ES51,2,1.0218
2019,NUTS,2010,ES51,2,1.0372
2011,NUTS,2010,ES52,2,0.692
2012,NUTS,2010,ES52,2,0.6805
2013,NUTS,2010,ES52,2,0.6487
2014,NUTS,2010,ES52,2,0.7189
2015,NUTS,2010,ES52,2,0.6987
2016,NUTS,2010,ES52,2,0.7259
2017,NUTS,2010,ES52,2,0.7683
2018,NUTS,2010,ES52,2,0.8101
2019,NUTS,2010,ES52,2,0.8614
2011,NUTS,2010,ES53,2,0.479
2012,NUTS,2010,ES53,2,0.4311
2013,NUTS,2010,ES53,2,0.425
2014,NUTS,2010,ES53,2,0.4485
2015,NUTS,2010,ES53,2,0.4719
2016,NUTS,2010,ES53,2,0.4651
2017,NUTS,2010,ES53,2,0.5208
2018,NUTS,2010,ES53,2,0.4737
2019,NUTS,2010,ES53,2,0.495
2011,NUTS,2010,ES6,1,0.6139
2012,NUTS,2010,ES6,1,0.5832
2013,NUTS,2010,ES6,1,0.5686
2014,NUTS,2010,ES6,1,0.5632
2015,NUTS,2010,ES6,1,0.6123
2016,NUTS,2010,ES6,1,0.629
2017,NUTS,2010,ES6,1,0.6572
2018,NUTS,2010,ES6,1,0.675
2019,NUTS,2010,ES6,1,0.6851
2011,NUTS,2010,ES61,2,0.6123
2012,NUTS,2010,ES61,2,0.5798
2013,NUTS,2010,ES61,2,0.5628
2014,NUTS,2010,ES61,2,0.5563
2015,NUTS,2010,ES61,2,0.6059
2016,NUTS,2010,ES61,2,0.613
2017,NUTS,2010,ES61,2,0.6396
2018,NUTS,2010,ES61,2,0.6534
2019,NUTS,2010,ES61,2,0.6558
2011,NUTS,2010,ES62,2,0.6653
2012,NUTS,2010,ES62,2,0.646
2013,NUTS,2010,ES62,2,0.6453
2014,NUTS,2010,ES62,2,0.6411
2015,NUTS,2010,ES62,2,0.6982
2016,NUTS,2010,ES62,2,0.7653
2017,NUTS,2010,ES62,2,0.8
2018,NUTS,2010,ES62,2,0.8325
2019,NUTS,2010,ES62,2,0.8853
2011,NUTS,2010,ES63,2,0.0863
2012,NUTS,2010,ES63,2,0.0692
2013,NUTS,2010,ES63,2,0.0764
2014,NUTS,2010,ES63,2,0.1293
2015,NUTS,2010,ES63,2,0.0933
2011,NUTS,2010,ES64,2,0.1799
2012,NUTS,2010,ES64,2,0.1799
2013,NUTS,2010,ES64,2,0.1711
2014,NUTS,2010,ES64,2,0.1633
2015,NUTS,2010,ES64,2,0.1497
2011,NUTS,2010,ES7,1,0.3855
2012,NUTS,2010,ES7,1,0.3741
2013,NUTS,2010,ES7,1,0.3502
2014,NUTS,2010,ES7,1,0.3433
2015,NUTS,2010,ES7,1,0.3417
2016,NUTS,2010,ES7,1,0.3595
2017,NUTS,2010,ES7,1,0.3678
2018,NUTS,2010,ES7,1,0.3907
2019,NUTS,2010,ES7,1,0.3896
2011,NUTS,2010,ES70,2,0.3855
2012,NUTS,2010,ES70,2,0.3741
2013,NUTS,2010,ES70,2,0.3502
2014,NUTS,2010,ES70,2,0.3433
2015,NUTS,2010,ES70,2,0.3417
2016,NUTS,2010,ES70,2,0.3595
2017,NUTS,2010,ES70,2,0.3678
2018,NUTS,2010,ES70,2,0.3907
2019,NUTS,2010,ES70,2,0.3896
2011,NUTS,2010,EU27_2020,7,0.7256
2013,NUTS,2010,EU27_2020,7,0.7705
2015,NUTS,2010,EU27_2020,7,0.8135
2017,NUTS,2010,EU27_2020,7,0.8863
2019,NUTS,2010,EU27_2020,7,0.9541
2011,NUTS,2010,FI,0,1.475
