year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_total_t_pc_act_hc
2017,NUTS,2010,DE50,2,0.9139
2018,NUTS,2010,DE50,2,0.9396
2019,NUTS,2010,DE50,2,0.9746
2011,NUTS,2010,DE6,1,0.3695
2012,NUTS,2010,DE6,1,0.3752
2013,NUTS,2010,DE6,1,0.4039
2014,NUTS,2010,DE6,1,0.4059
2015,NUTS,2010,DE6,1,0.408
2016,NUTS,2010,DE6,1,0.4088
2017,NUTS,2010,DE6,1,0.4006
2018,NUTS,2010,DE6,1,0.4114
2019,NUTS,2010,DE6,1,0.4217
2011,NUTS,2010,DE60,2,0.3695
2012,NUTS,2010,DE60,2,0.3752
2013,NUTS,2010,DE60,2,0.4039
2014,NUTS,2010,DE60,2,0.4059
2015,NUTS,2010,DE60,2,0.408
2016,NUTS,2010,DE60,2,0.4088
2017,NUTS,2010,DE60,2,0.4006
2018,NUTS,2010,DE60,2,0.4114
2019,NUTS,2010,DE60,2,0.4217
2011,NUTS,2010,DE7,1,0.169
2012,NUTS,2010,DE7,1,0.1671
2013,NUTS,2010,DE7,1,0.1647
2014,NUTS,2010,DE7,1,0.1655
2015,NUTS,2010,DE7,1,0.1715
2016,NUTS,2010,DE7,1,0.1816
2017,NUTS,2010,DE7,1,0.1951
2018,NUTS,2010,DE7,1,0.1947
2019,NUTS,2010,DE7,1,0.197
2011,NUTS,2010,DE71,2,0.2451
2012,NUTS,2010,DE71,2,0.2392
2013,NUTS,2010,DE71,2,0.2349
2014,NUTS,2010,DE71,2,0.2344
2015,NUTS,2010,DE71,2,0.2324
2016,NUTS,2010,DE71,2,0.244
2017,NUTS,2010,DE71,2,0.2617
2018,NUTS,2010,DE71,2,0.2691
2019,NUTS,2010,DE71,2,0.2706
2011,NUTS,2010,DE72,2,0.0357
2012,NUTS,2010,DE72,2,0.0349
2013,NUTS,2010,DE72,2,0.0343
2014,NUTS,2010,DE72,2,0.042
2015,NUTS,2010,DE72,2,0.0588
2016,NUTS,2010,DE72,2,0.0659
2017,NUTS,2010,DE72,2,0.0731
2018,NUTS,2010,DE72,2,0.0631
2019,NUTS,2010,DE72,2,0.0625
2011,NUTS,2010,DE73,2,0.0413
2012,NUTS,2010,DE73,2,0.0478
2013,NUTS,2010,DE73,2,0.0488
2014,NUTS,2010,DE73,2,0.0505
2015,NUTS,2010,DE73,2,0.0691
2016,NUTS,2010,DE73,2,0.0741
2017,NUTS,2010,DE73,2,0.0761
2018,NUTS,2010,DE73,2,0.0568
2019,NUTS,2010,DE73,2,0.0619
2011,NUTS,2010,DE8,1,0.2832
2012,NUTS,2010,DE8,1,0.2959
2013,NUTS,2010,DE8,1,0.2895
2014,NUTS,2010,DE8,1,0.3021
2015,NUTS,2010,DE8,1,0.2986
2016,NUTS,2010,DE8,1,0.308
2017,NUTS,2010,DE8,1,0.3145
2018,NUTS,2010,DE8,1,0.3286
2019,NUTS,2010,DE8,1,0.3373
2011,NUTS,2010,DE80,2,0.2832
2012,NUTS,2010,DE80,2,0.2959
2013,NUTS,2010,DE80,2,0.2895
2014,NUTS,2010,DE80,2,0.3021
2015,NUTS,2010,DE80,2,0.2986
2016,NUTS,2010,DE80,2,0.308
2017,NUTS,2010,DE80,2,0.3145
2018,NUTS,2010,DE80,2,0.3286
2019,NUTS,2010,DE80,2,0.3373
2011,NUTS,2010,DE9,1,0.2352
2012,NUTS,2010,DE9,1,0.237
2013,NUTS,2010,DE9,1,0.2367
2014,NUTS,2010,DE9,1,0.2487
2015,NUTS,2010,DE9,1,0.2473
2016,NUTS,2010,DE9,1,0.2428
2017,NUTS,2010,DE9,1,0.2434
2018,NUTS,2010,DE9,1,0.2531
2019,NUTS,2010,DE9,1,0.247
2011,NUTS,2010,DE91,2,0.8474
2012,NUTS,2010,DE91,2,0.861
