year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_pc_act_hc_rse_f
2016,NUTS,2010,DK05,2,0.6891
2017,NUTS,2010,DK05,2,1.055
2019,NUTS,2010,DK05,2,1.1579
2011,NUTS,2010,EA19,2,0.4374
2012,NUTS,2010,EA19,2,0.4495
2013,NUTS,2010,EA19,2,0.4619
2014,NUTS,2010,EA19,2,0.4683
2015,NUTS,2010,EA19,2,0.4798
2016,NUTS,2010,EA19,2,0.4789
2017,NUTS,2010,EA19,2,0.4928
2018,NUTS,2010,EA19,2,0.5068
2019,NUTS,2010,EA19,2,0.519
2011,NUTS,2010,EE,0,0.6532
2012,NUTS,2010,EE,0,0.6777
2013,NUTS,2010,EE,0,0.6994
2014,NUTS,2010,EE,0,0.7157
2015,NUTS,2010,EE,0,0.6822
2016,NUTS,2010,EE,0,0.6476
2017,NUTS,2010,EE,0,0.6437
2018,NUTS,2010,EE,0,0.6712
2019,NUTS,2010,EE,0,0.6585
2011,NUTS,2010,EL,0,0.5612
2013,NUTS,2010,EL,0,0.7241
2015,NUTS,2010,EL,0,0.6731
2017,NUTS,2010,EL,0,0.567
2019,NUTS,2010,EL,0,0.6641
2011,NUTS,2010,EL3,1,0.4425
2011,NUTS,2010,EL30,2,0.4425
2011,NUTS,2010,EL4,1,0.7412
2011,NUTS,2010,EL41,2,0.7597
2011,NUTS,2010,EL42,2,0.2227
2011,NUTS,2010,EL43,2,0.9922
2011,NUTS,2010,EL5,1,0.7569
2011,NUTS,2010,EL51,2,0.8171
2011,NUTS,2010,EL52,2,0.6899
2011,NUTS,2010,EL53,2,0.2972
2011,NUTS,2010,EL54,2,1.416
2011,NUTS,2010,EL6,1,0.409
2011,NUTS,2010,EL61,2,0.6121
2011,NUTS,2010,EL62,2,0.1622
2011,NUTS,2010,EL63,2,0.839
2011,NUTS,2010,EL64,2,0.0303
2011,NUTS,2010,EL65,2,0.14
2011,NUTS,2010,ES,0,0.4905
2012,NUTS,2010,ES,0,0.473
2013,NUTS,2010,ES,0,0.4594
2014,NUTS,2010,ES,0,0.4717
2015,NUTS,2010,ES,0,0.482
2016,NUTS,2010,ES,0,0.487
2017,NUTS,2010,ES,0,0.509
2018,NUTS,2010,ES,0,0.5271
2019,NUTS,2010,ES,0,0.5392
2011,NUTS,2010,ES1,1,0.4671
2013,NUTS,2010,ES1,1,0.4496
2015,NUTS,2010,ES1,1,0.4339
2016,NUTS,2010,ES1,1,0.4186
2017,NUTS,2010,ES1,1,0.4358
2018,NUTS,2010,ES1,1,0.4161
2011,NUTS,2010,ES11,2,0.4476
2012,NUTS,2010,ES11,2,0.4159
2014,NUTS,2010,ES11,2,0.4043
2015,NUTS,2010,ES11,2,0.4108
2016,NUTS,2010,ES11,2,0.4112
2017,NUTS,2010,ES11,2,0.4195
2018,NUTS,2010,ES11,2,0.4252
2019,NUTS,2010,ES11,2,0.451
2011,NUTS,2010,ES12,2,0.5611
2012,NUTS,2010,ES12,2,0.5062
2013,NUTS,2010,ES12,2,0.5785
2014,NUTS,2010,ES12,2,0.4871
2015,NUTS,2010,ES12,2,0.5316
2016,NUTS,2010,ES12,2,0.4734
2017,NUTS,2010,ES12,2,0.5304
2018,NUTS,2010,ES12,2,0.4167
2019,NUTS,2010,ES12,2,0.5139
2011,NUTS,2010,ES13,2,0.3929
2015,NUTS,2010,ES13,2,0.3712
2016,NUTS,2010,ES13,2,0.3567
2017,NUTS,2010,ES13,2,0.3498
2018,NUTS,2010,ES13,2,0.372
2011,NUTS,2010,ES2,1,0.5614
2013,NUTS,2010,ES2,1,0.5815
2019,NUTS,2010,ES2,1,0.6453
2011,NUTS,2010,ES21,2,0.5056
2012,NUTS,2010,ES21,2,0.5514
2013,NUTS,2010,ES21,2,0.551
2014,NUTS,2010,ES21,2,0.5784
2015,NUTS,2010,ES21,2,0.5956
2016,NUTS,2010,ES21,2,0.592
2017,NUTS,2010,ES21,2,0.6255
2018,NUTS,2010,ES21,2,0.6266
2019,NUTS,2010,ES21,2,0.6244
2011,NUTS,2010,ES22,2,0.716
2011,NUTS,2010,ES23,2,0.2935
2012,NUTS,2010,ES23,2,0.3099
2014,NUTS,2010,ES23,2,0.4109
2015,NUTS,2010,ES23,2,0.3791
2016,NUTS,2010,ES23,2,0.5633
2017,NUTS,2010,ES23,2,0.4518
2018,NUTS,2010,ES23,2,0.5262
2011,NUTS,2010,ES24,2,0.6469
2012,NUTS,2010,ES24,2,0.6531
2013,NUTS,2010,ES24,2,0.6605
2014,NUTS,2010,ES24,2,0.7077
2015,NUTS,2010,ES24,2,0.7415
2016,NUTS,2010,ES24,2,0.6989
2017,NUTS,2010,ES24,2,0.7308
2018,NUTS,2010,ES24,2,0.7535
2011,NUTS,2010,ES3,1,0.6711
2012,NUTS,2010,ES3,1,0.6303
2013,NUTS,2010,ES3,1,0.6237
2014,NUTS,2010,ES3,1,0.6431
2015,NUTS,2010,ES3,1,0.6444
2016,NUTS,2010,ES3,1,0.6374
2017,NUTS,2010,ES3,1,0.6692
2018,NUTS,2010,ES3,1,0.7158
2019,NUTS,2010,ES3,1,0.7393
2011,NUTS,2010,ES30,2,0.6711
2012,NUTS,2010,ES30,2,0.6303
2013,NUTS,2010,ES30,2,0.6237
2014,NUTS,2010,ES30,2,0.6431
2015,NUTS,2010,ES30,2,0.6444
2016,NUTS,2010,ES30,2,0.6374
2017,NUTS,2010,ES30,2,0.6692
2018,NUTS,2010,ES30,2,0.7158
2019,NUTS,2010,ES30,2,0.7393
2011,NUTS,2010,ES4,1,0.4792
2013,NUTS,2010,ES4,1,0.3963
2014,NUTS,2010,ES4,1,0.4143
2015,NUTS,2010,ES4,1,0.4309
2016,NUTS,2010,ES4,1,0.4374
2018,NUTS,2010,ES4,1,0.463
2019,NUTS,2010,ES4,1,0.4541
2011,NUTS,2010,ES41,2,0.7162
2012,NUTS,2010,ES41,2,0.6859
2013,NUTS,2010,ES41,2,0.6408
2014,NUTS,2010,ES41,2,0.6648
2015,NUTS,2010,ES41,2,0.689
2016,NUTS,2010,ES41,2,0.6972
2017,NUTS,2010,ES41,2,0.711
2018,NUTS,2010,ES41,2,0.7515
2019,NUTS,2010,ES41,2,0.7472
2011,NUTS,2010,ES42,2,0.2439
2012,NUTS,2010,ES42,2,0.2181
2013,NUTS,2010,ES42,2,0.1342
2014,NUTS,2010,ES42,2,0.1467
2015,NUTS,2010,ES42,2,0.1629
2017,NUTS,2010,ES42,2,0.183
2011,NUTS,2010,ES43,2,0.3704
2013,NUTS,2010,ES43,2,0.3339
2014,NUTS,2010,ES43,2,0.3474
2015,NUTS,2010,ES43,2,0.3489
2011,NUTS,2010,ES5,1,0.4437
2012,NUTS,2010,ES5,1,0.4444
2013,NUTS,2010,ES5,1,0.4313
2014,NUTS,2010,ES5,1,0.4608
2015,NUTS,2010,ES5,1,0.4682
2016,NUTS,2010,ES5,1,0.4719
2017,NUTS,2010,ES5,1,0.4925
2018,NUTS,2010,ES5,1,0.5085
2011,NUTS,2010,ES51,2,0.4673
2012,NUTS,2010,ES51,2,0.4651
2013,NUTS,2010,ES51,2,0.4657
2014,NUTS,2010,ES51,2,0.4732
2015,NUTS,2010,ES51,2,0.4807
2016,NUTS,2010,ES51,2,0.4912
2017,NUTS,2010,ES51,2,0.5069
2018,NUTS,2010,ES51,2,0.5206
2019,NUTS,2010,ES51,2,0.5313
2011,NUTS,2010,ES52,2,0.4464
2012,NUTS,2010,ES52,2,0.4547
2013,NUTS,2010,ES52,2,0.4169
2014,NUTS,2010,ES52,2,0.4866
2015,NUTS,2010,ES52,2,0.4956
2016,NUTS,2010,ES52,2,0.4938
2017,NUTS,2010,ES52,2,0.5262
2018,NUTS,2010,ES52,2,0.5537
2019,NUTS,2010,ES52,2,0.5842
2011,NUTS,2010,ES53,2,0.274
2012,NUTS,2010,ES53,2,0.2713
2013,NUTS,2010,ES53,2,0.2663
2014,NUTS,2010,ES53,2,0.2778
2015,NUTS,2010,ES53,2,0.2851
2016,NUTS,2010,ES53,2,0.2643
2017,NUTS,2010,ES53,2,0.2666
2018,NUTS,2010,ES53,2,0.2623
2011,NUTS,2010,ES6,1,0.4341
2012,NUTS,2010,ES6,1,0.4044
2013,NUTS,2010,ES6,1,0.3916
2014,NUTS,2010,ES6,1,0.3848
2015,NUTS,2010,ES6,1,0.3975
2016,NUTS,2010,ES6,1,0.4197
2017,NUTS,2010,ES6,1,0.4465
2018,NUTS,2010,ES6,1,0.4659
2019,NUTS,2010,ES6,1,0.4702
2011,NUTS,2010,ES61,2,0.4277
2012,NUTS,2010,ES61,2,0.3963
2013,NUTS,2010,ES61,2,0.3794
2014,NUTS,2010,ES61,2,0.3723
2015,NUTS,2010,ES61,2,0.3809
2016,NUTS,2010,ES61,2,0.3966
2017,NUTS,2010,ES61,2,0.4219
2018,NUTS,2010,ES61,2,0.4409
2019,NUTS,2010,ES61,2,0.4401
2011,NUTS,2010,ES62,2,0.4979
2012,NUTS,2010,ES62,2,0.4772
2013,NUTS,2010,ES62,2,0.4894
2014,NUTS,2010,ES62,2,0.4794
2015,NUTS,2010,ES62,2,0.5239
2016,NUTS,2010,ES62,2,0.5776
2018,NUTS,2010,ES62,2,0.6191
2019,NUTS,2010,ES62,2,0.6533
2011,NUTS,2010,ES63,2,0.0863
2011,NUTS,2010,ES64,2,0.1655
2011,NUTS,2010,ES7,1,0.2929
2012,NUTS,2010,ES7,1,0.2738
2013,NUTS,2010,ES7,1,0.2662
2014,NUTS,2010,ES7,1,0.2619
2015,NUTS,2010,ES7,1,0.2573
2016,NUTS,2010,ES7,1,0.2762
2017,NUTS,2010,ES7,1,0.282
2018,NUTS,2010,ES7,1,0.2896
2011,NUTS,2010,ES70,2,0.2929
2012,NUTS,2010,ES70,2,0.2738
2013,NUTS,2010,ES70,2,0.2662
2014,NUTS,2010,ES70,2,0.2619
2015,NUTS,2010,ES70,2,0.2573
2016,NUTS,2010,ES70,2,0.2762
2017,NUTS,2010,ES70,2,0.282
2018,NUTS,2010,ES70,2,0.2896
2011,NUTS,2010,EU27_2020,7,0.4298
2012,NUTS,2010,EU27_2020,7,0.4384
2013,NUTS,2010,EU27_2020,7,0.4513
2014,NUTS,2010,EU27_2020,7,0.4589
2015,NUTS,2010,EU27_2020,7,0.4677
2016,NUTS,2010,EU27_2020,7,0.4704
2017,NUTS,2010,EU27_2020,7,0.4944
2018,NUTS,2010,EU27_2020,7,0.5095
2019,NUTS,2010,EU27_2020,7,0.5226
2011,NUTS,2010,FI,0,0.8647
2012,NUTS,2010,FI,0,0.8708
2013,NUTS,2010,FI,0,0.835
2014,NUTS,2010,FI,0,0.8434
2015,NUTS,2010,FI,0,0.8433
2016,NUTS,2010,FI,0,0.8429
2017,NUTS,2010,FI,0,0.8715
2018,NUTS,2010,FI,0,0.8936
2019,NUTS,2010,FI,0,0.9466
2011,NUTS,2010,FR,0,0.2623
2012,NUTS,2010,FR,0,0.2624
2013,NUTS,2010,FR,0,0.2641
2014,NUTS,2010,FR,0,0.2808
2016,NUTS,2010,FR,0,0.3402
2017,NUTS,2010,FR,0,0.3442
2011,NUTS,2010,HR,0,0.4058
2012,NUTS,2010,HR,0,0.4063
2013,NUTS,2010,HR,0,0.4093
2014,NUTS,2010,HR,0,0.3927
2015,NUTS,2010,HR,0,0.4131
2016,NUTS,2010,HR,0,0.4916
2017,NUTS,2010,HR,0,0.5358
2018,NUTS,2010,HR,0,0.5497
2019,NUTS,2010,HR,0,0.6224
2020,NUTS,2010,HR,0,0.6512
2011,NUTS,2010,HR0,1,0.396
2012,NUTS,2010,HR0,1,0.3982
2013,NUTS,2010,HR0,1,0.4031
2014,NUTS,2010,HR0,1,0.3872
2015,NUTS,2010,HR0,1,0.4075
2016,NUTS,2010,HR0,1,0.4867
2017,NUTS,2010,HR0,1,0.5298
2018,NUTS,2010,HR0,1,0.543
2019,NUTS,2010,HR0,1,0.6132
2020,NUTS,2010,HR0,1,0.6433
2011,NUTS,2010,HR03,2,0.4642
2012,NUTS,2010,HR03,2,0.4696
2013,NUTS,2010,HR03,2,0.4769
2014,NUTS,2010,HR03,2,0.4455
2015,NUTS,2010,HR03,2,0.4322
2016,NUTS,2010,HR03,2,0.4901
2017,NUTS,2010,HR03,2,0.5481
2018,NUTS,2010,HR03,2,0.5659
2019,NUTS,2010,HR03,2,0.6606
2020,NUTS,2010,HR03,2,0.6975
2011,NUTS,2010,HR04,2,0.3649
2012,NUTS,2010,HR04,2,0.3656
2013,NUTS,2010,HR04,2,0.3699
2014,NUTS,2010,HR04,2,0.3584
2015,NUTS,2010,HR04,2,0.3953
2016,NUTS,2010,HR04,2,0.485
2017,NUTS,2010,HR04,2,0.5209
2018,NUTS,2010,HR04,2,0.532
2019,NUTS,2010,HR04,2,0.5906
2011,NUTS,2010,HU,0,0.3013
2012,NUTS,2010,HU,0,0.297
2013,NUTS,2010,HU,0,0.2933
2014,NUTS,2010,HU,0,0.2887
2015,NUTS,2010,HU,0,0.2829
2016,NUTS,2010,HU,0,0.2896
2017,NUTS,2010,HU,0,0.3151
2018,NUTS,2010,HU,0,0.3793
2019,NUTS,2010,HU,0,0.4342
2011,NUTS,2010,HU1,1,0.4462
2012,NUTS,2010,HU1,1,0.4327
2013,NUTS,2010,HU1,1,0.4362
2014,NUTS,2010,HU1,1,0.4273
2015,NUTS,2010,HU1,1,0.4261
2016,NUTS,2010,HU1,1,0.4353
2017,NUTS,2010,HU1,1,0.4868
2018,NUTS,2010,HU1,1,0.6202
