year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_rse_t_pc_emp_hc
2012,NUTS,2010,BE1,1,0.0314
2013,NUTS,2010,BE1,1,0.0303
2014,NUTS,2010,BE1,1,0.0342
2015,NUTS,2010,BE1,1,0.0439
2016,NUTS,2010,BE1,1,0.0483
2017,NUTS,2010,BE1,1,0.0514
2018,NUTS,2010,BE1,1,0.1851
2019,NUTS,2010,BE1,1,0.1848
2011,NUTS,2010,BE10,2,0.0184
2012,NUTS,2010,BE10,2,0.0314
2013,NUTS,2010,BE10,2,0.0303
2014,NUTS,2010,BE10,2,0.0342
2015,NUTS,2010,BE10,2,0.0439
2016,NUTS,2010,BE10,2,0.0483
2017,NUTS,2010,BE10,2,0.0514
2018,NUTS,2010,BE10,2,0.1851
2019,NUTS,2010,BE10,2,0.1848
2011,NUTS,2010,BE2,1,0.0086
2012,NUTS,2010,BE2,1,0.0027
2013,NUTS,2010,BE2,1,0.0031
2014,NUTS,2010,BE2,1,0.0038
2015,NUTS,2010,BE2,1,0.0056
2016,NUTS,2010,BE2,1,0.0111
2017,NUTS,2010,BE2,1,0.0118
2018,NUTS,2010,BE2,1,0.0118
2019,NUTS,2010,BE2,1,0.0131
2011,NUTS,2010,BE3,1,0.0
2014,NUTS,2010,BE3,1,0.0003
2015,NUTS,2010,BE3,1,0.0003
2016,NUTS,2010,BE3,1,0.0023
2017,NUTS,2010,BE3,1,0.0018
2018,NUTS,2010,BE3,1,0.002
2019,NUTS,2010,BE3,1,0.0021
2011,NUTS,2010,BG,0,0.0042
2012,NUTS,2010,BG,0,0.0062
2013,NUTS,2010,BG,0,0.0076
2014,NUTS,2010,BG,0,0.005
2015,NUTS,2010,BG,0,0.005
2016,NUTS,2010,BG,0,0.0016
2017,NUTS,2010,BG,0,0.0056
2018,NUTS,2010,BG,0,0.0045
2019,NUTS,2010,BG,0,0.0051
2011,NUTS,2010,BG3,1,0.0004
2012,NUTS,2010,BG3,1,0.0004
2014,NUTS,2010,BG3,1,0.0006
2017,NUTS,2010,BG3,1,0.0007
2011,NUTS,2010,BG31,2,0.0
2012,NUTS,2010,BG31,2,0.0
2013,NUTS,2010,BG31,2,0.0
2014,NUTS,2010,BG31,2,0.0
2017,NUTS,2010,BG31,2,0.0
2011,NUTS,2010,BG32,2,0.0
2012,NUTS,2010,BG32,2,0.0
2013,NUTS,2010,BG32,2,0.0
2014,NUTS,2010,BG32,2,0.0
2015,NUTS,2010,BG32,2,0.0
2016,NUTS,2010,BG32,2,0.0
2017,NUTS,2010,BG32,2,0.0
2018,NUTS,2010,BG32,2,0.0
2019,NUTS,2010,BG32,2,0.0
2013,NUTS,2010,BG34,2,0.0
2016,NUTS,2010,BG34,2,0.0
2011,NUTS,2010,BG4,1,0.0075
2012,NUTS,2010,BG4,1,0.011
2014,NUTS,2010,BG4,1,0.0086
2017,NUTS,2010,BG4,1,0.0094
2013,NUTS,2010,BG41,2,0.0213
2015,NUTS,2010,BG41,2,0.0132
2016,NUTS,2010,BG41,2,0.0026
2018,NUTS,2010,BG41,2,0.0086
2019,NUTS,2010,BG41,2,0.0114
2011,NUTS,2010,CY,0,0.028
2012,NUTS,2010,CY,0,0.0323
2013,NUTS,2010,CY,0,0.0322
2014,NUTS,2010,CY,0,0.0389
2015,NUTS,2010,CY,0,0.0377
2016,NUTS,2010,CY,0,0.0333
2017,NUTS,2010,CY,0,0.0392
2018,NUTS,2010,CY,0,0.0387
2019,NUTS,2010,CY,0,0.0486
2011,NUTS,2010,CZ,0,0.0052
2012,NUTS,2010,CZ,0,0.0043
2013,NUTS,2010,CZ,0,0.0042
2014,NUTS,2010,CZ,0,0.0048
2015,NUTS,2010,CZ,0,0.004
2016,NUTS,2010,CZ,0,0.0038
2017,NUTS,2010,CZ,0,0.0046
2018,NUTS,2010,CZ,0,0.0038
2019,NUTS,2010,CZ,0,0.0047
2020,NUTS,2010,CZ,0,0.0052
2011,NUTS,2010,CZ0,1,0.0052
2012,NUTS,2010,CZ0,1,0.0042
2013,NUTS,2010,CZ0,1,0.0041
2014,NUTS,2010,CZ0,1,0.0047
2015,NUTS,2010,CZ0,1,0.0039
2016,NUTS,2010,CZ0,1,0.0037
2017,NUTS,2010,CZ0,1,0.0044
2018,NUTS,2010,CZ0,1,0.0037
2019,NUTS,2010,CZ0,1,0.0045
2020,NUTS,2010,CZ0,1,0.0051
2011,NUTS,2010,CZ01,2,0.0211
2012,NUTS,2010,CZ01,2,0.0179
2013,NUTS,2010,CZ01,2,0.0193
2014,NUTS,2010,CZ01,2,0.0185
2015,NUTS,2010,CZ01,2,0.0166
2016,NUTS,2010,CZ01,2,0.0173
2017,NUTS,2010,CZ01,2,0.0173
2018,NUTS,2010,CZ01,2,0.014
2019,NUTS,2010,CZ01,2,0.0168
2020,NUTS,2010,CZ01,2,0.0197
2011,NUTS,2010,CZ02,2,0.0013
2012,NUTS,2010,CZ02,2,0.0011
2013,NUTS,2010,CZ02,2,0.0022
2014,NUTS,2010,CZ02,2,0.003
2015,NUTS,2010,CZ02,2,0.0025
2016,NUTS,2010,CZ02,2,0.0012
2017,NUTS,2010,CZ02,2,0.0014
2018,NUTS,2010,CZ02,2,0.0004
2019,NUTS,2010,CZ02,2,0.0004
2020,NUTS,2010,CZ02,2,0.0009
2011,NUTS,2010,CZ03,2,0.0052
2012,NUTS,2010,CZ03,2,0.0039
2013,NUTS,2010,CZ03,2,0.0019
2014,NUTS,2010,CZ03,2,0.0062
2015,NUTS,2010,CZ03,2,0.0074
2016,NUTS,2010,CZ03,2,0.006
2017,NUTS,2010,CZ03,2,0.0092
2018,NUTS,2010,CZ03,2,0.0103
2019,NUTS,2010,CZ03,2,0.0069
2020,NUTS,2010,CZ03,2,0.0097
2011,NUTS,2010,CZ04,2,0.0
2012,NUTS,2010,CZ04,2,0.0
2013,NUTS,2010,CZ04,2,0.0
2014,NUTS,2010,CZ04,2,0.0
2015,NUTS,2010,CZ04,2,0.0
2016,NUTS,2010,CZ04,2,0.0
2017,NUTS,2010,CZ04,2,0.0
2018,NUTS,2010,CZ04,2,0.0002
2019,NUTS,2010,CZ04,2,0.0002
2020,NUTS,2010,CZ04,2,0.0002
2011,NUTS,2010,CZ05,2,0.0016
2012,NUTS,2010,CZ05,2,0.0002
2013,NUTS,2010,CZ05,2,0.0
2014,NUTS,2010,CZ05,2,0.0
2015,NUTS,2010,CZ05,2,0.0
2016,NUTS,2010,CZ05,2,0.0
2017,NUTS,2010,CZ05,2,0.0026
2019,NUTS,2010,CZ05,2,0.0013
