year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_fte_rse_f
2016,NUTS,2010,CZ02,2,336.0
2017,NUTS,2010,CZ02,2,313.0
2018,NUTS,2010,CZ02,2,327.0
2019,NUTS,2010,CZ02,2,337.0
2020,NUTS,2010,CZ02,2,347.0
2011,NUTS,2010,CZ03,2,64.0
2012,NUTS,2010,CZ03,2,60.0
2013,NUTS,2010,CZ03,2,100.0
2014,NUTS,2010,CZ03,2,165.0
2015,NUTS,2010,CZ03,2,134.0
2016,NUTS,2010,CZ03,2,161.0
2017,NUTS,2010,CZ03,2,152.0
2018,NUTS,2010,CZ03,2,149.0
2019,NUTS,2010,CZ03,2,165.0
2020,NUTS,2010,CZ03,2,180.0
2011,NUTS,2010,CZ04,2,11.0
2012,NUTS,2010,CZ04,2,16.0
2013,NUTS,2010,CZ04,2,11.0
2014,NUTS,2010,CZ04,2,11.0
2015,NUTS,2010,CZ04,2,9.0
2016,NUTS,2010,CZ04,2,7.0
2017,NUTS,2010,CZ04,2,9.0
2018,NUTS,2010,CZ04,2,12.0
2019,NUTS,2010,CZ04,2,12.0
2020,NUTS,2010,CZ04,2,14.0
2011,NUTS,2010,CZ05,2,27.0
2012,NUTS,2010,CZ05,2,21.0
2013,NUTS,2010,CZ05,2,29.0
2014,NUTS,2010,CZ05,2,26.0
2015,NUTS,2010,CZ05,2,30.0
2016,NUTS,2010,CZ05,2,30.0
2017,NUTS,2010,CZ05,2,25.0
2018,NUTS,2010,CZ05,2,26.0
2019,NUTS,2010,CZ05,2,32.0
2020,NUTS,2010,CZ05,2,38.0
2011,NUTS,2010,CZ06,2,313.0
2012,NUTS,2010,CZ06,2,298.0
2013,NUTS,2010,CZ06,2,399.0
2014,NUTS,2010,CZ06,2,309.0
2015,NUTS,2010,CZ06,2,399.0
2016,NUTS,2010,CZ06,2,409.0
2017,NUTS,2010,CZ06,2,409.0
2018,NUTS,2010,CZ06,2,412.0
2019,NUTS,2010,CZ06,2,447.0
2020,NUTS,2010,CZ06,2,417.0
2011,NUTS,2010,CZ07,2,10.0
2012,NUTS,2010,CZ07,2,6.0
2013,NUTS,2010,CZ07,2,9.0
2014,NUTS,2010,CZ07,2,10.0
2015,NUTS,2010,CZ07,2,12.0
2016,NUTS,2010,CZ07,2,14.0
2017,NUTS,2010,CZ07,2,24.0
2018,NUTS,2010,CZ07,2,25.0
2019,NUTS,2010,CZ07,2,26.0
2020,NUTS,2010,CZ07,2,27.0
2011,NUTS,2010,CZ08,2,11.0
2012,NUTS,2010,CZ08,2,11.0
2013,NUTS,2010,CZ08,2,10.0
2014,NUTS,2010,CZ08,2,26.0
2015,NUTS,2010,CZ08,2,27.0
2016,NUTS,2010,CZ08,2,21.0
2017,NUTS,2010,CZ08,2,30.0
2018,NUTS,2010,CZ08,2,21.0
2019,NUTS,2010,CZ08,2,24.0
2020,NUTS,2010,CZ08,2,23.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,16696.0
2012,NUTS,2010,DE,0,17571.0
2013,NUTS,2010,DE,0,18153.0
2014,NUTS,2010,DE,0,16881.0
