year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_lsr_p_mhab
2008,NUTS,2010,BE2,1,0.054
2009,NUTS,2010,BE2,1,0.161
2010,NUTS,2010,BE2,1,0.587
2011,NUTS,2010,BE2,1,0.384
2001,NUTS,2010,BE21,2,0.243
2005,NUTS,2010,BE21,2,0.447
2006,NUTS,2010,BE21,2,0.148
2009,NUTS,2010,BE21,2,0.289
2010,NUTS,2010,BE21,2,0.115
2001,NUTS,2010,BE211,3,0.429
2005,NUTS,2010,BE211,3,0.611
2006,NUTS,2010,BE211,3,0.262
2010,NUTS,2010,BE211,3,0.203
2009,NUTS,2010,BE212,3,1.554
2005,NUTS,2010,BE213,3,0.408
2006,NUTS,2010,BE22,2,0.405
2006,NUTS,2010,BE223,3,1.71
2000,NUTS,2010,BE23,2,0.734
2001,NUTS,2010,BE23,2,2.801
2002,NUTS,2010,BE23,2,0.241
2005,NUTS,2010,BE23,2,1.688
2006,NUTS,2010,BE23,2,0.36
2010,NUTS,2010,BE23,2,1.955
2011,NUTS,2010,BE23,2,1.505
2010,NUTS,2010,BE232,3,1.039
2001,NUTS,2010,BE233,3,8.435
2011,NUTS,2010,BE233,3,3.021
2000,NUTS,2010,BE234,3,2.019
2001,NUTS,2010,BE234,3,6.343
2002,NUTS,2010,BE234,3,0.662
2005,NUTS,2010,BE234,3,4.611
2006,NUTS,2010,BE234,3,0.982
2010,NUTS,2010,BE234,3,3.035
2011,NUTS,2010,BE234,3,3.611
2010,NUTS,2010,BE236,3,4.218
2003,NUTS,2010,BE24,2,0.973
2005,NUTS,2010,BE24,2,1.609
2006,NUTS,2010,BE24,2,2.078
2009,NUTS,2010,BE24,2,0.468
2010,NUTS,2010,BE24,2,0.622
2005,NUTS,2010,BE241,3,2.322
2006,NUTS,2010,BE241,3,2.604
2009,NUTS,2010,BE241,3,0.849
2010,NUTS,2010,BE241,3,1.129
2003,NUTS,2010,BE242,3,2.164
2005,NUTS,2010,BE242,3,0.71
2006,NUTS,2010,BE242,3,1.431
2001,NUTS,2010,BE25,2,0.664
2005,NUTS,2010,BE25,2,0.22
2008,NUTS,2010,BE25,2,0.287
2011,NUTS,2010,BE25,2,0.214
2001,NUTS,2010,BE251,3,1.842
2008,NUTS,2010,BE251,3,1.197
2001,NUTS,2010,BE253,3,2.396
2011,NUTS,2010,BE254,3,0.883
2005,NUTS,2010,BE257,3,2.824
2002,NUTS,2010,BE3,1,0.06
2004,NUTS,2010,BE3,1,0.098
2005,NUTS,2010,BE3,1,0.147
2002,NUTS,2010,BE31,2,0.563
2002,NUTS,2010,BE310,3,0.563
2004,NUTS,2010,BE32,2,0.257
2004,NUTS,2010,BE323,3,1.325
2005,NUTS,2010,BE33,2,0.484
2005,NUTS,2010,BE332,3,0.85
2003,NUTS,2010,BG,0,0.032
2005,NUTS,2010,BG,0,0.043
2003,NUTS,2010,BG4,1,0.068
2005,NUTS,2010,BG4,1,0.09
2003,NUTS,2010,BG41,2,0.118
2005,NUTS,2010,BG41,2,0.156
2003,NUTS,2010,BG411,3,0.207
2005,NUTS,2010,BG411,3,0.267
1990,NUTS,2010,CH,0,1.386
1991,NUTS,2010,CH,0,1.221
1992,NUTS,2010,CH,0,0.986
1993,NUTS,2010,CH,0,0.482
1994,NUTS,2010,CH,0,0.431
1995,NUTS,2010,CH,0,0.997
1996,NUTS,2010,CH,0,0.602
1997,NUTS,2010,CH,0,0.726
1998,NUTS,2010,CH,0,1.182
1999,NUTS,2010,CH,0,1.656
2000,NUTS,2010,CH,0,2.129
2001,NUTS,2010,CH,0,1.562
2002,NUTS,2010,CH,0,0.965
2003,NUTS,2010,CH,0,1.288
2004,NUTS,2010,CH,0,1.467
2005,NUTS,2010,CH,0,0.809
2006,NUTS,2010,CH,0,0.855
2007,NUTS,2010,CH,0,0.755
2008,NUTS,2010,CH,0,0.494
2009,NUTS,2010,CH,0,0.454
2010,NUTS,2010,CH,0,1.338
2011,NUTS,2010,CH,0,0.931
2012,NUTS,2010,CH,0,0.471
1990,NUTS,2010,CH0,1,1.386
1991,NUTS,2010,CH0,1,1.221
1992,NUTS,2010,CH0,1,0.986
1993,NUTS,2010,CH0,1,0.337
1994,NUTS,2010,CH0,1,0.431
1995,NUTS,2010,CH0,1,0.997
1996,NUTS,2010,CH0,1,0.602
1997,NUTS,2010,CH0,1,0.726
1998,NUTS,2010,CH0,1,1.182
1999,NUTS,2010,CH0,1,1.656
2000,NUTS,2010,CH0,1,2.083
2001,NUTS,2010,CH0,1,1.563
2002,NUTS,2010,CH0,1,0.965
2003,NUTS,2010,CH0,1,1.288
2004,NUTS,2010,CH0,1,1.467
2005,NUTS,2010,CH0,1,0.674
2006,NUTS,2010,CH0,1,0.855
2007,NUTS,2010,CH0,1,0.755
2008,NUTS,2010,CH0,1,0.494
2009,NUTS,2010,CH0,1,0.454
2010,NUTS,2010,CH0,1,1.319
2011,NUTS,2010,CH0,1,0.931
2012,NUTS,2010,CH0,1,0.471
1990,NUTS,2010,CH01,2,1.96
1991,NUTS,2010,CH01,2,0.414
1995,NUTS,2010,CH01,2,0.396
1996,NUTS,2010,CH01,2,0.259
1997,NUTS,2010,CH01,2,1.767
1998,NUTS,2010,CH01,2,0.258
1999,NUTS,2010,CH01,2,0.257
2001,NUTS,2010,CH01,2,1.534
2002,NUTS,2010,CH01,2,0.569
2003,NUTS,2010,CH01,2,0.751
2004,NUTS,2010,CH01,2,1.113
2005,NUTS,2010,CH01,2,0.638
2006,NUTS,2010,CH01,2,1.01
2007,NUTS,2010,CH01,2,0.705
2008,NUTS,2010,CH01,2,0.944
2009,NUTS,2010,CH01,2,1.162
2010,NUTS,2010,CH01,2,0.78
2012,NUTS,2010,CH01,2,0.619
1990,NUTS,2010,CH011,3,4.074
1991,NUTS,2010,CH011,3,0.866
1995,NUTS,2010,CH011,3,0.83
1996,NUTS,2010,CH011,3,0.545
1997,NUTS,2010,CH011,3,2.886
1998,NUTS,2010,CH011,3,0.543
1999,NUTS,2010,CH011,3,0.54
2001,NUTS,2010,CH011,3,3.231
2002,NUTS,2010,CH011,3,1.2
2003,NUTS,2010,CH011,3,1.585
2004,NUTS,2010,CH011,3,2.347
2005,NUTS,2010,CH011,3,1.035
2006,NUTS,2010,CH011,3,2.125
2007,NUTS,2010,CH011,3,0.604
2008,NUTS,2010,CH011,3,0.491
2009,NUTS,2010,CH011,3,2.426
2010,NUTS,2010,CH011,3,1.425
2012,NUTS,2010,CH011,3,1.281
2005,NUTS,2010,CH012,3,0.695
2007,NUTS,2010,CH012,3,1.969
2010,NUTS,2010,CH012,3,0.455
1997,NUTS,2010,CH013,3,1.267
2008,NUTS,2010,CH013,3,2.282
1990,NUTS,2010,CH02,2,0.944
1992,NUTS,2010,CH02,2,0.616
1993,NUTS,2010,CH02,2,0.612
1994,NUTS,2010,CH02,2,0.614
1995,NUTS,2010,CH02,2,2.141
1996,NUTS,2010,CH02,2,0.408
1997,NUTS,2010,CH02,2,0.694
1998,NUTS,2010,CH02,2,1.453
1999,NUTS,2010,CH02,2,1.817
2000,NUTS,2010,CH02,2,5.434
2001,NUTS,2010,CH02,2,0.603
2003,NUTS,2010,CH02,2,0.298
2004,NUTS,2010,CH02,2,0.595
2005,NUTS,2010,CH02,2,1.183
2006,NUTS,2010,CH02,2,1.91
2007,NUTS,2010,CH02,2,0.352
2008,NUTS,2010,CH02,2,0.39
2010,NUTS,2010,CH02,2,2.296
2011,NUTS,2010,CH02,2,0.57
2012,NUTS,2010,CH02,2,0.604
1990,NUTS,2010,CH021,3,1.067
1994,NUTS,2010,CH021,3,0.531
1996,NUTS,2010,CH021,3,0.711
1997,NUTS,2010,CH021,3,1.063
1998,NUTS,2010,CH021,3,0.714
1999,NUTS,2010,CH021,3,2.125
2000,NUTS,2010,CH021,3,5.3
2003,NUTS,2010,CH021,3,0.527
2005,NUTS,2010,CH021,3,2.093
2006,NUTS,2010,CH021,3,0.522
2007,NUTS,2010,CH021,3,0.209
2008,NUTS,2010,CH021,3,0.696
2010,NUTS,2010,CH021,3,4.106
2011,NUTS,2010,CH021,3,1.021
2012,NUTS,2010,CH021,3,0.68
1993,NUTS,2010,CH022,3,4.661
1990,NUTS,2010,CH023,3,2.237
1992,NUTS,2010,CH024,3,6.181
1994,NUTS,2010,CH024,3,3.051
1995,NUTS,2010,CH024,3,21.319
1997,NUTS,2010,CH024,3,0.847
1998,NUTS,2010,CH024,3,10.398
1999,NUTS,2010,CH024,3,6.039
2000,NUTS,2010,CH024,3,24.147
2001,NUTS,2010,CH024,3,6.044
2004,NUTS,2010,CH024,3,5.986
2006,NUTS,2010,CH024,3,16.267
2007,NUTS,2010,CH024,3,2.368
2012,NUTS,2010,CH024,3,2.31
1990,NUTS,2010,CH03,2,1.649
1991,NUTS,2010,CH03,2,1.441
1992,NUTS,2010,CH03,2,1.07
1995,NUTS,2010,CH03,2,1.029
2000,NUTS,2010,CH03,2,1.691
2001,NUTS,2010,CH03,2,2.019
2002,NUTS,2010,CH03,2,1.002
2003,NUTS,2010,CH03,2,0.328
2004,NUTS,2010,CH03,2,0.988
2006,NUTS,2010,CH03,2,0.49
2008,NUTS,2010,CH03,2,0.56
2010,NUTS,2010,CH03,2,0.377
2011,NUTS,2010,CH03,2,1.242
1991,NUTS,2010,CH031,3,0.877
2000,NUTS,2010,CH031,3,8.861
1991,NUTS,2010,CH032,3,0.735
1990,NUTS,2010,CH033,3,3.059
1991,NUTS,2010,CH033,3,2.008
1992,NUTS,2010,CH033,3,1.973
1995,NUTS,2010,CH033,3,1.912
2001,NUTS,2010,CH033,3,3.679
2002,NUTS,2010,CH033,3,1.817
2003,NUTS,2010,CH033,3,0.594
2004,NUTS,2010,CH033,3,1.784
2006,NUTS,2010,CH033,3,0.878
2008,NUTS,2010,CH033,3,0.997
2010,NUTS,2010,CH033,3,0.667
2011,NUTS,2010,CH033,3,2.175
1990,NUTS,2010,CH04,2,2.839
1991,NUTS,2010,CH04,2,5.616
1992,NUTS,2010,CH04,2,4.124
1993,NUTS,2010,CH04,2,1.148
1994,NUTS,2010,CH04,2,1.437
1995,NUTS,2010,CH04,2,1.711
1996,NUTS,2010,CH04,2,1.063
1997,NUTS,2010,CH04,2,1.06
1998,NUTS,2010,CH04,2,4.003
1999,NUTS,2010,CH04,2,5.448
2000,NUTS,2010,CH04,2,1.877
2001,NUTS,2010,CH04,2,2.893
2002,NUTS,2010,CH04,2,4.279
2003,NUTS,2010,CH04,2,4.229
2004,NUTS,2010,CH04,2,1.576
2005,NUTS,2010,CH04,2,1.11
2006,NUTS,2010,CH04,2,0.982
2007,NUTS,2010,CH04,2,0.841
2008,NUTS,2010,CH04,2,0.895
2009,NUTS,2010,CH04,2,0.75
2010,NUTS,2010,CH04,2,2.857
2011,NUTS,2010,CH04,2,0.364
2012,NUTS,2010,CH04,2,0.359
1990,NUTS,2010,CH040,3,2.839
1991,NUTS,2010,CH040,3,5.616
1992,NUTS,2010,CH040,3,4.124
1993,NUTS,2010,CH040,3,1.148
1994,NUTS,2010,CH040,3,1.437
1995,NUTS,2010,CH040,3,1.711
1996,NUTS,2010,CH040,3,1.063
1997,NUTS,2010,CH040,3,1.06
1998,NUTS,2010,CH040,3,4.003
1999,NUTS,2010,CH040,3,5.448
2000,NUTS,2010,CH040,3,1.877
2001,NUTS,2010,CH040,3,2.893
2002,NUTS,2010,CH040,3,4.279
2003,NUTS,2010,CH040,3,4.229
2004,NUTS,2010,CH040,3,1.576
2005,NUTS,2010,CH040,3,1.11
2006,NUTS,2010,CH040,3,0.982
2007,NUTS,2010,CH040,3,0.841
2008,NUTS,2010,CH040,3,0.895
2009,NUTS,2010,CH040,3,0.75
2010,NUTS,2010,CH040,3,2.857
2011,NUTS,2010,CH040,3,0.364
2012,NUTS,2010,CH040,3,0.359
1990,NUTS,2010,CH05,2,0.699
1996,NUTS,2010,CH05,2,1.936
1997,NUTS,2010,CH05,2,0.482
1998,NUTS,2010,CH05,2,0.483
1999,NUTS,2010,CH05,2,0.963
2000,NUTS,2010,CH05,2,1.92
2001,NUTS,2010,CH05,2,1.677
2003,NUTS,2010,CH05,2,0.951
2004,NUTS,2010,CH05,2,4.733
2005,NUTS,2010,CH05,2,0.311
2007,NUTS,2010,CH05,2,2.506
2009,NUTS,2010,CH05,2,0.461
2011,NUTS,2010,CH05,2,2.718
2012,NUTS,2010,CH05,2,1.122
2001,NUTS,2010,CH052,3,2.054
1990,NUTS,2010,CH055,3,1.616
1996,NUTS,2010,CH055,3,3.391
1997,NUTS,2010,CH055,3,0.563
1999,NUTS,2010,CH055,3,2.248
2000,NUTS,2010,CH055,3,4.468
2001,NUTS,2010,CH055,3,2.221
2003,NUTS,2010,CH055,3,2.197
2004,NUTS,2010,CH055,3,10.934
2007,NUTS,2010,CH055,3,1.083
2009,NUTS,2010,CH055,3,1.061
2011,NUTS,2010,CH055,3,4.176
2001,NUTS,2010,CH056,3,3.228
2005,NUTS,2010,CH056,3,1.757
2007,NUTS,2010,CH056,3,11.547
2011,NUTS,2010,CH056,3,5.192
2012,NUTS,2010,CH056,3,3.878
1996,NUTS,2010,CH057,3,2.238
1997,NUTS,2010,CH057,3,1.112
1998,NUTS,2010,CH057,3,2.218
2012,NUTS,2010,CH057,3,1.984
1994,NUTS,2010,CH06,2,0.512
1998,NUTS,2010,CH06,2,0.15
1999,NUTS,2010,CH06,2,1.49
2001,NUTS,2010,CH06,2,1.47
2003,NUTS,2010,CH06,2,1.915
2004,NUTS,2010,CH06,2,0.472
2005,NUTS,2010,CH06,2,0.568
2007,NUTS,2010,CH06,2,0.462
2009,NUTS,2010,CH06,2,0.45
2010,NUTS,2010,CH06,2,1.176
2011,NUTS,2010,CH06,2,2.001
2009,NUTS,2010,CH061,3,0.895
2011,NUTS,2010,CH061,3,2.648
1994,NUTS,2010,CH063,3,2.784
1998,NUTS,2010,CH063,3,0.799
2001,NUTS,2010,CH063,3,7.761
2003,NUTS,2010,CH063,3,2.477
2004,NUTS,2010,CH063,3,2.446
2005,NUTS,2010,CH063,3,2.941
2007,NUTS,2010,CH063,3,2.377
2010,NUTS,2010,CH063,3,3.732
1999,NUTS,2010,CH064,3,31.261
2003,NUTS,2010,CH064,3,30.339
2011,NUTS,2010,CH064,3,7.025
2011,NUTS,2010,CH065,3,6.094
2010,NUTS,2010,CH066,3,2.976
1998,NUTS,2010,CH07,2,1.08
1998,NUTS,2010,CH070,3,1.08
2000,NUTS,2010,CZ,0,0.024
2008,NUTS,2010,CZ,0,0.097
2011,NUTS,2010,CZ,0,0.019
2000,NUTS,2010,CZ0,1,0.024
2008,NUTS,2010,CZ0,1,0.097
2011,NUTS,2010,CZ0,1,0.019
2000,NUTS,2010,CZ01,2,0.211
2008,NUTS,2010,CZ01,2,0.56
2011,NUTS,2010,CZ01,2,0.162
2000,NUTS,2010,CZ010,3,0.211
2008,NUTS,2010,CZ010,3,0.56
2011,NUTS,2010,CZ010,3,0.162
2008,NUTS,2010,CZ02,2,0.275
2008,NUTS,2010,CZ020,3,0.275
1990,NUTS,2010,DE,0,0.584
1991,NUTS,2010,DE,0,0.558
1992,NUTS,2010,DE,0,0.424
1993,NUTS,2010,DE,0,0.395
1994,NUTS,2010,DE,0,0.468
1995,NUTS,2010,DE,0,0.635
1996,NUTS,2010,DE,0,0.828
1997,NUTS,2010,DE,0,0.624
1998,NUTS,2010,DE,0,0.782
1999,NUTS,2010,DE,0,0.649
2000,NUTS,2010,DE,0,0.913
2001,NUTS,2010,DE,0,0.96
2002,NUTS,2010,DE,0,0.771
2003,NUTS,2010,DE,0,0.813
2004,NUTS,2010,DE,0,0.785
2005,NUTS,2010,DE,0,0.716
2006,NUTS,2010,DE,0,0.481
2007,NUTS,2010,DE,0,0.59
2008,NUTS,2010,DE,0,0.734
2009,NUTS,2010,DE,0,0.783
2010,NUTS,2010,DE,0,0.478
2011,NUTS,2010,DE,0,0.531
2012,NUTS,2010,DE,0,0.388
2000,NUTS,2010,DE1,1,2.269
2001,NUTS,2010,DE1,1,2.219
2002,NUTS,2010,DE1,1,1.842
2003,NUTS,2010,DE1,1,1.51
2004,NUTS,2010,DE1,1,1.106
2005,NUTS,2010,DE1,1,1.621
2006,NUTS,2010,DE1,1,0.792
2007,NUTS,2010,DE1,1,1.099
2008,NUTS,2010,DE1,1,1.46
2009,NUTS,2010,DE1,1,1.776
2010,NUTS,2010,DE1,1,0.884
2011,NUTS,2010,DE1,1,0.844
2012,NUTS,2010,DE1,1,0.871
2000,NUTS,2010,DE11,2,2.446
2001,NUTS,2010,DE11,2,3.283
2002,NUTS,2010,DE11,2,3.093
2003,NUTS,2010,DE11,2,1.681
2004,NUTS,2010,DE11,2,0.583
2005,NUTS,2010,DE11,2,1.666
2006,NUTS,2010,DE11,2,1.622
2007,NUTS,2010,DE11,2,1.598
2008,NUTS,2010,DE11,2,1.552
2009,NUTS,2010,DE11,2,3.215
2010,NUTS,2010,DE11,2,1.687
2011,NUTS,2010,DE11,2,0.73
2012,NUTS,2010,DE11,2,1.208
2000,NUTS,2010,DE111,3,2.575
2001,NUTS,2010,DE111,3,2.569
2002,NUTS,2010,DE111,3,5.416
2003,NUTS,2010,DE111,3,0.85
2004,NUTS,2010,DE111,3,1.137
2005,NUTS,2010,DE111,3,4.944
2006,NUTS,2010,DE111,3,2.244
2007,NUTS,2010,DE111,3,2.576
2008,NUTS,2010,DE111,3,3.081
2009,NUTS,2010,DE111,3,7.416
2010,NUTS,2010,DE111,3,6.233
2011,NUTS,2010,DE111,3,2.605
2012,NUTS,2010,DE111,3,1.418
2000,NUTS,2010,DE112,3,8.286
2001,NUTS,2010,DE112,3,18.96
2002,NUTS,2010,DE112,3,14.083
2003,NUTS,2010,DE112,3,9.451
2004,NUTS,2010,DE112,3,0.888
2007,NUTS,2010,DE112,3,2.901
2008,NUTS,2010,DE112,3,0.885
2009,NUTS,2010,DE112,3,2.28
2010,NUTS,2010,DE112,3,0.673
2012,NUTS,2010,DE112,3,0.537
2001,NUTS,2010,DE113,3,0.34
2002,NUTS,2010,DE113,3,0.653
2007,NUTS,2010,DE113,3,0.389
2008,NUTS,2010,DE113,3,1.419
2009,NUTS,2010,DE113,3,0.972
2012,NUTS,2010,DE113,3,0.387
2000,NUTS,2010,DE114,3,1.952
2003,NUTS,2010,DE114,3,0.774
2000,NUTS,2010,DE115,3,5.046
2001,NUTS,2010,DE115,3,7.694
2002,NUTS,2010,DE115,3,4.729
2003,NUTS,2010,DE115,3,4.931
2004,NUTS,2010,DE115,3,2.609
2005,NUTS,2010,DE115,3,5.861
2006,NUTS,2010,DE115,3,8.124
2007,NUTS,2010,DE115,3,6.965
2008,NUTS,2010,DE115,3,5.455
2009,NUTS,2010,DE115,3,10.506
2010,NUTS,2010,DE115,3,5.32
2011,NUTS,2010,DE115,3,2.568
2012,NUTS,2010,DE115,3,4.952
2000,NUTS,2010,DE116,3,2.038
2001,NUTS,2010,DE116,3,1.222
2006,NUTS,2010,DE116,3,1.197
2000,NUTS,2010,DE118,3,0.787
2006,NUTS,2010,DE11A,3,2.637
2002,NUTS,2010,DE11B,3,1.454
2005,NUTS,2010,DE11C,3,1.842
2009,NUTS,2010,DE11C,3,2.485
2000,NUTS,2010,DE11D,3,3.192
2002,NUTS,2010,DE11D,3,3.171
2005,NUTS,2010,DE11D,3,1.577
2008,NUTS,2010,DE11D,3,1.589
2009,NUTS,2010,DE11D,3,4.241
2012,NUTS,2010,DE11D,3,3.222
2000,NUTS,2010,DE12,2,3.113
2001,NUTS,2010,DE12,2,1.833
2002,NUTS,2010,DE12,2,0.711
2003,NUTS,2010,DE12,2,0.552
2004,NUTS,2010,DE12,2,0.856
2005,NUTS,2010,DE12,2,0.429
2007,NUTS,2010,DE12,2,0.439
2008,NUTS,2010,DE12,2,0.438
2009,NUTS,2010,DE12,2,0.858
2010,NUTS,2010,DE12,2,0.456
2011,NUTS,2010,DE12,2,0.302
2001,NUTS,2010,DE122,3,0.61
2003,NUTS,2010,DE122,3,1.777
2004,NUTS,2010,DE122,3,4.706
2008,NUTS,2010,DE122,3,3.461
2009,NUTS,2010,DE122,3,3.44
2011,NUTS,2010,DE122,3,2.816
2000,NUTS,2010,DE123,3,4.202
2002,NUTS,2010,DE123,3,0.78
2009,NUTS,2010,DE123,3,1.739
2001,NUTS,2010,DE124,3,1.119
2005,NUTS,2010,DE124,3,1.45
2001,NUTS,2010,DE125,3,3.565
2003,NUTS,2010,DE125,3,3.507
2005,NUTS,2010,DE125,3,2.306
2007,NUTS,2010,DE125,3,6.914
2009,NUTS,2010,DE125,3,3.433
2001,NUTS,2010,DE126,3,4.89
2002,NUTS,2010,DE126,3,4.053
2000,NUTS,2010,DE128,3,11.974
2001,NUTS,2010,DE128,3,1.584
2002,NUTS,2010,DE128,3,0.625
2003,NUTS,2010,DE128,3,0.942
2007,NUTS,2010,DE128,3,0.374
2010,NUTS,2010,DE128,3,1.865
2001,NUTS,2010,DE12A,3,7.36
2004,NUTS,2010,DE12A,3,6.191
2005,NUTS,2010,DE12A,3,3.095
2008,NUTS,2010,DE12A,3,1.253
2009,NUTS,2010,DE12A,3,0.63
2010,NUTS,2010,DE12A,3,1.582
2001,NUTS,2010,DE12B,3,2.593
2000,NUTS,2010,DE12C,3,2.726
2000,NUTS,2010,DE13,2,1.727
2001,NUTS,2010,DE13,2,1.357
2002,NUTS,2010,DE13,2,0.927
2003,NUTS,2010,DE13,2,2.534
2004,NUTS,2010,DE13,2,2.446
