year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_mio_eur_total
2015,NUTS,2010,AT12,2,935.401
2017,NUTS,2010,AT12,2,1047.414
2019,NUTS,2010,AT12,2,1132.725
1989,NUTS,2010,AT13,2,777.654
1993,NUTS,2010,AT13,2,1218.049
1998,NUTS,2010,AT13,2,1638.856
2002,NUTS,2010,AT13,2,2020.589
2004,NUTS,2010,AT13,2,2184.315
2006,NUTS,2010,AT13,2,2430.103
2007,NUTS,2010,AT13,2,2617.996
2009,NUTS,2010,AT13,2,2846.591
2011,NUTS,2010,AT13,2,2870.752
2013,NUTS,2010,AT13,2,2938.696
2015,NUTS,2010,AT13,2,3165.801
2017,NUTS,2010,AT13,2,3343.167
2019,NUTS,2010,AT13,2,3656.581
1989,NUTS,2010,AT2,1,282.027
1993,NUTS,2010,AT2,1,366.69
1998,NUTS,2010,AT2,1,717.124
2002,NUTS,2010,AT2,1,1136.449
2004,NUTS,2010,AT2,1,1258.173
2006,NUTS,2010,AT2,1,1515.426
2007,NUTS,2010,AT2,1,1695.879
2009,NUTS,2010,AT2,1,1723.55
2011,NUTS,2010,AT2,1,2127.089
2013,NUTS,2010,AT2,1,2509.092
2015,NUTS,2010,AT2,1,2820.382
2017,NUTS,2010,AT2,1,2904.506
2019,NUTS,2010,AT2,1,3309.093
1989,NUTS,2010,AT21,2,30.96
1993,NUTS,2010,AT21,2,35.976
1998,NUTS,2010,AT21,2,121.176
2002,NUTS,2010,AT21,2,229.532
2004,NUTS,2010,AT21,2,309.177
2006,NUTS,2010,AT21,2,393.752
2007,NUTS,2010,AT21,2,417.343
2009,NUTS,2010,AT21,2,389.178
2011,NUTS,2010,AT21,2,480.133
2013,NUTS,2010,AT21,2,506.772
2015,NUTS,2010,AT21,2,585.288
2017,NUTS,2010,AT21,2,584.178
2019,NUTS,2010,AT21,2,691.276
1989,NUTS,2010,AT22,2,251.077
1993,NUTS,2010,AT22,2,330.714
1998,NUTS,2010,AT22,2,595.948
2002,NUTS,2010,AT22,2,906.917
2004,NUTS,2010,AT22,2,948.996
2006,NUTS,2010,AT22,2,1121.674
2007,NUTS,2010,AT22,2,1278.536
2009,NUTS,2010,AT22,2,1334.372
2011,NUTS,2010,AT22,2,1646.956
2013,NUTS,2010,AT22,2,2002.32
2015,NUTS,2010,AT22,2,2235.094
2017,NUTS,2010,AT22,2,2320.328
2019,NUTS,2010,AT22,2,2617.817
1989,NUTS,2010,AT3,1,415.527
1993,NUTS,2010,AT3,1,553.843
1998,NUTS,2010,AT3,1,817.441
2002,NUTS,2010,AT3,1,1209.746
2004,NUTS,2010,AT3,1,1451.11
2006,NUTS,2010,AT3,1,1877.148
2007,NUTS,2010,AT3,1,2001.616
2009,NUTS,2010,AT3,1,2264.7
2011,NUTS,2010,AT3,1,2515.209
2013,NUTS,2010,AT3,1,3246.304
2015,NUTS,2010,AT3,1,3497.833
2017,NUTS,2010,AT3,1,3920.302
2019,NUTS,2010,AT3,1,4262.661
1989,NUTS,2010,AT31,2,196.855
1993,NUTS,2010,AT31,2,238.703
1998,NUTS,2010,AT31,2,392.332
2002,NUTS,2010,AT31,2,599.216
2004,NUTS,2010,AT31,2,713.81
2006,NUTS,2010,AT31,2,964.932
2007,NUTS,2010,AT31,2,1044.582
2009,NUTS,2010,AT31,2,1134.141
2011,NUTS,2010,AT31,2,1295.914
2013,NUTS,2010,AT31,2,1737.844
2015,NUTS,2010,AT31,2,1846.323
2017,NUTS,2010,AT31,2,2191.158
2019,NUTS,2010,AT31,2,2387.053
1989,NUTS,2010,AT32,2,54.845
1993,NUTS,2010,AT32,2,81.376
1998,NUTS,2010,AT32,2,92.372
2002,NUTS,2010,AT32,2,136.22
2004,NUTS,2010,AT32,2,166.06
2006,NUTS,2010,AT32,2,200.919
2007,NUTS,2010,AT32,2,210.027
2009,NUTS,2010,AT32,2,242.634
2011,NUTS,2010,AT32,2,287.664
2013,NUTS,2010,AT32,2,356.94
2015,NUTS,2010,AT32,2,384.674
2017,NUTS,2010,AT32,2,443.02
2019,NUTS,2010,AT32,2,506.141
1989,NUTS,2010,AT33,2,130.818
1993,NUTS,2010,AT33,2,185.931
1998,NUTS,2010,AT33,2,257.251
2002,NUTS,2010,AT33,2,340.594
2004,NUTS,2010,AT33,2,432.427
2006,NUTS,2010,AT33,2,556.675
2007,NUTS,2010,AT33,2,573.778
2009,NUTS,2010,AT33,2,683.137
2011,NUTS,2010,AT33,2,728.795
2013,NUTS,2010,AT33,2,904.335
2015,NUTS,2010,AT33,2,965.283
2017,NUTS,2010,AT33,2,968.24
2019,NUTS,2010,AT33,2,1024.213
1989,NUTS,2010,AT34,2,32.943
1993,NUTS,2010,AT34,2,47.824
1998,NUTS,2010,AT34,2,75.487
2002,NUTS,2010,AT34,2,133.716
2004,NUTS,2010,AT34,2,138.813
2006,NUTS,2010,AT34,2,154.619
2007,NUTS,2010,AT34,2,173.229
2009,NUTS,2010,AT34,2,204.788
2011,NUTS,2010,AT34,2,202.836
2013,NUTS,2010,AT34,2,247.185
2015,NUTS,2010,AT34,2,301.553
2017,NUTS,2010,AT34,2,317.884
2019,NUTS,2010,AT34,2,345.254
1993,NUTS,2010,ATZ,1,73.528
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
1993,NUTS,2010,ATZZ,2,73.528
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,35.575
2013,NUTS,2010,BA,0,43.995
2014,NUTS,2010,BA,0,36.686
2019,NUTS,2010,BA,0,34.765
1983,NUTS,2010,BE,0,1468.102
1984,NUTS,2010,BE,0,1598.606
1985,NUTS,2010,BE,0,1777.421
1986,NUTS,2010,BE,0,1911.734
1987,NUTS,2010,BE,0,2039.569
1988,NUTS,2010,BE,0,2101.43
1989,NUTS,2010,BE,0,2361.326
1991,NUTS,2010,BE,0,2654.075
1993,NUTS,2010,BE,0,3144.085
1994,NUTS,2010,BE,0,3361.825
1995,NUTS,2010,BE,0,3628.084
1996,NUTS,2010,BE,0,3833.905
1997,NUTS,2010,BE,0,4036.226
1998,NUTS,2010,BE,0,4246.485
1999,NUTS,2010,BE,0,4617.525
2000,NUTS,2010,BE,0,4963.95
2001,NUTS,2010,BE,0,5373.378
2002,NUTS,2010,BE,0,5200.737
2003,NUTS,2010,BE,0,5177.444
2004,NUTS,2010,BE,0,5403.617
2005,NUTS,2010,BE,0,5551.553
2006,NUTS,2010,BE,0,5926.513
2007,NUTS,2010,BE,0,6356.931
2008,NUTS,2010,BE,0,6812.699
2009,NUTS,2010,BE,0,6924.591
2010,NUTS,2010,BE,0,7487.5
2011,NUTS,2010,BE,0,8171.0
2012,NUTS,2010,BE,0,8809.188
2013,NUTS,2010,BE,0,9156.953
2014,NUTS,2010,BE,0,9551.244
2015,NUTS,2010,BE,0,10118.2
2016,NUTS,2010,BE,0,10852.674
2017,NUTS,2010,BE,0,11867.981
2018,NUTS,2010,BE,0,13158.259
2019,NUTS,2010,BE,0,15109.898
2020,NUTS,2010,BE,0,15887.075
2002,NUTS,2010,BE1,1,652.73
2003,NUTS,2010,BE1,1,627.271
2004,NUTS,2010,BE1,1,654.975
2005,NUTS,2010,BE1,1,659.818
2006,NUTS,2010,BE1,1,848.161
2007,NUTS,2010,BE1,1,860.968
2008,NUTS,2010,BE1,1,974.972
2009,NUTS,2010,BE1,1,993.994
2010,NUTS,2010,BE1,1,942.062
2011,NUTS,2010,BE1,1,956.903
2012,NUTS,2010,BE1,1,1026.586
2013,NUTS,2010,BE1,1,1089.49
2014,NUTS,2010,BE1,1,1235.208
2015,NUTS,2010,BE1,1,1338.278
2016,NUTS,2010,BE1,1,1525.089
2017,NUTS,2010,BE1,1,1681.489
2018,NUTS,2010,BE1,1,1895.776
2019,NUTS,2010,BE1,1,2035.052
2002,NUTS,2010,BE10,2,652.73
2003,NUTS,2010,BE10,2,627.271
2004,NUTS,2010,BE10,2,654.975
2005,NUTS,2010,BE10,2,659.818
2006,NUTS,2010,BE10,2,848.161
2007,NUTS,2010,BE10,2,860.968
2008,NUTS,2010,BE10,2,974.972
2009,NUTS,2010,BE10,2,993.994
2010,NUTS,2010,BE10,2,942.062
2011,NUTS,2010,BE10,2,956.903
2012,NUTS,2010,BE10,2,1026.586
2013,NUTS,2010,BE10,2,1089.49
2014,NUTS,2010,BE10,2,1235.208
2015,NUTS,2010,BE10,2,1338.278
2016,NUTS,2010,BE10,2,1525.089
2017,NUTS,2010,BE10,2,1681.489
2018,NUTS,2010,BE10,2,1895.776
2019,NUTS,2010,BE10,2,2035.052
2002,NUTS,2010,BE2,1,3330.091
2003,NUTS,2010,BE2,1,3273.363
2004,NUTS,2010,BE2,1,3385.178
2005,NUTS,2010,BE2,1,3582.737
2006,NUTS,2010,BE2,1,3590.302
2007,NUTS,2010,BE2,1,3861.328
2008,NUTS,2010,BE2,1,4152.327
2009,NUTS,2010,BE2,1,4145.351
2010,NUTS,2010,BE2,1,4622.364
2011,NUTS,2010,BE2,1,5038.015
2012,NUTS,2010,BE2,1,5579.754
2013,NUTS,2010,BE2,1,5792.472
2014,NUTS,2010,BE2,1,6043.443
2015,NUTS,2010,BE2,1,6433.036
2016,NUTS,2010,BE2,1,6879.952
2017,NUTS,2010,BE2,1,7476.422
2018,NUTS,2010,BE2,1,7906.2
2019,NUTS,2010,BE2,1,9350.475
2006,NUTS,2010,BE21,2,1352.882
2007,NUTS,2010,BE21,2,1394.748
2008,NUTS,2010,BE21,2,1459.169
2009,NUTS,2010,BE21,2,1433.709
2010,NUTS,2010,BE21,2,1675.366
2011,NUTS,2010,BE21,2,1889.141
2012,NUTS,2010,BE21,2,1948.003
2013,NUTS,2010,BE21,2,1997.377
2014,NUTS,2010,BE21,2,2292.58
2015,NUTS,2010,BE21,2,2476.961
2016,NUTS,2010,BE21,2,2668.949
2017,NUTS,2010,BE21,2,2934.777
2006,NUTS,2010,BE22,2,188.539
2007,NUTS,2010,BE22,2,230.822
2008,NUTS,2010,BE22,2,216.236
2009,NUTS,2010,BE22,2,221.369
2010,NUTS,2010,BE22,2,231.653
2011,NUTS,2010,BE22,2,276.669
2012,NUTS,2010,BE22,2,294.944
2013,NUTS,2010,BE22,2,318.323
2014,NUTS,2010,BE22,2,336.426
2015,NUTS,2010,BE22,2,351.49
2016,NUTS,2010,BE22,2,399.356
2017,NUTS,2010,BE22,2,441.247
2006,NUTS,2010,BE23,2,690.975
2007,NUTS,2010,BE23,2,756.184
2008,NUTS,2010,BE23,2,836.722
2009,NUTS,2010,BE23,2,851.801
2010,NUTS,2010,BE23,2,945.261
2011,NUTS,2010,BE23,2,1018.595
2012,NUTS,2010,BE23,2,1183.601
2013,NUTS,2010,BE23,2,1263.746
2014,NUTS,2010,BE23,2,1199.87
2015,NUTS,2010,BE23,2,1252.03
2016,NUTS,2010,BE23,2,1422.496
2017,NUTS,2010,BE23,2,1466.897
2006,NUTS,2010,BE24,2,1029.468
2007,NUTS,2010,BE24,2,1121.491
2008,NUTS,2010,BE24,2,1281.869
2009,NUTS,2010,BE24,2,1293.887
2010,NUTS,2010,BE24,2,1414.857
2011,NUTS,2010,BE24,2,1452.6
2012,NUTS,2010,BE24,2,1617.583
2013,NUTS,2010,BE24,2,1665.357
2014,NUTS,2010,BE24,2,1780.471
2015,NUTS,2010,BE24,2,1880.728
2016,NUTS,2010,BE24,2,1863.782
2017,NUTS,2010,BE24,2,2029.828
2006,NUTS,2010,BE25,2,328.437
2007,NUTS,2010,BE25,2,358.082
2008,NUTS,2010,BE25,2,358.332
2009,NUTS,2010,BE25,2,344.584
2010,NUTS,2010,BE25,2,355.226
2011,NUTS,2010,BE25,2,401.01
2012,NUTS,2010,BE25,2,535.622
2013,NUTS,2010,BE25,2,547.668
2014,NUTS,2010,BE25,2,434.097
2015,NUTS,2010,BE25,2,471.826
2016,NUTS,2010,BE25,2,525.369
2017,NUTS,2010,BE25,2,603.673
2002,NUTS,2010,BE3,1,1217.917
2003,NUTS,2010,BE3,1,1276.81
2004,NUTS,2010,BE3,1,1363.464
2005,NUTS,2010,BE3,1,1308.998
2006,NUTS,2010,BE3,1,1488.05
2007,NUTS,2010,BE3,1,1634.635
2008,NUTS,2010,BE3,1,1685.4
2009,NUTS,2010,BE3,1,1785.246
2010,NUTS,2010,BE3,1,1923.117
2011,NUTS,2010,BE3,1,2176.09
2012,NUTS,2010,BE3,1,2202.873
2013,NUTS,2010,BE3,1,2275.023
2014,NUTS,2010,BE3,1,2272.593
2015,NUTS,2010,BE3,1,2346.887
2016,NUTS,2010,BE3,1,2447.633
2017,NUTS,2010,BE3,1,2710.07
2018,NUTS,2010,BE3,1,3356.283
2019,NUTS,2010,BE3,1,3724.371
2006,NUTS,2010,BE31,2,742.915
2007,NUTS,2010,BE31,2,845.98
2008,NUTS,2010,BE31,2,854.521
2009,NUTS,2010,BE31,2,921.719
2010,NUTS,2010,BE31,2,970.553
2011,NUTS,2010,BE31,2,1136.474
2012,NUTS,2010,BE31,2,1279.528
2013,NUTS,2010,BE31,2,1302.57
2014,NUTS,2010,BE31,2,1050.411
2015,NUTS,2010,BE31,2,1030.75
2016,NUTS,2010,BE31,2,1281.931
2017,NUTS,2010,BE31,2,1404.494
2006,NUTS,2010,BE32,2,263.431
2007,NUTS,2010,BE32,2,277.347
2008,NUTS,2010,BE32,2,326.987
2009,NUTS,2010,BE32,2,351.377
2010,NUTS,2010,BE32,2,416.545
2011,NUTS,2010,BE32,2,448.554
2012,NUTS,2010,BE32,2,399.13
2013,NUTS,2010,BE32,2,420.07
2014,NUTS,2010,BE32,2,501.103
2015,NUTS,2010,BE32,2,508.681
2016,NUTS,2010,BE32,2,408.422
2017,NUTS,2010,BE32,2,478.041
2006,NUTS,2010,BE33,2,350.667
2007,NUTS,2010,BE33,2,374.722
2008,NUTS,2010,BE33,2,357.888
2009,NUTS,2010,BE33,2,359.656
2010,NUTS,2010,BE33,2,388.05
2011,NUTS,2010,BE33,2,428.264
2012,NUTS,2010,BE33,2,415.671
2013,NUTS,2010,BE33,2,444.81
2014,NUTS,2010,BE33,2,526.888
2015,NUTS,2010,BE33,2,600.501
2016,NUTS,2010,BE33,2,618.411
2017,NUTS,2010,BE33,2,675.318
2006,NUTS,2010,BE34,2,28.162
2007,NUTS,2010,BE34,2,29.423
2008,NUTS,2010,BE34,2,19.342
2009,NUTS,2010,BE34,2,17.199
2010,NUTS,2010,BE34,2,18.662
2011,NUTS,2010,BE34,2,23.753
2012,NUTS,2010,BE34,2,16.318
2013,NUTS,2010,BE34,2,14.471
2014,NUTS,2010,BE34,2,45.345
2015,NUTS,2010,BE34,2,52.634
2016,NUTS,2010,BE34,2,18.11
2017,NUTS,2010,BE34,2,19.191
2006,NUTS,2010,BE35,2,102.876
2007,NUTS,2010,BE35,2,107.164
2008,NUTS,2010,BE35,2,126.663
2009,NUTS,2010,BE35,2,135.295
2010,NUTS,2010,BE35,2,129.307
2011,NUTS,2010,BE35,2,139.045
2012,NUTS,2010,BE35,2,92.227
2013,NUTS,2010,BE35,2,93.103
2014,NUTS,2010,BE35,2,148.847
2015,NUTS,2010,BE35,2,154.321
2016,NUTS,2010,BE35,2,120.759
2017,NUTS,2010,BE35,2,133.026
1989,NUTS,2010,BEZ,1,824.521
1991,NUTS,2010,BEZ,1,942.916
2012,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
1989,NUTS,2010,BEZZ,2,824.521
1991,NUTS,2010,BEZZ,2,942.916
2012,NUTS,2010,BEZZ,2,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1987,NUTS,2010,BG,0,710.769
1988,NUTS,2010,BG,0,758.571
1989,NUTS,2010,BG,0,947.273
1990,NUTS,2010,BG,0,240.222
1991,NUTS,2010,BG,0,61.331
1992,NUTS,2010,BG,0,64.638
1993,NUTS,2010,BG,0,109.567
1994,NUTS,2010,BG,0,71.444
1995,NUTS,2010,BG,0,61.968
1996,NUTS,2010,BG,0,41.115
1997,NUTS,2010,BG,0,46.849
1998,NUTS,2010,BG,0,64.8
1999,NUTS,2010,BG,0,68.744
2000,NUTS,2010,BG,0,71.338
2001,NUTS,2010,BG,0,71.111
2002,NUTS,2010,BG,0,81.227
2003,NUTS,2010,BG,0,88.769
2004,NUTS,2010,BG,0,99.319
2005,NUTS,2010,BG,0,106.423
2006,NUTS,2010,BG,0,121.196
2007,NUTS,2010,BG,0,139.609
2008,NUTS,2010,BG,0,166.61
2009,NUTS,2010,BG,0,184.61
2010,NUTS,2010,BG,0,215.57
2011,NUTS,2010,BG,0,219.637
2012,NUTS,2010,BG,0,253.695
2013,NUTS,2010,BG,0,266.736
2014,NUTS,2010,BG,0,339.927
2015,NUTS,2010,BG,0,434.838
2016,NUTS,2010,BG,0,375.434
2017,NUTS,2010,BG,0,388.707
2018,NUTS,2010,BG,0,423.818
2019,NUTS,2010,BG,0,512.39
2020,NUTS,2010,BG,0,523.464
2002,NUTS,2010,BG3,1,12.581
2003,NUTS,2010,BG3,1,13.573
2004,NUTS,2010,BG3,1,13.054
2005,NUTS,2010,BG3,1,11.968
2006,NUTS,2010,BG3,1,18.248
2007,NUTS,2010,BG3,1,18.392
2008,NUTS,2010,BG3,1,22.538
2009,NUTS,2010,BG3,1,26.696
2010,NUTS,2010,BG3,1,25.105
2011,NUTS,2010,BG3,1,23.784
2012,NUTS,2010,BG3,1,26.59
2013,NUTS,2010,BG3,1,34.15
2014,NUTS,2010,BG3,1,42.838
2015,NUTS,2010,BG3,1,72.842
2016,NUTS,2010,BG3,1,74.57
2017,NUTS,2010,BG3,1,77.836
2018,NUTS,2010,BG3,1,79.73
2019,NUTS,2010,BG3,1,89.078
2002,NUTS,2010,BG31,2,1.848
2003,NUTS,2010,BG31,2,1.915
2004,NUTS,2010,BG31,2,2.356
2005,NUTS,2010,BG31,2,2.326
2006,NUTS,2010,BG31,2,3.102
2007,NUTS,2010,BG31,2,3.67
2008,NUTS,2010,BG31,2,3.353
2009,NUTS,2010,BG31,2,4.153
2010,NUTS,2010,BG31,2,3.379
2011,NUTS,2010,BG31,2,3.666
2012,NUTS,2010,BG31,2,4.693
2013,NUTS,2010,BG31,2,5.456
2014,NUTS,2010,BG31,2,6.085
2015,NUTS,2010,BG31,2,17.008
2016,NUTS,2010,BG31,2,15.212
2017,NUTS,2010,BG31,2,15.996
2018,NUTS,2010,BG31,2,19.142
2019,NUTS,2010,BG31,2,16.416
2002,NUTS,2010,BG32,2,3.772
2003,NUTS,2010,BG32,2,3.168
2004,NUTS,2010,BG32,2,3.168
2005,NUTS,2010,BG32,2,1.669
2006,NUTS,2010,BG32,2,2.489
2007,NUTS,2010,BG32,2,2.063
2008,NUTS,2010,BG32,2,2.709
2009,NUTS,2010,BG32,2,3.641
2010,NUTS,2010,BG32,2,3.656
2011,NUTS,2010,BG32,2,4.054
2012,NUTS,2010,BG32,2,3.806
2013,NUTS,2010,BG32,2,5.01
2014,NUTS,2010,BG32,2,5.451
2015,NUTS,2010,BG32,2,19.03
2016,NUTS,2010,BG32,2,15.673
2017,NUTS,2010,BG32,2,15.455
2018,NUTS,2010,BG32,2,13.607
2019,NUTS,2010,BG32,2,15.575
2002,NUTS,2010,BG33,2,3.49
2003,NUTS,2010,BG33,2,4.839
2004,NUTS,2010,BG33,2,4.761
2005,NUTS,2010,BG33,2,5.283
2006,NUTS,2010,BG33,2,7.667
2007,NUTS,2010,BG33,2,6.75
2008,NUTS,2010,BG33,2,8.772
2009,NUTS,2010,BG33,2,11.254
2010,NUTS,2010,BG33,2,8.672
2011,NUTS,2010,BG33,2,9.067
2012,NUTS,2010,BG33,2,10.176
2013,NUTS,2010,BG33,2,15.207
2014,NUTS,2010,BG33,2,17.263
2015,NUTS,2010,BG33,2,18.185
2016,NUTS,2010,BG33,2,26.355
2017,NUTS,2010,BG33,2,26.396
2018,NUTS,2010,BG33,2,25.437
2019,NUTS,2010,BG33,2,32.648
2002,NUTS,2010,BG34,2,3.471
2003,NUTS,2010,BG34,2,3.651
2004,NUTS,2010,BG34,2,2.77
2005,NUTS,2010,BG34,2,2.689
2006,NUTS,2010,BG34,2,4.99
2007,NUTS,2010,BG34,2,5.909
2008,NUTS,2010,BG34,2,7.705
2009,NUTS,2010,BG34,2,7.648
2010,NUTS,2010,BG34,2,9.398
2011,NUTS,2010,BG34,2,6.997
2012,NUTS,2010,BG34,2,7.915
2013,NUTS,2010,BG34,2,8.477
2014,NUTS,2010,BG34,2,14.04
2015,NUTS,2010,BG34,2,18.619
2016,NUTS,2010,BG34,2,17.329
2017,NUTS,2010,BG34,2,19.989
2018,NUTS,2010,BG34,2,21.545
2019,NUTS,2010,BG34,2,24.439
2002,NUTS,2010,BG4,1,68.646
2003,NUTS,2010,BG4,1,75.196
2004,NUTS,2010,BG4,1,86.238
2005,NUTS,2010,BG4,1,94.456
2006,NUTS,2010,BG4,1,102.949
2007,NUTS,2010,BG4,1,121.217
2008,NUTS,2010,BG4,1,144.072
2009,NUTS,2010,BG4,1,157.914
2010,NUTS,2010,BG4,1,190.465
2011,NUTS,2010,BG4,1,195.853
2012,NUTS,2010,BG4,1,227.105
2013,NUTS,2010,BG4,1,232.586
2014,NUTS,2010,BG4,1,297.089
2015,NUTS,2010,BG4,1,361.997
2016,NUTS,2010,BG4,1,300.865
2017,NUTS,2010,BG4,1,310.872
2018,NUTS,2010,BG4,1,344.088
2019,NUTS,2010,BG4,1,423.312
1999,NUTS,2010,BG41,2,57.159
2000,NUTS,2010,BG41,2,59.034
2002,NUTS,2010,BG41,2,65.269
2003,NUTS,2010,BG41,2,70.795
2004,NUTS,2010,BG41,2,82.165
2005,NUTS,2010,BG41,2,89.307
2006,NUTS,2010,BG41,2,97.452
2007,NUTS,2010,BG41,2,111.527
2008,NUTS,2010,BG41,2,126.24
2009,NUTS,2010,BG41,2,147.406
2010,NUTS,2010,BG41,2,178.909
2011,NUTS,2010,BG41,2,184.348
2012,NUTS,2010,BG41,2,213.189
2013,NUTS,2010,BG41,2,220.015
2014,NUTS,2010,BG41,2,281.638
2015,NUTS,2010,BG41,2,328.702
2016,NUTS,2010,BG41,2,267.248
2017,NUTS,2010,BG41,2,275.412
2018,NUTS,2010,BG41,2,308.75
2019,NUTS,2010,BG41,2,376.336
2002,NUTS,2010,BG42,2,3.377
2003,NUTS,2010,BG42,2,4.4
2004,NUTS,2010,BG42,2,4.073
2005,NUTS,2010,BG42,2,5.149
2006,NUTS,2010,BG42,2,5.497
2007,NUTS,2010,BG42,2,9.69
2008,NUTS,2010,BG42,2,17.832
2009,NUTS,2010,BG42,2,10.508
2010,NUTS,2010,BG42,2,11.556
2011,NUTS,2010,BG42,2,11.505
2012,NUTS,2010,BG42,2,13.916
2013,NUTS,2010,BG42,2,12.571
2014,NUTS,2010,BG42,2,15.451
2015,NUTS,2010,BG42,2,33.294
2016,NUTS,2010,BG42,2,33.617
2017,NUTS,2010,BG42,2,35.46
2018,NUTS,2010,BG42,2,35.339
2019,NUTS,2010,BG42,2,46.977
2002,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
