year,region_type,region_year_spec,region_id,region_level,pat_ep_rtot_gdp_beur
2007,NUTS,2010,AT112,3,5.635
2008,NUTS,2010,AT112,3,2.316
2009,NUTS,2010,AT112,3,3.863
2010,NUTS,2010,AT112,3,3.746
2011,NUTS,2010,AT112,3,2.42
2012,NUTS,2010,AT112,3,2.697
2000,NUTS,2010,AT113,3,2.463
2001,NUTS,2010,AT113,3,2.825
2002,NUTS,2010,AT113,3,2.72
2003,NUTS,2010,AT113,3,4.954
2004,NUTS,2010,AT113,3,2.381
2005,NUTS,2010,AT113,3,1.278
2006,NUTS,2010,AT113,3,4.9
2007,NUTS,2010,AT113,3,4.371
2008,NUTS,2010,AT113,3,5.634
2009,NUTS,2010,AT113,3,5.382
2010,NUTS,2010,AT113,3,4.314
2011,NUTS,2010,AT113,3,2.392
2012,NUTS,2010,AT113,3,2.494
2000,NUTS,2010,AT12,2,5.292
2001,NUTS,2010,AT12,2,5.11
2002,NUTS,2010,AT12,2,5.076
2003,NUTS,2010,AT12,2,5.769
2004,NUTS,2010,AT12,2,5.604
2005,NUTS,2010,AT12,2,6.07
2006,NUTS,2010,AT12,2,6.342
2007,NUTS,2010,AT12,2,4.897
2008,NUTS,2010,AT12,2,4.747
2009,NUTS,2010,AT12,2,5.221
2010,NUTS,2010,AT12,2,5.131
2011,NUTS,2010,AT12,2,4.725
2012,NUTS,2010,AT12,2,4.723
2000,NUTS,2010,AT121,3,5.609
2001,NUTS,2010,AT121,3,4.138
2002,NUTS,2010,AT121,3,6.919
2003,NUTS,2010,AT121,3,8.826
2004,NUTS,2010,AT121,3,7.246
2005,NUTS,2010,AT121,3,7.758
2006,NUTS,2010,AT121,3,7.764
2007,NUTS,2010,AT121,3,5.906
2008,NUTS,2010,AT121,3,3.786
2009,NUTS,2010,AT121,3,5.709
2010,NUTS,2010,AT121,3,8.508
2011,NUTS,2010,AT121,3,7.723
2012,NUTS,2010,AT121,3,9.427
2000,NUTS,2010,AT122,3,4.27
2001,NUTS,2010,AT122,3,2.99
2002,NUTS,2010,AT122,3,3.26
2003,NUTS,2010,AT122,3,5.719
2004,NUTS,2010,AT122,3,4.828
2005,NUTS,2010,AT122,3,6.234
2006,NUTS,2010,AT122,3,5.362
2007,NUTS,2010,AT122,3,4.158
2008,NUTS,2010,AT122,3,3.479
2009,NUTS,2010,AT122,3,5.448
2010,NUTS,2010,AT122,3,5.258
2011,NUTS,2010,AT122,3,4.17
2012,NUTS,2010,AT122,3,4.097
2000,NUTS,2010,AT123,3,5.542
2001,NUTS,2010,AT123,3,4.128
2002,NUTS,2010,AT123,3,4.904
2003,NUTS,2010,AT123,3,4.044
2004,NUTS,2010,AT123,3,5.272
2005,NUTS,2010,AT123,3,4.56
2006,NUTS,2010,AT123,3,4.603
2007,NUTS,2010,AT123,3,2.81
2008,NUTS,2010,AT123,3,5.214
2009,NUTS,2010,AT123,3,5.075
2010,NUTS,2010,AT123,3,3.435
2011,NUTS,2010,AT123,3,3.301
2012,NUTS,2010,AT123,3,1.673
2000,NUTS,2010,AT124,3,4.388
2001,NUTS,2010,AT124,3,4.408
2002,NUTS,2010,AT124,3,3.479
2003,NUTS,2010,AT124,3,3.43
2004,NUTS,2010,AT124,3,3.906
2005,NUTS,2010,AT124,3,7.068
2006,NUTS,2010,AT124,3,4.6
2007,NUTS,2010,AT124,3,3.244
2008,NUTS,2010,AT124,3,5.053
2009,NUTS,2010,AT124,3,5.143
2010,NUTS,2010,AT124,3,3.71
2011,NUTS,2010,AT124,3,2.594
2012,NUTS,2010,AT124,3,3.613
2000,NUTS,2010,AT125,3,4.676
2001,NUTS,2010,AT125,3,4.946
2002,NUTS,2010,AT125,3,2.77
2003,NUTS,2010,AT125,3,1.983
2004,NUTS,2010,AT125,3,4.695
2005,NUTS,2010,AT125,3,3.491
2006,NUTS,2010,AT125,3,7.597
2007,NUTS,2010,AT125,3,7.242
2008,NUTS,2010,AT125,3,2.54
2009,NUTS,2010,AT125,3,3.146
2010,NUTS,2010,AT125,3,1.703
2011,NUTS,2010,AT125,3,3.154
2012,NUTS,2010,AT125,3,3.138
2000,NUTS,2010,AT126,3,6.626
2001,NUTS,2010,AT126,3,8.287
2002,NUTS,2010,AT126,3,6.824
2003,NUTS,2010,AT126,3,8.543
2004,NUTS,2010,AT126,3,7.055
2005,NUTS,2010,AT126,3,8.415
2006,NUTS,2010,AT126,3,8.897
2007,NUTS,2010,AT126,3,7.24
2008,NUTS,2010,AT126,3,7.987
2009,NUTS,2010,AT126,3,5.554
2010,NUTS,2010,AT126,3,5.452
2011,NUTS,2010,AT126,3,5.165
2012,NUTS,2010,AT126,3,6.385
2000,NUTS,2010,AT127,3,5.343
2001,NUTS,2010,AT127,3,5.729
2002,NUTS,2010,AT127,3,5.316
2003,NUTS,2010,AT127,3,5.203
2004,NUTS,2010,AT127,3,5.402
2005,NUTS,2010,AT127,3,4.554
2006,NUTS,2010,AT127,3,5.897
2007,NUTS,2010,AT127,3,4.56
2008,NUTS,2010,AT127,3,4.025
2009,NUTS,2010,AT127,3,5.135
2010,NUTS,2010,AT127,3,5.102
2011,NUTS,2010,AT127,3,4.985
2012,NUTS,2010,AT127,3,3.662
2000,NUTS,2010,AT13,2,3.201
2001,NUTS,2010,AT13,2,3.848
2002,NUTS,2010,AT13,2,4.383
2003,NUTS,2010,AT13,2,5.023
2004,NUTS,2010,AT13,2,4.842
2005,NUTS,2010,AT13,2,4.618
2006,NUTS,2010,AT13,2,5.639
2007,NUTS,2010,AT13,2,5.078
2008,NUTS,2010,AT13,2,3.538
2009,NUTS,2010,AT13,2,3.11
2010,NUTS,2010,AT13,2,2.965
2011,NUTS,2010,AT13,2,3.286
2012,NUTS,2010,AT13,2,2.741
2000,NUTS,2010,AT130,3,3.201
2001,NUTS,2010,AT130,3,3.848
2002,NUTS,2010,AT130,3,4.383
2003,NUTS,2010,AT130,3,5.023
2004,NUTS,2010,AT130,3,4.842
2005,NUTS,2010,AT130,3,4.618
2006,NUTS,2010,AT130,3,5.639
2007,NUTS,2010,AT130,3,5.078
2008,NUTS,2010,AT130,3,3.538
2009,NUTS,2010,AT130,3,3.11
2010,NUTS,2010,AT130,3,2.965
2011,NUTS,2010,AT130,3,3.286
2012,NUTS,2010,AT130,3,2.741
2000,NUTS,2010,AT2,1,5.875
2001,NUTS,2010,AT2,1,5.382
2002,NUTS,2010,AT2,1,6.614
2003,NUTS,2010,AT2,1,6.486
2004,NUTS,2010,AT2,1,5.662
2005,NUTS,2010,AT2,1,5.735
2006,NUTS,2010,AT2,1,6.422
2007,NUTS,2010,AT2,1,5.372
2008,NUTS,2010,AT2,1,5.767
2009,NUTS,2010,AT2,1,7.251
2010,NUTS,2010,AT2,1,5.914
2011,NUTS,2010,AT2,1,5.938
2012,NUTS,2010,AT2,1,5.444
2000,NUTS,2010,AT21,2,4.675
2001,NUTS,2010,AT21,2,3.689
2002,NUTS,2010,AT21,2,6.415
2003,NUTS,2010,AT21,2,4.364
2004,NUTS,2010,AT21,2,3.835
2005,NUTS,2010,AT21,2,5.161
2006,NUTS,2010,AT21,2,4.127
2007,NUTS,2010,AT21,2,3.932
2008,NUTS,2010,AT21,2,4.032
2009,NUTS,2010,AT21,2,6.412
2010,NUTS,2010,AT21,2,2.756
2011,NUTS,2010,AT21,2,3.939
2012,NUTS,2010,AT21,2,3.234
2000,NUTS,2010,AT211,3,4.966
2001,NUTS,2010,AT211,3,4.182
2002,NUTS,2010,AT211,3,7.631
2003,NUTS,2010,AT211,3,4.853
2004,NUTS,2010,AT211,3,3.997
2005,NUTS,2010,AT211,3,7.365
2006,NUTS,2010,AT211,3,3.952
2007,NUTS,2010,AT211,3,4.148
2008,NUTS,2010,AT211,3,3.477
2009,NUTS,2010,AT211,3,7.885
2010,NUTS,2010,AT211,3,3.308
2011,NUTS,2010,AT211,3,3.751
2012,NUTS,2010,AT211,3,3.795
2000,NUTS,2010,AT212,3,2.697
2001,NUTS,2010,AT212,3,3.555
2002,NUTS,2010,AT212,3,5.896
2003,NUTS,2010,AT212,3,5.022
2004,NUTS,2010,AT212,3,3.238
2005,NUTS,2010,AT212,3,2.989
2006,NUTS,2010,AT212,3,5.784
2007,NUTS,2010,AT212,3,4.876
2008,NUTS,2010,AT212,3,4.688
2009,NUTS,2010,AT212,3,3.392
2010,NUTS,2010,AT212,3,2.2
2011,NUTS,2010,AT212,3,4.817
2012,NUTS,2010,AT212,3,2.873
2000,NUTS,2010,AT213,3,5.602
2001,NUTS,2010,AT213,3,2.506
2002,NUTS,2010,AT213,3,3.724
2003,NUTS,2010,AT213,3,2.616
2004,NUTS,2010,AT213,3,3.899
2005,NUTS,2010,AT213,3,1.292
2006,NUTS,2010,AT213,3,3.222
2007,NUTS,2010,AT213,3,2.65
2008,NUTS,2010,AT213,3,4.896
2009,NUTS,2010,AT213,3,5.17
2010,NUTS,2010,AT213,3,1.768
2011,NUTS,2010,AT213,3,3.742
2012,NUTS,2010,AT213,3,2.103
2000,NUTS,2010,AT22,2,6.421
2001,NUTS,2010,AT22,2,6.139
2002,NUTS,2010,AT22,2,6.706
2003,NUTS,2010,AT22,2,7.45
2004,NUTS,2010,AT22,2,6.478
2005,NUTS,2010,AT22,2,5.99
2006,NUTS,2010,AT22,2,7.442
2007,NUTS,2010,AT22,2,6.012
2008,NUTS,2010,AT22,2,6.538
2009,NUTS,2010,AT22,2,7.621
2010,NUTS,2010,AT22,2,7.302
2011,NUTS,2010,AT22,2,6.822
2012,NUTS,2010,AT22,2,6.396
2000,NUTS,2010,AT221,3,9.221
2001,NUTS,2010,AT221,3,7.799
2002,NUTS,2010,AT221,3,9.226
2003,NUTS,2010,AT221,3,9.984
2004,NUTS,2010,AT221,3,8.594
2005,NUTS,2010,AT221,3,7.524
2006,NUTS,2010,AT221,3,9.606
2007,NUTS,2010,AT221,3,7.646
2008,NUTS,2010,AT221,3,8.432
2009,NUTS,2010,AT221,3,9.771
2010,NUTS,2010,AT221,3,9.735
2011,NUTS,2010,AT221,3,9.068
2012,NUTS,2010,AT221,3,7.97
2000,NUTS,2010,AT222,3,0.45
2001,NUTS,2010,AT222,3,1.074
2004,NUTS,2010,AT222,3,1.563
2005,NUTS,2010,AT222,3,1.739
2006,NUTS,2010,AT222,3,1.555
2007,NUTS,2010,AT222,3,0.149
2008,NUTS,2010,AT222,3,0.12
2009,NUTS,2010,AT222,3,1.312
2010,NUTS,2010,AT222,3,1.109
2011,NUTS,2010,AT222,3,2.906
2012,NUTS,2010,AT222,3,1.948
2000,NUTS,2010,AT223,3,7.044
2001,NUTS,2010,AT223,3,4.806
2002,NUTS,2010,AT223,3,3.823
2003,NUTS,2010,AT223,3,6.964
2004,NUTS,2010,AT223,3,6.54
2005,NUTS,2010,AT223,3,6.231
2006,NUTS,2010,AT223,3,4.671
2007,NUTS,2010,AT223,3,4.981
2008,NUTS,2010,AT223,3,5.977
2009,NUTS,2010,AT223,3,6.922
2010,NUTS,2010,AT223,3,5.267
2011,NUTS,2010,AT223,3,6.336
2012,NUTS,2010,AT223,3,5.234
2000,NUTS,2010,AT224,3,3.153
2001,NUTS,2010,AT224,3,3.297
2002,NUTS,2010,AT224,3,4.514
2003,NUTS,2010,AT224,3,4.015
2004,NUTS,2010,AT224,3,3.371
2005,NUTS,2010,AT224,3,3.113
2006,NUTS,2010,AT224,3,3.774
2007,NUTS,2010,AT224,3,4.125
2008,NUTS,2010,AT224,3,4.742
2009,NUTS,2010,AT224,3,5.518
2010,NUTS,2010,AT224,3,4.196
2011,NUTS,2010,AT224,3,4.353
2012,NUTS,2010,AT224,3,5.089
2000,NUTS,2010,AT225,3,4.359
2001,NUTS,2010,AT225,3,7.081
2002,NUTS,2010,AT225,3,6.425
2003,NUTS,2010,AT225,3,7.305
2004,NUTS,2010,AT225,3,5.982
2005,NUTS,2010,AT225,3,6.62
2006,NUTS,2010,AT225,3,10.124
2007,NUTS,2010,AT225,3,6.75
2008,NUTS,2010,AT225,3,7.233
2009,NUTS,2010,AT225,3,8.526
2010,NUTS,2010,AT225,3,8.712
2011,NUTS,2010,AT225,3,6.472
2012,NUTS,2010,AT225,3,5.922
2000,NUTS,2010,AT226,3,4.47
2001,NUTS,2010,AT226,3,8.021
2002,NUTS,2010,AT226,3,8.14
2003,NUTS,2010,AT226,3,7.221
2004,NUTS,2010,AT226,3,5.552
2005,NUTS,2010,AT226,3,5.028
2006,NUTS,2010,AT226,3,8.498
2007,NUTS,2010,AT226,3,6.276
2008,NUTS,2010,AT226,3,4.617
2009,NUTS,2010,AT226,3,4.603
2010,NUTS,2010,AT226,3,6.835
2011,NUTS,2010,AT226,3,3.588
2012,NUTS,2010,AT226,3,6.602
2000,NUTS,2010,AT3,1,7.209
2001,NUTS,2010,AT3,1,7.013
2002,NUTS,2010,AT3,1,6.588
2003,NUTS,2010,AT3,1,6.63
2004,NUTS,2010,AT3,1,7.23
2005,NUTS,2010,AT3,1,7.345
2006,NUTS,2010,AT3,1,7.424
2007,NUTS,2010,AT3,1,7.632
2008,NUTS,2010,AT3,1,7.24
2009,NUTS,2010,AT3,1,7.597
2010,NUTS,2010,AT3,1,8.379
2011,NUTS,2010,AT3,1,7.898
2012,NUTS,2010,AT3,1,6.52
2000,NUTS,2010,AT31,2,7.136
2001,NUTS,2010,AT31,2,6.933
2002,NUTS,2010,AT31,2,7.125
2003,NUTS,2010,AT31,2,6.602
2004,NUTS,2010,AT31,2,7.392
2005,NUTS,2010,AT31,2,7.117
2006,NUTS,2010,AT31,2,7.601
2007,NUTS,2010,AT31,2,7.265
2008,NUTS,2010,AT31,2,6.724
2009,NUTS,2010,AT31,2,8.183
2010,NUTS,2010,AT31,2,8.443
2011,NUTS,2010,AT31,2,7.741
2012,NUTS,2010,AT31,2,6.624
2000,NUTS,2010,AT311,3,5.839
2001,NUTS,2010,AT311,3,8.277
2002,NUTS,2010,AT311,3,4.745
2003,NUTS,2010,AT311,3,7.693
2004,NUTS,2010,AT311,3,8.382
2005,NUTS,2010,AT311,3,8.148
2006,NUTS,2010,AT311,3,10.012
2007,NUTS,2010,AT311,3,7.953
2008,NUTS,2010,AT311,3,6.182
2009,NUTS,2010,AT311,3,10.58
2010,NUTS,2010,AT311,3,9.922
2011,NUTS,2010,AT311,3,8.558
2012,NUTS,2010,AT311,3,6.975
2000,NUTS,2010,AT312,3,6.201
2001,NUTS,2010,AT312,3,7.364
2002,NUTS,2010,AT312,3,6.975
2003,NUTS,2010,AT312,3,5.73
2004,NUTS,2010,AT312,3,5.943
2005,NUTS,2010,AT312,3,6.181
2006,NUTS,2010,AT312,3,5.823
2007,NUTS,2010,AT312,3,5.766
2008,NUTS,2010,AT312,3,6.153
2009,NUTS,2010,AT312,3,7.552
2010,NUTS,2010,AT312,3,7.824
2011,NUTS,2010,AT312,3,7.528
2012,NUTS,2010,AT312,3,6.777
2000,NUTS,2010,AT313,3,5.912
2001,NUTS,2010,AT313,3,4.865
2002,NUTS,2010,AT313,3,6.144
2003,NUTS,2010,AT313,3,7.189
2004,NUTS,2010,AT313,3,7.308
2005,NUTS,2010,AT313,3,7.45
2006,NUTS,2010,AT313,3,8.939
2007,NUTS,2010,AT313,3,8.523
2008,NUTS,2010,AT313,3,7.765
2009,NUTS,2010,AT313,3,5.842
2010,NUTS,2010,AT313,3,8.851
2011,NUTS,2010,AT313,3,7.704
2012,NUTS,2010,AT313,3,6.564
2000,NUTS,2010,AT314,3,8.643
2001,NUTS,2010,AT314,3,6.436
2002,NUTS,2010,AT314,3,8.197
2003,NUTS,2010,AT314,3,6.619
2004,NUTS,2010,AT314,3,7.851
2005,NUTS,2010,AT314,3,6.606
2006,NUTS,2010,AT314,3,5.959
2007,NUTS,2010,AT314,3,8.393
2008,NUTS,2010,AT314,3,6.304
2009,NUTS,2010,AT314,3,6.518
2010,NUTS,2010,AT314,3,6.772
2011,NUTS,2010,AT314,3,6.813
2012,NUTS,2010,AT314,3,6.091
2000,NUTS,2010,AT315,3,11.198
2001,NUTS,2010,AT315,3,5.635
2002,NUTS,2010,AT315,3,9.73
2003,NUTS,2010,AT315,3,8.287
2004,NUTS,2010,AT315,3,11.238
2005,NUTS,2010,AT315,3,9.509
2006,NUTS,2010,AT315,3,11.875
2007,NUTS,2010,AT315,3,10.068
2008,NUTS,2010,AT315,3,9.049
2009,NUTS,2010,AT315,3,10.541
2010,NUTS,2010,AT315,3,10.147
2011,NUTS,2010,AT315,3,8.305
2012,NUTS,2010,AT315,3,6.157
2000,NUTS,2010,AT32,2,5.118
2001,NUTS,2010,AT32,2,4.522
2002,NUTS,2010,AT32,2,4.161
2003,NUTS,2010,AT32,2,5.006
2004,NUTS,2010,AT32,2,4.699
2005,NUTS,2010,AT32,2,4.761
2006,NUTS,2010,AT32,2,5.383
2007,NUTS,2010,AT32,2,5.876
2008,NUTS,2010,AT32,2,4.719
2009,NUTS,2010,AT32,2,4.929
2010,NUTS,2010,AT32,2,4.271
2011,NUTS,2010,AT32,2,4.505
2012,NUTS,2010,AT32,2,3.201
2000,NUTS,2010,AT321,3,7.962
2001,NUTS,2010,AT321,3,6.836
2002,NUTS,2010,AT321,3,9.408
2003,NUTS,2010,AT321,3,0.75
2004,NUTS,2010,AT321,3,4.651
2005,NUTS,2010,AT321,3,2.179
2006,NUTS,2010,AT321,3,3.975
2008,NUTS,2010,AT321,3,0.619
2009,NUTS,2010,AT321,3,0.598
2010,NUTS,2010,AT321,3,1.217
2011,NUTS,2010,AT321,3,8.12
2000,NUTS,2010,AT322,3,1.527
2001,NUTS,2010,AT322,3,1.666
2002,NUTS,2010,AT322,3,2.734
2003,NUTS,2010,AT322,3,1.845
2004,NUTS,2010,AT322,3,3.427
2005,NUTS,2010,AT322,3,2.668
2006,NUTS,2010,AT322,3,5.068
2007,NUTS,2010,AT322,3,4.354
2008,NUTS,2010,AT322,3,4.358
2009,NUTS,2010,AT322,3,3.175
2010,NUTS,2010,AT322,3,4.053
2011,NUTS,2010,AT322,3,1.901
2012,NUTS,2010,AT322,3,2.331
2000,NUTS,2010,AT323,3,6.326
2001,NUTS,2010,AT323,3,5.47
2002,NUTS,2010,AT323,3,4.474
2003,NUTS,2010,AT323,3,6.308
2004,NUTS,2010,AT323,3,5.142
2005,NUTS,2010,AT323,3,5.596
2006,NUTS,2010,AT323,3,5.544
2007,NUTS,2010,AT323,3,6.623
2008,NUTS,2010,AT323,3,4.995
2009,NUTS,2010,AT323,3,5.733
2010,NUTS,2010,AT323,3,4.461
2011,NUTS,2010,AT323,3,5.307
2012,NUTS,2010,AT323,3,3.624
2000,NUTS,2010,AT33,2,4.712
2001,NUTS,2010,AT33,2,5.878
2002,NUTS,2010,AT33,2,5.208
2003,NUTS,2010,AT33,2,5.221
2004,NUTS,2010,AT33,2,5.179
2005,NUTS,2010,AT33,2,5.265
2006,NUTS,2010,AT33,2,5.215
2007,NUTS,2010,AT33,2,5.833
2008,NUTS,2010,AT33,2,6.113
2009,NUTS,2010,AT33,2,5.645
2010,NUTS,2010,AT33,2,5.765
2011,NUTS,2010,AT33,2,5.404
2012,NUTS,2010,AT33,2,4.699
2000,NUTS,2010,AT331,3,11.597
2001,NUTS,2010,AT331,3,11.826
2002,NUTS,2010,AT331,3,16.507
2003,NUTS,2010,AT331,3,11.348
2004,NUTS,2010,AT331,3,10.878
2005,NUTS,2010,AT331,3,13.547
2006,NUTS,2010,AT331,3,5.004
2007,NUTS,2010,AT331,3,7.208
2008,NUTS,2010,AT331,3,1.605
2009,NUTS,2010,AT331,3,9.242
2010,NUTS,2010,AT331,3,8.67
2011,NUTS,2010,AT331,3,10.475
2012,NUTS,2010,AT331,3,7.732
2000,NUTS,2010,AT332,3,3.853
2001,NUTS,2010,AT332,3,6.499
2002,NUTS,2010,AT332,3,4.36
2003,NUTS,2010,AT332,3,4.528
2004,NUTS,2010,AT332,3,3.902
2005,NUTS,2010,AT332,3,5.024
2006,NUTS,2010,AT332,3,5.055
2007,NUTS,2010,AT332,3,5.787
2008,NUTS,2010,AT332,3,7.471
2009,NUTS,2010,AT332,3,4.608
2010,NUTS,2010,AT332,3,6.389
2011,NUTS,2010,AT332,3,5.863
2012,NUTS,2010,AT332,3,5.053
2000,NUTS,2010,AT333,3,5.832
2001,NUTS,2010,AT333,3,3.195
2002,NUTS,2010,AT333,3,2.119
2003,NUTS,2010,AT333,3,4.246
2004,NUTS,2010,AT333,3,7.549
2005,NUTS,2010,AT333,3,9.17
2006,NUTS,2010,AT333,3,2.984
2007,NUTS,2010,AT333,3,8.226
2008,NUTS,2010,AT333,3,10.968
2009,NUTS,2010,AT333,3,10.152
2010,NUTS,2010,AT333,3,2.987
2011,NUTS,2010,AT333,3,4.437
2012,NUTS,2010,AT333,3,8.394
2000,NUTS,2010,AT334,3,1.471
2001,NUTS,2010,AT334,3,1.723
2002,NUTS,2010,AT334,3,1.589
2003,NUTS,2010,AT334,3,1.672
2004,NUTS,2010,AT334,3,1.298
2005,NUTS,2010,AT334,3,1.548
2006,NUTS,2010,AT334,3,1.843
2007,NUTS,2010,AT334,3,1.144
2008,NUTS,2010,AT334,3,1.516
2009,NUTS,2010,AT334,3,2.185
2010,NUTS,2010,AT334,3,1.762
2011,NUTS,2010,AT334,3,2.521
2012,NUTS,2010,AT334,3,1.708
2000,NUTS,2010,AT335,3,6.015
2001,NUTS,2010,AT335,3,6.226
2002,NUTS,2010,AT335,3,6.564
2003,NUTS,2010,AT335,3,6.828
2004,NUTS,2010,AT335,3,7.281
2005,NUTS,2010,AT335,3,5.283
2006,NUTS,2010,AT335,3,7.076
2007,NUTS,2010,AT335,3,7.163
2008,NUTS,2010,AT335,3,6.223
2009,NUTS,2010,AT335,3,7.167
2010,NUTS,2010,AT335,3,6.636
2011,NUTS,2010,AT335,3,5.424
2012,NUTS,2010,AT335,3,4.511
2000,NUTS,2010,AT34,2,15.498
2001,NUTS,2010,AT34,2,13.31
2002,NUTS,2010,AT34,2,10.978
2003,NUTS,2010,AT34,2,11.975
2004,NUTS,2010,AT34,2,14.502
2005,NUTS,2010,AT34,2,16.259
2006,NUTS,2010,AT34,2,14.313
2007,NUTS,2010,AT34,2,15.245
2008,NUTS,2010,AT34,2,15.241
2009,NUTS,2010,AT34,2,13.362
2010,NUTS,2010,AT34,2,19.702
2011,NUTS,2010,AT34,2,18.634
2012,NUTS,2010,AT34,2,15.046
2000,NUTS,2010,AT341,3,14.066
2001,NUTS,2010,AT341,3,12.997
2002,NUTS,2010,AT341,3,7.751
2003,NUTS,2010,AT341,3,5.101
2004,NUTS,2010,AT341,3,9.677
2005,NUTS,2010,AT341,3,10.851
2006,NUTS,2010,AT341,3,7.974
2007,NUTS,2010,AT341,3,8.343
2008,NUTS,2010,AT341,3,9.512
2009,NUTS,2010,AT341,3,7.839
2010,NUTS,2010,AT341,3,10.099
2011,NUTS,2010,AT341,3,8.003
2012,NUTS,2010,AT341,3,9.336
2000,NUTS,2010,AT342,3,15.941
2001,NUTS,2010,AT342,3,13.414
2002,NUTS,2010,AT342,3,12.021
2003,NUTS,2010,AT342,3,14.224
2004,NUTS,2010,AT342,3,16.173
2005,NUTS,2010,AT342,3,18.144
2006,NUTS,2010,AT342,3,16.573
2007,NUTS,2010,AT342,3,17.655
2008,NUTS,2010,AT342,3,17.294
2009,NUTS,2010,AT342,3,15.447
2010,NUTS,2010,AT342,3,23.259
2011,NUTS,2010,AT342,3,22.432
2012,NUTS,2010,AT342,3,17.07
2000,NUTS,2010,ATZ,1,78.382
2002,NUTS,2010,ATZ,1,59.625
2003,NUTS,2010,ATZ,1,63.973
2004,NUTS,2010,ATZ,1,23.108
2005,NUTS,2010,ATZ,1,11.6
2006,NUTS,2010,ATZ,1,67.901
2007,NUTS,2010,ATZ,1,76.0
2008,NUTS,2010,ATZ,1,60.235
2009,NUTS,2010,ATZ,1,15.426
2010,NUTS,2010,ATZ,1,26.915
2012,NUTS,2010,ATZ,1,12.021
2000,NUTS,2010,ATZZ,2,78.382
2002,NUTS,2010,ATZZ,2,59.625
2003,NUTS,2010,ATZZ,2,63.973
2004,NUTS,2010,ATZZ,2,23.108
2005,NUTS,2010,ATZZ,2,11.6
2006,NUTS,2010,ATZZ,2,67.901
2007,NUTS,2010,ATZZ,2,76.0
2008,NUTS,2010,ATZZ,2,60.235
2009,NUTS,2010,ATZZ,2,15.426
2010,NUTS,2010,ATZZ,2,26.915
2012,NUTS,2010,ATZZ,2,12.021
2000,NUTS,2010,ATZZZ,3,78.382
2002,NUTS,2010,ATZZZ,3,59.625
2003,NUTS,2010,ATZZZ,3,63.973
2004,NUTS,2010,ATZZZ,3,23.108
2005,NUTS,2010,ATZZZ,3,11.6
2006,NUTS,2010,ATZZZ,3,67.901
2007,NUTS,2010,ATZZZ,3,76.0
2008,NUTS,2010,ATZZZ,3,60.235
2009,NUTS,2010,ATZZZ,3,15.426
2010,NUTS,2010,ATZZZ,3,26.915
2012,NUTS,2010,ATZZZ,3,12.021
2000,NUTS,2010,BE,0,5.079
2001,NUTS,2010,BE,0,4.565
2002,NUTS,2010,BE,0,4.857
2003,NUTS,2010,BE,0,4.828
2004,NUTS,2010,BE,0,5.09
2005,NUTS,2010,BE,0,4.872
2006,NUTS,2010,BE,0,4.714
2007,NUTS,2010,BE,0,4.543
2008,NUTS,2010,BE,0,4.216
2009,NUTS,2010,BE,0,4.035
2010,NUTS,2010,BE,0,4.128
