year,region_type,region_year_spec,region_id,region_level,pat_ep_rtot_p_mhab
2012,NUTS,2010,CH057,3,248.796
2011,NUTS,2010,CH06,2,391.834
2012,NUTS,2010,CH06,2,273.117
2011,NUTS,2010,CH061,3,299.992
2012,NUTS,2010,CH061,3,225.02
2011,NUTS,2010,CH062,3,192.818
2012,NUTS,2010,CH062,3,26.002
2011,NUTS,2010,CH063,3,438.288
2012,NUTS,2010,CH063,3,328.592
2011,NUTS,2010,CH064,3,345.651
2012,NUTS,2010,CH064,3,125.401
2011,NUTS,2010,CH065,3,399.035
2012,NUTS,2010,CH065,3,268.694
2011,NUTS,2010,CH066,3,712.524
2012,NUTS,2010,CH066,3,485.04
2011,NUTS,2010,CH07,2,253.031
2012,NUTS,2010,CH07,2,272.093
2011,NUTS,2010,CH070,3,253.031
2012,NUTS,2010,CH070,3,272.093
2011,NUTS,2010,CY,0,6.704
2012,NUTS,2010,CY,0,2.9
2011,NUTS,2010,CY0,1,6.704
2012,NUTS,2010,CY0,1,2.9
2011,NUTS,2010,CY00,2,6.704
2012,NUTS,2010,CY00,2,2.9
2011,NUTS,2010,CY000,3,6.704
2012,NUTS,2010,CY000,3,2.9
2011,NUTS,2010,CZ,0,21.164
2012,NUTS,2010,CZ,0,17.466
2011,NUTS,2010,CZ0,1,20.429
2012,NUTS,2010,CZ0,1,17.087
2011,NUTS,2010,CZ01,2,33.856
2012,NUTS,2010,CZ01,2,30.548
2011,NUTS,2010,CZ010,3,33.856
2012,NUTS,2010,CZ010,3,30.548
2011,NUTS,2010,CZ02,2,18.19
2012,NUTS,2010,CZ02,2,13.546
2011,NUTS,2010,CZ020,3,18.19
2012,NUTS,2010,CZ020,3,13.546
2011,NUTS,2010,CZ03,2,10.878
2012,NUTS,2010,CZ03,2,6.491
2011,NUTS,2010,CZ031,3,13.857
2012,NUTS,2010,CZ031,3,4.983
2011,NUTS,2010,CZ032,3,7.562
2012,NUTS,2010,CZ032,3,8.186
2011,NUTS,2010,CZ04,2,14.635
2012,NUTS,2010,CZ04,2,7.072
2011,NUTS,2010,CZ041,3,31.863
2012,NUTS,2010,CZ041,3,10.456
2011,NUTS,2010,CZ042,3,8.305
2012,NUTS,2010,CZ042,3,5.833
2011,NUTS,2010,CZ05,2,30.946
2012,NUTS,2010,CZ05,2,27.159
2011,NUTS,2010,CZ051,3,32.951
2012,NUTS,2010,CZ051,3,23.894
2011,NUTS,2010,CZ052,3,27.031
2012,NUTS,2010,CZ052,3,20.637
2011,NUTS,2010,CZ053,3,33.452
2012,NUTS,2010,CZ053,3,36.909
2011,NUTS,2010,CZ06,2,23.361
2012,NUTS,2010,CZ06,2,27.421
2011,NUTS,2010,CZ063,3,4.158
2012,NUTS,2010,CZ063,3,11.232
2011,NUTS,2010,CZ064,3,31.823
2012,NUTS,2010,CZ064,3,34.528
2011,NUTS,2010,CZ07,2,16.752
2012,NUTS,2010,CZ07,2,10.76
2011,NUTS,2010,CZ071,3,14.835
2012,NUTS,2010,CZ071,3,13.106
2011,NUTS,2010,CZ072,3,18.828
2012,NUTS,2010,CZ072,3,8.234
2011,NUTS,2010,CZ08,2,10.772
2012,NUTS,2010,CZ08,2,6.663
2011,NUTS,2010,CZ080,3,10.772
2012,NUTS,2010,CZ080,3,6.663
2011,NUTS,2010,DE,0,279.5
2012,NUTS,2010,DE,0,226.074
2011,NUTS,2010,DE1,1,513.117
2012,NUTS,2010,DE1,1,388.861
2011,NUTS,2010,DE11,2,607.242
2012,NUTS,2010,DE11,2,430.743
2011,NUTS,2010,DE111,3,675.994
2012,NUTS,2010,DE111,3,520.923
2011,NUTS,2010,DE112,3,588.186
2012,NUTS,2010,DE112,3,477.663
2011,NUTS,2010,DE113,3,613.134
2012,NUTS,2010,DE113,3,495.877
2011,NUTS,2010,DE114,3,435.323
2012,NUTS,2010,DE114,3,296.307
2011,NUTS,2010,DE115,3,1108.661
2012,NUTS,2010,DE115,3,726.526
2011,NUTS,2010,DE116,3,571.696
2012,NUTS,2010,DE116,3,312.759
2011,NUTS,2010,DE117,3,319.501
2012,NUTS,2010,DE117,3,210.37
2011,NUTS,2010,DE118,3,387.375
2012,NUTS,2010,DE118,3,281.081
2011,NUTS,2010,DE119,3,338.986
2012,NUTS,2010,DE119,3,348.978
2011,NUTS,2010,DE11A,3,207.303
2012,NUTS,2010,DE11A,3,223.774
2011,NUTS,2010,DE11B,3,251.142
2012,NUTS,2010,DE11B,3,209.485
2011,NUTS,2010,DE11C,3,1047.469
2012,NUTS,2010,DE11C,3,510.255
2011,NUTS,2010,DE11D,3,487.138
2012,NUTS,2010,DE11D,3,320.719
2011,NUTS,2010,DE12,2,479.997
2012,NUTS,2010,DE12,2,364.031
2011,NUTS,2010,DE121,3,341.262
2012,NUTS,2010,DE121,3,342.998
2011,NUTS,2010,DE122,3,439.135
2012,NUTS,2010,DE122,3,322.702
2011,NUTS,2010,DE123,3,512.318
2012,NUTS,2010,DE123,3,385.748
2011,NUTS,2010,DE124,3,530.052
2012,NUTS,2010,DE124,3,358.745
2011,NUTS,2010,DE125,3,818.331
2012,NUTS,2010,DE125,3,427.78
2011,NUTS,2010,DE126,3,542.893
2012,NUTS,2010,DE126,3,327.723
2011,NUTS,2010,DE127,3,142.579
2012,NUTS,2010,DE127,3,150.18
2011,NUTS,2010,DE128,3,603.171
2012,NUTS,2010,DE128,3,545.284
2011,NUTS,2010,DE129,3,202.286
2012,NUTS,2010,DE129,3,204.707
2011,NUTS,2010,DE12A,3,215.17
2012,NUTS,2010,DE12A,3,161.931
2011,NUTS,2010,DE12B,3,482.381
2012,NUTS,2010,DE12B,3,383.461
2011,NUTS,2010,DE12C,3,334.59
2012,NUTS,2010,DE12C,3,261.714
2011,NUTS,2010,DE13,2,409.808
2012,NUTS,2010,DE13,2,367.635
2011,NUTS,2010,DE131,3,390.604
2012,NUTS,2010,DE131,3,430.603
2011,NUTS,2010,DE132,3,327.382
2012,NUTS,2010,DE132,3,250.033
2011,NUTS,2010,DE133,3,468.101
2012,NUTS,2010,DE133,3,462.033
2011,NUTS,2010,DE134,3,316.469
2012,NUTS,2010,DE134,3,252.372
2011,NUTS,2010,DE135,3,490.683
2012,NUTS,2010,DE135,3,349.988
2011,NUTS,2010,DE136,3,381.679
2012,NUTS,2010,DE136,3,325.196
2011,NUTS,2010,DE137,3,817.876
2012,NUTS,2010,DE137,3,756.833
2011,NUTS,2010,DE138,3,377.908
2012,NUTS,2010,DE138,3,317.486
2011,NUTS,2010,DE139,3,472.221
2012,NUTS,2010,DE139,3,424.433
2011,NUTS,2010,DE13A,3,346.816
2012,NUTS,2010,DE13A,3,420.456
2011,NUTS,2010,DE14,2,480.669
2012,NUTS,2010,DE14,2,359.584
2011,NUTS,2010,DE141,3,517.85
2012,NUTS,2010,DE141,3,353.359
2011,NUTS,2010,DE142,3,542.557
2012,NUTS,2010,DE142,3,464.237
2011,NUTS,2010,DE143,3,397.998
2012,NUTS,2010,DE143,3,360.899
2011,NUTS,2010,DE144,3,592.178
2012,NUTS,2010,DE144,3,375.105
2011,NUTS,2010,DE145,3,436.917
2012,NUTS,2010,DE145,3,310.865
2011,NUTS,2010,DE146,3,385.607
2012,NUTS,2010,DE146,3,312.891
2011,NUTS,2010,DE147,3,709.085
2012,NUTS,2010,DE147,3,601.813
2011,NUTS,2010,DE148,3,455.509
2012,NUTS,2010,DE148,3,256.379
2011,NUTS,2010,DE149,3,199.67
2012,NUTS,2010,DE149,3,146.479
2011,NUTS,2010,DE2,1,434.82
2012,NUTS,2010,DE2,1,367.679
2011,NUTS,2010,DE21,2,548.396
2012,NUTS,2010,DE21,2,464.107
2011,NUTS,2010,DE211,3,740.279
2012,NUTS,2010,DE211,3,629.833
2011,NUTS,2010,DE212,3,609.214
2012,NUTS,2010,DE212,3,515.718
2011,NUTS,2010,DE213,3,291.848
2012,NUTS,2010,DE213,3,323.514
2011,NUTS,2010,DE214,3,531.236
2012,NUTS,2010,DE214,3,427.033
2011,NUTS,2010,DE215,3,227.564
2012,NUTS,2010,DE215,3,168.165
2011,NUTS,2010,DE216,3,533.986
2012,NUTS,2010,DE216,3,370.846
2011,NUTS,2010,DE217,3,519.896
2012,NUTS,2010,DE217,3,565.687
2011,NUTS,2010,DE218,3,572.992
2012,NUTS,2010,DE218,3,552.065
2011,NUTS,2010,DE219,3,625.285
2012,NUTS,2010,DE219,3,527.934
2011,NUTS,2010,DE21A,3,330.523
2012,NUTS,2010,DE21A,3,202.165
2011,NUTS,2010,DE21B,3,397.536
2012,NUTS,2010,DE21B,3,262.279
2011,NUTS,2010,DE21C,3,423.931
2012,NUTS,2010,DE21C,3,562.465
2011,NUTS,2010,DE21D,3,276.825
2012,NUTS,2010,DE21D,3,188.825
2011,NUTS,2010,DE21E,3,505.732
2012,NUTS,2010,DE21E,3,212.386
2011,NUTS,2010,DE21F,3,707.124
2012,NUTS,2010,DE21F,3,309.989
2011,NUTS,2010,DE21G,3,310.295
2012,NUTS,2010,DE21G,3,244.94
2011,NUTS,2010,DE21H,3,848.227
2012,NUTS,2010,DE21H,3,675.993
2011,NUTS,2010,DE21I,3,329.332
2012,NUTS,2010,DE21I,3,227.97
2011,NUTS,2010,DE21J,3,461.528
2012,NUTS,2010,DE21J,3,299.945
2011,NUTS,2010,DE21K,3,398.323
2012,NUTS,2010,DE21K,3,323.012
2011,NUTS,2010,DE21L,3,677.448
2012,NUTS,2010,DE21L,3,606.196
2011,NUTS,2010,DE21M,3,654.054
2012,NUTS,2010,DE21M,3,772.824
2011,NUTS,2010,DE21N,3,477.46
2012,NUTS,2010,DE21N,3,489.253
2011,NUTS,2010,DE22,2,189.745
2012,NUTS,2010,DE22,2,160.162
2011,NUTS,2010,DE221,3,387.777
2012,NUTS,2010,DE221,3,279.187
2011,NUTS,2010,DE222,3,134.799
2012,NUTS,2010,DE222,3,24.729
2011,NUTS,2010,DE223,3,224.972
2012,NUTS,2010,DE223,3,246.847
2011,NUTS,2010,DE224,3,140.763
2012,NUTS,2010,DE224,3,173.344
2011,NUTS,2010,DE225,3,107.576
2012,NUTS,2010,DE225,3,90.439
2011,NUTS,2010,DE226,3,324.622
2012,NUTS,2010,DE226,3,186.974
2011,NUTS,2010,DE227,3,298.421
2012,NUTS,2010,DE227,3,188.001
2011,NUTS,2010,DE228,3,107.501
2012,NUTS,2010,DE228,3,138.479
2011,NUTS,2010,DE229,3,106.646
2012,NUTS,2010,DE229,3,72.018
2011,NUTS,2010,DE22A,3,155.741
2012,NUTS,2010,DE22A,3,186.169
2011,NUTS,2010,DE22B,3,190.796
2012,NUTS,2010,DE22B,3,78.906
2011,NUTS,2010,DE22C,3,138.994
2012,NUTS,2010,DE22C,3,247.163
2011,NUTS,2010,DE23,2,471.502
2012,NUTS,2010,DE23,2,414.864
2011,NUTS,2010,DE231,3,343.732
2012,NUTS,2010,DE231,3,283.259
2011,NUTS,2010,DE232,3,837.662
2012,NUTS,2010,DE232,3,482.878
2011,NUTS,2010,DE233,3,137.985
2012,NUTS,2010,DE233,3,119.178
2011,NUTS,2010,DE234,3,489.352
2012,NUTS,2010,DE234,3,452.779
2011,NUTS,2010,DE235,3,153.442
2012,NUTS,2010,DE235,3,95.161
2011,NUTS,2010,DE236,3,275.967
2012,NUTS,2010,DE236,3,207.623
2011,NUTS,2010,DE237,3,314.573
2012,NUTS,2010,DE237,3,129.184
2011,NUTS,2010,DE238,3,962.263
2012,NUTS,2010,DE238,3,1199.491
2011,NUTS,2010,DE239,3,339.696
2012,NUTS,2010,DE239,3,254.202
2011,NUTS,2010,DE23A,3,174.193
2012,NUTS,2010,DE23A,3,117.052
2011,NUTS,2010,DE24,2,267.132
2012,NUTS,2010,DE24,2,208.018
2011,NUTS,2010,DE241,3,331.267
2012,NUTS,2010,DE241,3,171.223
2011,NUTS,2010,DE242,3,225.913
2012,NUTS,2010,DE242,3,229.24
2011,NUTS,2010,DE243,3,166.034
2012,NUTS,2010,DE243,3,165.465
2011,NUTS,2010,DE244,3,199.844
2012,NUTS,2010,DE244,3,273.832
2011,NUTS,2010,DE245,3,289.16
2012,NUTS,2010,DE245,3,164.934
2011,NUTS,2010,DE246,3,224.312
2012,NUTS,2010,DE246,3,176.66
2011,NUTS,2010,DE247,3,263.4
2012,NUTS,2010,DE247,3,204.8
2011,NUTS,2010,DE248,3,622.826
2012,NUTS,2010,DE248,3,427.8
2011,NUTS,2010,DE249,3,235.649
2012,NUTS,2010,DE249,3,217.076
2011,NUTS,2010,DE24A,3,90.292
2012,NUTS,2010,DE24A,3,132.718
2011,NUTS,2010,DE24B,3,159.617
2012,NUTS,2010,DE24B,3,112.004
2011,NUTS,2010,DE24C,3,204.297
2012,NUTS,2010,DE24C,3,175.565
2011,NUTS,2010,DE24D,3,203.389
2012,NUTS,2010,DE24D,3,185.796
2011,NUTS,2010,DE25,2,573.002
2012,NUTS,2010,DE25,2,468.132
2011,NUTS,2010,DE251,3,422.826
2012,NUTS,2010,DE251,3,271.987
2011,NUTS,2010,DE252,3,2475.362
2012,NUTS,2010,DE252,3,1770.498
2011,NUTS,2010,DE253,3,483.477
2012,NUTS,2010,DE253,3,415.416
2011,NUTS,2010,DE254,3,372.045
2012,NUTS,2010,DE254,3,332.294
2011,NUTS,2010,DE255,3,255.408
2012,NUTS,2010,DE255,3,389.395
2011,NUTS,2010,DE256,3,319.411
2012,NUTS,2010,DE256,3,247.052
2011,NUTS,2010,DE257,3,1475.793
2012,NUTS,2010,DE257,3,1045.824
2011,NUTS,2010,DE258,3,419.563
2012,NUTS,2010,DE258,3,371.104
2011,NUTS,2010,DE259,3,496.211
2012,NUTS,2010,DE259,3,524.821
2011,NUTS,2010,DE25A,3,269.071
2012,NUTS,2010,DE25A,3,238.713
2011,NUTS,2010,DE25B,3,235.212
2012,NUTS,2010,DE25B,3,213.902
2011,NUTS,2010,DE25C,3,121.201
2012,NUTS,2010,DE25C,3,110.187
2011,NUTS,2010,DE26,2,346.217
2012,NUTS,2010,DE26,2,326.182
2011,NUTS,2010,DE261,3,484.726
2012,NUTS,2010,DE261,3,348.07
2011,NUTS,2010,DE262,3,401.011
2012,NUTS,2010,DE262,3,387.252
2011,NUTS,2010,DE263,3,254.187
2012,NUTS,2010,DE263,3,334.434
2011,NUTS,2010,DE264,3,464.362
2012,NUTS,2010,DE264,3,415.132
2011,NUTS,2010,DE265,3,271.714
2012,NUTS,2010,DE265,3,233.045
2011,NUTS,2010,DE266,3,481.572
2012,NUTS,2010,DE266,3,474.467
2011,NUTS,2010,DE267,3,195.742
2012,NUTS,2010,DE267,3,206.285
2011,NUTS,2010,DE268,3,361.551
2012,NUTS,2010,DE268,3,159.491
2011,NUTS,2010,DE269,3,190.742
2012,NUTS,2010,DE269,3,259.891
2011,NUTS,2010,DE26A,3,279.898
2012,NUTS,2010,DE26A,3,308.614
2011,NUTS,2010,DE26B,3,517.331
2012,NUTS,2010,DE26B,3,423.144
2011,NUTS,2010,DE26C,3,324.618
2012,NUTS,2010,DE26C,3,332.098
2011,NUTS,2010,DE27,2,330.626
2012,NUTS,2010,DE27,2,267.905
2011,NUTS,2010,DE271,3,266.18
2012,NUTS,2010,DE271,3,173.9
2011,NUTS,2010,DE272,3,132.161
2012,NUTS,2010,DE272,3,47.91
2011,NUTS,2010,DE273,3,302.772
2012,NUTS,2010,DE273,3,208.548
2011,NUTS,2010,DE274,3,284.217
2012,NUTS,2010,DE274,3,255.91
