year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_total_pc_act_fte_t
2018,NUTS,2010,BG32,2,0.0193
2019,NUTS,2010,BG32,2,0.0214
2011,NUTS,2010,BG33,2,0.1314
2012,NUTS,2010,BG33,2,0.1385
2013,NUTS,2010,BG33,2,0.1254
2014,NUTS,2010,BG33,2,0.1239
2015,NUTS,2010,BG33,2,0.1095
2016,NUTS,2010,BG33,2,0.1136
2017,NUTS,2010,BG33,2,0.1083
2018,NUTS,2010,BG33,2,0.1298
2019,NUTS,2010,BG33,2,0.1319
2011,NUTS,2010,BG34,2,0.0607
2012,NUTS,2010,BG34,2,0.0626
2013,NUTS,2010,BG34,2,0.0591
2014,NUTS,2010,BG34,2,0.0553
2015,NUTS,2010,BG34,2,0.0515
2016,NUTS,2010,BG34,2,0.0517
2018,NUTS,2010,BG34,2,0.0601
2019,NUTS,2010,BG34,2,0.0651
2011,NUTS,2010,BG4,1,0.4566
2012,NUTS,2010,BG4,1,0.4486
2013,NUTS,2010,BG4,1,0.4287
2014,NUTS,2010,BG4,1,0.4135
2015,NUTS,2010,BG4,1,0.4081
2016,NUTS,2010,BG4,1,0.4006
2017,NUTS,2010,BG4,1,0.3841
2018,NUTS,2010,BG4,1,0.3888
2019,NUTS,2010,BG4,1,0.3879
2011,NUTS,2010,BG41,2,0.684
2012,NUTS,2010,BG41,2,0.6752
2013,NUTS,2010,BG41,2,0.6485
2014,NUTS,2010,BG41,2,0.626
2015,NUTS,2010,BG41,2,0.6124
2016,NUTS,2010,BG41,2,0.5975
2017,NUTS,2010,BG41,2,0.5787
2018,NUTS,2010,BG41,2,0.5753
2019,NUTS,2010,BG41,2,0.5713
2011,NUTS,2010,BG42,2,0.0816
2012,NUTS,2010,BG42,2,0.082
2013,NUTS,2010,BG42,2,0.0794
2014,NUTS,2010,BG42,2,0.0794
2015,NUTS,2010,BG42,2,0.0758
2016,NUTS,2010,BG42,2,0.0739
2017,NUTS,2010,BG42,2,0.0715
2018,NUTS,2010,BG42,2,0.079
2019,NUTS,2010,BG42,2,0.0849
2012,NUTS,2010,CH,0,0.0177
2014,NUTS,2010,CH,0,0.0198
2015,NUTS,2010,CH,0,0.0198
2017,NUTS,2010,CH,0,0.0187
2019,NUTS,2010,CH,0,0.022
2011,NUTS,2010,CY,0,0.0601
2012,NUTS,2010,CY,0,0.0582
2013,NUTS,2010,CY,0,0.054
2014,NUTS,2010,CY,0,0.0511
2015,NUTS,2010,CY,0,0.0552
2016,NUTS,2010,CY,0,0.0575
2017,NUTS,2010,CY,0,0.059
2018,NUTS,2010,CY,0,0.0552
2019,NUTS,2010,CY,0,0.056
2020,NUTS,2010,CY,0,0.0558
2011,NUTS,2010,CZ,0,0.2259
2012,NUTS,2010,CZ,0,0.2293
2013,NUTS,2010,CZ,0,0.2355
2014,NUTS,2010,CZ,0,0.2378
2015,NUTS,2010,CZ,0,0.2491
2016,NUTS,2010,CZ,0,0.2507
2017,NUTS,2010,CZ,0,0.2608
2018,NUTS,2010,CZ,0,0.2689
2019,NUTS,2010,CZ,0,0.2763
2020,NUTS,2010,CZ,0,0.2764
2011,NUTS,2010,CZ0,1,0.2226
2012,NUTS,2010,CZ0,1,0.2257
2013,NUTS,2010,CZ0,1,0.2313
2014,NUTS,2010,CZ0,1,0.2337
2015,NUTS,2010,CZ0,1,0.2439
2016,NUTS,2010,CZ0,1,0.2448
2017,NUTS,2010,CZ0,1,0.2546
2018,NUTS,2010,CZ0,1,0.2615
2019,NUTS,2010,CZ0,1,0.2685
2020,NUTS,2010,CZ0,1,0.2688
2011,NUTS,2010,CZ01,2,1.2495
2012,NUTS,2010,CZ01,2,1.252
2013,NUTS,2010,CZ01,2,1.2875
2014,NUTS,2010,CZ01,2,1.3289
2015,NUTS,2010,CZ01,2,1.3124
2016,NUTS,2010,CZ01,2,1.2473
2017,NUTS,2010,CZ01,2,1.2816
2018,NUTS,2010,CZ01,2,1.2672
2019,NUTS,2010,CZ01,2,1.2855
2020,NUTS,2010,CZ01,2,1.2711
2011,NUTS,2010,CZ02,2,0.1664
2012,NUTS,2010,CZ02,2,0.1473
2013,NUTS,2010,CZ02,2,0.1533
2014,NUTS,2010,CZ02,2,0.1607
2015,NUTS,2010,CZ02,2,0.2134
2016,NUTS,2010,CZ02,2,0.282
2017,NUTS,2010,CZ02,2,0.2783
2018,NUTS,2010,CZ02,2,0.2907
2019,NUTS,2010,CZ02,2,0.293
2020,NUTS,2010,CZ02,2,0.2997
2011,NUTS,2010,CZ03,2,0.0938
2012,NUTS,2010,CZ03,2,0.094
2013,NUTS,2010,CZ03,2,0.1017
2014,NUTS,2010,CZ03,2,0.1055
2015,NUTS,2010,CZ03,2,0.1104
2016,NUTS,2010,CZ03,2,0.1119
2017,NUTS,2010,CZ03,2,0.119
2018,NUTS,2010,CZ03,2,0.1246
2019,NUTS,2010,CZ03,2,0.13
2020,NUTS,2010,CZ03,2,0.1296
2011,NUTS,2010,CZ04,2,0.0108
2012,NUTS,2010,CZ04,2,0.012
2013,NUTS,2010,CZ04,2,0.0119
2014,NUTS,2010,CZ04,2,0.0121
2015,NUTS,2010,CZ04,2,0.0105
2016,NUTS,2010,CZ04,2,0.0097
2017,NUTS,2010,CZ04,2,0.0105
2018,NUTS,2010,CZ04,2,0.0122
2019,NUTS,2010,CZ04,2,0.0127
2020,NUTS,2010,CZ04,2,0.0126
2011,NUTS,2010,CZ05,2,0.0209
2012,NUTS,2010,CZ05,2,0.021
2013,NUTS,2010,CZ05,2,0.0206
2014,NUTS,2010,CZ05,2,0.0204
2015,NUTS,2010,CZ05,2,0.0214
2016,NUTS,2010,CZ05,2,0.0211
2017,NUTS,2010,CZ05,2,0.0207
2018,NUTS,2010,CZ05,2,0.0219
2019,NUTS,2010,CZ05,2,0.0222
2020,NUTS,2010,CZ05,2,0.0228
2011,NUTS,2010,CZ06,2,0.1658
2012,NUTS,2010,CZ06,2,0.1886
2013,NUTS,2010,CZ06,2,0.1913
2014,NUTS,2010,CZ06,2,0.1691
2015,NUTS,2010,CZ06,2,0.1982
2016,NUTS,2010,CZ06,2,0.195
2017,NUTS,2010,CZ06,2,0.1952
2018,NUTS,2010,CZ06,2,0.2119
2019,NUTS,2010,CZ06,2,0.2191
2020,NUTS,2010,CZ06,2,0.2243
2011,NUTS,2010,CZ07,2,0.0086
2012,NUTS,2010,CZ07,2,0.0089
2013,NUTS,2010,CZ07,2,0.0078
2014,NUTS,2010,CZ07,2,0.0092
2015,NUTS,2010,CZ07,2,0.0088
2016,NUTS,2010,CZ07,2,0.0094
2017,NUTS,2010,CZ07,2,0.02
2018,NUTS,2010,CZ07,2,0.0224
2019,NUTS,2010,CZ07,2,0.0212
2020,NUTS,2010,CZ07,2,0.0212
2011,NUTS,2010,CZ08,2,0.0196
2012,NUTS,2010,CZ08,2,0.0193
2013,NUTS,2010,CZ08,2,0.0195
2014,NUTS,2010,CZ08,2,0.0201
2015,NUTS,2010,CZ08,2,0.0196
2016,NUTS,2010,CZ08,2,0.0189
2017,NUTS,2010,CZ08,2,0.0186
2018,NUTS,2010,CZ08,2,0.02
2019,NUTS,2010,CZ08,2,0.0218
2020,NUTS,2010,CZ08,2,0.0212
2011,NUTS,2010,DE,0,0.2355
2012,NUTS,2010,DE,0,0.2405
2013,NUTS,2010,DE,0,0.2445
2014,NUTS,2010,DE,0,0.2505
2015,NUTS,2010,DE,0,0.2514
2016,NUTS,2010,DE,0,0.25
2017,NUTS,2010,DE,0,0.2558
2018,NUTS,2010,DE,0,0.2641
2019,NUTS,2010,DE,0,0.2694
2020,NUTS,2010,DE,0,0.2781
2011,NUTS,2010,DE1,1,0.2613
2012,NUTS,2010,DE1,1,0.26
2013,NUTS,2010,DE1,1,0.2648
2014,NUTS,2010,DE1,1,0.2645
2015,NUTS,2010,DE1,1,0.2728
2016,NUTS,2010,DE1,1,0.2682
2017,NUTS,2010,DE1,1,0.2711
2018,NUTS,2010,DE1,1,0.2753
2019,NUTS,2010,DE1,1,0.28
2011,NUTS,2010,DE11,2,0.159
2012,NUTS,2010,DE11,2,0.1584
2013,NUTS,2010,DE11,2,0.1596
2014,NUTS,2010,DE11,2,0.157
2015,NUTS,2010,DE11,2,0.1559
2016,NUTS,2010,DE11,2,0.1564
2017,NUTS,2010,DE11,2,0.156
2018,NUTS,2010,DE11,2,0.1587
2019,NUTS,2010,DE11,2,0.1632
2011,NUTS,2010,DE12,2,0.5886
2012,NUTS,2010,DE12,2,0.5816
2013,NUTS,2010,DE12,2,0.5968
2014,NUTS,2010,DE12,2,0.608
2015,NUTS,2010,DE12,2,0.6383
2016,NUTS,2010,DE12,2,0.6242
2017,NUTS,2010,DE12,2,0.6247
2018,NUTS,2010,DE12,2,0.6276
2019,NUTS,2010,DE12,2,0.6236
2011,NUTS,2010,DE13,2,0.1855
2012,NUTS,2010,DE13,2,0.1891
2013,NUTS,2010,DE13,2,0.1899
2014,NUTS,2010,DE13,2,0.1875
