year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pc_act_fte_total_total_f
2004,NUTS,2010,HR,0,0.696
2005,NUTS,2010,HR,0,0.5675
2006,NUTS,2010,HR,0,0.5861
2007,NUTS,2010,HR,0,0.6089
2008,NUTS,2010,HR,0,0.6361
2009,NUTS,2010,HR,0,0.643
2010,NUTS,2010,HR,0,0.6456
2011,NUTS,2010,HR,0,0.6527
2012,NUTS,2010,HR,0,0.6403
2013,NUTS,2010,HR,0,0.6373
2014,NUTS,2010,HR,0,0.59
2015,NUTS,2010,HR,0,0.6211
2016,NUTS,2010,HR,0,0.697
2017,NUTS,2010,HR,0,0.7057
2018,NUTS,2010,HR,0,0.7576
2019,NUTS,2010,HR,0,0.8427
2020,NUTS,2010,HR,0,0.9267
2002,NUTS,2010,HR0,1,0.7943
2003,NUTS,2010,HR0,1,0.5931
2006,NUTS,2010,HU,0,0.558
2007,NUTS,2010,HU,0,0.5502
2008,NUTS,2010,HU,0,0.5797
2009,NUTS,2010,HU,0,0.5659
2010,NUTS,2010,HU,0,0.5797
2011,NUTS,2010,HU,0,0.6023
2012,NUTS,2010,HU,0,0.607
2013,NUTS,2010,HU,0,0.6101
2014,NUTS,2010,HU,0,0.5909
2015,NUTS,2010,HU,0,0.5914
2016,NUTS,2010,HU,0,0.5466
2017,NUTS,2010,HU,0,0.6114
2018,NUTS,2010,HU,0,0.7332
2019,NUTS,2010,HU,0,0.8276
2002,NUTS,2010,IE,0,0.4807
2003,NUTS,2010,IE,0,0.5125
2004,NUTS,2010,IE,0,0.5443
2005,NUTS,2010,IE,0,0.549
2006,NUTS,2010,IE,0,0.5679
2007,NUTS,2010,IE,0,0.5818
2008,NUTS,2010,IE,0,0.6191
2009,NUTS,2010,IE,0,0.6442
2010,NUTS,2010,IE,0,0.6569
2011,NUTS,2010,IE,0,0.6564
2012,NUTS,2010,IE,0,0.6326
2013,NUTS,2010,IE,0,1.0721
2015,NUTS,2010,IE,0,1.0958
2017,NUTS,2010,IE,0,1.2198
2019,NUTS,2010,IE,0,1.0471
2002,NUTS,2010,IE0,1,0.5047
2003,NUTS,2010,IE0,1,0.5381
2003,NUTS,2010,IS,0,1.5674
2005,NUTS,2010,IS,0,1.6861
2006,NUTS,2010,IS,0,1.703
2007,NUTS,2010,IS,0,1.4172
2008,NUTS,2010,IS,0,1.4625
2009,NUTS,2010,IS,0,1.6969
2011,NUTS,2010,IS,0,1.5244
2003,NUTS,2010,IT,0,0.5705
2004,NUTS,2010,IT,0,0.567
2005,NUTS,2010,IT,0,0.6281
2006,NUTS,2010,IT,0,0.6831
2007,NUTS,2010,IT,0,0.7449
2008,NUTS,2010,IT,0,0.7426
2009,NUTS,2010,IT,0,0.7843
2010,NUTS,2010,IT,0,0.7759
2011,NUTS,2010,IT,0,0.7795
2012,NUTS,2010,IT,0,0.7991
2013,NUTS,2010,IT,0,0.8157
2014,NUTS,2010,IT,0,0.8087
2015,NUTS,2010,IT,0,0.8476
2016,NUTS,2010,IT,0,0.8991
2017,NUTS,2010,IT,0,0.9468
2018,NUTS,2010,IT,0,1.0151
2019,NUTS,2010,IT,0,1.061
1998,NUTS,2010,KR,0,0.199
2000,NUTS,2010,LT,0,0.7117
2001,NUTS,2010,LT,0,0.8023
2002,NUTS,2010,LT,0,0.6465
2003,NUTS,2010,LT,0,0.6518
2004,NUTS,2010,LT,0,0.7132
2005,NUTS,2010,LT,0,0.7806
2006,NUTS,2010,LT,0,0.8299
2007,NUTS,2010,LT,0,0.905
2008,NUTS,2010,LT,0,0.9262
2009,NUTS,2010,LT,0,0.868
2010,NUTS,2010,LT,0,0.8633
2011,NUTS,2010,LT,0,0.7922
2012,NUTS,2010,LT,0,0.757
2013,NUTS,2010,LT,0,0.7752
2014,NUTS,2010,LT,0,0.7848
2015,NUTS,2010,LT,0,0.7191
2016,NUTS,2010,LT,0,0.7463
2017,NUTS,2010,LT,0,0.7654
2018,NUTS,2010,LT,0,0.7814
2019,NUTS,2010,LT,0,0.8454
2005,NUTS,2010,LU,0,1.0466
2009,NUTS,2010,LU,0,1.3692
2011,NUTS,2010,LU,0,1.2408
2013,NUTS,2010,LU,0,1.1025
2014,NUTS,2010,LU,0,0.8083
2015,NUTS,2010,LU,0,1.0679
2017,NUTS,2010,LU,0,1.0768
2019,NUTS,2010,LU,0,1.1039
1997,NUTS,2010,LV,0,0.3932
1998,NUTS,2010,LV,0,0.4131
1999,NUTS,2010,LV,0,0.4254
2000,NUTS,2010,LV,0,0.5411
2001,NUTS,2010,LV,0,0.6
2002,NUTS,2010,LV,0,0.5642
2003,NUTS,2010,LV,0,0.5203
2004,NUTS,2010,LV,0,0.5509
2005,NUTS,2010,LV,0,0.5416
2006,NUTS,2010,LV,0,0.6134
2007,NUTS,2010,LV,0,0.6312
2008,NUTS,2010,LV,0,0.6401
2009,NUTS,2010,LV,0,0.5323
2010,NUTS,2010,LV,0,0.5111
2011,NUTS,2010,LV,0,0.5698
2012,NUTS,2010,LV,0,0.5933
2013,NUTS,2010,LV,0,0.5718
2015,NUTS,2010,LV,0,0.5975
2016,NUTS,2010,LV,0,0.5725
2017,NUTS,2010,LV,0,0.6134
2018,NUTS,2010,LV,0,0.6477
2019,NUTS,2010,LV,0,0.6775
2011,NUTS,2010,ME,0,0.2601
2013,NUTS,2010,ME,0,0.2412
2014,NUTS,2010,ME,0,0.2632
2015,NUTS,2010,ME,0,0.2709
2017,NUTS,2010,ME,0,0.2642
2018,NUTS,2010,ME,0,0.2928
2019,NUTS,2010,ME,0,0.3006
2006,NUTS,2010,MK,0,0.2072
2007,NUTS,2010,MK,0,0.2034
2008,NUTS,2010,MK,0,0.1958
2009,NUTS,2010,MK,0,0.1783
2010,NUTS,2010,MK,0,0.2307
2011,NUTS,2010,MK,0,0.1754
2012,NUTS,2010,MK,0,0.261
2015,NUTS,2010,MK,0,0.2775
2016,NUTS,2010,MK,0,0.31
2017,NUTS,2010,MK,0,0.2783
2018,NUTS,2010,MK,0,0.2963
2019,NUTS,2010,MK,0,0.2765
1999,NUTS,2010,MT,0,0.0217
2000,NUTS,2010,MT,0,0.0217
2004,NUTS,2010,MT,0,0.3871
2005,NUTS,2010,MT,0,0.4117
2006,NUTS,2010,MT,0,0.4268
2007,NUTS,2010,MT,0,0.3802
2008,NUTS,2010,MT,0,0.4287
2009,NUTS,2010,MT,0,0.4129
2010,NUTS,2010,MT,0,0.4547
2011,NUTS,2010,MT,0,0.5249
2012,NUTS,2010,MT,0,0.5564
2013,NUTS,2010,MT,0,0.5141
2014,NUTS,2010,MT,0,0.5074
2015,NUTS,2010,MT,0,0.4685
2016,NUTS,2010,MT,0,0.4719
2017,NUTS,2010,MT,0,0.512
2018,NUTS,2010,MT,0,0.4682
2019,NUTS,2010,MT,0,0.4747
2011,NUTS,2010,NL,0,0.764
2012,NUTS,2010,NL,0,0.8105
2000,NUTS,2010,PL,0,0.6959
2015,NUTS,2010,PL,0,0.525
2016,NUTS,2010,PL,0,0.5348
2017,NUTS,2010,PL,0,0.7025
2018,NUTS,2010,PL,0,0.7708
2019,NUTS,2010,PL,0,0.7985
2001,NUTS,2010,PT,0,0.4367
2002,NUTS,2010,PT,0,0.4635
2003,NUTS,2010,PT,0,0.4899
2004,NUTS,2010,PT,0,0.4877
2005,NUTS,2010,PT,0,0.4814
2006,NUTS,2010,PT,0,0.5468
2007,NUTS,2010,PT,0,0.6109
2008,NUTS,2010,PT,0,0.8339
2009,NUTS,2010,PT,0,0.8892
2010,NUTS,2010,PT,0,0.8613
2011,NUTS,2010,PT,0,0.8846
2012,NUTS,2010,PT,0,0.8595
2013,NUTS,2010,PT,0,0.8498
2014,NUTS,2010,PT,0,0.8462
2015,NUTS,2010,PT,0,0.8682
2016,NUTS,2010,PT,0,0.9029
2017,NUTS,2010,PT,0,0.9773
2018,NUTS,2010,PT,0,1.0242
2019,NUTS,2010,PT,0,1.0668
2020,NUTS,2010,PT,0,1.1457
2001,NUTS,2010,PT1,1,0.4164
2001,NUTS,2010,PT11,2,0.2448
2001,NUTS,2010,PT15,2,0.2302
2001,NUTS,2010,PT2,1,0.3972
2001,NUTS,2010,PT20,2,0.3972
2001,NUTS,2010,PT3,1,0.2998
2001,NUTS,2010,PT30,2,0.2998
1998,NUTS,2010,RO,0,0.5278
1999,NUTS,2010,RO,0,0.4451
2000,NUTS,2010,RO,0,0.3311
2001,NUTS,2010,RO,0,0.3278
2002,NUTS,2010,RO,0,0.3531
2003,NUTS,2010,RO,0,0.3757
2004,NUTS,2010,RO,0,0.3679
2005,NUTS,2010,RO,0,0.3805
2006,NUTS,2010,RO,0,0.3268
2007,NUTS,2010,RO,0,0.3142
2008,NUTS,2010,RO,0,0.3428
2009,NUTS,2010,RO,0,0.3888
2010,NUTS,2010,RO,0,0.3596
2011,NUTS,2010,RO,0,0.4172
2012,NUTS,2010,RO,0,0.435
2013,NUTS,2010,RO,0,0.4539
2014,NUTS,2010,RO,0,0.4256
2015,NUTS,2010,RO,0,0.4193
2016,NUTS,2010,RO,0,0.4343
2017,NUTS,2010,RO,0,0.4269
2018,NUTS,2010,RO,0,0.4126
2019,NUTS,2010,RO,0,0.4163
2010,NUTS,2010,RS,0,0.6826
2011,NUTS,2010,RS,0,0.7016
2012,NUTS,2010,RS,0,0.7095
2013,NUTS,2010,RS,0,0.7173
2014,NUTS,2010,RS,0,0.7334
2015,NUTS,2010,RS,0,0.8241
2016,NUTS,2010,RS,0,0.7969
2017,NUTS,2010,RS,0,0.7704
2018,NUTS,2010,RS,0,0.7816
2019,NUTS,2010,RS,0,0.7895
2020,NUTS,2010,RS,0,0.8452
1997,NUTS,2010,SE,0,0.8838
1999,NUTS,2010,SE,0,0.9307
2001,NUTS,2010,SE,0,0.9787
2003,NUTS,2010,SE,0,0.6131
2005,NUTS,2010,SE,0,1.0214
2007,NUTS,2010,SE,0,0.9701
2009,NUTS,2010,SE,0,1.0063
2011,NUTS,2010,SE,0,1.0227
2013,NUTS,2010,SE,0,1.0231
2015,NUTS,2010,SE,0,1.057
2017,NUTS,2010,SE,0,1.1301
2019,NUTS,2010,SE,0,1.1572
1997,NUTS,2010,SI,0,0.6988
1998,NUTS,2010,SI,0,0.7244
1999,NUTS,2010,SI,0,0.7439
2000,NUTS,2010,SI,0,0.776
2001,NUTS,2010,SI,0,0.7674
2002,NUTS,2010,SI,0,0.7483
2003,NUTS,2010,SI,0,0.5696
2004,NUTS,2010,SI,0,0.5771
2005,NUTS,2010,SI,0,0.7336
2006,NUTS,2010,SI,0,0.7861
2007,NUTS,2010,SI,0,0.8313
2008,NUTS,2010,SI,0,0.8858
2009,NUTS,2010,SI,0,0.9496
2010,NUTS,2010,SI,0,1.0165
2011,NUTS,2010,SI,0,1.1859
2012,NUTS,2010,SI,0,1.1322
2013,NUTS,2010,SI,0,1.1783
2014,NUTS,2010,SI,0,1.1402
2015,NUTS,2010,SI,0,1.0667
2016,NUTS,2010,SI,0,1.0679
2017,NUTS,2010,SI,0,1.0547
2018,NUTS,2010,SI,0,1.1767
2019,NUTS,2010,SI,0,1.28
1999,NUTS,2010,SI0,1,0.721
2000,NUTS,2010,SI0,1,0.7587
2001,NUTS,2010,SI0,1,0.7543
2002,NUTS,2010,SI0,1,0.7216
2003,NUTS,2010,SI0,1,0.5587
2004,NUTS,2010,SI0,1,0.5597
2005,NUTS,2010,SI0,1,0.717
2006,NUTS,2010,SI0,1,0.7686
2007,NUTS,2010,SI0,1,0.8081
1997,NUTS,2010,SK,0,0.6204
1998,NUTS,2010,SK,0,0.6417
1999,NUTS,2010,SK,0,0.5788
2000,NUTS,2010,SK,0,0.5772
2001,NUTS,2010,SK,0,0.544
2002,NUTS,2010,SK,0,0.517
2003,NUTS,2010,SK,0,0.5104
2004,NUTS,2010,SK,0,0.533
2005,NUTS,2010,SK,0,0.5381
2006,NUTS,2010,SK,0,0.5738
2007,NUTS,2010,SK,0,0.5826
2008,NUTS,2010,SK,0,0.5861
2009,NUTS,2010,SK,0,0.56
2010,NUTS,2010,SK,0,0.6201
2011,NUTS,2010,SK,0,0.6269
2012,NUTS,2010,SK,0,0.6068
2013,NUTS,2010,SK,0,0.5679
2014,NUTS,2010,SK,0,0.5747
2015,NUTS,2010,SK,0,0.5717
2016,NUTS,2010,SK,0,0.553
2017,NUTS,2010,SK,0,0.5752
2018,NUTS,2010,SK,0,0.6012
2019,NUTS,2010,SK,0,0.6251
2020,NUTS,2010,SK,0,0.6591
2006,NUTS,2010,TR,0,0.2974
2007,NUTS,2010,TR,0,0.3392
2008,NUTS,2010,TR,0,0.3387
2009,NUTS,2010,TR,0,0.339
2010,NUTS,2010,TR,0,0.3437
2011,NUTS,2010,TR,0,0.3639
2012,NUTS,2010,TR,0,0.4017
2013,NUTS,2010,TR,0,0.4099
2014,NUTS,2010,TR,0,0.4078
2015,NUTS,2010,TR,0,0.4171
2016,NUTS,2010,TR,0,0.4566
2017,NUTS,2010,TR,0,0.4958
2018,NUTS,2010,TR,0,0.531
2019,NUTS,2010,TR,0,0.5577
2020,NUTS,2010,TR,0,0.6663
