year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_total_t_pc_emp_fte
2018,NUTS,2010,FI1B,2,0.0567
2019,NUTS,2010,FI1B,2,0.0481
2017,NUTS,2010,FI1C,2,0.0074
2018,NUTS,2010,FI1C,2,0.0077
2019,NUTS,2010,FI1C,2,0.0087
2017,NUTS,2010,FI1D,2,0.0016
2018,NUTS,2010,FI1D,2,0.0013
2019,NUTS,2010,FI1D,2,0.0016
2017,NUTS,2010,FI2,1,0.0
2018,NUTS,2010,FI2,1,0.0
2019,NUTS,2010,FI2,1,0.0
2017,NUTS,2010,FI20,2,0.0
2018,NUTS,2010,FI20,2,0.0
2019,NUTS,2010,FI20,2,0.0
2011,NUTS,2010,FR,0,0.022
2012,NUTS,2010,FR,0,0.0252
2013,NUTS,2010,FR,0,0.026
2014,NUTS,2010,FR,0,0.029
2015,NUTS,2010,FR,0,0.0277
2016,NUTS,2010,FR,0,0.029
2017,NUTS,2010,FR,0,0.0283
2018,NUTS,2010,FR,0,0.0284
2019,NUTS,2010,FR,0,0.0297
2020,NUTS,2010,FR,0,0.0301
2011,NUTS,2010,FR1,1,0.0458
2012,NUTS,2010,FR1,1,0.0458
2013,NUTS,2010,FR1,1,0.0471
2011,NUTS,2010,FR10,2,0.0458
2012,NUTS,2010,FR10,2,0.0458
2013,NUTS,2010,FR10,2,0.0471
2011,NUTS,2010,FR2,1,0.0
2012,NUTS,2010,FR2,1,0.0
2013,NUTS,2010,FR2,1,0.0
2011,NUTS,2010,FR21,2,0.0
2011,NUTS,2010,FR22,2,0.0
2011,NUTS,2010,FR23,2,0.0
2011,NUTS,2010,FR24,2,0.0
2011,NUTS,2010,FR25,2,0.0
2011,NUTS,2010,FR26,2,0.0
2012,NUTS,2010,FR26,2,0.0002
2011,NUTS,2010,FR3,1,0.0001
2012,NUTS,2010,FR3,1,0.0
2013,NUTS,2010,FR3,1,0.0
2011,NUTS,2010,FR30,2,0.0001
2012,NUTS,2010,FR30,2,0.0
2011,NUTS,2010,FR4,1,0.0
2012,NUTS,2010,FR4,1,0.0
2013,NUTS,2010,FR4,1,0.0
2011,NUTS,2010,FR41,2,0.0
2011,NUTS,2010,FR42,2,0.0
2011,NUTS,2010,FR43,2,0.0
2011,NUTS,2010,FR5,1,0.0
2012,NUTS,2010,FR5,1,0.0
2013,NUTS,2010,FR5,1,0.0
2011,NUTS,2010,FR51,2,0.0001
2011,NUTS,2010,FR52,2,0.0
2011,NUTS,2010,FR53,2,0.0
2011,NUTS,2010,FR6,1,0.0
2012,NUTS,2010,FR6,1,0.0
2013,NUTS,2010,FR6,1,0.0
2011,NUTS,2010,FR61,2,0.0
2011,NUTS,2010,FR62,2,0.0
2011,NUTS,2010,FR63,2,0.0
2011,NUTS,2010,FR7,1,0.0003
2012,NUTS,2010,FR7,1,0.0003
2013,NUTS,2010,FR7,1,0.0003
2011,NUTS,2010,FR71,2,0.0003
2012,NUTS,2010,FR71,2,0.0003
2013,NUTS,2010,FR71,2,0.0004
2011,NUTS,2010,FR72,2,0.0
2012,NUTS,2010,FR72,2,0.0
2011,NUTS,2010,FR8,1,0.0
2012,NUTS,2010,FR8,1,0.0
2013,NUTS,2010,FR8,1,0.0
2011,NUTS,2010,FR81,2,0.0
2011,NUTS,2010,FR82,2,0.0
2011,NUTS,2010,FR83,2,0.0
2011,NUTS,2010,FRA,1,0.0048
2012,NUTS,2010,FRA,1,0.0014
2013,NUTS,2010,FRA,1,0.0083
2011,NUTS,2010,HR,0,0.0012
2011,NUTS,2010,HR0,1,0.0011
2011,NUTS,2010,HR03,2,0.0036
2011,NUTS,2010,HR04,2,0.0
2012,NUTS,2010,HR04,2,0.0
2011,NUTS,2010,IS,0,0.0642
2016,NUTS,2010,IS,0,0.0
2017,NUTS,2010,IS,0,0.0
2018,NUTS,2010,IS,0,0.0
2011,NUTS,2010,IT,0,0.026
2012,NUTS,2010,IT,0,0.0272
2013,NUTS,2010,IT,0,0.0281
2014,NUTS,2010,IT,0,0.0301
2015,NUTS,2010,IT,0,0.032
2016,NUTS,2010,IT,0,0.0312
2017,NUTS,2010,IT,0,0.0296
2018,NUTS,2010,IT,0,0.0272
2019,NUTS,2010,IT,0,0.0314
2020,NUTS,2010,IT,0,0.0328
2011,NUTS,2010,ITC,1,0.0477
2012,NUTS,2010,ITC,1,0.0479
2013,NUTS,2010,ITC,1,0.0476
2014,NUTS,2010,ITC,1,0.0447
2015,NUTS,2010,ITC,1,0.046
2016,NUTS,2010,ITC,1,0.047
2017,NUTS,2010,ITC,1,0.0374
2018,NUTS,2010,ITC,1,0.036
2019,NUTS,2010,ITC,1,0.0424
2011,NUTS,2010,ITC1,2,0.0323
2012,NUTS,2010,ITC1,2,0.0425
2013,NUTS,2010,ITC1,2,0.0463
2014,NUTS,2010,ITC1,2,0.0477
2015,NUTS,2010,ITC1,2,0.047
2016,NUTS,2010,ITC1,2,0.0458
2017,NUTS,2010,ITC1,2,0.0378
2018,NUTS,2010,ITC1,2,0.0388
2019,NUTS,2010,ITC1,2,0.0436
2011,NUTS,2010,ITC2,2,0.0581
2012,NUTS,2010,ITC2,2,0.0977
2013,NUTS,2010,ITC2,2,0.0927
2014,NUTS,2010,ITC2,2,0.0904
2015,NUTS,2010,ITC2,2,0.0693
2016,NUTS,2010,ITC2,2,0.0643
2017,NUTS,2010,ITC2,2,0.0771
2018,NUTS,2010,ITC2,2,0.0744
2019,NUTS,2010,ITC2,2,0.0976
2011,NUTS,2010,ITC3,2,0.023
2012,NUTS,2010,ITC3,2,0.0223
2013,NUTS,2010,ITC3,2,0.0243
2014,NUTS,2010,ITC3,2,0.0199
2015,NUTS,2010,ITC3,2,0.0211
2016,NUTS,2010,ITC3,2,0.0222
2017,NUTS,2010,ITC3,2,0.0204
2018,NUTS,2010,ITC3,2,0.0205
2019,NUTS,2010,ITC3,2,0.0292
2011,NUTS,2010,ITC4,2,0.0582
2012,NUTS,2010,ITC4,2,0.0534
2013,NUTS,2010,ITC4,2,0.0508
2014,NUTS,2010,ITC4,2,0.0464
2015,NUTS,2010,ITC4,2,0.0488
2016,NUTS,2010,ITC4,2,0.0507
2017,NUTS,2010,ITC4,2,0.0391
2018,NUTS,2010,ITC4,2,0.0366
2019,NUTS,2010,ITC4,2,0.043
2011,NUTS,2010,ITF,1,0.0098
2012,NUTS,2010,ITF,1,0.0095
2013,NUTS,2010,ITF,1,0.0105
2014,NUTS,2010,ITF,1,0.0148
2017,NUTS,2010,ITF,1,0.0133
2018,NUTS,2010,ITF,1,0.0121
2019,NUTS,2010,ITF,1,0.0127
2011,NUTS,2010,ITF1,2,0.0026
2012,NUTS,2010,ITF1,2,0.0025
2013,NUTS,2010,ITF1,2,0.0117
2014,NUTS,2010,ITF1,2,0.0099
2015,NUTS,2010,ITF1,2,0.0048
2016,NUTS,2010,ITF1,2,0.0061
2017,NUTS,2010,ITF1,2,0.0066
2018,NUTS,2010,ITF1,2,0.0046
2019,NUTS,2010,ITF1,2,0.0048
2017,NUTS,2010,ITF2,2,0.004
2018,NUTS,2010,ITF2,2,0.0065
2019,NUTS,2010,ITF2,2,0.0021
2011,NUTS,2010,ITF3,2,0.0132
2012,NUTS,2010,ITF3,2,0.0127
2013,NUTS,2010,ITF3,2,0.0118
2014,NUTS,2010,ITF3,2,0.0209
2015,NUTS,2010,ITF3,2,0.0213
2016,NUTS,2010,ITF3,2,0.02
2017,NUTS,2010,ITF3,2,0.0155
2018,NUTS,2010,ITF3,2,0.0141
2019,NUTS,2010,ITF3,2,0.0158
2011,NUTS,2010,ITF4,2,0.0144
2012,NUTS,2010,ITF4,2,0.0138
2013,NUTS,2010,ITF4,2,0.0134
2014,NUTS,2010,ITF4,2,0.0187
2015,NUTS,2010,ITF4,2,0.0183
2016,NUTS,2010,ITF4,2,0.0228
2017,NUTS,2010,ITF4,2,0.0199
2018,NUTS,2010,ITF4,2,0.0184
2019,NUTS,2010,ITF4,2,0.0182
2012,NUTS,2010,ITF5,2,0.004
2013,NUTS,2010,ITF5,2,0.0123
2015,NUTS,2010,ITF5,2,0.0082
2017,NUTS,2010,ITF5,2,0.0049
2018,NUTS,2010,ITF5,2,0.0044
2019,NUTS,2010,ITF5,2,0.0091
2011,NUTS,2010,ITF6,2,0.001
2015,NUTS,2010,ITF6,2,0.0012
2016,NUTS,2010,ITF6,2,0.0038
2017,NUTS,2010,ITF6,2,0.0026
2018,NUTS,2010,ITF6,2,0.0027
2019,NUTS,2010,ITF6,2,0.0017
2011,NUTS,2010,ITG,1,0.0067
2012,NUTS,2010,ITG,1,0.0082
2013,NUTS,2010,ITG,1,0.0093
2014,NUTS,2010,ITG,1,0.0081
2015,NUTS,2010,ITG,1,0.0091
2016,NUTS,2010,ITG,1,0.0091
2017,NUTS,2010,ITG,1,0.0095
2018,NUTS,2010,ITG,1,0.007
2019,NUTS,2010,ITG,1,0.0096
2011,NUTS,2010,ITG1,2,0.0088
2012,NUTS,2010,ITG1,2,0.0106
2013,NUTS,2010,ITG1,2,0.0118
2014,NUTS,2010,ITG1,2,0.0103
2015,NUTS,2010,ITG1,2,0.011
2016,NUTS,2010,ITG1,2,0.0107
2017,NUTS,2010,ITG1,2,0.0118
2018,NUTS,2010,ITG1,2,0.0083
2019,NUTS,2010,ITG1,2,0.0119
2011,NUTS,2010,ITG2,2,0.0017
2012,NUTS,2010,ITG2,2,0.0025
2013,NUTS,2010,ITG2,2,0.0031
2014,NUTS,2010,ITG2,2,0.0029
2015,NUTS,2010,ITG2,2,0.0046
2016,NUTS,2010,ITG2,2,0.0052
2017,NUTS,2010,ITG2,2,0.0039
2018,NUTS,2010,ITG2,2,0.004
2019,NUTS,2010,ITG2,2,0.0044
2011,NUTS,2010,ITH,1,0.011
2012,NUTS,2010,ITH,1,0.0126
2013,NUTS,2010,ITH,1,0.0142
2014,NUTS,2010,ITH,1,0.0251
2015,NUTS,2010,ITH,1,0.0267
2016,NUTS,2010,ITH,1,0.0233
2017,NUTS,2010,ITH,1,0.0237
2018,NUTS,2010,ITH,1,0.0207
2019,NUTS,2010,ITH,1,0.0253
2011,NUTS,2010,ITH1,2,0.0012
2012,NUTS,2010,ITH1,2,0.0014
2013,NUTS,2010,ITH1,2,0.0015
2014,NUTS,2010,ITH1,2,0.2181
2015,NUTS,2010,ITH1,2,0.2193
2016,NUTS,2010,ITH1,2,0.1609
2017,NUTS,2010,ITH1,2,0.2247
2018,NUTS,2010,ITH1,2,0.1779
2019,NUTS,2010,ITH1,2,0.1915
2011,NUTS,2010,ITH2,2,0.0653
2012,NUTS,2010,ITH2,2,0.0707
2013,NUTS,2010,ITH2,2,0.073
2014,NUTS,2010,ITH2,2,0.0543
2015,NUTS,2010,ITH2,2,0.064
2016,NUTS,2010,ITH2,2,0.0481
2017,NUTS,2010,ITH2,2,0.0134
2018,NUTS,2010,ITH2,2,0.0138
2019,NUTS,2010,ITH2,2,0.0121
2011,NUTS,2010,ITH3,2,0.0099
2012,NUTS,2010,ITH3,2,0.0093
2013,NUTS,2010,ITH3,2,0.0105
2014,NUTS,2010,ITH3,2,0.0114
2015,NUTS,2010,ITH3,2,0.014
2016,NUTS,2010,ITH3,2,0.0135
2017,NUTS,2010,ITH3,2,0.0115
2018,NUTS,2010,ITH3,2,0.0117
2019,NUTS,2010,ITH3,2,0.0217
2011,NUTS,2010,ITH4,2,0.0227
2012,NUTS,2010,ITH4,2,0.0287
2013,NUTS,2010,ITH4,2,0.0277
2014,NUTS,2010,ITH4,2,0.0284
2015,NUTS,2010,ITH4,2,0.0324
2016,NUTS,2010,ITH4,2,0.0282
2017,NUTS,2010,ITH4,2,0.0281
2018,NUTS,2010,ITH4,2,0.0242
2019,NUTS,2010,ITH4,2,0.0277
2011,NUTS,2010,ITH5,2,0.0039
2012,NUTS,2010,ITH5,2,0.0067
2013,NUTS,2010,ITH5,2,0.0092
2014,NUTS,2010,ITH5,2,0.0108
2015,NUTS,2010,ITH5,2,0.0099
2016,NUTS,2010,ITH5,2,0.0121
2017,NUTS,2010,ITH5,2,0.0111
2018,NUTS,2010,ITH5,2,0.0101
2019,NUTS,2010,ITH5,2,0.0088
2011,NUTS,2010,ITI,1,0.0308
2012,NUTS,2010,ITI,1,0.0332
2013,NUTS,2010,ITI,1,0.0331
2014,NUTS,2010,ITI,1,0.031
2017,NUTS,2010,ITI,1,0.0413
2018,NUTS,2010,ITI,1,0.0375
2019,NUTS,2010,ITI,1,0.0411
2011,NUTS,2010,ITI1,2,0.013
2012,NUTS,2010,ITI1,2,0.0185
2013,NUTS,2010,ITI1,2,0.0175
2014,NUTS,2010,ITI1,2,0.0175
2015,NUTS,2010,ITI1,2,0.0238
2016,NUTS,2010,ITI1,2,0.025
2017,NUTS,2010,ITI1,2,0.0246
2018,NUTS,2010,ITI1,2,0.0243
2019,NUTS,2010,ITI1,2,0.026
2011,NUTS,2010,ITI2,2,0.0007
2012,NUTS,2010,ITI2,2,0.0009
2013,NUTS,2010,ITI2,2,0.0004
2014,NUTS,2010,ITI2,2,0.0007
2017,NUTS,2010,ITI2,2,0.0006
2018,NUTS,2010,ITI2,2,0.0025
2019,NUTS,2010,ITI2,2,0.0017
2011,NUTS,2010,ITI3,2,0.0014
2012,NUTS,2010,ITI3,2,0.0016
2013,NUTS,2010,ITI3,2,0.0016
2014,NUTS,2010,ITI3,2,0.0007
2015,NUTS,2010,ITI3,2,0.0005
2016,NUTS,2010,ITI3,2,0.0009
2017,NUTS,2010,ITI3,2,0.0016
2018,NUTS,2010,ITI3,2,0.0024
2019,NUTS,2010,ITI3,2,0.0028
2011,NUTS,2010,ITI4,2,0.0566
2012,NUTS,2010,ITI4,2,0.0575
2013,NUTS,2010,ITI4,2,0.0576
2014,NUTS,2010,ITI4,2,0.0527
2015,NUTS,2010,ITI4,2,0.0587
2016,NUTS,2010,ITI4,2,0.0537
2017,NUTS,2010,ITI4,2,0.0688
2018,NUTS,2010,ITI4,2,0.061
2019,NUTS,2010,ITI4,2,0.0674
2011,NUTS,2010,KR,0,0.0222
2012,NUTS,2010,KR,0,0.0178
2013,NUTS,2010,KR,0,0.0204
2011,NUTS,2010,LU,0,0.0
2012,NUTS,2010,LU,0,0.0
2013,NUTS,2010,LU,0,0.0
2011,NUTS,2010,ME,0,0.0047
2013,NUTS,2010,ME,0,0.0083
2014,NUTS,2010,ME,0,0.011
2015,NUTS,2010,ME,0,0.0142
2016,NUTS,2010,ME,0,0.0129
2017,NUTS,2010,ME,0,0.0096
2018,NUTS,2010,ME,0,0.0114
2019,NUTS,2010,ME,0,0.0004
2014,NUTS,2010,MK,0,0.0032
2015,NUTS,2010,MK,0,0.0024
2016,NUTS,2010,MK,0,0.0093
2017,NUTS,2010,MK,0,0.0063
2018,NUTS,2010,MK,0,0.006
2019,NUTS,2010,MK,0,0.004
2020,NUTS,2010,MK,0,0.002
2013,NUTS,2010,NL,0,0.0
2014,NUTS,2010,NL,0,0.0
2015,NUTS,2010,NL,0,0.0
2016,NUTS,2010,NL,0,0.0
2017,NUTS,2010,NL,0,0.0
2018,NUTS,2010,NL,0,0.0
2019,NUTS,2010,NL,0,0.0
2020,NUTS,2010,NL,0,0.0
2011,NUTS,2010,PL,0,0.0009
2012,NUTS,2010,PL,0,0.0016
2013,NUTS,2010,PL,0,0.0012
2014,NUTS,2010,PL,0,0.0012
2015,NUTS,2010,PL,0,0.001
2016,NUTS,2010,PL,0,0.0041
2017,NUTS,2010,PL,0,0.0077
2018,NUTS,2010,PL,0,0.0092
2019,NUTS,2010,PL,0,0.0052
2020,NUTS,2010,PL,0,0.0045
2013,NUTS,2010,PL1,1,0.0022
2014,NUTS,2010,PL1,1,0.0019
2015,NUTS,2010,PL1,1,0.0019
2011,NUTS,2010,PL12,2,0.0026
2012,NUTS,2010,PL12,2,0.0044
2011,NUTS,2010,PL2,1,0.0006
2012,NUTS,2010,PL2,1,0.0006
2013,NUTS,2010,PL2,1,0.002
2014,NUTS,2010,PL2,1,0.0019
2015,NUTS,2010,PL2,1,0.0013
2016,NUTS,2010,PL2,1,0.0043
2017,NUTS,2010,PL2,1,0.0089
2018,NUTS,2010,PL2,1,0.0137
2019,NUTS,2010,PL2,1,0.0042
2011,NUTS,2010,PL21,2,0.0012
2012,NUTS,2010,PL21,2,0.0014
2017,NUTS,2010,PL21,2,0.0104
2018,NUTS,2010,PL21,2,0.0124
2019,NUTS,2010,PL21,2,0.0054
2011,NUTS,2010,PL22,2,0.0003
2012,NUTS,2010,PL22,2,0.0001
2017,NUTS,2010,PL22,2,0.0077
2018,NUTS,2010,PL22,2,0.0147
2019,NUTS,2010,PL22,2,0.0032
2013,NUTS,2010,PL3,1,0.0004
2015,NUTS,2010,PL3,1,0.0002
2011,NUTS,2010,PL31,2,0.0
2012,NUTS,2010,PL33,2,0.0
2015,NUTS,2010,PL33,2,0.0
2011,NUTS,2010,PL4,1,0.0003
2012,NUTS,2010,PL4,1,0.002
2013,NUTS,2010,PL4,1,0.0002
2014,NUTS,2010,PL4,1,0.0011
2015,NUTS,2010,PL4,1,0.0011
2017,NUTS,2010,PL4,1,0.0039
2018,NUTS,2010,PL4,1,0.0016
2019,NUTS,2010,PL4,1,0.0008
2016,NUTS,2010,PL41,2,0.0028
2017,NUTS,2010,PL41,2,0.0047
2018,NUTS,2010,PL41,2,0.0018
2019,NUTS,2010,PL41,2,0.0012
2012,NUTS,2010,PL43,2,0.0
2015,NUTS,2010,PL43,2,0.0
2012,NUTS,2010,PL5,1,0.0003
2014,NUTS,2010,PL5,1,0.0004
2015,NUTS,2010,PL5,1,0.001
2016,NUTS,2010,PL5,1,0.0023
2019,NUTS,2010,PL5,1,0.0026
2012,NUTS,2010,PL51,2,0.0004
2013,NUTS,2010,PL51,2,0.0007
2018,NUTS,2010,PL51,2,0.008
2012,NUTS,2010,PL52,2,0.0
2011,NUTS,2010,PL6,1,0.0
2015,NUTS,2010,PL6,1,0.0
2018,NUTS,2010,PL6,1,0.0047
2019,NUTS,2010,PL6,1,0.0051
2011,NUTS,2010,PL61,2,0.0
2013,NUTS,2010,PL61,2,0.0
2015,NUTS,2010,PL61,2,0.0
2018,NUTS,2010,PL61,2,0.0081
2012,NUTS,2010,PL62,2,0.0
2015,NUTS,2010,PL62,2,0.0
2011,NUTS,2010,PL63,2,0.0
2013,NUTS,2010,PL63,2,0.0002
2015,NUTS,2010,PL63,2,0.0
2017,NUTS,2010,PL63,2,0.0033
2019,NUTS,2010,PL63,2,0.0036
2018,NUTS,2010,PL7,1,0.0095
2019,NUTS,2010,PL7,1,0.0093
2016,NUTS,2010,PL8,1,0.0019
2017,NUTS,2010,PL8,1,0.0032
2019,NUTS,2010,PL8,1,0.0024
2016,NUTS,2010,PL81,2,0.0011
2018,NUTS,2010,PL81,2,0.0142
2019,NUTS,2010,PL81,2,0.0012
2018,NUTS,2010,PL82,2,0.0022
2016,NUTS,2010,PL9,1,0.0126
2017,NUTS,2010,PL9,1,0.0195
2018,NUTS,2010,PL9,1,0.0164
2019,NUTS,2010,PL9,1,0.012
2019,NUTS,2010,PL91,2,0.0201
2019,NUTS,2010,PL92,2,0.0
2011,NUTS,2010,PT,0,0.1347
2012,NUTS,2010,PT,0,0.1257
2013,NUTS,2010,PT,0,0.0187
2014,NUTS,2010,PT,0,0.015
2015,NUTS,2010,PT,0,0.0153
2016,NUTS,2010,PT,0,0.0157
2017,NUTS,2010,PT,0,0.0153
2018,NUTS,2010,PT,0,0.0166
2019,NUTS,2010,PT,0,0.0172
2020,NUTS,2010,PT,0,0.0242
2011,NUTS,2010,PT1,1,0.1262
2012,NUTS,2010,PT1,1,0.1172
2013,NUTS,2010,PT1,1,0.0178
2014,NUTS,2010,PT1,1,0.0144
2015,NUTS,2010,PT1,1,0.0149
2016,NUTS,2010,PT1,1,0.0153
2017,NUTS,2010,PT1,1,0.0149
2018,NUTS,2010,PT1,1,0.0163
2019,NUTS,2010,PT1,1,0.0168
2020,NUTS,2010,PT1,1,0.0235
2011,NUTS,2010,PT11,2,0.116
2012,NUTS,2010,PT11,2,0.1156
2013,NUTS,2010,PT11,2,0.0044
2014,NUTS,2010,PT11,2,0.005
2015,NUTS,2010,PT11,2,0.0052
2016,NUTS,2010,PT11,2,0.0041
2017,NUTS,2010,PT11,2,0.0048
2018,NUTS,2010,PT11,2,0.0053
2019,NUTS,2010,PT11,2,0.0066
2020,NUTS,2010,PT11,2,0.0151
2011,NUTS,2010,PT15,2,0.0027
2012,NUTS,2010,PT15,2,0.0015
2013,NUTS,2010,PT15,2,0.0
2014,NUTS,2010,PT15,2,0.0
2015,NUTS,2010,PT15,2,0.0
2016,NUTS,2010,PT15,2,0.0
2017,NUTS,2010,PT15,2,0.0
2018,NUTS,2010,PT15,2,0.0
2019,NUTS,2010,PT15,2,0.0
2020,NUTS,2010,PT15,2,0.0094
2011,NUTS,2010,PT16,2,0.0872
2012,NUTS,2010,PT16,2,0.0768
2013,NUTS,2010,PT16,2,0.002
2014,NUTS,2010,PT16,2,0.0018
2015,NUTS,2010,PT16,2,0.0022
2016,NUTS,2010,PT16,2,0.0018
2017,NUTS,2010,PT16,2,0.0022
2018,NUTS,2010,PT16,2,0.0027
2019,NUTS,2010,PT16,2,0.0035
2020,NUTS,2010,PT16,2,0.0115
2011,NUTS,2010,PT17,2,0.2287
2012,NUTS,2010,PT17,2,0.2062
2013,NUTS,2010,PT17,2,0.0585
2014,NUTS,2010,PT17,2,0.0442
2015,NUTS,2010,PT17,2,0.0448
2016,NUTS,2010,PT17,2,0.0475
2017,NUTS,2010,PT17,2,0.0447
2018,NUTS,2010,PT17,2,0.0482
2019,NUTS,2010,PT17,2,0.0475
2020,NUTS,2010,PT17,2,0.0508
2011,NUTS,2010,PT18,2,0.0
2012,NUTS,2010,PT18,2,0.0009
2013,NUTS,2010,PT18,2,0.0
2014,NUTS,2010,PT18,2,0.0
2015,NUTS,2010,PT18,2,0.0
2016,NUTS,2010,PT18,2,0.0005
2017,NUTS,2010,PT18,2,0.0006
2018,NUTS,2010,PT18,2,0.0008
2019,NUTS,2010,PT18,2,0.0009
2020,NUTS,2010,PT18,2,0.0064
2011,NUTS,2010,PT2,1,0.0532
2012,NUTS,2010,PT2,1,0.0559
2013,NUTS,2010,PT2,1,0.0
2014,NUTS,2010,PT2,1,0.0
2015,NUTS,2010,PT2,1,0.0
2016,NUTS,2010,PT2,1,0.0
2017,NUTS,2010,PT2,1,0.0036
2018,NUTS,2010,PT2,1,0.0028
2019,NUTS,2010,PT2,1,0.0042
2020,NUTS,2010,PT2,1,0.0172
2011,NUTS,2010,PT20,2,0.0532
2012,NUTS,2010,PT20,2,0.0559
2013,NUTS,2010,PT20,2,0.0
2014,NUTS,2010,PT20,2,0.0
2015,NUTS,2010,PT20,2,0.0
2016,NUTS,2010,PT20,2,0.0
2017,NUTS,2010,PT20,2,0.0036
2018,NUTS,2010,PT20,2,0.0028
2019,NUTS,2010,PT20,2,0.0042
2020,NUTS,2010,PT20,2,0.0172
2011,NUTS,2010,PT3,1,0.0489
2012,NUTS,2010,PT3,1,0.0288
2013,NUTS,2010,PT3,1,0.0022
2014,NUTS,2010,PT3,1,0.0048
2015,NUTS,2010,PT3,1,0.0031
2016,NUTS,2010,PT3,1,0.0038
2017,NUTS,2010,PT3,1,0.0056
2018,NUTS,2010,PT3,1,0.0018
2019,NUTS,2010,PT3,1,0.0
2020,NUTS,2010,PT3,1,0.001
2011,NUTS,2010,PT30,2,0.0489
2012,NUTS,2010,PT30,2,0.0288
2013,NUTS,2010,PT30,2,0.0022
2014,NUTS,2010,PT30,2,0.0048
2015,NUTS,2010,PT30,2,0.0031
2016,NUTS,2010,PT30,2,0.0038
2017,NUTS,2010,PT30,2,0.0056
2018,NUTS,2010,PT30,2,0.0018
2019,NUTS,2010,PT30,2,0.0
2020,NUTS,2010,PT30,2,0.001
2011,NUTS,2010,RO,0,0.0027
2012,NUTS,2010,RO,0,0.0022
2013,NUTS,2010,RO,0,0.0019
2014,NUTS,2010,RO,0,0.0017
2015,NUTS,2010,RO,0,0.0016
2016,NUTS,2010,RO,0,0.0021
2017,NUTS,2010,RO,0,0.0019
2018,NUTS,2010,RO,0,0.0022
2019,NUTS,2010,RO,0,0.0028
2020,NUTS,2010,RO,0,0.003
2011,NUTS,2010,RO1,1,0.0005
2012,NUTS,2010,RO1,1,0.0017
2013,NUTS,2010,RO1,1,0.0007
2014,NUTS,2010,RO1,1,0.0009
2015,NUTS,2010,RO1,1,0.0004
2016,NUTS,2010,RO1,1,0.0007
2017,NUTS,2010,RO1,1,0.0011
2018,NUTS,2010,RO1,1,0.0016
2019,NUTS,2010,RO1,1,0.0022
2011,NUTS,2010,RO11,2,0.0009
2012,NUTS,2010,RO11,2,0.0029
2013,NUTS,2010,RO11,2,0.0013
2014,NUTS,2010,RO11,2,0.0012
2015,NUTS,2010,RO11,2,0.0006
2016,NUTS,2010,RO11,2,0.0012
2017,NUTS,2010,RO11,2,0.0019
2018,NUTS,2010,RO11,2,0.0029
2019,NUTS,2010,RO11,2,0.0038
2014,NUTS,2010,RO12,2,0.0005
2015,NUTS,2010,RO12,2,0.0002
2016,NUTS,2010,RO12,2,0.0
2017,NUTS,2010,RO12,2,0.0
2018,NUTS,2010,RO12,2,0.0
2019,NUTS,2010,RO12,2,0.0
2011,NUTS,2010,RO2,1,0.0046
2012,NUTS,2010,RO2,1,0.0001
2014,NUTS,2010,RO2,1,0.0002
2015,NUTS,2010,RO2,1,0.0002
2016,NUTS,2010,RO2,1,0.0002
2017,NUTS,2010,RO2,1,0.0006
2018,NUTS,2010,RO2,1,0.0017
2019,NUTS,2010,RO2,1,0.0033
2011,NUTS,2010,RO21,2,0.0075
2012,NUTS,2010,RO21,2,0.0001
2015,NUTS,2010,RO21,2,0.0
2016,NUTS,2010,RO21,2,0.0
2017,NUTS,2010,RO21,2,0.0001
2018,NUTS,2010,RO21,2,0.0024
2019,NUTS,2010,RO21,2,0.005
2011,NUTS,2010,RO22,2,0.0001
2012,NUTS,2010,RO22,2,0.0001
2014,NUTS,2010,RO22,2,0.0006
2015,NUTS,2010,RO22,2,0.0005
2016,NUTS,2010,RO22,2,0.0005
2017,NUTS,2010,RO22,2,0.0016
2018,NUTS,2010,RO22,2,0.0006
2019,NUTS,2010,RO22,2,0.0005
2011,NUTS,2010,RO3,1,0.0012
2012,NUTS,2010,RO3,1,0.005
2013,NUTS,2010,RO3,1,0.0048
2014,NUTS,2010,RO3,1,0.0037
2015,NUTS,2010,RO3,1,0.0041
2016,NUTS,2010,RO3,1,0.0058
2017,NUTS,2010,RO3,1,0.0044
2018,NUTS,2010,RO3,1,0.0038
2019,NUTS,2010,RO3,1,0.0036
2015,NUTS,2010,RO31,2,0.0
2016,NUTS,2010,RO31,2,0.0
2017,NUTS,2010,RO31,2,0.0
2018,NUTS,2010,RO31,2,0.0002
2019,NUTS,2010,RO31,2,0.0002
2011,NUTS,2010,RO32,2,0.0025
2012,NUTS,2010,RO32,2,0.011
2013,NUTS,2010,RO32,2,0.0108
2014,NUTS,2010,RO32,2,0.0083
2015,NUTS,2010,RO32,2,0.0089
2016,NUTS,2010,RO32,2,0.0124
2017,NUTS,2010,RO32,2,0.0094
2018,NUTS,2010,RO32,2,0.0079
2019,NUTS,2010,RO32,2,0.0074
2011,NUTS,2010,RO4,1,0.0024
2012,NUTS,2010,RO4,1,0.0002
2013,NUTS,2010,RO4,1,0.0004
2014,NUTS,2010,RO4,1,0.0006
2015,NUTS,2010,RO4,1,0.0003
2016,NUTS,2010,RO4,1,0.0001
2017,NUTS,2010,RO4,1,0.0
2018,NUTS,2010,RO4,1,0.0
2019,NUTS,2010,RO4,1,0.0
2011,NUTS,2010,RO41,2,0.0038
