year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_total_t_pc_act_hc
2011,NUTS,2010,DE73,2,0.8598
2013,NUTS,2010,DE73,2,0.9406
2015,NUTS,2010,DE73,2,0.8064
2017,NUTS,2010,DE73,2,0.8563
2019,NUTS,2010,DE73,2,0.7793
2011,NUTS,2010,DE8,1,0.3547
2013,NUTS,2010,DE8,1,0.2886
2015,NUTS,2010,DE8,1,0.2858
2017,NUTS,2010,DE8,1,0.319
2019,NUTS,2010,DE8,1,0.3538
2011,NUTS,2010,DE80,2,0.3547
2013,NUTS,2010,DE80,2,0.2886
2015,NUTS,2010,DE80,2,0.2858
2017,NUTS,2010,DE80,2,0.319
2019,NUTS,2010,DE80,2,0.3538
2011,NUTS,2010,DE9,1,0.7717
2013,NUTS,2010,DE9,1,0.7996
2015,NUTS,2010,DE9,1,0.8655
2017,NUTS,2010,DE9,1,0.8936
2019,NUTS,2010,DE9,1,0.9695
2011,NUTS,2010,DE91,2,1.9594
2013,NUTS,2010,DE91,2,2.1274
2015,NUTS,2010,DE91,2,2.3712
2017,NUTS,2010,DE91,2,2.4905
2019,NUTS,2010,DE91,2,2.6312
2011,NUTS,2010,DE92,2,0.8147
2013,NUTS,2010,DE92,2,0.7716
2015,NUTS,2010,DE92,2,0.8269
2017,NUTS,2010,DE92,2,0.7603
2019,NUTS,2010,DE92,2,0.8211
2011,NUTS,2010,DE93,2,0.3252
2013,NUTS,2010,DE93,2,0.336
2015,NUTS,2010,DE93,2,0.3158
2017,NUTS,2010,DE93,2,0.3502
2019,NUTS,2010,DE93,2,0.3759
2011,NUTS,2010,DE94,2,0.2758
2013,NUTS,2010,DE94,2,0.3099
2015,NUTS,2010,DE94,2,0.3349
2017,NUTS,2010,DE94,2,0.3992
2019,NUTS,2010,DE94,2,0.4788
2011,NUTS,2010,DEA,1,0.7381
2013,NUTS,2010,DEA,1,0.7042
2015,NUTS,2010,DEA,1,0.7447
2017,NUTS,2010,DEA,1,0.7747
2019,NUTS,2010,DEA,1,0.8036
2011,NUTS,2010,DEA1,2,0.7737
2013,NUTS,2010,DEA1,2,0.6707
2015,NUTS,2010,DEA1,2,0.7497
2017,NUTS,2010,DEA1,2,0.7757
2019,NUTS,2010,DEA1,2,0.8053
2011,NUTS,2010,DEA2,2,0.9139
2013,NUTS,2010,DEA2,2,0.7943
2015,NUTS,2010,DEA2,2,0.8765
2017,NUTS,2010,DEA2,2,0.9216
2019,NUTS,2010,DEA2,2,0.9408
2011,NUTS,2010,DEA3,2,0.3156
2013,NUTS,2010,DEA3,2,0.3424
2015,NUTS,2010,DEA3,2,0.3431
2017,NUTS,2010,DEA3,2,0.3523
2019,NUTS,2010,DEA3,2,0.411
2011,NUTS,2010,DEA4,2,0.9931
2013,NUTS,2010,DEA4,2,1.0493
2015,NUTS,2010,DEA4,2,1.0408
2017,NUTS,2010,DEA4,2,1.1055
2019,NUTS,2010,DEA4,2,1.1429
2011,NUTS,2010,DEA5,2,0.6321
2013,NUTS,2010,DEA5,2,0.7045
2015,NUTS,2010,DEA5,2,0.6965
2017,NUTS,2010,DEA5,2,0.7027
2019,NUTS,2010,DEA5,2,0.727
2011,NUTS,2010,DEB,1,0.7299
2013,NUTS,2010,DEB,1,0.7567
2015,NUTS,2010,DEB,1,0.8534
2017,NUTS,2010,DEB,1,0.8137
2019,NUTS,2010,DEB,1,0.9509
2011,NUTS,2010,DEB1,2,0.3725
2013,NUTS,2010,DEB1,2,0.3843
2015,NUTS,2010,DEB1,2,0.3611
2017,NUTS,2010,DEB1,2,0.3999
2019,NUTS,2010,DEB1,2,0.5282
2011,NUTS,2010,DEB2,2,0.3309
2013,NUTS,2010,DEB2,2,0.3006
2015,NUTS,2010,DEB2,2,0.2774
2017,NUTS,2010,DEB2,2,0.2652
2019,NUTS,2010,DEB2,2,0.2734
2011,NUTS,2010,DEB3,2,1.101
2013,NUTS,2010,DEB3,2,1.1482
2015,NUTS,2010,DEB3,2,1.3734
2017,NUTS,2010,DEB3,2,1.2658
2019,NUTS,2010,DEB3,2,1.4439
2011,NUTS,2010,DEC,1,0.426
2013,NUTS,2010,DEC,1,0.4369
2015,NUTS,2010,DEC,1,0.4693
2017,NUTS,2010,DEC,1,0.6259
2019,NUTS,2010,DEC,1,0.6745
2011,NUTS,2010,DEC0,2,0.426
2013,NUTS,2010,DEC0,2,0.4369
2015,NUTS,2010,DEC0,2,0.4693
2017,NUTS,2010,DEC0,2,0.6259
2019,NUTS,2010,DEC0,2,0.6745
2011,NUTS,2010,DED,1,0.7287
2013,NUTS,2010,DED,1,0.6868
2015,NUTS,2010,DED,1,0.7487
2017,NUTS,2010,DED,1,0.8148
2019,NUTS,2010,DED,1,0.8725
2011,NUTS,2010,DED2,2,1.0009
2013,NUTS,2010,DED2,2,0.9278
2015,NUTS,2010,DED2,2,1.0235
2017,NUTS,2010,DED2,2,1.131
2019,NUTS,2010,DED2,2,1.1731
2011,NUTS,2010,DED4,2,0.7133
2013,NUTS,2010,DED4,2,0.7251
2015,NUTS,2010,DED4,2,0.7685
2017,NUTS,2010,DED4,2,0.8154
2019,NUTS,2010,DED4,2,0.9378
2011,NUTS,2010,DED5,2,0.3198
2013,NUTS,2010,DED5,2,0.2628
2015,NUTS,2010,DED5,2,0.2981
2017,NUTS,2010,DED5,2,0.333
2019,NUTS,2010,DED5,2,0.3411
2011,NUTS,2010,DEE,1,0.3117
2013,NUTS,2010,DEE,1,0.3281
2015,NUTS,2010,DEE,1,0.2766
2017,NUTS,2010,DEE,1,0.299
2019,NUTS,2010,DEE,1,0.3345
2011,NUTS,2010,DEE0,2,0.3117
2013,NUTS,2010,DEE0,2,0.3281
2015,NUTS,2010,DEE0,2,0.2766
2017,NUTS,2010,DEE0,2,0.299
2019,NUTS,2010,DEE0,2,0.3345
2011,NUTS,2010,DEF,1,0.3889
2013,NUTS,2010,DEF,1,0.4243
2015,NUTS,2010,DEF,1,0.4361
2017,NUTS,2010,DEF,1,0.4663
2019,NUTS,2010,DEF,1,0.481
2011,NUTS,2010,DEF0,2,0.3889
2013,NUTS,2010,DEF0,2,0.4243
2015,NUTS,2010,DEF0,2,0.4361
2017,NUTS,2010,DEF0,2,0.4663
2019,NUTS,2010,DEF0,2,0.481
2011,NUTS,2010,DEG,1,0.589
2013,NUTS,2010,DEG,1,0.5883
2015,NUTS,2010,DEG,1,0.6066
2017,NUTS,2010,DEG,1,0.6906
2019,NUTS,2010,DEG,1,0.7782
2011,NUTS,2010,DEG0,2,0.589
2013,NUTS,2010,DEG0,2,0.5883
2015,NUTS,2010,DEG0,2,0.6066
2017,NUTS,2010,DEG0,2,0.6906
2019,NUTS,2010,DEG0,2,0.7782
2011,NUTS,2010,DK,0,1.6719
2012,NUTS,2010,DK,0,1.6379
2013,NUTS,2010,DK,0,1.6053
2014,NUTS,2010,DK,0,1.6202
2015,NUTS,2010,DK,0,1.6461
2016,NUTS,2010,DK,0,1.7175
2017,NUTS,2010,DK,0,1.5704
2018,NUTS,2010,DK,0,1.4866
2019,NUTS,2010,DK,0,1.5875
2020,NUTS,2010,DK,0,1.579
2011,NUTS,2010,DK0,1,1.5951
2012,NUTS,2010,DK0,1,1.5919
2013,NUTS,2010,DK0,1,1.5625
2014,NUTS,2010,DK0,1,1.572
2015,NUTS,2010,DK0,1,1.5963
2016,NUTS,2010,DK0,1,1.6624
2017,NUTS,2010,DK0,1,1.522
2018,NUTS,2010,DK0,1,1.44
2019,NUTS,2010,DK0,1,1.5352
2011,NUTS,2010,DK01,2,3.077
2012,NUTS,2010,DK01,2,3.0386
2013,NUTS,2010,DK01,2,2.9291
2014,NUTS,2010,DK01,2,2.8701
2015,NUTS,2010,DK01,2,2.9272
2016,NUTS,2010,DK01,2,2.9185
2017,NUTS,2010,DK01,2,2.7435
2019,NUTS,2010,DK01,2,2.8473
2011,NUTS,2010,DK02,2,0.4922
2012,NUTS,2010,DK02,2,0.501
2013,NUTS,2010,DK02,2,0.455
2014,NUTS,2010,DK02,2,0.424
2015,NUTS,2010,DK02,2,0.4076
2016,NUTS,2010,DK02,2,0.4436
2017,NUTS,2010,DK02,2,0.5797
2019,NUTS,2010,DK02,2,0.4644
2011,NUTS,2010,DK03,2,0.9674
2012,NUTS,2010,DK03,2,1.0038
2013,NUTS,2010,DK03,2,1.031
2014,NUTS,2010,DK03,2,1.0893
2015,NUTS,2010,DK03,2,1.07
2016,NUTS,2010,DK03,2,1.247
2017,NUTS,2010,DK03,2,0.9365
2019,NUTS,2010,DK03,2,0.8973
2011,NUTS,2010,DK04,2,1.2239
2012,NUTS,2010,DK04,2,1.2214
2013,NUTS,2010,DK04,2,1.2296
2014,NUTS,2010,DK04,2,1.3003
2015,NUTS,2010,DK04,2,1.3026
2016,NUTS,2010,DK04,2,1.2838
2017,NUTS,2010,DK04,2,1.1718
2019,NUTS,2010,DK04,2,1.266
2011,NUTS,2010,DK05,2,0.5279
2012,NUTS,2010,DK05,2,0.4927
2013,NUTS,2010,DK05,2,0.4914
2014,NUTS,2010,DK05,2,0.491
2015,NUTS,2010,DK05,2,0.5305
2016,NUTS,2010,DK05,2,0.7896
