year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_total_f_pc_emp_hc
2014,NUTS,2010,EA19,2,0.8065
2015,NUTS,2010,EA19,2,0.8181
2016,NUTS,2010,EA19,2,0.8057
2017,NUTS,2010,EA19,2,0.816
2018,NUTS,2010,EA19,2,0.8275
2019,NUTS,2010,EA19,2,0.8377
2011,NUTS,2010,EE,0,1.0086
2012,NUTS,2010,EE,0,1.043
2013,NUTS,2010,EE,0,1.0809
2014,NUTS,2010,EE,0,1.1179
2015,NUTS,2010,EE,0,1.0433
2016,NUTS,2010,EE,0,0.9749
2017,NUTS,2010,EE,0,0.9438
2018,NUTS,2010,EE,0,0.9588
2019,NUTS,2010,EE,0,0.9557
2011,NUTS,2010,EL,0,1.2738
2013,NUTS,2010,EL,0,1.8855
2015,NUTS,2010,EL,0,1.6903
2017,NUTS,2010,EL,0,1.3761
2019,NUTS,2010,EL,0,1.5571
2011,NUTS,2010,EL3,1,1.1042
2011,NUTS,2010,EL30,2,1.1042
2011,NUTS,2010,EL4,1,1.5607
2011,NUTS,2010,EL41,2,2.6957
2011,NUTS,2010,EL42,2,0.8019
2011,NUTS,2010,EL43,2,1.6606
2011,NUTS,2010,EL5,1,1.4454
2011,NUTS,2010,EL51,2,1.7383
2011,NUTS,2010,EL52,2,1.2342
2011,NUTS,2010,EL53,2,0.9945
2011,NUTS,2010,EL54,2,2.4268
2011,NUTS,2010,EL6,1,1.1077
2011,NUTS,2010,EL61,2,2.3359
2011,NUTS,2010,EL62,2,0.5935
2011,NUTS,2010,EL63,2,1.4786
2011,NUTS,2010,EL64,2,0.137
2011,NUTS,2010,EL65,2,0.296
2011,NUTS,2010,ES,0,0.8915
2012,NUTS,2010,ES,0,0.8754
2013,NUTS,2010,ES,0,0.863
2014,NUTS,2010,ES,0,0.8616
2015,NUTS,2010,ES,0,0.8551
2016,NUTS,2010,ES,0,0.8327
2017,NUTS,2010,ES,0,0.8402
2018,NUTS,2010,ES,0,0.8402
2019,NUTS,2010,ES,0,0.8464
2011,NUTS,2010,ES1,1,0.8164
2013,NUTS,2010,ES1,1,0.9043
2015,NUTS,2010,ES1,1,0.8545
2016,NUTS,2010,ES1,1,0.8118
2017,NUTS,2010,ES1,1,0.8187
2018,NUTS,2010,ES1,1,0.7911
2011,NUTS,2010,ES11,2,0.823
2012,NUTS,2010,ES11,2,0.8989
2014,NUTS,2010,ES11,2,0.893
2015,NUTS,2010,ES11,2,0.8906
2016,NUTS,2010,ES11,2,0.8674
2017,NUTS,2010,ES11,2,0.8668
2018,NUTS,2010,ES11,2,0.86
2019,NUTS,2010,ES11,2,0.887
2011,NUTS,2010,ES12,2,0.7927
2012,NUTS,2010,ES12,2,0.772
2013,NUTS,2010,ES12,2,0.8904
2014,NUTS,2010,ES12,2,0.7477
2015,NUTS,2010,ES12,2,0.7739
2016,NUTS,2010,ES12,2,0.6889
2017,NUTS,2010,ES12,2,0.7309
2018,NUTS,2010,ES12,2,0.6091
2019,NUTS,2010,ES12,2,0.7261
2011,NUTS,2010,ES13,2,0.8275
2015,NUTS,2010,ES13,2,0.8308
2016,NUTS,2010,ES13,2,0.774
2017,NUTS,2010,ES13,2,0.7527
2018,NUTS,2010,ES13,2,0.7783
2011,NUTS,2010,ES2,1,0.8011
