year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_pc_act_fte_total_t
2013,NUTS,2010,CZ04,2,0.1577
2014,NUTS,2010,CZ04,2,0.1739
2015,NUTS,2010,CZ04,2,0.1735
2016,NUTS,2010,CZ04,2,0.1555
2017,NUTS,2010,CZ04,2,0.181
2018,NUTS,2010,CZ04,2,0.1797
2019,NUTS,2010,CZ04,2,0.1923
2020,NUTS,2010,CZ04,2,0.1911
2011,NUTS,2010,CZ05,2,0.6185
2012,NUTS,2010,CZ05,2,0.65
2013,NUTS,2010,CZ05,2,0.6847
2014,NUTS,2010,CZ05,2,0.6702
2015,NUTS,2010,CZ05,2,0.6583
2016,NUTS,2010,CZ05,2,0.6655
2017,NUTS,2010,CZ05,2,0.7199
2018,NUTS,2010,CZ05,2,0.7446
2019,NUTS,2010,CZ05,2,0.7705
2020,NUTS,2010,CZ05,2,0.7365
2011,NUTS,2010,CZ06,2,0.6245
2012,NUTS,2010,CZ06,2,0.6874
2013,NUTS,2010,CZ06,2,0.7332
2014,NUTS,2010,CZ06,2,0.9033
2015,NUTS,2010,CZ06,2,0.9731
2016,NUTS,2010,CZ06,2,0.9809
2017,NUTS,2010,CZ06,2,0.9753
2018,NUTS,2010,CZ06,2,0.9883
2019,NUTS,2010,CZ06,2,1.0575
2020,NUTS,2010,CZ06,2,1.1903
2011,NUTS,2010,CZ07,2,0.4798
2012,NUTS,2010,CZ07,2,0.493
2013,NUTS,2010,CZ07,2,0.5269
2014,NUTS,2010,CZ07,2,0.5359
2015,NUTS,2010,CZ07,2,0.5448
2016,NUTS,2010,CZ07,2,0.5883
2017,NUTS,2010,CZ07,2,0.6509
2018,NUTS,2010,CZ07,2,0.6757
2019,NUTS,2010,CZ07,2,0.7358
2020,NUTS,2010,CZ07,2,0.7337
2011,NUTS,2010,CZ08,2,0.3793
2012,NUTS,2010,CZ08,2,0.3909
2013,NUTS,2010,CZ08,2,0.4032
2014,NUTS,2010,CZ08,2,0.4763
2015,NUTS,2010,CZ08,2,0.4734
2016,NUTS,2010,CZ08,2,0.469
2017,NUTS,2010,CZ08,2,0.5183
2018,NUTS,2010,CZ08,2,0.5339
2019,NUTS,2010,CZ08,2,0.4894
2020,NUTS,2010,CZ08,2,0.5065
2011,NUTS,2010,DE,0,0.8981
2012,NUTS,2010,DE,0,0.9216
2013,NUTS,2010,DE,0,0.8976
2014,NUTS,2010,DE,0,0.9217
2015,NUTS,2010,DE,0,1.0004
2016,NUTS,2010,DE,0,1.0006
2017,NUTS,2010,DE,0,1.0533
2018,NUTS,2010,DE,0,1.088
2019,NUTS,2010,DE,0,1.1383
2020,NUTS,2010,DE,0,1.1332
2011,NUTS,2010,DE1,1,1.7717
2013,NUTS,2010,DE1,1,1.7918
2015,NUTS,2010,DE1,1,1.9581
2017,NUTS,2010,DE1,1,2.1874
2019,NUTS,2010,DE1,1,2.3094
2011,NUTS,2010,DE11,2,2.6432
2013,NUTS,2010,DE11,2,2.7377
2015,NUTS,2010,DE11,2,2.9926
2017,NUTS,2010,DE11,2,3.4364
2019,NUTS,2010,DE11,2,3.5308
2011,NUTS,2010,DE12,2,1.3464
2013,NUTS,2010,DE12,2,1.2762
2015,NUTS,2010,DE12,2,1.4505
2017,NUTS,2010,DE12,2,1.6873
2019,NUTS,2010,DE12,2,1.7817
2011,NUTS,2010,DE13,2,0.8269
2013,NUTS,2010,DE13,2,0.7934
2015,NUTS,2010,DE13,2,0.8438
2017,NUTS,2010,DE13,2,0.89
2019,NUTS,2010,DE13,2,0.9981
2011,NUTS,2010,DE14,2,1.67
2013,NUTS,2010,DE14,2,1.7144
2015,NUTS,2010,DE14,2,1.7518
2017,NUTS,2010,DE14,2,1.7112
2019,NUTS,2010,DE14,2,1.9307
2011,NUTS,2010,DE2,1,1.1985
2013,NUTS,2010,DE2,1,1.1739
2015,NUTS,2010,DE2,1,1.3156
2017,NUTS,2010,DE2,1,1.3183
2019,NUTS,2010,DE2,1,1.4945
2011,NUTS,2010,DE21,2,2.005
2013,NUTS,2010,DE21,2,1.9196
2015,NUTS,2010,DE21,2,2.1328
2017,NUTS,2010,DE21,2,2.027
2019,NUTS,2010,DE21,2,2.2855
2011,NUTS,2010,DE22,2,0.4288
2013,NUTS,2010,DE22,2,0.4365
2015,NUTS,2010,DE22,2,0.5033
2017,NUTS,2010,DE22,2,0.5391
2019,NUTS,2010,DE22,2,0.6814
2011,NUTS,2010,DE23,2,0.7312
2013,NUTS,2010,DE23,2,0.6115
2015,NUTS,2010,DE23,2,0.7232
2017,NUTS,2010,DE23,2,0.9218
2019,NUTS,2010,DE23,2,1.1019
2011,NUTS,2010,DE24,2,0.5882
2013,NUTS,2010,DE24,2,0.5822
2015,NUTS,2010,DE24,2,0.6323
2017,NUTS,2010,DE24,2,0.6852
2019,NUTS,2010,DE24,2,1.0185
2011,NUTS,2010,DE25,2,1.2245
2013,NUTS,2010,DE25,2,1.2213
2015,NUTS,2010,DE25,2,1.2591
2017,NUTS,2010,DE25,2,1.1731
2019,NUTS,2010,DE25,2,1.371
2011,NUTS,2010,DE26,2,0.8393
2013,NUTS,2010,DE26,2,0.8708
2015,NUTS,2010,DE26,2,0.9091
2017,NUTS,2010,DE26,2,1.2177
2019,NUTS,2010,DE26,2,1.237
2011,NUTS,2010,DE27,2,0.5891
2013,NUTS,2010,DE27,2,0.6389
2015,NUTS,2010,DE27,2,0.8601
2017,NUTS,2010,DE27,2,0.8109
2019,NUTS,2010,DE27,2,0.8019
2011,NUTS,2010,DE3,1,0.656
2013,NUTS,2010,DE3,1,0.6375
2015,NUTS,2010,DE3,1,0.7291
2017,NUTS,2010,DE3,1,0.688
2019,NUTS,2010,DE3,1,0.7224
2011,NUTS,2010,DE30,2,0.656
2013,NUTS,2010,DE30,2,0.6375
2015,NUTS,2010,DE30,2,0.7291
2017,NUTS,2010,DE30,2,0.688
2019,NUTS,2010,DE30,2,0.7224
2011,NUTS,2010,DE4,1,0.2447
2013,NUTS,2010,DE4,1,0.2388
2015,NUTS,2010,DE4,1,0.2876
2017,NUTS,2010,DE4,1,0.3372
2019,NUTS,2010,DE4,1,0.3637
2011,NUTS,2010,DE40,2,0.2447
2013,NUTS,2010,DE40,2,0.2388
2015,NUTS,2010,DE40,2,0.2876
2017,NUTS,2010,DE40,2,0.3372
2019,NUTS,2010,DE40,2,0.3637
2011,NUTS,2010,DE5,1,0.6468
2013,NUTS,2010,DE5,1,0.6866
2015,NUTS,2010,DE5,1,0.7818
2017,NUTS,2010,DE5,1,0.7462
2019,NUTS,2010,DE5,1,0.8476
2011,NUTS,2010,DE50,2,0.6468
2013,NUTS,2010,DE50,2,0.6866
2015,NUTS,2010,DE50,2,0.7818
2017,NUTS,2010,DE50,2,0.7462
2019,NUTS,2010,DE50,2,0.8476
2011,NUTS,2010,DE6,1,0.7895
2013,NUTS,2010,DE6,1,0.7971
2015,NUTS,2010,DE6,1,0.8724
2017,NUTS,2010,DE6,1,0.9845
2019,NUTS,2010,DE6,1,0.991
2011,NUTS,2010,DE60,2,0.7895
2013,NUTS,2010,DE60,2,0.7971
2015,NUTS,2010,DE60,2,0.8724
2017,NUTS,2010,DE60,2,0.9845
2019,NUTS,2010,DE60,2,0.991
2011,NUTS,2010,DE7,1,1.1565
2013,NUTS,2010,DE7,1,1.0801
2015,NUTS,2010,DE7,1,1.2251
2017,NUTS,2010,DE7,1,1.2321
2019,NUTS,2010,DE7,1,1.2582
2011,NUTS,2010,DE71,2,1.4479
2013,NUTS,2010,DE71,2,1.2768
2015,NUTS,2010,DE71,2,1.5408
2017,NUTS,2010,DE71,2,1.5128
2019,NUTS,2010,DE71,2,1.5572
2011,NUTS,2010,DE72,2,0.5882
2013,NUTS,2010,DE72,2,0.6621
2015,NUTS,2010,DE72,2,0.6724
2017,NUTS,2010,DE72,2,0.7223
2019,NUTS,2010,DE72,2,0.7388
2011,NUTS,2010,DE73,2,0.7162
2013,NUTS,2010,DE73,2,0.8011
2015,NUTS,2010,DE73,2,0.6675
2017,NUTS,2010,DE73,2,0.7264
2019,NUTS,2010,DE73,2,0.6865
2011,NUTS,2010,DE8,1,0.2583
2013,NUTS,2010,DE8,1,0.1813
2015,NUTS,2010,DE8,1,0.2078
2017,NUTS,2010,DE8,1,0.2268
2019,NUTS,2010,DE8,1,0.2531
2011,NUTS,2010,DE80,2,0.2583
2013,NUTS,2010,DE80,2,0.1813
2015,NUTS,2010,DE80,2,0.2078
2017,NUTS,2010,DE80,2,0.2268
2019,NUTS,2010,DE80,2,0.2531
2011,NUTS,2010,DE9,1,0.7006
2013,NUTS,2010,DE9,1,0.7264
2015,NUTS,2010,DE9,1,0.8051
2017,NUTS,2010,DE9,1,0.8108
2019,NUTS,2010,DE9,1,0.8773
2011,NUTS,2010,DE91,2,1.864
2013,NUTS,2010,DE91,2,2.0138
2015,NUTS,2010,DE91,2,2.2703
2017,NUTS,2010,DE91,2,2.374
2019,NUTS,2010,DE91,2,2.5117
2011,NUTS,2010,DE92,2,0.7195
2013,NUTS,2010,DE92,2,0.699
2015,NUTS,2010,DE92,2,0.7621
2017,NUTS,2010,DE92,2,0.6841
2019,NUTS,2010,DE92,2,0.7286
2011,NUTS,2010,DE93,2,0.2734
2013,NUTS,2010,DE93,2,0.286
2015,NUTS,2010,DE93,2,0.2737
2017,NUTS,2010,DE93,2,0.3078
2019,NUTS,2010,DE93,2,0.3364
2011,NUTS,2010,DE94,2,0.2276
2013,NUTS,2010,DE94,2,0.246
2015,NUTS,2010,DE94,2,0.291
2017,NUTS,2010,DE94,2,0.3044
2019,NUTS,2010,DE94,2,0.3685
2011,NUTS,2010,DEA,1,0.621
2013,NUTS,2010,DEA,1,0.5977
2015,NUTS,2010,DEA,1,0.6442
2017,NUTS,2010,DEA,1,0.6614
2019,NUTS,2010,DEA,1,0.6958
2011,NUTS,2010,DEA1,2,0.6637
2013,NUTS,2010,DEA1,2,0.5845
2015,NUTS,2010,DEA1,2,0.661
2017,NUTS,2010,DEA1,2,0.6741
2019,NUTS,2010,DEA1,2,0.7074
2011,NUTS,2010,DEA2,2,0.7576
2013,NUTS,2010,DEA2,2,0.6527
2015,NUTS,2010,DEA2,2,0.743
2017,NUTS,2010,DEA2,2,0.772
2019,NUTS,2010,DEA2,2,0.8116
2011,NUTS,2010,DEA3,2,0.2609
2013,NUTS,2010,DEA3,2,0.2857
2015,NUTS,2010,DEA3,2,0.2944
2017,NUTS,2010,DEA3,2,0.2985
2019,NUTS,2010,DEA3,2,0.3427
2011,NUTS,2010,DEA4,2,0.8584
2013,NUTS,2010,DEA4,2,0.9205
2015,NUTS,2010,DEA4,2,0.9203
2017,NUTS,2010,DEA4,2,0.9489
2019,NUTS,2010,DEA4,2,0.9875
2011,NUTS,2010,DEA5,2,0.5175
2013,NUTS,2010,DEA5,2,0.5884
2015,NUTS,2010,DEA5,2,0.5934
2017,NUTS,2010,DEA5,2,0.5997
2019,NUTS,2010,DEA5,2,0.6301
2011,NUTS,2010,DEB,1,0.6105
2013,NUTS,2010,DEB,1,0.6443
2015,NUTS,2010,DEB,1,0.7384
2017,NUTS,2010,DEB,1,0.7029
2019,NUTS,2010,DEB,1,0.7947
2011,NUTS,2010,DEB1,2,0.2649
2013,NUTS,2010,DEB1,2,0.2809
2015,NUTS,2010,DEB1,2,0.2646
2017,NUTS,2010,DEB1,2,0.3035
2019,NUTS,2010,DEB1,2,0.3756
2011,NUTS,2010,DEB2,2,0.2897
2013,NUTS,2010,DEB2,2,0.2647
2015,NUTS,2010,DEB2,2,0.2568
2017,NUTS,2010,DEB2,2,0.2441
2019,NUTS,2010,DEB2,2,0.2431
2011,NUTS,2010,DEB3,2,0.952
2013,NUTS,2010,DEB3,2,1.009
2015,NUTS,2010,DEB3,2,1.2189
2017,NUTS,2010,DEB3,2,1.1201
2019,NUTS,2010,DEB3,2,1.2507
2011,NUTS,2010,DEC,1,0.3429
2013,NUTS,2010,DEC,1,0.3608
2015,NUTS,2010,DEC,1,0.4007
2017,NUTS,2010,DEC,1,0.5187
2019,NUTS,2010,DEC,1,0.5527
2011,NUTS,2010,DEC0,2,0.3429
2013,NUTS,2010,DEC0,2,0.3608
2015,NUTS,2010,DEC0,2,0.4007
2017,NUTS,2010,DEC0,2,0.5187
2019,NUTS,2010,DEC0,2,0.5527
2011,NUTS,2010,DED,1,0.5419
2013,NUTS,2010,DED,1,0.5176
2015,NUTS,2010,DED,1,0.5947
2017,NUTS,2010,DED,1,0.6489
2019,NUTS,2010,DED,1,0.7075
2011,NUTS,2010,DED2,2,0.739
2013,NUTS,2010,DED2,2,0.7029
2015,NUTS,2010,DED2,2,0.8161
2017,NUTS,2010,DED2,2,0.9086
2019,NUTS,2010,DED2,2,0.9956
2011,NUTS,2010,DED4,2,0.526
2013,NUTS,2010,DED4,2,0.5367
2015,NUTS,2010,DED4,2,0.596
2017,NUTS,2010,DED4,2,0.6312
2019,NUTS,2010,DED4,2,0.7092
2011,NUTS,2010,DED5,2,0.2524
2013,NUTS,2010,DED5,2,0.2061
2015,NUTS,2010,DED5,2,0.2515
2017,NUTS,2010,DED5,2,0.278
2019,NUTS,2010,DED5,2,0.277
2011,NUTS,2010,DEE,1,0.2217
2013,NUTS,2010,DEE,1,0.2316
2015,NUTS,2010,DEE,1,0.2103
2017,NUTS,2010,DEE,1,0.2309
2019,NUTS,2010,DEE,1,0.2553
2011,NUTS,2010,DEE0,2,0.2217
2013,NUTS,2010,DEE0,2,0.2316
2015,NUTS,2010,DEE0,2,0.2103
2017,NUTS,2010,DEE0,2,0.2309
2019,NUTS,2010,DEE0,2,0.2553
2011,NUTS,2010,DEF,1,0.3362
2013,NUTS,2010,DEF,1,0.3704
2015,NUTS,2010,DEF,1,0.3776
2017,NUTS,2010,DEF,1,0.4021
2019,NUTS,2010,DEF,1,0.4142
2011,NUTS,2010,DEF0,2,0.3362
2013,NUTS,2010,DEF0,2,0.3704
2015,NUTS,2010,DEF0,2,0.3776
2017,NUTS,2010,DEF0,2,0.4021
2019,NUTS,2010,DEF0,2,0.4142
2011,NUTS,2010,DEG,1,0.456
2013,NUTS,2010,DEG,1,0.4593
2015,NUTS,2010,DEG,1,0.4902
2017,NUTS,2010,DEG,1,0.571
2019,NUTS,2010,DEG,1,0.623
2011,NUTS,2010,DEG0,2,0.456
2013,NUTS,2010,DEG0,2,0.4593
2015,NUTS,2010,DEG0,2,0.4902
2017,NUTS,2010,DEG0,2,0.571
2019,NUTS,2010,DEG0,2,0.623
2011,NUTS,2010,DK,0,1.3122
2012,NUTS,2010,DK,0,1.2876
2013,NUTS,2010,DK,0,1.2644
2014,NUTS,2010,DK,0,1.2759
2015,NUTS,2010,DK,0,1.3164
2016,NUTS,2010,DK,0,1.3645
2017,NUTS,2010,DK,0,1.2556
2018,NUTS,2010,DK,0,1.2256
2019,NUTS,2010,DK,0,1.283
2020,NUTS,2010,DK,0,1.2762
2011,NUTS,2010,DK0,1,1.219
2012,NUTS,2010,DK0,1,1.2515
2013,NUTS,2010,DK0,1,1.2291
2014,NUTS,2010,DK0,1,1.2379
2015,NUTS,2010,DK0,1,1.2765
2016,NUTS,2010,DK0,1,1.3208
2017,NUTS,2010,DK0,1,1.2169
2018,NUTS,2010,DK0,1,1.1872
2019,NUTS,2010,DK0,1,1.2408
2011,NUTS,2010,DK01,2,2.4602
2012,NUTS,2010,DK01,2,2.4665
2013,NUTS,2010,DK01,2,2.3826
2014,NUTS,2010,DK01,2,2.3524
2015,NUTS,2010,DK01,2,2.4223
2016,NUTS,2010,DK01,2,2.4171
2017,NUTS,2010,DK01,2,2.3548
