year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_total_pc_act_fte_t
2017,NUTS,2010,BG3,1,0.3657
2018,NUTS,2010,BG3,1,0.4314
2019,NUTS,2010,BG3,1,0.433
2011,NUTS,2010,BG31,2,0.1668
2012,NUTS,2010,BG31,2,0.2384
2013,NUTS,2010,BG31,2,0.2371
2014,NUTS,2010,BG31,2,0.2401
2015,NUTS,2010,BG31,2,0.3722
2016,NUTS,2010,BG31,2,0.4215
2017,NUTS,2010,BG31,2,0.382
2018,NUTS,2010,BG31,2,0.4748
2019,NUTS,2010,BG31,2,0.4535
2011,NUTS,2010,BG32,2,0.2115
2012,NUTS,2010,BG32,2,0.2059
2013,NUTS,2010,BG32,2,0.235
2014,NUTS,2010,BG32,2,0.3704
2015,NUTS,2010,BG32,2,0.379
2016,NUTS,2010,BG32,2,0.3309
2017,NUTS,2010,BG32,2,0.3658
2018,NUTS,2010,BG32,2,0.4066
2019,NUTS,2010,BG32,2,0.3911
2011,NUTS,2010,BG33,2,0.3661
2012,NUTS,2010,BG33,2,0.3655
2013,NUTS,2010,BG33,2,0.3625
2014,NUTS,2010,BG33,2,0.4075
2015,NUTS,2010,BG33,2,0.4381
2016,NUTS,2010,BG33,2,0.4633
2017,NUTS,2010,BG33,2,0.4244
2018,NUTS,2010,BG33,2,0.4973
2019,NUTS,2010,BG33,2,0.5082
2011,NUTS,2010,BG34,2,0.2025
2012,NUTS,2010,BG34,2,0.1867
2013,NUTS,2010,BG34,2,0.2214
2014,NUTS,2010,BG34,2,0.2157
2015,NUTS,2010,BG34,2,0.3327
2016,NUTS,2010,BG34,2,0.3325
2017,NUTS,2010,BG34,2,0.2997
2018,NUTS,2010,BG34,2,0.3612
2019,NUTS,2010,BG34,2,0.3832
2011,NUTS,2010,BG4,1,0.7608
2012,NUTS,2010,BG4,1,0.7367
2013,NUTS,2010,BG4,1,0.7545
2014,NUTS,2010,BG4,1,0.8156
2015,NUTS,2010,BG4,1,0.9467
2016,NUTS,2010,BG4,1,1.1199
2017,NUTS,2010,BG4,1,0.9939
2018,NUTS,2010,BG4,1,1.0882
2019,NUTS,2010,BG4,1,1.0982
2011,NUTS,2010,BG41,2,1.0732
2012,NUTS,2010,BG41,2,1.0723
2013,NUTS,2010,BG41,2,1.0985
2014,NUTS,2010,BG41,2,1.2022
2015,NUTS,2010,BG41,2,1.3238
2016,NUTS,2010,BG41,2,1.5667
2017,NUTS,2010,BG41,2,1.3982
2018,NUTS,2010,BG41,2,1.4893
2019,NUTS,2010,BG41,2,1.4965
2011,NUTS,2010,BG42,2,0.2459
2012,NUTS,2010,BG42,2,0.1938
2013,NUTS,2010,BG42,2,0.2076
2014,NUTS,2010,BG42,2,0.2079
2015,NUTS,2010,BG42,2,0.3331
2016,NUTS,2010,BG42,2,0.3786
2017,NUTS,2010,BG42,2,0.3447
2018,NUTS,2010,BG42,2,0.422
2019,NUTS,2010,BG42,2,0.4404
2012,NUTS,2010,CH,0,1.7084
2015,NUTS,2010,CH,0,1.7718
2017,NUTS,2010,CH,0,1.6836
2019,NUTS,2010,CH,0,1.8105
2011,NUTS,2010,CY,0,0.3093
2012,NUTS,2010,CY,0,0.2923
2013,NUTS,2010,CY,0,0.2933
2014,NUTS,2010,CY,0,0.302
2015,NUTS,2010,CY,0,0.3016
2016,NUTS,2010,CY,0,0.3323
2017,NUTS,2010,CY,0,0.3682
2018,NUTS,2010,CY,0,0.4285
2019,NUTS,2010,CY,0,0.4876
2020,NUTS,2010,CY,0,0.5023
2011,NUTS,2010,CZ,0,1.0823
2012,NUTS,2010,CZ,0,1.1658
2013,NUTS,2010,CZ,0,1.1889
2014,NUTS,2010,CZ,0,1.2379
2015,NUTS,2010,CZ,0,1.2773
2016,NUTS,2010,CZ,0,1.2588
2017,NUTS,2010,CZ,0,1.3288
2018,NUTS,2010,CZ,0,1.4234
2019,NUTS,2010,CZ,0,1.5068
2020,NUTS,2010,CZ,0,1.5497
2011,NUTS,2010,CZ0,1,1.0663
2012,NUTS,2010,CZ0,1,1.1476
2013,NUTS,2010,CZ0,1,1.168
2014,NUTS,2010,CZ0,1,1.2164
2015,NUTS,2010,CZ0,1,1.2511
2016,NUTS,2010,CZ0,1,1.2296
2017,NUTS,2010,CZ0,1,1.2969
2018,NUTS,2010,CZ0,1,1.3844
2019,NUTS,2010,CZ0,1,1.4642
2020,NUTS,2010,CZ0,1,1.507
2011,NUTS,2010,CZ01,2,3.1858
2012,NUTS,2010,CZ01,2,3.2626
2013,NUTS,2010,CZ01,2,3.4671
2014,NUTS,2010,CZ01,2,3.4917
2015,NUTS,2010,CZ01,2,3.5081
2016,NUTS,2010,CZ01,2,3.2492
2017,NUTS,2010,CZ01,2,3.4951
2018,NUTS,2010,CZ01,2,3.7359
2019,NUTS,2010,CZ01,2,3.9303
2020,NUTS,2010,CZ01,2,4.0544
2011,NUTS,2010,CZ02,2,0.8643
2012,NUTS,2010,CZ02,2,0.8488
2013,NUTS,2010,CZ02,2,0.8625
2014,NUTS,2010,CZ02,2,0.8534
2015,NUTS,2010,CZ02,2,0.9239
2016,NUTS,2010,CZ02,2,1.0224
2017,NUTS,2010,CZ02,2,1.0599
2018,NUTS,2010,CZ02,2,1.136
2019,NUTS,2010,CZ02,2,1.1664
2020,NUTS,2010,CZ02,2,1.1884
2011,NUTS,2010,CZ03,2,0.7114
2012,NUTS,2010,CZ03,2,0.7975
2013,NUTS,2010,CZ03,2,0.7946
2014,NUTS,2010,CZ03,2,0.8773
2015,NUTS,2010,CZ03,2,0.8505
2016,NUTS,2010,CZ03,2,0.8375
2017,NUTS,2010,CZ03,2,0.8713
2018,NUTS,2010,CZ03,2,0.9247
2019,NUTS,2010,CZ03,2,1.0343
2020,NUTS,2010,CZ03,2,1.0331
2011,NUTS,2010,CZ04,2,0.1832
2012,NUTS,2010,CZ04,2,0.2098
2013,NUTS,2010,CZ04,2,0.213
2014,NUTS,2010,CZ04,2,0.2301
2015,NUTS,2010,CZ04,2,0.2318
2016,NUTS,2010,CZ04,2,0.2092
2017,NUTS,2010,CZ04,2,0.2439
2018,NUTS,2010,CZ04,2,0.2569
2019,NUTS,2010,CZ04,2,0.2586
2020,NUTS,2010,CZ04,2,0.2431
2011,NUTS,2010,CZ05,2,0.8196
2012,NUTS,2010,CZ05,2,0.8466
2013,NUTS,2010,CZ05,2,0.8759
2014,NUTS,2010,CZ05,2,0.8648
2015,NUTS,2010,CZ05,2,0.8555
2016,NUTS,2010,CZ05,2,0.8544
2017,NUTS,2010,CZ05,2,0.9183
2018,NUTS,2010,CZ05,2,0.9701
2019,NUTS,2010,CZ05,2,0.9879
2020,NUTS,2010,CZ05,2,0.9572
2011,NUTS,2010,CZ06,2,1.1613
2012,NUTS,2010,CZ06,2,1.3676
2013,NUTS,2010,CZ06,2,1.3853
2014,NUTS,2010,CZ06,2,1.5405
2015,NUTS,2010,CZ06,2,1.6575
2016,NUTS,2010,CZ06,2,1.65
2017,NUTS,2010,CZ06,2,1.648
2018,NUTS,2010,CZ06,2,1.7422
2019,NUTS,2010,CZ06,2,1.8817
2020,NUTS,2010,CZ06,2,2.0418
2011,NUTS,2010,CZ07,2,0.7103
2012,NUTS,2010,CZ07,2,0.7561
2013,NUTS,2010,CZ07,2,0.8199
2014,NUTS,2010,CZ07,2,0.8508
2015,NUTS,2010,CZ07,2,0.914
2016,NUTS,2010,CZ07,2,0.9528
2017,NUTS,2010,CZ07,2,0.9551
2018,NUTS,2010,CZ07,2,0.9849
2019,NUTS,2010,CZ07,2,1.0678
2020,NUTS,2010,CZ07,2,1.0656
2011,NUTS,2010,CZ08,2,0.6583
2012,NUTS,2010,CZ08,2,0.7921
2013,NUTS,2010,CZ08,2,0.6141
2014,NUTS,2010,CZ08,2,0.709
2015,NUTS,2010,CZ08,2,0.7116
2016,NUTS,2010,CZ08,2,0.6954
2017,NUTS,2010,CZ08,2,0.7529
2018,NUTS,2010,CZ08,2,0.8128
2019,NUTS,2010,CZ08,2,0.7953
2020,NUTS,2010,CZ08,2,0.8305
2011,NUTS,2010,DE,0,1.4462
2012,NUTS,2010,DE,0,1.4828
2013,NUTS,2010,DE,0,1.4661
2014,NUTS,2010,DE,0,1.5009
2015,NUTS,2010,DE,0,1.5831
2016,NUTS,2010,DE,0,1.5939
2017,NUTS,2010,DE,0,1.656
2018,NUTS,2010,DE,0,1.7071
2019,NUTS,2010,DE,0,1.7602
2020,NUTS,2010,DE,0,1.7824
2011,NUTS,2010,DE1,1,2.3613
2013,NUTS,2010,DE1,1,2.3885
2015,NUTS,2010,DE1,1,2.5569
2017,NUTS,2010,DE1,1,2.8036
2019,NUTS,2010,DE1,1,2.9304
2011,NUTS,2010,DE11,2,2.968
2013,NUTS,2010,DE11,2,3.0802
2015,NUTS,2010,DE11,2,3.324
2017,NUTS,2010,DE11,2,3.7945
2019,NUTS,2010,DE11,2,3.8874
2011,NUTS,2010,DE12,2,2.4151
2013,NUTS,2010,DE12,2,2.3561
2015,NUTS,2010,DE12,2,2.5481
2017,NUTS,2010,DE12,2,2.7895
2019,NUTS,2010,DE12,2,2.8622
2011,NUTS,2010,DE13,2,1.3371
2013,NUTS,2010,DE13,2,1.3193
2015,NUTS,2010,DE13,2,1.3739
2017,NUTS,2010,DE13,2,1.44
2019,NUTS,2010,DE13,2,1.5732
2011,NUTS,2010,DE14,2,2.2263
2013,NUTS,2010,DE14,2,2.2339
2015,NUTS,2010,DE14,2,2.2946
2017,NUTS,2010,DE14,2,2.2713
2019,NUTS,2010,DE14,2,2.5149
2011,NUTS,2010,DE2,1,1.6409
2013,NUTS,2010,DE2,1,1.6471
2015,NUTS,2010,DE2,1,1.7902
2017,NUTS,2010,DE2,1,1.7991
2019,NUTS,2010,DE2,1,2.0014
2011,NUTS,2010,DE21,2,2.7883
2013,NUTS,2010,DE21,2,2.7474
2015,NUTS,2010,DE21,2,2.9518
2017,NUTS,2010,DE21,2,2.8208
2019,NUTS,2010,DE21,2,3.1087
2015,NUTS,2010,DE22,2,0.5815
2017,NUTS,2010,DE22,2,0.633
2019,NUTS,2010,DE22,2,0.7904
2015,NUTS,2010,DE23,2,1.013
2017,NUTS,2010,DE23,2,1.23
2019,NUTS,2010,DE23,2,1.4271
2011,NUTS,2010,DE24,2,0.8269
2013,NUTS,2010,DE24,2,0.8361
2015,NUTS,2010,DE24,2,0.9031
2017,NUTS,2010,DE24,2,0.9906
2019,NUTS,2010,DE24,2,1.3371
2011,NUTS,2010,DE25,2,1.7166
2013,NUTS,2010,DE25,2,1.7781
2015,NUTS,2010,DE25,2,1.8167
2017,NUTS,2010,DE25,2,1.7469
2019,NUTS,2010,DE25,2,2.0001
2011,NUTS,2010,DE26,2,1.2252
2013,NUTS,2010,DE26,2,1.2558
2015,NUTS,2010,DE26,2,1.2587
2017,NUTS,2010,DE26,2,1.6021
2019,NUTS,2010,DE26,2,1.6229
2011,NUTS,2010,DE27,2,0.6667
2013,NUTS,2010,DE27,2,0.7237
2015,NUTS,2010,DE27,2,0.9579
2017,NUTS,2010,DE27,2,0.927
2019,NUTS,2010,DE27,2,0.9521
2011,NUTS,2010,DE3,1,1.7457
2013,NUTS,2010,DE3,1,1.7168
2015,NUTS,2010,DE3,1,1.8195
2017,NUTS,2010,DE3,1,1.7591
2019,NUTS,2010,DE3,1,1.8206
2011,NUTS,2010,DE30,2,1.7457
2013,NUTS,2010,DE30,2,1.7168
2015,NUTS,2010,DE30,2,1.8195
2017,NUTS,2010,DE30,2,1.7591
2019,NUTS,2010,DE30,2,1.8206
2011,NUTS,2010,DE4,1,0.6765
2013,NUTS,2010,DE4,1,0.7028
2015,NUTS,2010,DE4,1,0.7525
2017,NUTS,2010,DE4,1,0.833
2019,NUTS,2010,DE4,1,0.8883
2011,NUTS,2010,DE40,2,0.6765
2013,NUTS,2010,DE40,2,0.7028
2015,NUTS,2010,DE40,2,0.7525
2017,NUTS,2010,DE40,2,0.833
2019,NUTS,2010,DE40,2,0.8883
2011,NUTS,2010,DE5,1,1.8118
2013,NUTS,2010,DE5,1,1.9206
2015,NUTS,2010,DE5,1,2.1167
2017,NUTS,2010,DE5,1,2.0533
2019,NUTS,2010,DE5,1,2.1861
2011,NUTS,2010,DE50,2,1.8118
2013,NUTS,2010,DE50,2,1.9206
2015,NUTS,2010,DE50,2,2.1167
2017,NUTS,2010,DE50,2,2.0533
2019,NUTS,2010,DE50,2,2.1861
2011,NUTS,2010,DE6,1,1.4994
2013,NUTS,2010,DE6,1,1.5521
2015,NUTS,2010,DE6,1,1.6472
2017,NUTS,2010,DE6,1,1.7647
2019,NUTS,2010,DE6,1,1.8115
2011,NUTS,2010,DE60,2,1.4994
2013,NUTS,2010,DE60,2,1.5521
2015,NUTS,2010,DE60,2,1.6472
2017,NUTS,2010,DE60,2,1.7647
2019,NUTS,2010,DE60,2,1.8115
2011,NUTS,2010,DE7,1,1.5368
2013,NUTS,2010,DE7,1,1.4628
2015,NUTS,2010,DE7,1,1.609
2017,NUTS,2010,DE7,1,1.6644
2019,NUTS,2010,DE7,1,1.6997
2011,NUTS,2010,DE71,2,1.863
2013,NUTS,2010,DE71,2,1.6906
2015,NUTS,2010,DE71,2,1.9525
2017,NUTS,2010,DE71,2,1.9714
2019,NUTS,2010,DE71,2,2.0308
2011,NUTS,2010,DE72,2,1.0651
2013,NUTS,2010,DE72,2,1.1525
2015,NUTS,2010,DE72,2,1.1723
2017,NUTS,2010,DE72,2,1.2612
2019,NUTS,2010,DE72,2,1.2873
2011,NUTS,2010,DE73,2,0.9034
2013,NUTS,2010,DE73,2,0.9912
2015,NUTS,2010,DE73,2,0.8625
2017,NUTS,2010,DE73,2,0.9792
2019,NUTS,2010,DE73,2,0.9304
2011,NUTS,2010,DE8,1,0.729
2013,NUTS,2010,DE8,1,0.6928
2015,NUTS,2010,DE8,1,0.7198
2017,NUTS,2010,DE8,1,0.7653
2019,NUTS,2010,DE8,1,0.8301
2011,NUTS,2010,DE80,2,0.729
2013,NUTS,2010,DE80,2,0.6928
2015,NUTS,2010,DE80,2,0.7198
2017,NUTS,2010,DE80,2,0.7653
2019,NUTS,2010,DE80,2,0.8301
2011,NUTS,2010,DE9,1,1.1505
2013,NUTS,2010,DE9,1,1.1913
2015,NUTS,2010,DE9,1,1.2707
2017,NUTS,2010,DE9,1,1.2951
2019,NUTS,2010,DE9,1,1.3674
2011,NUTS,2010,DE91,2,3.1237
2013,NUTS,2010,DE91,2,3.3331
2015,NUTS,2010,DE91,2,3.5828
2017,NUTS,2010,DE91,2,3.7654
2019,NUTS,2010,DE91,2,3.8995
2011,NUTS,2010,DE92,2,1.1995
2013,NUTS,2010,DE92,2,1.1836
2015,NUTS,2010,DE92,2,1.2589
2017,NUTS,2010,DE92,2,1.1904
2019,NUTS,2010,DE92,2,1.2595
2011,NUTS,2010,DE93,2,0.3556
2013,NUTS,2010,DE93,2,0.3797
2015,NUTS,2010,DE93,2,0.344
2017,NUTS,2010,DE93,2,0.3873
2019,NUTS,2010,DE93,2,0.4062
2011,NUTS,2010,DE94,2,0.3824
2013,NUTS,2010,DE94,2,0.4124
2015,NUTS,2010,DE94,2,0.4725
2017,NUTS,2010,DE94,2,0.4916
2019,NUTS,2010,DE94,2,0.5584
2011,NUTS,2010,DEA,1,1.0756
2013,NUTS,2010,DEA,1,1.0528
2015,NUTS,2010,DEA,1,1.131
2017,NUTS,2010,DEA,1,1.1773
2019,NUTS,2010,DEA,1,1.23
2011,NUTS,2010,DEA1,2,0.9013
2013,NUTS,2010,DEA1,2,0.8415
2015,NUTS,2010,DEA1,2,0.9342
2017,NUTS,2010,DEA1,2,0.9629
2019,NUTS,2010,DEA1,2,1.0034
2011,NUTS,2010,DEA2,2,1.7789
2013,NUTS,2010,DEA2,2,1.6483
2015,NUTS,2010,DEA2,2,1.8391
2017,NUTS,2010,DEA2,2,1.8713
2019,NUTS,2010,DEA2,2,1.9614
2011,NUTS,2010,DEA3,2,0.5388
2013,NUTS,2010,DEA3,2,0.5623
2015,NUTS,2010,DEA3,2,0.5562
2017,NUTS,2010,DEA3,2,0.5899
2019,NUTS,2010,DEA3,2,0.6354
2011,NUTS,2010,DEA4,2,1.086
2013,NUTS,2010,DEA4,2,1.1536
2015,NUTS,2010,DEA4,2,1.1632
2017,NUTS,2010,DEA4,2,1.2498
2019,NUTS,2010,DEA4,2,1.3042
2011,NUTS,2010,DEA5,2,0.8537
2013,NUTS,2010,DEA5,2,0.9272
2015,NUTS,2010,DEA5,2,0.9442
2017,NUTS,2010,DEA5,2,0.9961
2019,NUTS,2010,DEA5,2,1.0353
2011,NUTS,2010,DEB,1,0.895
2013,NUTS,2010,DEB,1,0.9408
2015,NUTS,2010,DEB,1,1.0399
2017,NUTS,2010,DEB,1,1.0346
2019,NUTS,2010,DEB,1,1.1437
2011,NUTS,2010,DEB1,2,0.3386
2013,NUTS,2010,DEB1,2,0.3713
2015,NUTS,2010,DEB1,2,0.3467
2017,NUTS,2010,DEB1,2,0.3973
2019,NUTS,2010,DEB1,2,0.4845
2011,NUTS,2010,DEB2,2,0.4842
2013,NUTS,2010,DEB2,2,0.433
2015,NUTS,2010,DEB2,2,0.4131
2017,NUTS,2010,DEB2,2,0.4169
2019,NUTS,2010,DEB2,2,0.4193
2011,NUTS,2010,DEB3,2,1.4163
2013,NUTS,2010,DEB3,2,1.4892
2015,NUTS,2010,DEB3,2,1.7217
2017,NUTS,2010,DEB3,2,1.6688
2019,NUTS,2010,DEB3,2,1.8219
2011,NUTS,2010,DEC,1,0.7957
2013,NUTS,2010,DEC,1,0.8612
2015,NUTS,2010,DEC,1,0.9342
2017,NUTS,2010,DEC,1,1.0262
2019,NUTS,2010,DEC,1,1.1187
2011,NUTS,2010,DEC0,2,0.7957
2013,NUTS,2010,DEC0,2,0.8612
2015,NUTS,2010,DEC0,2,0.9342
2017,NUTS,2010,DEC0,2,1.0262
2019,NUTS,2010,DEC0,2,1.1187
2011,NUTS,2010,DED,1,1.2399
2013,NUTS,2010,DED,1,1.293
2015,NUTS,2010,DED,1,1.358
2017,NUTS,2010,DED,1,1.4676
2019,NUTS,2010,DED,1,1.5621
2011,NUTS,2010,DED2,2,1.7022
2013,NUTS,2010,DED2,2,1.4821
2015,NUTS,2010,DED2,2,1.8233
2017,NUTS,2010,DED2,2,1.9933
2019,NUTS,2010,DED2,2,2.1114
2011,NUTS,2010,DED4,2,0.906
2013,NUTS,2010,DED4,2,1.3322
2015,NUTS,2010,DED4,2,1.0361
2017,NUTS,2010,DED4,2,1.0843
2019,NUTS,2010,DED4,2,1.1794
2011,NUTS,2010,DED5,2,0.9951
2013,NUTS,2010,DED5,2,0.9476
2015,NUTS,2010,DED5,2,1.0834
2017,NUTS,2010,DED5,2,1.1935
2019,NUTS,2010,DED5,2,1.2407
2011,NUTS,2010,DEE,1,0.6251
2013,NUTS,2010,DEE,1,0.6755
2015,NUTS,2010,DEE,1,0.6465
2017,NUTS,2010,DEE,1,0.6899
2019,NUTS,2010,DEE,1,0.7603
2011,NUTS,2010,DEE0,2,0.6251
2013,NUTS,2010,DEE0,2,0.6755
2015,NUTS,2010,DEE0,2,0.6465
2017,NUTS,2010,DEE0,2,0.6899
2019,NUTS,2010,DEE0,2,0.7603
2011,NUTS,2010,DEF,1,0.7005
2013,NUTS,2010,DEF,1,0.7471
2015,NUTS,2010,DEF,1,0.7414
2017,NUTS,2010,DEF,1,0.7763
2019,NUTS,2010,DEF,1,0.8058
2011,NUTS,2010,DEF0,2,0.7005
2013,NUTS,2010,DEF0,2,0.7471
2015,NUTS,2010,DEF0,2,0.7414
2017,NUTS,2010,DEF0,2,0.7763
2019,NUTS,2010,DEF0,2,0.8058
2011,NUTS,2010,DEG,1,0.9274
2013,NUTS,2010,DEG,1,0.9652
2015,NUTS,2010,DEG,1,0.9946
2017,NUTS,2010,DEG,1,1.0768
2019,NUTS,2010,DEG,1,1.1592
2011,NUTS,2010,DEG0,2,0.9274
2013,NUTS,2010,DEG0,2,0.9652
2015,NUTS,2010,DEG0,2,0.9946
2017,NUTS,2010,DEG0,2,1.0768
2019,NUTS,2010,DEG0,2,1.1592
2011,NUTS,2010,DK,0,2.0486
2012,NUTS,2010,DK,0,2.0708
2013,NUTS,2010,DK,0,2.0869
2014,NUTS,2010,DK,0,2.1016
2015,NUTS,2010,DK,0,2.1492
2016,NUTS,2010,DK,0,2.2088
2017,NUTS,2010,DK,0,2.099
