year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_rse_fte_t
2015,NUTS,2010,BE32,2,2862.0
2011,NUTS,2010,BE33,2,3092.0
2013,NUTS,2010,BE33,2,2968.0
2014,NUTS,2010,BE33,2,3418.0
2015,NUTS,2010,BE33,2,3845.0
2011,NUTS,2010,BE34,2,154.0
2013,NUTS,2010,BE34,2,78.0
2014,NUTS,2010,BE34,2,131.0
2015,NUTS,2010,BE34,2,136.0
2011,NUTS,2010,BE35,2,723.0
2013,NUTS,2010,BE35,2,656.0
2014,NUTS,2010,BE35,2,1047.0
2015,NUTS,2010,BE35,2,1234.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,11902.0
2012,NUTS,2010,BG,0,11300.0
2013,NUTS,2010,BG,0,12275.0
2014,NUTS,2010,BG,0,13201.0
2015,NUTS,2010,BG,0,14236.0
2016,NUTS,2010,BG,0,16001.0
2017,NUTS,2010,BG,0,15094.0
2018,NUTS,2010,BG,0,16521.0
2019,NUTS,2010,BG,0,16940.0
2020,NUTS,2010,BG,0,16691.0
2011,NUTS,2010,BG3,1,2336.0
2012,NUTS,2010,BG3,1,2577.0
2013,NUTS,2010,BG3,1,2765.0
2014,NUTS,2010,BG3,1,3171.0
2015,NUTS,2010,BG3,1,3587.0
2016,NUTS,2010,BG3,1,3377.0
2017,NUTS,2010,BG3,1,3595.0
2018,NUTS,2010,BG3,1,4039.0
2019,NUTS,2010,BG3,1,4172.0
2011,NUTS,2010,BG31,2,208.0
2012,NUTS,2010,BG31,2,370.0
2013,NUTS,2010,BG31,2,361.0
2014,NUTS,2010,BG31,2,326.0
2015,NUTS,2010,BG31,2,517.0
2016,NUTS,2010,BG31,2,538.0
2017,NUTS,2010,BG31,2,651.0
