year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_bes_mio_pps
2011,NUTS,2010,NO0,1,1945.842
2012,NUTS,2010,NO0,1,2053.027
2013,NUTS,2010,NO0,1,2128.074
2014,NUTS,2010,NO0,1,2234.7
2015,NUTS,2010,NO0,1,2348.192
2016,NUTS,2010,NO0,1,2333.22
2017,NUTS,2010,NO0,1,2563.159
2018,NUTS,2010,NO0,1,2653.165
2019,NUTS,2010,NO0,1,2776.71
2011,NUTS,2010,NO01,2,888.024
2012,NUTS,2010,NO01,2,848.602
2013,NUTS,2010,NO01,2,854.956
2014,NUTS,2010,NO01,2,875.302
2015,NUTS,2010,NO01,2,929.254
2016,NUTS,2010,NO01,2,920.358
2017,NUTS,2010,NO01,2,1001.31
2018,NUTS,2010,NO01,2,1017.903
2019,NUTS,2010,NO01,2,1070.245
2011,NUTS,2010,NO02,2,39.287
2012,NUTS,2010,NO02,2,38.044
2013,NUTS,2010,NO02,2,48.849
2014,NUTS,2010,NO02,2,48.434
2015,NUTS,2010,NO02,2,48.295
2016,NUTS,2010,NO02,2,49.667
2017,NUTS,2010,NO02,2,58.042
2018,NUTS,2010,NO02,2,60.878
2019,NUTS,2010,NO02,2,54.873
2011,NUTS,2010,NO03,2,291.587
2012,NUTS,2010,NO03,2,305.282
2013,NUTS,2010,NO03,2,341.717
2014,NUTS,2010,NO03,2,365.931
2015,NUTS,2010,NO03,2,359.395
2016,NUTS,2010,NO03,2,354.822
2017,NUTS,2010,NO03,2,371.073
2018,NUTS,2010,NO03,2,400.75
2019,NUTS,2010,NO03,2,404.897
2011,NUTS,2010,NO04,2,172.618
2012,NUTS,2010,NO04,2,197.845
2013,NUTS,2010,NO04,2,224.677
2014,NUTS,2010,NO04,2,234.036
2015,NUTS,2010,NO04,2,245.355
2016,NUTS,2010,NO04,2,271.121
2017,NUTS,2010,NO04,2,291.014
2018,NUTS,2010,NO04,2,302.693
2019,NUTS,2010,NO04,2,303.301
2011,NUTS,2010,NO05,2,187.342
2012,NUTS,2010,NO05,2,199.333
2013,NUTS,2010,NO05,2,203.976
2014,NUTS,2010,NO05,2,236.307
2015,NUTS,2010,NO05,2,257.319
2016,NUTS,2010,NO05,2,252.838
2017,NUTS,2010,NO05,2,316.298
2018,NUTS,2010,NO05,2,352.362
2019,NUTS,2010,NO05,2,375.326
2011,NUTS,2010,NO06,2,326.18
2012,NUTS,2010,NO06,2,409.047
2013,NUTS,2010,NO06,2,401.703
2014,NUTS,2010,NO06,2,412.681
2015,NUTS,2010,NO06,2,437.907
2016,NUTS,2010,NO06,2,398.584
2017,NUTS,2010,NO06,2,430.143
2018,NUTS,2010,NO06,2,414.981
2019,NUTS,2010,NO06,2,467.496
2011,NUTS,2010,NO07,2,40.731
2012,NUTS,2010,NO07,2,52.725
2013,NUTS,2010,NO07,2,50.215
2014,NUTS,2010,NO07,2,61.878
2015,NUTS,2010,NO07,2,70.435
2016,NUTS,2010,NO07,2,85.831
2017,NUTS,2010,NO07,2,95.286
2018,NUTS,2010,NO07,2,103.591
2019,NUTS,2010,NO07,2,100.58
2011,NUTS,2010,PL,0,1457.194
2012,NUTS,2010,PL,0,2196.718
2013,NUTS,2010,PL,0,2575.722
2014,NUTS,2010,PL,0,3053.884
2015,NUTS,2010,PL,0,3425.535
2016,NUTS,2010,PL,0,4721.31
2017,NUTS,2010,PL,0,5229.069
2018,NUTS,2010,PL,0,6575.191
2019,NUTS,2010,PL,0,7244.344
2020,NUTS,2010,PL,0,7598.097
2011,NUTS,2010,PL1,1,543.593
2012,NUTS,2010,PL1,1,769.703
2013,NUTS,2010,PL1,1,1049.703
2014,NUTS,2010,PL1,1,1343.78
2015,NUTS,2010,PL1,1,1334.759
2011,NUTS,2010,PL11,2,42.331
2012,NUTS,2010,PL11,2,76.409
2013,NUTS,2010,PL11,2,68.291
2014,NUTS,2010,PL11,2,86.442
2015,NUTS,2010,PL11,2,121.32
2011,NUTS,2010,PL12,2,501.262
2012,NUTS,2010,PL12,2,693.294
2013,NUTS,2010,PL12,2,981.453
2014,NUTS,2010,PL12,2,1257.298
2015,NUTS,2010,PL12,2,1213.439
2011,NUTS,2010,PL2,1,290.644
2012,NUTS,2010,PL2,1,540.382
2013,NUTS,2010,PL2,1,558.608
2014,NUTS,2010,PL2,1,580.928
2015,NUTS,2010,PL2,1,687.274
2016,NUTS,2010,PL2,1,1304.536
2017,NUTS,2010,PL2,1,1135.968
2018,NUTS,2010,PL2,1,1446.979
2019,NUTS,2010,PL2,1,1570.124
2011,NUTS,2010,PL21,2,126.247
2012,NUTS,2010,PL21,2,252.527
2013,NUTS,2010,PL21,2,289.621
2014,NUTS,2010,PL21,2,350.227
2015,NUTS,2010,PL21,2,384.402
2016,NUTS,2010,PL21,2,984.974
2017,NUTS,2010,PL21,2,738.505
2018,NUTS,2010,PL21,2,941.564
2019,NUTS,2010,PL21,2,959.355
2011,NUTS,2010,PL22,2,164.398
2012,NUTS,2010,PL22,2,287.855
2013,NUTS,2010,PL22,2,269.028
2014,NUTS,2010,PL22,2,230.701
2015,NUTS,2010,PL22,2,302.83
2016,NUTS,2010,PL22,2,319.562
2017,NUTS,2010,PL22,2,397.423
2018,NUTS,2010,PL22,2,505.416
2019,NUTS,2010,PL22,2,610.77
2011,NUTS,2010,PL3,1,201.101
2012,NUTS,2010,PL3,1,281.896
2013,NUTS,2010,PL3,1,338.055
2014,NUTS,2010,PL3,1,371.838
2015,NUTS,2010,PL3,1,430.829
2011,NUTS,2010,PL31,2,31.448
2012,NUTS,2010,PL31,2,44.551
2013,NUTS,2010,PL31,2,32.876
2014,NUTS,2010,PL31,2,42.329
2015,NUTS,2010,PL31,2,72.49
2011,NUTS,2010,PL32,2,132.495
2012,NUTS,2010,PL32,2,189.335
2013,NUTS,2010,PL32,2,263.623
2014,NUTS,2010,PL32,2,289.45
2015,NUTS,2010,PL32,2,275.137
2012,NUTS,2010,PL33,2,34.693
2013,NUTS,2010,PL33,2,23.582
2014,NUTS,2010,PL33,2,20.151
2015,NUTS,2010,PL33,2,46.671
2012,NUTS,2010,PL34,2,13.316
2013,NUTS,2010,PL34,2,17.973
2014,NUTS,2010,PL34,2,19.908
2015,NUTS,2010,PL34,2,36.53
2011,NUTS,2010,PL4,1,109.116
2012,NUTS,2010,PL4,1,138.357
