year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_pc_act_fte_total_t
2012,NUTS,2010,DK,0,0.0108
2013,NUTS,2010,DK,0,0.0105
2014,NUTS,2010,DK,0,0.0104
2015,NUTS,2010,DK,0,0.0106
2016,NUTS,2010,DK,0,0.0111
2017,NUTS,2010,DK,0,0.0094
2018,NUTS,2010,DK,0,0.008
2019,NUTS,2010,DK,0,0.009
2020,NUTS,2010,DK,0,0.0091
2011,NUTS,2010,DK0,1,0.0094
2012,NUTS,2010,DK0,1,0.0105
2013,NUTS,2010,DK0,1,0.0102
2014,NUTS,2010,DK0,1,0.0101
2015,NUTS,2010,DK0,1,0.0102
2016,NUTS,2010,DK0,1,0.0107
2017,NUTS,2010,DK0,1,0.0092
2018,NUTS,2010,DK0,1,0.0078
2019,NUTS,2010,DK0,1,0.0087
2011,NUTS,2010,DK01,2,0.0285
2012,NUTS,2010,DK01,2,0.0308
2013,NUTS,2010,DK01,2,0.0297
2014,NUTS,2010,DK01,2,0.0291
2015,NUTS,2010,DK01,2,0.0288
2016,NUTS,2010,DK01,2,0.0299
2017,NUTS,2010,DK01,2,0.0256
2019,NUTS,2010,DK01,2,0.0255
2011,NUTS,2010,DK02,2,0.0017
2012,NUTS,2010,DK02,2,0.0017
2013,NUTS,2010,DK02,2,0.0018
2014,NUTS,2010,DK02,2,0.0018
2015,NUTS,2010,DK02,2,0.0025
2016,NUTS,2010,DK02,2,0.0022
2017,NUTS,2010,DK02,2,0.0012
2019,NUTS,2010,DK02,2,0.0017
2011,NUTS,2010,DK03,2,0.0
2012,NUTS,2010,DK03,2,0.0012
2013,NUTS,2010,DK03,2,0.0011
2014,NUTS,2010,DK03,2,0.0012
2015,NUTS,2010,DK03,2,0.0015
2016,NUTS,2010,DK03,2,0.0017
2017,NUTS,2010,DK03,2,0.0018
2011,NUTS,2010,DK04,2,0.0
2012,NUTS,2010,DK04,2,0.0
2013,NUTS,2010,DK04,2,0.0
2014,NUTS,2010,DK04,2,0.0
2015,NUTS,2010,DK04,2,0.0
2016,NUTS,2010,DK04,2,0.0
2017,NUTS,2010,DK04,2,0.0
2011,NUTS,2010,DK05,2,0.0
2012,NUTS,2010,DK05,2,0.0
2013,NUTS,2010,DK05,2,0.0
2014,NUTS,2010,DK05,2,0.0
2015,NUTS,2010,DK05,2,0.0
2016,NUTS,2010,DK05,2,0.0
2017,NUTS,2010,DK05,2,0.0038
2011,NUTS,2010,EA19,2,0.0128
2012,NUTS,2010,EA19,2,0.0128
2013,NUTS,2010,EA19,2,0.0102
2014,NUTS,2010,EA19,2,0.011
2015,NUTS,2010,EA19,2,0.0112
2016,NUTS,2010,EA19,2,0.0116
2017,NUTS,2010,EA19,2,0.0113
2018,NUTS,2010,EA19,2,0.0122
2019,NUTS,2010,EA19,2,0.013
2020,NUTS,2010,EA19,2,0.0136
2011,NUTS,2010,EE,0,0.0138
2012,NUTS,2010,EE,0,0.014
2013,NUTS,2010,EE,0,0.0133
2014,NUTS,2010,EE,0,0.0147
2015,NUTS,2010,EE,0,0.015
2016,NUTS,2010,EE,0,0.0163
2017,NUTS,2010,EE,0,0.0149
2018,NUTS,2010,EE,0,0.0182
2019,NUTS,2010,EE,0,0.0141
2020,NUTS,2010,EE,0,0.0147
2011,NUTS,2010,EL,0,0.0068
2012,NUTS,2010,EL,0,0.0071
2013,NUTS,2010,EL,0,0.0111
2014,NUTS,2010,EL,0,0.0109
2015,NUTS,2010,EL,0,0.0109
2016,NUTS,2010,EL,0,0.0113
2017,NUTS,2010,EL,0,0.0111
2018,NUTS,2010,EL,0,0.0119
2019,NUTS,2010,EL,0,0.0099
2020,NUTS,2010,EL,0,0.0083
2011,NUTS,2010,EL3,1,0.0136
2013,NUTS,2010,EL3,1,0.0196
2015,NUTS,2010,EL3,1,0.0195
2017,NUTS,2010,EL3,1,0.022
2019,NUTS,2010,EL3,1,0.0164
2011,NUTS,2010,EL30,2,0.0136
2013,NUTS,2010,EL30,2,0.0196
2015,NUTS,2010,EL30,2,0.0195
2017,NUTS,2010,EL30,2,0.022
