year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_gdp_beur_cte
2012,NUTS,2010,CZ041,3,0.408
2011,NUTS,2010,CZ042,3,0.049
2012,NUTS,2010,CZ06,2,0.105
2012,NUTS,2010,CZ064,3,0.145
2011,NUTS,2010,CZ08,2,0.061
2011,NUTS,2010,CZ080,3,0.061
2011,NUTS,2010,DE,0,0.372
2012,NUTS,2010,DE,0,0.298
2011,NUTS,2010,DE1,1,0.56
2012,NUTS,2010,DE1,1,0.484
2011,NUTS,2010,DE11,2,0.653
2012,NUTS,2010,DE11,2,0.584
2011,NUTS,2010,DE111,3,0.895
2012,NUTS,2010,DE111,3,0.833
2011,NUTS,2010,DE112,3,0.537
2012,NUTS,2010,DE112,3,0.297
2011,NUTS,2010,DE113,3,0.614
2012,NUTS,2010,DE113,3,0.491
2011,NUTS,2010,DE114,3,0.182
2012,NUTS,2010,DE114,3,0.115
2011,NUTS,2010,DE115,3,1.34
2012,NUTS,2010,DE115,3,1.548
2011,NUTS,2010,DE116,3,1.18
2012,NUTS,2010,DE116,3,0.583
2011,NUTS,2010,DE117,3,0.071
2012,NUTS,2010,DE117,3,0.079
2011,NUTS,2010,DE118,3,0.369
2012,NUTS,2010,DE118,3,0.174
2011,NUTS,2010,DE119,3,0.249
2012,NUTS,2010,DE119,3,0.43
2011,NUTS,2010,DE11A,3,0.156
2012,NUTS,2010,DE11A,3,0.23
2011,NUTS,2010,DE11C,3,0.119
2012,NUTS,2010,DE11C,3,0.079
2011,NUTS,2010,DE11D,3,0.068
2012,NUTS,2010,DE11D,3,0.328
2011,NUTS,2010,DE12,2,0.516
2012,NUTS,2010,DE12,2,0.567
2012,NUTS,2010,DE121,3,0.094
2011,NUTS,2010,DE122,3,0.677
2012,NUTS,2010,DE122,3,0.415
2011,NUTS,2010,DE123,3,0.762
2012,NUTS,2010,DE123,3,0.794
2011,NUTS,2010,DE124,3,0.222
2012,NUTS,2010,DE124,3,0.447
2011,NUTS,2010,DE125,3,0.737
2012,NUTS,2010,DE125,3,1.164
2011,NUTS,2010,DE126,3,0.203
2012,NUTS,2010,DE126,3,0.07
2011,NUTS,2010,DE128,3,0.882
2012,NUTS,2010,DE128,3,1.097
2011,NUTS,2010,DE129,3,0.316
2012,NUTS,2010,DE129,3,0.069
2011,NUTS,2010,DE12A,3,0.065
2012,NUTS,2010,DE12A,3,0.082
2011,NUTS,2010,DE12B,3,0.939
2012,NUTS,2010,DE12B,3,1.64
2012,NUTS,2010,DE12C,3,0.13
2011,NUTS,2010,DE13,2,0.364
2012,NUTS,2010,DE13,2,0.215
2011,NUTS,2010,DE131,3,0.203
2012,NUTS,2010,DE131,3,0.191
2011,NUTS,2010,DE132,3,0.139
2012,NUTS,2010,DE132,3,0.077
2011,NUTS,2010,DE133,3,0.782
2012,NUTS,2010,DE133,3,0.769
2011,NUTS,2010,DE134,3,0.169
2012,NUTS,2010,DE134,3,0.101
2012,NUTS,2010,DE135,3,0.279
2011,NUTS,2010,DE136,3,1.352
2012,NUTS,2010,DE136,3,0.196
2011,NUTS,2010,DE137,3,0.488
2012,NUTS,2010,DE137,3,0.182
2011,NUTS,2010,DE138,3,0.125
2012,NUTS,2010,DE138,3,0.347
2011,NUTS,2010,DE139,3,0.281
2012,NUTS,2010,DE139,3,0.097
2011,NUTS,2010,DE13A,3,0.635
2012,NUTS,2010,DE13A,3,0.266
2011,NUTS,2010,DE14,2,0.598
2012,NUTS,2010,DE14,2,0.38
2011,NUTS,2010,DE141,3,1.818
2012,NUTS,2010,DE141,3,0.687
2011,NUTS,2010,DE142,3,1.409
2012,NUTS,2010,DE142,3,0.836
2012,NUTS,2010,DE143,3,0.088
2011,NUTS,2010,DE144,3,0.608
2012,NUTS,2010,DE144,3,0.671
2011,NUTS,2010,DE145,3,0.332
2012,NUTS,2010,DE145,3,0.411
2011,NUTS,2010,DE146,3,0.19
2012,NUTS,2010,DE146,3,0.336
2011,NUTS,2010,DE147,3,0.168
2012,NUTS,2010,DE147,3,0.165
2011,NUTS,2010,DE148,3,0.36
2012,NUTS,2010,DE148,3,0.102
2011,NUTS,2010,DE2,1,0.734
2012,NUTS,2010,DE2,1,0.606
2011,NUTS,2010,DE21,2,0.965
2012,NUTS,2010,DE21,2,0.803
2011,NUTS,2010,DE211,3,0.299
2012,NUTS,2010,DE211,3,0.378
2011,NUTS,2010,DE212,3,1.322
2012,NUTS,2010,DE212,3,0.975
2012,NUTS,2010,DE213,3,0.413
2011,NUTS,2010,DE214,3,0.028
2011,NUTS,2010,DE215,3,0.075
2012,NUTS,2010,DE215,3,0.462
2011,NUTS,2010,DE216,3,0.711
2012,NUTS,2010,DE216,3,0.49
2011,NUTS,2010,DE217,3,1.235
2012,NUTS,2010,DE217,3,0.904
2011,NUTS,2010,DE218,3,2.025
2012,NUTS,2010,DE218,3,4.732
2011,NUTS,2010,DE219,3,0.514
2012,NUTS,2010,DE219,3,0.998
2011,NUTS,2010,DE21A,3,0.714
2012,NUTS,2010,DE21A,3,0.628
2011,NUTS,2010,DE21B,3,0.212
2012,NUTS,2010,DE21B,3,0.011
2011,NUTS,2010,DE21C,3,1.039
2012,NUTS,2010,DE21C,3,1.163
2012,NUTS,2010,DE21D,3,0.936
2011,NUTS,2010,DE21E,3,1.568
2012,NUTS,2010,DE21E,3,0.158
2011,NUTS,2010,DE21F,3,1.072
2012,NUTS,2010,DE21F,3,1.265
2011,NUTS,2010,DE21G,3,0.321
2012,NUTS,2010,DE21G,3,0.321
2011,NUTS,2010,DE21H,3,1.249
2012,NUTS,2010,DE21H,3,0.718
2011,NUTS,2010,DE21I,3,0.088
2011,NUTS,2010,DE21J,3,0.231
2012,NUTS,2010,DE21J,3,0.122
2011,NUTS,2010,DE21K,3,0.43
2012,NUTS,2010,DE21K,3,0.564
2011,NUTS,2010,DE21L,3,0.917
2012,NUTS,2010,DE21L,3,0.627
2011,NUTS,2010,DE21M,3,0.115
2012,NUTS,2010,DE21M,3,0.927
2011,NUTS,2010,DE21N,3,0.264
2012,NUTS,2010,DE21N,3,0.401
2011,NUTS,2010,DE22,2,0.272
2012,NUTS,2010,DE22,2,0.114
2011,NUTS,2010,DE221,3,0.412
2011,NUTS,2010,DE223,3,1.449
2012,NUTS,2010,DE223,3,0.824
2011,NUTS,2010,DE225,3,0.583
2011,NUTS,2010,DE226,3,0.103
2012,NUTS,2010,DE226,3,0.372
2011,NUTS,2010,DE227,3,0.626
2012,NUTS,2010,DE227,3,0.261
2011,NUTS,2010,DE229,3,0.517
2011,NUTS,2010,DE22A,3,0.305
2012,NUTS,2010,DE22B,3,0.19
2011,NUTS,2010,DE23,2,0.473
2012,NUTS,2010,DE23,2,0.393
2011,NUTS,2010,DE231,3,0.173
2012,NUTS,2010,DE231,3,0.623
2011,NUTS,2010,DE232,3,0.246
2012,NUTS,2010,DE232,3,0.337
2012,NUTS,2010,DE233,3,0.242
2011,NUTS,2010,DE234,3,3.4
2012,NUTS,2010,DE234,3,0.608
2011,NUTS,2010,DE236,3,0.254
2012,NUTS,2010,DE236,3,0.128
2011,NUTS,2010,DE237,3,0.449
2012,NUTS,2010,DE237,3,0.214
2011,NUTS,2010,DE238,3,0.466
2012,NUTS,2010,DE238,3,0.971
2011,NUTS,2010,DE239,3,0.459
2012,NUTS,2010,DE239,3,0.731
2011,NUTS,2010,DE23A,3,0.508
2011,NUTS,2010,DE24,2,0.477
2012,NUTS,2010,DE24,2,0.37
2011,NUTS,2010,DE241,3,0.195
2012,NUTS,2010,DE244,3,0.687
2011,NUTS,2010,DE245,3,0.364
2012,NUTS,2010,DE245,3,0.695
2011,NUTS,2010,DE246,3,0.78
2012,NUTS,2010,DE246,3,0.266
2011,NUTS,2010,DE248,3,3.771
2012,NUTS,2010,DE248,3,3.023
2011,NUTS,2010,DE249,3,0.123
2012,NUTS,2010,DE24B,3,0.455
2011,NUTS,2010,DE24C,3,1.35
2011,NUTS,2010,DE25,2,1.472
2012,NUTS,2010,DE25,2,1.19
2011,NUTS,2010,DE252,3,4.727
2012,NUTS,2010,DE252,3,1.978
2011,NUTS,2010,DE253,3,0.857
2012,NUTS,2010,DE253,3,2.084
2011,NUTS,2010,DE254,3,0.826
2012,NUTS,2010,DE254,3,0.94
2011,NUTS,2010,DE255,3,0.845
2012,NUTS,2010,DE255,3,2.111
2011,NUTS,2010,DE256,3,0.294
2012,NUTS,2010,DE256,3,0.228
2011,NUTS,2010,DE257,3,3.844
2012,NUTS,2010,DE257,3,2.816
2011,NUTS,2010,DE258,3,1.405
2012,NUTS,2010,DE258,3,1.899
2011,NUTS,2010,DE259,3,0.829
2012,NUTS,2010,DE259,3,0.783
2011,NUTS,2010,DE25A,3,0.89
2011,NUTS,2010,DE25B,3,1.154
2012,NUTS,2010,DE25B,3,1.695
2011,NUTS,2010,DE26,2,0.057
2012,NUTS,2010,DE26,2,0.145
2011,NUTS,2010,DE261,3,0.105
2012,NUTS,2010,DE261,3,0.206
2012,NUTS,2010,DE262,3,0.279
2012,NUTS,2010,DE264,3,0.067
2012,NUTS,2010,DE266,3,0.199
2012,NUTS,2010,DE267,3,0.152
2012,NUTS,2010,DE269,3,0.806
2011,NUTS,2010,DE26A,3,0.254
2011,NUTS,2010,DE26B,3,0.214
2011,NUTS,2010,DE26C,3,0.14
2011,NUTS,2010,DE27,2,0.275
2012,NUTS,2010,DE27,2,0.23
2011,NUTS,2010,DE271,3,0.191
2012,NUTS,2010,DE271,3,0.248
2011,NUTS,2010,DE274,3,0.062
2012,NUTS,2010,DE274,3,0.147
2011,NUTS,2010,DE275,3,0.76
2012,NUTS,2010,DE275,3,0.254
2011,NUTS,2010,DE276,3,0.317
2012,NUTS,2010,DE276,3,0.317
2011,NUTS,2010,DE277,3,0.154
2012,NUTS,2010,DE277,3,0.304
2011,NUTS,2010,DE278,3,0.217
2012,NUTS,2010,DE278,3,0.126
2011,NUTS,2010,DE279,3,0.277
2012,NUTS,2010,DE279,3,0.339
2011,NUTS,2010,DE27A,3,0.258
2012,NUTS,2010,DE27A,3,0.411
2011,NUTS,2010,DE27B,3,0.368
2012,NUTS,2010,DE27B,3,0.202
2011,NUTS,2010,DE27D,3,0.6
2012,NUTS,2010,DE27D,3,0.477
2011,NUTS,2010,DE27E,3,0.415
2012,NUTS,2010,DE27E,3,0.085
2011,NUTS,2010,DE3,1,0.548
2012,NUTS,2010,DE3,1,0.404
2011,NUTS,2010,DE30,2,0.548
2012,NUTS,2010,DE30,2,0.404
2011,NUTS,2010,DE300,3,0.548
2012,NUTS,2010,DE300,3,0.404
2011,NUTS,2010,DE4,1,0.27
2012,NUTS,2010,DE4,1,0.177
2011,NUTS,2010,DE40,2,0.27
2012,NUTS,2010,DE40,2,0.177
2011,NUTS,2010,DE401,3,0.171
2011,NUTS,2010,DE404,3,0.328
2012,NUTS,2010,DE404,3,0.146
2011,NUTS,2010,DE405,3,0.732
2012,NUTS,2010,DE405,3,0.302
2012,NUTS,2010,DE406,3,0.06
2011,NUTS,2010,DE408,3,0.327
2012,NUTS,2010,DE408,3,0.724
2011,NUTS,2010,DE409,3,0.511
2011,NUTS,2010,DE40A,3,1.165
2012,NUTS,2010,DE40A,3,1.083
2011,NUTS,2010,DE40C,3,0.326
2012,NUTS,2010,DE40D,3,0.461
2011,NUTS,2010,DE40E,3,0.298
2012,NUTS,2010,DE40E,3,0.081
2011,NUTS,2010,DE40G,3,0.127
2011,NUTS,2010,DE40H,3,0.121
2012,NUTS,2010,DE40H,3,0.046
2011,NUTS,2010,DE5,1,0.197
2012,NUTS,2010,DE5,1,0.021
2011,NUTS,2010,DE50,2,0.197
2012,NUTS,2010,DE50,2,0.021
2011,NUTS,2010,DE501,3,0.23
2012,NUTS,2010,DE501,3,0.024
2011,NUTS,2010,DE6,1,0.136
2012,NUTS,2010,DE6,1,0.131
2011,NUTS,2010,DE60,2,0.136
2012,NUTS,2010,DE60,2,0.131
2011,NUTS,2010,DE600,3,0.136
2012,NUTS,2010,DE600,3,0.131
2011,NUTS,2010,DE7,1,0.307
2012,NUTS,2010,DE7,1,0.251
2011,NUTS,2010,DE71,2,0.399
2012,NUTS,2010,DE71,2,0.297
2011,NUTS,2010,DE711,3,0.659
2012,NUTS,2010,DE711,3,1.045
2011,NUTS,2010,DE712,3,0.121
2012,NUTS,2010,DE712,3,0.109
2012,NUTS,2010,DE713,3,0.12
2011,NUTS,2010,DE714,3,0.118
2012,NUTS,2010,DE714,3,0.102
2011,NUTS,2010,DE715,3,0.644
2012,NUTS,2010,DE715,3,0.705
2011,NUTS,2010,DE716,3,0.743
2012,NUTS,2010,DE716,3,0.75
2011,NUTS,2010,DE717,3,0.082
2012,NUTS,2010,DE717,3,0.049
2011,NUTS,2010,DE718,3,0.077
2012,NUTS,2010,DE718,3,0.179
2011,NUTS,2010,DE719,3,0.02
2012,NUTS,2010,DE719,3,0.09
2011,NUTS,2010,DE71A,3,0.574
2012,NUTS,2010,DE71A,3,0.212
2011,NUTS,2010,DE71B,3,0.215
2011,NUTS,2010,DE71C,3,2.691
2012,NUTS,2010,DE71C,3,1.164
2011,NUTS,2010,DE71D,3,0.083
2011,NUTS,2010,DE71E,3,0.227
2012,NUTS,2010,DE71E,3,0.313
2011,NUTS,2010,DE72,2,0.135
2012,NUTS,2010,DE72,2,0.256
2011,NUTS,2010,DE721,3,0.135
2012,NUTS,2010,DE721,3,0.032
2011,NUTS,2010,DE722,3,0.042
2012,NUTS,2010,DE722,3,0.584
2012,NUTS,2010,DE723,3,0.233
2011,NUTS,2010,DE724,3,0.346
2012,NUTS,2010,DE724,3,0.059
2012,NUTS,2010,DE725,3,0.596
2011,NUTS,2010,DE73,2,0.033
2012,NUTS,2010,DE73,2,0.04
2011,NUTS,2010,DE733,3,0.063
2012,NUTS,2010,DE734,3,0.171
2011,NUTS,2010,DE735,3,0.212
2012,NUTS,2010,DE735,3,0.103
2011,NUTS,2010,DE8,1,0.027
2012,NUTS,2010,DE8,1,0.033
2011,NUTS,2010,DE80,2,0.027
2012,NUTS,2010,DE80,2,0.033
2012,NUTS,2010,DE803,3,0.078
2012,NUTS,2010,DE804,3,0.054
2011,NUTS,2010,DE9,1,0.235
2012,NUTS,2010,DE9,1,0.181
2011,NUTS,2010,DE91,2,0.18
2012,NUTS,2010,DE91,2,0.15
2011,NUTS,2010,DE911,3,0.685
2012,NUTS,2010,DE911,3,0.123
2011,NUTS,2010,DE913,3,0.118
2011,NUTS,2010,DE914,3,0.284
2012,NUTS,2010,DE914,3,0.151
2012,NUTS,2010,DE915,3,0.694
2011,NUTS,2010,DE91A,3,0.094
2011,NUTS,2010,DE91B,3,0.121
2012,NUTS,2010,DE91B,3,0.619
2011,NUTS,2010,DE92,2,0.522
2012,NUTS,2010,DE92,2,0.421
2012,NUTS,2010,DE922,3,0.177
2012,NUTS,2010,DE923,3,0.391
2011,NUTS,2010,DE925,3,0.547
2012,NUTS,2010,DE925,3,0.601
2011,NUTS,2010,DE928,3,0.216
2012,NUTS,2010,DE928,3,0.097
2011,NUTS,2010,DE929,3,0.722
2012,NUTS,2010,DE929,3,0.5
2011,NUTS,2010,DE93,2,0.13
2012,NUTS,2010,DE93,2,0.112
2011,NUTS,2010,DE933,3,0.208
2012,NUTS,2010,DE933,3,0.258
2011,NUTS,2010,DE936,3,0.086
2011,NUTS,2010,DE938,3,0.064
2012,NUTS,2010,DE938,3,0.17
2011,NUTS,2010,DE939,3,0.392
2012,NUTS,2010,DE939,3,0.483
2011,NUTS,2010,DE93B,3,0.479
2011,NUTS,2010,DE94,2,0.06
2012,NUTS,2010,DE94,2,0.016
2011,NUTS,2010,DE943,3,0.207
2012,NUTS,2010,DE943,3,0.154
2011,NUTS,2010,DE946,3,0.115
2011,NUTS,2010,DE947,3,0.13
2011,NUTS,2010,DE94A,3,0.324
2011,NUTS,2010,DE94D,3,0.069
2011,NUTS,2010,DE94E,3,0.023
2012,NUTS,2010,DE94F,3,0.039
2011,NUTS,2010,DE94G,3,0.417
2011,NUTS,2010,DEA,1,0.234
2012,NUTS,2010,DEA,1,0.174
2011,NUTS,2010,DEA1,2,0.116
2012,NUTS,2010,DEA1,2,0.107
2011,NUTS,2010,DEA11,3,0.069
2012,NUTS,2010,DEA11,3,0.138
2011,NUTS,2010,DEA12,3,0.308
2012,NUTS,2010,DEA12,3,0.176
2011,NUTS,2010,DEA13,3,0.018
2012,NUTS,2010,DEA13,3,0.034
2011,NUTS,2010,DEA14,3,0.089
2012,NUTS,2010,DEA14,3,0.031
2012,NUTS,2010,DEA15,3,0.065
2012,NUTS,2010,DEA16,3,0.178
2011,NUTS,2010,DEA18,3,0.209
2012,NUTS,2010,DEA19,3,0.078
2011,NUTS,2010,DEA1A,3,0.138
2012,NUTS,2010,DEA1A,3,0.242
2012,NUTS,2010,DEA1B,3,0.064
2011,NUTS,2010,DEA1C,3,0.059
2012,NUTS,2010,DEA1C,3,0.06
2011,NUTS,2010,DEA1D,3,0.094
2012,NUTS,2010,DEA1D,3,0.167
2011,NUTS,2010,DEA1E,3,0.268
2012,NUTS,2010,DEA1E,3,0.044
2011,NUTS,2010,DEA1F,3,0.5
2012,NUTS,2010,DEA1F,3,0.127
2011,NUTS,2010,DEA2,2,0.348
2012,NUTS,2010,DEA2,2,0.204
2011,NUTS,2010,DEA22,3,0.544
2012,NUTS,2010,DEA22,3,0.241
2011,NUTS,2010,DEA23,3,0.134
2012,NUTS,2010,DEA23,3,0.102
2011,NUTS,2010,DEA24,3,0.072
2012,NUTS,2010,DEA24,3,0.12
2011,NUTS,2010,DEA26,3,0.659
2012,NUTS,2010,DEA26,3,0.302
2011,NUTS,2010,DEA27,3,0.024
2012,NUTS,2010,DEA27,3,0.096
2012,NUTS,2010,DEA28,3,0.109
2011,NUTS,2010,DEA29,3,0.28
2012,NUTS,2010,DEA29,3,0.09
2011,NUTS,2010,DEA2A,3,0.082
2012,NUTS,2010,DEA2A,3,0.36
2011,NUTS,2010,DEA2B,3,0.428
2012,NUTS,2010,DEA2B,3,0.275
2011,NUTS,2010,DEA2C,3,0.096
2012,NUTS,2010,DEA2C,3,0.144
2011,NUTS,2010,DEA2D,3,1.405
2012,NUTS,2010,DEA2D,3,0.55
2011,NUTS,2010,DEA3,2,0.17
2012,NUTS,2010,DEA3,2,0.089
2011,NUTS,2010,DEA31,3,0.214
2011,NUTS,2010,DEA33,3,0.022
2012,NUTS,2010,DEA33,3,0.033
2011,NUTS,2010,DEA34,3,0.401
2012,NUTS,2010,DEA34,3,0.087
2011,NUTS,2010,DEA35,3,0.127
2012,NUTS,2010,DEA35,3,0.06
2011,NUTS,2010,DEA36,3,0.287
2012,NUTS,2010,DEA36,3,0.175
2011,NUTS,2010,DEA37,3,0.219
2012,NUTS,2010,DEA37,3,0.081
2012,NUTS,2010,DEA38,3,0.192
2011,NUTS,2010,DEA4,2,0.139
2012,NUTS,2010,DEA4,2,0.226
2011,NUTS,2010,DEA41,3,0.018
2012,NUTS,2010,DEA41,3,0.088
2011,NUTS,2010,DEA42,3,0.152
2012,NUTS,2010,DEA42,3,0.067
2011,NUTS,2010,DEA43,3,0.097
2011,NUTS,2010,DEA44,3,0.286
2012,NUTS,2010,DEA44,3,0.844
2011,NUTS,2010,DEA45,3,0.186
2012,NUTS,2010,DEA45,3,0.444
2011,NUTS,2010,DEA46,3,0.052
2012,NUTS,2010,DEA46,3,0.358
2011,NUTS,2010,DEA47,3,0.304
2012,NUTS,2010,DEA47,3,0.22
2011,NUTS,2010,DEA5,2,0.375
2012,NUTS,2010,DEA5,2,0.271
2011,NUTS,2010,DEA51,3,0.697
2012,NUTS,2010,DEA51,3,0.423
2011,NUTS,2010,DEA52,3,0.528
2012,NUTS,2010,DEA52,3,0.56
2011,NUTS,2010,DEA53,3,0.303
2012,NUTS,2010,DEA53,3,0.167
2012,NUTS,2010,DEA54,3,0.068
2011,NUTS,2010,DEA55,3,0.479
2012,NUTS,2010,DEA55,3,0.281
2011,NUTS,2010,DEA56,3,0.235
2012,NUTS,2010,DEA56,3,0.184
2012,NUTS,2010,DEA57,3,0.04
2011,NUTS,2010,DEA58,3,0.501
2012,NUTS,2010,DEA58,3,0.416
2011,NUTS,2010,DEA59,3,0.221
2011,NUTS,2010,DEA5A,3,0.469
2011,NUTS,2010,DEA5B,3,0.153
2012,NUTS,2010,DEA5B,3,0.144
2011,NUTS,2010,DEA5C,3,0.385
2012,NUTS,2010,DEA5C,3,0.291
2011,NUTS,2010,DEB,1,0.178
2012,NUTS,2010,DEB,1,0.03
2011,NUTS,2010,DEB1,2,0.165
2012,NUTS,2010,DEB1,2,0.03
2011,NUTS,2010,DEB11,3,0.075
2011,NUTS,2010,DEB12,3,0.368
2012,NUTS,2010,DEB12,3,0.09
2011,NUTS,2010,DEB13,3,0.65
2011,NUTS,2010,DEB14,3,0.241
2012,NUTS,2010,DEB14,3,0.195
2011,NUTS,2010,DEB17,3,0.178
2012,NUTS,2010,DEB17,3,0.036
2011,NUTS,2010,DEB18,3,0.101
2011,NUTS,2010,DEB1B,3,0.171
2011,NUTS,2010,DEB3,2,0.224
2012,NUTS,2010,DEB3,2,0.037
2011,NUTS,2010,DEB32,3,0.13
2012,NUTS,2010,DEB32,3,0.26
2011,NUTS,2010,DEB34,3,0.124
2011,NUTS,2010,DEB35,3,0.165
2012,NUTS,2010,DEB35,3,0.031
2011,NUTS,2010,DEB36,3,0.145
2011,NUTS,2010,DEB38,3,0.081
